                 (undefined) external _AuthorizationCopyInfo (from Security)
                 (undefined) external _AuthorizationCopyRights (from Security)
                 (undefined) external _AuthorizationCreate (from Security)
                 (undefined) external _AuthorizationFree (from Security)
                 (undefined) external _AuthorizationFreeItemSet (from Security)
                 (undefined) external _CC_SHA1_Final (from libSystem)
                 (undefined) external _CC_SHA1_Init (from libSystem)
                 (undefined) external _CC_SHA1_Update (from libSystem)
                 (undefined) external _CFBooleanGetTypeID (from CoreFoundation)
                 (undefined) external _CFBooleanGetValue (from CoreFoundation)
                 (undefined) external _CFDataGetBytePtr (from CoreFoundation)
                 (undefined) external _CFDataGetLength (from CoreFoundation)
                 (undefined) external _CFDictionaryCreateMutable (from CoreFoundation)
                 (undefined) external _CFDictionaryGetTypeID (from CoreFoundation)
                 (undefined) external _CFDictionaryGetValue (from CoreFoundation)
                 (undefined) external _CFDictionarySetValue (from CoreFoundation)
                 (undefined) external _CFGetTypeID (from CoreFoundation)
                 (undefined) external _CFPropertyListCreateData (from CoreFoundation)
                 (undefined) external _CFPropertyListCreateWithStream (from CoreFoundation)
                 (undefined) external _CFReadStreamCreateWithFile (from CoreFoundation)
                 (undefined) external _CFReadStreamOpen (from CoreFoundation)
                 (undefined) external _CFRelease (from CoreFoundation)
                 (undefined) external _CFRetain (from CoreFoundation)
                 (undefined) external _CFStringCreateWithFormat (from CoreFoundation)
                 (undefined) external _CFURLCreateWithFileSystemPath (from CoreFoundation)
000000018cf84ec8 (__TEXT,__text) external _FSp_krb_get_svc_in_tkt
000000018cf84f48 (__TEXT,__text) external _KClientGetNumSessionsDeprecated
000000018cf851a0 (__TEXT,__text) external _KClientGetProtectedServiceReply
000000018cf84ef8 (__TEXT,__text) external _KClientGetRealmDeprecated
000000018cf85118 (__TEXT,__text) external _KClientGetRemoteAddress
000000018cf850f8 (__TEXT,__text) external _KClientGetServerPrincipal
000000018cf85160 (__TEXT,__text) external _KClientGetServiceKey
000000018cf85128 (__TEXT,__text) external _KClientGetSessionKey
000000018cf85050 (__TEXT,__text) external _KClientGetSessionKeyCompat
000000018cf850a8 (__TEXT,__text) external _KClientGetSessionUserNameCompat
000000018cf85170 (__TEXT,__text) external _KClientGetTicketForService
000000018cf85020 (__TEXT,__text) external _KClientGetTicketForServiceCompat
000000018cf85028 (__TEXT,__text) external _KClientGetTicketForServiceWithChecksumCompat
000000018cf84f88 (__TEXT,__text) external _KClientGetUserNameDeprecated
000000018cf850c8 (__TEXT,__text) external _KClientGetVersion
000000018cf85150 (__TEXT,__text) external _KClientKeyFileLogin
000000018cf85140 (__TEXT,__text) external _KClientLogin
000000018cf85030 (__TEXT,__text) external _KClientLoginCompat
000000018cf85158 (__TEXT,__text) external _KClientLogout
000000018cf85040 (__TEXT,__text) external _KClientLogoutCompat
000000018cf850b0 (__TEXT,__text) external _KClientMakeSendAuthCompat
000000018cf850d0 (__TEXT,__text) external _KClientNewClientSession
000000018cf850d8 (__TEXT,__text) external _KClientNewServerSession
000000018cf85010 (__TEXT,__text) external _KClientNewSessionCompat
000000018cf85148 (__TEXT,__text) external _KClientPasswordLogin
000000018cf85038 (__TEXT,__text) external _KClientPasswordLoginCompat
000000018cf851d8 (__TEXT,__text) external _KClientPrincipalToV4String
000000018cf851e0 (__TEXT,__text) external _KClientPrincipalToV4Triplet
000000018cf851b8 (__TEXT,__text) external _KClientProtectIntegrity
000000018cf85068 (__TEXT,__text) external _KClientProtectIntegrityCompat
000000018cf850f0 (__TEXT,__text) external _KClientSetClientPrincipal
000000018cf85138 (__TEXT,__text) external _KClientSetKeyFile
000000018cf85110 (__TEXT,__text) external _KClientSetLocalAddress
000000018cf84ef0 (__TEXT,__text) external _KClientSetLocalRealmDeprecated
000000018cf84f40 (__TEXT,__text) external _KClientSetNthServerPortDeprecated
000000018cf85120 (__TEXT,__text) external _KClientSetRemoteAddress
000000018cf85100 (__TEXT,__text) external _KClientSetServerPrincipal
000000018cf85048 (__TEXT,__text) external _KClientStatusCompat
000000018cf851d0 (__TEXT,__text) external _KClientV4StringToPrincipal
000000018cf85190 (__TEXT,__text) external _KClientVerifyAuthenticator
000000018cf85180 (__TEXT,__text) external _KClientVerifyEncryptedServiceReply
000000018cf851c0 (__TEXT,__text) external _KClientVerifyIntegrity
000000018cf85070 (__TEXT,__text) external _KClientVerifyIntegrityCompat
000000018cf85188 (__TEXT,__text) external _KClientVerifyProtectedServiceReply
000000018cf850b8 (__TEXT,__text) external _KClientVerifyReplyTicketCompat
000000018cf850c0 (__TEXT,__text) external _KClientVerifyUnencryptedReplyTicketCompat
000000018cf85008 (__TEXT,__text) external _KClientVersionCompat
000000018cf7f0c0 (__TEXT,__text) external _KLAcquireInitialTickets
000000018cf7f2c4 (__TEXT,__text) external _KLAcquireInitialTicketsWithPassword
000000018cf7f9f8 (__TEXT,__text) external _KLAcquireNewInitialTicketCredentialsWithPassword
000000018cf7f1dc (__TEXT,__text) external _KLAcquireNewInitialTickets
000000018cf7fa18 (__TEXT,__text) external _KLAcquireNewInitialTicketsWithKeytab
000000018cf7f3c0 (__TEXT,__text) external _KLAcquireNewInitialTicketsWithPassword
000000018cf7f154 (__TEXT,__text) external _KLAcquireNewTickets
000000018cf7f34c (__TEXT,__text) external _KLAcquireNewTicketsWithPassword
000000018cf7f050 (__TEXT,__text) external _KLAcquireTickets
000000018cf7f250 (__TEXT,__text) external _KLAcquireTicketsWithPassword
000000018cf7f528 (__TEXT,__text) external _KLCacheHasValidTickets
000000018cf801a4 (__TEXT,__text) external _KLCancelAllDialogs
000000018cf7f9f0 (__TEXT,__text) external _KLChangePassword
000000018cf801ac (__TEXT,__text) external _KLChangePasswordWithPasswords
000000018cf8072c (__TEXT,__text) external _KLComparePrincipal
000000018cf802cc (__TEXT,__text) external _KLCountKerberosRealms
000000018cf807f8 (__TEXT,__text) external _KLCreateLoginOptions
000000018cf80418 (__TEXT,__text) external _KLCreatePrincipalFromKerberos5Principal
000000018cf80464 (__TEXT,__text) external _KLCreatePrincipalFromPrincipal
000000018cf80348 (__TEXT,__text) external _KLCreatePrincipalFromString
000000018cf802f4 (__TEXT,__text) external _KLCreatePrincipalFromTriplet
000000018cf7f9a4 (__TEXT,__text) external _KLDestroyTickets
000000018cf80a9c (__TEXT,__text) external _KLDisposeLoginOptions
000000018cf807a4 (__TEXT,__text) external _KLDisposePrincipal
000000018cf80b00 (__TEXT,__text) external _KLDisposeString
000000018cf801d4 (__TEXT,__text) external _KLFindKerberosRealmByName
000000018cf7f520 (__TEXT,__text) external _KLGetApplicationOptions
000000018cf801c4 (__TEXT,__text) external _KLGetDefaultLoginOption
000000018cf8065c (__TEXT,__text) external _KLGetDisplayStringFromPrincipal
000000018cf80108 (__TEXT,__text) external _KLGetErrorString
000000018cf801bc (__TEXT,__text) external _KLGetIdleCallback
000000018cf802d4 (__TEXT,__text) external _KLGetKerberosDefaultRealm
000000018cf8024c (__TEXT,__text) external _KLGetKerberosDefaultRealmByName
000000018cf802a4 (__TEXT,__text) external _KLGetKerberosRealm
000000018cf8058c (__TEXT,__text) external _KLGetStringFromPrincipal
000000018cf804b0 (__TEXT,__text) external _KLGetTripletFromPrincipal
000000018cf80100 (__TEXT,__text) external _KLHandleError
000000018cf802bc (__TEXT,__text) external _KLInsertKerberosRealm
000000018cf7fc88 (__TEXT,__text) external _KLLastChangedTime
000000018cf809cc (__TEXT,__text) external _KLLoginOptionsSetAddressless
000000018cf808d0 (__TEXT,__text) external _KLLoginOptionsSetForwardable
000000018cf80924 (__TEXT,__text) external _KLLoginOptionsSetProxiable
000000018cf80978 (__TEXT,__text) external _KLLoginOptionsSetRenewableLifetime
000000018cf80a3c (__TEXT,__text) external _KLLoginOptionsSetServiceName
000000018cf8087c (__TEXT,__text) external _KLLoginOptionsSetTicketLifetime
000000018cf80a04 (__TEXT,__text) external _KLLoginOptionsSetTicketStartTime
000000018cf802c4 (__TEXT,__text) external _KLRemoveAllKerberosRealms
000000018cf802b4 (__TEXT,__text) external _KLRemoveKerberosRealm
000000018cf7fa20 (__TEXT,__text) external _KLRenewInitialTickets
000000018cf7f518 (__TEXT,__text) external _KLSetApplicationOptions
000000018cf801cc (__TEXT,__text) external _KLSetDefaultLoginOption
000000018cf801b4 (__TEXT,__text) external _KLSetIdleCallback
000000018cf802e4 (__TEXT,__text) external _KLSetKerberosDefaultRealm
000000018cf802ec (__TEXT,__text) external _KLSetKerberosDefaultRealmByName
000000018cf802ac (__TEXT,__text) external _KLSetKerberosRealm
000000018cf8004c (__TEXT,__text) external _KLSetSystemDefaultCache
000000018cf7fa00 (__TEXT,__text) external _KLStoreNewInitialTicketCredentials
000000018cf7ff88 (__TEXT,__text) external _KLTicketExpirationTime
000000018cf7fec4 (__TEXT,__text) external _KLTicketStartTime
000000018cf7fc80 (__TEXT,__text) external _KLValidateInitialTickets
000000018cf7fa10 (__TEXT,__text) external _KLVerifyInitialTicketCredentials
000000018cf7fa08 (__TEXT,__text) external _KLVerifyInitialTickets
000000018cf84bb4 (__TEXT,__text) external _KPCreatePreferencesFile
000000018cf84ba0 (__TEXT,__text) external _KPFreeListOfPreferencesFiles
000000018cf84b98 (__TEXT,__text) external _KPGetListOfPreferencesFiles
000000018cf84b90 (__TEXT,__text) external _KPInitializeWithDefaultKerberosLibraryPreferences
000000018cf84ba4 (__TEXT,__text) external _KPPreferencesFileIsReadable
000000018cf84bac (__TEXT,__text) external _KPPreferencesFileIsWritable
000000018cf85090 (__TEXT,__text) external _KServerAddKeyCompat
000000018cf85098 (__TEXT,__text) external _KServerGetKeyCompat
000000018cf85088 (__TEXT,__text) external _KServerGetReplyTicketCompat
000000018cf850a0 (__TEXT,__text) external _KServerGetSessionTimeRemainingCompat
000000018cf85078 (__TEXT,__text) external _KServerNewSessionCompat
000000018cf85080 (__TEXT,__text) external _KServerVerifyTicketCompat
000000018cf83804 (__TEXT,__text) non-external _MYstrdup
                 (undefined) external __DefaultRuneLocale (from libSystem)
00000001dfa1a2b0 (__DATA,__bss) non-external __DeprecatedFunctionStringReturn.string
                 (undefined) external __NSConcreteGlobalBlock (from libSystem)
                 (undefined) external ___CFConstantStringClassReference (from CoreFoundation)
000000018cf80b40 (__TEXT,__text) external ___KLAllowAutomaticPrompting
000000018cf80b30 (__TEXT,__text) external ___KLAllowHomeDirectoryAccess
000000018cf80b58 (__TEXT,__text) external ___KLAllowRememberPassword
000000018cf80bc0 (__TEXT,__text) external ___KLCreatePrincipalFromKerberos5Principal
000000018cf80b60 (__TEXT,__text) external ___KLCreatePrincipalFromTriplet
000000018cf80c0c (__TEXT,__text) external ___KLGetKerberos5PrincipalFromPrincipal
000000018cf80c1c (__TEXT,__text) external ___KLGetKeychainPasswordForPrincipal
000000018cf80b90 (__TEXT,__text) external ___KLGetTripletFromPrincipal
000000018cf80c34 (__TEXT,__text) non-external (was a private external) ___KLLoginOptionsGetKerberos5Options
000000018cf80c44 (__TEXT,__text) non-external (was a private external) ___KLLoginOptionsGetServiceName
000000018cf80c3c (__TEXT,__text) non-external (was a private external) ___KLLoginOptionsGetStartTime
000000018cf80c14 (__TEXT,__text) external ___KLPrincipalIsTicketGrantingService
000000018cf80c24 (__TEXT,__text) external ___KLPrincipalSetKeychainPassword
000000018cf80b50 (__TEXT,__text) external ___KLPromptMechanism
000000018cf80c2c (__TEXT,__text) external ___KLRemoveKeychainPasswordForPrincipal
000000018cf80b1c (__TEXT,__text) external ___KLSetApplicationPrompter
000000018cf80b38 (__TEXT,__text) external ___KLSetAutomaticPrompting
000000018cf80b24 (__TEXT,__text) external ___KLSetHomeDirectoryAccess
000000018cf80b48 (__TEXT,__text) external ___KLSetPromptMechanism
000000018cf7e9a8 (__TEXT,__text) external ___KerberosDebugLogLevel
000000018cf7e9b0 (__TEXT,__text) external ___KerberosDebugPrint
000000018cf7e9b8 (__TEXT,__text) external ___KerberosDebugPrintMemory
000000018cf7e9bc (__TEXT,__text) external ___KerberosDebugPrintSession
000000018cf7e9b4 (__TEXT,__text) external ___KerberosDebugVAPrint
00000001dfa19cf0 (__DATA,__data) external ___KerberosInternal_krb5_defkeyname
000000018cf7a9ac (__TEXT,__text) external ___KerberosInternal_krb5int_sendtokdc_debug_handler
                 (undefined) external ___assert_rtn (from libSystem)
00000001e60202d8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
00000001e6020318 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.12
00000001e60202f8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.6
00000001ef682370 (__AUTH_CONST,__const) non-external ___block_literal_global
00000001ef6823b0 (__AUTH_CONST,__const) non-external ___block_literal_global.14
00000001ef682390 (__AUTH_CONST,__const) non-external ___block_literal_global.8
                 (undefined) external ___error (from libSystem)
000000018cf7de90 (__TEXT,__text) non-external ___error_message_block_invoke
000000018cf79ec0 (__TEXT,__text) non-external ___init_log_block_invoke
                 (undefined) external ___maskrune (from libSystem)
000000018cf7d3f8 (__TEXT,__text) non-external ___mshim_ctx_block_invoke
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external _abort (from libSystem)
000000018cf7f658 (__TEXT,__text) non-external _acquireticket_ui
000000018cf8301c (__TEXT,__text) non-external _add_data_to_buffer
000000018cf7a010 (__TEXT,__text) external _add_error_table
000000018cf817d4 (__TEXT,__text) non-external _add_to_list
000000018cf86950 (__TEXT,__text) external _apple_gss_krb5_export_authdata_if_relevant_context
000000018cf86a44 (__TEXT,__text) external _apple_gss_krb5_free_authdata_if_relevant
                 (undefined) external _asprintf (from libSystem)
                 (undefined) external _bzero (from libSystem)
                 (undefined) external _calloc (from libSystem)
000000018cf7a018 (__TEXT,__text) external _cc_close
000000018cf7a020 (__TEXT,__text) external _cc_create
000000018cf7a028 (__TEXT,__text) external _cc_destroy
000000018cf7a030 (__TEXT,__text) external _cc_free_NC_info
000000018cf7a038 (__TEXT,__text) external _cc_free_creds
000000018cf7a040 (__TEXT,__text) external _cc_free_name
000000018cf7a048 (__TEXT,__text) external _cc_free_principal
00000001eb962f70 (__AUTH,__data) non-external (was a private external) _cc_functions
000000018cf7a050 (__TEXT,__text) external _cc_get_NC_info
000000018cf7a058 (__TEXT,__text) external _cc_get_change_time
000000018cf7a060 (__TEXT,__text) external _cc_get_cred_version
000000018cf7a068 (__TEXT,__text) external _cc_get_name
000000018cf7a070 (__TEXT,__text) external _cc_get_principal
000000018cf7b8ec (__TEXT,__text) external _cc_initialize
000000018cf7ca84 (__TEXT,__text) non-external _cc_iterator_clone
000000018cf7af20 (__TEXT,__text) non-external (was a private external) _cc_iterator_next
000000018cf7ca2c (__TEXT,__text) non-external _cc_iterator_release
000000018cf7a078 (__TEXT,__text) external _cc_open
000000018cf7a080 (__TEXT,__text) external _cc_remove_cred
000000018cf7a088 (__TEXT,__text) external _cc_seq_fetch_NCs_begin
000000018cf7a090 (__TEXT,__text) external _cc_seq_fetch_NCs_end
000000018cf7a098 (__TEXT,__text) external _cc_seq_fetch_NCs_next
000000018cf7a0a0 (__TEXT,__text) external _cc_seq_fetch_creds_begin
000000018cf7a0a8 (__TEXT,__text) external _cc_seq_fetch_creds_end
000000018cf7a0b0 (__TEXT,__text) external _cc_seq_fetch_creds_next
000000018cf7a0b8 (__TEXT,__text) external _cc_set_principal
000000018cf7a0c0 (__TEXT,__text) external _cc_shutdown
000000018cf7a0c8 (__TEXT,__text) external _cc_store
000000018cf7c940 (__TEXT,__text) non-external _ccache_clear_kdc_time_offset
000000018cf7c6c8 (__TEXT,__text) non-external _ccache_compare
000000018cf7b9b8 (__TEXT,__text) non-external _ccache_destroy
00000001eb962fd8 (__AUTH,__data) non-external _ccache_functions
000000018cf7c66c (__TEXT,__text) non-external _ccache_get_change_time
000000018cf7bac8 (__TEXT,__text) non-external _ccache_get_credentials_version
000000018cf7c7b4 (__TEXT,__text) non-external _ccache_get_kdc_time_offset
000000018cf7c5f4 (__TEXT,__text) non-external _ccache_get_last_default_time
000000018cf7bae4 (__TEXT,__text) non-external _ccache_get_name
000000018cf7bb90 (__TEXT,__text) non-external _ccache_get_principal
00000001eb963078 (__AUTH,__data) non-external _ccache_iterator_functions
000000018cf7c584 (__TEXT,__text) non-external _ccache_lock
000000018cf7c4bc (__TEXT,__text) non-external _ccache_move
000000018cf7c3d8 (__TEXT,__text) non-external _ccache_new_credentials_iterator
000000018cf7aec0 (__TEXT,__text) non-external (was a private external) _ccache_release
000000018cf7c21c (__TEXT,__text) non-external _ccache_remove_credentials
000000018cf7ba30 (__TEXT,__text) non-external _ccache_set_default
000000018cf7c87c (__TEXT,__text) non-external _ccache_set_kdc_time_offset
000000018cf7bcc0 (__TEXT,__text) non-external _ccache_set_principal
000000018cf7bde0 (__TEXT,__text) non-external _ccache_store_credentials
000000018cf7c5bc (__TEXT,__text) non-external _ccache_unlock
000000018cf7c9d0 (__TEXT,__text) non-external _ccache_wait_for_change
000000018cf7c9d8 (__TEXT,__text) non-external _check_exists
                 (undefined) external _com_err (from Heimdal)
                 (indirect) external _com_err (for _com_err)
                 (undefined) external _com_err_va (from Heimdal)
                 (indirect) external _com_err_va (for _com_err_va)
00000001e6020390 (__DATA_CONST,__const) non-external _conf_no
00000001e6020358 (__DATA_CONST,__const) non-external _conf_yes
00000001dfa19b70 (__DATA,__data) non-external _context_change_time
000000018cf7b8c0 (__TEXT,__text) non-external _context_compare
000000018cf7b3ac (__TEXT,__text) non-external _context_create_ccache
000000018cf7b514 (__TEXT,__text) non-external _context_create_default_ccache
000000018cf7b6a0 (__TEXT,__text) non-external _context_create_new_ccache
000000018cf7b0d8 (__TEXT,__text) non-external _context_get_change_time
000000018cf7b134 (__TEXT,__text) non-external _context_get_default_ccache_name
000000018cf7b8b0 (__TEXT,__text) non-external _context_lock
000000018cf7b818 (__TEXT,__text) non-external _context_new_ccache_iterator
000000018cf7b1d0 (__TEXT,__text) non-external _context_open_ccache
000000018cf7b2c8 (__TEXT,__text) non-external _context_open_default_ccache
000000018cf7b088 (__TEXT,__text) non-external _context_release
000000018cf7b8b8 (__TEXT,__text) non-external _context_unlock
000000018cf7b8e4 (__TEXT,__text) non-external _context_wait_for_change
000000018cf7aa6c (__TEXT,__text) non-external _cred_compare
000000018cf7ae54 (__TEXT,__text) non-external (was a private external) _cred_iter_clone
00000001eb962f58 (__AUTH,__data) non-external (was a private external) _cred_iter_functions
000000018cf7aa7c (__TEXT,__text) non-external (was a private external) _cred_iter_next
000000018cf7ae5c (__TEXT,__text) non-external _cred_iter_release
000000018cf7aa20 (__TEXT,__text) non-external _cred_release
00000001eb962f48 (__AUTH,__data) non-external (was a private external) _credential_functions
                 (undefined) external _decode_Ticket (from Heimdal)
000000018cf84bc4 (__TEXT,__text) external _decomp_ticket
000000018cf84df0 (__TEXT,__text) external _dest_all_tkts
000000018cf84dd0 (__TEXT,__text) external _dest_tkt
000000018cf7d430 (__TEXT,__text) non-external _destroy_ctx
                 (undefined) external _dispatch_once (from libSystem)
00000001dfa19e88 (__DATA,__bss) non-external _do_log
000000018cf82b38 (__TEXT,__text) non-external _dump_profile
000000018cf82fd8 (__TEXT,__text) non-external _dump_profile_to_buffer_cb
000000018cf82f34 (__TEXT,__text) non-external _dump_profile_to_file_cb
000000018cf7a0d0 (__TEXT,__text) external _encode_krb5_as_req
000000018cf81854 (__TEXT,__text) non-external _end_list
000000018cf7ddf8 (__TEXT,__text) external _error_message
00000001dfa19ea0 (__DATA,__bss) non-external _error_message.buffer
00000001dfa19e98 (__DATA,__bss) non-external _error_message.et_list
00000001dfa19e90 (__DATA,__bss) non-external _error_message.once
                 (undefined) external _fclose (from libSystem)
                 (undefined) external _feof (from libSystem)
000000018cf7fd44 (__TEXT,__text) non-external _fetch_creds
                 (undefined) external _fgets (from libSystem)
                 (undefined) external _fopen (from libSystem)
                 (undefined) external _fputs (from libSystem)
                 (undefined) external _free (from libSystem)
                 (undefined) external _free_Ticket (from Heimdal)
                 (undefined) external _fseek (from libSystem)
00000001dfa1a2a8 (__DATA,__bss) non-external _g_cc_change_time
00000001dfa19cf8 (__DATA,__data) non-external _g_change_time_mutex
00000001dfa1a2a0 (__DATA,__bss) non-external _g_kl_change_time
000000018cf84c1c (__TEXT,__text) external _get_ad_tkt
000000018cf84c94 (__TEXT,__text) external _get_pw_tkt
                 (undefined) external _getenv (from libSystem)
                 (undefined) external _geteuid (from libSystem)
                 (undefined) external _gss_accept_sec_context (from GSS)
                 (indirect) external _gss_accept_sec_context (for _gss_accept_sec_context)
                 (undefined) external _gss_acquire_cred (from GSS)
                 (indirect) external _gss_acquire_cred (for _gss_acquire_cred)
                 (undefined) external _gss_add_cred (from GSS)
                 (indirect) external _gss_add_cred (for _gss_add_cred)
                 (undefined) external _gss_add_oid_set_member (from GSS)
                 (indirect) external _gss_add_oid_set_member (for _gss_add_oid_set_member)
00000001dfa19c18 (__DATA,__data) non-external _gss_c_nt_anonymous_oid_desc
00000001dfa19c30 (__DATA,__data) non-external _gss_c_nt_export_name_oid_desc
00000001dfa19bf0 (__DATA,__data) non-external _gss_c_nt_hostbased_service_oid_desc
00000001dfa19bd8 (__DATA,__data) non-external _gss_c_nt_hostbased_service_x_oid_desc
00000001dfa19ba8 (__DATA,__data) non-external _gss_c_nt_machine_uid_name_oid_desc
00000001dfa19bc0 (__DATA,__data) non-external _gss_c_nt_string_uid_name_oid_desc
00000001dfa19b90 (__DATA,__data) non-external _gss_c_nt_user_name_oid_desc
                 (undefined) external _gss_canonicalize_name (from GSS)
                 (indirect) external _gss_canonicalize_name (for _gss_canonicalize_name)
                 (undefined) external _gss_compare_name (from GSS)
                 (indirect) external _gss_compare_name (for _gss_compare_name)
                 (undefined) external _gss_context_time (from GSS)
                 (indirect) external _gss_context_time (for _gss_context_time)
                 (undefined) external _gss_create_empty_oid_set (from GSS)
                 (indirect) external _gss_create_empty_oid_set (for _gss_create_empty_oid_set)
                 (undefined) external _gss_delete_sec_context (from GSS)
                 (indirect) external _gss_delete_sec_context (for _gss_delete_sec_context)
                 (undefined) external _gss_display_name (from GSS)
                 (indirect) external _gss_display_name (for _gss_display_name)
                 (undefined) external _gss_display_status (from GSS)
                 (indirect) external _gss_display_status (for _gss_display_status)
                 (undefined) external _gss_duplicate_name (from GSS)
                 (indirect) external _gss_duplicate_name (for _gss_duplicate_name)
                 (undefined) external _gss_export_name (from GSS)
                 (indirect) external _gss_export_name (for _gss_export_name)
                 (undefined) external _gss_export_sec_context (from GSS)
                 (indirect) external _gss_export_sec_context (for _gss_export_sec_context)
