00000001f759ff38 (__TEXT,__text) non-external +[ODCAction action]
0000000217299dc0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._finishRecoveryCallbacks
0000000217299dcc (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._finished
0000000217299e10 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._legacyBinding
0000000217299e08 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._localizeProgressStatus
0000000217299de4 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._needsRecovery
0000000217299e14 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._odConfigNode
0000000217299dfc (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._odSession
0000000217299dec (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._originalThread
0000000217299dd4 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._percentComplete
0000000217299dd8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._progressStatus
0000000217299de0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._recoverable
0000000217299dc4 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._recoveryAction
0000000217299e00 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._remote
0000000217299e0c (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._remoteAuthExtForm
0000000217299e04 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._remoteauth_external
0000000217299da4 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._results
0000000217299e18 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._rootDSE
