                 (undefined) external _OSSpinLockLock (from libsystem_platform)
                 (undefined) external _OSSpinLockUnlock (from libsystem_platform)
                 (undefined) external __Unwind_GetIP (from libunwind)
                 (undefined) external __Unwind_GetLanguageSpecificData (from libunwind)
                 (undefined) external __Unwind_GetRegionStart (from libunwind)
                 (undefined) external __Unwind_SetGR (from libunwind)
                 (undefined) external __Unwind_SetIP (from libunwind)
                 (undefined) external ____chkstk_darwin (from libsystem_pthread)
00007ff80dd5313d (__TEXT,__text) external ___absvdi2
00007ff80dd579e2 (__TEXT,__text) external ___ucmpti2
00007ff80dd52ea4 (__TEXT,__text) external ___udivdi3
00007ff80dd57a03 (__TEXT,__text) external ___udivmoddi4
00007ff80dd52de4 (__TEXT,__text) external ___udivmodti4
00007ff80dd52ddc (__TEXT,__text) external ___udivti3
00007ff80dd52f24 (__TEXT,__text) external ___umoddi3
00007ff80dd57c28 (__TEXT,__text) external ___umodti3
00007ff80dd543c0 (__TEXT,__text) external _atomic_flag_clear
00007ff80dd543c5 (__TEXT,__text) external _atomic_flag_clear_explicit
00007ff80dd543d8 (__TEXT,__text) external _atomic_flag_test_and_set
00007ff80dd543e0 (__TEXT,__text) external _atomic_flag_test_and_set_explicit
00007ff80dd54414 (__TEXT,__text) external _atomic_signal_fence
00007ff80dd54440 (__TEXT,__text) external _atomic_thread_fence
                 (undefined) external _fmaxl (from libsystem_m)
00007ff8423ebf30 (__DATA,__bss) non-external _locks
                 (undefined) external _logbl (from libsystem_m)
                 (undefined) external _memcmp (from libsystem_c)
                 (undefined) external _memcpy (from libsystem_c)
                 (undefined) external _mprotect (from libsystem_kernel)
00007ff80dd564a9 (__TEXT,__text) non-external _readEncodedPointer
                 (undefined) external _scalbnl (from libsystem_m)
00007ff80dd58750 (__TEXT,__const) non-external two
00007ff80dd58720 (__TEXT,__const) non-external twop52
00007ff80dd58760 (__TEXT,__const) non-external twop64
00007ff80dd58740 (__TEXT,__const) non-external twop84
00007ff80dd58730 (__TEXT,__const) non-external twop84_plus_twop52
