00007ffb42a5a2c0 (__DATA,__bss) non-external _A
00007ffb1c302310 (__TEXT,__const) non-external __scan_table_start.yybm
00007ffb1c2ebe2e (__TEXT,__text) external __scan_tasklist
00007ffb1c302610 (__TEXT,__const) non-external __scan_tasklist.yybm
                 (undefined) external _abort (from libSystem)
00007ffb1c2f904d (__TEXT,__text) non-external _add_child
00007ffb1c30171e (__TEXT,__text) non-external _add_child.cold.1
00007ffb1c2f9723 (__TEXT,__text) non-external _add_line
00007ffb1c301787 (__TEXT,__text) non-external _add_line.cold.1
00007ffb1c2fe3cf (__TEXT,__text) non-external _adjust_subj_node_newlines
00007ffb1c30106f (__TEXT,__text) non-external _alloc_arena_chunk
00007ffb1c3011aa (__TEXT,__text) non-external _arena_calloc
00007ffb1c3012c0 (__TEXT,__text) non-external _arena_free
00007ffb42a5a280 (__DATA,__bss) non-external _arena_lock
00007ffb42a5a100 (__DATA,__data) non-external _arena_once
00007ffb1c301278 (__TEXT,__text) non-external _arena_realloc
00007ffb1c2eab26 (__TEXT,__text) non-external _autolink_delim
00007ffb42a59f70 (__DATA,__const) non-external _blacklist
                 (undefined) external _bsearch (from libSystem)
                 (undefined) external _calloc (from libSystem)
00007ffb1c2e9b15 (__TEXT,__text) non-external _can_contain
00007ffb1c2ec2ec (__TEXT,__text) non-external _can_contain
00007ffb1c3000b9 (__TEXT,__text) non-external _can_contain
00007ffb1c2eaa40 (__TEXT,__text) non-external _check_domain
00007ffb1c2fe6c6 (__TEXT,__text) non-external _chunk_clone
00007ffb1c3010c6 (__TEXT,__text) external _cmark_arena_pop
00007ffb1c30101e (__TEXT,__text) external _cmark_arena_push
00007ffb1c301144 (__TEXT,__text) external _cmark_arena_reset
00007ffb1c2faf46 (__TEXT,__text) external _cmark_clean_attributes
00007ffb1c2faeb9 (__TEXT,__text) external _cmark_clean_title
00007ffb1c2fadee (__TEXT,__text) external _cmark_clean_url
00007ffb1c3017b0 (__TEXT,__text) non-external _cmark_clean_url.cold.1
00007ffb1c3017d1 (__TEXT,__text) non-external _cmark_clean_url.cold.2
00007ffb1c2ec745 (__TEXT,__text) external _cmark_consolidate_text_nodes
00007ffb1c302210 (__TEXT,__const) non-external _cmark_ctype_class
00007ffb42a51aa0 (__DATA,__const) non-external _cmark_entities
00007ffb1c2eb236 (__TEXT,__text) external _cmark_find_syntax_extension
00007ffb1c2f698c (__TEXT,__text) external _cmark_footnote_create
00007ffb1c30157b (__TEXT,__text) non-external _cmark_footnote_create.cold.1
00007ffb1c2f69f4 (__TEXT,__text) external _cmark_footnote_map_new
00007ffb1c3012c6 (__TEXT,__text) external _cmark_get_arena_mem_allocator
00007ffb1c2e879c (__TEXT,__text) external _cmark_get_default_mem_allocator
00007ffb1c2f6a41 (__TEXT,__text) external _cmark_gfm_core_extensions_ensure_registered
00007ffb1c300c10 (__TEXT,__text) external _cmark_gfm_extensions_get_table_alignments
00007ffb1c300bf0 (__TEXT,__text) external _cmark_gfm_extensions_get_table_columns
00007ffb1c300cab (__TEXT,__text) external _cmark_gfm_extensions_get_table_row_is_header
00007ffb1c2e992a (__TEXT,__text) external _cmark_gfm_extensions_get_tasklist_item_checked
00007ffb1c300c53 (__TEXT,__text) external _cmark_gfm_extensions_set_table_alignments
00007ffb1c300c2e (__TEXT,__text) external _cmark_gfm_extensions_set_table_columns
00007ffb1c300ccb (__TEXT,__text) external _cmark_gfm_extensions_set_table_row_is_header
00007ffb1c2e98d5 (__TEXT,__text) external _cmark_gfm_extensions_set_tasklist_item_checked
00007ffb1c2fe312 (__TEXT,__text) external _cmark_inline_parser_advance_offset
00007ffb1c2fe340 (__TEXT,__text) external _cmark_inline_parser_get_chunk
00007ffb1c2fe32d (__TEXT,__text) external _cmark_inline_parser_get_column
00007ffb1c2fe3bc (__TEXT,__text) external _cmark_inline_parser_get_last_delimiter
00007ffb1c2fe3c6 (__TEXT,__text) external _cmark_inline_parser_get_line
00007ffb1c2fe31b (__TEXT,__text) external _cmark_inline_parser_get_offset
00007ffb1c2fe34a (__TEXT,__text) external _cmark_inline_parser_in_bracket
00007ffb1c2fe05a (__TEXT,__text) external _cmark_inline_parser_is_eof
00007ffb1c2fe049 (__TEXT,__text) external _cmark_inline_parser_peek_at
00007ffb1c2fe025 (__TEXT,__text) external _cmark_inline_parser_peek_char
00007ffb1c301d8b (__TEXT,__text) non-external _cmark_inline_parser_peek_char.cold.1
00007ffb1c2fe109 (__TEXT,__text) external _cmark_inline_parser_push_delimiter
00007ffb1c2fe185 (__TEXT,__text) external _cmark_inline_parser_remove_delimiter
00007ffb1c2fe18f (__TEXT,__text) external _cmark_inline_parser_scan_delimiters
00007ffb1c301dd1 (__TEXT,__text) non-external _cmark_inline_parser_scan_delimiters.cold.1
00007ffb1c2fe324 (__TEXT,__text) external _cmark_inline_parser_set_offset
00007ffb1c2fe06b (__TEXT,__text) external _cmark_inline_parser_take_while
00007ffb1c301dae (__TEXT,__text) non-external _cmark_inline_parser_take_while.cold.1
00007ffb1c2faf7a (__TEXT,__text) external _cmark_inlines_add_special_character
00007ffb1c2faf9c (__TEXT,__text) external _cmark_inlines_remove_special_character
00007ffb1c2e9882 (__TEXT,__text) external _cmark_isalnum
00007ffb1c2e98bb (__TEXT,__text) external _cmark_isalpha
00007ffb1c2e98a1 (__TEXT,__text) external _cmark_isdigit
00007ffb1c2e9868 (__TEXT,__text) external _cmark_ispunct
00007ffb1c2e984e (__TEXT,__text) external _cmark_isspace
00007ffb1c2ec668 (__TEXT,__text) external _cmark_iter_free
00007ffb1c2ec732 (__TEXT,__text) external _cmark_iter_get_event_type
00007ffb1c2ec728 (__TEXT,__text) external _cmark_iter_get_node
00007ffb1c2ec73b (__TEXT,__text) external _cmark_iter_get_root
00007ffb1c2ec620 (__TEXT,__text) external _cmark_iter_new
00007ffb1c2ec673 (__TEXT,__text) external _cmark_iter_next
00007ffb1c301534 (__TEXT,__text) non-external _cmark_iter_next.cold.1
00007ffb1c2ec717 (__TEXT,__text) external _cmark_iter_reset
00007ffb1c2eb1ca (__TEXT,__text) external _cmark_list_syntax_extensions
00007ffb1c2ed5d0 (__TEXT,__text) external _cmark_llist_append
00007ffb1c2ed65d (__TEXT,__text) external _cmark_llist_free
00007ffb1c2ed61a (__TEXT,__text) external _cmark_llist_free_full
00007ffb1c2f77b7 (__TEXT,__text) external _cmark_manage_extensions_special_characters
00007ffb1c2f6c95 (__TEXT,__text) external _cmark_map_free
00007ffb1c2f6b47 (__TEXT,__text) external _cmark_map_lookup
00007ffb1c2f6cdb (__TEXT,__text) external _cmark_map_new
00007ffb1c2e87a9 (__TEXT,__text) external _cmark_markdown_to_html
00007ffb1c2fac00 (__TEXT,__text) external _cmark_node_append_child
00007ffb1c2f97fc (__TEXT,__text) external _cmark_node_can_contain_type
00007ffb1c2fac56 (__TEXT,__text) external _cmark_node_check
00007ffb1c2f9dda (__TEXT,__text) external _cmark_node_first_child
00007ffb1c2f9988 (__TEXT,__text) external _cmark_node_free
00007ffb1c2fa619 (__TEXT,__text) external _cmark_node_get_attributes
00007ffb1c2f9f45 (__TEXT,__text) external _cmark_node_get_backtick_count
00007ffb1c2faa42 (__TEXT,__text) external _cmark_node_get_end_column
00007ffb1c2faa31 (__TEXT,__text) external _cmark_node_get_end_line
00007ffb1c2fa1f2 (__TEXT,__text) external _cmark_node_get_fence_info
00007ffb1c2fa324 (__TEXT,__text) external _cmark_node_get_fenced
00007ffb1c2fa08d (__TEXT,__text) external _cmark_node_get_heading_level
00007ffb1c2fa118 (__TEXT,__text) external _cmark_node_get_list_delim
00007ffb1c2fa163 (__TEXT,__text) external _cmark_node_get_list_start
00007ffb1c2fa1aa (__TEXT,__text) external _cmark_node_get_list_tight
00007ffb1c2fa0d3 (__TEXT,__text) external _cmark_node_get_list_type
00007ffb1c2f9e3e (__TEXT,__text) external _cmark_node_get_literal
00007ffb1c2fa74b (__TEXT,__text) external _cmark_node_get_on_enter
00007ffb1c2fa891 (__TEXT,__text) external _cmark_node_get_on_exit
00007ffb1c2faa20 (__TEXT,__text) external _cmark_node_get_start_column
00007ffb1c2faa0f (__TEXT,__text) external _cmark_node_get_start_line
00007ffb1c2fa073 (__TEXT,__text) external _cmark_node_get_string_content
00007ffb1c2fa9e6 (__TEXT,__text) external _cmark_node_get_syntax_extension
00007ffb1c2fa4d2 (__TEXT,__text) external _cmark_node_get_title
00007ffb1c2f9a63 (__TEXT,__text) external _cmark_node_get_type
00007ffb1c2f9bec (__TEXT,__text) external _cmark_node_get_type_string
00007ffb1c2fa39a (__TEXT,__text) external _cmark_node_get_url
00007ffb1c2f9dfe (__TEXT,__text) external _cmark_node_get_user_data
00007ffb1c2faaf4 (__TEXT,__text) external _cmark_node_insert_after
00007ffb1c2faa77 (__TEXT,__text) external _cmark_node_insert_before
00007ffb1c2f9dec (__TEXT,__text) external _cmark_node_last_child
00007ffb1c2f9975 (__TEXT,__text) external _cmark_node_new
00007ffb1c2f9955 (__TEXT,__text) external _cmark_node_new_with_ext
00007ffb1c2f9969 (__TEXT,__text) external _cmark_node_new_with_mem
00007ffb1c2f98c0 (__TEXT,__text) external _cmark_node_new_with_mem_and_ext
00007ffb1c2f9da4 (__TEXT,__text) external _cmark_node_next
00007ffb1c2ec8ce (__TEXT,__text) external _cmark_node_own
00007ffb1c2f9dc8 (__TEXT,__text) external _cmark_node_parent
00007ffb1c2fabaa (__TEXT,__text) external _cmark_node_prepend_child
00007ffb1c2f9db6 (__TEXT,__text) external _cmark_node_previous
00007ffb1c2fab71 (__TEXT,__text) external _cmark_node_replace
00007ffb1c2fa698 (__TEXT,__text) external _cmark_node_set_attributes
00007ffb1c2fa271 (__TEXT,__text) external _cmark_node_set_fence_info
00007ffb1c2fa360 (__TEXT,__text) external _cmark_node_set_fenced
00007ffb1c2fa0a9 (__TEXT,__text) external _cmark_node_set_heading_level
00007ffb1c2fa137 (__TEXT,__text) external _cmark_node_set_list_delim
00007ffb1c2fa182 (__TEXT,__text) external _cmark_node_set_list_start
00007ffb1c2fa1ca (__TEXT,__text) external _cmark_node_set_list_tight
00007ffb1c2fa0ef (__TEXT,__text) external _cmark_node_set_list_type
00007ffb1c2f9f4e (__TEXT,__text) external _cmark_node_set_literal
00007ffb1c2fa7d4 (__TEXT,__text) external _cmark_node_set_on_enter
00007ffb1c2fa923 (__TEXT,__text) external _cmark_node_set_on_exit
00007ffb1c2fa07d (__TEXT,__text) external _cmark_node_set_string_content
00007ffb1c2fa9f8 (__TEXT,__text) external _cmark_node_set_syntax_extension
00007ffb1c2fa55d (__TEXT,__text) external _cmark_node_set_title
00007ffb1c2f9a75 (__TEXT,__text) external _cmark_node_set_type
00007ffb1c2fa41c (__TEXT,__text) external _cmark_node_set_url
00007ffb1c2f9e10 (__TEXT,__text) external _cmark_node_set_user_data
00007ffb1c2f9e27 (__TEXT,__text) external _cmark_node_set_user_data_free_func
00007ffb1c2faa53 (__TEXT,__text) external _cmark_node_unlink
00007ffb1c2fe373 (__TEXT,__text) external _cmark_node_unput
00007ffb1c2f7ecc (__TEXT,__text) external _cmark_parse_document
00007ffb1c2f7821 (__TEXT,__text) external _cmark_parse_file
00007ffb1c2fafbe (__TEXT,__text) external _cmark_parse_inlines
00007ffb1c3017f2 (__TEXT,__text) non-external _cmark_parse_inlines.cold.1
00007ffb1c30192d (__TEXT,__text) non-external _cmark_parse_inlines.cold.10
00007ffb1c301950 (__TEXT,__text) non-external _cmark_parse_inlines.cold.11
00007ffb1c301973 (__TEXT,__text) non-external _cmark_parse_inlines.cold.12
00007ffb1c301996 (__TEXT,__text) non-external _cmark_parse_inlines.cold.13
00007ffb1c3019b9 (__TEXT,__text) non-external _cmark_parse_inlines.cold.14
00007ffb1c3019dc (__TEXT,__text) non-external _cmark_parse_inlines.cold.15
00007ffb1c3019ff (__TEXT,__text) non-external _cmark_parse_inlines.cold.16
00007ffb1c301a22 (__TEXT,__text) non-external _cmark_parse_inlines.cold.17
00007ffb1c301a45 (__TEXT,__text) non-external _cmark_parse_inlines.cold.18
00007ffb1c301a68 (__TEXT,__text) non-external _cmark_parse_inlines.cold.19
00007ffb1c301815 (__TEXT,__text) non-external _cmark_parse_inlines.cold.2
00007ffb1c301838 (__TEXT,__text) non-external _cmark_parse_inlines.cold.3
00007ffb1c30185b (__TEXT,__text) non-external _cmark_parse_inlines.cold.4
00007ffb1c30187e (__TEXT,__text) non-external _cmark_parse_inlines.cold.5
00007ffb1c3018a1 (__TEXT,__text) non-external _cmark_parse_inlines.cold.6
00007ffb1c3018c4 (__TEXT,__text) non-external _cmark_parse_inlines.cold.7
00007ffb1c3018e7 (__TEXT,__text) non-external _cmark_parse_inlines.cold.8
00007ffb1c30190a (__TEXT,__text) non-external _cmark_parse_inlines.cold.9
00007ffb1c2fde46 (__TEXT,__text) external _cmark_parse_reference_attributes_inline
00007ffb1c301cdc (__TEXT,__text) non-external _cmark_parse_reference_attributes_inline.cold.1
00007ffb1c301cff (__TEXT,__text) non-external _cmark_parse_reference_attributes_inline.cold.2
00007ffb1c301d22 (__TEXT,__text) non-external _cmark_parse_reference_attributes_inline.cold.3
00007ffb1c301d45 (__TEXT,__text) non-external _cmark_parse_reference_attributes_inline.cold.4
00007ffb1c301d68 (__TEXT,__text) non-external _cmark_parse_reference_attributes_inline.cold.5
00007ffb1c2fd79f (__TEXT,__text) external _cmark_parse_reference_inline
00007ffb1c301aae (__TEXT,__text) non-external _cmark_parse_reference_inline.cold.1
00007ffb1c301ad1 (__TEXT,__text) non-external _cmark_parse_reference_inline.cold.2
00007ffb1c301af4 (__TEXT,__text) non-external _cmark_parse_reference_inline.cold.3
00007ffb1c301b17 (__TEXT,__text) non-external _cmark_parse_reference_inline.cold.4
00007ffb1c301b3a (__TEXT,__text) non-external _cmark_parse_reference_inline.cold.5
00007ffb1c301b5d (__TEXT,__text) non-external _cmark_parse_reference_inline.cold.6
00007ffb1c301b80 (__TEXT,__text) non-external _cmark_parse_reference_inline.cold.7
00007ffb1c2f9043 (__TEXT,__text) external _cmark_parser_add_child
00007ffb1c2f9117 (__TEXT,__text) external _cmark_parser_advance_offset
00007ffb1c2f74e0 (__TEXT,__text) external _cmark_parser_attach_syntax_extension
00007ffb1c2f7789 (__TEXT,__text) non-external _cmark_parser_dispose
00007ffb1c2f7f21 (__TEXT,__text) external _cmark_parser_feed
00007ffb1c2f7f2d (__TEXT,__text) external _cmark_parser_feed_reentrant
00007ffb1c2f7a66 (__TEXT,__text) external _cmark_parser_finish
00007ffb1c2f770b (__TEXT,__text) external _cmark_parser_free
00007ffb1c2f9002 (__TEXT,__text) external _cmark_parser_get_column
00007ffb1c2f900b (__TEXT,__text) external _cmark_parser_get_first_nonspace
00007ffb1c2f9014 (__TEXT,__text) external _cmark_parser_get_first_nonspace_column
00007ffb1c2f901d (__TEXT,__text) external _cmark_parser_get_indent
00007ffb1c2f903a (__TEXT,__text) external _cmark_parser_get_last_line_length
00007ffb1c2f8ff0 (__TEXT,__text) external _cmark_parser_get_line_number
00007ffb1c2f8ff9 (__TEXT,__text) external _cmark_parser_get_offset
00007ffb1c2f91fa (__TEXT,__text) external _cmark_parser_get_syntax_extensions
00007ffb1c2f9030 (__TEXT,__text) external _cmark_parser_has_partially_consumed_tab
00007ffb1c2f9026 (__TEXT,__text) external _cmark_parser_is_blank
00007ffb1c2f76fa (__TEXT,__text) external _cmark_parser_new
00007ffb1c2f7591 (__TEXT,__text) external _cmark_parser_new_with_mem
00007ffb1c2f75ea (__TEXT,__text) non-external _cmark_parser_reset
00007ffb1c2f91ed (__TEXT,__text) external _cmark_parser_set_backslash_ispunct_func
00007ffb1c2ec1a8 (__TEXT,__text) external _cmark_plugin_free
00007ffb1c2ec188 (__TEXT,__text) external _cmark_plugin_new
00007ffb1c2ec15e (__TEXT,__text) external _cmark_plugin_register_syntax_extension
00007ffb1c2ec1d8 (__TEXT,__text) external _cmark_plugin_steal_syntax_extensions
00007ffb1c2f72ea (__TEXT,__text) external _cmark_reference_create
00007ffb1c301625 (__TEXT,__text) non-external _cmark_reference_create.cold.1
00007ffb1c2f73a7 (__TEXT,__text) external _cmark_reference_create_attributes
00007ffb1c301646 (__TEXT,__text) non-external _cmark_reference_create_attributes.cold.1
00007ffb1c2f7442 (__TEXT,__text) external _cmark_reference_map_new
00007ffb1c2eb0c8 (__TEXT,__text) external _cmark_register_plugin
00007ffb1c2eb170 (__TEXT,__text) external _cmark_release_plugins
00007ffb1c2eb300 (__TEXT,__text) external _cmark_render
00007ffb1c2eb2b7 (__TEXT,__text) external _cmark_render_ascii
00007ffb1c2eb2e0 (__TEXT,__text) external _cmark_render_code_point
00007ffb1c2e7504 (__TEXT,__text) external _cmark_render_commonmark
00007ffb1c2e752d (__TEXT,__text) external _cmark_render_commonmark_with_mem
00007ffb1c2e87dc (__TEXT,__text) external _cmark_render_html
00007ffb1c2e87e9 (__TEXT,__text) external _cmark_render_html_with_mem
00007ffb1c3014ca (__TEXT,__text) non-external _cmark_render_html_with_mem.cold.1
00007ffb1c2ecacc (__TEXT,__text) external _cmark_render_latex
00007ffb1c2ecaee (__TEXT,__text) external _cmark_render_latex_with_mem
00007ffb1c2e9d10 (__TEXT,__text) external _cmark_render_man
00007ffb1c2e9d32 (__TEXT,__text) external _cmark_render_man_with_mem
00007ffb1c2ff16c (__TEXT,__text) external _cmark_render_plaintext
00007ffb1c2ff195 (__TEXT,__text) external _cmark_render_plaintext_with_mem
00007ffb1c2fe71c (__TEXT,__text) external _cmark_render_xml
00007ffb1c2fe729 (__TEXT,__text) external _cmark_render_xml_with_mem
00007ffb1c2fadc4 (__TEXT,__text) external _cmark_set_default_skip_chars
00007ffb42a5a180 (__DATA,__bss) non-external _cmark_set_default_skip_chars.default_skip_chars
00007ffb1c2faf50 (__TEXT,__text) external _cmark_set_default_special_chars
00007ffb42a5a000 (__DATA,__data) non-external _cmark_set_default_special_chars.default_special_chars
00007ffb42a5a2cc (__DATA,__common) external _cmark_strbuf__initbuf
00007ffb1c2f6df0 (__TEXT,__text) external _cmark_strbuf_clear
00007ffb1c2f7029 (__TEXT,__text) external _cmark_strbuf_cmp
00007ffb1c2f6f70 (__TEXT,__text) external _cmark_strbuf_copy_cstr
00007ffb1c301604 (__TEXT,__text) non-external _cmark_strbuf_copy_cstr.cold.1
00007ffb1c2f6ff3 (__TEXT,__text) external _cmark_strbuf_detach
00007ffb1c2f7111 (__TEXT,__text) external _cmark_strbuf_drop
00007ffb1c2f6dba (__TEXT,__text) external _cmark_strbuf_free
00007ffb1c2f6d55 (__TEXT,__text) external _cmark_strbuf_grow
00007ffb1c3015bd (__TEXT,__text) non-external _cmark_strbuf_grow.cold.1
00007ffb1c3015de (__TEXT,__text) non-external _cmark_strbuf_grow.cold.2
00007ffb1c2f6d2a (__TEXT,__text) external _cmark_strbuf_init
00007ffb1c2f6db1 (__TEXT,__text) external _cmark_strbuf_len
00007ffb1c2f71ed (__TEXT,__text) external _cmark_strbuf_normalize_whitespace
00007ffb1c2f6ef6 (__TEXT,__text) external _cmark_strbuf_put
00007ffb1c2f6ebc (__TEXT,__text) external _cmark_strbuf_putc
00007ffb1c2f6f4a (__TEXT,__text) external _cmark_strbuf_puts
00007ffb1c2f7156 (__TEXT,__text) external _cmark_strbuf_rtrim
00007ffb1c2f6e0a (__TEXT,__text) external _cmark_strbuf_set
00007ffb1c2f6e8c (__TEXT,__text) external _cmark_strbuf_sets
00007ffb1c2f7076 (__TEXT,__text) external _cmark_strbuf_strchr
00007ffb1c2f70b3 (__TEXT,__text) external _cmark_strbuf_strrchr
00007ffb1c2f6fc1 (__TEXT,__text) external _cmark_strbuf_swap
00007ffb1c2f719e (__TEXT,__text) external _cmark_strbuf_trim
00007ffb1c2f70f2 (__TEXT,__text) external _cmark_strbuf_truncate
00007ffb1c2f7273 (__TEXT,__text) external _cmark_strbuf_unescape
00007ffb1c2ea37d (__TEXT,__text) external _cmark_syntax_extension_add_node
00007ffb1c301513 (__TEXT,__text) non-external _cmark_syntax_extension_add_node.cold.1
00007ffb1c2ea2e0 (__TEXT,__text) external _cmark_syntax_extension_free
00007ffb1c2ea474 (__TEXT,__text) external _cmark_syntax_extension_get_private
00007ffb1c2ea325 (__TEXT,__text) external _cmark_syntax_extension_new
00007ffb1c2ea3f6 (__TEXT,__text) external _cmark_syntax_extension_set_can_contain_func
00007ffb1c2ea498 (__TEXT,__text) external _cmark_syntax_extension_set_commonmark_escape_func
00007ffb1c2ea40a (__TEXT,__text) external _cmark_syntax_extension_set_commonmark_render_func
00007ffb1c2ea400 (__TEXT,__text) external _cmark_syntax_extension_set_contains_inlines_func
00007ffb1c2ea3ae (__TEXT,__text) external _cmark_syntax_extension_set_emphasis
00007ffb1c2ea3ec (__TEXT,__text) external _cmark_syntax_extension_set_get_type_string_func
00007ffb1c2ea44c (__TEXT,__text) external _cmark_syntax_extension_set_html_filter_func
00007ffb1c2ea43f (__TEXT,__text) external _cmark_syntax_extension_set_html_render_func
00007ffb1c2ea3d8 (__TEXT,__text) external _cmark_syntax_extension_set_inline_from_delim_func
