00000001ecb2c140 (__DATA,__data) non-external _.compoundliteral
00000001e5372444 (__TEXT,__text) non-external (was a private external) _BitSetNewWithAllocator
00000001e5372974 (__TEXT,__text) non-external (was a private external) _BitSetNextSetBit
00000001e5372a48 (__TEXT,__text) non-external (was a private external) _BitSetOr
00000001e5372bfc (__TEXT,__text) non-external (was a private external) _BitSetOrEquals
00000001e53729ec (__TEXT,__text) non-external (was a private external) _BitSetPreviousSetBit
00000001e53727e4 (__TEXT,__text) non-external (was a private external) _BitSetSetEquals
00000001e5372884 (__TEXT,__text) non-external (was a private external) _BitSetSetRangeEquals
00000001e5372558 (__TEXT,__text) non-external (was a private external) _BitSetSetRangeEqualsInternal
00000001e53728e4 (__TEXT,__text) non-external (was a private external) _BitSetSetSizeEquals
00000001e537d32c (__TEXT,__text) non-external (was a private external) _BlockAdd
00000001e537dd60 (__TEXT,__text) non-external (was a private external) _BlockAddSuccessor
00000001e537d3f0 (__TEXT,__text) non-external (was a private external) _BlockFree
00000001e537d744 (__TEXT,__text) non-external (was a private external) _Blockify
00000001e537ddf8 (__TEXT,__text) non-external (was a private external) _BlocksFree
00000001e537acf0 (__TEXT,__text) non-external (was a private external) _BuildGenKill
00000001e537af3c (__TEXT,__text) non-external (was a private external) _BuildInterferenceSets
00000001e537ae48 (__TEXT,__text) non-external (was a private external) _BuildLiveOut
                 (undefined) external _CC_SHA1 (from libSystem)
                 (undefined) external _CFBundleGetIdentifier (from CoreFoundation)
                 (undefined) external _CFBundleGetMainBundle (from CoreFoundation)
                 (undefined) external _CFRelease (from CoreFoundation)
                 (undefined) external _CFRetain (from CoreFoundation)
                 (undefined) external _CFStringGetCString (from CoreFoundation)
                 (undefined) external _CFStringGetLength (from CoreFoundation)
                 (undefined) external _CFStringGetMaximumSizeForEncoding (from CoreFoundation)
00000001e532f1b0 (__TEXT,__text) non-external _CPPelse
00000001e532fe48 (__TEXT,__text) non-external _CPPerror
00000001e533009c (__TEXT,__text) non-external _CPPextension
00000001e532f474 (__TEXT,__text) non-external _CPPif
00000001e532f574 (__TEXT,__text) non-external _CPPifdef
00000001e532f700 (__TEXT,__text) non-external _CPPinclude
00000001e532f9bc (__TEXT,__text) non-external _CPPline
00000001e532fb9c (__TEXT,__text) non-external _CPPpragma
00000001e532fd90 (__TEXT,__text) non-external _CPPundef
00000001e532ff50 (__TEXT,__text) non-external _CPPversion
00000001e5385b38 (__TEXT,__text) non-external _CheckRemoveAvailableCopyTable
00000001e5384454 (__TEXT,__text) non-external _ClearDestedOpRegisters
00000001e5385af0 (__TEXT,__text) non-external _ClearJumpTable
00000001e53843ec (__TEXT,__text) non-external _ClearRegisterState
00000001e53827cc (__TEXT,__text) non-external (was a private external) _ConstantPropagateFold
00000001e537b714 (__TEXT,__text) non-external (was a private external) _DeadCodeEliminationSimple
00000001e5382a94 (__TEXT,__text) non-external (was a private external) _DecomposeMatrixOps
00000001e537eeb0 (__TEXT,__text) non-external (was a private external) _DetectConstantLoopsSimple
00000001e5317d78 (__TEXT,__text) non-external (was a private external) _DstSwizzleMask
00000001e5380698 (__TEXT,__text) non-external _EmulateOp
00000001e538438c (__TEXT,__text) non-external _EmulationContext_PopRegisters
00000001e538433c (__TEXT,__text) non-external _EmulationContext_PushRegisters
00000001e532e44c (__TEXT,__text) non-external _FindHashLoc
00000001e5385dc4 (__TEXT,__text) non-external _FindMatchingAvailableCopy
00000001e5316c18 (__TEXT,__text) non-external (was a private external) _FinishType
00000001e537e11c (__TEXT,__text) non-external (was a private external) _FlattenIf
00000001e537df70 (__TEXT,__text) non-external (was a private external) _FlattenIfs
00000001e532e3e4 (__TEXT,__text) non-external (was a private external) _FreeAtomTable
00000001e532e79c (__TEXT,__text) non-external (was a private external) _FreeCPP
00000001e5331284 (__TEXT,__text) non-external (was a private external) _FreeScanner
00000001e5271550 (__TEXT,__text) non-external _GLDAttribBindingForPPStreamToken
00000001e52765f4 (__TEXT,__text) non-external _GLDAttribBindingsAddAttribBinding
00000001e8d21188 (__DATA_CONST,__const) non-external (was a private external) _GLP_BI_INDEX
00000001e53a0274 (__TEXT,__const) non-external (was a private external) _GLP_BI_INDEX_COUNT
00000001ee3c2eb8 (__AUTH,__data) non-external (was a private external) _GLP_MALLOC_ALLOCATOR
00000001e539fac8 (__TEXT,__const) non-external _GLP_MATRIX_TYPES
00000001e8d231c8 (__DATA_CONST,__const) non-external (was a private external) _GLP_PRIMITIVE_TYPES
00000001e53a0284 (__TEXT,__const) non-external (was a private external) _GLP_PRIMITIVE_TYPE_ARRAY
00000001e539fa78 (__TEXT,__const) non-external _GLP_VECTOR_TYPES
00000001e532df70 (__TEXT,__text) non-external (was a private external) _GetAtomString
00000001e537fc08 (__TEXT,__text) non-external _GetOpRegs
00000001e537dcd0 (__TEXT,__text) non-external _GetOrAddBlock
00000001e5382a60 (__TEXT,__text) non-external _GetRegChunk
00000001e537c500 (__TEXT,__text) non-external _GetRegister
00000001e538428c (__TEXT,__text) non-external _GetRegisterIndicies
00000001e537ed84 (__TEXT,__text) non-external _GetRegisterTypeInfo
00000001e532dfe4 (__TEXT,__text) non-external (was a private external) _GetReversedAtom
00000001e5385d48 (__TEXT,__text) non-external _GetStreamArray
00000001e532e3d0 (__TEXT,__text) non-external (was a private external) _GetStringOfAtom
00000001e532e200 (__TEXT,__text) non-external _GrowAtomTable
00000001ecb2c0f8 (__DATA,__data) non-external (was a private external) _HT_PRIMES
00000001e537a724 (__TEXT,__text) non-external (was a private external) _HashSetAdd
00000001e537a6a8 (__TEXT,__text) non-external (was a private external) _HashSetFree
00000001e537a82c (__TEXT,__text) non-external (was a private external) _HashSetGet
00000001e537a974 (__TEXT,__text) non-external (was a private external) _HashSetIteratorNext
00000001e537a96c (__TEXT,__text) non-external (was a private external) _HashSetIteratorSetup
00000001e537a5c4 (__TEXT,__text) non-external (was a private external) _HashSetNew
00000001e537a8c4 (__TEXT,__text) non-external (was a private external) _HashSetRemove
00000001e537aaf4 (__TEXT,__text) non-external (was a private external) _HashTableAdd
00000001e537aa50 (__TEXT,__text) non-external (was a private external) _HashTableFree
00000001e537ac50 (__TEXT,__text) non-external (was a private external) _HashTableGet
00000001e537a9ec (__TEXT,__text) non-external (was a private external) _HashTableNew
                 (undefined) external _IOSurfaceGetBaseAddressOfPlane (from IOSurface)
                 (undefined) external _IOSurfaceGetBytesPerRowOfPlane (from IOSurface)
                 (undefined) external _IOSurfaceGetSeedOfPlane (from IOSurface)
                 (undefined) external _IOSurfaceLockPlane (from IOSurface)
                 (undefined) external _IOSurfaceUnlockPlane (from IOSurface)
00000001e532e00c (__TEXT,__text) non-external (was a private external) _InitAtomTable
00000001e532e5cc (__TEXT,__text) non-external (was a private external) _InitCPP
00000001e5316c64 (__TEXT,__text) non-external (was a private external) _InitReg
00000001e5331230 (__TEXT,__text) non-external (was a private external) _InitScanner
00000001e537ca10 (__TEXT,__text) non-external (was a private external) _InstructionAdd
00000001e537d2dc (__TEXT,__text) non-external (was a private external) _InstructionFree
00000001e537caf8 (__TEXT,__text) non-external _InstructionInitSourcesTargets
00000001e537fdb8 (__TEXT,__text) non-external _IsBadUsage
00000001e5317f00 (__TEXT,__text) non-external (was a private external) _Load
00000001e532dcf8 (__TEXT,__text) non-external (was a private external) _LookUpAddString
00000001e532ddd8 (__TEXT,__text) non-external _LookUpAddStringHash
00000001e53332b0 (__TEXT,__text) non-external (was a private external) _LookUpLocalSymbol
00000001e5333320 (__TEXT,__text) non-external (was a private external) _LookUpSymbol
00000001e5330208 (__TEXT,__text) non-external (was a private external) _MacroExpand
00000001e5333bf4 (__TEXT,__text) non-external (was a private external) _MatchNextToken
00000001e5333114 (__TEXT,__text) non-external (was a private external) _NewScopeInPool
00000001e533337c (__TEXT,__text) non-external (was a private external) _NewTokenStream
00000001e8d1f728 (__DATA_CONST,__const) non-external (was a private external) _OpsList_ARBfp10
00000001e8d1f3c8 (__DATA_CONST,__const) non-external (was a private external) _OpsList_ARBvp10
00000001e8d1f948 (__DATA_CONST,__const) non-external (was a private external) _OpsList_NVfp10
00000001e8d1fa88 (__DATA_CONST,__const) non-external (was a private external) _OpsList_NVfp20
00000001e8d1f588 (__DATA_CONST,__const) non-external (was a private external) _OpsList_NVvp20
00000001e8d1f688 (__DATA_CONST,__const) non-external (was a private external) _OpsList_NVvp30
00000001e8d1fb88 (__DATA_CONST,__const) non-external (was a private external) _OpsList_fpSpecial
00000001e8d1f6f8 (__DATA_CONST,__const) non-external (was a private external) _OpsList_vpSpecial
00000001e526cdec (__TEXT,__text) external _PPParserAttachLLVMIR
00000001e526cb58 (__TEXT,__text) external _PPParserAttachStream
00000001e526c9a4 (__TEXT,__text) external _PPParserAttachString
00000001e52755c4 (__TEXT,__text) external _PPParserBuildErrorString
00000001e526c8a8 (__TEXT,__text) external _PPParserCreate
00000001e526d570 (__TEXT,__text) non-external (was a private external) _PPParserDeclareNVAddressRegisters
00000001e5274314 (__TEXT,__text) non-external (was a private external) _PPParserExpandMacro
00000001e526ca7c (__TEXT,__text) external _PPParserFree
00000001e526d220 (__TEXT,__text) non-external (was a private external) _PPParserGetCharacter
00000001e52765dc (__TEXT,__text) external _PPParserGetErrorString
00000001e52765ec (__TEXT,__text) external _PPParserGetImageUnitsUsed
00000001e526d5c4 (__TEXT,__text) non-external (was a private external) _PPParserGetInteger
00000001e52765b8 (__TEXT,__text) external _PPParserGetLimits
00000001e52765d4 (__TEXT,__text) external _PPParserGetOptions
00000001e526d32c (__TEXT,__text) non-external (was a private external) _PPParserGetPart
00000001e526d698 (__TEXT,__text) non-external (was a private external) _PPParserGetScalars
00000001e52765e4 (__TEXT,__text) external _PPParserGetStream
00000001e526b970 (__TEXT,__text) non-external (was a private external) _PPParserIdentifierCreate
00000001e526b9b8 (__TEXT,__text) non-external (was a private external) _PPParserIdentifierCreateFromIdentifier
00000001e526ba88 (__TEXT,__text) non-external (was a private external) _PPParserIdentifierFree
00000001e526ba04 (__TEXT,__text) non-external (was a private external) _PPParserIdentifierSetName
00000001e52756ec (__TEXT,__text) non-external _PPParserInherit
00000001e526c924 (__TEXT,__text) external _PPParserInit
00000001e5276714 (__TEXT,__text) non-external _PPParserLabelsAddLabel
00000001e526caf8 (__TEXT,__text) non-external _PPParserLabelsFree
00000001e526b538 (__TEXT,__text) non-external (was a private external) _PPParserMacroCreate
00000001e526b568 (__TEXT,__text) non-external (was a private external) _PPParserMacroCreateFromMacro
00000001e526b708 (__TEXT,__text) non-external (was a private external) _PPParserMacroFree
00000001e526b820 (__TEXT,__text) non-external (was a private external) _PPParserMacroGetReplaceString
00000001e526b68c (__TEXT,__text) non-external (was a private external) _PPParserMacroSetParamString
00000001e526b644 (__TEXT,__text) non-external (was a private external) _PPParserMacroSetParamStringsCount
00000001e526b784 (__TEXT,__text) non-external (was a private external) _PPParserMacroSetSearchString
00000001e52766a0 (__TEXT,__text) non-external _PPParserOutputBindingsAddOutputBinding
00000001e52746d8 (__TEXT,__text) external _PPParserParse
00000001e526e5bc (__TEXT,__text) non-external (was a private external) _PPParserParseAddressDeclaration
00000001e5272344 (__TEXT,__text) non-external (was a private external) _PPParserParseAddressDestination
00000001e5273770 (__TEXT,__text) non-external (was a private external) _PPParserParseAddressSourceVar
00000001e5274124 (__TEXT,__text) non-external (was a private external) _PPParserParseAliasDeclaration
00000001e526dfb4 (__TEXT,__text) non-external (was a private external) _PPParserParseArray
00000001e5270a80 (__TEXT,__text) non-external (was a private external) _PPParserParseAttributeBinding
00000001e5271590 (__TEXT,__text) non-external (was a private external) _PPParserParseAttributeDeclaration
00000001e526de54 (__TEXT,__text) non-external (was a private external) _PPParserParseBlock
00000001e52724dc (__TEXT,__text) non-external (was a private external) _PPParserParseBranchCondition
00000001e526e0a8 (__TEXT,__text) non-external (was a private external) _PPParserParseDefaultArray
00000001e5272874 (__TEXT,__text) non-external (was a private external) _PPParserParseDestination
00000001e5271df8 (__TEXT,__text) non-external (was a private external) _PPParserParseDestinationMask
00000001e52764ec (__TEXT,__text) non-external (was a private external) _PPParserParseEnd
00000001e526e330 (__TEXT,__text) non-external (was a private external) _PPParserParseIndirectArray
00000001e52721cc (__TEXT,__text) non-external (was a private external) _PPParserParseLabel
00000001e5273e70 (__TEXT,__text) non-external (was a private external) _PPParserParseMacroDeclaration
00000001e527385c (__TEXT,__text) non-external (was a private external) _PPParserParseOperation
00000001e5275854 (__TEXT,__text) non-external (was a private external) _PPParserParseOption
00000001e526d7d8 (__TEXT,__text) non-external (was a private external) _PPParserParseOptionIdentifier
00000001e52716f4 (__TEXT,__text) non-external (was a private external) _PPParserParseOutputBinding
00000001e5271ca4 (__TEXT,__text) non-external (was a private external) _PPParserParseOutputDeclaration
00000001e526ef24 (__TEXT,__text) non-external (was a private external) _PPParserParseParamBinding
00000001e52708d4 (__TEXT,__text) non-external (was a private external) _PPParserParseParameterDeclaration
00000001e526e1d0 (__TEXT,__text) non-external (was a private external) _PPParserParseRangeArray
00000001e5271fb4 (__TEXT,__text) non-external (was a private external) _PPParserParseSourceSwizzle
00000001e5272c38 (__TEXT,__text) non-external (was a private external) _PPParserParseSourceVar
00000001e5275950 (__TEXT,__text) non-external (was a private external) _PPParserParseStatement
00000001e5273134 (__TEXT,__text) non-external (was a private external) _PPParserParseSwizzleCode
00000001e5272f7c (__TEXT,__text) non-external (was a private external) _PPParserParseSwizzleSourceVar
00000001e526ed28 (__TEXT,__text) non-external (was a private external) _PPParserParseTempDeclaration
00000001e527343c (__TEXT,__text) non-external (was a private external) _PPParserParseTextureSourceVar
00000001e5275738 (__TEXT,__text) non-external (was a private external) _PPParserParseVersion
00000001e526bc4c (__TEXT,__text) non-external (was a private external) _PPParserPreprocessString
00000001e526d2ac (__TEXT,__text) non-external (was a private external) _PPParserReturnCharacter
00000001e526d4e8 (__TEXT,__text) non-external (was a private external) _PPParserReturnPart
00000001e526c704 (__TEXT,__text) non-external (was a private external) _PPParserScopeAddIdentifier
00000001e526bac8 (__TEXT,__text) non-external (was a private external) _PPParserScopeCreate
00000001e526c654 (__TEXT,__text) non-external (was a private external) _PPParserScopeCreateFromScope
00000001e526c818 (__TEXT,__text) non-external (was a private external) _PPParserScopeFindIdentifier
00000001e526c860 (__TEXT,__text) non-external (was a private external) _PPParserScopeFindMacro
00000001e526c760 (__TEXT,__text) non-external (was a private external) _PPParserScopeFree
00000001e52765c0 (__TEXT,__text) external _PPParserSetLimits
00000001e52765b0 (__TEXT,__text) external _PPParserSetPrefs
00000001e526c928 (__TEXT,__text) non-external (was a private external) _PPParserShutdown
00000001e526e748 (__TEXT,__text) non-external _PPParserValidateName
00000001e53739e8 (__TEXT,__text) external _PPStreamAddAddressUsage
00000001e5373b44 (__TEXT,__text) external _PPStreamAddAttribBinding
00000001e53740cc (__TEXT,__text) external _PPStreamAddConstant
00000001e5373f94 (__TEXT,__text) external _PPStreamAddLabel
00000001e5373ca0 (__TEXT,__text) external _PPStreamAddOperation
00000001e53741cc (__TEXT,__text) external _PPStreamAddOption
00000001e5373bb8 (__TEXT,__text) external _PPStreamAddOutputBinding
00000001e5373a5c (__TEXT,__text) external _PPStreamAddParamBinding
00000001e5373ad0 (__TEXT,__text) external _PPStreamAddParamBindingArray
00000001e5374158 (__TEXT,__text) external _PPStreamAddRasterOp
00000001e5373738 (__TEXT,__text) non-external (was a private external) _PPStreamAddReqs0
00000001e53737a8 (__TEXT,__text) non-external (was a private external) _PPStreamAddReqs1
00000001e53738f8 (__TEXT,__text) external _PPStreamAddTempUsage
00000001e537396c (__TEXT,__text) external _PPStreamAddTempUsageArray
00000001e5373c2c (__TEXT,__text) external _PPStreamAddTexImage
00000001e5374c80 (__TEXT,__text) external _PPStreamAttachStream
00000001e5372e04 (__TEXT,__text) external _PPStreamAttribBindingIsEqual
00000001e53754dc (__TEXT,__text) non-external (was a private external) _PPStreamChangeBranchTargets
00000001e5372eec (__TEXT,__text) non-external (was a private external) _PPStreamChunkCompare
00000001e53738c8 (__TEXT,__text) non-external _PPStreamChunkCreate
00000001e5372e2c (__TEXT,__text) non-external (was a private external) _PPStreamChunkGetStream
00000001e53730f0 (__TEXT,__text) external _PPStreamChunkListAddChunk
00000001e5373438 (__TEXT,__text) non-external (was a private external) _PPStreamChunkListChunkAtIndex
00000001e53734b4 (__TEXT,__text) non-external (was a private external) _PPStreamChunkListCompare
00000001e5372fa8 (__TEXT,__text) external _PPStreamChunkListCreate
00000001e5372fd8 (__TEXT,__text) external _PPStreamChunkListCreateFromChunkList
00000001e5373128 (__TEXT,__text) non-external (was a private external) _PPStreamChunkListFree
00000001e5373528 (__TEXT,__text) external _PPStreamChunkListGetNextIndex
00000001e5373344 (__TEXT,__text) external _PPStreamChunkListGetStream
00000001e53731f0 (__TEXT,__text) non-external (was a private external) _PPStreamChunkListInsertChunkAfterChunk
00000001e5373188 (__TEXT,__text) non-external (was a private external) _PPStreamChunkListInsertChunkBeforeChunk
00000001e5373248 (__TEXT,__text) external _PPStreamChunkListRemoveChunk
00000001e53732a0 (__TEXT,__text) external _PPStreamChunkListSort
00000001e53753a4 (__TEXT,__text) external _PPStreamCompare
00000001e5373654 (__TEXT,__text) external _PPStreamCreate
00000001e537381c (__TEXT,__text) external _PPStreamFree
00000001e537423c (__TEXT,__text) external _PPStreamGetStream
00000001e5374c50 (__TEXT,__text) external _PPStreamGetTexOperationCount
00000001e5373ea0 (__TEXT,__text) non-external (was a private external) _PPStreamInsertOperationAfterChunk
00000001e5373d88 (__TEXT,__text) non-external (was a private external) _PPStreamInsertOperationBeforeChunk
00000001e5372e18 (__TEXT,__text) external _PPStreamOutputBindingIsEqual
00000001e5375598 (__TEXT,__text) non-external (was a private external) _PPStreamPackIndices
00000001e5372df0 (__TEXT,__text) external _PPStreamParamBindingIsEqual
00000001e5374044 (__TEXT,__text) non-external (was a private external) _PPStreamRemoveLabelsAtOperationIndex
00000001e5375c04 (__TEXT,__text) non-external (was a private external) _PPStreamRemoveOperation
00000001e5375ae8 (__TEXT,__text) non-external (was a private external) _PPStreamResolveBranches
00000001e5277820 (__TEXT,__text) external _PPStreamTokenAddBlockInfo
00000001e52783c0 (__TEXT,__text) external _PPStreamTokenAddRasterOps
00000001e5374b2c (__TEXT,__text) non-external (was a private external) _PPStreamTokenAddRasterRequirements
00000001e53745b8 (__TEXT,__text) non-external (was a private external) _PPStreamTokenAddRequirements
00000001e5278560 (__TEXT,__text) external _PPStreamTokenAddTexImages
00000001e52784c8 (__TEXT,__text) external _PPStreamTokenAddTexUnitInfo
00000001e5374c24 (__TEXT,__text) external _PPStreamTokenAlloc
00000001e5278924 (__TEXT,__text) external _PPStreamTokenConvertAttribBindings
00000001e5278d18 (__TEXT,__text) external _PPStreamTokenConvertOutputBindings
00000001e5278b64 (__TEXT,__text) external _PPStreamTokenConvertParamBindings
00000001e5278c5c (__TEXT,__text) external _PPStreamTokenConvertParamBindingsToGeneric
00000001e5374c4c (__TEXT,__text) external _PPStreamTokenFree
00000001e52777e0 (__TEXT,__text) external _PPStreamTokenGetProgramOptions
00000001e527777c (__TEXT,__text) external _PPStreamTokenIsTrivialPassThrough
00000001e539ec88 (__TEXT,__const) non-external _PPStreamTokenIsTrivialPassThrough.ARBFP
00000001e539ed48 (__TEXT,__const) non-external _PPStreamTokenIsTrivialPassThrough.GLSL1
00000001e539ee18 (__TEXT,__const) non-external _PPStreamTokenIsTrivialPassThrough.GLSL2
00000001e8d1ff50 (__DATA_CONST,__const) non-external _PPStreamTokenIsTrivialPassThrough.streams
00000001e5278de8 (__TEXT,__text) external _PPStreamTokenValidateOptions
00000001e8d20c88 (__DATA_CONST,__const) non-external _PROMOTIONS
00000001e539fdf4 (__TEXT,__const) non-external _PROMOTIONS_110
00000001e539fdf8 (__TEXT,__const) non-external _PROMOTIONS_120
00000001e539fe30 (__TEXT,__const) non-external _PROMOTIONS_400
00000001e539fe08 (__TEXT,__const) non-external _PROMOTIONS_FP64
00000001e537df20 (__TEXT,__text) non-external (was a private external) _ProgramFree
00000001e537de78 (__TEXT,__text) non-external (was a private external) _ProgramNew
00000001e5333cb4 (__TEXT,__text) non-external (was a private external) _ReadFromTokenStream
00000001e533364c (__TEXT,__text) non-external (was a private external) _ReadToken
00000001e5385860 (__TEXT,__text) non-external _RecordFunctionCall
00000001e53334d8 (__TEXT,__text) non-external (was a private external) _RecordToken
00000001e537c91c (__TEXT,__text) non-external (was a private external) _RegisterAdd
00000001e537c858 (__TEXT,__text) non-external (was a private external) _RegisterCanMerge
00000001e537b438 (__TEXT,__text) non-external (was a private external) _RegisterVectorCanMerge
00000001e537b3ac (__TEXT,__text) non-external (was a private external) _RegisterVectorIsFixed
00000001e537d524 (__TEXT,__text) non-external (was a private external) _Registerify
00000001e537c550 (__TEXT,__text) non-external (was a private external) _RegistersCleanup
00000001e537d6c0 (__TEXT,__text) non-external (was a private external) _RegistersFree
00000001e537d4c4 (__TEXT,__text) non-external (was a private external) _RegistersInitialize
00000001e537b0f0 (__TEXT,__text) non-external (was a private external) _RegistersMerge
00000001e537b4b4 (__TEXT,__text) non-external (was a private external) _RegistersReInterfere
00000001e537b544 (__TEXT,__text) non-external (was a private external) _RegistersReplace
00000001e53824e0 (__TEXT,__text) non-external (was a private external) _RepifyConstantLoopSimple
00000001e5276654 (__TEXT,__text) non-external _ResizeGLDAttribBindings
00000001e5333638 (__TEXT,__text) non-external (was a private external) _RewindTokenStream
00000001e5332404 (__TEXT,__text) non-external (was a private external) _ScanFromIncludeString
00000001e533261c (__TEXT,__text) non-external (was a private external) _ScanFromSimpleString
00000001e53312e0 (__TEXT,__text) non-external (was a private external) _ScanFromString
00000001e5332824 (__TEXT,__text) non-external (was a private external) _ScanFromTokenPastedString
00000001e5317e24 (__TEXT,__text) non-external (was a private external) _SetAddressRegister
00000001e5324234 (__TEXT,__text) external _ShAttributeBindingRequest
00000001e5324184 (__TEXT,__text) external _ShCleanup
00000001e5323bd4 (__TEXT,__text) external _ShCompile
00000001e53237f0 (__TEXT,__text) external _ShConstructCompiler
00000001e5323884 (__TEXT,__text) external _ShConstructLinker
00000001e532394c (__TEXT,__text) external _ShDestruct
00000001e5323bcc (__TEXT,__text) external _ShFinalize
00000001e53252f8 (__TEXT,__text) external _ShFragDataBindingRequest
00000001e5324a78 (__TEXT,__text) external _ShGetActiveAttrib
00000001e5324714 (__TEXT,__text) external _ShGetActiveBindableUniformBufferIndexOffsetFromLocation
00000001e53246fc (__TEXT,__text) external _ShGetActiveBindableUniformBufferSizeTable
00000001e53246bc (__TEXT,__text) external _ShGetActiveNonbindableUniformsSize
00000001e53263fc (__TEXT,__text) external _ShGetActiveSamplerLocations
00000001e53269cc (__TEXT,__text) external _ShGetActiveSubroutineName
00000001e5326920 (__TEXT,__text) external _ShGetActiveSubroutineUniformName
00000001e53267c4 (__TEXT,__text) external _ShGetActiveSubroutineUniformiv
00000001e5326258 (__TEXT,__text) external _ShGetActiveUniform
00000001e5325b04 (__TEXT,__text) external _ShGetActiveUniformBlockName
00000001e53257ec (__TEXT,__text) external _ShGetActiveUniformBlockiv
00000001e5325d30 (__TEXT,__text) external _ShGetActiveUniformIndex
00000001e5325fa8 (__TEXT,__text) external _ShGetActiveUniformName
00000001e5324bfc (__TEXT,__text) external _ShGetAttribLocation
00000001e5324978 (__TEXT,__text) external _ShGetBindableUniformTypeInfo
00000001e5326a70 (__TEXT,__text) external _ShGetCachedUniformIndexTable
00000001e5326a88 (__TEXT,__text) external _ShGetCachedUniformIndexTableSize
00000001e5324cac (__TEXT,__text) external _ShGetContextStateUniforms
00000001e532549c (__TEXT,__text) external _ShGetFragDataLocation
00000001e5324194 (__TEXT,__text) external _ShGetInfoLog
00000001e5326aa0 (__TEXT,__text) external _ShGetInteger
00000001e5324f6c (__TEXT,__text) external _ShGetLinkerPPStream
00000001e53264f8 (__TEXT,__text) external _ShGetMaxActiveSubroutineLength
00000001e5326560 (__TEXT,__text) external _ShGetMaxActiveSubroutineUniformLength
00000001e53256ac (__TEXT,__text) external _ShGetMaxActiveUniformBlockLength
00000001e5326170 (__TEXT,__text) external _ShGetMaxActiveUniformLength
00000001e53249f4 (__TEXT,__text) external _ShGetMaxAttributeLength
00000001e53251e8 (__TEXT,__text) external _ShGetMaxTransformFeedbackVaryingLength
00000001e53243d4 (__TEXT,__text) external _ShGetNumActiveAttributes
00000001e5325cac (__TEXT,__text) non-external _ShGetNumActiveNonbindableUniforms
00000001e53264e8 (__TEXT,__text) external _ShGetNumActiveSubroutineUniformLocations
00000001e5326464 (__TEXT,__text) external _ShGetNumActiveSubroutineUniforms
00000001e532643c (__TEXT,__text) external _ShGetNumActiveSubroutines
00000001e53255f8 (__TEXT,__text) external _ShGetNumActiveUniformBlocks
00000001e5326094 (__TEXT,__text) external _ShGetNumActiveUniforms
00000001e53252e8 (__TEXT,__text) external _ShGetNumActiveVaryingsComponents
00000001e53246d4 (__TEXT,__text) external _ShGetNumBindableUniformBuffers
00000001e5324f4c (__TEXT,__text) external _ShGetPPStreamManager
00000001e5324f5c (__TEXT,__text) external _ShGetShaderByteCode
00000001e5326714 (__TEXT,__text) external _ShGetSubroutineIndex
00000001e53265e4 (__TEXT,__text) external _ShGetSubroutineUniformLocation
00000001e5325250 (__TEXT,__text) external _ShGetTransformFeedbackVarying
00000001e5325734 (__TEXT,__text) external _ShGetUniformBlockIndex
00000001e5325bb8 (__TEXT,__text) external _ShGetUniformIndex
00000001e5324cbc (__TEXT,__text) external _ShGetUniformLocation
