00007fff802534b8 (__DATA_DIRTY,__common) external _EnableIPRA
00007fff689ef179 (__TEXT,__text) external _LLVMBuildArrayAlloca
00007fff689ef084 (__TEXT,__text) external _LLVMBuildArrayMalloc
00007fff689f002c (__TEXT,__text) external _LLVMBuildAtomicCmpXchg
00007fff689efffc (__TEXT,__text) external _LLVMBuildAtomicRMW
00007fff689ee9bb (__TEXT,__text) external _LLVMBuildBinOp
00007fff689ef7eb (__TEXT,__text) external _LLVMBuildBitCast
00007fff689edc91 (__TEXT,__text) external _LLVMBuildBr
00007fff689efc2d (__TEXT,__text) external _LLVMBuildCall
00007fff689ef94d (__TEXT,__text) external _LLVMBuildCast
00007fff689edc9b (__TEXT,__text) external _LLVMBuildCondBr
00007fff689ee53e (__TEXT,__text) external _LLVMBuildExactSDiv
00007fff689ee426 (__TEXT,__text) external _LLVMBuildExactUDiv
00007fff689efd64 (__TEXT,__text) external _LLVMBuildExtractElement
00007fff689efdef (__TEXT,__text) external _LLVMBuildExtractValue
00007fff689ee174 (__TEXT,__text) external _LLVMBuildFAdd
00007fff689efac4 (__TEXT,__text) external _LLVMBuildFCmp
00007fff689ee571 (__TEXT,__text) external _LLVMBuildFDiv
00007fff689ee312 (__TEXT,__text) external _LLVMBuildFMul
00007fff689eeec3 (__TEXT,__text) external _LLVMBuildFNeg
00007fff689efa05 (__TEXT,__text) external _LLVMBuildFPCast
00007fff689ef737 (__TEXT,__text) external _LLVMBuildFPExt
00007fff689ef647 (__TEXT,__text) external _LLVMBuildFPToSI
00007fff689ef60b (__TEXT,__text) external _LLVMBuildFPToUI
00007fff689ef6fb (__TEXT,__text) external _LLVMBuildFPTrunc
00007fff689ee71d (__TEXT,__text) external _LLVMBuildFRem
00007fff689ee243 (__TEXT,__text) external _LLVMBuildFSub
00007fff689ef213 (__TEXT,__text) external _LLVMBuildFence
00007fff689ef1a6 (__TEXT,__text) external _LLVMBuildFree
00007fff689ef259 (__TEXT,__text) external _LLVMBuildGEP
00007fff689ef420 (__TEXT,__text) external _LLVMBuildGlobalString
00007fff689ef47e (__TEXT,__text) external _LLVMBuildGlobalStringPtr
00007fff689efa95 (__TEXT,__text) external _LLVMBuildICmp
00007fff689ef296 (__TEXT,__text) external _LLVMBuildInBoundsGEP
00007fff689edda8 (__TEXT,__text) external _LLVMBuildIndirectBr
00007fff689efd91 (__TEXT,__text) external _LLVMBuildInsertElement
00007fff689efe29 (__TEXT,__text) external _LLVMBuildInsertValue
00007fff689ef9d2 (__TEXT,__text) external _LLVMBuildIntCast
00007fff689ef7af (__TEXT,__text) external _LLVMBuildIntToPtr
00007fff689ede5f (__TEXT,__text) external _LLVMBuildInvoke
00007fff689efebc (__TEXT,__text) external _LLVMBuildIsNotNull
00007fff689efe65 (__TEXT,__text) external _LLVMBuildIsNull
00007fff689ee81f (__TEXT,__text) external _LLVMBuildLShr
00007fff689edf1c (__TEXT,__text) external _LLVMBuildLandingPad
00007fff689ef1fd (__TEXT,__text) external _LLVMBuildLoad
00007fff689eefbf (__TEXT,__text) external _LLVMBuildMalloc
00007fff689ee273 (__TEXT,__text) external _LLVMBuildMul
00007fff689ee108 (__TEXT,__text) external _LLVMBuildNSWAdd
00007fff689ee2a6 (__TEXT,__text) external _LLVMBuildNSWMul
00007fff689eee59 (__TEXT,__text) external _LLVMBuildNSWNeg
00007fff689ee1d7 (__TEXT,__text) external _LLVMBuildNSWSub
00007fff689ee13e (__TEXT,__text) external _LLVMBuildNUWAdd
00007fff689ee2dc (__TEXT,__text) external _LLVMBuildNUWMul
00007fff689eee8e (__TEXT,__text) external _LLVMBuildNUWNeg
00007fff689ee20d (__TEXT,__text) external _LLVMBuildNUWSub
00007fff689eee27 (__TEXT,__text) external _LLVMBuildNeg
00007fff689eef92 (__TEXT,__text) external _LLVMBuildNot
00007fff689ee961 (__TEXT,__text) external _LLVMBuildOr
00007fff689efbfe (__TEXT,__text) external _LLVMBuildPhi
00007fff689ef9a5 (__TEXT,__text) external _LLVMBuildPointerCast
00007fff689eff13 (__TEXT,__text) external _LLVMBuildPtrDiff
00007fff689ef773 (__TEXT,__text) external _LLVMBuildPtrToInt
00007fff689edfbf (__TEXT,__text) external _LLVMBuildResume
00007fff689edb26 (__TEXT,__text) external _LLVMBuildRet
00007fff689edb1c (__TEXT,__text) external _LLVMBuildRetVoid
00007fff689ee459 (__TEXT,__text) external _LLVMBuildSDiv
00007fff689ef5cf (__TEXT,__text) external _LLVMBuildSExt
00007fff689ef890 (__TEXT,__text) external _LLVMBuildSExtOrBitCast
00007fff689ef6bf (__TEXT,__text) external _LLVMBuildSIToFP
00007fff689ee65f (__TEXT,__text) external _LLVMBuildSRem
00007fff689efc77 (__TEXT,__text) external _LLVMBuildSelect
00007fff689ee7ec (__TEXT,__text) external _LLVMBuildShl
00007fff689efdc0 (__TEXT,__text) external _LLVMBuildShuffleVector
00007fff689ef207 (__TEXT,__text) external _LLVMBuildStore
00007fff689ef2d3 (__TEXT,__text) external _LLVMBuildStructGEP
00007fff689ee1a4 (__TEXT,__text) external _LLVMBuildSub
00007fff689edcab (__TEXT,__text) external _LLVMBuildSwitch
00007fff689ef557 (__TEXT,__text) external _LLVMBuildTrunc
00007fff689ef920 (__TEXT,__text) external _LLVMBuildTruncOrBitCast
00007fff689ee342 (__TEXT,__text) external _LLVMBuildUDiv
00007fff689ef683 (__TEXT,__text) external _LLVMBuildUIToFP
00007fff689ee5a1 (__TEXT,__text) external _LLVMBuildURem
00007fff689ee03c (__TEXT,__text) external _LLVMBuildUnreachable
00007fff689efca9 (__TEXT,__text) external _LLVMBuildVAArg
00007fff689ee98e (__TEXT,__text) external _LLVMBuildXor
00007fff689ef593 (__TEXT,__text) external _LLVMBuildZExt
00007fff689ef863 (__TEXT,__text) external _LLVMBuildZExtOrBitCast
00007fff68f30722 (__TEXT,__text) external _LLVMByteOrder
00007fff68f30c17 (__TEXT,__text) external _LLVMCallFrameAlignmentOfType
00007fff689ed9d5 (__TEXT,__text) external _LLVMClearInsertionPosition
00007fff68f42b8f (__TEXT,__text) external _LLVMCloneModule
00007fff689ebb48 (__TEXT,__text) external _LLVMConstAShr
00007fff689eb888 (__TEXT,__text) external _LLVMConstAdd
00007fff689ebceb (__TEXT,__text) external _LLVMConstAddrSpaceCast
00007fff689eaea7 (__TEXT,__text) external _LLVMConstAllOnes
00007fff689ebaa8 (__TEXT,__text) external _LLVMConstAnd
00007fff689eb6a3 (__TEXT,__text) external _LLVMConstArray
00007fff689ebcca (__TEXT,__text) external _LLVMConstBitCast
00007fff689eba23 (__TEXT,__text) external _LLVMConstExactSDiv
00007fff689eb9ec (__TEXT,__text) external _LLVMConstExactUDiv
00007fff689ebd48 (__TEXT,__text) external _LLVMConstExtractElement
00007fff689ebd6c (__TEXT,__text) external _LLVMConstExtractValue
00007fff689eb8dc (__TEXT,__text) external _LLVMConstFAdd
00007fff689ebb05 (__TEXT,__text) external _LLVMConstFCmp
00007fff689eba40 (__TEXT,__text) external _LLVMConstFDiv
00007fff689eb9b8 (__TEXT,__text) external _LLVMConstFMul
00007fff689eb830 (__TEXT,__text) external _LLVMConstFNeg
00007fff689ebd32 (__TEXT,__text) external _LLVMConstFPCast
00007fff689ebc29 (__TEXT,__text) external _LLVMConstFPExt
00007fff689ebc85 (__TEXT,__text) external _LLVMConstFPToSI
00007fff689ebc6e (__TEXT,__text) external _LLVMConstFPToUI
00007fff689ebc12 (__TEXT,__text) external _LLVMConstFPTrunc
00007fff689eba8e (__TEXT,__text) external _LLVMConstFRem
00007fff689eb94a (__TEXT,__text) external _LLVMConstFSub
00007fff689ebb62 (__TEXT,__text) external _LLVMConstGEP
00007fff689ebaf6 (__TEXT,__text) external _LLVMConstICmp
00007fff689ebb96 (__TEXT,__text) external _LLVMConstInBoundsGEP
00007fff689ebd89 (__TEXT,__text) external _LLVMConstInlineAsm
00007fff689ebd54 (__TEXT,__text) external _LLVMConstInsertElement
00007fff689ebd7a (__TEXT,__text) external _LLVMConstInsertValue
00007fff689eb382 (__TEXT,__text) external _LLVMConstInt
00007fff689ebd1f (__TEXT,__text) external _LLVMConstIntCast
00007fff689eb496 (__TEXT,__text) external _LLVMConstIntGetSExtValue
00007fff689eb480 (__TEXT,__text) external _LLVMConstIntGetZExtValue
00007fff689eb395 (__TEXT,__text) external _LLVMConstIntOfArbitraryPrecision
00007fff689eb3ee (__TEXT,__text) external _LLVMConstIntOfString
00007fff689eb42e (__TEXT,__text) external _LLVMConstIntOfStringAndSize
00007fff689ebcb3 (__TEXT,__text) external _LLVMConstIntToPtr
00007fff689ebb2e (__TEXT,__text) external _LLVMConstLShr
00007fff689eb964 (__TEXT,__text) external _LLVMConstMul
00007fff689eb8a2 (__TEXT,__text) external _LLVMConstNSWAdd
00007fff689eb97e (__TEXT,__text) external _LLVMConstNSWMul
00007fff689eb7d2 (__TEXT,__text) external _LLVMConstNSWNeg
00007fff689eb910 (__TEXT,__text) external _LLVMConstNSWSub
00007fff689eb8bf (__TEXT,__text) external _LLVMConstNUWAdd
00007fff689eb99b (__TEXT,__text) external _LLVMConstNUWMul
00007fff689eb801 (__TEXT,__text) external _LLVMConstNUWNeg
00007fff689eb92d (__TEXT,__text) external _LLVMConstNUWSub
00007fff689eb765 (__TEXT,__text) external _LLVMConstNamedStruct
00007fff689eb7a6 (__TEXT,__text) external _LLVMConstNeg
00007fff689eb85c (__TEXT,__text) external _LLVMConstNot
00007fff689eae9d (__TEXT,__text) external _LLVMConstNull
00007fff689ebac2 (__TEXT,__text) external _LLVMConstOr
00007fff689ebd15 (__TEXT,__text) external _LLVMConstPointerCast
00007fff689eaefe (__TEXT,__text) external _LLVMConstPointerNull
00007fff689ebc9c (__TEXT,__text) external _LLVMConstPtrToInt
00007fff689eb43a (__TEXT,__text) external _LLVMConstReal
00007fff689eb4ba (__TEXT,__text) external _LLVMConstRealGetDouble
00007fff689eb444 (__TEXT,__text) external _LLVMConstRealOfString
00007fff689eb474 (__TEXT,__text) external _LLVMConstRealOfStringAndSize
00007fff689eba09 (__TEXT,__text) external _LLVMConstSDiv
00007fff689ebbe4 (__TEXT,__text) external _LLVMConstSExt
00007fff689ebd01 (__TEXT,__text) external _LLVMConstSExtOrBitCast
00007fff689ebc57 (__TEXT,__text) external _LLVMConstSIToFP
00007fff689eba74 (__TEXT,__text) external _LLVMConstSRem
00007fff689ebd3c (__TEXT,__text) external _LLVMConstSelect
00007fff689ebb14 (__TEXT,__text) external _LLVMConstShl
00007fff689ebd60 (__TEXT,__text) external _LLVMConstShuffleVector
00007fff689eb605 (__TEXT,__text) external _LLVMConstString
00007fff689eb5f0 (__TEXT,__text) external _LLVMConstStringInContext
00007fff689eb6f8 (__TEXT,__text) external _LLVMConstStruct
00007fff689eb6c9 (__TEXT,__text) external _LLVMConstStructInContext
00007fff689eb8f6 (__TEXT,__text) external _LLVMConstSub
00007fff689ebbcd (__TEXT,__text) external _LLVMConstTrunc
00007fff689ebd0b (__TEXT,__text) external _LLVMConstTruncOrBitCast
00007fff689eb9d2 (__TEXT,__text) external _LLVMConstUDiv
00007fff689ebc40 (__TEXT,__text) external _LLVMConstUIToFP
00007fff689eba5a (__TEXT,__text) external _LLVMConstURem
00007fff689eb771 (__TEXT,__text) external _LLVMConstVector
00007fff689ebadc (__TEXT,__text) external _LLVMConstXor
00007fff689ebbfb (__TEXT,__text) external _LLVMConstZExt
00007fff689ebcf7 (__TEXT,__text) external _LLVMConstZExtOrBitCast
00007fff689e826a (__TEXT,__text) external _LLVMContextCreate
00007fff689e835a (__TEXT,__text) external _LLVMContextDispose
00007fff689e8338 (__TEXT,__text) external _LLVMContextGetDiagnosticContext
00007fff689e8327 (__TEXT,__text) external _LLVMContextGetDiagnosticHandler
00007fff689e830a (__TEXT,__text) external _LLVMContextSetDiagnosticHandler
00007fff689e8349 (__TEXT,__text) external _LLVMContextSetYieldCallback
00007fff68f306d6 (__TEXT,__text) external _LLVMCopyStringRepOfTargetData
00007fff689eccb6 (__TEXT,__text) external _LLVMCountBasicBlocks
00007fff689ed80e (__TEXT,__text) external _LLVMCountIncoming
00007fff689e9f0d (__TEXT,__text) external _LLVMCountParamTypes
00007fff689eca04 (__TEXT,__text) external _LLVMCountParams
00007fff689ea011 (__TEXT,__text) external _LLVMCountStructElementTypes
00007fff689ed920 (__TEXT,__text) external _LLVMCreateBuilder
00007fff689ed8e2 (__TEXT,__text) external _LLVMCreateBuilderInContext
00007fff68a7c2f4 (__TEXT,__text) external _LLVMCreateCoverageDataForFile
00007fff68a7c349 (__TEXT,__text) external _LLVMCreateCoverageDataForFunction
00007fff68a7c069 (__TEXT,__text) external _LLVMCreateCoverageFunctionRange
00007fff68a7c12f (__TEXT,__text) external _LLVMCreateCoverageFunctionRangeForFile
00007fff68a7cb46 (__TEXT,__text) external _LLVMCreateCoverageFunctionRangeForInstantiationGroup
00007fff68a7c912 (__TEXT,__text) external _LLVMCreateCoverageInstantiationGroupRangeForFile
00007fff68a7c3c2 (__TEXT,__text) external _LLVMCreateCoverageIterator
00007fff68a7b6fb (__TEXT,__text) external _LLVMCreateCoverageMappingAggregate
00007fff68a7c019 (__TEXT,__text) external _LLVMCreateCoverageMappingAggregateForArch
00007fff68a7b6a3 (__TEXT,__text) external _LLVMCreateCoverageMappingForArch
00007fff68a77584 (__TEXT,__text) external _LLVMCreateCoverageSourceFileRange
00007fff68bef708 (__TEXT,__text) external _LLVMCreateDisasm
00007fff68bef6de (__TEXT,__text) external _LLVMCreateDisasmCPU
00007fff68bef011 (__TEXT,__text) external _LLVMCreateDisasmCPUFeatures
00007fff689e92d2 (__TEXT,__text) external _LLVMCreateEnumAttribute
00007fff689f0515 (__TEXT,__text) external _LLVMCreateFunctionPassManager
00007fff689f04eb (__TEXT,__text) external _LLVMCreateFunctionPassManagerForModule
00007fff689f0130 (__TEXT,__text) external _LLVMCreateMemoryBufferWithContentsOfFile
00007fff689f0349 (__TEXT,__text) external _LLVMCreateMemoryBufferWithMemoryRange
00007fff689f03c7 (__TEXT,__text) external _LLVMCreateMemoryBufferWithMemoryRangeCopy
00007fff689f024c (__TEXT,__text) external _LLVMCreateMemoryBufferWithSTDIN
00007fff689e8256 (__TEXT,__text) external _LLVMCreateMessage
00007fff689f0105 (__TEXT,__text) external _LLVMCreateModuleProviderForExistingModule
00007fff68c354fe (__TEXT,__text) external _LLVMCreateObjectFile
00007fff689f04a1 (__TEXT,__text) external _LLVMCreatePassManager
00007fff689e9306 (__TEXT,__text) external _LLVMCreateStringAttribute
00007fff68f305a4 (__TEXT,__text) external _LLVMCreateTargetData
00007fff68f3285b (__TEXT,__text) external _LLVMCreateTargetDataLayout
00007fff68f324a3 (__TEXT,__text) external _LLVMCreateTargetMachine
00007fff689ecf12 (__TEXT,__text) external _LLVMDeleteBasicBlock
00007fff689ec63f (__TEXT,__text) external _LLVMDeleteFunction
00007fff689ec362 (__TEXT,__text) external _LLVMDeleteGlobal
00007fff68bef734 (__TEXT,__text) external _LLVMDisasmDispose
00007fff68bef84b (__TEXT,__text) external _LLVMDisasmInstruction
00007fff689eda73 (__TEXT,__text) external _LLVMDisposeBuilder
00007fff68a7c373 (__TEXT,__text) external _LLVMDisposeCoverageData
00007fff68a7c210 (__TEXT,__text) external _LLVMDisposeCoverageFunctionRange
00007fff68a7c99a (__TEXT,__text) external _LLVMDisposeCoverageInstantiationGroupRange
00007fff68a7c69b (__TEXT,__text) external _LLVMDisposeCoverageIterator
00007fff68a7c029 (__TEXT,__text) external _LLVMDisposeCoverageMapping
00007fff68a775c2 (__TEXT,__text) external _LLVMDisposeCoverageSourceFileRange
00007fff689f045c (__TEXT,__text) external _LLVMDisposeMemoryBuffer
00007fff689e8260 (__TEXT,__text) external _LLVMDisposeMessage
00007fff689e9535 (__TEXT,__text) external _LLVMDisposeModule
00007fff689f010e (__TEXT,__text) external _LLVMDisposeModuleProvider
00007fff68c35614 (__TEXT,__text) external _LLVMDisposeObjectFile
00007fff689f0593 (__TEXT,__text) external _LLVMDisposePassManager
00007fff68c35995 (__TEXT,__text) external _LLVMDisposeRelocationIterator
00007fff68c3568c (__TEXT,__text) external _LLVMDisposeSectionIterator
00007fff68c35825 (__TEXT,__text) external _LLVMDisposeSymbolIterator
00007fff68f30673 (__TEXT,__text) external _LLVMDisposeTargetData
00007fff68f326e5 (__TEXT,__text) external _LLVMDisposeTargetMachine
00007fff689e9db2 (__TEXT,__text) external _LLVMDoubleType
00007fff689e9ce8 (__TEXT,__text) external _LLVMDoubleTypeInContext
00007fff689e96d6 (__TEXT,__text) external _LLVMDumpModule
00007fff689e81d4 (__TEXT,__text) external _LLVMDumpType
00007fff689e81de (__TEXT,__text) external _LLVMDumpValue
00007fff68f30c3c (__TEXT,__text) external _LLVMElementAtOffset
00007fff68ef42ec (__TEXT,__text) external _LLVMEnablePrettyStackTrace
00007fff689e9e28 (__TEXT,__text) external _LLVMFP128Type
00007fff689e9d04 (__TEXT,__text) external _LLVMFP128TypeInContext
00007fff689f0579 (__TEXT,__text) external _LLVMFinalizeFunctionPassManager
00007fff689e9d77 (__TEXT,__text) external _LLVMFloatType
00007fff689e9cda (__TEXT,__text) external _LLVMFloatTypeInContext
00007fff689e9ed9 (__TEXT,__text) external _LLVMFunctionType
00007fff689ebfe6 (__TEXT,__text) external _LLVMGetAlignment
00007fff689ed78f (__TEXT,__text) external _LLVMGetAllocatedType
00007fff689ea117 (__TEXT,__text) external _LLVMGetArrayLength
00007fff689eb68b (__TEXT,__text) external _LLVMGetAsString
00007fff689ec835 (__TEXT,__text) external _LLVMGetAttributeCountAtIndex
00007fff689ec85c (__TEXT,__text) external _LLVMGetAttributesAtIndex
00007fff689ecc5c (__TEXT,__text) external _LLVMGetBasicBlockName
00007fff689ecc7a (__TEXT,__text) external _LLVMGetBasicBlockParent
00007fff689ecc84 (__TEXT,__text) external _LLVMGetBasicBlockTerminator
00007fff689eccd3 (__TEXT,__text) external _LLVMGetBasicBlocks
00007fff687c9514 (__TEXT,__text) external _LLVMGetBitcodeModule
00007fff687c956c (__TEXT,__text) external _LLVMGetBitcodeModule2
00007fff687c913e (__TEXT,__text) external _LLVMGetBitcodeModuleInContext
00007fff687c9430 (__TEXT,__text) external _LLVMGetBitcodeModuleInContext2
00007fff689f044e (__TEXT,__text) external _LLVMGetBufferSize
00007fff689f0444 (__TEXT,__text) external _LLVMGetBufferStart
00007fff689ed2d8 (__TEXT,__text) external _LLVMGetCallSiteAttributeCount
00007fff689ed330 (__TEXT,__text) external _LLVMGetCallSiteAttributes
00007fff689ed3b1 (__TEXT,__text) external _LLVMGetCallSiteEnumAttribute
00007fff689ed40f (__TEXT,__text) external _LLVMGetCallSiteStringAttribute
00007fff689ed52e (__TEXT,__text) external _LLVMGetCalledValue
00007fff689ee068 (__TEXT,__text) external _LLVMGetClause
00007fff689f00be (__TEXT,__text) external _LLVMGetCmpXchgFailureOrdering
00007fff689f007b (__TEXT,__text) external _LLVMGetCmpXchgSuccessOrdering
00007fff689ed6e9 (__TEXT,__text) external _LLVMGetCondition
00007fff689eb77d (__TEXT,__text) external _LLVMGetConstOpcode
00007fff68a7c2ea (__TEXT,__text) external _LLVMGetCoverageFunctionExecutionCount
00007fff68a7c2d3 (__TEXT,__text) external _LLVMGetCoverageFunctionName
00007fff68a7cb18 (__TEXT,__text) external _LLVMGetCoverageInstantiationGroupColumn
00007fff68a7cb10 (__TEXT,__text) external _LLVMGetCoverageInstantiationGroupLine
00007fff68a7c9fe (__TEXT,__text) external _LLVMGetCoverageInstantiationGroupName
00007fff68a7c9ec (__TEXT,__text) external _LLVMGetCoverageInstantiationGroupSize
00007fff68a7cb21 (__TEXT,__text) external _LLVMGetCoverageInstantiationGroupTotalExecutionCount
00007fff68a7c6dd (__TEXT,__text) external _LLVMGetCoverageIteratorExecutionCount
00007fff68a7c6ca (__TEXT,__text) external _LLVMGetCoverageIteratorIsMapped
00007fff68a7c6d4 (__TEXT,__text) external _LLVMGetCoverageIteratorLine
00007fff68a7c6f1 (__TEXT,__text) external _LLVMGetCoverageIteratorLineSegments
00007fff68a7c6e7 (__TEXT,__text) external _LLVMGetCoverageIteratorWrappedSegment
00007fff68a7c8e1 (__TEXT,__text) external _LLVMGetCoverageSegmentColumn
00007fff68a7c8ea (__TEXT,__text) external _LLVMGetCoverageSegmentCount
00007fff68a7c8f4 (__TEXT,__text) external _LLVMGetCoverageSegmentHasCount
00007fff68a7c908 (__TEXT,__text) external _LLVMGetCoverageSegmentIsGapRegion
00007fff68a7c8fe (__TEXT,__text) external _LLVMGetCoverageSegmentIsRegionEntry
00007fff68a7c8d9 (__TEXT,__text) external _LLVMGetCoverageSegmentLine
00007fff689edb01 (__TEXT,__text) external _LLVMGetCurrentDebugLocation
00007fff689ebf88 (__TEXT,__text) external _LLVMGetDLLStorageClass
00007fff689e9616 (__TEXT,__text) external _LLVMGetDataLayout
00007fff689e95f2 (__TEXT,__text) external _LLVMGetDataLayoutStr
00007fff68f32d7d (__TEXT,__text) external _LLVMGetDefaultTargetTriple
