00000001f5f3da74 (__TEXT,__text) non-external +[MGDaemon daemon]
00000001f5f3eb84 (__TEXT,__text) non-external -[MGDaemon removeHomeKitHome:]
00000001f5f3f394 (__TEXT,__text) non-external -[MGDaemon removeHomeKitMediaSystem:]
00000001f5f3f1b0 (__TEXT,__text) non-external -[MGDaemon removeHomeKitMediaSystem:fromHome:]
00000001f5f3efa0 (__TEXT,__text) non-external -[MGDaemon removeHomeKitRoom:fromHome:]
00000001f5f3ed90 (__TEXT,__text) non-external -[MGDaemon removeHomeKitZone:fromHome:]
00000001f5f412e4 (__TEXT,__text) non-external -[MGDaemon removeMember:group:completion:]
00000001f5f410ac (__TEXT,__text) non-external -[MGDaemon setName:group:completion:]
00000001f5f41400 (__TEXT,__text) non-external -[MGDaemon startQueryWithPredicate:completion:]
00000001f5f41758 (__TEXT,__text) non-external -[MGDaemon stopQuery:completion:]
00000001f5f383b8 (__TEXT,__text) non-external -[MGGroupsActivity .cxx_destruct]
00000001f5f38180 (__TEXT,__text) non-external -[MGGroupsActivity dealloc]
00000001f5f382dc (__TEXT,__text) non-external -[MGGroupsActivity description]
00000001f5f3804c (__TEXT,__text) non-external -[MGGroupsActivity initWithName:]
00000001f5f383a8 (__TEXT,__text) non-external -[MGGroupsActivity name]
00000001f5f383b0 (__TEXT,__text) non-external -[MGGroupsActivity when]
00000001f5f38000 (__TEXT,__text) non-external -[MGGroupsMediator .cxx_destruct]
00000001f5f3633c (__TEXT,__text) non-external -[MGGroupsMediator _withLock:]
00000001f5f37fe0 (__TEXT,__text) non-external -[MGGroupsMediator activities]
00000001f5f36d90 (__TEXT,__text) non-external -[MGGroupsMediator addGroup:]
00000001f5f366e0 (__TEXT,__text) non-external -[MGGroupsMediator currentGroups]
00000001f5f3639c (__TEXT,__text) non-external -[MGGroupsMediator description]
00000001f5f36ae8 (__TEXT,__text) non-external -[MGGroupsMediator endActivity:]
00000001f5f375c4 (__TEXT,__text) non-external -[MGGroupsMediator group:addMember:]
00000001f5f379f8 (__TEXT,__text) non-external -[MGGroupsMediator group:removeMember:]
00000001f5f37130 (__TEXT,__text) non-external -[MGGroupsMediator group:renameTo:]
00000001f5f362a4 (__TEXT,__text) non-external -[MGGroupsMediator groupsForUpdate_unsafe]
00000001f5f360bc (__TEXT,__text) non-external -[MGGroupsMediator groups_unsafe]
00000001f5f37ff0 (__TEXT,__text) non-external -[MGGroupsMediator hasPendingChanges]
00000001f5f36010 (__TEXT,__text) non-external -[MGGroupsMediator initWithGroupsQueryAgent:]
00000001f5f37fb4 (__TEXT,__text) non-external -[MGGroupsMediator queryAgent]
00000001f5f36f60 (__TEXT,__text) non-external -[MGGroupsMediator removeGroup:]
00000001f5f361b4 (__TEXT,__text) non-external -[MGGroupsMediator removeGroup:ifExists_unsafe:]
00000001f5f37e28 (__TEXT,__text) non-external -[MGGroupsMediator removeGroupWithIdentifier:]
00000001f5f37fe8 (__TEXT,__text) non-external -[MGGroupsMediator setActivities:]
00000001f5f37ff8 (__TEXT,__text) non-external -[MGGroupsMediator setPendingChanges:]
00000001f5f3690c (__TEXT,__text) non-external -[MGGroupsMediator startActivityWithName:]
00000001f5f360f8 (__TEXT,__text) non-external -[MGGroupsMediator upsertGroup_unsafe:]
00000001f5f3b530 (__TEXT,__text) non-external -[MGGroupsQueryAgent .cxx_destruct]
00000001f5f38cc8 (__TEXT,__text) non-external -[MGGroupsQueryAgent _performQueryExchangeUsingGroups:currentIdentifier:]
00000001f5f38efc (__TEXT,__text) non-external -[MGGroupsQueryAgent _prepareWithGroups:currentIdentifier:]
00000001f5f3a8a8 (__TEXT,__text) non-external -[MGGroupsQueryAgent _queryOperation:didFindGroups:]
00000001f5f38c68 (__TEXT,__text) non-external -[MGGroupsQueryAgent _withLock:]
00000001f5f3ad68 (__TEXT,__text) non-external -[MGGroupsQueryAgent addOutstandingQuery:]
00000001f5f3b500 (__TEXT,__text) non-external -[MGGroupsQueryAgent containers]
00000001f5f3b4f8 (__TEXT,__text) non-external -[MGGroupsQueryAgent currentIdentifier]
00000001f5f3b4ac (__TEXT,__text) non-external -[MGGroupsQueryAgent delegate]
00000001f5f3b348 (__TEXT,__text) non-external -[MGGroupsQueryAgent groupsMediator:didUpdateGroups:]
00000001f5f3b4f0 (__TEXT,__text) non-external -[MGGroupsQueryAgent groups]
00000001f5f386d0 (__TEXT,__text) non-external -[MGGroupsQueryAgent initWithDelegate:]
00000001f5f38908 (__TEXT,__text) non-external -[MGGroupsQueryAgent init]
00000001f5f3b4e0 (__TEXT,__text) non-external -[MGGroupsQueryAgent operations]
00000001f5f3b520 (__TEXT,__text) non-external -[MGGroupsQueryAgent queries]
00000001f5f3b4d8 (__TEXT,__text) non-external -[MGGroupsQueryAgent queue]
00000001f5f3b09c (__TEXT,__text) non-external -[MGGroupsQueryAgent removeOutstandingQuery:]
00000001f5f3b508 (__TEXT,__text) non-external -[MGGroupsQueryAgent setContainers:]
00000001f5f38bc0 (__TEXT,__text) non-external -[MGGroupsQueryAgent setCurrentDeviceIdentifier:]
00000001f5f38a70 (__TEXT,__text) non-external -[MGGroupsQueryAgent setCurrentIdentifier:]
00000001f5f38910 (__TEXT,__text) non-external -[MGGroupsQueryAgent setGroups:]
00000001f5f3b4e8 (__TEXT,__text) non-external -[MGGroupsQueryAgent setOperations:]
00000001f5f3b528 (__TEXT,__text) non-external -[MGGroupsQueryAgent setQueries:]
00000001f5f3b518 (__TEXT,__text) non-external -[MGGroupsQueryAgent setVariables:]
00000001f5f3b510 (__TEXT,__text) non-external -[MGGroupsQueryAgent variables]
00000001f5f3ba2c (__TEXT,__text) non-external -[MGGroupsQueryOperation .cxx_destruct]
00000001f5f3b9ec (__TEXT,__text) non-external -[MGGroupsQueryOperation agent]
00000001f5f3ba0c (__TEXT,__text) non-external -[MGGroupsQueryOperation groups]
00000001f5f3b5b8 (__TEXT,__text) non-external -[MGGroupsQueryOperation initWithAgent:query:groups:substitutionVariables:]
00000001f5f3b6e0 (__TEXT,__text) non-external -[MGGroupsQueryOperation main]
00000001f5f3b9fc (__TEXT,__text) non-external -[MGGroupsQueryOperation query]
00000001f5f3ba1c (__TEXT,__text) non-external -[MGGroupsQueryOperation variables]
00000001f5f3cebc (__TEXT,__text) non-external -[MGOutstandingQuery .cxx_destruct]
00000001f5f3ceac (__TEXT,__text) non-external -[MGOutstandingQuery identifier]
00000001f5f3ce14 (__TEXT,__text) non-external -[MGOutstandingQuery initWithPredicate:]
00000001f5f3ceb4 (__TEXT,__text) non-external -[MGOutstandingQuery predicate]
00000001f5f42498 (__TEXT,__text) non-external -[MGServiceClient .cxx_destruct]
00000001f5f41c4c (__TEXT,__text) non-external -[MGServiceClient _withLock:]
00000001f5f41e70 (__TEXT,__text) non-external -[MGServiceClient addQuery:]
00000001f5f42474 (__TEXT,__text) non-external -[MGServiceClient connection]
00000001f5f41b44 (__TEXT,__text) non-external -[MGServiceClient copyWithZone:]
00000001f5f41ba4 (__TEXT,__text) non-external -[MGServiceClient description]
00000001f5f42290 (__TEXT,__text) non-external -[MGServiceClient enumerateQueriesUsingBlock:]
00000001f5f41b04 (__TEXT,__text) non-external -[MGServiceClient hash]
00000001f5f419bc (__TEXT,__text) non-external -[MGServiceClient initWithConnection:]
00000001f5f41a4c (__TEXT,__text) non-external -[MGServiceClient isEqual:]
00000001f5f420d8 (__TEXT,__text) non-external -[MGServiceClient outstandingQueryForIdentifier:]
00000001f5f4247c (__TEXT,__text) non-external -[MGServiceClient queries]
00000001f5f41fa8 (__TEXT,__text) non-external -[MGServiceClient removeQuery:]
00000001f5f41cb4 (__TEXT,__text) non-external -[MGServiceClient setQueries:]
00000001f5f4248c (__TEXT,__text) non-external -[MGServiceClient setTransaction:]
00000001f5f42484 (__TEXT,__text) non-external -[MGServiceClient transaction]
00000001f5f42ba4 (__TEXT,__text) non-external -[MGServiceClientSet .cxx_destruct]
00000001f5f42554 (__TEXT,__text) non-external -[MGServiceClientSet _withLock:]
00000001f5f4275c (__TEXT,__text) non-external -[MGServiceClientSet addClientService:]
00000001f5f42b94 (__TEXT,__text) non-external -[MGServiceClientSet clients]
00000001f5f42984 (__TEXT,__text) non-external -[MGServiceClientSet enumerateClientsUsingBlock:]
00000001f5f424e8 (__TEXT,__text) non-external -[MGServiceClientSet init]
00000001f5f42878 (__TEXT,__text) non-external -[MGServiceClientSet removeClientService:]
00000001f5f425bc (__TEXT,__text) non-external -[MGServiceClientSet serviceClientForXPCConnection:]
00000001f5f42b9c (__TEXT,__text) non-external -[MGServiceClientSet setClients:]
00000001f5f38680 (__TEXT,__text) non-external -[MGServiceListenerProvider .cxx_destruct]
00000001f5f384a4 (__TEXT,__text) non-external -[MGServiceListenerProvider dispatchQueue]
00000001f5f38678 (__TEXT,__text) non-external -[MGServiceListenerProvider entitlement]
00000001f5f383fc (__TEXT,__text) non-external -[MGServiceListenerProvider initWithServiceName:entitlement:]
00000001f5f3854c (__TEXT,__text) non-external -[MGServiceListenerProvider serviceListener]
00000001f5f38670 (__TEXT,__text) non-external -[MGServiceListenerProvider serviceName]
00000001f5f385bc (__TEXT,__text) non-external -[MGServiceListenerProvider serviceShouldAcceptNewConnection:]
00000001f5f43650 (__TEXT,__gcc_except_tab) non-external GCC_except_table11
00000001f5f4368c (__TEXT,__gcc_except_tab) non-external GCC_except_table11
00000001f5f4353c (__TEXT,__gcc_except_tab) non-external GCC_except_table12
00000001f5f435f8 (__TEXT,__gcc_except_tab) non-external GCC_except_table12
00000001f5f436a0 (__TEXT,__gcc_except_tab) non-external GCC_except_table15
00000001f5f4354c (__TEXT,__gcc_except_tab) non-external GCC_except_table20
00000001f5f43560 (__TEXT,__gcc_except_tab) non-external GCC_except_table24
00000001f5f43574 (__TEXT,__gcc_except_tab) non-external GCC_except_table26
00000001f5f436c0 (__TEXT,__gcc_except_tab) non-external GCC_except_table26
00000001f5f43588 (__TEXT,__gcc_except_tab) non-external GCC_except_table28
00000001f5f4360c (__TEXT,__gcc_except_tab) non-external GCC_except_table31
00000001f5f435a0 (__TEXT,__gcc_except_tab) non-external GCC_except_table32
00000001f5f436d4 (__TEXT,__gcc_except_tab) non-external GCC_except_table32
00000001f5f435b8 (__TEXT,__gcc_except_tab) non-external GCC_except_table34
00000001f5f43674 (__TEXT,__gcc_except_tab) non-external GCC_except_table35
00000001f5f435d0 (__TEXT,__gcc_except_tab) non-external GCC_except_table36
00000001f5f43628 (__TEXT,__gcc_except_tab) non-external GCC_except_table56
00000001f5f43528 (__TEXT,__gcc_except_tab) non-external GCC_except_table6
00000001f5f435e4 (__TEXT,__gcc_except_tab) non-external GCC_except_table7
                 (undefined) external _HMAccessoryCategoryTypeAudioReceiver (from HomeKit)
                 (undefined) external _HMAccessoryCategoryTypeHomePod (from HomeKit)
                 (undefined) external _HMAccessoryCategoryTypeSpeaker (from HomeKit)
00000001f5f3c188 (__TEXT,__text) non-external (was a private external) _MGAccessoryCategoryTypeForAccessory
00000001f5f3c1e0 (__TEXT,__text) non-external (was a private external) _MGClassForGroupIdentifier
                 (undefined) external _MGErrorDomain (from MediaGroups)
00000001f5f3c4f0 (__TEXT,__text) non-external (was a private external) _MGGroupIdentifierForAccessory
00000001f5f3c5bc (__TEXT,__text) non-external (was a private external) _MGGroupIdentifierForAccessoryIdentifierInHome
00000001f5f3c9bc (__TEXT,__text) non-external (was a private external) _MGGroupIdentifierForHome
00000001f5f3ca64 (__TEXT,__text) non-external (was a private external) _MGGroupIdentifierForHomeIdentifierInHome
00000001f5f3c9c4 (__TEXT,__text) non-external (was a private external) _MGGroupIdentifierForHomeInHome
00000001f5f3cd78 (__TEXT,__text) non-external (was a private external) _MGGroupIdentifierForMediaSystemIdentifierInHome
00000001f5f3ccd8 (__TEXT,__text) non-external (was a private external) _MGGroupIdentifierForMediaSystemInHome
00000001f5f3cc3c (__TEXT,__text) non-external (was a private external) _MGGroupIdentifierForRoomIdentifierInHome
00000001f5f3c91c (__TEXT,__text) non-external (was a private external) _MGGroupIdentifierForRoomInHome
00000001f5f3cba0 (__TEXT,__text) non-external (was a private external) _MGGroupIdentifierForZoneIdentifierInHome
00000001f5f3cb00 (__TEXT,__text) non-external (was a private external) _MGGroupIdentifierForZoneInHome
00000001f5f3c130 (__TEXT,__text) non-external (was a private external) _MGHomeUniqueIdentifierForAccessory
00000001f5f3cf00 (__TEXT,__text) non-external (was a private external) _MGLogForCategory
00000002141e7610 (__DATA_CONST,__const) non-external _MGLogForCategory.categories
00000002171f1720 (__DATA,__common) non-external (was a private external) _MGLogForCategory.onceToken
00000002171f16f8 (__DATA,__common) non-external (was a private external) _MGLogForCategory.oslog
00000001f5f3c128 (__TEXT,__text) non-external (was a private external) _MGSetDaemonXPCInterfacesOnConnection
00000001f5f3bc0c (__TEXT,__text) non-external (was a private external) _MGSetServiceXPCInterfacesOnConnection
00000001f5f43508 (__TEXT,__const) non-external (was a private external) _MediaGroupsDaemonVersionNumber
00000001f5f434c8 (__TEXT,__const) non-external (was a private external) _MediaGroupsDaemonVersionString
                 (undefined) external _NSLog (from Foundation)
                 (undefined) external _NSStringFromClass (from Foundation)
                 (undefined) external _OBJC_CLASS_$_MGAudioReceiverAccessory (from MediaGroups)
0000000218f8bc98 (__AUTH,__objc_data) external _OBJC_CLASS_$_MGDaemon
                 (undefined) external _OBJC_CLASS_$_MGGroup (from MediaGroups)
                 (undefined) external _OBJC_CLASS_$_MGGroupIdentifier (from MediaGroups)
0000000218f8bae0 (__AUTH,__objc_data) non-external _OBJC_CLASS_$_MGGroupsActivity
0000000218f8bab8 (__AUTH,__objc_data) non-external (was a private external) _OBJC_CLASS_$_MGGroupsMediator
0000000218f8bba8 (__AUTH,__objc_data) non-external (was a private external) _OBJC_CLASS_$_MGGroupsQueryAgent
0000000218f8bbd0 (__AUTH,__objc_data) non-external _OBJC_CLASS_$_MGGroupsQueryOperation
                 (undefined) external _OBJC_CLASS_$_MGHome (from MediaGroups)
                 (undefined) external _OBJC_CLASS_$_MGHomePodAccessory (from MediaGroups)
                 (undefined) external _OBJC_CLASS_$_MGMediaSystem (from MediaGroups)
0000000218f8bc48 (__AUTH,__objc_data) non-external (was a private external) _OBJC_CLASS_$_MGOutstandingQuery
                 (undefined) external _OBJC_CLASS_$_MGRoom (from MediaGroups)
0000000218f8bce8 (__AUTH,__objc_data) non-external (was a private external) _OBJC_CLASS_$_MGServiceClient
0000000218f8bd38 (__AUTH,__objc_data) non-external (was a private external) _OBJC_CLASS_$_MGServiceClientSet
0000000218f8bb58 (__AUTH,__objc_data) non-external (was a private external) _OBJC_CLASS_$_MGServiceListenerProvider
                 (undefined) external _OBJC_CLASS_$_MGSoloDevice (from MediaGroups)
                 (undefined) external _OBJC_CLASS_$_MGSpeakerAccessory (from MediaGroups)
                 (undefined) external _OBJC_CLASS_$_MGZone (from MediaGroups)
                 (undefined) external _OBJC_CLASS_$_NSArray (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSCharacterSet (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSCompoundPredicate (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSData (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSDate (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSDictionary (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSError (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSKeyedUnarchiver (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSMapTable (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableArray (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableDictionary (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableSet (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSNull (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSNumber (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSObject (from libobjc)
                 (undefined) external _OBJC_CLASS_$_NSOperation (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSOperationQueue (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSPredicate (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSProcessInfo (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSSet (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSString (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSURLComponents (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSURLQueryItem (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSUUID (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSUserDefaults (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSXPCConnection (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSXPCInterface (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSXPCListener (from Foundation)
                 (undefined) external _OBJC_EHTYPE_$_NSException (from CoreFoundation)
00000002171f1490 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGDaemon._clients
00000002171f148c (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGDaemon._dispatchQueue
00000002171f1494 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGDaemon._groupsMediator
00000002171f1488 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGDaemon._listener
00000002171f1484 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGDaemon._listenerProvider
00000002171f1498 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGDaemon._queryAgent
00000002171f1434 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGGroupsActivity._name
00000002171f1438 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGGroupsActivity._when
00000002171f1430 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGGroupsMediator._activities
00000002171f1424 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGGroupsMediator._groups
00000002171f1420 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGGroupsMediator._lock
00000002171f1428 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGGroupsMediator._pendingChanges
00000002171f142c (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGGroupsMediator._queryAgent
00000002171f1460 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGGroupsQueryAgent._containers
00000002171f145c (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGGroupsQueryAgent._currentIdentifier
00000002171f144c (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGGroupsQueryAgent._delegate
00000002171f1458 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGGroupsQueryAgent._groups
00000002171f1448 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGGroupsQueryAgent._lock
00000002171f1454 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGGroupsQueryAgent._operations
00000002171f1468 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGGroupsQueryAgent._queries
00000002171f1450 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGGroupsQueryAgent._queue
00000002171f1464 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGGroupsQueryAgent._variables
00000002171f147c (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGOutstandingQuery._identifier
00000002171f1480 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGOutstandingQuery._predicate
00000002171f14a0 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGServiceClient._connection
00000002171f149c (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGServiceClient._lock
00000002171f14a4 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGServiceClient._queries
00000002171f14a8 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGServiceClient._transaction
00000002171f14b0 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGServiceClientSet._clients
00000002171f14ac (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGServiceClientSet._lock
00000002171f143c (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGServiceListenerProvider._dispatchQueue
00000002171f1444 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGServiceListenerProvider._entitlement
00000002171f1440 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGServiceListenerProvider._serviceName
0000000218f8bcc0 (__AUTH,__objc_data) external _OBJC_METACLASS_$_MGDaemon
0000000218f8bb30 (__AUTH,__objc_data) non-external _OBJC_METACLASS_$_MGGroupsActivity
0000000218f8bb08 (__AUTH,__objc_data) non-external _OBJC_METACLASS_$_MGGroupsMediator
0000000218f8bbf8 (__AUTH,__objc_data) non-external _OBJC_METACLASS_$_MGGroupsQueryAgent
0000000218f8bc20 (__AUTH,__objc_data) non-external _OBJC_METACLASS_$_MGGroupsQueryOperation
0000000218f8bc70 (__AUTH,__objc_data) non-external _OBJC_METACLASS_$_MGOutstandingQuery
0000000218f8bd10 (__AUTH,__objc_data) non-external _OBJC_METACLASS_$_MGServiceClient
0000000218f8bd60 (__AUTH,__objc_data) non-external _OBJC_METACLASS_$_MGServiceClientSet
0000000218f8bb80 (__AUTH,__objc_data) non-external _OBJC_METACLASS_$_MGServiceListenerProvider
                 (undefined) external _OBJC_METACLASS_$_NSObject (from libobjc)
                 (undefined) external _OBJC_METACLASS_$_NSOperation (from Foundation)
00000001f5f39f78 (__TEXT,__text) non-external __AddContainmentForGroup
                 (undefined) external __Block_object_assign (from libSystem)
                 (undefined) external __Block_object_dispose (from libSystem)
00000001f5f3c70c (__TEXT,__text) non-external __MGGroupIdentifierHomeKitComponents
00000002171f146c (__DATA,__objc_ivar) non-external __MergedGlobals
00000002171f1728 (__DATA,__bss) non-external __MergedGlobals
                 (undefined) external __NSConcreteGlobalBlock (from libSystem)
                 (undefined) external __NSConcreteStackBlock (from libSystem)
                 (undefined) external __NSIsNSString (from CoreFoundation)
00000001f5f43200 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_MGDaemon
00000001f5f43218 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_MGDaemon
00000001f5f42e70 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_MGGroupsActivity
00000001f5f42ec0 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_MGGroupsMediator
00000001f5f43030 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_MGGroupsQueryAgent
00000001f5f43168 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_MGGroupsQueryOperation
00000001f5f431c8 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_MGOutstandingQuery
00000001f5f433a0 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_MGServiceClient
00000001f5f43460 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_MGServiceClientSet
00000001f5f42fd0 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_MGServiceListenerProvider
00000002141e8580 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_MGDaemon
00000002141e77d8 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_MGGroupsActivity
00000002141e76f8 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_MGGroupsMediator
00000002141e7cd8 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_MGGroupsQueryAgent
00000002141e7e88 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_MGGroupsQueryOperation
00000002141e8088 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_MGOutstandingQuery
00000002141e86f0 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_MGServiceClient
00000002141e87b0 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_MGServiceClientSet
00000002141e7bf8 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_MGServiceListenerProvider
00000002141e8648 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_MGDaemon
00000002141e7820 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_MGGroupsActivity
00000002141e77a0 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_MGGroupsMediator
00000002141e7e00 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_MGGroupsQueryAgent
00000002141e7f10 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_MGGroupsQueryOperation
00000002141e80d0 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_MGOutstandingQuery
00000002141e8778 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_MGServiceClient
00000002141e87f8 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_MGServiceClientSet
00000002141e7c60 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_MGServiceListenerProvider
00000002141e7a38 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_NSObject
00000002141e82e8 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_NSObject
00000002141e7f58 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_INSTANCE_METHODS_MGClientInterfaceProtocol
00000002141e7f80 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_INSTANCE_METHODS_MGServiceInterfaceProtocol
