00000001ecb2c140 (__DATA,__data) non-external _.compoundliteral
00000001e5373444 (__TEXT,__text) non-external (was a private external) _BitSetNewWithAllocator
00000001e5373974 (__TEXT,__text) non-external (was a private external) _BitSetNextSetBit
00000001e5373a48 (__TEXT,__text) non-external (was a private external) _BitSetOr
00000001e5373bfc (__TEXT,__text) non-external (was a private external) _BitSetOrEquals
00000001e53739ec (__TEXT,__text) non-external (was a private external) _BitSetPreviousSetBit
00000001e53737e4 (__TEXT,__text) non-external (was a private external) _BitSetSetEquals
00000001e5373884 (__TEXT,__text) non-external (was a private external) _BitSetSetRangeEquals
00000001e5373558 (__TEXT,__text) non-external (was a private external) _BitSetSetRangeEqualsInternal
00000001e53738e4 (__TEXT,__text) non-external (was a private external) _BitSetSetSizeEquals
00000001e537e32c (__TEXT,__text) non-external (was a private external) _BlockAdd
00000001e537ed60 (__TEXT,__text) non-external (was a private external) _BlockAddSuccessor
00000001e537e3f0 (__TEXT,__text) non-external (was a private external) _BlockFree
00000001e537e744 (__TEXT,__text) non-external (was a private external) _Blockify
00000001e537edf8 (__TEXT,__text) non-external (was a private external) _BlocksFree
00000001e537bcf0 (__TEXT,__text) non-external (was a private external) _BuildGenKill
00000001e537bf3c (__TEXT,__text) non-external (was a private external) _BuildInterferenceSets
00000001e537be48 (__TEXT,__text) non-external (was a private external) _BuildLiveOut
                 (undefined) external _CC_SHA1 (from libSystem)
                 (undefined) external _CFBundleGetIdentifier (from CoreFoundation)
                 (undefined) external _CFBundleGetMainBundle (from CoreFoundation)
                 (undefined) external _CFRelease (from CoreFoundation)
                 (undefined) external _CFRetain (from CoreFoundation)
                 (undefined) external _CFStringGetCString (from CoreFoundation)
                 (undefined) external _CFStringGetLength (from CoreFoundation)
                 (undefined) external _CFStringGetMaximumSizeForEncoding (from CoreFoundation)
00000001e53301b0 (__TEXT,__text) non-external _CPPelse
00000001e5330e48 (__TEXT,__text) non-external _CPPerror
00000001e533109c (__TEXT,__text) non-external _CPPextension
00000001e5330474 (__TEXT,__text) non-external _CPPif
00000001e5330574 (__TEXT,__text) non-external _CPPifdef
00000001e5330700 (__TEXT,__text) non-external _CPPinclude
00000001e53309bc (__TEXT,__text) non-external _CPPline
00000001e5330b9c (__TEXT,__text) non-external _CPPpragma
00000001e5330d90 (__TEXT,__text) non-external _CPPundef
00000001e5330f50 (__TEXT,__text) non-external _CPPversion
00000001e5386b38 (__TEXT,__text) non-external _CheckRemoveAvailableCopyTable
00000001e5385454 (__TEXT,__text) non-external _ClearDestedOpRegisters
00000001e5386af0 (__TEXT,__text) non-external _ClearJumpTable
00000001e53853ec (__TEXT,__text) non-external _ClearRegisterState
00000001e53837cc (__TEXT,__text) non-external (was a private external) _ConstantPropagateFold
00000001e537c714 (__TEXT,__text) non-external (was a private external) _DeadCodeEliminationSimple
00000001e5383a94 (__TEXT,__text) non-external (was a private external) _DecomposeMatrixOps
00000001e537feb0 (__TEXT,__text) non-external (was a private external) _DetectConstantLoopsSimple
00000001e5318d78 (__TEXT,__text) non-external (was a private external) _DstSwizzleMask
00000001e5381698 (__TEXT,__text) non-external _EmulateOp
00000001e538538c (__TEXT,__text) non-external _EmulationContext_PopRegisters
00000001e538533c (__TEXT,__text) non-external _EmulationContext_PushRegisters
00000001e532f44c (__TEXT,__text) non-external _FindHashLoc
00000001e5386dc4 (__TEXT,__text) non-external _FindMatchingAvailableCopy
00000001e5317c18 (__TEXT,__text) non-external (was a private external) _FinishType
00000001e537f11c (__TEXT,__text) non-external (was a private external) _FlattenIf
00000001e537ef70 (__TEXT,__text) non-external (was a private external) _FlattenIfs
00000001e532f3e4 (__TEXT,__text) non-external (was a private external) _FreeAtomTable
00000001e532f79c (__TEXT,__text) non-external (was a private external) _FreeCPP
00000001e5332284 (__TEXT,__text) non-external (was a private external) _FreeScanner
00000001e5272550 (__TEXT,__text) non-external _GLDAttribBindingForPPStreamToken
00000001e52775f4 (__TEXT,__text) non-external _GLDAttribBindingsAddAttribBinding
00000001e8d21188 (__DATA_CONST,__const) non-external (was a private external) _GLP_BI_INDEX
00000001e53a1274 (__TEXT,__const) non-external (was a private external) _GLP_BI_INDEX_COUNT
00000001ee3c2eb8 (__AUTH,__data) non-external (was a private external) _GLP_MALLOC_ALLOCATOR
00000001e53a0ac8 (__TEXT,__const) non-external _GLP_MATRIX_TYPES
00000001e8d231c8 (__DATA_CONST,__const) non-external (was a private external) _GLP_PRIMITIVE_TYPES
00000001e53a1284 (__TEXT,__const) non-external (was a private external) _GLP_PRIMITIVE_TYPE_ARRAY
00000001e53a0a78 (__TEXT,__const) non-external _GLP_VECTOR_TYPES
00000001e532ef70 (__TEXT,__text) non-external (was a private external) _GetAtomString
00000001e5380c08 (__TEXT,__text) non-external _GetOpRegs
00000001e537ecd0 (__TEXT,__text) non-external _GetOrAddBlock
00000001e5383a60 (__TEXT,__text) non-external _GetRegChunk
00000001e537d500 (__TEXT,__text) non-external _GetRegister
00000001e538528c (__TEXT,__text) non-external _GetRegisterIndicies
00000001e537fd84 (__TEXT,__text) non-external _GetRegisterTypeInfo
00000001e532efe4 (__TEXT,__text) non-external (was a private external) _GetReversedAtom
00000001e5386d48 (__TEXT,__text) non-external _GetStreamArray
00000001e532f3d0 (__TEXT,__text) non-external (was a private external) _GetStringOfAtom
00000001e532f200 (__TEXT,__text) non-external _GrowAtomTable
00000001ecb2c0f8 (__DATA,__data) non-external (was a private external) _HT_PRIMES
00000001e537b724 (__TEXT,__text) non-external (was a private external) _HashSetAdd
00000001e537b6a8 (__TEXT,__text) non-external (was a private external) _HashSetFree
00000001e537b82c (__TEXT,__text) non-external (was a private external) _HashSetGet
00000001e537b974 (__TEXT,__text) non-external (was a private external) _HashSetIteratorNext
00000001e537b96c (__TEXT,__text) non-external (was a private external) _HashSetIteratorSetup
00000001e537b5c4 (__TEXT,__text) non-external (was a private external) _HashSetNew
00000001e537b8c4 (__TEXT,__text) non-external (was a private external) _HashSetRemove
00000001e537baf4 (__TEXT,__text) non-external (was a private external) _HashTableAdd
00000001e537ba50 (__TEXT,__text) non-external (was a private external) _HashTableFree
00000001e537bc50 (__TEXT,__text) non-external (was a private external) _HashTableGet
00000001e537b9ec (__TEXT,__text) non-external (was a private external) _HashTableNew
                 (undefined) external _IOSurfaceGetBaseAddressOfPlane (from IOSurface)
                 (undefined) external _IOSurfaceGetBytesPerRowOfPlane (from IOSurface)
                 (undefined) external _IOSurfaceGetSeedOfPlane (from IOSurface)
                 (undefined) external _IOSurfaceLockPlane (from IOSurface)
                 (undefined) external _IOSurfaceUnlockPlane (from IOSurface)
00000001e532f00c (__TEXT,__text) non-external (was a private external) _InitAtomTable
00000001e532f5cc (__TEXT,__text) non-external (was a private external) _InitCPP
00000001e5317c64 (__TEXT,__text) non-external (was a private external) _InitReg
00000001e5332230 (__TEXT,__text) non-external (was a private external) _InitScanner
00000001e537da10 (__TEXT,__text) non-external (was a private external) _InstructionAdd
00000001e537e2dc (__TEXT,__text) non-external (was a private external) _InstructionFree
00000001e537daf8 (__TEXT,__text) non-external _InstructionInitSourcesTargets
00000001e5380db8 (__TEXT,__text) non-external _IsBadUsage
00000001e5318f00 (__TEXT,__text) non-external (was a private external) _Load
00000001e532ecf8 (__TEXT,__text) non-external (was a private external) _LookUpAddString
00000001e532edd8 (__TEXT,__text) non-external _LookUpAddStringHash
00000001e53342b0 (__TEXT,__text) non-external (was a private external) _LookUpLocalSymbol
00000001e5334320 (__TEXT,__text) non-external (was a private external) _LookUpSymbol
00000001e5331208 (__TEXT,__text) non-external (was a private external) _MacroExpand
00000001e5334bf4 (__TEXT,__text) non-external (was a private external) _MatchNextToken
00000001e5334114 (__TEXT,__text) non-external (was a private external) _NewScopeInPool
00000001e533437c (__TEXT,__text) non-external (was a private external) _NewTokenStream
00000001e8d1f728 (__DATA_CONST,__const) non-external (was a private external) _OpsList_ARBfp10
00000001e8d1f3c8 (__DATA_CONST,__const) non-external (was a private external) _OpsList_ARBvp10
00000001e8d1f948 (__DATA_CONST,__const) non-external (was a private external) _OpsList_NVfp10
00000001e8d1fa88 (__DATA_CONST,__const) non-external (was a private external) _OpsList_NVfp20
00000001e8d1f588 (__DATA_CONST,__const) non-external (was a private external) _OpsList_NVvp20
00000001e8d1f688 (__DATA_CONST,__const) non-external (was a private external) _OpsList_NVvp30
00000001e8d1fb88 (__DATA_CONST,__const) non-external (was a private external) _OpsList_fpSpecial
00000001e8d1f6f8 (__DATA_CONST,__const) non-external (was a private external) _OpsList_vpSpecial
00000001e526ddec (__TEXT,__text) external _PPParserAttachLLVMIR
00000001e526db58 (__TEXT,__text) external _PPParserAttachStream
00000001e526d9a4 (__TEXT,__text) external _PPParserAttachString
00000001e52765c4 (__TEXT,__text) external _PPParserBuildErrorString
00000001e526d8a8 (__TEXT,__text) external _PPParserCreate
00000001e526e570 (__TEXT,__text) non-external (was a private external) _PPParserDeclareNVAddressRegisters
00000001e5275314 (__TEXT,__text) non-external (was a private external) _PPParserExpandMacro
00000001e526da7c (__TEXT,__text) external _PPParserFree
00000001e526e220 (__TEXT,__text) non-external (was a private external) _PPParserGetCharacter
00000001e52775dc (__TEXT,__text) external _PPParserGetErrorString
00000001e52775ec (__TEXT,__text) external _PPParserGetImageUnitsUsed
00000001e526e5c4 (__TEXT,__text) non-external (was a private external) _PPParserGetInteger
00000001e52775b8 (__TEXT,__text) external _PPParserGetLimits
00000001e52775d4 (__TEXT,__text) external _PPParserGetOptions
00000001e526e32c (__TEXT,__text) non-external (was a private external) _PPParserGetPart
00000001e526e698 (__TEXT,__text) non-external (was a private external) _PPParserGetScalars
00000001e52775e4 (__TEXT,__text) external _PPParserGetStream
00000001e526c970 (__TEXT,__text) non-external (was a private external) _PPParserIdentifierCreate
00000001e526c9b8 (__TEXT,__text) non-external (was a private external) _PPParserIdentifierCreateFromIdentifier
00000001e526ca88 (__TEXT,__text) non-external (was a private external) _PPParserIdentifierFree
00000001e526ca04 (__TEXT,__text) non-external (was a private external) _PPParserIdentifierSetName
00000001e52766ec (__TEXT,__text) non-external _PPParserInherit
00000001e526d924 (__TEXT,__text) external _PPParserInit
00000001e5277714 (__TEXT,__text) non-external _PPParserLabelsAddLabel
00000001e526daf8 (__TEXT,__text) non-external _PPParserLabelsFree
00000001e526c538 (__TEXT,__text) non-external (was a private external) _PPParserMacroCreate
00000001e526c568 (__TEXT,__text) non-external (was a private external) _PPParserMacroCreateFromMacro
00000001e526c708 (__TEXT,__text) non-external (was a private external) _PPParserMacroFree
00000001e526c820 (__TEXT,__text) non-external (was a private external) _PPParserMacroGetReplaceString
00000001e526c68c (__TEXT,__text) non-external (was a private external) _PPParserMacroSetParamString
00000001e526c644 (__TEXT,__text) non-external (was a private external) _PPParserMacroSetParamStringsCount
00000001e526c784 (__TEXT,__text) non-external (was a private external) _PPParserMacroSetSearchString
00000001e52776a0 (__TEXT,__text) non-external _PPParserOutputBindingsAddOutputBinding
00000001e52756d8 (__TEXT,__text) external _PPParserParse
00000001e526f5bc (__TEXT,__text) non-external (was a private external) _PPParserParseAddressDeclaration
00000001e5273344 (__TEXT,__text) non-external (was a private external) _PPParserParseAddressDestination
00000001e5274770 (__TEXT,__text) non-external (was a private external) _PPParserParseAddressSourceVar
00000001e5275124 (__TEXT,__text) non-external (was a private external) _PPParserParseAliasDeclaration
00000001e526efb4 (__TEXT,__text) non-external (was a private external) _PPParserParseArray
00000001e5271a80 (__TEXT,__text) non-external (was a private external) _PPParserParseAttributeBinding
00000001e5272590 (__TEXT,__text) non-external (was a private external) _PPParserParseAttributeDeclaration
00000001e526ee54 (__TEXT,__text) non-external (was a private external) _PPParserParseBlock
00000001e52734dc (__TEXT,__text) non-external (was a private external) _PPParserParseBranchCondition
00000001e526f0a8 (__TEXT,__text) non-external (was a private external) _PPParserParseDefaultArray
00000001e5273874 (__TEXT,__text) non-external (was a private external) _PPParserParseDestination
00000001e5272df8 (__TEXT,__text) non-external (was a private external) _PPParserParseDestinationMask
00000001e52774ec (__TEXT,__text) non-external (was a private external) _PPParserParseEnd
00000001e526f330 (__TEXT,__text) non-external (was a private external) _PPParserParseIndirectArray
00000001e52731cc (__TEXT,__text) non-external (was a private external) _PPParserParseLabel
00000001e5274e70 (__TEXT,__text) non-external (was a private external) _PPParserParseMacroDeclaration
00000001e527485c (__TEXT,__text) non-external (was a private external) _PPParserParseOperation
00000001e5276854 (__TEXT,__text) non-external (was a private external) _PPParserParseOption
00000001e526e7d8 (__TEXT,__text) non-external (was a private external) _PPParserParseOptionIdentifier
00000001e52726f4 (__TEXT,__text) non-external (was a private external) _PPParserParseOutputBinding
00000001e5272ca4 (__TEXT,__text) non-external (was a private external) _PPParserParseOutputDeclaration
00000001e526ff24 (__TEXT,__text) non-external (was a private external) _PPParserParseParamBinding
00000001e52718d4 (__TEXT,__text) non-external (was a private external) _PPParserParseParameterDeclaration
00000001e526f1d0 (__TEXT,__text) non-external (was a private external) _PPParserParseRangeArray
00000001e5272fb4 (__TEXT,__text) non-external (was a private external) _PPParserParseSourceSwizzle
00000001e5273c38 (__TEXT,__text) non-external (was a private external) _PPParserParseSourceVar
00000001e5276950 (__TEXT,__text) non-external (was a private external) _PPParserParseStatement
00000001e5274134 (__TEXT,__text) non-external (was a private external) _PPParserParseSwizzleCode
00000001e5273f7c (__TEXT,__text) non-external (was a private external) _PPParserParseSwizzleSourceVar
00000001e526fd28 (__TEXT,__text) non-external (was a private external) _PPParserParseTempDeclaration
00000001e527443c (__TEXT,__text) non-external (was a private external) _PPParserParseTextureSourceVar
00000001e5276738 (__TEXT,__text) non-external (was a private external) _PPParserParseVersion
00000001e526cc4c (__TEXT,__text) non-external (was a private external) _PPParserPreprocessString
00000001e526e2ac (__TEXT,__text) non-external (was a private external) _PPParserReturnCharacter
00000001e526e4e8 (__TEXT,__text) non-external (was a private external) _PPParserReturnPart
00000001e526d704 (__TEXT,__text) non-external (was a private external) _PPParserScopeAddIdentifier
00000001e526cac8 (__TEXT,__text) non-external (was a private external) _PPParserScopeCreate
00000001e526d654 (__TEXT,__text) non-external (was a private external) _PPParserScopeCreateFromScope
00000001e526d818 (__TEXT,__text) non-external (was a private external) _PPParserScopeFindIdentifier
00000001e526d860 (__TEXT,__text) non-external (was a private external) _PPParserScopeFindMacro
00000001e526d760 (__TEXT,__text) non-external (was a private external) _PPParserScopeFree
00000001e52775c0 (__TEXT,__text) external _PPParserSetLimits
00000001e52775b0 (__TEXT,__text) external _PPParserSetPrefs
00000001e526d928 (__TEXT,__text) non-external (was a private external) _PPParserShutdown
00000001e526f748 (__TEXT,__text) non-external _PPParserValidateName
00000001e53749e8 (__TEXT,__text) external _PPStreamAddAddressUsage
00000001e5374b44 (__TEXT,__text) external _PPStreamAddAttribBinding
00000001e53750cc (__TEXT,__text) external _PPStreamAddConstant
00000001e5374f94 (__TEXT,__text) external _PPStreamAddLabel
00000001e5374ca0 (__TEXT,__text) external _PPStreamAddOperation
00000001e53751cc (__TEXT,__text) external _PPStreamAddOption
00000001e5374bb8 (__TEXT,__text) external _PPStreamAddOutputBinding
00000001e5374a5c (__TEXT,__text) external _PPStreamAddParamBinding
00000001e5374ad0 (__TEXT,__text) external _PPStreamAddParamBindingArray
00000001e5375158 (__TEXT,__text) external _PPStreamAddRasterOp
00000001e5374738 (__TEXT,__text) non-external (was a private external) _PPStreamAddReqs0
00000001e53747a8 (__TEXT,__text) non-external (was a private external) _PPStreamAddReqs1
00000001e53748f8 (__TEXT,__text) external _PPStreamAddTempUsage
00000001e537496c (__TEXT,__text) external _PPStreamAddTempUsageArray
00000001e5374c2c (__TEXT,__text) external _PPStreamAddTexImage
00000001e5375c80 (__TEXT,__text) external _PPStreamAttachStream
00000001e5373e04 (__TEXT,__text) external _PPStreamAttribBindingIsEqual
00000001e53764dc (__TEXT,__text) non-external (was a private external) _PPStreamChangeBranchTargets
00000001e5373eec (__TEXT,__text) non-external (was a private external) _PPStreamChunkCompare
00000001e53748c8 (__TEXT,__text) non-external _PPStreamChunkCreate
00000001e5373e2c (__TEXT,__text) non-external (was a private external) _PPStreamChunkGetStream
00000001e53740f0 (__TEXT,__text) external _PPStreamChunkListAddChunk
00000001e5374438 (__TEXT,__text) non-external (was a private external) _PPStreamChunkListChunkAtIndex
00000001e53744b4 (__TEXT,__text) non-external (was a private external) _PPStreamChunkListCompare
00000001e5373fa8 (__TEXT,__text) external _PPStreamChunkListCreate
00000001e5373fd8 (__TEXT,__text) external _PPStreamChunkListCreateFromChunkList
00000001e5374128 (__TEXT,__text) non-external (was a private external) _PPStreamChunkListFree
00000001e5374528 (__TEXT,__text) external _PPStreamChunkListGetNextIndex
00000001e5374344 (__TEXT,__text) external _PPStreamChunkListGetStream
00000001e53741f0 (__TEXT,__text) non-external (was a private external) _PPStreamChunkListInsertChunkAfterChunk
00000001e5374188 (__TEXT,__text) non-external (was a private external) _PPStreamChunkListInsertChunkBeforeChunk
00000001e5374248 (__TEXT,__text) external _PPStreamChunkListRemoveChunk
00000001e53742a0 (__TEXT,__text) external _PPStreamChunkListSort
00000001e53763a4 (__TEXT,__text) external _PPStreamCompare
00000001e5374654 (__TEXT,__text) external _PPStreamCreate
00000001e537481c (__TEXT,__text) external _PPStreamFree
00000001e537523c (__TEXT,__text) external _PPStreamGetStream
00000001e5375c50 (__TEXT,__text) external _PPStreamGetTexOperationCount
00000001e5374ea0 (__TEXT,__text) non-external (was a private external) _PPStreamInsertOperationAfterChunk
00000001e5374d88 (__TEXT,__text) non-external (was a private external) _PPStreamInsertOperationBeforeChunk
00000001e5373e18 (__TEXT,__text) external _PPStreamOutputBindingIsEqual
00000001e5376598 (__TEXT,__text) non-external (was a private external) _PPStreamPackIndices
00000001e5373df0 (__TEXT,__text) external _PPStreamParamBindingIsEqual
00000001e5375044 (__TEXT,__text) non-external (was a private external) _PPStreamRemoveLabelsAtOperationIndex
00000001e5376c04 (__TEXT,__text) non-external (was a private external) _PPStreamRemoveOperation
00000001e5376ae8 (__TEXT,__text) non-external (was a private external) _PPStreamResolveBranches
00000001e5278820 (__TEXT,__text) external _PPStreamTokenAddBlockInfo
00000001e52793c0 (__TEXT,__text) external _PPStreamTokenAddRasterOps
00000001e5375b2c (__TEXT,__text) non-external (was a private external) _PPStreamTokenAddRasterRequirements
00000001e53755b8 (__TEXT,__text) non-external (was a private external) _PPStreamTokenAddRequirements
00000001e5279560 (__TEXT,__text) external _PPStreamTokenAddTexImages
00000001e52794c8 (__TEXT,__text) external _PPStreamTokenAddTexUnitInfo
00000001e5375c24 (__TEXT,__text) external _PPStreamTokenAlloc
00000001e5279924 (__TEXT,__text) external _PPStreamTokenConvertAttribBindings
00000001e5279d18 (__TEXT,__text) external _PPStreamTokenConvertOutputBindings
00000001e5279b64 (__TEXT,__text) external _PPStreamTokenConvertParamBindings
00000001e5279c5c (__TEXT,__text) external _PPStreamTokenConvertParamBindingsToGeneric
00000001e5375c4c (__TEXT,__text) external _PPStreamTokenFree
00000001e52787e0 (__TEXT,__text) external _PPStreamTokenGetProgramOptions
00000001e527877c (__TEXT,__text) external _PPStreamTokenIsTrivialPassThrough
00000001e539fc88 (__TEXT,__const) non-external _PPStreamTokenIsTrivialPassThrough.ARBFP
00000001e539fd48 (__TEXT,__const) non-external _PPStreamTokenIsTrivialPassThrough.GLSL1
00000001e539fe18 (__TEXT,__const) non-external _PPStreamTokenIsTrivialPassThrough.GLSL2
00000001e8d1ff50 (__DATA_CONST,__const) non-external _PPStreamTokenIsTrivialPassThrough.streams
00000001e5279de8 (__TEXT,__text) external _PPStreamTokenValidateOptions
00000001e8d20c88 (__DATA_CONST,__const) non-external _PROMOTIONS
00000001e53a0df4 (__TEXT,__const) non-external _PROMOTIONS_110
00000001e53a0df8 (__TEXT,__const) non-external _PROMOTIONS_120
00000001e53a0e30 (__TEXT,__const) non-external _PROMOTIONS_400
00000001e53a0e08 (__TEXT,__const) non-external _PROMOTIONS_FP64
00000001e537ef20 (__TEXT,__text) non-external (was a private external) _ProgramFree
00000001e537ee78 (__TEXT,__text) non-external (was a private external) _ProgramNew
00000001e5334cb4 (__TEXT,__text) non-external (was a private external) _ReadFromTokenStream
00000001e533464c (__TEXT,__text) non-external (was a private external) _ReadToken
00000001e5386860 (__TEXT,__text) non-external _RecordFunctionCall
00000001e53344d8 (__TEXT,__text) non-external (was a private external) _RecordToken
00000001e537d91c (__TEXT,__text) non-external (was a private external) _RegisterAdd
00000001e537d858 (__TEXT,__text) non-external (was a private external) _RegisterCanMerge
00000001e537c438 (__TEXT,__text) non-external (was a private external) _RegisterVectorCanMerge
00000001e537c3ac (__TEXT,__text) non-external (was a private external) _RegisterVectorIsFixed
00000001e537e524 (__TEXT,__text) non-external (was a private external) _Registerify
00000001e537d550 (__TEXT,__text) non-external (was a private external) _RegistersCleanup
00000001e537e6c0 (__TEXT,__text) non-external (was a private external) _RegistersFree
00000001e537e4c4 (__TEXT,__text) non-external (was a private external) _RegistersInitialize
00000001e537c0f0 (__TEXT,__text) non-external (was a private external) _RegistersMerge
00000001e537c4b4 (__TEXT,__text) non-external (was a private external) _RegistersReInterfere
00000001e537c544 (__TEXT,__text) non-external (was a private external) _RegistersReplace
00000001e53834e0 (__TEXT,__text) non-external (was a private external) _RepifyConstantLoopSimple
00000001e5277654 (__TEXT,__text) non-external _ResizeGLDAttribBindings
00000001e5334638 (__TEXT,__text) non-external (was a private external) _RewindTokenStream
00000001e5333404 (__TEXT,__text) non-external (was a private external) _ScanFromIncludeString
00000001e533361c (__TEXT,__text) non-external (was a private external) _ScanFromSimpleString
00000001e53322e0 (__TEXT,__text) non-external (was a private external) _ScanFromString
00000001e5333824 (__TEXT,__text) non-external (was a private external) _ScanFromTokenPastedString
00000001e5318e24 (__TEXT,__text) non-external (was a private external) _SetAddressRegister
00000001e5325234 (__TEXT,__text) external _ShAttributeBindingRequest
00000001e5325184 (__TEXT,__text) external _ShCleanup
00000001e5324bd4 (__TEXT,__text) external _ShCompile
00000001e53247f0 (__TEXT,__text) external _ShConstructCompiler
00000001e5324884 (__TEXT,__text) external _ShConstructLinker
00000001e532494c (__TEXT,__text) external _ShDestruct
00000001e5324bcc (__TEXT,__text) external _ShFinalize
00000001e53262f8 (__TEXT,__text) external _ShFragDataBindingRequest
00000001e5325a78 (__TEXT,__text) external _ShGetActiveAttrib
00000001e5325714 (__TEXT,__text) external _ShGetActiveBindableUniformBufferIndexOffsetFromLocation
00000001e53256fc (__TEXT,__text) external _ShGetActiveBindableUniformBufferSizeTable
00000001e53256bc (__TEXT,__text) external _ShGetActiveNonbindableUniformsSize
00000001e53273fc (__TEXT,__text) external _ShGetActiveSamplerLocations
00000001e53279cc (__TEXT,__text) external _ShGetActiveSubroutineName
00000001e5327920 (__TEXT,__text) external _ShGetActiveSubroutineUniformName
00000001e53277c4 (__TEXT,__text) external _ShGetActiveSubroutineUniformiv
00000001e5327258 (__TEXT,__text) external _ShGetActiveUniform
00000001e5326b04 (__TEXT,__text) external _ShGetActiveUniformBlockName
00000001e53267ec (__TEXT,__text) external _ShGetActiveUniformBlockiv
00000001e5326d30 (__TEXT,__text) external _ShGetActiveUniformIndex
00000001e5326fa8 (__TEXT,__text) external _ShGetActiveUniformName
00000001e5325bfc (__TEXT,__text) external _ShGetAttribLocation
00000001e5325978 (__TEXT,__text) external _ShGetBindableUniformTypeInfo
00000001e5327a70 (__TEXT,__text) external _ShGetCachedUniformIndexTable
00000001e5327a88 (__TEXT,__text) external _ShGetCachedUniformIndexTableSize
00000001e5325cac (__TEXT,__text) external _ShGetContextStateUniforms
00000001e532649c (__TEXT,__text) external _ShGetFragDataLocation
00000001e5325194 (__TEXT,__text) external _ShGetInfoLog
00000001e5327aa0 (__TEXT,__text) external _ShGetInteger
00000001e5325f6c (__TEXT,__text) external _ShGetLinkerPPStream
00000001e53274f8 (__TEXT,__text) external _ShGetMaxActiveSubroutineLength
00000001e5327560 (__TEXT,__text) external _ShGetMaxActiveSubroutineUniformLength
00000001e53266ac (__TEXT,__text) external _ShGetMaxActiveUniformBlockLength
00000001e5327170 (__TEXT,__text) external _ShGetMaxActiveUniformLength
00000001e53259f4 (__TEXT,__text) external _ShGetMaxAttributeLength
00000001e53261e8 (__TEXT,__text) external _ShGetMaxTransformFeedbackVaryingLength
00000001e53253d4 (__TEXT,__text) external _ShGetNumActiveAttributes
00000001e5326cac (__TEXT,__text) non-external _ShGetNumActiveNonbindableUniforms
00000001e53274e8 (__TEXT,__text) external _ShGetNumActiveSubroutineUniformLocations
00000001e5327464 (__TEXT,__text) external _ShGetNumActiveSubroutineUniforms
00000001e532743c (__TEXT,__text) external _ShGetNumActiveSubroutines
00000001e53265f8 (__TEXT,__text) external _ShGetNumActiveUniformBlocks
00000001e5327094 (__TEXT,__text) external _ShGetNumActiveUniforms
00000001e53262e8 (__TEXT,__text) external _ShGetNumActiveVaryingsComponents
00000001e53256d4 (__TEXT,__text) external _ShGetNumBindableUniformBuffers
00000001e5325f4c (__TEXT,__text) external _ShGetPPStreamManager
00000001e5325f5c (__TEXT,__text) external _ShGetShaderByteCode
00000001e5327714 (__TEXT,__text) external _ShGetSubroutineIndex
00000001e53275e4 (__TEXT,__text) external _ShGetSubroutineUniformLocation
00000001e5326250 (__TEXT,__text) external _ShGetTransformFeedbackVarying
00000001e5326734 (__TEXT,__text) external _ShGetUniformBlockIndex
00000001e5326bb8 (__TEXT,__text) external _ShGetUniformIndex
00000001e5325cbc (__TEXT,__text) external _ShGetUniformLocation
