000000018c0466e4 (__TEXT,__text) non-external _Annihilate
000000018c0582ac (__TEXT,__text) non-external (was a private external) _BrotliHistogramRemapLiteral
000000018c04b7ec (__TEXT,__text) non-external (was a private external) _BrotliInitBitReader
000000018c047704 (__TEXT,__text) non-external (was a private external) _BrotliInitBlockSplit
000000018c080e10 (__TEXT,__text) non-external (was a private external) _BrotliInitDistanceParams
000000018c05f034 (__TEXT,__text) non-external (was a private external) _BrotliInitEncoderDictionary
000000018c046414 (__TEXT,__text) non-external (was a private external) _BrotliInitMemoryManager
000000018c05a8bc (__TEXT,__text) non-external (was a private external) _BrotliInitZopfliNodes
000000018c0754c8 (__TEXT,__text) non-external (was a private external) _BrotliIsMostlyUTF8
000000018c0825c0 (__TEXT,__text) non-external (was a private external) _BrotliOptimizeHistograms
000000018c0559e4 (__TEXT,__text) non-external (was a private external) _BrotliOptimizeHuffmanCountsForRle
000000018c06415c (__TEXT,__text) non-external (was a private external) _BrotliPopulationCostCommand
000000018c064570 (__TEXT,__text) non-external (was a private external) _BrotliPopulationCostDistance
000000018c063d48 (__TEXT,__text) non-external (was a private external) _BrotliPopulationCostLiteral
000000018c0a7400 (__TEXT,__const) non-external _BrotliReverseBits.kLut
000000018c04b84c (__TEXT,__text) non-external (was a private external) _BrotliSafeReadBits32Slow
000000018c055658 (__TEXT,__text) non-external (was a private external) _BrotliSetDepth
000000018c046bb0 (__TEXT,__text) non-external (was a private external) _BrotliSetDictionaryData
000000018c047754 (__TEXT,__text) non-external (was a private external) _BrotliSplitBlock
000000018c0602b0 (__TEXT,__text) non-external (was a private external) _BrotliStoreHuffmanTree
000000018c0db548 (__TEXT,__const) non-external _BrotliStoreHuffmanTreeOfHuffmanTreeToBitMask.kHuffmanBitLengthHuffmanCodeBitLengths
000000018c0db542 (__TEXT,__const) non-external _BrotliStoreHuffmanTreeOfHuffmanTreeToBitMask.kHuffmanBitLengthHuffmanCodeSymbols
000000018c0db530 (__TEXT,__const) non-external _BrotliStoreHuffmanTreeOfHuffmanTreeToBitMask.kStorageOrder
000000018c060cb4 (__TEXT,__text) non-external (was a private external) _BrotliStoreMetaBlock
000000018c062f7c (__TEXT,__text) non-external (was a private external) _BrotliStoreMetaBlockFast
000000018c045fb8 (__TEXT,__text) non-external _BrotliStoreMetaBlockHeader
000000018c07edb8 (__TEXT,__text) non-external _BrotliStoreMetaBlockHeader
000000018c0625e4 (__TEXT,__text) non-external (was a private external) _BrotliStoreMetaBlockTrivial
000000018c06333c (__TEXT,__text) non-external (was a private external) _BrotliStoreUncompressedMetaBlock
000000018c05f0b4 (__TEXT,__text) non-external (was a private external) _BrotliTransformDictionaryWord
000000018c04b7fc (__TEXT,__text) non-external (was a private external) _BrotliWarmupBitReader
000000018c046600 (__TEXT,__text) non-external (was a private external) _BrotliWipeOutMemoryManager
000000018c055d24 (__TEXT,__text) non-external (was a private external) _BrotliWriteHuffmanTree
000000018c05abf4 (__TEXT,__text) non-external (was a private external) _BrotliZopfliComputeShortestPath
000000018c05a8e8 (__TEXT,__text) non-external (was a private external) _BrotliZopfliCreateCommands
000000018c061968 (__TEXT,__text) non-external _BuildAndStoreBlockSwitchEntropyCodes
000000018c046258 (__TEXT,__text) non-external _BuildAndStoreCommandPrefixCode
000000018c0628e4 (__TEXT,__text) non-external _BuildAndStoreHuffmanTree
000000018c046060 (__TEXT,__text) non-external _BuildAndStoreLiteralPrefixCode
000000018c062840 (__TEXT,__text) non-external _BuildHistograms
000000018c0872a0 (__TEXT,__const) non-external _ChooseContextMap.kStaticContextMapContinuation
000000018c0873a0 (__TEXT,__const) non-external _ChooseContextMap.kStaticContextMapSimpleUTF8
000000018c03f558 (__TEXT,__text) non-external _ChooseDistanceParams
000000018c0464c0 (__TEXT,__text) non-external _CollectGarbagePointers
000000018c0815e4 (__TEXT,__text) non-external _ComputeDistanceCost
000000018c05c174 (__TEXT,__text) non-external _ComputeShortestPathFromNodes
000000018c082cec (__TEXT,__text) non-external _ContextBlockSplitterFinishBlock
000000018c04df9c (__TEXT,__text) non-external _CopyUncompressedBlockToOutput
000000018c0676e0 (__TEXT,__text) non-external _CreateBackwardReferencesNH2
000000018c068538 (__TEXT,__text) non-external _CreateBackwardReferencesNH3
000000018c070344 (__TEXT,__text) non-external _CreateBackwardReferencesNH35
000000018c069090 (__TEXT,__text) non-external _CreateBackwardReferencesNH4
000000018c06c330 (__TEXT,__text) non-external _CreateBackwardReferencesNH40
000000018c06d440 (__TEXT,__text) non-external _CreateBackwardReferencesNH41
000000018c06e594 (__TEXT,__text) non-external _CreateBackwardReferencesNH42
000000018c069ff4 (__TEXT,__text) non-external _CreateBackwardReferencesNH5
000000018c06f778 (__TEXT,__text) non-external _CreateBackwardReferencesNH54
000000018c0711cc (__TEXT,__text) non-external _CreateBackwardReferencesNH55
000000018c06b15c (__TEXT,__text) non-external _CreateBackwardReferencesNH6
000000018c0720bc (__TEXT,__text) non-external _CreateBackwardReferencesNH65
000000018c040194 (__TEXT,__text) non-external _DecideOverLiteralContextModeling
000000018c087190 (__TEXT,__const) non-external _DecideOverLiteralContextModeling.lut
000000018c050264 (__TEXT,__text) non-external _DecodeCommandBlockSwitch
000000018c04e148 (__TEXT,__text) non-external _DecodeContextMap
000000018c050ce0 (__TEXT,__text) non-external _DecodeDistanceBlockSwitch
000000018c05079c (__TEXT,__text) non-external _DecodeLiteralBlockSwitch
000000018c04ce18 (__TEXT,__text) non-external _DecodeMetaBlockLength
000000018c04d3d8 (__TEXT,__text) non-external _DecodeVarLenUint8
000000018c045f1c (__TEXT,__text) non-external _EmitUncompressedMetaBlock
000000018c061e0c (__TEXT,__text) non-external _EncodeContextMap
000000018c03d5a4 (__TEXT,__text) non-external _EncodeData
000000018c05bfc8 (__TEXT,__text) non-external _EvaluateNode
000000018c03fad0 (__TEXT,__text) non-external _ExtendLastCommand
000000018c0a7480 (__TEXT,__const) non-external _FSE_mask_lsb64.mtable
000000018c0e4928 (__TEXT,__const) non-external _FSE_mask_lsb64.mtable
000000018c03f924 (__TEXT,__text) non-external _GetBrotliStorage
000000018c03f9a0 (__TEXT,__text) non-external _GetHashTable
000000018c087090 (__TEXT,__const) non-external _InitCommandPrefixCodes.kDefaultCommandBits
000000018c0fd449 (__TEXT,__cstring) non-external _InitCommandPrefixCodes.kDefaultCommandCode
000000018c087010 (__TEXT,__const) non-external _InitCommandPrefixCodes.kDefaultCommandDepths
000000018c05b6a4 (__TEXT,__text) non-external _InitZopfliCostModel
000000018c03f79c (__TEXT,__text) non-external _InitializeH5
000000018c03f7dc (__TEXT,__text) non-external _InitializeH6
000000018c03d46c (__TEXT,__text) non-external _InjectFlushOrPushOutput
000000018c04fe20 (__TEXT,__text) non-external _InverseMoveToFrontTransform
000000018c05738c (__TEXT,__text) non-external _LZFSEIBootBufferCopy
000000018c05733c (__TEXT,__text) non-external _LZFSEIBootBufferPush
000000018c05724c (__TEXT,__text) non-external _LZFSEIBootBufferPushN
000000018c084190 (__TEXT,__text) non-external _MapStaticContexts
000000018c03f8a8 (__TEXT,__text) non-external _PrepareH54
000000018c03f834 (__TEXT,__text) non-external _PrepareH6
000000018c04e658 (__TEXT,__text) non-external _ProcessCommands
000000018c04d5a8 (__TEXT,__text) non-external _ReadHuffmanCode
000000018c04ff38 (__TEXT,__text) non-external _SafeDecodeCommandBlockSwitch
000000018c0509a0 (__TEXT,__text) non-external _SafeDecodeDistanceBlockSwitch
000000018c050428 (__TEXT,__text) non-external _SafeDecodeLiteralBlockSwitch
000000018c04fd5c (__TEXT,__text) non-external _SafeDecodeSymbol
000000018c04f06c (__TEXT,__text) non-external _SafeProcessCommands
000000018c04ccbc (__TEXT,__text) non-external _SaveErrorCode
000000018c05d388 (__TEXT,__text) non-external _SetCost
000000018c05f358 (__TEXT,__text) non-external _Shift
000000018c03f5b0 (__TEXT,__text) non-external _ShouldCompress
000000018c0871a0 (__TEXT,__const) non-external _ShouldUseComplexStaticContextMap.kStaticContextMapComplexUTF8
000000018c04665c (__TEXT,__text) non-external _SortPointers
000000018c087718 (__TEXT,__const) non-external _SortPointers.gaps
000000018c0dc258 (__TEXT,__const) non-external _StoreCommands.kInsertOffset
000000018c0dc058 (__TEXT,__const) non-external _StoreCommands.kNumExtraBits
000000018c061830 (__TEXT,__text) non-external _StoreCompressedMetaBlockHeader
000000018c062cec (__TEXT,__text) non-external _StoreDataWithHuffmanCodes
000000018c0622a4 (__TEXT,__text) non-external _StoreSymbol
000000018c062440 (__TEXT,__text) non-external _StoreSymbolWithContext
000000018c061bf8 (__TEXT,__text) non-external _StoreTrivialContextMap
000000018c0634cc (__TEXT,__text) non-external _StoreVarLenUint8
000000018c03fa88 (__TEXT,__text) non-external _UpdateLastProcessedPos
000000018c05b83c (__TEXT,__text) non-external _UpdateNodes
000000018c04fb8c (__TEXT,__text) non-external _WrapRingBuffer
000000018c03fd18 (__TEXT,__text) non-external _WriteMetaBlockInternal
000000018c04ccd0 (__TEXT,__text) non-external _WriteRingBuffer
000000018c05b720 (__TEXT,__text) non-external _ZopfliCostModelSetFromLiteralCosts
                 (undefined) external __NSConcreteStackBlock (from libSystem)
00000001d431dee0 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
                 (undefined) external ___chkstk_darwin (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
000000018c053020 (__TEXT,__text) non-external ___yzip_jobs_process_block_invoke
000000018c0e3318 (__TEXT,__const) non-external (was a private external) __dist_code
000000018c0db848 (__TEXT,__const) non-external (was a private external) __kBrotliContextLookupTable
000000018c0874b0 (__TEXT,__const) non-external (was a private external) __kBrotliPrefixCodeRanges
000000018c0e3518 (__TEXT,__const) non-external (was a private external) __length_code
000000018c080afc (__TEXT,__text) non-external (was a private external) __tr_align
000000018c03476c (__TEXT,__text) non-external (was a private external) __tr_flush_block
000000018c032e6c (__TEXT,__text) non-external (was a private external) __tr_init
000000018c0809b4 (__TEXT,__text) non-external (was a private external) __tr_stored_block
000000018c080d70 (__TEXT,__text) non-external (was a private external) __tr_tally
000000018c032d30 (__TEXT,__text) non-external (was a private external) _adler32
000000018c086960 (__TEXT,__text) non-external (was a private external) _adler32_vec
000000018c0e3cd0 (__TEXT,__const) non-external _base_dist
000000018c0e3c5c (__TEXT,__const) non-external _base_length
000000018c080ce0 (__TEXT,__text) non-external _bi_flush
000000018c035c0c (__TEXT,__text) non-external _bi_windup
000000018c0e3c48 (__TEXT,__const) non-external _bl_order
000000018c0db5e8 (__TEXT,__const) non-external _breverse.brev8
000000018c07f16c (__TEXT,__text) non-external (was a private external) _brotli_decode_buffer
000000018c07f1b4 (__TEXT,__text) non-external (was a private external) _brotli_encode_buffer
000000018c07f3a4 (__TEXT,__text) non-external (was a private external) _brotli_stream_end
000000018c07f2c4 (__TEXT,__text) non-external (was a private external) _brotli_stream_init
000000018c07f200 (__TEXT,__text) non-external (was a private external) _brotli_stream_process
000000018c034cc8 (__TEXT,__text) non-external _build_tree
                 (undefined) external _bzero (from libSystem)
                 (undefined) external _calloc (from libSystem)
                 (undefined) external _close (from libSystem)
000000018c03584c (__TEXT,__text) non-external _compress_block
000000018c037484 (__TEXT,__text) external _compression_decode_buffer
000000018c0373bc (__TEXT,__text) external _compression_decode_scratch_buffer_size
000000018c075758 (__TEXT,__text) external _compression_encode_buffer
000000018c075634 (__TEXT,__text) external _compression_encode_scratch_buffer_size
000000018c035e04 (__TEXT,__text) external _compression_stream_destroy
000000018c05448c (__TEXT,__text) external _compression_stream_get_decode_state_size
000000018c05443c (__TEXT,__text) external _compression_stream_get_encode_state_size
000000018c0543ec (__TEXT,__text) external _compression_stream_get_state_size
000000018c054358 (__TEXT,__text) external _compression_stream_identify_algorithm
000000018c032780 (__TEXT,__text) external _compression_stream_init
000000018c054318 (__TEXT,__text) external _compression_stream_init_with_state_buffer
000000018c0544dc (__TEXT,__text) external _compression_stream_is_state_valid
000000018c032ebc (__TEXT,__text) external _compression_stream_process
000000018c037d80 (__TEXT,__text) external _compression_stream_reinit
00000001dd8ef8d8 (__AUTH_CONST,__const) non-external _configuration_table
000000018c065918 (__TEXT,__text) external _cosmix_codec_decode
000000018c065024 (__TEXT,__text) external _cosmix_codec_encode
000000018c065830 (__TEXT,__text) external _cosmix_codec_get_decoded_size
000000018c0663ac (__TEXT,__text) external _cosmix_codec_get_id
000000018c066204 (__TEXT,__text) external _cosmix_codec_map
000000018c06634c (__TEXT,__text) external _cosmix_codec_unmap
000000018c065e24 (__TEXT,__text) external _cosmix_model_create
000000018c065f60 (__TEXT,__text) external _cosmix_model_destroy
000000018c065fa8 (__TEXT,__text) external _cosmix_model_save_codec
000000018c064984 (__TEXT,__text) external _cosmix_model_update
000000018c07ee6c (__TEXT,__text) non-external (was a private external) _crc32
000000018c0dc2b8 (__TEXT,__const) non-external _crc_table
000000018c04b71c (__TEXT,__text) non-external (was a private external) _create_thread
000000018c03335c (__TEXT,__text) non-external (was a private external) _deflate
000000018c085d10 (__TEXT,__text) non-external (was a private external) _deflateBound
000000018c0862ac (__TEXT,__text) non-external (was a private external) _deflateCopy
000000018c035d14 (__TEXT,__text) non-external (was a private external) _deflateEnd
000000018c032944 (__TEXT,__text) non-external (was a private external) _deflateInit2_
000000018c085a64 (__TEXT,__text) non-external (was a private external) _deflateInit_
000000018c085c08 (__TEXT,__text) non-external (was a private external) _deflateParams
000000018c085bd8 (__TEXT,__text) non-external (was a private external) _deflatePrime
000000018c032c00 (__TEXT,__text) non-external (was a private external) _deflateReset
000000018c085a80 (__TEXT,__text) non-external (was a private external) _deflateSetDictionary
000000018c085bac (__TEXT,__text) non-external (was a private external) _deflateSetHeader
000000018c085cec (__TEXT,__text) non-external (was a private external) _deflateTune
000000018c0e4b78 (__TEXT,__const) non-external (was a private external) _deflate_copyright
000000018c086610 (__TEXT,__text) non-external _deflate_fast
000000018c085e0c (__TEXT,__text) non-external _deflate_huff
000000018c085f6c (__TEXT,__text) non-external _deflate_rle
000000018c033ec8 (__TEXT,__text) non-external _deflate_slow
000000018c086468 (__TEXT,__text) non-external _deflate_stored
                 (undefined) external _dispatch_apply (from libSystem)
000000018c05fc94 (__TEXT,__text) non-external _emitMatch
000000018c0e3bfc (__TEXT,__const) non-external _extra_blbits
000000018c0e3b84 (__TEXT,__const) non-external _extra_dbits
000000018c0e3b10 (__TEXT,__const) non-external _extra_lbits
                 (undefined) external _fclose (from libSystem)
000000018c03431c (__TEXT,__text) non-external _fill_window
000000018c035c80 (__TEXT,__text) non-external _flush_pending
                 (undefined) external _fopen (from libSystem)
                 (undefined) external _free (from libSystem)
                 (undefined) external _fwrite (from libSystem)
000000018c0e4824 (__TEXT,__const) non-external _getDSymbolFromValue.sym
000000018c0e3db0 (__TEXT,__const) non-external _getLSymbolFromValue.sym
000000018c0e3eec (__TEXT,__const) non-external _getMSymbolFromValue.sym
000000018c07ee60 (__TEXT,__text) non-external (was a private external) _get_crc_table
000000018c05a86c (__TEXT,__text) non-external (was a private external) _get_default_nthreads
000000018c051fc8 (__TEXT,__text) non-external (was a private external) _get_max_payload_size
000000018c051fe0 (__TEXT,__text) non-external (was a private external) _get_plane_max_rice_size
000000018c051ff4 (__TEXT,__text) non-external (was a private external) _get_pool_size
000000018c05a824 (__TEXT,__text) non-external (was a private external) _get_real_time
                 (undefined) external _gettimeofday (from libSystem)
000000018c057618 (__TEXT,__text) non-external _header_fetch_from_payload
000000018c08087c (__TEXT,__text) non-external _init_block
000000018c0807c4 (__TEXT,__text) non-external _init_quantization_lut
000000018c04b7c4 (__TEXT,__text) non-external (was a private external) _join_thread
000000018c0a5720 (__TEXT,__const) non-external (was a private external) _kBrotliBitMask
000000018c086ee0 (__TEXT,__const) non-external (was a private external) _kBrotliCopyBase
000000018c086f40 (__TEXT,__const) non-external (was a private external) _kBrotliCopyExtra
00000001d431dd18 (__DATA_CONST,__const) non-external _kBrotliDictionary
000000018c087738 (__TEXT,__const) non-external _kBrotliDictionaryData
000000018c086e20 (__TEXT,__const) non-external (was a private external) _kBrotliInsBase
000000018c086e80 (__TEXT,__const) non-external (was a private external) _kBrotliInsExtra
000000018c0e4bc0 (__TEXT,__const) non-external (was a private external) _kBrotliLog2Table
000000018c0a73d0 (__TEXT,__const) non-external (was a private external) _kBrotliShellGaps
00000001d431df00 (__DATA_CONST,__const) non-external _kBrotliTransforms
000000018c087518 (__TEXT,__const) non-external _kCmdHistoSeed
000000018c0a5822 (__TEXT,__const) non-external _kCmdLut
000000018c0d8ae4 (__TEXT,__const) non-external _kCodeLengthBits
000000018c0a57f0 (__TEXT,__const) non-external _kCodeLengthCodeOrder
000000018c0d8ad0 (__TEXT,__const) non-external _kCodeLengthDepth
000000018c0a5802 (__TEXT,__const) non-external _kCodeLengthPrefixLength
000000018c0a5812 (__TEXT,__const) non-external _kCodeLengthPrefixValue
000000018c0a7288 (__TEXT,__const) non-external (was a private external) _kDSymbolVBase
000000018c0a7248 (__TEXT,__const) non-external (was a private external) _kDSymbolVBits
000000018c0a76b4 (__TEXT,__const) non-external _kDistanceCacheIndex
000000018c0a76f4 (__TEXT,__const) non-external _kDistanceCacheOffset
000000018c0a7194 (__TEXT,__const) non-external (was a private external) _kLSymbolVBase
000000018c0a7180 (__TEXT,__const) non-external (was a private external) _kLSymbolVBits
000000018c0a71f8 (__TEXT,__const) non-external (was a private external) _kMSymbolVBase
000000018c0a71e4 (__TEXT,__const) non-external (was a private external) _kMSymbolVBits
000000018c0d9630 (__TEXT,__const) non-external _kNonZeroRepsBits
000000018c0d8b2c (__TEXT,__const) non-external _kNonZeroRepsDepth
000000018c0d6710 (__TEXT,__const) non-external _kPrefixSuffix
000000018c0d67ea (__TEXT,__const) non-external _kPrefixSuffixMap
000000018c0daef0 (__TEXT,__const) non-external _kStaticCommandCodeBits
000000018c0dac30 (__TEXT,__const) non-external _kStaticCommandCodeDepth
000000018c0a77ac (__TEXT,__const) non-external _kStaticDictionaryBuckets
000000018c0f53ce (__TEXT,__const) non-external (was a private external) _kStaticDictionaryHashLengths
000000018c0e53ce (__TEXT,__const) non-external (was a private external) _kStaticDictionaryHashWords
000000018c0b77ac (__TEXT,__const) non-external _kStaticDictionaryWords
000000018c0db4b0 (__TEXT,__const) non-external _kStaticDistanceCodeBits
000000018c0db470 (__TEXT,__const) non-external _kStaticDistanceCodeDepth
000000018c0d684e (__TEXT,__const) non-external _kTransformsData
000000018c0d74d0 (__TEXT,__const) non-external _kZeroRepsBits
000000018c0d69d0 (__TEXT,__const) non-external _kZeroRepsDepth
                 (undefined) external _log2 (from libSystem)
000000018c03456c (__TEXT,__text) non-external _longest_match
00000001d8d63004 (__DATA,__common) non-external (was a private external) _lut_ok
00000001d8d64400 (__DATA,__common) non-external (was a private external) _lut_quantize
000000018c0e02c4 (__TEXT,__const) non-external (was a private external) _lut_rle
000000018c055224 (__TEXT,__text) non-external (was a private external) _lz24_decode_buffer
000000018c054ab8 (__TEXT,__text) non-external (was a private external) _lz24_encode_buffer
000000018c054aac (__TEXT,__text) non-external (was a private external) _lz24_encode_scratch_buffer_size
000000018c039790 (__TEXT,__text) non-external (was a private external) _lz4_decode
000000018c039380 (__TEXT,__text) non-external (was a private external) _lz4_decode_asm
000000018c0391a0 (__TEXT,__text) non-external (was a private external) _lz4_decode_buffer
000000018c0467c0 (__TEXT,__text) non-external (was a private external) _lz4_encode_2gb
000000018c03a5d0 (__TEXT,__text) non-external (was a private external) _lz4_encode_buffer
000000018c063cc0 (__TEXT,__text) non-external (was a private external) _lz4_stream_end
000000018c063d3c (__TEXT,__text) non-external (was a private external) _lz4_stream_get_decode_state_size
000000018c063d30 (__TEXT,__text) non-external (was a private external) _lz4_stream_get_encode_state_size
000000018c063d24 (__TEXT,__text) non-external (was a private external) _lz4_stream_get_state_size
000000018c063cf0 (__TEXT,__text) non-external (was a private external) _lz4_stream_identify_algorithm
000000018c063568 (__TEXT,__text) non-external (was a private external) _lz4_stream_init
000000018c06362c (__TEXT,__text) non-external (was a private external) _lz4_stream_process
000000018c0555b8 (__TEXT,__text) non-external (was a private external) _lz4raw_decode_buffer
000000018c0554b4 (__TEXT,__text) non-external (was a private external) _lz4raw_encode_buffer
