000000021b0c1820 (__DATA,__bss) non-external _A
000000020c4f4d50 (__TEXT,__text) non-external (was a private external) __scan_liberal_html_tag
000000020c508813 (__TEXT,__const) non-external __scan_liberal_html_tag.yybm
000000020c4f8b30 (__TEXT,__text) non-external (was a private external) __scan_link_title
000000020c509313 (__TEXT,__const) non-external __scan_link_title.yybm
000000020c4f9508 (__TEXT,__text) non-external (was a private external) __scan_open_code_fence
000000020c509713 (__TEXT,__const) non-external __scan_open_code_fence.yybm
000000020c4f05e8 (__TEXT,__text) non-external (was a private external) __scan_scheme
000000020c4f9388 (__TEXT,__text) non-external (was a private external) __scan_setext_heading_line
000000020c509613 (__TEXT,__const) non-external __scan_setext_heading_line.yybm
000000020c4f9214 (__TEXT,__text) non-external (was a private external) __scan_spacechars
000000020c509413 (__TEXT,__const) non-external __scan_spacechars.yybm
000000020c4ee4c4 (__TEXT,__text) non-external (was a private external) __scan_table_cell
000000020c508213 (__TEXT,__const) non-external __scan_table_cell.yybm
000000020c4ee780 (__TEXT,__text) non-external (was a private external) __scan_table_cell_end
000000020c4ee7bc (__TEXT,__text) non-external (was a private external) __scan_table_row_end
000000020c508313 (__TEXT,__const) non-external __scan_table_row_end.yybm
000000020c4ee2fc (__TEXT,__text) non-external (was a private external) __scan_table_start
000000020c508113 (__TEXT,__const) non-external __scan_table_start.yybm
000000020c4ee86c (__TEXT,__text) non-external (was a private external) __scan_tasklist
000000020c508413 (__TEXT,__const) non-external __scan_tasklist.yybm
                 (undefined) external _abort (from libSystem)
000000020c4fd538 (__TEXT,__text) non-external _add_child
000000020c507268 (__TEXT,__text) non-external _add_child.cold.1
000000020c4fdca8 (__TEXT,__text) non-external _add_line
000000020c5072ec (__TEXT,__text) non-external _add_line.cold.1
000000020c5030d4 (__TEXT,__text) non-external _adjust_subj_node_newlines
000000020c5069c8 (__TEXT,__text) non-external _alloc_arena_chunk
000000020c506b58 (__TEXT,__text) non-external _arena_calloc
000000020c506c9c (__TEXT,__text) non-external _arena_free
000000021b0c17e0 (__DATA,__bss) non-external _arena_lock
000000021b0c1640 (__DATA,__data) non-external _arena_once
000000020c506c40 (__TEXT,__text) non-external _arena_realloc
000000020c4ed800 (__TEXT,__text) non-external _autolink_delim
0000000217bafe40 (__DATA_CONST,__const) non-external _blacklist
                 (undefined) external _bsearch (from libSystem)
                 (undefined) external _bzero (from libSystem)
                 (undefined) external _calloc (from libSystem)
000000020c4ec138 (__TEXT,__text) non-external _can_contain
000000020c4eedf8 (__TEXT,__text) non-external _can_contain
000000020c505088 (__TEXT,__text) non-external _can_contain
000000020c4ed6f4 (__TEXT,__text) non-external _check_domain
000000020c50337c (__TEXT,__text) non-external _chunk_clone
000000020c506a2c (__TEXT,__text) external _cmark_arena_pop
000000020c50694c (__TEXT,__text) external _cmark_arena_push
000000020c506ac8 (__TEXT,__text) external _cmark_arena_reset
000000020c504584 (__TEXT,__text) non-external _cmark_chunk_to_cstr
000000020c4ff904 (__TEXT,__text) non-external (was a private external) _cmark_clean_attributes
000000020c4ff84c (__TEXT,__text) non-external (was a private external) _cmark_clean_title
000000020c4ff764 (__TEXT,__text) non-external (was a private external) _cmark_clean_url
000000020c507378 (__TEXT,__text) non-external _cmark_clean_url.cold.1
000000020c5073a4 (__TEXT,__text) non-external _cmark_clean_url.cold.2
000000020c4ef2e8 (__TEXT,__text) external _cmark_consolidate_text_nodes
000000020c508013 (__TEXT,__const) non-external _cmark_ctype_class
0000000217ba7970 (__DATA_CONST,__const) non-external _cmark_entities
000000020c4edc14 (__TEXT,__text) external _cmark_find_syntax_extension
000000020c4fa880 (__TEXT,__text) non-external (was a private external) _cmark_footnote_create
000000020c507050 (__TEXT,__text) non-external _cmark_footnote_create.cold.1
000000020c4fa900 (__TEXT,__text) non-external (was a private external) _cmark_footnote_map_new
000000020c506ca0 (__TEXT,__text) external _cmark_get_arena_mem_allocator
000000020c4ead1c (__TEXT,__text) external _cmark_get_default_mem_allocator
000000020c4fa9a8 (__TEXT,__text) external _cmark_gfm_core_extensions_ensure_registered
000000020c506190 (__TEXT,__text) external _cmark_gfm_extensions_get_table_alignments
000000020c5062c8 (__TEXT,__text) external _cmark_gfm_extensions_get_table_cell_colspan
000000020c506300 (__TEXT,__text) external _cmark_gfm_extensions_get_table_cell_rowspan
000000020c506168 (__TEXT,__text) external _cmark_gfm_extensions_get_table_columns
000000020c506264 (__TEXT,__text) external _cmark_gfm_extensions_get_table_row_is_header
000000020c4ebe90 (__TEXT,__text) external _cmark_gfm_extensions_get_tasklist_item_checked
000000020c5061e8 (__TEXT,__text) external _cmark_gfm_extensions_set_table_alignments
000000020c506338 (__TEXT,__text) external _cmark_gfm_extensions_set_table_cell_colspan
000000020c50636c (__TEXT,__text) external _cmark_gfm_extensions_set_table_cell_rowspan
000000020c5061b8 (__TEXT,__text) external _cmark_gfm_extensions_set_table_columns
000000020c506290 (__TEXT,__text) external _cmark_gfm_extensions_set_table_row_is_header
000000020c4ebe38 (__TEXT,__text) external _cmark_gfm_extensions_set_tasklist_item_checked
000000020c4fdde8 (__TEXT,__text) external _cmark_init_standard_node_flags
000000020c502f78 (__TEXT,__text) external _cmark_inline_parser_advance_offset
000000020c502fb0 (__TEXT,__text) external _cmark_inline_parser_get_chunk
000000020c502f98 (__TEXT,__text) external _cmark_inline_parser_get_column
000000020c50303c (__TEXT,__text) external _cmark_inline_parser_get_last_delimiter
000000020c503044 (__TEXT,__text) external _cmark_inline_parser_get_line
000000020c502f88 (__TEXT,__text) external _cmark_inline_parser_get_offset
000000020c502fb8 (__TEXT,__text) external _cmark_inline_parser_in_bracket
000000020c502c34 (__TEXT,__text) external _cmark_inline_parser_is_eof
000000020c502c28 (__TEXT,__text) external _cmark_inline_parser_peek_at
000000020c502bf0 (__TEXT,__text) external _cmark_inline_parser_peek_char
000000020c507a40 (__TEXT,__text) non-external _cmark_inline_parser_peek_char.cold.1
000000020c502d10 (__TEXT,__text) external _cmark_inline_parser_push_delimiter
000000020c502d9c (__TEXT,__text) external _cmark_inline_parser_remove_delimiter
000000020c502da0 (__TEXT,__text) external _cmark_inline_parser_scan_delimiters
000000020c507a90 (__TEXT,__text) non-external _cmark_inline_parser_scan_delimiters.cold.1
000000020c502f90 (__TEXT,__text) external _cmark_inline_parser_set_offset
000000020c502c48 (__TEXT,__text) external _cmark_inline_parser_take_while
000000020c507a68 (__TEXT,__text) non-external _cmark_inline_parser_take_while.cold.1
000000020c4ff96c (__TEXT,__text) non-external (was a private external) _cmark_inlines_add_special_character
000000020c4ff98c (__TEXT,__text) non-external (was a private external) _cmark_inlines_remove_special_character
000000020c4ebde0 (__TEXT,__text) external _cmark_isalnum
000000020c4ebe1c (__TEXT,__text) external _cmark_isalpha
000000020c4ebe00 (__TEXT,__text) external _cmark_isdigit
000000020c4ebdc4 (__TEXT,__text) external _cmark_ispunct
000000020c4ebda8 (__TEXT,__text) external _cmark_isspace
000000020c4ef1e0 (__TEXT,__text) external _cmark_iter_free
000000020c4ef2d8 (__TEXT,__text) external _cmark_iter_get_event_type
000000020c4ef2d0 (__TEXT,__text) external _cmark_iter_get_node
000000020c4ef2e0 (__TEXT,__text) external _cmark_iter_get_root
000000020c4ef18c (__TEXT,__text) external _cmark_iter_new
000000020c4ef1ec (__TEXT,__text) external _cmark_iter_next
000000020c506ff8 (__TEXT,__text) non-external _cmark_iter_next.cold.1
000000020c4ef2c4 (__TEXT,__text) external _cmark_iter_reset
000000020c4edb80 (__TEXT,__text) external _cmark_list_syntax_extensions
000000020c4f0494 (__TEXT,__text) external _cmark_llist_append
000000020c4f054c (__TEXT,__text) external _cmark_llist_free
000000020c4f04f0 (__TEXT,__text) external _cmark_llist_free_full
000000020c4fba28 (__TEXT,__text) external _cmark_manage_extensions_special_characters
000000020c4fac54 (__TEXT,__text) non-external (was a private external) _cmark_map_free
000000020c4faad0 (__TEXT,__text) non-external (was a private external) _cmark_map_lookup
000000020c4facc8 (__TEXT,__text) non-external (was a private external) _cmark_map_new
000000020c4ead28 (__TEXT,__text) external _cmark_markdown_to_html
000000020c4ff4dc (__TEXT,__text) external _cmark_node_append_child
000000020c4fddec (__TEXT,__text) non-external (was a private external) _cmark_node_can_contain_type
000000020c4ff538 (__TEXT,__text) non-external (was a private external) _cmark_node_check
000000020c4fe4ac (__TEXT,__text) external _cmark_node_first_child
000000020c4fdfcc (__TEXT,__text) external _cmark_node_free
000000020c4fee70 (__TEXT,__text) external _cmark_node_get_attributes
000000020c4fe64c (__TEXT,__text) external _cmark_node_get_backtick_count
000000020c4ff314 (__TEXT,__text) external _cmark_node_get_end_column
000000020c4ff308 (__TEXT,__text) external _cmark_node_get_end_line
000000020c4fe998 (__TEXT,__text) external _cmark_node_get_fence_info
000000020c4feb04 (__TEXT,__text) external _cmark_node_get_fenced
000000020c4fe7cc (__TEXT,__text) external _cmark_node_get_heading_level
000000020c4fe88c (__TEXT,__text) external _cmark_node_get_list_delim
000000020c4fe8ec (__TEXT,__text) external _cmark_node_get_list_start
000000020c4fe944 (__TEXT,__text) external _cmark_node_get_list_tight
000000020c4fe82c (__TEXT,__text) external _cmark_node_get_list_type
000000020c4fe520 (__TEXT,__text) external _cmark_node_get_literal
000000020c4fefdc (__TEXT,__text) external _cmark_node_get_on_enter
000000020c4ff158 (__TEXT,__text) external _cmark_node_get_on_exit
000000020c4ff2fc (__TEXT,__text) external _cmark_node_get_start_column
000000020c4ff2f0 (__TEXT,__text) external _cmark_node_get_start_line
000000020c4fe7a8 (__TEXT,__text) external _cmark_node_get_string_content
000000020c4ff2d4 (__TEXT,__text) external _cmark_node_get_syntax_extension
000000020c4fecf4 (__TEXT,__text) external _cmark_node_get_title
000000020c4fe0c4 (__TEXT,__text) external _cmark_node_get_type
000000020c4fe28c (__TEXT,__text) external _cmark_node_get_type_string
000000020c4feb78 (__TEXT,__text) external _cmark_node_get_url
000000020c4fe4f4 (__TEXT,__text) external _cmark_node_get_user_data
000000020c4ff3c8 (__TEXT,__text) external _cmark_node_insert_after
000000020c4ff34c (__TEXT,__text) external _cmark_node_insert_before
000000020c4fe4b8 (__TEXT,__text) external _cmark_node_last_child
000000020c4fdfbc (__TEXT,__text) external _cmark_node_new
000000020c4fdfa4 (__TEXT,__text) external _cmark_node_new_with_ext
000000020c4fdfb4 (__TEXT,__text) external _cmark_node_new_with_mem
000000020c4fdee4 (__TEXT,__text) external _cmark_node_new_with_mem_and_ext
000000020c4fe488 (__TEXT,__text) external _cmark_node_next
000000020c4fe4c4 (__TEXT,__text) external _cmark_node_nth_child
000000020c4ef464 (__TEXT,__text) external _cmark_node_own
000000020c4fe4a0 (__TEXT,__text) external _cmark_node_parent
000000020c4ff480 (__TEXT,__text) external _cmark_node_prepend_child
000000020c4fe494 (__TEXT,__text) external _cmark_node_previous
000000020c4ff444 (__TEXT,__text) external _cmark_node_replace
000000020c4fef10 (__TEXT,__text) external _cmark_node_set_attributes
000000020c4fea38 (__TEXT,__text) external _cmark_node_set_fence_info
000000020c4feb40 (__TEXT,__text) external _cmark_node_set_fenced
000000020c4fe7f0 (__TEXT,__text) external _cmark_node_set_heading_level
000000020c4fe8b0 (__TEXT,__text) external _cmark_node_set_list_delim
000000020c4fe910 (__TEXT,__text) external _cmark_node_set_list_start
000000020c4fe968 (__TEXT,__text) external _cmark_node_set_list_tight
000000020c4fe850 (__TEXT,__text) external _cmark_node_set_list_type
000000020c4fe654 (__TEXT,__text) external _cmark_node_set_literal
000000020c4ff084 (__TEXT,__text) external _cmark_node_set_on_enter
000000020c4ff200 (__TEXT,__text) external _cmark_node_set_on_exit
000000020c4fe7b0 (__TEXT,__text) external _cmark_node_set_string_content
000000020c4ff2e0 (__TEXT,__text) external _cmark_node_set_syntax_extension
000000020c4fed9c (__TEXT,__text) external _cmark_node_set_title
000000020c4fe0d0 (__TEXT,__text) external _cmark_node_set_type
000000020c4fec20 (__TEXT,__text) external _cmark_node_set_url
000000020c4fe500 (__TEXT,__text) external _cmark_node_set_user_data
000000020c4fe510 (__TEXT,__text) external _cmark_node_set_user_data_free_func
000000020c4ff320 (__TEXT,__text) external _cmark_node_unlink
000000020c502ff4 (__TEXT,__text) external _cmark_node_unput
000000020c4fc238 (__TEXT,__text) external _cmark_parse_document
000000020c4fbaa8 (__TEXT,__text) external _cmark_parse_file
000000020c4ff9a8 (__TEXT,__text) non-external (was a private external) _cmark_parse_inlines
000000020c5073d0 (__TEXT,__text) non-external _cmark_parse_inlines.cold.1
000000020c507538 (__TEXT,__text) non-external _cmark_parse_inlines.cold.10
000000020c507560 (__TEXT,__text) non-external _cmark_parse_inlines.cold.11
000000020c507588 (__TEXT,__text) non-external _cmark_parse_inlines.cold.12
000000020c5075b0 (__TEXT,__text) non-external _cmark_parse_inlines.cold.13
000000020c5075d8 (__TEXT,__text) non-external _cmark_parse_inlines.cold.14
000000020c507600 (__TEXT,__text) non-external _cmark_parse_inlines.cold.15
000000020c507628 (__TEXT,__text) non-external _cmark_parse_inlines.cold.16
000000020c507650 (__TEXT,__text) non-external _cmark_parse_inlines.cold.17
000000020c507678 (__TEXT,__text) non-external _cmark_parse_inlines.cold.18
000000020c5076a0 (__TEXT,__text) non-external _cmark_parse_inlines.cold.19
000000020c5073f8 (__TEXT,__text) non-external _cmark_parse_inlines.cold.2
000000020c507420 (__TEXT,__text) non-external _cmark_parse_inlines.cold.3
000000020c507448 (__TEXT,__text) non-external _cmark_parse_inlines.cold.4
000000020c507470 (__TEXT,__text) non-external _cmark_parse_inlines.cold.5
000000020c507498 (__TEXT,__text) non-external _cmark_parse_inlines.cold.6
000000020c5074c0 (__TEXT,__text) non-external _cmark_parse_inlines.cold.7
000000020c5074e8 (__TEXT,__text) non-external _cmark_parse_inlines.cold.8
000000020c507510 (__TEXT,__text) non-external _cmark_parse_inlines.cold.9
000000020c502958 (__TEXT,__text) non-external (was a private external) _cmark_parse_reference_attributes_inline
000000020c507978 (__TEXT,__text) non-external _cmark_parse_reference_attributes_inline.cold.1
000000020c5079a0 (__TEXT,__text) non-external _cmark_parse_reference_attributes_inline.cold.2
000000020c5079c8 (__TEXT,__text) non-external _cmark_parse_reference_attributes_inline.cold.3
000000020c5079f0 (__TEXT,__text) non-external _cmark_parse_reference_attributes_inline.cold.4
000000020c507a18 (__TEXT,__text) non-external _cmark_parse_reference_attributes_inline.cold.5
000000020c502164 (__TEXT,__text) non-external (was a private external) _cmark_parse_reference_inline
000000020c5076f4 (__TEXT,__text) non-external _cmark_parse_reference_inline.cold.1
000000020c50771c (__TEXT,__text) non-external _cmark_parse_reference_inline.cold.2
000000020c507744 (__TEXT,__text) non-external _cmark_parse_reference_inline.cold.3
000000020c50776c (__TEXT,__text) non-external _cmark_parse_reference_inline.cold.4
000000020c507794 (__TEXT,__text) non-external _cmark_parse_reference_inline.cold.5
000000020c5077bc (__TEXT,__text) non-external _cmark_parse_reference_inline.cold.6
000000020c5077e4 (__TEXT,__text) non-external _cmark_parse_reference_inline.cold.7
000000020c4fd534 (__TEXT,__text) external _cmark_parser_add_child
000000020c4fd618 (__TEXT,__text) external _cmark_parser_advance_offset
000000020c4fb718 (__TEXT,__text) external _cmark_parser_attach_syntax_extension
000000020c4fb9d8 (__TEXT,__text) non-external _cmark_parser_dispose
000000020c4fc2a0 (__TEXT,__text) external _cmark_parser_feed
000000020c4fc2a8 (__TEXT,__text) external _cmark_parser_feed_reentrant
000000020c4fbd88 (__TEXT,__text) external _cmark_parser_finish
000000020c4fb94c (__TEXT,__text) external _cmark_parser_free
000000020c4fd4fc (__TEXT,__text) external _cmark_parser_get_column
000000020c4fd504 (__TEXT,__text) external _cmark_parser_get_first_nonspace
000000020c4fd50c (__TEXT,__text) external _cmark_parser_get_first_nonspace_column
000000020c4fd514 (__TEXT,__text) external _cmark_parser_get_indent
000000020c4fd52c (__TEXT,__text) external _cmark_parser_get_last_line_length
000000020c4fd4ec (__TEXT,__text) external _cmark_parser_get_line_number
000000020c4fd4f4 (__TEXT,__text) external _cmark_parser_get_offset
000000020c4fd728 (__TEXT,__text) external _cmark_parser_get_syntax_extensions
000000020c4fd524 (__TEXT,__text) external _cmark_parser_has_partially_consumed_tab
000000020c4fd51c (__TEXT,__text) external _cmark_parser_is_blank
000000020c4fb940 (__TEXT,__text) external _cmark_parser_new
000000020c4fb7d8 (__TEXT,__text) external _cmark_parser_new_with_mem
000000020c4fb844 (__TEXT,__text) non-external _cmark_parser_reset
000000020c4fd720 (__TEXT,__text) external _cmark_parser_set_backslash_ispunct_func
000000020c4eec28 (__TEXT,__text) external _cmark_plugin_free
000000020c4eebf8 (__TEXT,__text) external _cmark_plugin_new
000000020c4eebbc (__TEXT,__text) external _cmark_plugin_register_syntax_extension
000000020c4eec84 (__TEXT,__text) external _cmark_plugin_steal_syntax_extensions
000000020c4fb4e4 (__TEXT,__text) non-external (was a private external) _cmark_reference_create
000000020c507134 (__TEXT,__text) non-external _cmark_reference_create.cold.1
000000020c4fb5a8 (__TEXT,__text) non-external (was a private external) _cmark_reference_create_attributes
000000020c507160 (__TEXT,__text) non-external _cmark_reference_create_attributes.cold.1
000000020c4fb658 (__TEXT,__text) non-external (was a private external) _cmark_reference_map_new
000000020c4fdd60 (__TEXT,__text) external _cmark_register_node_flag
000000020c507318 (__TEXT,__text) non-external _cmark_register_node_flag.cold.1
000000020c507348 (__TEXT,__text) non-external _cmark_register_node_flag.cold.2
000000021b0c1538 (__DATA,__data) non-external _cmark_register_node_flag.nextflag
000000020c4eda20 (__TEXT,__text) external _cmark_register_plugin
000000020c4edaf8 (__TEXT,__text) external _cmark_release_plugins
000000020c4edd30 (__TEXT,__text) non-external (was a private external) _cmark_render
000000020c4edcb0 (__TEXT,__text) non-external (was a private external) _cmark_render_ascii
000000020c4edcf4 (__TEXT,__text) non-external (was a private external) _cmark_render_code_point
000000020c4e9910 (__TEXT,__text) external _cmark_render_commonmark
000000020c4e994c (__TEXT,__text) external _cmark_render_commonmark_with_mem
000000020c4ead6c (__TEXT,__text) external _cmark_render_html
000000020c4ead74 (__TEXT,__text) external _cmark_render_html_with_mem
000000020c506f1c (__TEXT,__text) non-external _cmark_render_html_with_mem.cold.1
000000020c4ef6c4 (__TEXT,__text) external _cmark_render_latex
000000020c4ef6f8 (__TEXT,__text) external _cmark_render_latex_with_mem
000000020c4ec3ac (__TEXT,__text) external _cmark_render_man
000000020c4ec3e0 (__TEXT,__text) external _cmark_render_man_with_mem
000000020c503efc (__TEXT,__text) external _cmark_render_plaintext
000000020c503f38 (__TEXT,__text) external _cmark_render_plaintext_with_mem
000000020c503400 (__TEXT,__text) external _cmark_render_xml
000000020c503408 (__TEXT,__text) external _cmark_render_xml_with_mem
000000020c4ff700 (__TEXT,__text) non-external (was a private external) _cmark_set_default_skip_chars
000000021b0c16d8 (__DATA,__bss) non-external _cmark_set_default_skip_chars.default_skip_chars
000000020c4ff908 (__TEXT,__text) non-external (was a private external) _cmark_set_default_special_chars
000000021b0c153a (__DATA,__data) non-external _cmark_set_default_special_chars.default_special_chars
000000021b0c182c (__DATA,__common) external _cmark_strbuf__initbuf
000000020c4fae3c (__TEXT,__text) external _cmark_strbuf_clear
000000020c4fb124 (__TEXT,__text) external _cmark_strbuf_cmp
000000020c4fb05c (__TEXT,__text) external _cmark_strbuf_copy_cstr
000000020c507108 (__TEXT,__text) non-external _cmark_strbuf_copy_cstr.cold.1
000000020c4fb0f0 (__TEXT,__text) external _cmark_strbuf_detach
000000020c4fb24c (__TEXT,__text) external _cmark_strbuf_drop
000000020c4fadf0 (__TEXT,__text) external _cmark_strbuf_free
000000020c4fad70 (__TEXT,__text) external _cmark_strbuf_grow
000000020c5070a8 (__TEXT,__text) non-external _cmark_strbuf_grow.cold.1
000000020c5070d4 (__TEXT,__text) non-external _cmark_strbuf_grow.cold.2
000000020c4fad48 (__TEXT,__text) external _cmark_strbuf_init
000000020c4fade8 (__TEXT,__text) external _cmark_strbuf_len
000000020c4fb394 (__TEXT,__text) external _cmark_strbuf_normalize_whitespace
000000020c4fafa0 (__TEXT,__text) external _cmark_strbuf_put
000000020c4faf50 (__TEXT,__text) external _cmark_strbuf_putc
000000020c4fb014 (__TEXT,__text) external _cmark_strbuf_puts
000000020c4fb2b0 (__TEXT,__text) external _cmark_strbuf_rtrim
000000020c4fae58 (__TEXT,__text) external _cmark_strbuf_set
000000020c4faefc (__TEXT,__text) external _cmark_strbuf_sets
000000020c4fb188 (__TEXT,__text) external _cmark_strbuf_strchr
000000020c4fb1e0 (__TEXT,__text) external _cmark_strbuf_strrchr
000000020c4fb0c4 (__TEXT,__text) external _cmark_strbuf_swap
000000020c4fb30c (__TEXT,__text) external _cmark_strbuf_trim
000000020c4fb228 (__TEXT,__text) external _cmark_strbuf_truncate
000000020c4fb440 (__TEXT,__text) external _cmark_strbuf_unescape
000000020c4ecb64 (__TEXT,__text) external _cmark_syntax_extension_add_node
000000020c506f74 (__TEXT,__text) non-external _cmark_syntax_extension_add_node.cold.1
000000020c4eca8c (__TEXT,__text) external _cmark_syntax_extension_free
000000020c4ecc48 (__TEXT,__text) external _cmark_syntax_extension_get_private
000000020c4ecaf8 (__TEXT,__text) external _cmark_syntax_extension_new
000000020c4ecbec (__TEXT,__text) external _cmark_syntax_extension_set_can_contain_func
000000020c4ecc60 (__TEXT,__text) external _cmark_syntax_extension_set_commonmark_escape_func
000000020c4ecbfc (__TEXT,__text) external _cmark_syntax_extension_set_commonmark_render_func
000000020c4ecbf4 (__TEXT,__text) external _cmark_syntax_extension_set_contains_inlines_func
000000020c4ecbac (__TEXT,__text) external _cmark_syntax_extension_set_emphasis
000000020c4ecbe4 (__TEXT,__text) external _cmark_syntax_extension_set_get_type_string_func
000000020c4ecc2c (__TEXT,__text) external _cmark_syntax_extension_set_html_filter_func
000000020c4ecc24 (__TEXT,__text) external _cmark_syntax_extension_set_html_render_func
