00000002338709c0 (__TEXT,__text) non-external +[CBOR cborFalse]
0000000233870ba0 (__TEXT,__text) non-external -[CBOR .cxx_destruct]
000000023386f3e0 (__TEXT,__text) non-external -[CBOR array]
000000023386f1b4 (__TEXT,__text) non-external -[CBOR boolValue]
0000000233870b7c (__TEXT,__text) non-external -[CBOR cachedHash]
000000023386eb30 (__TEXT,__text) non-external -[CBOR copyWithZone:]
000000023386f330 (__TEXT,__text) non-external -[CBOR data]
000000023386f4e0 (__TEXT,__text) non-external -[CBOR date]
000000023386fac4 (__TEXT,__text) non-external -[CBOR description]
000000023386f460 (__TEXT,__text) non-external -[CBOR dictionary]
000000023386f0a4 (__TEXT,__text) non-external -[CBOR doubleValue]
0000000233870acc (__TEXT,__text) non-external -[CBOR encodeToEmbeddedCBORData]
000000023386eeec (__TEXT,__text) non-external -[CBOR hash]
000000023386ee40 (__TEXT,__text) non-external -[CBOR initWithCbor:tag:]
000000023386eb74 (__TEXT,__text) non-external -[CBOR initWithType:value:valueSize:tag:]
000000023386f9b8 (__TEXT,__text) non-external -[CBOR isBoolean]
000000023386f9cc (__TEXT,__text) non-external -[CBOR isDate]
000000023386fa64 (__TEXT,__text) non-external -[CBOR isEmbeddedCBORData]
000000023386eef0 (__TEXT,__text) non-external -[CBOR isEqual:]
000000023386f9a4 (__TEXT,__text) non-external -[CBOR isFloatNumber]
000000023386f988 (__TEXT,__text) non-external -[CBOR isWholeNumber]
000000023386efac (__TEXT,__text) non-external -[CBOR longLongValue]
000000023386f118 (__TEXT,__text) non-external -[CBOR numeric]
0000000233870b8c (__TEXT,__text) non-external -[CBOR orderedKeys]
0000000233870b84 (__TEXT,__text) non-external -[CBOR setCachedHash:]
0000000233870b94 (__TEXT,__text) non-external -[CBOR setOrderedKeys:]
0000000233870b4c (__TEXT,__text) non-external -[CBOR setTag:]
0000000233870b60 (__TEXT,__text) non-external -[CBOR setValue:]
0000000233870b74 (__TEXT,__text) non-external -[CBOR setValueSize:]
000000023386f234 (__TEXT,__text) non-external -[CBOR string]
0000000233870b44 (__TEXT,__text) non-external -[CBOR tag]
0000000233870b3c (__TEXT,__text) non-external -[CBOR type]
000000023386f020 (__TEXT,__text) non-external -[CBOR unsignedLongLongValue]
0000000233870b6c (__TEXT,__text) non-external -[CBOR valueSize]
0000000233870b58 (__TEXT,__text) non-external -[CBOR value]
000000023386c878 (__TEXT,__text) non-external -[CBOR(Decoder) asJSON]
00000002338720a8 (__TEXT,__text) non-external -[COSE .cxx_destruct]
00000002338714a0 (__TEXT,__text) non-external -[COSE _parseCommonHeaderParameters:]
0000000233871b0c (__TEXT,__text) non-external -[COSE _searchForHeaderLabel:]
0000000233872078 (__TEXT,__text) non-external -[COSE algorithmIdentifier]
0000000233872088 (__TEXT,__text) non-external -[COSE contentType]
00000002338713d4 (__TEXT,__text) non-external -[COSE content]
0000000233872080 (__TEXT,__text) non-external -[COSE criticalHeaderParameters]
0000000233870d70 (__TEXT,__text) non-external -[COSE initWithCBOR:]
0000000233870bf0 (__TEXT,__text) non-external -[COSE initWithData:]
0000000233870c44 (__TEXT,__text) non-external -[COSE initWithData:type:]
000000023387108c (__TEXT,__text) non-external -[COSE initWithProtectedHeaders:unprotectedHeaders:payload:type:additionalCBORs:]
0000000233872098 (__TEXT,__text) non-external -[COSE initializationVector]
0000000233872090 (__TEXT,__text) non-external -[COSE keyIdentifier]
00000002338720a0 (__TEXT,__text) non-external -[COSE partialInitializationVector]
00000002338712d4 (__TEXT,__text) non-external -[COSE protectedHeaderParameters]
0000000233872070 (__TEXT,__text) non-external -[COSE protectedHeadererDictionary]
0000000233872128 (__TEXT,__text) non-external -[COSE setType:]
00000002338721ac (__TEXT,__text) non-external -[COSE sourceObject]
0000000233871468 (__TEXT,__text) non-external -[COSE tag]
0000000233872068 (__TEXT,__text) non-external -[COSE type]
0000000233871354 (__TEXT,__text) non-external -[COSE unprotectedHeaderParameters]
0000000233874c98 (__TEXT,__text) non-external -[COSEKey .cxx_destruct]
000000023387400c (__TEXT,__text) non-external -[COSEKey _initCBORWithMemberParams]
0000000233874c70 (__TEXT,__text) non-external -[COSEKey algorithm]
0000000233874c88 (__TEXT,__text) non-external -[COSEKey baseInitializationVector]
0000000233874b38 (__TEXT,__text) non-external -[COSEKey ecCurveD]
0000000233874a54 (__TEXT,__text) non-external -[COSEKey ecCurveIdentifier]
0000000233874aa0 (__TEXT,__text) non-external -[COSEKey ecCurveX]
0000000233874aec (__TEXT,__text) non-external -[COSEKey ecCurveY]
00000002338721ac (__TEXT,__text) non-external -[COSEKey getSource]
0000000233874c78 (__TEXT,__text) non-external -[COSEKey identifier]
00000002338745d4 (__TEXT,__text) non-external -[COSEKey initEC2WithAlgorithm:curveIdentifier:x:signBit:d:keyOperations:keyIdentifier:]
0000000233874774 (__TEXT,__text) non-external -[COSEKey initEC2WithAlgorithm:curveIdentifier:x:y:d:keyOperations:keyIdentifier:]
00000002338748f8 (__TEXT,__text) non-external -[COSEKey initOKPWithAlgorithm:curveIdentifier:x:d:keyOperations:keyIdentifier:]
0000000233873490 (__TEXT,__text) non-external -[COSEKey initWithCBOR:]
000000023387343c (__TEXT,__text) non-external -[COSEKey initWithData:]
0000000233874c1c (__TEXT,__text) non-external -[COSEKey okpCurveD]
0000000233874b84 (__TEXT,__text) non-external -[COSEKey okpCurveIdentifier]
0000000233874bd0 (__TEXT,__text) non-external -[COSEKey okpCurveX]
0000000233874c80 (__TEXT,__text) non-external -[COSEKey operations]
0000000233874c90 (__TEXT,__text) non-external -[COSEKey symmetricKey]
0000000233874c68 (__TEXT,__text) non-external -[COSEKey type]
00000002338733bc (__TEXT,__text) non-external -[COSE_Mac0 .cxx_destruct]
0000000233873308 (__TEXT,__text) non-external -[COSE_Mac0 description]
0000000233873128 (__TEXT,__text) non-external -[COSE_Mac0 generateMessageForMACWithApplicationProtectedAttributes:]
0000000233872de4 (__TEXT,__text) non-external -[COSE_Mac0 initWithCBOR:]
0000000233872ffc (__TEXT,__text) non-external -[COSE_Mac0 initWithProtectedHeaders:unprotectedHeaders:payload:tag:]
00000002338733ac (__TEXT,__text) non-external -[COSE_Mac0 mac]
0000000233872d00 (__TEXT,__text) non-external -[COSE_Sign1 description]
000000023387231c (__TEXT,__text) non-external -[COSE_Sign1 initWithCBOR:]
00000002338721e4 (__TEXT,__text) non-external -[COSE_Sign1 initWithProtectedHeaders:unprotectedHeaders:payload:signature:includeCBORTag:]
0000000233872c4c (__TEXT,__text) non-external -[COSE_Sign1 signature]
0000000233872504 (__TEXT,__text) non-external -[COSE_Sign1 x509bag]
00000002338726fc (__TEXT,__text) non-external -[COSE_Sign1 x509chain]
00000002338729b8 (__TEXT,__text) non-external -[COSE_Sign1 x509hashAlgorithmIdentifier]
0000000233872b20 (__TEXT,__text) non-external -[COSE_Sign1 x509hashValue]
0000000233872910 (__TEXT,__text) non-external -[COSE_Sign1 x509uri]
0000000233879f04 (__TEXT,__gcc_except_tab) non-external GCC_except_table9
0000000233877c60 (__TEXT,__const) external _CBORLibraryVersionNumber
0000000233877c30 (__TEXT,__const) external _CBORLibraryVersionString
0000000233877c88 (__TEXT,__const) non-external _COMPRESSED_EC2_Y_ONE
0000000233877c89 (__TEXT,__const) non-external _COMPRESSED_EC2_Y_ZERO
0000000293e62b58 (__DATA,__data) external _COSEHeaderX509Bag
0000000293e62b60 (__DATA,__data) external _COSEHeaderX509Chain
0000000293e62b70 (__DATA,__data) external _COSEHeaderX509Hash
0000000293e62b78 (__DATA,__data) external _COSEHeaderX509HashSender
0000000293e62b80 (__DATA,__data) external _COSEHeaderX509Uri
0000000293e62b88 (__DATA,__data) external _COSEHeaderX509UriSender
0000000293e62b68 (__DATA,__data) external _COSEHeaderx509ChainSender
0000000297467b88 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_CBOR
0000000297467bd8 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_COSE
0000000297467cc8 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_COSEKey
0000000297467c78 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_COSE_Mac0
0000000297467c28 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_COSE_Sign1
                 (undefined) external _OBJC_CLASS_$_NSArray (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSConstantIntegerNumber (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSData (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSDate (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSDateFormatter (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSDictionary (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSLocale (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableArray (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableData (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableDictionary (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableString (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSNull (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSNumber (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSObject (from libobjc)
                 (undefined) external _OBJC_CLASS_$_NSString (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSTimeZone (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$__TtCs12_SwiftObject (from libswiftCore)
0000000293e62710 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CBOR._cachedHash
0000000293e62714 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CBOR._orderedKeys
0000000293e62704 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CBOR._tag
0000000293e62700 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CBOR._type
0000000293e62708 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CBOR._value
0000000293e6270c (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CBOR._valueSize
0000000293e62724 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSE._algorithmIdentifier
0000000293e62718 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSE._cborObj
0000000293e6272c (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSE._contentType
0000000293e62728 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSE._criticalHeaderParameters
0000000293e62734 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSE._initializationVector
0000000293e62730 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSE._keyIdentifier
0000000293e62738 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSE._partialInitializationVector
0000000293e62720 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSE._protectedHeadererDictionary
0000000293e6271c (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSE._type
0000000293e62758 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSEKey._algorithm
0000000293e62764 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSEKey._baseInitializationVector
0000000293e62740 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSEKey._cborObj
0000000293e62744 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSEKey._curveID
0000000293e6275c (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSEKey._identifier
0000000293e62760 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSEKey._operations
0000000293e62750 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSEKey._paramD
0000000293e62748 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSEKey._paramX
0000000293e6274c (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSEKey._paramY
0000000293e62768 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSEKey._symmetricKey
0000000293e62754 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSEKey._type
0000000293e6273c (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSE_Mac0._mac
0000000297467bb0 (__DATA_DIRTY,__objc_data) external _OBJC_METACLASS_$_CBOR
0000000297467c00 (__DATA_DIRTY,__objc_data) external _OBJC_METACLASS_$_COSE
0000000297467cf0 (__DATA_DIRTY,__objc_data) external _OBJC_METACLASS_$_COSEKey
0000000297467ca0 (__DATA_DIRTY,__objc_data) external _OBJC_METACLASS_$_COSE_Mac0
0000000297467c50 (__DATA_DIRTY,__objc_data) external _OBJC_METACLASS_$_COSE_Sign1
                 (undefined) external _OBJC_METACLASS_$_NSObject (from libobjc)
0000000297467f90 (__DATA_DIRTY,__data) non-external (was a private external) _OBJC_METACLASS_$__TtC11CBORLibraryP33_7693559CB90E2482CACD4C8EAD5C623015_CBORDictionary
                 (undefined) external _OBJC_METACLASS_$__TtCs12_SwiftObject (from libswiftCore)
                 (undefined) external __Block_object_assign (from libSystem)
                 (undefined) external __Block_object_dispose (from libSystem)
0000000299d2c328 (__AUTH_CONST,__objc_const) non-external __DATA__TtC11CBORLibrary11CBORDecoder
0000000299d2c5c8 (__AUTH_CONST,__objc_const) non-external __DATA__TtC11CBORLibrary11CBOREncoder
0000000299d2c6c0 (__AUTH_CONST,__objc_const) non-external __DATA__TtC11CBORLibraryP33_7693559CB90E2482CACD4C8EAD5C623012_CBOREncoder
0000000297467a60 (__DATA_DIRTY,__objc_data) non-external __DATA__TtC11CBORLibraryP33_7693559CB90E2482CACD4C8EAD5C623015_CBORDictionary
0000000299d2c798 (__AUTH_CONST,__objc_const) non-external __DATA__TtC11CBORLibraryP33_7693559CB90E2482CACD4C8EAD5C623021_CBORReferenceEncoder
0000000299d2c420 (__AUTH_CONST,__objc_const) non-external __DATA__TtC11CBORLibraryP33_9AD5FE8BA51478D9E31399B9411E4CF612_CBORDecoder
0000000233875d58 (__TEXT,__objc_methlist) non-external __INSTANCE_METHODS__TtC11CBORLibraryP33_7693559CB90E2482CACD4C8EAD5C623015_CBORDictionary
0000000299d2c300 (__AUTH_CONST,__objc_const) non-external __IVARS__TtC11CBORLibrary11CBORDecoder
0000000299d2c560 (__AUTH_CONST,__objc_const) non-external __IVARS__TtC11CBORLibrary11CBOREncoder
0000000299d2c658 (__AUTH_CONST,__objc_const) non-external __IVARS__TtC11CBORLibraryP33_7693559CB90E2482CACD4C8EAD5C623012_CBOREncoder
0000000299d2c4b0 (__AUTH_CONST,__objc_const) non-external __IVARS__TtC11CBORLibraryP33_7693559CB90E2482CACD4C8EAD5C623015_CBORDictionary
0000000299d2c750 (__AUTH_CONST,__objc_const) non-external __IVARS__TtC11CBORLibraryP33_7693559CB90E2482CACD4C8EAD5C623021_CBORReferenceEncoder
0000000299d2c3b8 (__AUTH_CONST,__objc_const) non-external __IVARS__TtC11CBORLibraryP33_9AD5FE8BA51478D9E31399B9411E4CF612_CBORDecoder
0000000299d2c2b8 (__AUTH_CONST,__objc_const) non-external __METACLASS_DATA__TtC11CBORLibrary11CBORDecoder
0000000299d2c518 (__AUTH_CONST,__objc_const) non-external __METACLASS_DATA__TtC11CBORLibrary11CBOREncoder
0000000299d2c610 (__AUTH_CONST,__objc_const) non-external __METACLASS_DATA__TtC11CBORLibraryP33_7693559CB90E2482CACD4C8EAD5C623012_CBOREncoder
0000000299d2c468 (__AUTH_CONST,__objc_const) non-external __METACLASS_DATA__TtC11CBORLibraryP33_7693559CB90E2482CACD4C8EAD5C623015_CBORDictionary
0000000299d2c708 (__AUTH_CONST,__objc_const) non-external __METACLASS_DATA__TtC11CBORLibraryP33_7693559CB90E2482CACD4C8EAD5C623021_CBORReferenceEncoder
0000000299d2c370 (__AUTH_CONST,__objc_const) non-external __METACLASS_DATA__TtC11CBORLibraryP33_9AD5FE8BA51478D9E31399B9411E4CF612_CBORDecoder
                 (undefined) external __NSConcreteStackBlock (from libSystem)
0000000299d2c7e0 (__AUTH_CONST,__objc_const) non-external __OBJC_$_CATEGORY_NSData_$_CBOR
0000000233875d78 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_CBOR(Decoder|Decoder_Private|COSE|COSEKey)
0000000233875ee0 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_NSData(CBOR|COSE|COSEKey)
0000000233875f18 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_CBOR(Decoder|Decoder_Private|COSE|COSEKey)
00000002338760c8 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_COSE
0000000233876190 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_COSEKey
0000000233876280 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_COSE_Mac0
00000002338762d0 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_COSE_Sign1
0000000299d2c970 (__AUTH_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_CBOR
0000000299d2cc20 (__AUTH_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_COSE
0000000299d2d068 (__AUTH_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_COSEKey
0000000299d2cf98 (__AUTH_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_COSE_Mac0
0000000299d2ca38 (__AUTH_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_CBOR
0000000299d2cd48 (__AUTH_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_COSE
0000000299d2d1d0 (__AUTH_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_COSEKey
0000000299d2cfc0 (__AUTH_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_COSE_Mac0
0000000299d2cea0 (__AUTH_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_COSE_Sign1
0000000299d2c820 (__AUTH_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_NSObject
0000000233876348 (__TEXT,__objc_methlist) non-external __OBJC_$_PROTOCOL_INSTANCE_METHODS_NSCopying
0000000233876360 (__TEXT,__objc_methlist) non-external __OBJC_$_PROTOCOL_INSTANCE_METHODS_NSObject
0000000233876450 (__TEXT,__objc_methlist) non-external __OBJC_$_PROTOCOL_INSTANCE_METHODS_OPT_NSObject
0000000299d2c908 (__AUTH_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_METHOD_TYPES_NSCopying
0000000299d2c868 (__AUTH_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_METHOD_TYPES_NSObject
0000000299d2c910 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_PROTOCOLS_$_CBOR
0000000299d2cb90 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_CBOR
0000000299d2ce10 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_COSE
0000000299d2d2a8 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_COSEKey
0000000299d2cfd8 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_COSE_Mac0
0000000299d2cf08 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_COSE_Sign1
000000028e67b6d0 (__DATA_CONST,__objc_protolist) non-external (was a private external) __OBJC_LABEL_PROTOCOL_$_NSCopying
000000028e67b6c8 (__DATA_CONST,__objc_protolist) non-external (was a private external) __OBJC_LABEL_PROTOCOL_$_NSObject
0000000299d2c928 (__AUTH_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_CBOR
0000000299d2cbd8 (__AUTH_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_COSE
0000000299d2d020 (__AUTH_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_COSEKey
0000000299d2cf50 (__AUTH_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_COSE_Mac0
0000000299d2ce58 (__AUTH_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_COSE_Sign1
0000000293e62af8 (__DATA,__data) non-external (was a private external) __OBJC_PROTOCOL_$_NSCopying
0000000293e62a98 (__DATA,__data) non-external (was a private external) __OBJC_PROTOCOL_$_NSObject
000000028e67bcf0 (__DATA_CONST,__objc_protorefs) non-external (was a private external) __OBJC_PROTOCOL_REFERENCE_$_NSObject
                 (undefined) external __Unwind_Resume (from libSystem)
0000000233871d84 (__TEXT,__text) non-external ___30-[COSE _searchForHeaderLabel:]_block_invoke
0000000233871f48 (__TEXT,__text) non-external ___30-[COSE _searchForHeaderLabel:]_block_invoke.62
000000023386b5fc (__TEXT,__text) non-external ___51+[CBOR(Encoder) encodeMajorType5:encodingKeyOrder:]_block_invoke
0000000233871d6c (__TEXT,__text) non-external ___Block_byref_object_copy_
0000000233871d7c (__TEXT,__text) non-external ___Block_byref_object_dispose_
                 (undefined) external ___CFConstantStringClassReference (from CoreFoundation)
                 (undefined) external ___NSDictionary0__struct (from CoreFoundation)
                 (undefined) external ___assert_rtn (from libSystem)
000000028e67b648 (__DATA_CONST,__const) non-external ___block_descriptor_40_e23_q24?0"CBOR"8"CBOR"16l
0000000299d2ba48 (__AUTH_CONST,__const) non-external ___block_descriptor_56_e8_32s40r48r_e27_v32?0"CBOR"8"CBOR"16^B24l
                 (undefined) external ___chkstk_darwin (from libSystem)
0000000233871ea4 (__TEXT,__text) non-external ___copy_helper_block_e8_32s40r48r
0000000233871efc (__TEXT,__text) non-external ___destroy_helper_block_e8_32s40r48r
                 (undefined) external ___objc_personality_v0 (from libobjc)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___strlcpy_chk (from libSystem)
0000000233857590 (__TEXT,__text) non-external ___swift_allocate_boxed_opaque_existential_1Tm
00000002338579c0 (__TEXT,__text) non-external (was a private external) ___swift_allocate_value_buffer
00000002338574fc (__TEXT,__text) non-external (was a private external) ___swift_deallocate_boxed_opaque_existential_1
0000000233857778 (__TEXT,__text) non-external (was a private external) ___swift_destroy_boxed_opaque_existential_1
0000000233857778 (__TEXT,__text) non-external ___swift_destroy_boxed_opaque_existential_1Tm
0000000233857620 (__TEXT,__text) non-external (was a private external) ___swift_instantiateConcreteTypeFromMangledNameAbstractV2
0000000233855f98 (__TEXT,__text) non-external (was a private external) ___swift_instantiateConcreteTypeFromMangledNameV2
0000000233858910 (__TEXT,__text) non-external (was a private external) ___swift_instantiateGenericMetadata
000000023386b1bc (__TEXT,__text) non-external (was a private external) ___swift_memcpy16_8
00000002338691b4 (__TEXT,__text) non-external (was a private external) ___swift_memcpy17_8
00000002338601ac (__TEXT,__text) non-external (was a private external) ___swift_memcpy1_1
0000000233857b34 (__TEXT,__text) non-external (was a private external) ___swift_memcpy24_8
00000002338607f0 (__TEXT,__text) non-external (was a private external) ___swift_memcpy25_8
0000000233857bd0 (__TEXT,__text) non-external (was a private external) ___swift_memcpy32_8
0000000233860020 (__TEXT,__text) non-external (was a private external) ___swift_memcpy8_8
000000023385881c (__TEXT,__text) non-external (was a private external) ___swift_mutable_project_boxed_opaque_existential_1
00000002338601b8 (__TEXT,__text) non-external (was a private external) ___swift_noop_void_return
000000023385754c (__TEXT,__text) non-external (was a private external) ___swift_project_boxed_opaque_existential_1
0000000233855fe0 (__TEXT,__text) non-external (was a private external) ___swift_project_value_buffer
00000002338779e0 (__TEXT,__const) non-external (was a private external) ___swift_reflection_version
0000000233877bf0 (__TEXT,__const) non-external ___unnamed_2
0000000233877658 (__TEXT,__const) non-external ___unnamed_34
0000000233876748 (__TEXT,__const) non-external ___unnamed_8
000000023386f8b8 (__TEXT,__text) non-external __getRFC3339DateFormatter
                 (undefined) external __objc_empty_cache (from libobjc)
                 (undefined) external __os_log_default (from libSystem)
                 (undefined) external __os_log_fault_impl (from libSystem)
                 (undefined) external __swiftEmptyArrayStorage (from libswiftCore)
                 (undefined) external __swiftEmptyDictionarySingleton (from libswiftCore)
                 (undefined) weak external __swift_FORCE_LOAD_$_swiftCoreFoundation (from libswiftCoreFoundation)
000000028e67b5f0 (__DATA_CONST,__const) non-external (was a private external) __swift_FORCE_LOAD_$_swiftCoreFoundation_$_CBORLibrary
                 (undefined) weak external __swift_FORCE_LOAD_$_swiftDispatch (from libswiftDispatch)
000000028e67b5e0 (__DATA_CONST,__const) non-external (was a private external) __swift_FORCE_LOAD_$_swiftDispatch_$_CBORLibrary
                 (undefined) weak external __swift_FORCE_LOAD_$_swiftFoundation (from Foundation)
