00007ffb0de19a52 (__TEXT,__text) non-external _DiToMD5
00007ffb0de01e4b (__TEXT,__text) external _IORecursiveConditionLockHaveLock
00007ffb0de2aad9 (__TEXT,__text) non-external _IORecursiveConditionLockHaveLock.cold.1
00007ffb0de01da5 (__TEXT,__text) external _IORecursiveConditionLockLock
00007ffb0de2aa4d (__TEXT,__text) non-external _IORecursiveConditionLockLock.cold.1
00007ffb0de2aa70 (__TEXT,__text) non-external _IORecursiveConditionLockLock.cold.2
00007ffb0de01e7b (__TEXT,__text) external _IORecursiveConditionLockTryLock
00007ffb0de2aafc (__TEXT,__text) non-external _IORecursiveConditionLockTryLock.cold.1
00007ffb0de2ab1f (__TEXT,__text) non-external _IORecursiveConditionLockTryLock.cold.2
00007ffb0de01df9 (__TEXT,__text) external _IORecursiveConditionLockUnlock
00007ffb0de2aa93 (__TEXT,__text) non-external _IORecursiveConditionLockUnlock.cold.1
00007ffb0de2aab6 (__TEXT,__text) non-external _IORecursiveConditionLockUnlock.cold.2
00007ffb0de01cf3 (__TEXT,__text) external _IORecursiveLockAlloc
00007ffb0de01d19 (__TEXT,__text) external _IORecursiveLockFree
00007ffb0de01d45 (__TEXT,__text) external _IORecursiveLockHaveLock
00007ffb0de01d2f (__TEXT,__text) external _IORecursiveLockLock
00007ffb0de01d4f (__TEXT,__text) external _IORecursiveLockTryLock
00007ffb0de01d3b (__TEXT,__text) external _IORecursiveLockUnlock
00007ffb41a23018 (__DATA_CONST,__const) external _IOReportLegend_Class
00007ffb41a22d98 (__DATA_CONST,__const) external _IOReporter_Class
00007ffb41a23648 (__DATA_CONST,__const) external _IOServiceNotificationDispatchSource_Class
00007ffb41a237f8 (__DATA_CONST,__const) external _IOServiceStateNotificationDispatchSource_Class
00007ffb41a23498 (__DATA_CONST,__const) external _IOService_Class
00007ffb41a22e38 (__DATA_CONST,__const) external _IOSimpleReporter_Class
00007ffb0ddfefde (__TEXT,__text) external _IOSleep
00007ffb41a22ed8 (__DATA_CONST,__const) external _IOStateReporter_Class
00007ffb0de01ffc (__TEXT,__text) external _IOSysCtlByName
00007ffb0de01ff2 (__TEXT,__text) external _IOThreadLocalStorageGet
00007ffb0de01f8d (__TEXT,__text) external _IOThreadLocalStorageKeyCreate
00007ffb0de01fbc (__TEXT,__text) external _IOThreadLocalStorageKeyDelete
00007ffb0de01fd1 (__TEXT,__text) external _IOThreadLocalStorageSet
00007ffb41a255f8 (__DATA_CONST,__const) external _IOThread_Class
00007ffb41a239a8 (__DATA_CONST,__const) external _IOTimerDispatchSource_Class
00007ffb41a23b58 (__DATA_CONST,__const) external _IOUserClient_Class
00007ffb0de02654 (__TEXT,__text) external _IOUserServerMain
00007ffb0de2ae55 (__TEXT,__text) non-external _IOUserServerMain.cold.1
00007ffb0de2afa3 (__TEXT,__text) non-external _IOUserServerMain.cold.10
00007ffb0de2afc6 (__TEXT,__text) non-external _IOUserServerMain.cold.11
00007ffb0de2ae78 (__TEXT,__text) non-external _IOUserServerMain.cold.2
00007ffb0de2ae9b (__TEXT,__text) non-external _IOUserServerMain.cold.3
00007ffb0de2aebe (__TEXT,__text) non-external _IOUserServerMain.cold.4
00007ffb0de2aef4 (__TEXT,__text) non-external _IOUserServerMain.cold.5
00007ffb0de2af17 (__TEXT,__text) non-external _IOUserServerMain.cold.6
00007ffb0de2af3a (__TEXT,__text) non-external _IOUserServerMain.cold.7
00007ffb0de2af5d (__TEXT,__text) non-external _IOUserServerMain.cold.8
00007ffb0de2af80 (__TEXT,__text) non-external _IOUserServerMain.cold.9
00007ffb41a23ed8 (__DATA_CONST,__const) external _IOUserServer_Class
00007ffb43286028 (__DATA_DIRTY,__common) external _IOVMPageSize
00007ffb41a24088 (__DATA_CONST,__const) external _IOWorkGroup_Class
00007ffb0de19bbb (__TEXT,__text) external _MD5Final
00007ffb0de199d0 (__TEXT,__text) external _MD5Init
00007ffb0de19b4f (__TEXT,__text) non-external _MD5ToDi
00007ffb0de19aab (__TEXT,__text) external _MD5Update
                 (undefined) external _NDR_record (from libSystem)
00007ffb41a24238 (__DATA_CONST,__const) external _OSAction_Class
00007ffb41a23bf8 (__DATA_CONST,__const) external _OSAction_IOUserClient_KernelCompletion_Class
00007ffb41a25338 (__DATA_CONST,__const) external _OSAction__IOBlockStorageDevice_KernelCompletion_Class
00007ffb0de0b933 (__TEXT,__text) external _OSArrayAppendValue
00007ffb0de0b5a2 (__TEXT,__text) external _OSArrayApply
00007ffb0de0b547 (__TEXT,__text) external _OSArrayCreate
00007ffb0de0ac2f (__TEXT,__text) external _OSArrayGetCount
00007ffb0de0b9c1 (__TEXT,__text) external _OSArrayGetStringValue
00007ffb0de0ba31 (__TEXT,__text) external _OSArrayGetUInt64Value
00007ffb0de0b967 (__TEXT,__text) external _OSArrayGetValue
00007ffb0de0b924 (__TEXT,__text) external _OSArrayReplaceValue
00007ffb0de0b9ec (__TEXT,__text) external _OSArraySetStringValue
00007ffb0de0baf7 (__TEXT,__text) external _OSArraySetUInt64Value
00007ffb0de0b788 (__TEXT,__text) external _OSArraySetValue
00007ffb41a243e8 (__DATA_CONST,__const) external _OSArray_Class
00007ffb41a244e0 (__DATA_CONST,__const) external _OSBoolean_Class
00007ffb41a245d8 (__DATA_CONST,__const) external _OSBundle_Class
00007ffb0de09848 (__TEXT,__text) external _OSCollectionTypeID
00007ffb0de2bb25 (__TEXT,__text) non-external _OSCollectionTypeID.cold.1
00007ffb0de097cc (__TEXT,__text) external _OSCollectionTypeName
00007ffb0de2bae1 (__TEXT,__text) non-external _OSCollectionTypeName.cold.1
00007ffb41a246d0 (__DATA_CONST,__const) external _OSCollection_Class
00007ffb0de0e134 (__TEXT,__text) external _OSCollectionsInitialize
00007ffb41a247c8 (__DATA_CONST,__const) external _OSContainer_Class
00007ffb0de098a3 (__TEXT,__text) external _OSCreateObjectFromSerialization
00007ffb0de2bb6b (__TEXT,__text) non-external _OSCreateObjectFromSerialization.cold.1
00007ffb0de0c40b (__TEXT,__text) external _OSCreateSerializationFromBytes
00007ffb0de2c099 (__TEXT,__text) non-external _OSCreateSerializationFromBytes.cold.1
00007ffb0de0c310 (__TEXT,__text) external _OSCreateSerializationFromObject
00007ffb0de0aa88 (__TEXT,__text) external _OSDataAppendBytes
00007ffb0de2bd0b (__TEXT,__text) non-external _OSDataAppendBytes.cold.1
00007ffb0de0a9e9 (__TEXT,__text) external _OSDataCreate
00007ffb0de2bce8 (__TEXT,__text) non-external _OSDataCreate.cold.1
00007ffb0de0a995 (__TEXT,__text) external _OSDataGetBytes
00007ffb0de0a945 (__TEXT,__text) external _OSDataGetBytesPtr
00007ffb0de0a984 (__TEXT,__text) external _OSDataGetLength
00007ffb41a24928 (__DATA_CONST,__const) external _OSData_Class
00007ffb0de0ac3c (__TEXT,__text) external _OSDictionaryApply
00007ffb0de0abc7 (__TEXT,__text) external _OSDictionaryCreate
00007ffb0de0ac22 (__TEXT,__text) external _OSDictionaryGetCount
00007ffb0de0b2c6 (__TEXT,__text) external _OSDictionaryGetStringValue
00007ffb0de0b46d (__TEXT,__text) external _OSDictionaryGetUInt64Value
00007ffb0de0b241 (__TEXT,__text) external _OSDictionaryGetValue
00007ffb0de0b428 (__TEXT,__text) external _OSDictionarySetStringValue
00007ffb0de0b509 (__TEXT,__text) external _OSDictionarySetUInt64Value
00007ffb0de0aeee (__TEXT,__text) external _OSDictionarySetValue
00007ffb41a24a20 (__DATA_CONST,__const) external _OSDictionary_Class
00007ffb41a24b18 (__DATA_CONST,__const) external _OSMappedFile_Class
00007ffb0de0ab67 (__TEXT,__text) external _OSNumberCreateWithUInt64Value
00007ffb0de0ab46 (__TEXT,__text) external _OSNumberGetUInt64Value
00007ffb41a24c10 (__DATA_CONST,__const) external _OSNumber_Class
00007ffb0de0c996 (__TEXT,__text) external _OSObjectLog
00007ffb0de09802 (__TEXT,__text) external _OSObjectRelease
00007ffb0de097f7 (__TEXT,__text) external _OSObjectRetain
00007ffb41a24d08 (__DATA_CONST,__const) external _OSObject_Class
00007ffb41a24eb8 (__DATA_CONST,__const) external _OSOrderedSet_Class
00007ffb0ddff4df (__TEXT,__text) external _OSReportWithBacktrace
00007ffb0de0c53f (__TEXT,__text) external _OSSerializationGetBytes
00007ffb41a24fb0 (__DATA_CONST,__const) external _OSSerialization_Class
00007ffb41a250a8 (__DATA_CONST,__const) external _OSSet_Class
00007ffb0de0a3dc (__TEXT,__text) external _OSStringCreate
00007ffb0de2bbf7 (__TEXT,__text) non-external _OSStringCreate.cold.1
00007ffb0de2bc1a (__TEXT,__text) non-external _OSStringCreate.cold.2
00007ffb0de2bc3b (__TEXT,__text) non-external _OSStringCreate.cold.3
00007ffb0de0a393 (__TEXT,__text) external _OSStringGetLength
00007ffb0de0a35a (__TEXT,__text) external _OSStringGetStringPtr
00007ffb41a251a0 (__DATA_CONST,__const) external _OSString_Class
00007ffb0ddfeff8 (__TEXT,__text) external _OSSynchronizeIO
00007ffb43286040 (__DATA_DIRTY,__bss) non-external _OSUniqueStrings
00007ffb0ddff7f4 (__TEXT,__text) external _PE_i_can_has_debugger
00007ffb0de19e3b (__TEXT,__text) external _SHA1Final
00007ffb0de19c50 (__TEXT,__text) external _SHA1Init
00007ffb0de19dd8 (__TEXT,__text) non-external _SHA1ToDi
00007ffb0de19d33 (__TEXT,__text) external _SHA1Update
00007ffb0de1a61d (__TEXT,__text) external _SHA256_Final
00007ffb0de1a5b1 (__TEXT,__text) external _SHA256_Init
00007ffb0de2c850 (__TEXT,__text) non-external _SHA256_Init.cold.1
00007ffb0de1a5ea (__TEXT,__text) external _SHA256_Update
00007ffb0de1a6b4 (__TEXT,__text) external _SHA384_Final
00007ffb0de1a642 (__TEXT,__text) external _SHA384_Init
00007ffb0de2c869 (__TEXT,__text) non-external _SHA384_Init.cold.1
00007ffb0de1a681 (__TEXT,__text) external _SHA384_Update
00007ffb0de1a74b (__TEXT,__text) external _SHA512_Final
00007ffb0de1a6d9 (__TEXT,__text) external _SHA512_Init
00007ffb0de2c882 (__TEXT,__text) non-external _SHA512_Init.cold.1
00007ffb0de1a718 (__TEXT,__text) external _SHA512_Update
                 (undefined) external __Block_copy (from libSystem)
                 (undefined) external __Block_object_assign (from libSystem)
                 (undefined) external __Block_object_dispose (from libSystem)
                 (undefined) external __Block_release (from libSystem)
00007ffb0de0039a (__TEXT,__text) non-external __GLOBAL__sub_I_IOLib.cpp
00007ffb0de1a770 (__TEXT,__text) non-external __GLOBAL__sub_I_ObjectIntrospection.mm
00007ffb41a25298 (__DATA_CONST,__const) external __IOBlockStorageDevice_Class
                 (undefined) external __NSConcreteGlobalBlock (from libSystem)
                 (undefined) external __NSConcreteStackBlock (from libSystem)
                 (undefined) external __NSGetExecutablePath (from libSystem)
00007ffb0de00707 (__TEXT,__text) non-external (was a private external) __Z11OSFindClassP18IOUserServer_IVarsPKc
00007ffb0de2a5a2 (__TEXT,__text) non-external __Z11OSFindClassP18IOUserServer_IVarsPKc.cold.1
00007ffb0de0202b (__TEXT,__text) non-external (was a private external) __Z11ThreadStartPFPvS_ES_
00007ffb0de2abce (__TEXT,__text) non-external __Z11ThreadStartPFPvS_ES_.cold.1
00007ffb0de2abf1 (__TEXT,__text) non-external __Z11ThreadStartPFPvS_ES_.cold.2
00007ffb0de2ac14 (__TEXT,__text) non-external __Z11ThreadStartPFPvS_ES_.cold.3
00007ffb0de2ac37 (__TEXT,__text) non-external __Z11ThreadStartPFPvS_ES_.cold.4
00007ffb0de2ac5a (__TEXT,__text) non-external __Z11ThreadStartPFPvS_ES_.cold.5
00007ffb0de01101 (__TEXT,__text) non-external (was a private external) __Z12InvokeRemoteP18IOUserServer_IVarsy5IORPC
00007ffb0de2a8a9 (__TEXT,__text) non-external __Z12InvokeRemoteP18IOUserServer_IVarsy5IORPC.cold.1
00007ffb0de2a8cc (__TEXT,__text) non-external __Z12InvokeRemoteP18IOUserServer_IVarsy5IORPC.cold.2
00007ffb0de2a8ef (__TEXT,__text) non-external __Z12InvokeRemoteP18IOUserServer_IVarsy5IORPC.cold.3
00007ffb0de2a912 (__TEXT,__text) non-external __Z12InvokeRemoteP18IOUserServer_IVarsy5IORPC.cold.4
00007ffb0de009b6 (__TEXT,__text) non-external (was a private external) __Z12OSObjectFreeP15OSMetaClassBase
00007ffb0de2a62e (__TEXT,__text) non-external __Z12OSObjectFreeP15OSMetaClassBase.cold.1
00007ffb0de0b949 (__TEXT,__text) non-external (was a private external) __Z15OSArrayGetEntryP7OSArraym
00007ffb0de0e0ca (__TEXT,__text) non-external (was a private external) __Z15OSBooleanCreatev
00007ffb0de00552 (__TEXT,__text) non-external (was a private external) __Z15OSRegisterClassP18IOUserServer_IVarsP11OSMetaClass
00007ffb0de2a539 (__TEXT,__text) non-external __Z15OSRegisterClassP18IOUserServer_IVarsP11OSMetaClass.cold.1
00007ffb0de2a55c (__TEXT,__text) non-external __Z15OSRegisterClassP18IOUserServer_IVarsP11OSMetaClass.cold.2
00007ffb0de2a57f (__TEXT,__text) non-external __Z15OSRegisterClassP18IOUserServer_IVarsP11OSMetaClass.cold.3
00007ffb0de0ba5c (__TEXT,__text) non-external (was a private external) __Z16OSArrayGetStringP7OSArraym
00007ffb0de0bacc (__TEXT,__text) non-external (was a private external) __Z16OSArrayGetUInt64P7OSArraym
00007ffb0de0ba87 (__TEXT,__text) non-external (was a private external) __Z16OSArraySetStringP7OSArraymPKc
00007ffb0de00762 (__TEXT,__text) external __Z16OSObjectAllocateP11OSMetaClassPP8OSObject
00007ffb0de0be38 (__TEXT,__text) non-external (was a private external) __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry
00007ffb0de2bf81 (__TEXT,__text) non-external __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry.cold.1
00007ffb0de2bfa4 (__TEXT,__text) non-external __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry.cold.2
00007ffb0de2bfc7 (__TEXT,__text) non-external __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry.cold.3
00007ffb0de2bfea (__TEXT,__text) non-external __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry.cold.4
00007ffb0de2c00d (__TEXT,__text) non-external __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry.cold.5
00007ffb0de2c030 (__TEXT,__text) non-external __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry.cold.6
00007ffb0ddfeb12 (__TEXT,__text) external __Z16OSUnserializeXMLPKcPP8OSString
00007ffb0ddfec14 (__TEXT,__text) external __Z16OSUnserializeXMLPKcmPP8OSString
00007ffb0de00c80 (__TEXT,__text) external __Z17OSObjectTryRetainP8OSObject
00007ffb0de2a672 (__TEXT,__text) non-external __Z17OSObjectTryRetainP8OSObject.cold.1
00007ffb0de00d6e (__TEXT,__text) non-external (was a private external) __Z17SearchMethodArrayyPKyjPy
00007ffb0de02424 (__TEXT,__text) non-external (was a private external) __Z18OSLoadBundleByPathP18IOUserServer_IVarsPKc
00007ffb0de004c5 (__TEXT,__text) non-external (was a private external) __Z18OSStringArrayIndexP10IOPStringsPKc
00007ffb0de00423 (__TEXT,__text) non-external (was a private external) __Z19OSCopyInStringArrayPKcj
00007ffb0de0c55d (__TEXT,__text) non-external (was a private external) __Z19OSObjectLogInternalP8OSObjectj
00007ffb0de2c0bc (__TEXT,__text) non-external __Z19OSObjectLogInternalP8OSObjectj.cold.1
00007ffb0de008dd (__TEXT,__text) non-external (was a private external) __Z20OSObjectPortFinalizeP15OSMetaClassBase
00007ffb0de2a5e8 (__TEXT,__text) non-external __Z20OSObjectPortFinalizeP15OSMetaClassBase.cold.1
00007ffb0de2a60b (__TEXT,__text) non-external __Z20OSObjectPortFinalizeP15OSMetaClassBase.cold.2
00007ffb0de09871 (__TEXT,__text) non-external (was a private external) __Z20OSSerializationValueP15OSSerializationj
00007ffb0de2bb48 (__TEXT,__text) non-external __Z20OSSerializationValueP15OSSerializationj.cold.1
00007ffb0de0980d (__TEXT,__text) non-external (was a private external) __Z21OSSerializationTypeIDj
00007ffb0de2bb02 (__TEXT,__text) non-external __Z21OSSerializationTypeIDj.cold.1
00007ffb0ddfd940 (__TEXT,__text) non-external (was a private external) __Z21OSUnserializeXMLparsePv
00007ffb0de0a8f5 (__TEXT,__text) non-external (was a private external) __Z23OSSerializationGetBytesPKjPvmm
00007ffb0de0bb35 (__TEXT,__text) non-external (was a private external) __Z26OSSerializationAppendBytesP15OSSerializationPKvm
00007ffb0de2bd97 (__TEXT,__text) non-external __Z26OSSerializationAppendBytesP15OSSerializationPKvm.cold.1
00007ffb0de2bdba (__TEXT,__text) non-external __Z26OSSerializationAppendBytesP15OSSerializationPKvm.cold.2
00007ffb0de2bddd (__TEXT,__text) non-external __Z26OSSerializationAppendBytesP15OSSerializationPKvm.cold.3
00007ffb0de2be00 (__TEXT,__text) non-external __Z26OSSerializationAppendBytesP15OSSerializationPKvm.cold.4
00007ffb0de2be23 (__TEXT,__text) non-external __Z26OSSerializationAppendBytesP15OSSerializationPKvm.cold.5
00007ffb0de0a8bc (__TEXT,__text) non-external (was a private external) __Z26OSSerializationGetBytesPtrPKjmm
00007ffb0de0ab2a (__TEXT,__text) non-external (was a private external) __Z29OSSerializationGetUInt64ValuePKj
00007ffb0de0bc65 (__TEXT,__text) non-external (was a private external) __Z30OSSerializationAddBinaryObjectP15OSSerializationS0_17OSCollectionEntry
00007ffb0de2be46 (__TEXT,__text) non-external __Z30OSSerializationAddBinaryObjectP15OSSerializationS0_17OSCollectionEntry.cold.1
00007ffb0de2be69 (__TEXT,__text) non-external __Z30OSSerializationAddBinaryObjectP15OSSerializationS0_17OSCollectionEntry.cold.2
00007ffb0de2be8c (__TEXT,__text) non-external __Z30OSSerializationAddBinaryObjectP15OSSerializationS0_17OSCollectionEntry.cold.3
00007ffb0de023f2 (__TEXT,__text) non-external (was a private external) __Z7astrcpyPKc
00007ffb0de01aec (__TEXT,__text) non-external __ZL10IORPCAsyncPv
00007ffb0de291a6 (__TEXT,__text) non-external __ZL10OSData_NewP11OSMetaClass
00007ffb0ddfea22 (__TEXT,__text) non-external __ZL10buildArrayP12parser_stateP6object
00007ffb0ddffc43 (__TEXT,__text) non-external __ZL10getHexDataP12parser_statePj
00007ffb0de2a3f7 (__TEXT,__text) non-external __ZL10getHexDataP12parser_statePj.cold.1
00007ffb0de092cf (__TEXT,__text) non-external __ZL10uiomessagePv
00007ffb0de290ba (__TEXT,__text) non-external __ZL11OSArray_NewP11OSMetaClass
00007ffb0de0d5e0 (__TEXT,__text) non-external __ZL11OSSetCreatev
00007ffb0de2cd50 (__TEXT,__const) non-external __ZL11yytranslate
00007ffb0de2a1a2 (__TEXT,__text) non-external __ZL12IOThread_NewP11OSMetaClass
00007ffb0de28ae2 (__TEXT,__text) non-external __ZL12OSAction_NewP11OSMetaClass
00007ffb0de29128 (__TEXT,__text) non-external __ZL12OSBundle_NewP11OSMetaClass
00007ffb0de29244 (__TEXT,__text) non-external __ZL12OSNumber_NewP11OSMetaClass
00007ffb0de29274 (__TEXT,__text) non-external __ZL12OSObject_NewP11OSMetaClass
00007ffb0de0a6ae (__TEXT,__text) non-external __ZL12OSStringFindjU13block_pointerFbP8OSStringE
00007ffb0de0a671 (__TEXT,__text) non-external __ZL12OSStringHashPKcm
00007ffb0de2bc5e (__TEXT,__text) non-external __ZL12OSStringHashPKcm.cold.1
00007ffb0de298a2 (__TEXT,__text) non-external __ZL12OSString_NewP11OSMetaClass
00007ffb0de1ac16 (__TEXT,__text) non-external __ZL13IOCommand_NewP11OSMetaClass
00007ffb0de1fdee (__TEXT,__text) non-external __ZL13IOService_NewP11OSMetaClass
00007ffb0de08119 (__TEXT,__text) non-external __ZL13IOThreadStartPv
00007ffb0de2b880 (__TEXT,__text) non-external __ZL13IOThreadStartPv.cold.1
00007ffb0de2b8a3 (__TEXT,__text) non-external __ZL13IOThreadStartPv.cold.2
00007ffb0de2b8c6 (__TEXT,__text) non-external __ZL13IOThreadStartPv.cold.3
00007ffb0de290f8 (__TEXT,__text) non-external __ZL13OSBoolean_NewP11OSMetaClass
00007ffb0de1fcfe (__TEXT,__text) non-external __ZL14IOReporter_NewP11OSMetaClass
00007ffb0de038de (__TEXT,__text) non-external __ZL14uiomachchannelPv22dispatch_mach_reason_tP19dispatch_mach_msg_si
00007ffb0de2b30c (__TEXT,__text) non-external __ZL14uiomachchannelPv22dispatch_mach_reason_tP19dispatch_mach_msg_si.cold.1
00007ffb0de2b32f (__TEXT,__text) non-external __ZL14uiomachchannelPv22dispatch_mach_reason_tP19dispatch_mach_msg_si.cold.2
00007ffb0de2b352 (__TEXT,__text) non-external __ZL14uiomachchannelPv22dispatch_mach_reason_tP19dispatch_mach_msg_si.cold.3
00007ffb0de2b375 (__TEXT,__text) non-external __ZL14uiomachchannelPv22dispatch_mach_reason_tP19dispatch_mach_msg_si.cold.4
00007ffb0de1d2c8 (__TEXT,__text) non-external __ZL15IOEventLink_NewP11OSMetaClass
00007ffb0de1fa86 (__TEXT,__text) non-external __ZL15IOMemoryMap_NewP11OSMetaClass
00007ffb0de284a6 (__TEXT,__text) non-external __ZL15IOWorkGroup_NewP11OSMetaClass
00007ffb0de29176 (__TEXT,__text) non-external __ZL15OSContainer_NewP11OSMetaClass
00007ffb0de02257 (__TEXT,__text) non-external __ZL15OSCopyInObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb
00007ffb0de2ad72 (__TEXT,__text) non-external __ZL15OSCopyInObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb.cold.1
00007ffb0de2ad95 (__TEXT,__text) non-external __ZL15OSCopyInObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb.cold.2
00007ffb0de2adb8 (__TEXT,__text) non-external __ZL15OSCopyInObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb.cold.3
00007ffb0de2addb (__TEXT,__text) non-external __ZL15OSCopyInObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb.cold.4
00007ffb0de02fab (__TEXT,__text) non-external __ZL15OSScanLibrariesP18IOUserServer_IVarsPKc
00007ffb0de2b111 (__TEXT,__text) non-external __ZL15OSScanLibrariesP18IOUserServer_IVarsPKc.cold.1
00007ffb0de2b145 (__TEXT,__text) non-external __ZL15OSScanLibrariesP18IOUserServer_IVarsPKc.cold.2
00007ffb0de2b168 (__TEXT,__text) non-external __ZL15OSScanLibrariesP18IOUserServer_IVarsPKc.cold.3
00007ffb0de2b18b (__TEXT,__text) non-external __ZL15OSScanLibrariesP18IOUserServer_IVarsPKc.cold.4
00007ffb0de08d1f (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject
00007ffb0de2b975 (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject.cold.1
00007ffb0de2b998 (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject.cold.2
