                 (undefined) external _BLASStateRelease (from libBLAS)
                 (undefined) external _BLASStateRetain (from libBLAS)
                 (undefined) external ___chkstk_darwin (from libSystem)
                 (undefined) external ___cospi (from libSystem)
                 (undefined) external ___cospif (from libSystem)
                 (undefined) external ___sincos_stret (from libSystem)
                 (undefined) external ___sincosf_stret (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external __get_cpu_capabilities (from libSystem)
                 (undefined) external _atan2 (from libSystem)
                 (undefined) external _atan2f (from libSystem)
                 (undefined) external _bzero (from libSystem)
                 (undefined) external _calloc (from libSystem)
                 (undefined) external _cblas_dgemm (from libBLAS)
                 (undefined) external _cblas_sgemm (from libBLAS)
                 (undefined) external _cos (from libSystem)
                 (undefined) external _cosf (from libSystem)
                 (undefined) external _free (from libSystem)
                 (undefined) external _log (from libSystem)
                 (undefined) external _log10 (from libSystem)
                 (undefined) external _log10f (from libSystem)
                 (undefined) external _log2 (from libSystem)
                 (undefined) external _logf (from libSystem)
                 (undefined) external _malloc (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memset_pattern4 (from libSystem)
                 (undefined) external _memset_pattern8 (from libSystem)
                 (undefined) external _posix_memalign (from libSystem)
                 (undefined) external _pow (from libSystem)
                 (undefined) external _powf (from libSystem)
                 (undefined) external _qsort (from libSystem)
                 (undefined) external _realloc (from libSystem)
                 (undefined) external _sin (from libSystem)
                 (undefined) external _sinf (from libSystem)
                 (undefined) external _tan (from libSystem)
000000018afeecc8 (__TEXT,__text) external _vDSP_DCT_CreateSetup
000000018afb1e0c (__TEXT,__text) external _vDSP_biquadm_DestroySetupD
000000018b00ede8 (__TEXT,__text) external _vDSP_biquadm_ResetState
000000018afb1f00 (__TEXT,__text) external _vDSP_biquadm_ResetStateD
000000018b00e908 (__TEXT,__text) external _vDSP_biquadm_SetActiveFilters
000000018afb1a84 (__TEXT,__text) external _vDSP_biquadm_SetActiveFiltersD
000000018af34b28 (__TEXT,__text) external _vDSP_biquadm_SetCoefficientsDouble
000000018af3c4bc (__TEXT,__text) external _vDSP_biquadm_SetCoefficientsDoubleD
000000018af34e18 (__TEXT,__text) external _vDSP_biquadm_SetCoefficientsSingle
000000018af3c78c (__TEXT,__text) external _vDSP_biquadm_SetCoefficientsSingleD
000000018af34a84 (__TEXT,__text) external _vDSP_biquadm_SetTargetsDouble
000000018af3c420 (__TEXT,__text) external _vDSP_biquadm_SetTargetsDoubleD
000000018af34d84 (__TEXT,__text) external _vDSP_biquadm_SetTargetsSingle
000000018af3c700 (__TEXT,__text) external _vDSP_biquadm_SetTargetsSingleD
000000018af33e04 (__TEXT,__text) external _vDSP_blkman_window
000000018af7ad18 (__TEXT,__text) external _vDSP_blkman_windowD
000000018afcf6d8 (__TEXT,__text) external _vDSP_conv
000000018af88dc8 (__TEXT,__text) external _vDSP_convD
000000018af2a1ac (__TEXT,__text) external _vDSP_create_fftsetup
000000018af7067c (__TEXT,__text) external _vDSP_create_fftsetupD
000000018af7ee20 (__TEXT,__text) external _vDSP_ctoz
000000018af715b0 (__TEXT,__text) external _vDSP_ctozD
000000018af6b264 (__TEXT,__text) external _vDSP_deq22
000000018af6b918 (__TEXT,__text) external _vDSP_deq22D
000000018af623e8 (__TEXT,__text) external _vDSP_desamp
000000018afc7480 (__TEXT,__text) external _vDSP_desampD
000000018af2ab00 (__TEXT,__text) external _vDSP_destroy_fftsetup
000000018af7054c (__TEXT,__text) external _vDSP_destroy_fftsetupD
000000018afc9628 (__TEXT,__text) external _vDSP_distancesq
000000018aff6154 (__TEXT,__text) external _vDSP_distancesqD
000000018afb6390 (__TEXT,__text) external _vDSP_dotpr
000000018af33d04 (__TEXT,__text) external _vDSP_dotpr2
000000018afbc8e4 (__TEXT,__text) external _vDSP_dotpr2D
000000018af33d84 (__TEXT,__text) external _vDSP_dotpr2_s1_15
000000018af3462c (__TEXT,__text) external _vDSP_dotpr2_s8_24
000000018af718c0 (__TEXT,__text) external _vDSP_dotprD
000000018af36830 (__TEXT,__text) external _vDSP_dotpr_s1_15
000000018af372c0 (__TEXT,__text) external _vDSP_dotpr_s8_24
000000018b00ffc8 (__TEXT,__text) external _vDSP_f3x3
000000018afbc068 (__TEXT,__text) external _vDSP_f3x3D
000000018b00fe8c (__TEXT,__text) external _vDSP_f5x5
000000018afb4a64 (__TEXT,__text) external _vDSP_f5x5D
000000018af546ac (__TEXT,__text) external _vDSP_fft2d_zip
000000018af5d65c (__TEXT,__text) external _vDSP_fft2d_zipD
000000018af54994 (__TEXT,__text) external _vDSP_fft2d_zipt
000000018afb6db4 (__TEXT,__text) external _vDSP_fft2d_ziptD
000000018af546e4 (__TEXT,__text) external _vDSP_fft2d_zop
000000018af7bc7c (__TEXT,__text) external _vDSP_fft2d_zopD
000000018af56758 (__TEXT,__text) external _vDSP_fft2d_zopt
000000018af37494 (__TEXT,__text) external _vDSP_fft2d_zoptD
000000018af56a3c (__TEXT,__text) external _vDSP_fft2d_zrip
000000018af896e8 (__TEXT,__text) external _vDSP_fft2d_zripD
000000018af5723c (__TEXT,__text) external _vDSP_fft2d_zript
000000018af99190 (__TEXT,__text) external _vDSP_fft2d_zriptD
000000018af56a74 (__TEXT,__text) external _vDSP_fft2d_zrop
000000018af461cc (__TEXT,__text) external _vDSP_fft2d_zropD
000000018af57278 (__TEXT,__text) external _vDSP_fft2d_zropt
000000018afdc250 (__TEXT,__text) external _vDSP_fft2d_zroptD
000000018afb4fc8 (__TEXT,__text) external _vDSP_fft3_zop
000000018af362f4 (__TEXT,__text) external _vDSP_fft3_zopD
000000018af71174 (__TEXT,__text) external _vDSP_fft5_zop
000000018afc7624 (__TEXT,__text) external _vDSP_fft5_zopD
000000018af677dc (__TEXT,__text) external _vDSP_fft_zip
000000018af76dac (__TEXT,__text) external _vDSP_fft_zipD
000000018af39f84 (__TEXT,__text) external _vDSP_fft_zipt
000000018af62bd4 (__TEXT,__text) external _vDSP_fft_ziptD
000000018af595e8 (__TEXT,__text) external _vDSP_fft_zop
000000018af71bc0 (__TEXT,__text) external _vDSP_fft_zopD
000000018af7fbfc (__TEXT,__text) external _vDSP_fft_zopt
000000018afc8048 (__TEXT,__text) external _vDSP_fft_zoptD
000000018aff5114 (__TEXT,__text) external _vDSP_fft_zrip
000000018afc8054 (__TEXT,__text) external _vDSP_fft_zripD
000000018afc88c0 (__TEXT,__text) external _vDSP_fft_zript
000000018aff4510 (__TEXT,__text) external _vDSP_fft_zriptD
000000018af65f60 (__TEXT,__text) external _vDSP_fft_zrop
000000018af71c18 (__TEXT,__text) external _vDSP_fft_zropD
000000018afbf760 (__TEXT,__text) external _vDSP_fft_zropt
000000018af85914 (__TEXT,__text) external _vDSP_fft_zroptD
000000018af5728c (__TEXT,__text) external _vDSP_fftm_zip
000000018af61fb8 (__TEXT,__text) external _vDSP_fftm_zipD
000000018af576e8 (__TEXT,__text) external _vDSP_fftm_zipt
000000018afda5bc (__TEXT,__text) external _vDSP_fftm_ziptD
000000018af572c4 (__TEXT,__text) external _vDSP_fftm_zop
000000018af4da58 (__TEXT,__text) external _vDSP_fftm_zopD
000000018af57bec (__TEXT,__text) external _vDSP_fftm_zopt
000000018af7aa00 (__TEXT,__text) external _vDSP_fftm_zoptD
000000018af57c00 (__TEXT,__text) external _vDSP_fftm_zrip
000000018af5d75c (__TEXT,__text) external _vDSP_fftm_zripD
000000018af5803c (__TEXT,__text) external _vDSP_fftm_zript
000000018aff5f4c (__TEXT,__text) external _vDSP_fftm_zriptD
000000018af57c38 (__TEXT,__text) external _vDSP_fftm_zrop
000000018afb4050 (__TEXT,__text) external _vDSP_fftm_zropD
000000018af58078 (__TEXT,__text) external _vDSP_fftm_zropt
000000018afb403c (__TEXT,__text) external _vDSP_fftm_zroptD
000000018af922c0 (__TEXT,__text) external _vDSP_hamm_window
000000018af7f850 (__TEXT,__text) external _vDSP_hamm_windowD
000000018b0067b8 (__TEXT,__text) external _vDSP_hann_window
000000018af9261c (__TEXT,__text) external _vDSP_hann_windowD
000000018b00f1e8 (__TEXT,__text) external _vDSP_imgfir
000000018aff64a0 (__TEXT,__text) external _vDSP_imgfirD
000000018af65490 (__TEXT,__text) external _vDSP_maxmgv
000000018af6c92c (__TEXT,__text) external _vDSP_maxmgvD
000000018af6d974 (__TEXT,__text) external _vDSP_maxmgvi
000000018af6e3b4 (__TEXT,__text) external _vDSP_maxmgviD
000000018af667d4 (__TEXT,__text) external _vDSP_maxv
000000018af669e8 (__TEXT,__text) external _vDSP_maxvD
000000018af6ee7c (__TEXT,__text) external _vDSP_maxvi
000000018af6f394 (__TEXT,__text) external _vDSP_maxviD
000000018afdef38 (__TEXT,__text) external _vDSP_meamgv
000000018b006bec (__TEXT,__text) external _vDSP_meamgvD
000000018afbbaa0 (__TEXT,__text) external _vDSP_meanv
000000018b007798 (__TEXT,__text) external _vDSP_meanvD
000000018afc3cf8 (__TEXT,__text) external _vDSP_measqv
000000018afb9b94 (__TEXT,__text) external _vDSP_measqvD
000000018af66c0c (__TEXT,__text) external _vDSP_minmgv
000000018af66f50 (__TEXT,__text) external _vDSP_minmgvD
000000018af6e4c8 (__TEXT,__text) external _vDSP_minmgvi
000000018af6ed58 (__TEXT,__text) external _vDSP_minmgviD
000000018af6f4a0 (__TEXT,__text) external _vDSP_minv
000000018af6fcb0 (__TEXT,__text) external _vDSP_minvD
000000018af6fed8 (__TEXT,__text) external _vDSP_minvi
000000018af70440 (__TEXT,__text) external _vDSP_minviD
000000018af675d0 (__TEXT,__text) external _vDSP_mmov
000000018af7f18c (__TEXT,__text) external _vDSP_mmovD
000000018af5fae4 (__TEXT,__text) external _vDSP_mmul
000000018afd2cd8 (__TEXT,__text) external _vDSP_mmulD
000000018afb3630 (__TEXT,__text) external _vDSP_mtrans
000000018af38300 (__TEXT,__text) external _vDSP_mtransD
000000018af535fc (__TEXT,__text) external _vDSP_mvessq
000000018af413bc (__TEXT,__text) external _vDSP_mvessqD
000000018af7b4cc (__TEXT,__text) external _vDSP_normalize
000000018af6216c (__TEXT,__text) external _vDSP_normalizeD
000000018af61b8c (__TEXT,__text) external _vDSP_nzcros
000000018af61f40 (__TEXT,__text) external _vDSP_nzcrosD
000000018af7fc08 (__TEXT,__text) external _vDSP_polar
000000018aff44a0 (__TEXT,__text) external _vDSP_polarD
000000018afb2ab8 (__TEXT,__text) external _vDSP_rect
000000018afc7e4c (__TEXT,__text) external _vDSP_rectD
000000018aff4464 (__TEXT,__text) external _vDSP_rmsqv
000000018af7d024 (__TEXT,__text) external _vDSP_rmsqvD
000000018af3cff0 (__TEXT,__text) external _vDSP_svdiv
000000018af7c18c (__TEXT,__text) external _vDSP_svdivD
000000018af29d00 (__TEXT,__text) external _vDSP_sve
000000018af2a57c (__TEXT,__text) external _vDSP_sveD
000000018afb985c (__TEXT,__text) external _vDSP_sve_svesq
000000018afb9a00 (__TEXT,__text) external _vDSP_sve_svesqD
000000018af5d8c0 (__TEXT,__text) external _vDSP_svemg
000000018afc12a4 (__TEXT,__text) external _vDSP_svemgD
000000018af5db40 (__TEXT,__text) external _vDSP_svesq
000000018afc134c (__TEXT,__text) external _vDSP_svesqD
000000018afc3280 (__TEXT,__text) external _vDSP_svs
000000018afc33a8 (__TEXT,__text) external _vDSP_svsD
000000018aff5c90 (__TEXT,__text) external _vDSP_vaam
000000018af789c4 (__TEXT,__text) external _vDSP_vaamD
000000018af7f470 (__TEXT,__text) external _vDSP_vabs
000000018af62240 (__TEXT,__text) external _vDSP_vabsD
000000018af77c8c (__TEXT,__text) external _vDSP_vabsi
000000018af2a0f4 (__TEXT,__text) external _vDSP_vadd
000000018af67030 (__TEXT,__text) external _vDSP_vaddD
000000018b007240 (__TEXT,__text) external _vDSP_vaddi
000000018afc9944 (__TEXT,__text) external _vDSP_vaddsub
000000018afc9cbc (__TEXT,__text) external _vDSP_vaddsubD
000000018af75c48 (__TEXT,__text) external _vDSP_vam
000000018af75d78 (__TEXT,__text) external _vDSP_vamD
000000018afc72d4 (__TEXT,__text) external _vDSP_vasbm
000000018af85768 (__TEXT,__text) external _vDSP_vasbmD
000000018af75ea8 (__TEXT,__text) external _vDSP_vasm
000000018af7c288 (__TEXT,__text) external _vDSP_vasmD
000000018afca02c (__TEXT,__text) external _vDSP_vavlin
000000018aff5798 (__TEXT,__text) external _vDSP_vavlinD
000000018afc6db0 (__TEXT,__text) external _vDSP_vclip
000000018af40f7c (__TEXT,__text) external _vDSP_vclipD
000000018afc53ec (__TEXT,__text) external _vDSP_vclipc
000000018afdbc10 (__TEXT,__text) external _vDSP_vclipcD
000000018af2a024 (__TEXT,__text) external _vDSP_vclr
000000018af677f0 (__TEXT,__text) external _vDSP_vclrD
000000018af61b44 (__TEXT,__text) external _vDSP_vcmprs
000000018af6e36c (__TEXT,__text) external _vDSP_vcmprsD
000000018af5dd98 (__TEXT,__text) external _vDSP_vdbcon
000000018af852a4 (__TEXT,__text) external _vDSP_vdbconD
000000018b006c30 (__TEXT,__text) external _vDSP_vdist
000000018afb7470 (__TEXT,__text) external _vDSP_vdistD
000000018af59f20 (__TEXT,__text) external _vDSP_vdiv
000000018afb9cb0 (__TEXT,__text) external _vDSP_vdivD
000000018af3f338 (__TEXT,__text) external _vDSP_vdivi
000000018af7613c (__TEXT,__text) external _vDSP_vdpsp
000000018af647a0 (__TEXT,__text) external _vDSP_venvlp
000000018af898d8 (__TEXT,__text) external _vDSP_venvlpD
000000018af3c310 (__TEXT,__text) external _vDSP_veqvi
000000018af7e8c0 (__TEXT,__text) external _vDSP_vfill
000000018af7c380 (__TEXT,__text) external _vDSP_vfillD
000000018af765d4 (__TEXT,__text) external _vDSP_vfilli
000000018b00ee38 (__TEXT,__text) external _vDSP_vfix16
000000018af67688 (__TEXT,__text) external _vDSP_vfix16D
000000018afba4a4 (__TEXT,__text) external _vDSP_vfix32
000000018af45840 (__TEXT,__text) external _vDSP_vfix32D
000000018af7a5b8 (__TEXT,__text) external _vDSP_vfix8
000000018afda5cc (__TEXT,__text) external _vDSP_vfix8D
000000018afbda08 (__TEXT,__text) external _vDSP_vfixr16
000000018afa057c (__TEXT,__text) external _vDSP_vfixr16D
000000018af37dd4 (__TEXT,__text) external _vDSP_vfixr32
000000018afb9bcc (__TEXT,__text) external _vDSP_vfixr32D
000000018afca318 (__TEXT,__text) external _vDSP_vfixr8
000000018af362c8 (__TEXT,__text) external _vDSP_vfixr8D
000000018aff5f1c (__TEXT,__text) external _vDSP_vfixru16
000000018afc8018 (__TEXT,__text) external _vDSP_vfixru16D
000000018af898a8 (__TEXT,__text) external _vDSP_vfixru32
000000018af4da28 (__TEXT,__text) external _vDSP_vfixru32D
000000018af374b0 (__TEXT,__text) external _vDSP_vfixru8
000000018afb9bfc (__TEXT,__text) external _vDSP_vfixru8D
000000018afca8d0 (__TEXT,__text) external _vDSP_vfixu16
000000018afdaf58 (__TEXT,__text) external _vDSP_vfixu16D
000000018afde8f4 (__TEXT,__text) external _vDSP_vfixu32
000000018af762cc (__TEXT,__text) external _vDSP_vfixu32D
000000018afca620 (__TEXT,__text) external _vDSP_vfixu8
000000018afb3498 (__TEXT,__text) external _vDSP_vfixu8D
000000018b00efd0 (__TEXT,__text) external _vDSP_vflt16
000000018b00a85c (__TEXT,__text) external _vDSP_vflt16D
000000018afc51c0 (__TEXT,__text) external _vDSP_vflt24
000000018afbf318 (__TEXT,__text) external _vDSP_vflt32
000000018af80648 (__TEXT,__text) external _vDSP_vflt32D
000000018aff589c (__TEXT,__text) external _vDSP_vflt8
000000018af8993c (__TEXT,__text) external _vDSP_vflt8D
000000018afc3d30 (__TEXT,__text) external _vDSP_vfltsm24
000000018af80710 (__TEXT,__text) external _vDSP_vfltsmu24
000000018af7cdf0 (__TEXT,__text) external _vDSP_vfltu16
000000018afcac00 (__TEXT,__text) external _vDSP_vfltu16D
000000018afba2d0 (__TEXT,__text) external _vDSP_vfltu24
000000018af94014 (__TEXT,__text) external _vDSP_vfltu32
000000018afd0fac (__TEXT,__text) external _vDSP_vfltu32D
000000018af6f654 (__TEXT,__text) external _vDSP_vfltu8
000000018afb47f8 (__TEXT,__text) external _vDSP_vfltu8D
000000018afbff38 (__TEXT,__text) external _vDSP_vfrac
000000018af7665c (__TEXT,__text) external _vDSP_vfracD
000000018afbb110 (__TEXT,__text) external _vDSP_vgathr
000000018af44f84 (__TEXT,__text) external _vDSP_vgathrD
000000018af689e0 (__TEXT,__text) external _vDSP_vgathra
000000018af90b04 (__TEXT,__text) external _vDSP_vgathraD
000000018afbeef0 (__TEXT,__text) external _vDSP_vgen
000000018afc84f0 (__TEXT,__text) external _vDSP_vgenD
000000018aff08f4 (__TEXT,__text) external _vDSP_vgenp
000000018af5d4f0 (__TEXT,__text) external _vDSP_vgenpD
000000018af6fbcc (__TEXT,__text) external _vDSP_viclip
000000018afdf0c4 (__TEXT,__text) external _vDSP_viclipD
000000018afcaef8 (__TEXT,__text) external _vDSP_vindex
000000018afcf960 (__TEXT,__text) external _vDSP_vindexD
000000018afcc260 (__TEXT,__text) external _vDSP_vintb
000000018af8b770 (__TEXT,__text) external _vDSP_vintbD
000000018afa03fc (__TEXT,__text) external _vDSP_vlim
000000018b006b00 (__TEXT,__text) external _vDSP_vlimD
000000018afcf990 (__TEXT,__text) external _vDSP_vlint
000000018afc61ac (__TEXT,__text) external _vDSP_vlintD
000000018af29fac (__TEXT,__text) external _vDSP_vma
000000018af7d060 (__TEXT,__text) external _vDSP_vmaD
000000018afbca80 (__TEXT,__text) external _vDSP_vmax
000000018af67884 (__TEXT,__text) external _vDSP_vmaxD
000000018af80c20 (__TEXT,__text) external _vDSP_vmaxmg
000000018afefea8 (__TEXT,__text) external _vDSP_vmaxmgD
000000018afbd140 (__TEXT,__text) external _vDSP_vmin
000000018af682f4 (__TEXT,__text) external _vDSP_vminD
000000018afb2fc0 (__TEXT,__text) external _vDSP_vminmg
000000018af66e14 (__TEXT,__text) external _vDSP_vminmgD
000000018af64b20 (__TEXT,__text) external _vDSP_vmma
000000018afa787c (__TEXT,__text) external _vDSP_vmmaD
000000018afb0f30 (__TEXT,__text) external _vDSP_vmmsb
000000018af6fa20 (__TEXT,__text) external _vDSP_vmmsbD
000000018afbc4bc (__TEXT,__text) external _vDSP_vmsa
000000018af7d17c (__TEXT,__text) external _vDSP_vmsaD
000000018afbc4f8 (__TEXT,__text) external _vDSP_vmsb
000000018af7d304 (__TEXT,__text) external _vDSP_vmsbD
000000018af29fe8 (__TEXT,__text) external _vDSP_vmul
000000018af6846c (__TEXT,__text) external _vDSP_vmulD
000000018afb4124 (__TEXT,__text) external _vDSP_vnabs
000000018afcf454 (__TEXT,__text) external _vDSP_vnabsD
000000018afbc534 (__TEXT,__text) external _vDSP_vneg
000000018af7d420 (__TEXT,__text) external _vDSP_vnegD
000000018afcb2a4 (__TEXT,__text) external _vDSP_vpoly
000000018afc9430 (__TEXT,__text) external _vDSP_vpolyD
000000018afcbe60 (__TEXT,__text) external _vDSP_vpythg
000000018af61970 (__TEXT,__text) external _vDSP_vpythgD
000000018afcc518 (__TEXT,__text) external _vDSP_vqint
000000018afc0744 (__TEXT,__text) external _vDSP_vqintD
000000018af64810 (__TEXT,__text) external _vDSP_vramp
000000018af6872c (__TEXT,__text) external _vDSP_vrampD
000000018af2a800 (__TEXT,__text) external _vDSP_vrampmul
000000018af38794 (__TEXT,__text) external _vDSP_vrampmul2
000000018af65438 (__TEXT,__text) external _vDSP_vrampmul2D
000000018af39028 (__TEXT,__text) external _vDSP_vrampmul2_s1_15
000000018af39708 (__TEXT,__text) external _vDSP_vrampmul2_s8_24
000000018af7fb30 (__TEXT,__text) external _vDSP_vrampmulD
000000018af39dfc (__TEXT,__text) external _vDSP_vrampmul_s1_15
000000018af39f3c (__TEXT,__text) external _vDSP_vrampmul_s8_24
000000018afc8550 (__TEXT,__text) external _vDSP_vrampmuladd
000000018af39f90 (__TEXT,__text) external _vDSP_vrampmuladd2
000000018afb2a5c (__TEXT,__text) external _vDSP_vrampmuladd2D
000000018af3a8e0 (__TEXT,__text) external _vDSP_vrampmuladd2_s1_15
000000018af3aa80 (__TEXT,__text) external _vDSP_vrampmuladd2_s8_24
000000018af64370 (__TEXT,__text) external _vDSP_vrampmuladdD
000000018af3aefc (__TEXT,__text) external _vDSP_vrampmuladd_s1_15
000000018af38360 (__TEXT,__text) external _vDSP_vrampmuladd_s8_24
000000018afcd1cc (__TEXT,__text) external _vDSP_vrsum
000000018afb3ff4 (__TEXT,__text) external _vDSP_vrsumD
000000018afc3450 (__TEXT,__text) external _vDSP_vrvrs
000000018af6aea4 (__TEXT,__text) external _vDSP_vrvrsD
000000018afbc570 (__TEXT,__text) external _vDSP_vsadd
000000018af6abdc (__TEXT,__text) external _vDSP_vsaddD
000000018afcd508 (__TEXT,__text) external _vDSP_vsaddi
000000018afbc5ac (__TEXT,__text) external _vDSP_vsbm
000000018af7d5c8 (__TEXT,__text) external _vDSP_vsbmD
000000018aff4e9c (__TEXT,__text) external _vDSP_vsbsbm
000000018afb2224 (__TEXT,__text) external _vDSP_vsbsbmD
000000018af78468 (__TEXT,__text) external _vDSP_vsbsm
000000018af7e19c (__TEXT,__text) external _vDSP_vsbsmD
000000018af7871c (__TEXT,__text) external _vDSP_vsdiv
000000018af7e294 (__TEXT,__text) external _vDSP_vsdivD
000000018af8b740 (__TEXT,__text) external _vDSP_vsdivi
000000018af6b984 (__TEXT,__text) external _vDSP_vsimps
000000018af87b88 (__TEXT,__text) external _vDSP_vsimpsD
000000018afbc5e8 (__TEXT,__text) external _vDSP_vsma
000000018af7e2c8 (__TEXT,__text) external _vDSP_vsmaD
000000018af44b54 (__TEXT,__text) external _vDSP_vsmfix24
000000018afdab48 (__TEXT,__text) external _vDSP_vsmfixu24
000000018afbc624 (__TEXT,__text) external _vDSP_vsmsa
000000018af7e3ac (__TEXT,__text) external _vDSP_vsmsaD
000000018af78750 (__TEXT,__text) external _vDSP_vsmsb
000000018af7e69c (__TEXT,__text) external _vDSP_vsmsbD
000000018afbc660 (__TEXT,__text) external _vDSP_vsmsma
000000018b00711c (__TEXT,__text) external _vDSP_vsmsmaD
000000018af2a0b8 (__TEXT,__text) external _vDSP_vsmul
000000018af6aee8 (__TEXT,__text) external _vDSP_vsmulD
000000018af351dc (__TEXT,__text) external _vDSP_vsort
000000018aff5ec0 (__TEXT,__text) external _vDSP_vsortD
000000018b0077d0 (__TEXT,__text) external _vDSP_vsorti
000000018afff814 (__TEXT,__text) external _vDSP_vsortiD
000000018af78b70 (__TEXT,__text) external _vDSP_vspdp
000000018afbc69c (__TEXT,__text) external _vDSP_vsq
000000018af7aa14 (__TEXT,__text) external _vDSP_vsqD
000000018af7ac5c (__TEXT,__text) external _vDSP_vssq
000000018af7b270 (__TEXT,__text) external _vDSP_vssqD
000000018afbc6d8 (__TEXT,__text) external _vDSP_vsub
000000018af6b080 (__TEXT,__text) external _vDSP_vsubD
000000018afd7ad8 (__TEXT,__text) external _vDSP_vswap
000000018afd1070 (__TEXT,__text) external _vDSP_vswapD
000000018afd67d0 (__TEXT,__text) external _vDSP_vswmax
000000018af2d824 (__TEXT,__text) external _vDSP_vswmaxD
000000018afcda14 (__TEXT,__text) external _vDSP_vswsum
000000018afd6488 (__TEXT,__text) external _vDSP_vswsumD
000000018af3c9b8 (__TEXT,__text) external _vDSP_vtabi
000000018af36a08 (__TEXT,__text) external _vDSP_vtabiD
