00007ffe43333710 (__DATA,__bss) non-external _A
00007ffe06b59000 (__TEXT,__text) non-external (was a private external) ___chkstk_darwin
00007ffe06b59020 (__TEXT,__text) non-external (was a private external) ___chkstk_darwin_llvm_probe
                 (undefined) external ___memset_chk (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
                 (undefined) external ___tolower (from libSystem)
00007ffe06b4a276 (__TEXT,__text) non-external (was a private external) __ext_scan_at
00007ffe06b4c014 (__TEXT,__text) non-external (was a private external) __scan_at
00007ffe06b54acb (__TEXT,__text) non-external (was a private external) __scan_atx_heading_start
00007ffe06b63e30 (__TEXT,__const) non-external __scan_atx_heading_start.yybm
00007ffe06b4d387 (__TEXT,__text) non-external (was a private external) __scan_autolink_email
00007ffe06b62f30 (__TEXT,__const) non-external __scan_autolink_email.yybm
00007ffe06b4c969 (__TEXT,__text) non-external (was a private external) __scan_autolink_uri
00007ffe06b62e30 (__TEXT,__const) non-external __scan_autolink_uri.yybm
00007ffe06b5509c (__TEXT,__text) non-external (was a private external) __scan_close_code_fence
00007ffe06b64130 (__TEXT,__const) non-external __scan_close_code_fence.yybm
00007ffe06b55b83 (__TEXT,__text) non-external (was a private external) __scan_dangerous_url
00007ffe06b551c3 (__TEXT,__text) non-external (was a private external) __scan_entity
00007ffe06b55e43 (__TEXT,__text) non-external (was a private external) __scan_footnote_definition
00007ffe06b64230 (__TEXT,__const) non-external __scan_footnote_definition.yybm
00007ffe06b52b50 (__TEXT,__text) non-external (was a private external) __scan_html_block_end_1
00007ffe06b63730 (__TEXT,__const) non-external __scan_html_block_end_1.yybm
00007ffe06b53630 (__TEXT,__text) non-external (was a private external) __scan_html_block_end_2
00007ffe06b63830 (__TEXT,__const) non-external __scan_html_block_end_2.yybm
00007ffe06b53a55 (__TEXT,__text) non-external (was a private external) __scan_html_block_end_3
00007ffe06b63930 (__TEXT,__const) non-external __scan_html_block_end_3.yybm
00007ffe06b53dd4 (__TEXT,__text) non-external (was a private external) __scan_html_block_end_4
00007ffe06b63a30 (__TEXT,__const) non-external __scan_html_block_end_4.yybm
00007ffe06b54089 (__TEXT,__text) non-external (was a private external) __scan_html_block_end_5
00007ffe06b63b30 (__TEXT,__const) non-external __scan_html_block_end_5.yybm
00007ffe06b50fdb (__TEXT,__text) non-external (was a private external) __scan_html_block_start
00007ffe06b52514 (__TEXT,__text) non-external (was a private external) __scan_html_block_start_7
00007ffe06b63630 (__TEXT,__const) non-external __scan_html_block_start_7.yybm
00007ffe06b50d87 (__TEXT,__text) non-external (was a private external) __scan_html_cdata
00007ffe06b63530 (__TEXT,__const) non-external __scan_html_cdata.yybm
00007ffe06b5083b (__TEXT,__text) non-external (was a private external) __scan_html_comment
00007ffe06b63230 (__TEXT,__const) non-external __scan_html_comment.yybm
00007ffe06b50c49 (__TEXT,__text) non-external (was a private external) __scan_html_declaration
00007ffe06b63430 (__TEXT,__const) non-external __scan_html_declaration.yybm
00007ffe06b509dc (__TEXT,__text) non-external (was a private external) __scan_html_pi
00007ffe06b63330 (__TEXT,__const) non-external __scan_html_pi.yybm
00007ffe06b4ff65 (__TEXT,__text) non-external (was a private external) __scan_html_tag
00007ffe06b63030 (__TEXT,__const) non-external __scan_html_tag.yybm
00007ffe06b50585 (__TEXT,__text) non-external (was a private external) __scan_liberal_html_tag
00007ffe06b63130 (__TEXT,__const) non-external __scan_liberal_html_tag.yybm
00007ffe06b544ae (__TEXT,__text) non-external (was a private external) __scan_link_title
00007ffe06b63c30 (__TEXT,__const) non-external __scan_link_title.yybm
00007ffe06b54d45 (__TEXT,__text) non-external (was a private external) __scan_open_code_fence
00007ffe06b64030 (__TEXT,__const) non-external __scan_open_code_fence.yybm
00007ffe06b4c05c (__TEXT,__text) non-external (was a private external) __scan_scheme
00007ffe06b54bf2 (__TEXT,__text) non-external (was a private external) __scan_setext_heading_line
00007ffe06b63f30 (__TEXT,__const) non-external __scan_setext_heading_line.yybm
00007ffe06b54aa3 (__TEXT,__text) non-external (was a private external) __scan_spacechars
00007ffe06b63d30 (__TEXT,__const) non-external __scan_spacechars.yybm
00007ffe06b4a4bb (__TEXT,__text) non-external (was a private external) __scan_table_cell
00007ffe06b62ab0 (__TEXT,__const) non-external __scan_table_cell.yybm
00007ffe06b4a71c (__TEXT,__text) non-external (was a private external) __scan_table_cell_end
00007ffe06b4a740 (__TEXT,__text) non-external (was a private external) __scan_table_row_end
00007ffe06b62bb0 (__TEXT,__const) non-external __scan_table_row_end.yybm
00007ffe06b4a2bf (__TEXT,__text) non-external (was a private external) __scan_table_start
00007ffe06b629b0 (__TEXT,__const) non-external __scan_table_start.yybm
00007ffe06b4a7cf (__TEXT,__text) non-external (was a private external) __scan_tasklist
00007ffe06b62cb0 (__TEXT,__const) non-external __scan_tasklist.yybm
                 (undefined) external _abort (from libSystem)
00007ffe06b587d5 (__TEXT,__text) non-external _add_child
00007ffe06b61c00 (__TEXT,__text) non-external _add_child.cold.1
00007ffe06b58ec8 (__TEXT,__text) non-external _add_line
00007ffe06b61c69 (__TEXT,__text) non-external _add_line.cold.1
00007ffe06b5e418 (__TEXT,__text) non-external _adjust_subj_node_newlines
00007ffe06b614ed (__TEXT,__text) non-external _alloc_arena_chunk
00007ffe06b615e0 (__TEXT,__text) non-external _arena_calloc
00007ffe06b616d6 (__TEXT,__text) non-external _arena_free
00007ffe06b61682 (__TEXT,__text) non-external _arena_realloc
00007ffe06b499c5 (__TEXT,__text) non-external _autolink_delim
00007ffe4118f040 (__DATA_CONST,__const) non-external _blacklist
                 (undefined) external _bsearch (from libSystem)
00007ffe06b4830c (__TEXT,__text) non-external _can_contain
00007ffe06b4ac1a (__TEXT,__text) non-external _can_contain
00007ffe06b60079 (__TEXT,__text) non-external _can_contain
00007ffe06b498bd (__TEXT,__text) non-external _check_domain
00007ffe06b58f3c (__TEXT,__text) non-external _chop_trailing_hashtags
00007ffe06b61c8c (__TEXT,__text) non-external _chop_trailing_hashtags.cold.1
00007ffe06b61cad (__TEXT,__text) non-external _chop_trailing_hashtags.cold.2
00007ffe06b5e739 (__TEXT,__text) non-external _chunk_clone
00007ffe06b61553 (__TEXT,__text) external _cmark_arena_pop
00007ffe06b614c6 (__TEXT,__text) external _cmark_arena_push
00007ffe06b615a4 (__TEXT,__text) external _cmark_arena_reset
00007ffe06b5f5d8 (__TEXT,__text) non-external _cmark_chunk_to_cstr
00007ffe06b5a986 (__TEXT,__text) non-external (was a private external) _cmark_clean_attributes
00007ffe06b5a8f9 (__TEXT,__text) non-external (was a private external) _cmark_clean_title
00007ffe06b5a82d (__TEXT,__text) non-external (was a private external) _cmark_clean_url
00007ffe06b61d1f (__TEXT,__text) non-external _cmark_clean_url.cold.1
00007ffe06b61d40 (__TEXT,__text) non-external _cmark_clean_url.cold.2
00007ffe06b4b078 (__TEXT,__text) external _cmark_consolidate_text_nodes
00007ffe06b628a0 (__TEXT,__const) non-external _cmark_ctype_class
00007ffe06b5904c (__TEXT,__text) external _cmark_enable_safety_checks
00007ffe41186b70 (__DATA_CONST,__const) non-external _cmark_entities
00007ffe06b49c56 (__TEXT,__text) external _cmark_find_syntax_extension
00007ffe06b55f3a (__TEXT,__text) non-external (was a private external) _cmark_footnote_create
00007ffe06b61aa2 (__TEXT,__text) non-external _cmark_footnote_create.cold.1
00007ffe06b55fa9 (__TEXT,__text) non-external (was a private external) _cmark_footnote_map_new
00007ffe06b616dc (__TEXT,__text) external _cmark_get_arena_mem_allocator
00007ffe06b46e1a (__TEXT,__text) external _cmark_get_default_mem_allocator
00007ffe06b5601f (__TEXT,__text) external _cmark_gfm_core_extensions_ensure_registered
00007ffe06b60dda (__TEXT,__text) external _cmark_gfm_extensions_get_table_alignments
00007ffe06b60ec8 (__TEXT,__text) external _cmark_gfm_extensions_get_table_cell_colspan
00007ffe06b60ef8 (__TEXT,__text) external _cmark_gfm_extensions_get_table_cell_rowspan
00007ffe06b60db7 (__TEXT,__text) external _cmark_gfm_extensions_get_table_columns
00007ffe06b60e7b (__TEXT,__text) external _cmark_gfm_extensions_get_table_row_is_header
00007ffe06b4811f (__TEXT,__text) external _cmark_gfm_extensions_get_tasklist_item_checked
00007ffe06b60e22 (__TEXT,__text) external _cmark_gfm_extensions_set_table_alignments
00007ffe06b60f29 (__TEXT,__text) external _cmark_gfm_extensions_set_table_cell_colspan
00007ffe06b60f55 (__TEXT,__text) external _cmark_gfm_extensions_set_table_cell_rowspan
00007ffe06b60dfa (__TEXT,__text) external _cmark_gfm_extensions_set_table_columns
00007ffe06b60e9e (__TEXT,__text) external _cmark_gfm_extensions_set_table_row_is_header
00007ffe06b480cd (__TEXT,__text) external _cmark_gfm_extensions_set_tasklist_item_checked
00007ffe06b59087 (__TEXT,__text) external _cmark_init_standard_node_flags
00007ffe06b5e2b1 (__TEXT,__text) external _cmark_inline_parser_advance_offset
00007ffe06b5e2df (__TEXT,__text) external _cmark_inline_parser_get_chunk
00007ffe06b5e2cc (__TEXT,__text) external _cmark_inline_parser_get_column
00007ffe06b5e368 (__TEXT,__text) external _cmark_inline_parser_get_last_delimiter
00007ffe06b5e372 (__TEXT,__text) external _cmark_inline_parser_get_line
00007ffe06b5e2ba (__TEXT,__text) external _cmark_inline_parser_get_offset
00007ffe06b5e2e9 (__TEXT,__text) external _cmark_inline_parser_in_bracket
00007ffe06b5dfc5 (__TEXT,__text) external _cmark_inline_parser_is_eof
00007ffe06b5dfb4 (__TEXT,__text) external _cmark_inline_parser_peek_at
00007ffe06b5df91 (__TEXT,__text) external _cmark_inline_parser_peek_char
00007ffe06b622fa (__TEXT,__text) non-external _cmark_inline_parser_peek_char.cold.1
00007ffe06b5e07a (__TEXT,__text) external _cmark_inline_parser_push_delimiter
00007ffe06b5e104 (__TEXT,__text) external _cmark_inline_parser_remove_delimiter
00007ffe06b5e10e (__TEXT,__text) external _cmark_inline_parser_scan_delimiters
00007ffe06b62340 (__TEXT,__text) non-external _cmark_inline_parser_scan_delimiters.cold.1
00007ffe06b5e2c3 (__TEXT,__text) external _cmark_inline_parser_set_offset
00007ffe06b5dfd6 (__TEXT,__text) external _cmark_inline_parser_take_while
00007ffe06b6231d (__TEXT,__text) non-external _cmark_inline_parser_take_while.cold.1
00007ffe06b5a9b9 (__TEXT,__text) non-external (was a private external) _cmark_inlines_add_special_character
00007ffe06b5a9db (__TEXT,__text) non-external (was a private external) _cmark_inlines_remove_special_character
00007ffe06b4807a (__TEXT,__text) external _cmark_isalnum
00007ffe06b480b3 (__TEXT,__text) external _cmark_isalpha
00007ffe06b48099 (__TEXT,__text) external _cmark_isdigit
00007ffe06b48060 (__TEXT,__text) external _cmark_ispunct
00007ffe06b48046 (__TEXT,__text) external _cmark_isspace
00007ffe06b4afa0 (__TEXT,__text) external _cmark_iter_free
00007ffe06b4b065 (__TEXT,__text) external _cmark_iter_get_event_type
00007ffe06b4b05b (__TEXT,__text) external _cmark_iter_get_node
00007ffe06b4b06e (__TEXT,__text) external _cmark_iter_get_root
00007ffe06b4af58 (__TEXT,__text) external _cmark_iter_new
00007ffe06b4afab (__TEXT,__text) external _cmark_iter_next
00007ffe06b61a5c (__TEXT,__text) non-external _cmark_iter_next.cold.1
00007ffe06b4b04a (__TEXT,__text) external _cmark_iter_reset
00007ffe06b49c1e (__TEXT,__text) external _cmark_list_syntax_extensions
00007ffe06b4bf63 (__TEXT,__text) external _cmark_llist_append
00007ffe06b4bfef (__TEXT,__text) external _cmark_llist_free
00007ffe06b4bfad (__TEXT,__text) external _cmark_llist_free_full
00007ffe06b56dcd (__TEXT,__text) external _cmark_manage_extensions_special_characters
00007ffe06b56293 (__TEXT,__text) non-external (was a private external) _cmark_map_free
00007ffe06b5611f (__TEXT,__text) non-external (was a private external) _cmark_map_lookup
00007ffe06b562d8 (__TEXT,__text) non-external (was a private external) _cmark_map_new
00007ffe06b46e27 (__TEXT,__text) external _cmark_markdown_to_html
00007ffe06b5a648 (__TEXT,__text) external _cmark_node_append_child
00007ffe06b5908d (__TEXT,__text) non-external (was a private external) _cmark_node_can_contain_type
00007ffe06b5a69b (__TEXT,__text) non-external (was a private external) _cmark_node_check
00007ffe06b59685 (__TEXT,__text) external _cmark_node_first_child
00007ffe06b59219 (__TEXT,__text) external _cmark_node_free
00007ffe06b5a02d (__TEXT,__text) external _cmark_node_get_attributes
00007ffe06b59868 (__TEXT,__text) external _cmark_node_get_backtick_count
00007ffe06b5a47a (__TEXT,__text) external _cmark_node_get_end_column
00007ffe06b5a468 (__TEXT,__text) external _cmark_node_get_end_line
00007ffe06b59bdf (__TEXT,__text) external _cmark_node_get_fence_info
00007ffe06b59d23 (__TEXT,__text) external _cmark_node_get_fenced
00007ffe06b599ba (__TEXT,__text) external _cmark_node_get_heading_level
00007ffe06b59b9a (__TEXT,__text) external _cmark_node_get_item_index
00007ffe06b59acc (__TEXT,__text) external _cmark_node_get_list_delim
00007ffe06b59a4c (__TEXT,__text) external _cmark_node_get_list_marker
00007ffe06b59b15 (__TEXT,__text) external _cmark_node_get_list_start
00007ffe06b59b5a (__TEXT,__text) external _cmark_node_get_list_tight
00007ffe06b59a03 (__TEXT,__text) external _cmark_node_get_list_type
00007ffe06b5973a (__TEXT,__text) external _cmark_node_get_literal
00007ffe06b5a171 (__TEXT,__text) external _cmark_node_get_on_enter
00007ffe06b5a2c5 (__TEXT,__text) external _cmark_node_get_on_exit
00007ffe06b5a456 (__TEXT,__text) external _cmark_node_get_start_column
00007ffe06b5a444 (__TEXT,__text) external _cmark_node_get_start_line
00007ffe06b599a0 (__TEXT,__text) external _cmark_node_get_string_content
00007ffe06b5a419 (__TEXT,__text) external _cmark_node_get_syntax_extension
00007ffe06b59edd (__TEXT,__text) external _cmark_node_get_title
00007ffe06b592f3 (__TEXT,__text) external _cmark_node_get_type
00007ffe06b5949c (__TEXT,__text) external _cmark_node_get_type_string
00007ffe06b59d8d (__TEXT,__text) external _cmark_node_get_url
00007ffe06b596f7 (__TEXT,__text) external _cmark_node_get_user_data
00007ffe06b5a536 (__TEXT,__text) external _cmark_node_insert_after
00007ffe06b5a4b0 (__TEXT,__text) external _cmark_node_insert_before
00007ffe06b59698 (__TEXT,__text) external _cmark_node_last_child
00007ffe06b59206 (__TEXT,__text) external _cmark_node_new
00007ffe06b591e6 (__TEXT,__text) external _cmark_node_new_with_ext
00007ffe06b591fa (__TEXT,__text) external _cmark_node_new_with_mem
00007ffe06b59148 (__TEXT,__text) external _cmark_node_new_with_mem_and_ext
00007ffe06b5964c (__TEXT,__text) external _cmark_node_next
00007ffe06b596ab (__TEXT,__text) external _cmark_node_nth_child
00007ffe06b4b208 (__TEXT,__text) external _cmark_node_own
00007ffe06b59672 (__TEXT,__text) external _cmark_node_parent
00007ffe06b596e1 (__TEXT,__text) external _cmark_node_parent_footnote_def
00007ffe06b5a5f5 (__TEXT,__text) external _cmark_node_prepend_child
00007ffe06b5965f (__TEXT,__text) external _cmark_node_previous
00007ffe06b5a5bc (__TEXT,__text) external _cmark_node_replace
00007ffe06b5a0b4 (__TEXT,__text) external _cmark_node_set_attributes
00007ffe06b59c66 (__TEXT,__text) external _cmark_node_set_fence_info
00007ffe06b59d59 (__TEXT,__text) external _cmark_node_set_fenced
00007ffe06b599d5 (__TEXT,__text) external _cmark_node_set_heading_level
00007ffe06b59bb5 (__TEXT,__text) external _cmark_node_set_item_index
00007ffe06b59ae7 (__TEXT,__text) external _cmark_node_set_list_delim
00007ffe06b59a85 (__TEXT,__text) external _cmark_node_set_list_marker
00007ffe06b59b30 (__TEXT,__text) external _cmark_node_set_list_start
00007ffe06b59b76 (__TEXT,__text) external _cmark_node_set_list_tight
00007ffe06b59a1e (__TEXT,__text) external _cmark_node_set_list_type
00007ffe06b59871 (__TEXT,__text) external _cmark_node_set_literal
00007ffe06b5a202 (__TEXT,__text) external _cmark_node_set_on_enter
00007ffe06b5a356 (__TEXT,__text) external _cmark_node_set_on_exit
00007ffe06b599aa (__TEXT,__text) external _cmark_node_set_string_content
00007ffe06b5a42c (__TEXT,__text) external _cmark_node_set_syntax_extension
00007ffe06b59f6a (__TEXT,__text) external _cmark_node_set_title
00007ffe06b59306 (__TEXT,__text) external _cmark_node_set_type
00007ffe06b59e1a (__TEXT,__text) external _cmark_node_set_url
00007ffe06b5970a (__TEXT,__text) external _cmark_node_set_user_data
00007ffe06b59722 (__TEXT,__text) external _cmark_node_set_user_data_free_func
00007ffe06b5a48c (__TEXT,__text) external _cmark_node_unlink
00007ffe06b5e31a (__TEXT,__text) external _cmark_node_unput
00007ffe06b57537 (__TEXT,__text) external _cmark_parse_document
00007ffe06b56e35 (__TEXT,__text) external _cmark_parse_file
00007ffe06b5a9fd (__TEXT,__text) non-external (was a private external) _cmark_parse_inlines
00007ffe06b61d61 (__TEXT,__text) non-external _cmark_parse_inlines.cold.1
00007ffe06b61e9c (__TEXT,__text) non-external _cmark_parse_inlines.cold.10
00007ffe06b61ebf (__TEXT,__text) non-external _cmark_parse_inlines.cold.11
00007ffe06b61ee2 (__TEXT,__text) non-external _cmark_parse_inlines.cold.12
00007ffe06b61f05 (__TEXT,__text) non-external _cmark_parse_inlines.cold.13
00007ffe06b61f28 (__TEXT,__text) non-external _cmark_parse_inlines.cold.14
00007ffe06b61f4b (__TEXT,__text) non-external _cmark_parse_inlines.cold.15
00007ffe06b61f6e (__TEXT,__text) non-external _cmark_parse_inlines.cold.16
00007ffe06b61f91 (__TEXT,__text) non-external _cmark_parse_inlines.cold.17
00007ffe06b61fb4 (__TEXT,__text) non-external _cmark_parse_inlines.cold.18
00007ffe06b61fd7 (__TEXT,__text) non-external _cmark_parse_inlines.cold.19
00007ffe06b61d84 (__TEXT,__text) non-external _cmark_parse_inlines.cold.2
00007ffe06b61da7 (__TEXT,__text) non-external _cmark_parse_inlines.cold.3
00007ffe06b61dca (__TEXT,__text) non-external _cmark_parse_inlines.cold.4
00007ffe06b61ded (__TEXT,__text) non-external _cmark_parse_inlines.cold.5
00007ffe06b61e10 (__TEXT,__text) non-external _cmark_parse_inlines.cold.6
00007ffe06b61e33 (__TEXT,__text) non-external _cmark_parse_inlines.cold.7
00007ffe06b61e56 (__TEXT,__text) non-external _cmark_parse_inlines.cold.8
00007ffe06b61e79 (__TEXT,__text) non-external _cmark_parse_inlines.cold.9
00007ffe06b5ddaa (__TEXT,__text) non-external (was a private external) _cmark_parse_reference_attributes_inline
00007ffe06b6224b (__TEXT,__text) non-external _cmark_parse_reference_attributes_inline.cold.1
00007ffe06b6226e (__TEXT,__text) non-external _cmark_parse_reference_attributes_inline.cold.2
00007ffe06b62291 (__TEXT,__text) non-external _cmark_parse_reference_attributes_inline.cold.3
00007ffe06b622b4 (__TEXT,__text) non-external _cmark_parse_reference_attributes_inline.cold.4
00007ffe06b622d7 (__TEXT,__text) non-external _cmark_parse_reference_attributes_inline.cold.5
00007ffe06b5d6db (__TEXT,__text) non-external (was a private external) _cmark_parse_reference_inline
00007ffe06b6201d (__TEXT,__text) non-external _cmark_parse_reference_inline.cold.1
00007ffe06b62040 (__TEXT,__text) non-external _cmark_parse_reference_inline.cold.2
00007ffe06b62063 (__TEXT,__text) non-external _cmark_parse_reference_inline.cold.3
00007ffe06b62086 (__TEXT,__text) non-external _cmark_parse_reference_inline.cold.4
00007ffe06b620a9 (__TEXT,__text) non-external _cmark_parse_reference_inline.cold.5
00007ffe06b620cc (__TEXT,__text) non-external _cmark_parse_reference_inline.cold.6
00007ffe06b620ef (__TEXT,__text) non-external _cmark_parse_reference_inline.cold.7
00007ffe06b587cb (__TEXT,__text) external _cmark_parser_add_child
00007ffe06b5889c (__TEXT,__text) external _cmark_parser_advance_offset
00007ffe06b56b00 (__TEXT,__text) external _cmark_parser_attach_syntax_extension
00007ffe06b56d9f (__TEXT,__text) non-external _cmark_parser_dispose
00007ffe06b5758c (__TEXT,__text) external _cmark_parser_feed
00007ffe06b57598 (__TEXT,__text) external _cmark_parser_feed_reentrant
00007ffe06b5708c (__TEXT,__text) external _cmark_parser_finish
00007ffe06b56d2d (__TEXT,__text) external _cmark_parser_free
00007ffe06b5878a (__TEXT,__text) external _cmark_parser_get_column
00007ffe06b58793 (__TEXT,__text) external _cmark_parser_get_first_nonspace
00007ffe06b5879c (__TEXT,__text) external _cmark_parser_get_first_nonspace_column
00007ffe06b587a5 (__TEXT,__text) external _cmark_parser_get_indent
00007ffe06b587c2 (__TEXT,__text) external _cmark_parser_get_last_line_length
00007ffe06b58778 (__TEXT,__text) external _cmark_parser_get_line_number
00007ffe06b58781 (__TEXT,__text) external _cmark_parser_get_offset
00007ffe06b5898d (__TEXT,__text) external _cmark_parser_get_syntax_extensions
00007ffe06b587b8 (__TEXT,__text) external _cmark_parser_has_partially_consumed_tab
00007ffe06b587ae (__TEXT,__text) external _cmark_parser_is_blank
00007ffe06b56d1c (__TEXT,__text) external _cmark_parser_new
00007ffe06b56bb1 (__TEXT,__text) external _cmark_parser_new_with_mem
00007ffe06b56c09 (__TEXT,__text) non-external _cmark_parser_reset
00007ffe06b58980 (__TEXT,__text) external _cmark_parser_set_backslash_ispunct_func
00007ffe06b4aad6 (__TEXT,__text) external _cmark_plugin_free
00007ffe06b4aab6 (__TEXT,__text) external _cmark_plugin_new
00007ffe06b4aa8c (__TEXT,__text) external _cmark_plugin_register_syntax_extension
00007ffe06b4ab06 (__TEXT,__text) external _cmark_plugin_steal_syntax_extensions
00007ffe06b56904 (__TEXT,__text) non-external (was a private external) _cmark_reference_create
00007ffe06b61b4c (__TEXT,__text) non-external _cmark_reference_create.cold.1
00007ffe06b569c9 (__TEXT,__text) non-external (was a private external) _cmark_reference_create_attributes
00007ffe06b61b6d (__TEXT,__text) non-external _cmark_reference_create_attributes.cold.1
00007ffe06b56a67 (__TEXT,__text) non-external (was a private external) _cmark_reference_map_new
00007ffe06b59059 (__TEXT,__text) external _cmark_register_node_flag
00007ffe06b61cd2 (__TEXT,__text) non-external _cmark_register_node_flag.cold.1
00007ffe06b61cf7 (__TEXT,__text) non-external _cmark_register_node_flag.cold.2
00007ffe42e5e0b0 (__DATA_DIRTY,__data) non-external _cmark_register_node_flag.nextflag
00007ffe06b49b6e (__TEXT,__text) external _cmark_register_plugin
00007ffe06b49bee (__TEXT,__text) external _cmark_release_plugins
00007ffe06b49ce2 (__TEXT,__text) non-external (was a private external) _cmark_render
00007ffe06b49c99 (__TEXT,__text) non-external (was a private external) _cmark_render_ascii
00007ffe06b49cc2 (__TEXT,__text) non-external (was a private external) _cmark_render_code_point
00007ffe06b45e4c (__TEXT,__text) external _cmark_render_commonmark
00007ffe06b45e75 (__TEXT,__text) external _cmark_render_commonmark_with_mem
00007ffe06b46e58 (__TEXT,__text) external _cmark_render_html
00007ffe06b46e65 (__TEXT,__text) external _cmark_render_html_with_mem
00007ffe06b619aa (__TEXT,__text) non-external _cmark_render_html_with_mem.cold.1
00007ffe06b4b428 (__TEXT,__text) external _cmark_render_latex
00007ffe06b4b44a (__TEXT,__text) external _cmark_render_latex_with_mem
00007ffe06b484f8 (__TEXT,__text) external _cmark_render_man
00007ffe06b4851a (__TEXT,__text) external _cmark_render_man_with_mem
00007ffe06b5f06c (__TEXT,__text) external _cmark_render_plaintext
00007ffe06b5f095 (__TEXT,__text) external _cmark_render_plaintext_with_mem
00007ffe06b5e790 (__TEXT,__text) external _cmark_render_xml
00007ffe06b5e79d (__TEXT,__text) external _cmark_render_xml_with_mem
00007ffe06b5a804 (__TEXT,__text) non-external (was a private external) _cmark_set_default_skip_chars
00007ffe43333610 (__DATA,__bss) non-external _cmark_set_default_skip_chars.default_skip_chars
00007ffe06b5a990 (__TEXT,__text) non-external (was a private external) _cmark_set_default_special_chars
00007ffe433334e0 (__DATA,__data) non-external _cmark_set_default_special_chars.default_special_chars
00007ffe433335f8 (__DATA,__common) external _cmark_strbuf__initbuf
00007ffe06b563fa (__TEXT,__text) external _cmark_strbuf_clear
00007ffe06b56638 (__TEXT,__text) external _cmark_strbuf_cmp
00007ffe06b56577 (__TEXT,__text) external _cmark_strbuf_copy_cstr
00007ffe06b61b2b (__TEXT,__text) non-external _cmark_strbuf_copy_cstr.cold.1
00007ffe06b56602 (__TEXT,__text) external _cmark_strbuf_detach
00007ffe06b5670e (__TEXT,__text) external _cmark_strbuf_drop
00007ffe06b563c4 (__TEXT,__text) external _cmark_strbuf_free
00007ffe06b5635c (__TEXT,__text) external _cmark_strbuf_grow
00007ffe06b61ae4 (__TEXT,__text) non-external _cmark_strbuf_grow.cold.1
00007ffe06b61b0a (__TEXT,__text) non-external _cmark_strbuf_grow.cold.2
00007ffe06b56331 (__TEXT,__text) external _cmark_strbuf_init
