00000001df323d20 (__DATA,__data) non-external _C
00000001801ec4cc (__TEXT,__text) non-external (was a private external) __GB18030_init
00000001801ec510 (__TEXT,__text) non-external __GB18030_mbrtowc
00000001801ec7a4 (__TEXT,__text) non-external __GB18030_mbsinit
00000001801ec688 (__TEXT,__text) non-external __GB18030_wcrtomb
00000001801ec7c0 (__TEXT,__text) non-external (was a private external) __GB2312_init
00000001801ec804 (__TEXT,__text) non-external __GB2312_mbrtowc
00000001801ec974 (__TEXT,__text) non-external __GB2312_mbsinit
00000001801ec920 (__TEXT,__text) non-external __GB2312_wcrtomb
00000001801ec990 (__TEXT,__text) non-external (was a private external) __GBK_init
00000001801ec9d4 (__TEXT,__text) non-external __GBK_mbrtowc
00000001801ecaf8 (__TEXT,__text) non-external __GBK_mbsinit
00000001801ecaa4 (__TEXT,__text) non-external __GBK_wcrtomb
00000001801ee084 (__TEXT,__text) non-external (was a private external) __MSKanji_init
00000001801ee0c8 (__TEXT,__text) non-external __MSKanji_mbrtowc
00000001801ee214 (__TEXT,__text) non-external __MSKanji_mbsinit
00000001801ee1a8 (__TEXT,__text) non-external __MSKanji_wcrtomb
00000001801cbe60 (__TEXT,__text) external __NSGetArgc
00000001801cbe54 (__TEXT,__text) external __NSGetArgv
00000001801cbe6c (__TEXT,__text) external __NSGetEnviron
00000001801cbe84 (__TEXT,__text) external __NSGetMachExecuteHeader
00000001801cbe78 (__TEXT,__text) external __NSGetProgname
00000001df325b20 (__DATA,__common) external __PathLocale
000000018021b7dc (__TEXT,__text) external __Read_RuneMagi
00000001802129dc (__TEXT,__text) non-external (was a private external) __UTF2_init
0000000180212a40 (__TEXT,__text) non-external __UTF2_mbrtowc
0000000180212c34 (__TEXT,__text) non-external __UTF2_mbsinit
0000000180212c50 (__TEXT,__text) non-external __UTF2_mbsnrtowcs
0000000180212b8c (__TEXT,__text) non-external __UTF2_wcrtomb
0000000180212e04 (__TEXT,__text) non-external __UTF2_wcsnrtombs
00000001801efec8 (__TEXT,__text) non-external (was a private external) __UTF8_init
00000001801eff2c (__TEXT,__text) non-external __UTF8_mbrtowc
00000001801f01e0 (__TEXT,__text) non-external __UTF8_mbsinit
00000001801f01fc (__TEXT,__text) non-external __UTF8_mbsnrtowcs
00000001801f0110 (__TEXT,__text) non-external __UTF8_wcrtomb
00000001801f03b0 (__TEXT,__text) non-external __UTF8_wcsnrtombs
00000001801da9ac (__TEXT,__text) external ___Balloc_D2A
00000001801dab2c (__TEXT,__text) external ___Bfree_D2A
00000001801dedf4 (__TEXT,__text) external ___ULtod_D2A
00000001801c72c0 (__TEXT,__text) external ____mb_cur_max
00000001801c72f0 (__TEXT,__text) external ____mb_cur_max_l
00000001801eee08 (__TEXT,__text) external ____runetype
00000001801eed64 (__TEXT,__text) external ____runetype_l
00000001801efdd8 (__TEXT,__text) external ____tolower
00000001801efd38 (__TEXT,__text) external ____tolower_l
00000001801efea0 (__TEXT,__text) external ____toupper
00000001801efe00 (__TEXT,__text) external ____toupper_l
0000000180233460 (__TEXT,__text) non-external (was a private external) ___abort
00000001801d4c18 (__TEXT,__text) external ___add_ovflpage
00000001801d4988 (__TEXT,__text) external ___addel
00000001801db74c (__TEXT,__text) external ___any_on_D2A
00000001802327b0 (__TEXT,__text) external ___assert_rtn
00000001eb742c90 (__DATA_DIRTY,__bss) non-external ___atexit
0000000180213234 (__TEXT,__text) non-external (was a private external) ___atexit_init
00000001eb742c70 (__DATA_DIRTY,__bss) non-external ___atexit_new_registration
00000001df325ad8 (__DATA,__common) non-external (was a private external) ___atexit_receipt_handler
00000001801db2d8 (__TEXT,__text) external ___b2d_D2A
00000001801d3084 (__TEXT,__text) external ___big_delete
00000001801d2dfc (__TEXT,__text) external ___big_insert
00000001801d3744 (__TEXT,__text) external ___big_keydata
00000001801d33d0 (__TEXT,__text) external ___big_return
00000001801d38c4 (__TEXT,__text) external ___big_split
00000001802354f0 (__TEXT,__const) external ___bigtens_D2A
00000001801cdc1c (__TEXT,__text) external ___bt_close
00000001801d17d8 (__TEXT,__text) external ___bt_cmp
00000001801d189c (__TEXT,__text) external ___bt_defcmp
00000001801d18e0 (__TEXT,__text) external ___bt_defpfx
00000001801ce0cc (__TEXT,__text) external ___bt_delete
00000001801ce6bc (__TEXT,__text) external ___bt_dleaf
00000001801cf4a4 (__TEXT,__text) external ___bt_fd
00000001801d03ec (__TEXT,__text) non-external ___bt_first
00000001801cf7ac (__TEXT,__text) external ___bt_free
00000001801ced5c (__TEXT,__text) external ___bt_get
00000001801cf7d8 (__TEXT,__text) external ___bt_new
00000001801cee4c (__TEXT,__text) external ___bt_open
00000001801ceaa4 (__TEXT,__text) non-external ___bt_pdelete
00000001801cddc0 (__TEXT,__text) external ___bt_pgin
00000001801cdf58 (__TEXT,__text) external ___bt_pgout
00000001801cf854 (__TEXT,__text) external ___bt_put
00000001801ceccc (__TEXT,__text) non-external ___bt_relink
00000001801d1634 (__TEXT,__text) external ___bt_ret
00000001801cfd60 (__TEXT,__text) external ___bt_search
00000001801cff9c (__TEXT,__text) external ___bt_seq
00000001801d0390 (__TEXT,__text) external ___bt_setcur
00000001801d0610 (__TEXT,__text) external ___bt_split
00000001801cdce4 (__TEXT,__text) external ___bt_sync
00000001801d3ec0 (__TEXT,__text) external ___buf_free
00000001801d3e90 (__TEXT,__text) non-external (was a private external) ___buf_init
00000001eb741a60 (__DATA_DIRTY,__data) non-external ___c_locale
0000000180224b10 (__TEXT,__text) non-external ___calc_left_pad
00000001801d2748 (__TEXT,__text) external ___call_hash
00000001df323a00 (__DATA,__data) non-external (was a private external) ___chk_assert_no_overlap
0000000180231328 (__TEXT,__text) non-external (was a private external) ___chk_fail_overflow
0000000180231344 (__TEXT,__text) non-external (was a private external) ___chk_fail_overlap
00000001802312d8 (__TEXT,__text) non-external (was a private external) ___chk_init
0000000180231360 (__TEXT,__text) non-external (was a private external) ___chk_overlap
                 (undefined) external ___chkstk_darwin (from libcompiler_rt)
                 (undefined) external ___chmod_extended (from libsystem_kernel)
00000001eb744560 (__DATA_DIRTY,__common) external ___cleanup
00000001801db11c (__TEXT,__text) external ___cmp_D2A
00000001801eb7b4 (__TEXT,__text) non-external (was a private external) ___collate_collating_symbol
00000001801eb968 (__TEXT,__text) non-external (was a private external) ___collate_equiv_class
00000001801ebad4 (__TEXT,__text) external ___collate_equiv_match
00000001801ebdd8 (__TEXT,__text) non-external (was a private external) ___collate_equiv_value
00000001801eaf48 (__TEXT,__text) non-external (was a private external) ___collate_err
00000001df323e30 (__DATA,__data) external ___collate_load_error
00000001801ea648 (__TEXT,__text) non-external (was a private external) ___collate_load_tables
00000001df325710 (__DATA,__bss) non-external ___collate_load_tables.cache
00000001801eb2bc (__TEXT,__text) external ___collate_lookup
00000001801eb004 (__TEXT,__text) external ___collate_lookup_l
00000001801eb490 (__TEXT,__text) non-external (was a private external) ___collate_lookup_which
00000001801eb39c (__TEXT,__text) non-external (was a private external) ___collate_mbstowcs
00000001801ebf2c (__TEXT,__text) non-external (was a private external) ___collate_range_cmp
00000001df325718 (__DATA,__bss) non-external ___collate_range_cmp.s1
00000001df325720 (__DATA,__bss) non-external ___collate_range_cmp.s2
00000001801ead04 (__TEXT,__text) non-external (was a private external) ___collate_substitute
00000001801eaef4 (__TEXT,__text) non-external (was a private external) ___collate_wcsdup
00000001801eb570 (__TEXT,__text) non-external (was a private external) ___collate_xfrm
                 (undefined) external ___commpage_gettimeofday (from libsystem_kernel)
00000001801bcf7c (__TEXT,__text) non-external (was a private external) ___confstr_init
00000001801db6e0 (__TEXT,__text) external ___copybits_D2A
00000001801bdb64 (__TEXT,__text) non-external (was a private external) ___crypt_des_cipher
00000001801bd570 (__TEXT,__text) non-external (was a private external) ___crypt_des_setkey
00000001df324e10 (__DATA,__bss) non-external ___crypt_des_setkey.des_ready
00000001df325ad0 (__DATA,__common) non-external (was a private external) ___crypt_des_setkey_called
000000018021ad00 (__TEXT,__text) non-external ___cvt
00000001df325a98 (__DATA,__bss) non-external ___cvt.s
0000000180213404 (__TEXT,__text) external ___cxa_atexit
000000018021365c (__TEXT,__text) external ___cxa_finalize
0000000180213438 (__TEXT,__text) external ___cxa_finalize_ranges
00000001802136a4 (__TEXT,__text) external ___cxa_thread_atexit
00000001801db3d8 (__TEXT,__text) external ___d2b_D2A
00000001eb744588 (__DATA_DIRTY,__common) non-external (was a private external) ___darwin_altzone
00000001801d1a10 (__TEXT,__text) non-external ___dberr
00000001801d19f0 (__TEXT,__text) external ___dbpanic
00000001801dcbc0 (__TEXT,__text) external ___decrement_D2A
00000001eb771730 (__AUTH,__data) external ___default_hash
0000000180222eec (__TEXT,__text) external ___default_utx
00000001df323ae0 (__DATA,__data) non-external ___default_utx.once
0000000180222f24 (__TEXT,__text) non-external ___default_utx_init
00000001801d40d0 (__TEXT,__text) external ___delpair
00000001801ef570 (__TEXT,__text) non-external (was a private external) ___detect_path_locale
00000001801db174 (__TEXT,__text) external ___diff_D2A
00000001eb742d10 (__DATA_DIRTY,__bss) non-external ___dirhelper_func
00000001801d7d4c (__TEXT,__text) external ___dtoa
00000001802230b0 (__TEXT,__text) non-external (was a private external) ___endutxent
00000001eb744590 (__DATA_DIRTY,__common) non-external (was a private external) ___env_owned
0000000180213a04 (__TEXT,__text) non-external (was a private external) ___environ_lock
0000000180213a20 (__TEXT,__text) non-external (was a private external) ___environ_lock_fork_child
00000001df325a30 (__DATA,__bss) non-external ___environ_lock_obj
0000000180213a14 (__TEXT,__text) non-external (was a private external) ___environ_unlock
                 (undefined) external ___error (from libsystem_kernel)
000000018020feb8 (__TEXT,__text) non-external (was a private external) ___errstr
00000001801f92c8 (__TEXT,__text) non-external ___evpinit
                 (undefined) external ___exit (from libsystem_kernel)
00000001801d25e4 (__TEXT,__text) external ___expand_table
00000001df325998 (__DATA,__bss) non-external ___fallback_evp
                 (undefined) external ___fchmod_extended (from libsystem_kernel)
                 (undefined) external ___fcntl (from libsystem_kernel)
                 (undefined) external ___fcntl_nocancel (from libsystem_kernel)
00000001801f5f6c (__TEXT,__text) external ___fflush
00000001801f6404 (__TEXT,__text) external ___fgetwc
00000001801f9c50 (__TEXT,__text) non-external (was a private external) ___find_arguments
00000001801d3204 (__TEXT,__text) external ___find_bigpair
00000001801d3334 (__TEXT,__text) external ___find_last_page
00000001801fade0 (__TEXT,__text) non-external (was a private external) ___find_warguments
0000000180213968 (__TEXT,__text) non-external (was a private external) ___findenv_locked
0000000180235690 (__TEXT,__const) non-external (was a private external) ___fivesbits_D2A
00000001801ec3c8 (__TEXT,__text) external ___fix_locale_grouping_str
00000001801ec4a4 (__TEXT,__text) non-external (was a private external) ___fix_nogrouping
                 (undefined) external ___fork (from libsystem_kernel)
                 (undefined) external ___fpclassifyd (from libsystem_m)
00000001801f71bc (__TEXT,__text) non-external (was a private external) ___fputwc
00000001801f7774 (__TEXT,__text) external ___fread
00000001801d55bc (__TEXT,__text) external ___free_ovflpage
00000001801d7bec (__TEXT,__text) external ___freedtoa
                 (undefined) external ___fstat64_extended (from libsystem_kernel)
00000001801bf008 (__TEXT,__text) non-external ___fts_open
00000001801d8bbc (__TEXT,__text) external ___gdtoa
00000001df323a28 (__DATA,__data) external ___gdtoa_locks
00000001801d3a70 (__TEXT,__text) external ___get_buf
00000001801ecfd0 (__TEXT,__text) non-external (was a private external) ___get_current_messages_locale
00000001801ed4ac (__TEXT,__text) non-external (was a private external) ___get_current_monetary_locale
00000001801ed76c (__TEXT,__text) non-external (was a private external) ___get_current_numeric_locale
000000018020f560 (__TEXT,__text) non-external (was a private external) ___get_current_time_locale
00000001801ef2f8 (__TEXT,__text) non-external (was a private external) ___get_locale_env
00000001801d5038 (__TEXT,__text) external ___get_page
00000001801e3228 (__TEXT,__text) non-external ___getcwd
                 (undefined) external ___getdirentries64 (from libsystem_kernel)
00000001eb744508 (__DATA_DIRTY,__bss) non-external ___getevp.predicate
00000001801d9da8 (__TEXT,__text) external ___gethex_D2A
                 (undefined) external ___getlogin (from libsystem_kernel)
00000001801ed78c (__TEXT,__text) external ___getonlyClocaleconv
                 (undefined) external ___gettimeofday (from libsystem_kernel)
00000001802231c0 (__TEXT,__text) non-external (was a private external) ___getutxent
0000000180223558 (__TEXT,__text) non-external ___getutxid
00000001801e3f28 (__TEXT,__text) non-external (was a private external) ___gl_compare
00000001801e3e30 (__TEXT,__text) non-external (was a private external) ___gl_g_Ctoc
00000001801e3f34 (__TEXT,__text) non-external (was a private external) ___gl_globextend
00000001801e3bb0 (__TEXT,__text) non-external (was a private external) ___gl_globtilde
00000001801e40b4 (__TEXT,__text) non-external (was a private external) ___gl_match
00000001801e38dc (__TEXT,__text) non-external ___glob
00000001eb742028 (__DATA_DIRTY,__data) non-external (was a private external) ___global_locale
0000000180212f98 (__TEXT,__text) non-external (was a private external) ___guard_setup
00000001801d1a18 (__TEXT,__text) external ___hash_open
00000001801d77a8 (__TEXT,__text) external ___hdtoa
000000018021b490 (__TEXT,__text) non-external (was a private external) ___heapsort_r
00000001802353d0 (__TEXT,__const) external ___hexdig_D2A
00000001801da86c (__TEXT,__text) external ___hexdig_init_D2A
00000001801da870 (__TEXT,__text) external ___hexnan_D2A
00000001801dad08 (__TEXT,__text) external ___hi0bits_D2A
00000001801d7b34 (__TEXT,__text) external ___hldtoa
00000001801dad80 (__TEXT,__text) external ___i2b_D2A
00000001801d54fc (__TEXT,__text) external ___ibitmap
00000001801f4884 (__TEXT,__text) non-external ___inaddr_to_index
0000000180233000 (__TEXT,__text) non-external ___inaddr_to_index.cold.1
00000001801dcb10 (__TEXT,__text) external ___increment_D2A
00000001802187b4 (__TEXT,__text) non-external (was a private external) ___init__env_owned_locked
00000001801ee8f4 (__TEXT,__text) external ___isctype
00000001801ee8b4 (__TEXT,__text) external ___istype
00000001801eea48 (__TEXT,__text) external ___istype_l
00000001eb742c18 (__DATA_DIRTY,__data) non-external ___kernel_supports_unionfs.kernel_supports_unionfs
                 (undefined) external ___kill (from libsystem_kernel)
00000001801ecd5c (__TEXT,__text) non-external (was a private external) ___ldpart_free_extra
000000018021b740 (__TEXT,__text) external ___ldtoa
00000001801cbb38 (__TEXT,__text) external ___libc_init
00000001801daba4 (__TEXT,__text) external ___lo0bits_D2A
00000001801f9310 (__TEXT,__text) non-external ___loadevp
00000001eb741a18 (__DATA_DIRTY,__data) non-external (was a private external) ___locale_key
00000001801d40a0 (__TEXT,__text) external ___log2
00000001df325b08 (__DATA,__common) non-external (was a private external) ___logname
00000001df323d70 (__DATA,__data) non-external (was a private external) ___logname_mutex
0000000180236280 (__TEXT,__const) non-external (was a private external) ___lowercase_hex
00000001801db00c (__TEXT,__text) external ___lshift_D2A
                 (undefined) external ___lstat64_extended (from libsystem_kernel)
00000001801dcf80 (__TEXT,__text) non-external (was a private external) ___mantbits_D2A
00000001801ee850 (__TEXT,__text) external ___maskrune
00000001801ee9e0 (__TEXT,__text) external ___maskrune_l
00000001801db69c (__TEXT,__text) external ___match_D2A
00000001df323e9c (__DATA,__data) external ___mb_cur_max
00000001df323ea0 (__DATA,__data) external ___mb_sb_limit
0000000180205668 (__TEXT,__text) non-external ___mbsconv
00000001801edc9c (__TEXT,__text) non-external (was a private external) ___mbsnrtowcs_std
00000001802315d0 (__TEXT,__text) external ___memccpy_chk
0000000180231900 (__TEXT,__text) external ___memcpy_chk
000000018023153c (__TEXT,__text) external ___memmove_chk
00000001802313a4 (__TEXT,__text) external ___memset_chk
00000001801ecd6c (__TEXT,__text) non-external (was a private external) ___messages_load_locale
00000001df325728 (__DATA,__bss) non-external ___messages_load_locale.cache
                 (undefined) external ___mkdir_extended (from libsystem_kernel)
                 (undefined) external ___mkfifo_extended (from libsystem_kernel)
00000001801ecff0 (__TEXT,__text) non-external (was a private external) ___monetary_load_locale
00000001df325738 (__DATA,__bss) non-external ___monetary_load_locale.cache
00000001801dadb0 (__TEXT,__text) external ___mult_D2A
00000001801dac58 (__TEXT,__text) external ___multadd_D2A
00000001801f5808 (__TEXT,__text) non-external ___nls_free_resources
0000000180235cdd (__TEXT,__const) non-external ___nogrouping
00000001801d7b94 (__TEXT,__text) external ___nrv_alloc_D2A
00000001801c6f44 (__TEXT,__text) non-external (was a private external) ___numeric_ctype
00000001801ed4cc (__TEXT,__text) non-external (was a private external) ___numeric_load_locale
00000001df325748 (__DATA,__bss) non-external ___numeric_load_locale.cache
                 (undefined) external ___open (from libsystem_kernel)
                 (undefined) external ___open_extended (from libsystem_kernel)
                 (undefined) external ___open_nocancel (from libsystem_kernel)
00000001801ef618 (__TEXT,__text) non-external (was a private external) ___open_path_locale
00000001801e52f0 (__TEXT,__text) external ___opendir2
00000001801e53f8 (__TEXT,__text) non-external ___opendir_common
00000001801cf6e0 (__TEXT,__text) external ___ovfl_delete
00000001801cf4fc (__TEXT,__text) external ___ovfl_get
00000001801cf5e4 (__TEXT,__text) external ___ovfl_put
0000000180202964 (__TEXT,__text) non-external (was a private external) ___parsefloat_buf
00000001eb742d08 (__DATA_DIRTY,__bss) non-external ___parsefloat_buf.bsiz
00000001eb742d00 (__DATA_DIRTY,__bss) non-external ___parsefloat_buf.parsefloat_tsd_key
00000001eb742bd8 (__DATA_DIRTY,__data) non-external ___parsefloat_buf.parsefloat_tsd_lock
00000001801ecb14 (__TEXT,__text) non-external (was a private external) ___part_load_locale
                 (undefined) external ___platform_sigaction (from libsystem_platform)
00000001df325b10 (__DATA,__common) non-external (was a private external) ___popen_pidlist
00000001df323db0 (__DATA,__data) non-external (was a private external) ___popen_pidlist_mutex
00000001801daee8 (__TEXT,__text) external ___pow5mult_D2A
00000001802354e0 (__TEXT,__const) non-external ___pow5mult_D2A.p05
0000000180220ef8 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_chr
00000001802338a0 (__TEXT,__text) non-external ___printf_arginfo_chr.cold.1
000000018021f3a4 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_errno
00000001802336c4 (__TEXT,__text) non-external ___printf_arginfo_errno.cold.1
000000018021f4b4 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_float
00000001802336f0 (__TEXT,__text) non-external ___printf_arginfo_float.cold.1
000000018021fea0 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_hexdump
0000000180233748 (__TEXT,__text) non-external ___printf_arginfo_hexdump.cold.1
0000000180220138 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_int
0000000180233774 (__TEXT,__text) non-external ___printf_arginfo_int.cold.1
00000001802216e8 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_n
0000000180233924 (__TEXT,__text) non-external ___printf_arginfo_n.cold.1
00000001802216d0 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_pct
000000018022088c (__TEXT,__text) non-external (was a private external) ___printf_arginfo_ptr
000000018023381c (__TEXT,__text) non-external ___printf_arginfo_ptr.cold.1
0000000180220944 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_quote
0000000180233848 (__TEXT,__text) non-external ___printf_arginfo_quote.cold.1
0000000180220c04 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_str
0000000180233874 (__TEXT,__text) non-external ___printf_arginfo_str.cold.1
0000000180221084 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_time
00000001802338cc (__TEXT,__text) non-external ___printf_arginfo_time.cold.1
0000000180221378 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_vis
00000001802338f8 (__TEXT,__text) non-external ___printf_arginfo_vis.cold.1
0000000180221928 (__TEXT,__text) non-external (was a private external) ___printf_comp
00000001802221bc (__TEXT,__text) non-external (was a private external) ___printf_exec
00000001802214d4 (__TEXT,__text) non-external (was a private external) ___printf_flush
00000001801fd92c (__TEXT,__text) non-external (was a private external) ___printf_is_memory_read_only
000000018022161c (__TEXT,__text) non-external (was a private external) ___printf_out
0000000180221578 (__TEXT,__text) non-external (was a private external) ___printf_pad
000000018022150c (__TEXT,__text) non-external (was a private external) ___printf_puts
0000000180220f40 (__TEXT,__text) non-external (was a private external) ___printf_render_chr
000000018021f3cc (__TEXT,__text) non-external (was a private external) ___printf_render_errno
000000018021f504 (__TEXT,__text) non-external (was a private external) ___printf_render_float
000000018023371c (__TEXT,__text) non-external ___printf_render_float.cold.1
000000018021fed0 (__TEXT,__text) non-external (was a private external) ___printf_render_hexdump
00000001802201cc (__TEXT,__text) non-external (was a private external) ___printf_render_int
00000001802337a0 (__TEXT,__text) non-external ___printf_render_int.cold.1
00000001802337f0 (__TEXT,__text) non-external ___printf_render_int.cold.2
0000000180221710 (__TEXT,__text) non-external (was a private external) ___printf_render_n
00000001802216d8 (__TEXT,__text) non-external (was a private external) ___printf_render_pct
00000001802208c4 (__TEXT,__text) non-external (was a private external) ___printf_render_ptr
000000018022096c (__TEXT,__text) non-external (was a private external) ___printf_render_quote
0000000180220c44 (__TEXT,__text) non-external (was a private external) ___printf_render_str
00000001802210ac (__TEXT,__text) non-external (was a private external) ___printf_render_time
00000001802213a0 (__TEXT,__text) non-external (was a private external) ___printf_render_vis
00000001801e2d18 (__TEXT,__text) non-external (was a private external) ___private_getcwd
00000001eb742cb0 (__DATA_DIRTY,__bss) non-external ___progname_pointer
                 (undefined) external ___pthread_workqueue_setkill (from libsystem_pthread)
00000001801d5210 (__TEXT,__text) external ___put_page
0000000180235dc8 (__TEXT,__const) non-external (was a private external) ___puts_null__
0000000180223824 (__TEXT,__text) non-external (was a private external) ___pututxline
00000001801d7c00 (__TEXT,__text) external ___quorem_D2A
00000001801db5fc (__TEXT,__text) external ___ratio_D2A
00000001801d5f7c (__TEXT,__text) external ___rec_close
00000001801d6234 (__TEXT,__text) external ___rec_delete
00000001801d6380 (__TEXT,__text) external ___rec_dleaf
00000001801d6d24 (__TEXT,__text) external ___rec_fd
00000001801d67f8 (__TEXT,__text) external ___rec_fmap
00000001801d65b0 (__TEXT,__text) external ___rec_fpipe
00000001801d64a8 (__TEXT,__text) external ___rec_get
00000001801d7034 (__TEXT,__text) external ___rec_iput
00000001801d69ec (__TEXT,__text) external ___rec_open
00000001801d6d7c (__TEXT,__text) external ___rec_put
00000001801d7634 (__TEXT,__text) external ___rec_ret
00000001801d7270 (__TEXT,__text) external ___rec_search
00000001801d7440 (__TEXT,__text) external ___rec_seq
00000001801d6034 (__TEXT,__text) external ___rec_sync
00000001801d6918 (__TEXT,__text) external ___rec_vmap
00000001801d66d4 (__TEXT,__text) external ___rec_vpipe
00000001801d3f98 (__TEXT,__text) external ___reclaim_buf
                 (undefined) external ___recvfrom (from libsystem_kernel)
                 (undefined) external ___recvfrom_nocancel (from libsystem_kernel)
00000001801da720 (__TEXT,__text) external ___rshift_D2A
0000000180235244 (__TEXT,__const) non-external (was a private external) ___rune_depreciated_msg
00000001801dccbc (__TEXT,__text) non-external (was a private external) ___rvOK_D2A
00000001801d7b38 (__TEXT,__text) external ___rv_alloc_D2A
00000001801db510 (__TEXT,__text) external ___s2b_D2A
00000001eb742980 (__DATA_DIRTY,__data) external ___sF
00000001eb742710 (__DATA_DIRTY,__data) non-external ___sFX
00000001801fca1c (__TEXT,__text) external ___sclose
00000001eb742cc8 (__DATA_DIRTY,__bss) non-external ___scounted
00000001eb744568 (__DATA_DIRTY,__common) external ___sdidinit
                 (undefined) external ___semwait_signal (from libsystem_kernel)
                 (undefined) external ___semwait_signal_nocancel (from libsystem_kernel)
                 (undefined) external ___sendto (from libsystem_kernel)
