                 (undefined) external __DefaultRuneLocale (from libSystem)
                 (undefined) external ___error (from libSystem)
                 (undefined) external ___maskrune (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
                 (undefined) external _atoi (from libSystem)
000000018f2436b0 (__TEXT,__text) non-external _au_assemble
000000018f24d12c (__TEXT,__text) external _au_to_text
000000018f24f3c8 (__TEXT,__text) external _au_to_trailer
000000018f24eb7c (__TEXT,__text) external _au_to_zonename
000000018f24f7d8 (__TEXT,__text) external _au_user_mask
000000018f24352c (__TEXT,__text) external _au_write
                 (undefined) external _audit (from libSystem)
00000001ea062978 (__DATA,__bss) non-external _audit_free_q
000000018f250de4 (__TEXT,__text) external _audit_get_car
000000018f250a90 (__TEXT,__text) external _audit_get_class
000000018f24fc9c (__TEXT,__text) external _audit_get_cond
000000018f250df4 (__TEXT,__text) external _audit_get_ctlmode
000000018f250dd4 (__TEXT,__text) external _audit_get_cwd
000000018f250e40 (__TEXT,__text) external _audit_get_expire_after
000000018f250bc0 (__TEXT,__text) external _audit_get_fsize
000000018f2509f8 (__TEXT,__text) external _audit_get_kaudit
000000018f250b28 (__TEXT,__text) external _audit_get_kmask
000000018f250ca4 (__TEXT,__text) external _audit_get_pinfo
000000018f250cf0 (__TEXT,__text) external _audit_get_pinfo_addr
000000018f250708 (__TEXT,__text) external _audit_get_policy
000000018f250880 (__TEXT,__text) external _audit_get_qctrl
000000018f2507f8 (__TEXT,__text) external _audit_get_sflags
000000018f250838 (__TEXT,__text) external _audit_get_sflags_mask
000000018f242f84 (__TEXT,__text) external _audit_get_sinfo_addr
000000018f250d3c (__TEXT,__text) external _audit_get_stat
00000001ea062970 (__DATA,__bss) non-external _audit_rec_count
000000018f2509e8 (__TEXT,__text) external _audit_send_trigger
000000018f250adc (__TEXT,__text) external _audit_set_class
000000018f250690 (__TEXT,__text) external _audit_set_cond
000000018f250c0c (__TEXT,__text) external _audit_set_fsize
000000018f250a44 (__TEXT,__text) external _audit_set_kaudit
000000018f250b74 (__TEXT,__text) external _audit_set_kmask
000000018f250c58 (__TEXT,__text) external _audit_set_pmask
000000018f250780 (__TEXT,__text) external _audit_set_policy
000000018f250934 (__TEXT,__text) external _audit_set_qctrl
000000018f250808 (__TEXT,__text) external _audit_set_sflags
000000018f25085c (__TEXT,__text) external _audit_set_sflags_mask
000000018f250d88 (__TEXT,__text) external _audit_set_stat
000000018f24fe44 (__TEXT,__text) non-external _audit_set_terminal_host
000000018f24fd14 (__TEXT,__text) external _audit_set_terminal_id
000000018f24ff08 (__TEXT,__text) external _audit_set_terminal_id_ex
000000018f24fd68 (__TEXT,__text) non-external _audit_set_terminal_port
000000018f24f974 (__TEXT,__text) external _audit_submit
000000018f242718 (__TEXT,__text) external _audit_token_to_asid
000000018f242758 (__TEXT,__text) external _audit_token_to_au32
000000018f242738 (__TEXT,__text) external _audit_token_to_auid
000000018f242740 (__TEXT,__text) external _audit_token_to_egid
000000018f242728 (__TEXT,__text) external _audit_token_to_euid
000000018f242720 (__TEXT,__text) external _audit_token_to_pid
000000018f242750 (__TEXT,__text) external _audit_token_to_pidversion
000000018f242748 (__TEXT,__text) external _audit_token_to_rgid
000000018f242730 (__TEXT,__text) external _audit_token_to_ruid
000000018f24ff5c (__TEXT,__text) external _audit_write
000000018f25030c (__TEXT,__text) external _audit_write_failure
000000018f250418 (__TEXT,__text) external _audit_write_failure_ex
000000018f250608 (__TEXT,__text) external _audit_write_failure_na
000000018f25064c (__TEXT,__text) external _audit_write_failure_na_ex
000000018f250524 (__TEXT,__text) external _audit_write_failure_self
000000018f250118 (__TEXT,__text) external _audit_write_success
000000018f2501cc (__TEXT,__text) external _audit_write_success_ex
000000018f250280 (__TEXT,__text) external _audit_write_success_self
                 (undefined) external _auditon (from libSystem)
000000018f24b6ec (__TEXT,__text) non-external _be64dec
000000018f2513e8 (__TEXT,__const) non-external _bsm_domains
00000001e64ce5f8 (__DATA_CONST,__const) non-external _bsm_errnos
000000018f251670 (__TEXT,__const) non-external _bsm_fcntl_cmdtab
000000018f251610 (__TEXT,__const) non-external _bsm_socket_types
                 (undefined) external _bzero (from libSystem)
000000018f24c5c0 (__TEXT,__text) external _cannot_audit
                 (undefined) external _clearerr (from libSystem)
000000018f24bae4 (__TEXT,__text) non-external _close_tag
                 (undefined) external _ctime_r (from libSystem)
000000018f244404 (__TEXT,__text) external _endac
000000018f243f54 (__TEXT,__text) external _endauclass
000000018f244f30 (__TEXT,__text) external _endauevent
000000018f24f4c8 (__TEXT,__text) external _endauuser
00000001ea062d40 (__DATA,__bss) non-external _ev_cache
000000018f24537c (__TEXT,__text) non-external _eventfromstr
                 (undefined) external _fclose (from libSystem)
                 (undefined) external _ferror (from libSystem)
000000018f246d74 (__TEXT,__text) non-external _fetch_arb_tok
000000018f245cc4 (__TEXT,__text) non-external _fetch_arg32_tok
000000018f245d48 (__TEXT,__text) non-external _fetch_arg64_tok
000000018f245dcc (__TEXT,__text) non-external _fetch_attr32_tok
000000018f245e90 (__TEXT,__text) non-external _fetch_attr64_tok
000000018f246e04 (__TEXT,__text) non-external _fetch_cert_hash_tok
000000018f245fd8 (__TEXT,__text) non-external _fetch_execarg_tok
000000018f245fd8 (__TEXT,__text) non-external _fetch_execenv_tok
000000018f245f84 (__TEXT,__text) non-external _fetch_exit_tok
000000018f246070 (__TEXT,__text) non-external _fetch_file_tok
000000018f24586c (__TEXT,__text) non-external _fetch_header32_ex_tok
000000018f2457a4 (__TEXT,__text) non-external _fetch_header32_tok
000000018f245ae4 (__TEXT,__text) non-external _fetch_header64_ex_tok
000000018f2459ec (__TEXT,__text) non-external _fetch_header64_tok
000000018f246e9c (__TEXT,__text) non-external _fetch_identity_tok
000000018f246168 (__TEXT,__text) non-external _fetch_inaddr_ex_tok
000000018f246208 (__TEXT,__text) non-external _fetch_ip_tok
000000018f246314 (__TEXT,__text) non-external _fetch_ipc_tok
000000018f246364 (__TEXT,__text) non-external _fetch_ipcperm_tok
000000018f246e04 (__TEXT,__text) non-external _fetch_krb5_principal_tok
000000018f2460f8 (__TEXT,__text) non-external _fetch_newgroups_tok
000000018f246444 (__TEXT,__text) non-external _fetch_process32_tok
000000018f246558 (__TEXT,__text) non-external _fetch_process32ex_tok
000000018f2466d8 (__TEXT,__text) non-external _fetch_process64_tok
000000018f24681c (__TEXT,__text) non-external _fetch_process64ex_tok
000000018f246314 (__TEXT,__text) non-external _fetch_return32_tok
000000018f2469a4 (__TEXT,__text) non-external _fetch_return64_tok
000000018f246ba4 (__TEXT,__text) non-external _fetch_sock_inet128_tok
000000018f246a90 (__TEXT,__text) non-external _fetch_sock_inet32_tok
000000018f246afc (__TEXT,__text) non-external _fetch_sock_unix_tok
000000018f2469f4 (__TEXT,__text) non-external _fetch_socket_tok
000000018f246c10 (__TEXT,__text) non-external _fetch_socketex32_tok
000000018f246444 (__TEXT,__text) non-external _fetch_subject32_tok
000000018f246558 (__TEXT,__text) non-external _fetch_subject32ex_tok
000000018f2466d8 (__TEXT,__text) non-external _fetch_subject64_tok
000000018f24681c (__TEXT,__text) non-external _fetch_subject64ex_tok
000000018f245c6c (__TEXT,__text) non-external _fetch_trailer_tok
                 (undefined) external _fgetc (from libSystem)
                 (undefined) external _fgets (from libSystem)
                 (undefined) external _fileno (from libSystem)
00000001ea062d38 (__DATA,__bss) non-external _firsttime
000000018f24c3ac (__TEXT,__text) non-external _flush_cache
                 (undefined) external _fopen (from libSystem)
00000001ec87a288 (__DATA_DIRTY,__bss) non-external _fp
00000001ec87a290 (__DATA_DIRTY,__bss) non-external _fp
00000001ec87a298 (__DATA_DIRTY,__bss) non-external _fp
00000001ec87a2a0 (__DATA_DIRTY,__bss) non-external _fp
                 (undefined) external _fprintf (from libSystem)
                 (undefined) external _fputc (from libSystem)
                 (undefined) external _fputs (from libSystem)
                 (undefined) external _fread (from libSystem)
                 (undefined) external _free (from libSystem)
                 (undefined) external _fseek (from libSystem)
                 (undefined) external _fstat (from libSystem)
                 (undefined) external _fwrite (from libSystem)
000000018f244458 (__TEXT,__text) external _getacdir
000000018f244b80 (__TEXT,__text) external _getacexpire
000000018f2446f4 (__TEXT,__text) external _getacfilesz
000000018f24489c (__TEXT,__text) external _getacflg
000000018f244ad0 (__TEXT,__text) external _getachost
000000018f244670 (__TEXT,__text) external _getacmin
000000018f24494c (__TEXT,__text) external _getacna
000000018f2449fc (__TEXT,__text) external _getacpol
000000018f244aac (__TEXT,__text) external _getacsflagsmask
000000018f243d04 (__TEXT,__text) external _getauclassent
00000001ea062a70 (__DATA,__bss) non-external _getauclassent.c
00000001ea062a28 (__DATA,__bss) non-external _getauclassent.class_ent_desc
00000001ea062a20 (__DATA,__bss) non-external _getauclassent.class_ent_name
00000001ea062a88 (__DATA,__bss) non-external _getauclassent.cp
000000018f243b64 (__TEXT,__text) external _getauclassent_r
000000018f243bac (__TEXT,__text) non-external _getauclassent_r_locked
000000018f243e5c (__TEXT,__text) external _getauclassnam
00000001ea062ae0 (__DATA,__bss) non-external _getauclassnam.c
00000001ea062a98 (__DATA,__bss) non-external _getauclassnam.class_ent_desc
00000001ea062a90 (__DATA,__bss) non-external _getauclassnam.class_ent_name
000000018f243dd0 (__TEXT,__text) external _getauclassnam_r
000000018f243f18 (__TEXT,__text) external _getauclassnum
00000001ea062b48 (__DATA,__bss) non-external _getauclassnum.c
00000001ea062b00 (__DATA,__bss) non-external _getauclassnum.class_ent_desc
00000001ea062af8 (__DATA,__bss) non-external _getauclassnum.class_ent_name
000000018f243e98 (__TEXT,__text) external _getauclassnum_r
                 (undefined) external _getaudit_addr (from libSystem)
000000018f2454ac (__TEXT,__text) external _getauditflagsbin
000000018f245614 (__TEXT,__text) external _getauditflagschar
000000018f245048 (__TEXT,__text) external _getauevent
00000001ea062bb8 (__DATA,__bss) non-external _getauevent.e
00000001ea062b86 (__DATA,__bss) non-external _getauevent.event_ent_desc
00000001ea062b68 (__DATA,__bss) non-external _getauevent.event_ent_name
000000018f244f84 (__TEXT,__text) external _getauevent_r
000000018f245178 (__TEXT,__text) external _getauevnam
00000001ea062c28 (__DATA,__bss) non-external _getauevnam.e
00000001ea062bf6 (__DATA,__bss) non-external _getauevnam.event_ent_desc
00000001ea062bd8 (__DATA,__bss) non-external _getauevnam.event_ent_name
000000018f245088 (__TEXT,__text) external _getauevnam_r
000000018f24536c (__TEXT,__text) external _getauevnonam
00000001ea062d30 (__DATA,__bss) non-external _getauevnonam.event
000000018f2452e8 (__TEXT,__text) external _getauevnonam_r
00000001ea062d08 (__DATA,__bss) non-external _getauevnonam_r.e
00000001ea062d28 (__DATA,__bss) non-external _getauevnonam_r.ep
00000001ea062cd6 (__DATA,__bss) non-external _getauevnonam_r.event_ent_desc
00000001ea062cb8 (__DATA,__bss) non-external _getauevnonam_r.event_ent_name
000000018f2452a4 (__TEXT,__text) external _getauevnum
00000001ea062c98 (__DATA,__bss) non-external _getauevnum.e
00000001ea062c66 (__DATA,__bss) non-external _getauevnum.event_ent_desc
00000001ea062c48 (__DATA,__bss) non-external _getauevnum.event_ent_name
000000018f2451bc (__TEXT,__text) external _getauevnum_r
000000018f24f6b4 (__TEXT,__text) external _getauuserent
00000001ea062d80 (__DATA,__bss) non-external _getauuserent.u
00000001ea062d48 (__DATA,__bss) non-external _getauuserent.user_ent_name
000000018f24f51c (__TEXT,__text) external _getauuserent_r
000000018f24f564 (__TEXT,__text) non-external _getauuserent_r_locked
000000018f24f7a8 (__TEXT,__text) external _getauusernam
00000001ea062dd0 (__DATA,__bss) non-external _getauusernam.u
00000001ea062d98 (__DATA,__bss) non-external _getauusernam.user_ent_name
000000018f24f720 (__TEXT,__text) external _getauusernam_r
                 (undefined) external _getegid (from libSystem)
                 (undefined) external _geteuid (from libSystem)
000000018f24f89c (__TEXT,__text) external _getfauditflags
                 (undefined) external _getgid (from libSystem)
                 (undefined) external _getgrgid (from libSystem)
                 (undefined) external _getpid (from libSystem)
                 (undefined) external _getpwuid (from libSystem)
000000018f244504 (__TEXT,__text) non-external _getstrfromtype_locked
                 (undefined) external _gettimeofday (from libSystem)
                 (undefined) external _getuid (from libSystem)
                 (undefined) external _inet_ntoa (from libSystem)
                 (undefined) external _inet_ntop (from libSystem)
                 (undefined) external _ioctl (from libSystem)
00000001ec879e80 (__DATA_DIRTY,__bss) non-external _linestr
00000001ec879f80 (__DATA_DIRTY,__bss) non-external _linestr
00000001ec87a082 (__DATA_DIRTY,__bss) non-external _linestr
00000001ec87a188 (__DATA_DIRTY,__bss) non-external _linestr
000000018f24c2dc (__TEXT,__text) non-external _load_event_table
                 (undefined) external _malloc_type_malloc (from libSystem)
                 (undefined) external _memchr (from libSystem)
                 (undefined) external _memcpy (from libSystem)
00000001ec879d00 (__DATA_DIRTY,__data) non-external _mutex
00000001ec879d40 (__DATA_DIRTY,__data) non-external _mutex
00000001ec879d80 (__DATA_DIRTY,__data) non-external _mutex
00000001ec879dc0 (__DATA_DIRTY,__data) non-external _mutex
00000001ec879e00 (__DATA_DIRTY,__data) non-external _mutex
00000001ec879e40 (__DATA_DIRTY,__data) non-external _mutex
                 (undefined) external _notify_cancel (from libSystem)
                 (undefined) external _notify_check (from libSystem)
                 (undefined) external _notify_register_check (from libSystem)
00000001ea062980 (__DATA,__bss) non-external _open_desc_table
000000018f24b980 (__TEXT,__text) non-external _print_event
000000018f24bf60 (__TEXT,__text) non-external _print_group
000000018f24bc44 (__TEXT,__text) non-external _print_ip_ex_address
000000018f24c078 (__TEXT,__text) non-external _print_ipctype
000000018f24bfe4 (__TEXT,__text) non-external _print_mem
000000018f24c114 (__TEXT,__text) non-external _print_retval
000000018f24ba50 (__TEXT,__text) non-external _print_sec32
000000018f24bd30 (__TEXT,__text) non-external _print_sec64
000000018f24bdc0 (__TEXT,__text) non-external _print_string
000000018f24b6f8 (__TEXT,__text) non-external _print_tok_type
000000018f24bedc (__TEXT,__text) non-external _print_user
                 (undefined) external _pthread_mutex_lock (from libSystem)
                 (undefined) external _pthread_mutex_unlock (from libSystem)
000000018f244330 (__TEXT,__text) external _setac
000000018f244374 (__TEXT,__text) non-external _setac_locked
00000001ea062b60 (__DATA,__bss) non-external _setac_locked.lastctime
000000018f243d80 (__TEXT,__text) external _setauclass
000000018f244ee0 (__TEXT,__text) external _setauevent
000000018f24f478 (__TEXT,__text) external _setauuser
000000018f244d5c (__TEXT,__text) non-external _setexpirecond
                 (undefined) external _sscanf (from libSystem)
                 (undefined) external _stat (from libSystem)
                 (undefined) external _strcasestr (from libSystem)
                 (undefined) external _strcmp (from libSystem)
                 (undefined) external _strdup (from libSystem)
                 (undefined) external _strerror (from libSystem)
                 (undefined) external _strlcat (from libSystem)
                 (undefined) external _strlcpy (from libSystem)
                 (undefined) external _strlen (from libSystem)
                 (undefined) external _strncmp (from libSystem)
                 (undefined) external _strrchr (from libSystem)
                 (undefined) external _strsep (from libSystem)
                 (undefined) external _strtok_r (from libSystem)
                 (undefined) external _strtoul (from libSystem)
                 (undefined) external _sysctl (from libSystem)
                 (undefined) external _syslog$DARWIN_EXTSN (from libSystem)
00000001ec87a2ac (__DATA_DIRTY,__bss) non-external _token
                 (undefined) external _vsnprintf (from libSystem)
