00007ffa11e14ba8 (__TEXT,__text) non-external +[NFPromise new]
00007ffa11e19bd7 (__TEXT,__text) non-external -[NFEventManager triggerOnceWhenAnyEventHasOccurred:block:].cold.1
00007ffa11e128b1 (__TEXT,__text) non-external -[NFEventManager triggers]
00007ffa11e129ed (__TEXT,__text) non-external -[NFEventTrigger .cxx_destruct]
00007ffa11e129cf (__TEXT,__text) non-external -[NFEventTrigger block]
00007ffa11e129c5 (__TEXT,__text) non-external -[NFEventTrigger events]
00007ffa11e129e3 (__TEXT,__text) non-external -[NFEventTrigger fireOnAny]
00007ffa11e129d9 (__TEXT,__text) non-external -[NFEventTrigger fireOnce]
00007ffa11e128e3 (__TEXT,__text) non-external -[NFEventTrigger initWithKey:fireOnce:fireOnAny:events:block:]
00007ffa11e129bb (__TEXT,__text) non-external -[NFEventTrigger key]
00007ffa11e1443f (__TEXT,__text) non-external -[NFLazy .cxx_destruct]
00007ffa11e1442b (__TEXT,__text) non-external -[NFLazy constructor]
00007ffa11e14225 (__TEXT,__text) non-external -[NFLazy initWithConstructor:]
00007ffa11e14435 (__TEXT,__text) non-external -[NFLazy lock]
00007ffa11e1439f (__TEXT,__text) non-external -[NFLazy reset]
00007ffa11e142d1 (__TEXT,__text) non-external -[NFLazy value]
00007ffa11e195a3 (__TEXT,__text) non-external -[NFMultiDelegate .cxx_destruct]
00007ffa11e18d30 (__TEXT,__text) non-external -[NFMultiDelegate addDelegate:]
00007ffa11e19574 (__TEXT,__text) non-external -[NFMultiDelegate children]
00007ffa11e18f5b (__TEXT,__text) non-external -[NFMultiDelegate conformsToProtocol:]
00007ffa11e1957e (__TEXT,__text) non-external -[NFMultiDelegate delegateProtocol]
00007ffa11e18d27 (__TEXT,__text) non-external -[NFMultiDelegate delegate]
00007ffa11e1938f (__TEXT,__text) non-external -[NFMultiDelegate forwardInvocation:]
00007ffa11e18c18 (__TEXT,__text) non-external -[NFMultiDelegate initWithDelegate:delegateProtocol:]
00007ffa11e18c2d (__TEXT,__text) non-external -[NFMultiDelegate initWithDelegate:delegateProtocol:options:]
00007ffa11e19588 (__TEXT,__text) non-external -[NFMultiDelegate lock]
00007ffa11e1919f (__TEXT,__text) non-external -[NFMultiDelegate methodSignatureForSelector:]
00007ffa11e18dcb (__TEXT,__text) non-external -[NFMultiDelegate removeDelegate:]
00007ffa11e18e66 (__TEXT,__text) non-external -[NFMultiDelegate replaceDelegate:withDelegate:]
00007ffa11e18fe9 (__TEXT,__text) non-external -[NFMultiDelegate respondsToSelector:]
00007ffa11e19592 (__TEXT,__text) non-external -[NFMultiDelegate setLock:]
00007ffa11e1778c (__TEXT,__text) non-external -[NFMutexLock dealloc]
00007ffa11e176f8 (__TEXT,__text) non-external -[NFMutexLock initWithOptions:]
00007ffa11e176e4 (__TEXT,__text) non-external -[NFMutexLock init]
00007ffa11e17815 (__TEXT,__text) non-external -[NFMutexLock lock]
00007ffa11e177c6 (__TEXT,__text) non-external -[NFMutexLock performWithLockSync:]
00007ffa11e17823 (__TEXT,__text) non-external -[NFMutexLock unlock]
00007ffa11e118e5 (__TEXT,__text) non-external -[NFPendingPromise .cxx_destruct]
00007ffa11e11753 (__TEXT,__text) non-external -[NFPendingPromise init]
00007ffa11e11898 (__TEXT,__text) non-external -[NFPendingPromise promise]
00007ffa11e118cc (__TEXT,__text) non-external -[NFPendingPromise reject]
00007ffa11e118b3 (__TEXT,__text) non-external -[NFPendingPromise resolve]
00007ffa11e118a2 (__TEXT,__text) non-external -[NFPendingPromise setPromise:]
00007ffa11e118d6 (__TEXT,__text) non-external -[NFPendingPromise setReject:]
00007ffa11e118bd (__TEXT,__text) non-external -[NFPendingPromise setResolve:]
00007ffa11e15d9f (__TEXT,__text) non-external -[NFPromise .cxx_destruct]
00007ffa11e14cbe (__TEXT,__text) non-external -[NFPromise always:]
00007ffa11e152dc (__TEXT,__text) non-external -[NFPromise alwaysOn:always:]
00007ffa11e14c46 (__TEXT,__text) non-external -[NFPromise dealloc]
00007ffa11e15c55 (__TEXT,__text) non-external -[NFPromise delayOn]
00007ffa11e15b83 (__TEXT,__text) non-external -[NFPromise delay]
00007ffa11e14ca2 (__TEXT,__text) non-external -[NFPromise error:]
00007ffa11e15242 (__TEXT,__text) non-external -[NFPromise errorOn:error:]
00007ffa11e15705 (__TEXT,__text) non-external -[NFPromise errorOn]
00007ffa11e15648 (__TEXT,__text) non-external -[NFPromise error]
00007ffa11e14bc4 (__TEXT,__text) non-external -[NFPromise initWithError:]
00007ffa11e14936 (__TEXT,__text) non-external -[NFPromise initWithResolver:]
00007ffa11e14b26 (__TEXT,__text) non-external -[NFPromise initWithValue:]
00007ffa11e147cb (__TEXT,__text) non-external -[NFPromise init]
00007ffa11e1553c (__TEXT,__text) non-external -[NFPromise pipeOn]
00007ffa11e1543a (__TEXT,__text) non-external -[NFPromise pipe]
00007ffa11e159aa (__TEXT,__text) non-external -[NFPromise resolveOn]
00007ffa11e1576f (__TEXT,__text) non-external -[NFPromise resolve]
00007ffa11e15d84 (__TEXT,__text) non-external -[NFPromise seal]
00007ffa11e15d8e (__TEXT,__text) non-external -[NFPromise setSeal:]
00007ffa11e14c86 (__TEXT,__text) non-external -[NFPromise then:]
00007ffa11e14cda (__TEXT,__text) non-external -[NFPromise thenOn:then:]
00007ffa11e153d0 (__TEXT,__text) non-external -[NFPromise thenOn]
00007ffa11e15369 (__TEXT,__text) non-external -[NFPromise then]
00007ffa11e17c76 (__TEXT,__text) non-external -[NFPromise(Timeout) timeoutAfter:]
00007ffa11e17cd5 (__TEXT,__text) non-external -[NFPromise(Timeout) timeoutAfter:on:]
00007ffa11e17114 (__TEXT,__text) non-external -[NFPromiseSeal .cxx_destruct]
00007ffa11e16acc (__TEXT,__text) non-external -[NFPromiseSeal alwaysOn:always:]
00007ffa11e16730 (__TEXT,__text) non-external -[NFPromiseSeal dealloc]
00007ffa11e1a11d (__TEXT,__text) non-external -[NFPromiseSeal dealloc].cold.1
00007ffa11e1a1fe (__TEXT,__text) non-external -[NFPromiseSeal dealloc].cold.2
00007ffa11e170c0 (__TEXT,__text) non-external -[NFPromiseSeal error]
00007ffa11e170ef (__TEXT,__text) non-external -[NFPromiseSeal handlers]
00007ffa11e166bd (__TEXT,__text) non-external -[NFPromiseSeal initWithError:]
00007ffa11e1664a (__TEXT,__text) non-external -[NFPromiseSeal initWithValue:]
00007ffa11e165cd (__TEXT,__text) non-external -[NFPromiseSeal init]
00007ffa11e1710a (__TEXT,__text) non-external -[NFPromiseSeal lock]
00007ffa11e16bf3 (__TEXT,__text) non-external -[NFPromiseSeal registerHandler:]
00007ffa11e16843 (__TEXT,__text) non-external -[NFPromiseSeal reject:]
00007ffa11e1682c (__TEXT,__text) non-external -[NFPromiseSeal resolve:]
00007ffa11e16860 (__TEXT,__text) non-external -[NFPromiseSeal resolveOn:reject:resolve:]
00007ffa11e16d5b (__TEXT,__text) non-external -[NFPromiseSeal seal:error:resolution:]
00007ffa11e1a2df (__TEXT,__text) non-external -[NFPromiseSeal seal:error:resolution:].cold.1
00007ffa11e170ca (__TEXT,__text) non-external -[NFPromiseSeal setError:]
00007ffa11e170f9 (__TEXT,__text) non-external -[NFPromiseSeal setHandlers:]
00007ffa11e170e5 (__TEXT,__text) non-external -[NFPromiseSeal setState:]
00007ffa11e170af (__TEXT,__text) non-external -[NFPromiseSeal setValue:]
00007ffa11e170db (__TEXT,__text) non-external -[NFPromiseSeal state]
00007ffa11e170a5 (__TEXT,__text) non-external -[NFPromiseSeal value]
00007ffa11e176b1 (__TEXT,__text) non-external -[NFReachability .cxx_destruct]
00007ffa11e174fc (__TEXT,__text) non-external -[NFReachability _statusFromNetworkPath:]
00007ffa11e17403 (__TEXT,__text) non-external -[NFReachability _updateCurrentNetworkPath:]
00007ffa11e17696 (__TEXT,__text) non-external -[NFReachability currentNetworkPath]
00007ffa11e1764c (__TEXT,__text) non-external -[NFReachability currentReachabilityStatus]
00007ffa11e173c9 (__TEXT,__text) non-external -[NFReachability dealloc]
00007ffa11e1721e (__TEXT,__text) non-external -[NFReachability init]
00007ffa11e1767b (__TEXT,__text) non-external -[NFReachability networkPathMonitor]
00007ffa11e17660 (__TEXT,__text) non-external -[NFReachability observationQueue]
00007ffa11e176a0 (__TEXT,__text) non-external -[NFReachability setCurrentNetworkPath:]
00007ffa11e17656 (__TEXT,__text) non-external -[NFReachability setCurrentReachabilityStatus:]
00007ffa11e17685 (__TEXT,__text) non-external -[NFReachability setNetworkPathMonitor:]
00007ffa11e1766a (__TEXT,__text) non-external -[NFReachability setObservationQueue:]
00007ffa11e1412e (__TEXT,__text) non-external -[NFStateMachine .cxx_destruct]
00007ffa11e131c1 (__TEXT,__text) non-external -[NFStateMachine activateIfNeeded]
00007ffa11e13143 (__TEXT,__text) non-external -[NFStateMachine activate]
00007ffa11e13408 (__TEXT,__text) non-external -[NFStateMachine addEvent:]
00007ffa11e19f5b (__TEXT,__text) non-external -[NFStateMachine addEvent:].cold.1
00007ffa11e132db (__TEXT,__text) non-external -[NFStateMachine addState:]
00007ffa11e19e7a (__TEXT,__text) non-external -[NFStateMachine addState:].cold.1
00007ffa11e1328d (__TEXT,__text) non-external -[NFStateMachine deactivateIfNeeded]
00007ffa11e1320f (__TEXT,__text) non-external -[NFStateMachine deactivate]
00007ffa11e13055 (__TEXT,__text) non-external -[NFStateMachine debugDescription]
00007ffa11e12fb7 (__TEXT,__text) non-external -[NFStateMachine description]
00007ffa11e140e4 (__TEXT,__text) non-external -[NFStateMachine events]
00007ffa11e13535 (__TEXT,__text) non-external -[NFStateMachine fireEventWithName:withContext:]
00007ffa11e12e6c (__TEXT,__text) non-external -[NFStateMachine initWithState:withOwner:]
00007ffa11e140ff (__TEXT,__text) non-external -[NFStateMachine lock]
00007ffa11e140a2 (__TEXT,__text) non-external -[NFStateMachine owner]
00007ffa11e140ee (__TEXT,__text) non-external -[NFStateMachine setEvents:]
00007ffa11e14109 (__TEXT,__text) non-external -[NFStateMachine setLock:]
00007ffa11e140b8 (__TEXT,__text) non-external -[NFStateMachine setOwner:]
00007ffa11e14091 (__TEXT,__text) non-external -[NFStateMachine setState:]
00007ffa11e140d3 (__TEXT,__text) non-external -[NFStateMachine setStates:]
00007ffa11e1407d (__TEXT,__text) non-external -[NFStateMachine setStatus:]
00007ffa11e14124 (__TEXT,__text) non-external -[NFStateMachine setStatusToken:]
00007ffa11e14087 (__TEXT,__text) non-external -[NFStateMachine state]
00007ffa11e140c9 (__TEXT,__text) non-external -[NFStateMachine states]
00007ffa11e1411a (__TEXT,__text) non-external -[NFStateMachine statusToken]
00007ffa11e14073 (__TEXT,__text) non-external -[NFStateMachine status]
00007ffa11e17c38 (__TEXT,__text) non-external -[NFStateMachineEvent .cxx_destruct]
00007ffa11e17a0a (__TEXT,__text) non-external -[NFStateMachineEvent description]
00007ffa11e17c04 (__TEXT,__text) non-external -[NFStateMachineEvent destinationState]
00007ffa11e17c1f (__TEXT,__text) non-external -[NFStateMachineEvent fireBlock]
00007ffa11e17af3 (__TEXT,__text) non-external -[NFStateMachineEvent fired:withOwner:]
00007ffa11e178e9 (__TEXT,__text) non-external -[NFStateMachineEvent hash]
00007ffa11e17831 (__TEXT,__text) non-external -[NFStateMachineEvent initWithName:transitionFromStates:toState:]
00007ffa11e1792d (__TEXT,__text) non-external -[NFStateMachineEvent isEqual:]
00007ffa11e17bd0 (__TEXT,__text) non-external -[NFStateMachineEvent name]
00007ffa11e17ad3 (__TEXT,__text) non-external -[NFStateMachineEvent onFire:]
00007ffa11e17c0e (__TEXT,__text) non-external -[NFStateMachineEvent setDestinationState:]
00007ffa11e17c29 (__TEXT,__text) non-external -[NFStateMachineEvent setFireBlock:]
00007ffa11e17bda (__TEXT,__text) non-external -[NFStateMachineEvent setName:]
00007ffa11e17bf3 (__TEXT,__text) non-external -[NFStateMachineEvent setStates:]
00007ffa11e17be9 (__TEXT,__text) non-external -[NFStateMachineEvent states]
00007ffa11e18807 (__TEXT,__text) non-external -[NFStateMachineState .cxx_destruct]
00007ffa11e1878a (__TEXT,__text) non-external -[NFStateMachineState canTryBlock]
00007ffa11e18660 (__TEXT,__text) non-external -[NFStateMachineState description]
00007ffa11e187ee (__TEXT,__text) non-external -[NFStateMachineState didEnterBlock]
00007ffa11e187d5 (__TEXT,__text) non-external -[NFStateMachineState didExitBlock]
00007ffa11e1853f (__TEXT,__text) non-external -[NFStateMachineState hash]
00007ffa11e184d4 (__TEXT,__text) non-external -[NFStateMachineState initWithName:]
00007ffa11e18583 (__TEXT,__text) non-external -[NFStateMachineState isEqual:]
00007ffa11e18771 (__TEXT,__text) non-external -[NFStateMachineState name]
00007ffa11e186d1 (__TEXT,__text) non-external -[NFStateMachineState onCanTry:]
00007ffa11e18751 (__TEXT,__text) non-external -[NFStateMachineState onDidEnter:]
00007ffa11e18711 (__TEXT,__text) non-external -[NFStateMachineState onDidExit:]
00007ffa11e18731 (__TEXT,__text) non-external -[NFStateMachineState onWillEnter:]
00007ffa11e186f1 (__TEXT,__text) non-external -[NFStateMachineState onWillExit:]
00007ffa11e18794 (__TEXT,__text) non-external -[NFStateMachineState setCanTryBlock:]
00007ffa11e187f8 (__TEXT,__text) non-external -[NFStateMachineState setDidEnterBlock:]
00007ffa11e187df (__TEXT,__text) non-external -[NFStateMachineState setDidExitBlock:]
00007ffa11e1877b (__TEXT,__text) non-external -[NFStateMachineState setName:]
00007ffa11e187c6 (__TEXT,__text) non-external -[NFStateMachineState setWillEnterBlock:]
00007ffa11e187ad (__TEXT,__text) non-external -[NFStateMachineState setWillExitBlock:]
00007ffa11e187bc (__TEXT,__text) non-external -[NFStateMachineState willEnterBlock]
00007ffa11e187a3 (__TEXT,__text) non-external -[NFStateMachineState willExitBlock]
00007ffa11e1885b (__TEXT,__text) non-external -[NFStateMachineState(Private) canTry:withOwner:]
00007ffa11e18b3b (__TEXT,__text) non-external -[NFStateMachineState(Private) didEnter:withOwner:]
00007ffa11e18a5e (__TEXT,__text) non-external -[NFStateMachineState(Private) didExit:withOwner:]
00007ffa11e189b6 (__TEXT,__text) non-external -[NFStateMachineState(Private) willEnter:withOwner:]
00007ffa11e1890e (__TEXT,__text) non-external -[NFStateMachineState(Private) willExit:withOwner:]
00007ffa11e1170a (__TEXT,__text) non-external -[NFStateMachineTransition .cxx_destruct]
00007ffa11e116ef (__TEXT,__text) non-external -[NFStateMachineTransition context]
00007ffa11e1159a (__TEXT,__text) non-external -[NFStateMachineTransition description]
00007ffa11e1169e (__TEXT,__text) non-external -[NFStateMachineTransition event]
00007ffa11e116b9 (__TEXT,__text) non-external -[NFStateMachineTransition fromState]
00007ffa11e11493 (__TEXT,__text) non-external -[NFStateMachineTransition initWithStateMachine:event:fromState:toState:context:]
00007ffa11e116f9 (__TEXT,__text) non-external -[NFStateMachineTransition setContext:]
00007ffa11e116a8 (__TEXT,__text) non-external -[NFStateMachineTransition setEvent:]
00007ffa11e116c3 (__TEXT,__text) non-external -[NFStateMachineTransition setFromState:]
00007ffa11e1168d (__TEXT,__text) non-external -[NFStateMachineTransition setStateMachine:]
00007ffa11e116de (__TEXT,__text) non-external -[NFStateMachineTransition setToState:]
00007ffa11e11683 (__TEXT,__text) non-external -[NFStateMachineTransition stateMachine]
00007ffa11e116d4 (__TEXT,__text) non-external -[NFStateMachineTransition toState]
00007ffa11e11477 (__TEXT,__text) non-external -[NFUnfairLock assertLocked]
00007ffa11e11485 (__TEXT,__text) non-external -[NFUnfairLock assertNotLocked]
00007ffa11e113a3 (__TEXT,__text) non-external -[NFUnfairLock initWithOptions:]
00007ffa11e113ec (__TEXT,__text) non-external -[NFUnfairLock init]
00007ffa11e11458 (__TEXT,__text) non-external -[NFUnfairLock lock]
00007ffa11e11400 (__TEXT,__text) non-external -[NFUnfairLock performWithLockSync:]
00007ffa11e11469 (__TEXT,__text) non-external -[NFUnfairLock unlock]
00007ffa11e15dba (__TEXT,__text) non-external -[NFVoid copyWithZone:]
00007ffa11e12df4 (__TEXT,__text) non-external -[NSError(NFStateMachine) fc_isStateMachineError:]
00007ffa11e14570 (__TEXT,__text) non-external -[NSKeyedUnarchiver(FRAdditions) nf_securelyUnarchiveObjectOfClass:]
00007ffa11e16357 (__TEXT,__text) non-external -[NSString(NFAdditions) nf_sha1]
00007ffa11e16450 (__TEXT,__text) non-external -[NSString(NFAdditions) nf_stringByReversingString]
00007ffa11e14175 (__TEXT,__text) non-external -[NSUserDefaults(NFAdditions) nf_migrateObjectForKey:toKey:]
00007ffa11e19711 (__TEXT,__text) non-external -[NSValue(NFAdditions) nf_CGRectValue]
00007ffa11e1be34 (__TEXT,__gcc_except_tab) non-external GCC_except_table19
00007ffa11e1be90 (__TEXT,__gcc_except_tab) non-external GCC_except_table2
00007ffa11e1beac (__TEXT,__gcc_except_tab) non-external GCC_except_table2
                 (undefined) external _BOMCopierCopyWithOptions (from Bom)
                 (undefined) external _BOMCopierFree (from Bom)
                 (undefined) external _BOMCopierNew (from Bom)
                 (undefined) external _BOMCopierSetCopyFileFinishedHandler (from Bom)
                 (undefined) external _BOMCopierSetUserData (from Bom)
                 (undefined) external _BOMCopierUserData (from Bom)
                 (undefined) external _CC_SHA1 (from libSystem)
                 (undefined) external _CFPreferencesGetAppBooleanValue (from CoreFoundation)
                 (undefined) external _MGCopyAnswer (from libMobileGestalt)
00007ffa11e12b87 (__TEXT,__text) non-external _NFArchiverCopyFileFinishedHandler
00007ffa11e198fb (__TEXT,__text) external _NFDeviceHasExtendedColorDisplay
00007ffa43d55848 (__DATA,__bss) non-external _NFDeviceHasExtendedColorDisplay.hasExtendedColorDisplay
00007ffa43d55850 (__DATA,__bss) non-external _NFDeviceHasExtendedColorDisplay.onceToken
00007ffa11e1979a (__TEXT,__text) external _NFDeviceIsA7
00007ffa11e197a2 (__TEXT,__text) external _NFDeviceIsA8
00007ffa11e19892 (__TEXT,__text) external _NFDeviceModelString
00007ffa11e19877 (__TEXT,__text) external _NFDeviceOSVersion
00007ffa11e197aa (__TEXT,__text) external _NFDevicePlatform
00007ffa434c1280 (__DATA_DIRTY,__bss) non-external _NFDevicePlatform.onceToken
00007ffa434c1278 (__DATA_DIRTY,__bss) non-external _NFDevicePlatform.s_platformString
00007ffa11e1986a (__TEXT,__text) external _NFGeneralDeviceString
00007ffa11e112f0 (__TEXT,__text) external _NFInternalBuild
00007ffa43d55840 (__DATA,__bss) non-external _NFInternalBuild.internalBuild
00007ffa434c1238 (__DATA_DIRTY,__bss) non-external _NFInternalBuild.onceToken
00007ffa11e17152 (__TEXT,__text) external _NFLockSync
00007ffa11e1651a (__TEXT,__text) external _NFPromiseInvokeOnQueue
00007ffa11e11334 (__TEXT,__text) external _NFSeedBuild
00007ffa417c7c50 (__DATA_CONST,__const) external _NFStateMachineErrorDomain
00007ffa11e1133c (__TEXT,__text) external _NFStoreDemoMode
00007ffa434c1240 (__DATA_DIRTY,__bss) non-external _NFStoreDemoMode.onceToken
00007ffa43d55841 (__DATA,__bss) non-external _NFStoreDemoMode.storeDemoMode
00007ffa11e198ad (__TEXT,__text) external _NFSystemName
                 (undefined) external _NSGetSizeAndAlignment (from CoreFoundation)
                 (undefined) external _NSInternalInconsistencyException (from CoreFoundation)
                 (undefined) external _NSKeyedArchiveRootObjectKey (from Foundation)
                 (undefined) external _NSLocalizedDescriptionKey (from Foundation)
00007ffa11e1b1a0 (__TEXT,__const) external _NewsFoundationVersionNumber
00007ffa11e1b160 (__TEXT,__const) external _NewsFoundationVersionString
00007ffa43d55530 (__DATA,__objc_data) external _OBJC_CLASS_$_NFArchiver
00007ffa434c0f68 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFEventManager
00007ffa434c0f90 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFEventTrigger
00007ffa434c1008 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFLazy
00007ffa434c11e8 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFMultiDelegate
00007ffa434c1198 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFMutexLock
00007ffa43d554b8 (__DATA,__objc_data) external _OBJC_CLASS_$_NFPendingPromise
00007ffa434c1058 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFPromise
00007ffa434c10f8 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFPromiseSeal
00007ffa434c1148 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFReachability
00007ffa43d55558 (__DATA,__objc_data) external _OBJC_CLASS_$_NFStateMachine
00007ffa43d555a8 (__DATA,__objc_data) external _OBJC_CLASS_$_NFStateMachineEvent
00007ffa43d555f8 (__DATA,__objc_data) external _OBJC_CLASS_$_NFStateMachineState
00007ffa43d55468 (__DATA,__objc_data) external _OBJC_CLASS_$_NFStateMachineTransition
00007ffa434c0f18 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFUnfairLock
00007ffa434c10d0 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFVoid
                 (undefined) external _OBJC_CLASS_$_NSBlock (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSData (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSDictionary (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSError (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSException (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSFileManager (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSHashTable (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSKeyedUnarchiver (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableArray (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableDictionary (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableSet (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableString (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSNotificationCenter (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSNumber (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSObject (from libobjc)
                 (undefined) external _OBJC_CLASS_$_NSSet (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSString (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSThread (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSUUID (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSUserDefaults (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSValue (from Foundation)
                 (undefined) external _OBJC_EHTYPE_$_NSException (from CoreFoundation)
00007ffa43d55320 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFEventManager._events
00007ffa43d55328 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFEventManager._triggers
00007ffa43d55350 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFEventTrigger._block
00007ffa43d55348 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFEventTrigger._events
00007ffa43d55338 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFEventTrigger._fireOnAny
00007ffa43d55330 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFEventTrigger._fireOnce
00007ffa43d55340 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFEventTrigger._key
00007ffa43d55398 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFLazy._constructor
00007ffa43d553a0 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFLazy._lock
00007ffa43d55390 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFLazy._value
00007ffa43d55450 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFMultiDelegate._children
00007ffa43d55458 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFMultiDelegate._delegateProtocol
