00000001ec7e3798 (__DATA,__bss) non-external _AGCPrinter
00000001a8a88284 (__TEXT,__text) non-external __Z21isValidToPrintMessageRPNSt3__113basic_ostreamIcNS_11char_traitsIcEEEE
00000001a8be1498 (__TEXT,__text) non-external __Z27AGCLLVMCreateG9TargetConfig13AGCTargetArch
00000001a8bd2770 (__TEXT,__text) non-external __Z28AGCLLVMCreateG14TargetConfig13AGCTargetArch
00000001a8bd4120 (__TEXT,__text) non-external __Z28AGCLLVMCreateG15TargetConfig13AGCTargetArch
00000001a8a83f78 (__TEXT,__text) non-external __Z28validateUserLocalMemoryUsagejjRNSt3__112basic_stringIcNS_11char_traitsIcEENS_9allocatorIcEEEE
00000001a8a84154 (__TEXT,__text) non-external __Z32validateUserMeshLocalMemoryUsagejjjjjRNSt3__112basic_stringIcNS_11char_traitsIcEENS_9allocatorIcEEEE
00000001a8b0b3d0 (__TEXT,__text) non-external __Z36getComputeControlFlowBitcodeFileNameRK10AGCLLVMCtx
00000001a8a84618 (__TEXT,__text) non-external __Z37validateMaxTotalThreadsPerThreadgroupjjjRNSt3__112basic_stringIcNS_11char_traitsIcEENS_9allocatorIcEEEERj
00000001a8c0b10c (__TEXT,__text) non-external __Z45newObjectArrayWithIntersectionShadersIfNeededI27_AGCFragmentContextStateAGPEP17AGCLLVMObjectBaseP17AGCLLVMUserShaderR10AGCLLVMCtxPN4llvm6ModuleEPKT_
00000001ec7e0f20 (__DATA,__bss) non-external __ZGVZ12pixelTypeMapvE23localPixelFormatTypeMap
00000001ec7e0f00 (__DATA,__bss) non-external __ZGVZ13bufferTypeMapvE18localBufferTypeMap
00000001ec7e37d0 (__DATA,__bss) non-external __ZGVZ19GetAGCActiveTargetsvE12active_impls
00000001ec7e2a48 (__DATA,__bss) non-external __ZGVZ21agcStreamToken2StringjE15mapToken2String
00000001ec7e34c0 (__DATA,__bss) non-external __ZGVZ27AGCLLVMCreateG5TargetConfig13AGCTargetArchE5g5pC0
00000001ec7e3550 (__DATA,__bss) non-external __ZGVZ27AGCLLVMCreateG9TargetConfig13AGCTargetArchE5g9gA0
00000001ec7e3508 (__DATA,__bss) non-external __ZGVZ27AGCLLVMCreateG9TargetConfig13AGCTargetArchE5g9pA0
00000001ec7e2aa0 (__DATA,__bss) non-external __ZGVZ28AGCLLVMCreateG10TargetConfig13AGCTargetArchE6g10pB0
00000001ec7e2b78 (__DATA,__bss) non-external __ZGVZ28AGCLLVMCreateG11TargetConfig13AGCTargetArchE6g11gA0
00000001ec7e2b30 (__DATA,__bss) non-external __ZGVZ28AGCLLVMCreateG11TargetConfig13AGCTargetArchE6g11mA0
00000001ec7e2c08 (__DATA,__bss) non-external __ZGVZ28AGCLLVMCreateG11TargetConfig13AGCTargetArchE6g11mB0
00000001ec7e2ae8 (__DATA,__bss) non-external __ZGVZ28AGCLLVMCreateG11TargetConfig13AGCTargetArchE6g11pA0
00000001ec7e2bc0 (__DATA,__bss) non-external __ZGVZ28AGCLLVMCreateG11TargetConfig13AGCTargetArchE6g11pB0
00000001ec7e2c50 (__DATA,__bss) non-external __ZGVZ28AGCLLVMCreateG12TargetConfig13AGCTargetArchE6g12pA0
00000001ec7e2c98 (__DATA,__bss) non-external __ZGVZ28AGCLLVMCreateG12TargetConfig13AGCTargetArchE6g12pB0
00000001ee7d46a0 (__DATA_DIRTY,__bss) non-external __ZGVZ28AGCLLVMCreateG13TargetConfig13AGCTargetArchE6g13cA0
00000001ec7e2d28 (__DATA,__bss) non-external __ZGVZ28AGCLLVMCreateG13TargetConfig13AGCTargetArchE6g13cB0
00000001ec7e2ce0 (__DATA,__bss) non-external __ZGVZ28AGCLLVMCreateG13TargetConfig13AGCTargetArchE6g13dA0
00000001ec7e2d70 (__DATA,__bss) non-external __ZGVZ28AGCLLVMCreateG13TargetConfig13AGCTargetArchE6g13dB0
00000001ee7d4580 (__DATA_DIRTY,__bss) non-external __ZGVZ28AGCLLVMCreateG13TargetConfig13AGCTargetArchE6g13gA0
00000001ee7d4610 (__DATA_DIRTY,__bss) non-external __ZGVZ28AGCLLVMCreateG13TargetConfig13AGCTargetArchE6g13gB0
00000001ee7d4538 (__DATA_DIRTY,__bss) non-external __ZGVZ28AGCLLVMCreateG13TargetConfig13AGCTargetArchE6g13pA0
00000001ee7d45c8 (__DATA_DIRTY,__bss) non-external __ZGVZ28AGCLLVMCreateG13TargetConfig13AGCTargetArchE6g13pB0
00000001ee7d4658 (__DATA_DIRTY,__bss) non-external __ZGVZ28AGCLLVMCreateG13TargetConfig13AGCTargetArchE6g13sA0
00000001ee7d46e8 (__DATA_DIRTY,__bss) non-external __ZGVZ28AGCLLVMCreateG13TargetConfig13AGCTargetArchE6g13sB0
00000001ec7e2e48 (__DATA,__bss) non-external __ZGVZ28AGCLLVMCreateG14TargetConfig13AGCTargetArchE6g14gA0
00000001ec7e2e90 (__DATA,__bss) non-external __ZGVZ28AGCLLVMCreateG14TargetConfig13AGCTargetArchE6g14gB0
00000001ec7e2db8 (__DATA,__bss) non-external __ZGVZ28AGCLLVMCreateG14TargetConfig13AGCTargetArchE6g14pA0
00000001ec7e2e00 (__DATA,__bss) non-external __ZGVZ28AGCLLVMCreateG14TargetConfig13AGCTargetArchE6g14pB0
00000001ec7e3280 (__DATA,__bss) non-external __ZGVZ28AGCLLVMCreateG15TargetConfig13AGCTargetArchE6g15cA0
00000001ec7e32c8 (__DATA,__bss) non-external __ZGVZ28AGCLLVMCreateG15TargetConfig13AGCTargetArchE6g15cB0
00000001ec7e3310 (__DATA,__bss) non-external __ZGVZ28AGCLLVMCreateG15TargetConfig13AGCTargetArchE6g15cB1
00000001ec7e3358 (__DATA,__bss) non-external __ZGVZ28AGCLLVMCreateG15TargetConfig13AGCTargetArchE6g15dA0
00000001ec7e33a0 (__DATA,__bss) non-external __ZGVZ28AGCLLVMCreateG15TargetConfig13AGCTargetArchE6g15dB0
00000001ec7e30d0 (__DATA,__bss) non-external __ZGVZ28AGCLLVMCreateG15TargetConfig13AGCTargetArchE6g15gA0
00000001ec7e3118 (__DATA,__bss) non-external __ZGVZ28AGCLLVMCreateG15TargetConfig13AGCTargetArchE6g15gB0
00000001ec7e3160 (__DATA,__bss) non-external __ZGVZ28AGCLLVMCreateG15TargetConfig13AGCTargetArchE6g15gC0
00000001ec7e3088 (__DATA,__bss) non-external __ZGVZ28AGCLLVMCreateG15TargetConfig13AGCTargetArchE6g15pB0
00000001ec7e31a8 (__DATA,__bss) non-external __ZGVZ28AGCLLVMCreateG15TargetConfig13AGCTargetArchE6g15sA0
00000001ec7e31f0 (__DATA,__bss) non-external __ZGVZ28AGCLLVMCreateG15TargetConfig13AGCTargetArchE6g15sB0
00000001ec7e3238 (__DATA,__bss) non-external __ZGVZ28AGCLLVMCreateG15TargetConfig13AGCTargetArchE6g15sB1
00000001ec7e33e8 (__DATA,__bss) non-external __ZGVZ28AGCLLVMCreateG16TargetConfig13AGCTargetArchE6g16pA0
00000001ec7e3430 (__DATA,__bss) non-external __ZGVZ28AGCLLVMCreateG16TargetConfig13AGCTargetArchE6g16pB0
00000001ec7e3478 (__DATA,__bss) non-external __ZGVZ28AGCLLVMCreateG16TargetConfig13AGCTargetArchE6g16pB1
00000001ec7e2f68 (__DATA,__bss) non-external __ZGVZ29AGCLLVMCreateG14XTargetConfig13AGCTargetArchE6g14cA0
00000001ec7e2fb0 (__DATA,__bss) non-external __ZGVZ29AGCLLVMCreateG14XTargetConfig13AGCTargetArchE6g14cB0
00000001ec7e2ff8 (__DATA,__bss) non-external __ZGVZ29AGCLLVMCreateG14XTargetConfig13AGCTargetArchE6g14dA0
00000001ec7e3040 (__DATA,__bss) non-external __ZGVZ29AGCLLVMCreateG14XTargetConfig13AGCTargetArchE6g14dB0
00000001ec7e2ed8 (__DATA,__bss) non-external __ZGVZ29AGCLLVMCreateG14XTargetConfig13AGCTargetArchE6g14sA0
00000001ec7e2f20 (__DATA,__bss) non-external __ZGVZ29AGCLLVMCreateG14XTargetConfig13AGCTargetArchE6g14sB0
00000001ec7e3698 (__DATA,__bss) non-external __ZGVZ31AGCLLVMCreateHAL200TargetConfig13AGCTargetArchE7g16g_a0
00000001ec7e36e0 (__DATA,__bss) non-external __ZGVZ31AGCLLVMCreateHAL200TargetConfig13AGCTargetArchE7g16g_b0
00000001ec7e3728 (__DATA,__bss) non-external __ZGVZ31AGCLLVMCreateHAL200TargetConfig13AGCTargetArchE7g16x_a0
00000001ec7e3770 (__DATA,__bss) non-external __ZGVZ31AGCLLVMCreateHAL200TargetConfig13AGCTargetArchE7g16x_b0
00000001ec7e0138 (__DATA,__bss) non-external __ZGVZL11getFilePathvE9file_path
00000001ec7e3790 (__DATA,__bss) non-external __ZGVZL11getFilePathvE9file_path.11315
00000001ec7e0190 (__DATA,__bss) non-external __ZGVZL11getFilePathvE9file_path.141
00000001ee7d3a30 (__DATA_DIRTY,__bss) non-external __ZGVZL22pluginCreateLLVMObjectR10AGCLLVMCtx15_AGCStreamTokenRN4llvm11LLVMContextEPNS2_6ModuleER16CompilationStateE9computeCS
00000001ee7d44e8 (__DATA_DIRTY,__bss) non-external __ZGVZN14AGCLLVMBuilder18getVariableTypeMapEvE17variable_type_map
00000001ec7e37b0 (__DATA,__bss) non-external __ZGVZN16AGCTargetContext13createLLVMCtxE13AGCTargetArchE21agx_extra_llvm_attrib
00000001ee7d3a28 (__DATA_DIRTY,__bss) non-external __ZGVZN17AGCCodeGenServiceC1Ej3ApiRKNSt3__112basic_stringIcNS1_11char_traitsIcEENS1_9allocatorIcEEEES9_E21agx_extra_llvm_attrib
00000001ec7e2080 (__DATA,__bss) non-external __ZGVZN17AGCLLVMUserObject15verifyLoweredIREvE3log
00000001ee7d44c0 (__DATA_DIRTY,__bss) non-external __ZGVZN17AGCLLVMUserObject16getBuiltinArgMapEvE15builtin_arg_map
00000001ee7d43d0 (__DATA_DIRTY,__bss) non-external __ZGVZN17AGCLLVMUserObject20getSampleFunctionMapEvE19sample_function_map
00000001ee7d4498 (__DATA_DIRTY,__bss) non-external __ZGVZN17AGCLLVMUserObject22getUniqueIDFunctionSetEvE21uniqueID_function_set
00000001ec7e2050 (__DATA,__bss) non-external __ZGVZN17AGCLLVMUserObject23createSamplerHeapGlobalEvE12bind_indices
00000001ee7d43f8 (__DATA_DIRTY,__bss) non-external __ZGVZN17AGCLLVMUserObject23getDimensionFunctionMapEvE22dimension_function_map
00000001ec7e20d0 (__DATA,__bss) non-external __ZGVZN17AGCLLVMUserObject24getRaytracingFunctionMapEvE23raytracing_function_map
00000001ee7d4420 (__DATA_DIRTY,__bss) non-external __ZGVZN17AGCLLVMUserObject26getTextureFenceFunctionSetEvE25texturefence_function_set
00000001ee7d4448 (__DATA_DIRTY,__bss) non-external __ZGVZN17AGCLLVMUserObject27getIsNullTextureFunctionSetEvE28is_null_texture_function_set
00000001ec7e20a8 (__DATA,__bss) non-external __ZGVZN17AGCLLVMUserObject27getTextureAtomicFunctionSetEvE27texture_atomic_function_set
00000001ee7d4470 (__DATA_DIRTY,__bss) non-external __ZGVZN17AGCLLVMUserObject28getGetNullTextureFunctionSetEvE29get_null_texture_function_set
00000001ee7d43a8 (__DATA_DIRTY,__bss) non-external __ZGVZN17AGCLLVMUserObject33buildBindlessImageArgumentPointerEPN4llvm5ValueEN18ImageArgumentQuery4EnumEE12bind_indices
00000001ec7e2030 (__DATA,__bss) non-external __ZGVZN17AGCLLVMUserObject34getShaderDebuggerTLSBuiltinArgMapsEvE31shader_debugger_builtin_arg_map
00000001ec7e2070 (__DATA,__bss) non-external __ZGVZN17AGCLLVMUserObject39replaceIndirectTextureWriteFunctionUsesEPN4llvm8FunctionEE20force_inline_env_var
00000001ec7e2060 (__DATA,__bss) non-external __ZGVZN17AGCLLVMUserObject41createIntersectionFunctionTableHeapGlobalEvE12bind_indices
00000001ee7d4348 (__DATA_DIRTY,__bss) non-external __ZGVZN17AGCLLVMUserShader17getVaryingModeMapEvE16varying_mode_map
00000001ee7d4370 (__DATA_DIRTY,__bss) non-external __ZGVZN17AGCLLVMUserShader27getInterpolationLocationMapEvE26interpolation_location_map
00000001ec7e0f48 (__DATA,__bss) non-external __ZGVZN18AGCLLVMAirBuiltins19initializeAtomicMapEvE10atomic_map
00000001ee7d3ca0 (__DATA_DIRTY,__bss) non-external __ZGVZN18AGCLLVMAirBuiltins23initializePackUnpackMapEvE15pack_unpack_map
00000001ee7d3c78 (__DATA_DIRTY,__bss) non-external __ZGVZN18AGCLLVMAirBuiltins27initializeTypeConversionMapEvE11convert_map
00000001ec7e2100 (__DATA,__bss) non-external __ZGVZN19AGCLLVMDriverShader20getTextureHeapGlobalEbE14buffer_indices
00000001ec7e2110 (__DATA,__bss) non-external __ZGVZN19AGCLLVMDriverShader23createGlobalSamplerHeapEvE12bind_indices
00000001ec7e1a20 (__DATA,__bss) non-external __ZGVZN20AGCLLVMAirImageBlock24initializeImageBlockMapsEvE24image_block_function_map
00000001ec7e0518 (__DATA,__bss) non-external __ZGVZN21AGCLLVMUserMeshShader15replaceBuiltinsEvE18workitem_functions
00000001ec7e2008 (__DATA,__bss) non-external __ZGVZN21AGCLLVMUserTileShader24replaceWorkitemFunctionsEvE18workitem_functions
00000001ec7e0f70 (__DATA,__bss) non-external __ZGVZN22AGCLLVMAirBuiltinsGen319initializeReduceMapEvE10reduce_map
00000001ec7e09e0 (__DATA,__bss) non-external __ZGVZN23AGCLLVMUserMeshShaderSW29replacePreRuntimeLinkBuiltinsEvE18workitem_functions
00000001ee7d3aa8 (__DATA_DIRTY,__bss) non-external __ZGVZN24AGCLLVMAGPFragmentShader35initializeInterpolationFunctionsMapEvE27interpolation_functions_map
00000001ee7d3cc8 (__DATA_DIRTY,__bss) non-external __ZGVZN24AGCLLVMAirTrigIdentities28initializeTrigReplacementMapEvE17trig_replacements
00000001ee7d46f8 (__DATA_DIRTY,__bss) non-external __ZGVZN24AGCLLVMGen2TargetLowerer22setSharedRegisterSizesEvE22total_shared_registers
00000001ec7e3610 (__DATA,__bss) non-external __ZGVZN24AGCLLVMGen6TargetLowererI23RaytracingConstantsGen1E21addYieldLoopParameterEPKcfE13prefix_length
00000001ec7e3600 (__DATA,__bss) non-external __ZGVZN24AGCLLVMGen6TargetLowererI23RaytracingConstantsGen1E21addYieldLoopParameterEPKcfE6prefix
00000001ec7e3630 (__DATA,__bss) non-external __ZGVZN24AGCLLVMGen6TargetLowererI23RaytracingConstantsGen1E21addYieldLoopParameterEPKcfE9ev_prefix
00000001ec7e3580 (__DATA,__bss) non-external __ZGVZN24AGCLLVMGen6TargetLowererI23RaytracingConstantsGen1E30buildSimdgroupAtomicWaitNotifyEPN4llvm8CallInstEE9order_map
00000001ec7e35b0 (__DATA,__bss) non-external __ZGVZN24AGCLLVMGen6TargetLowererI23RaytracingConstantsGen1E30buildSimdgroupAtomicWaitNotifyEPN4llvm8CallInstEE9scope_map
00000001ec7e35e0 (__DATA,__bss) non-external __ZGVZN24AGCLLVMGen6TargetLowererI23RaytracingConstantsGen1E30buildSimdgroupAtomicWaitNotifyEPN4llvm8CallInstEE9volat_map
00000001ec7e1990 (__DATA,__bss) non-external __ZGVZN25AGCLLVMUserDynamicLibrary24replaceWorkitemFunctionsEvE18workitem_functions
00000001ec7e19f8 (__DATA,__bss) non-external __ZGVZN25AGCLLVMUserDynamicLibrary25buildStageSpecificBuiltinEPN4llvm4TypeERKNSt3__15arrayINS3_8functionIFPNS0_5ValueEvEEELm4EEERKNS4_IiLm4EEEE10stage_name
00000001ec7e1340 (__DATA,__bss) non-external __ZGVZN26AGCLLVMDriverSparseShaders6createER10AGCLLVMCtxRN4llvm11LLVMContextEjE9computeCS
00000001ee7d4310 (__DATA_DIRTY,__bss) non-external __ZGVZN27AGCLLVMUserComputeKernelG1024replaceWorkitemFunctionsEvE18workitem_functions
00000001ec7e0de0 (__DATA,__bss) non-external __ZGVZN27AGCLLVMUserObjectShaderBase15replaceBuiltinsEvE18workitem_functions
00000001ee7d3c40 (__DATA_DIRTY,__bss) non-external __ZGVZN28AGCLLVMAGPFragmentShaderGen320replaceTileFunctionsEvE18workitem_functions
00000001ec7e1360 (__DATA,__bss) non-external __ZGVZN29AGCLLVMDriverFastClearShaders6createER10AGCLLVMCtxRN4llvm11LLVMContextEPK22_AGCBlitFastClearStateE9computeCS
00000001ec7e12a0 (__DATA,__bss) non-external __ZGVZN30AGCLLVMUserComputeKernelLegacy24replaceWorkitemFunctionsEvE18workitem_functions
00000001ec7e0e30 (__DATA,__bss) non-external __ZGVZN31AGCLLVMDriverTessellationShader12getDefaultCSEvE9defaultCS
00000001ec7e13d0 (__DATA,__bss) non-external __ZGVZN32AGCLLVMDriverBlitBCComputeShader6createER10AGCLLVMCtxRN4llvm11LLVMContextEjbE9computeCS
00000001ec7e0e80 (__DATA,__bss) non-external __ZGVZN33AGCLLVMDriverVRRPatchVertexShader12getDefaultCSEvE9defaultCS
00000001ec7e0ea0 (__DATA,__bss) non-external __ZGVZN34AGCLLVMDriverGPUGatherVertexShader12getDefaultCSEvE9defaultCS
00000001ec7e3640 (__DATA,__bss) non-external __ZGVZN34AGCLLVMUserIntersectionShaderArrayI23RaytracingConstantsGen1EC1ER10AGCLLVMCtxPN4llvm6ModuleEPK25_AGCUserIntersectionStateE23disableParallelLeafLoop
00000001ec7e3650 (__DATA,__bss) non-external __ZGVZN34AGCLLVMUserIntersectionShaderArrayI23RaytracingConstantsGen1EC1ER10AGCLLVMCtxPN4llvm6ModuleEPK25_AGCUserIntersectionStateE24disableParallelLeafTests
00000001ec7e0ec0 (__DATA,__bss) non-external __ZGVZN35AGCLLVMDriverFastClearVertexShaders12getDefaultCSEvE9defaultCS
00000001ec7e0ee0 (__DATA,__bss) non-external __ZGVZN35AGCLLVMDriverPDSPatchUpVertexShader12getDefaultCSEvE9defaultCS
00000001ec7e1500 (__DATA,__bss) non-external __ZGVZN36AGCLLVMDriverBVHBuilderComputeShader6createER10AGCLLVMCtxRN4llvm11LLVMContextEPK19_AGCBVHBuilderStateE17riaBvhGenOverride
00000001ec7e1520 (__DATA,__bss) non-external __ZGVZN36AGCLLVMDriverBVHBuilderComputeShader6createER10AGCLLVMCtxRN4llvm11LLVMContextEPK19_AGCBVHBuilderStateE9computeCS
00000001ec7e0e10 (__DATA,__bss) non-external __ZGVZN38AGCLLVMAGPVertexShaderPostTessellation15replaceBuiltinsEvE21tessellation_builtins
00000001ec7e13f0 (__DATA,__bss) non-external __ZGVZN39AGCLLVMDriverGPUGatherComputeShaderGen36createER10AGCLLVMCtxRN4llvm11LLVMContextEE9computeCS
00000001ec7e12c0 (__DATA,__bss) non-external __ZGVZN41AGCLLVMDriverGPUGatherComputeShaderLegacy6createER10AGCLLVMCtxRN4llvm11LLVMContextEE9computeCS
00000001ec7e12e0 (__DATA,__bss) non-external __ZGVZN42AGCLLVMDriverPDSPatchUpComputeShaderLegacy6createER10AGCLLVMCtxRN4llvm11LLVMContextEE9computeCS
00000001ec7e1a58 (__DATA,__bss) non-external __ZGVZN43AGCLLVMUserIntersectionShaderLoopShaderPass13runOnFunctionERN4llvm8FunctionEE9arguments
00000001ec7e1490 (__DATA,__bss) non-external __ZGVZN44AGCLLVMDriverComputeProgressMarkerShaderGen36createER10AGCLLVMCtxRN4llvm11LLVMContextEE9computeCS
00000001ec7e1470 (__DATA,__bss) non-external __ZGVZN44AGCLLVMDriverExecuteIndirectComputeShaderG106createER10AGCLLVMCtxRN4llvm11LLVMContextEE9computeCS
00000001ee7d4318 (__DATA_DIRTY,__bss) non-external __ZGVZN45AGCLLVMDriverExecuteIndirectComputeShaderGen56createER10AGCLLVMCtxRN4llvm11LLVMContextEE9computeCS
00000001ec7e14d0 (__DATA,__bss) non-external __ZGVZN46AGCLLVMDriverComputeProgressMarkerShaderLegacy6createER10AGCLLVMCtxRN4llvm11LLVMContextEE9computeCS
00000001ec7e1300 (__DATA,__bss) non-external __ZGVZN47AGCLLVMDriverExecuteIndirectComputeShaderLegacy6createER10AGCLLVMCtxRN4llvm11LLVMContextEE9computeCS
00000001ee7d3c48 (__DATA_DIRTY,__bss) non-external __ZGVZN47AGCLLVMDriverExecuteIndirectESLGenerationShader12getDefaultCSEvE9defaultCS
00000001ec7e14b0 (__DATA,__bss) non-external __ZGVZN50AGCLLVMDriverComputeControlFlowPredicateShaderGen36createER10AGCLLVMCtxRN4llvm11LLVMContextEjbbE9computeCS
00000001ec7e14f0 (__DATA,__bss) non-external __ZGVZN52AGCLLVMDriverComputeControlFlowPredicateShaderLegacy6createER10AGCLLVMCtxRN4llvm11LLVMContextEjbbE9computeCS
00000001ee7d3c50 (__DATA_DIRTY,__bss) non-external __ZGVZN54AGCLLVMDriverExecuteIndirectRangeExecutionVertexShader12getDefaultCSEvE9defaultCS
00000001ee7d4320 (__DATA_DIRTY,__bss) non-external __ZGVZN55AGCLLVMDriverExecuteIndirectRangeExecutionComputeShader6createER10AGCLLVMCtxRN4llvm11LLVMContextEE9computeCS
00000001ec7e1380 (__DATA,__bss) non-external __ZGVZN58AGCLLVMDriverExecuteIndirectRangeExecutionComputeShaderG106createER10AGCLLVMCtxRN4llvm11LLVMContextEE9computeCS
00000001ec7e1320 (__DATA,__bss) non-external __ZGVZN61AGCLLVMDriverExecuteIndirectRangeExecutionComputeShaderLegacy6createER10AGCLLVMCtxRN4llvm11LLVMContextEE9computeCS
00000001ec7e1410 (__DATA,__bss) non-external __ZGVZN61AGCLLVMDriverGeometryPipelineEmulationFWAllocationSetupShader6createER10AGCLLVMCtxRN4llvm11LLVMContextEE9computeCS
00000001ec7e1450 (__DATA,__bss) non-external __ZGVZN63AGCLLVMDriverGeometryPipelineEmulationFWAllocationPreMeshShader6createER10AGCLLVMCtxRN4llvm11LLVMContextEE9computeCS
