0000000180336d5c (__TEXT,__text) external _OSAtomicAdd32
0000000180337978 (__TEXT,__text) external _OSAtomicTestAndSet
0000000180336f64 (__TEXT,__text) external _OSAtomicTestAndSetBarrier
0000000180338bbc (__TEXT,__text) external _OSAtomicXor32
0000000180336e10 (__TEXT,__text) external _OSAtomicXor32Barrier
0000000180338bc8 (__TEXT,__text) external _OSAtomicXor32Orig
0000000180338bd0 (__TEXT,__text) external _OSAtomicXor32OrigBarrier
0000000180336dc0 (__TEXT,__text) external _OSMemoryBarrier
0000000180336bd8 (__TEXT,__text) external _OSSpinLockLock
0000000180336f2c (__TEXT,__text) external _OSSpinLockTry
0000000180336bf4 (__TEXT,__text) external _OSSpinLockUnlock
00000001803396e0 (__TEXT,__const) non-external __0x
00000001803397fb (__TEXT,__cstring) non-external __H
0000000180338bfc (__TEXT,__text) non-external __OSAtomicDequeue_misalign
0000000180338bd8 (__TEXT,__text) non-external __OSAtomicEnqueue_misalign
0000000180336ea0 (__TEXT,__text) external __OSSpinLockLockSlow
0000000180338940 (__TEXT,__text) non-external __OSSpinLockLockYield
0000000180336610 (__TEXT,__text) external ___bzero
                 (undefined) external ___error (from libsystem_kernel)
                 (undefined) external ___gettimeofday (from libsystem_kernel)
00000001eb7451b0 (__DATA_DIRTY,__common) non-external (was a private external) ___in_sigtramp
                 (undefined) external ___libkernel_platform_init (from libsystem_kernel)
0000000180336444 (__TEXT,__text) external ___libplatform_init
0000000180338b94 (__TEXT,__text) external ___os_once_reset
0000000180336494 (__TEXT,__text) non-external (was a private external) ___pfz_setup
00000001803396d0 (__TEXT,__const) non-external (was a private external) ___platformVersionNumber
0000000180339698 (__TEXT,__const) non-external (was a private external) ___platformVersionString
0000000180335fa8 (__TEXT,__text) external ___platform_sigaction
                 (undefined) external ___sendto (from libsystem_kernel)
                 (undefined) external ___sigaction (from libsystem_kernel)
                 (undefined) external ___sigaltstack (from libsystem_kernel)
                 (undefined) external ___sigreturn (from libsystem_kernel)
00000001803370fc (__TEXT,__text) non-external ___simple_bprintf
                 (undefined) external ___sysctl (from libsystem_kernel)
                 (undefined) external ___ulock_wait (from libsystem_kernel)
                 (undefined) external ___ulock_wake (from libsystem_kernel)
0000000180338d34 (__TEXT,__text) external __ctx_done
0000000180339008 (__TEXT,__text) non-external (was a private external) __ctx_start
00000001803382d4 (__TEXT,__text) non-external __enlarge
00000001803390ec (__TEXT,__text) non-external __enlarge.cold.1
                 (undefined) external __exit (from libsystem_kernel)
0000000180338228 (__TEXT,__text) non-external __flush
00000001803381b8 (__TEXT,__text) non-external __flush_reset
000000018033980c (__TEXT,__cstring) non-external __h
0000000180334c00 (__TEXT,__text) external __longjmp
0000000180334194 (__TEXT,__text) non-external __os_alloc
00000001803392c4 (__TEXT,__text) non-external __os_alloc.cold.1
00000001eb7451a8 (__DATA_DIRTY,__common) non-external (was a private external) __os_alloc_heap
0000000180334148 (__TEXT,__text) external __os_alloc_once
                 (undefined) external __os_alloc_once_table (from libsystem_kernel)
00000001803367ec (__TEXT,__text) non-external __os_alloc_slow
0000000180339114 (__TEXT,__text) non-external (was a private external) __os_lock_corruption_abort
0000000180336c68 (__TEXT,__text) non-external (was a private external) __os_lock_handoff_lock
0000000180336ca8 (__TEXT,__text) non-external __os_lock_handoff_lock_slow
0000000180336fb0 (__TEXT,__text) non-external (was a private external) __os_lock_handoff_trylock
0000000180336c9c (__TEXT,__text) non-external (was a private external) __os_lock_handoff_unlock
0000000180338b24 (__TEXT,__text) non-external (was a private external) __os_lock_nospin_lock
0000000180338b4c (__TEXT,__text) non-external (was a private external) __os_lock_nospin_trylock
0000000180338b70 (__TEXT,__text) non-external (was a private external) __os_lock_nospin_unlock
000000018033922c (__TEXT,__text) non-external __os_lock_recursive_abort
0000000180336d94 (__TEXT,__text) non-external (was a private external) __os_lock_spin_lock
0000000180338a2c (__TEXT,__text) non-external (was a private external) __os_lock_spin_trylock
0000000180336db4 (__TEXT,__text) non-external (was a private external) __os_lock_spin_unlock
00000001803396e8 (__TEXT,__const) non-external __os_lock_type_base
00000001eed75ae0 (__AUTH_CONST,__const) external __os_lock_type_eliding
00000001eed75b00 (__AUTH_CONST,__const) external __os_lock_type_handoff
00000001eed75b40 (__AUTH_CONST,__const) external __os_lock_type_nospin
00000001eed75ae0 (__AUTH_CONST,__const) external __os_lock_type_spin
00000001eed75ae0 (__AUTH_CONST,__const) external __os_lock_type_transactional
00000001eed75b20 (__AUTH_CONST,__const) external __os_lock_type_unfair
0000000180336d68 (__TEXT,__text) non-external (was a private external) __os_lock_unfair_lock
0000000180338adc (__TEXT,__text) non-external (was a private external) __os_lock_unfair_trylock
0000000180338b00 (__TEXT,__text) non-external (was a private external) __os_lock_unfair_unlock
0000000180334abc (__TEXT,__text) external __os_nospin_lock_lock
0000000180336258 (__TEXT,__text) non-external __os_nospin_lock_lock_slow
0000000180334b00 (__TEXT,__text) external __os_nospin_lock_trylock
0000000180334ae0 (__TEXT,__text) external __os_nospin_lock_unlock
000000018033636c (__TEXT,__text) non-external __os_nospin_lock_unlock_slow
0000000180333fc0 (__TEXT,__text) external __os_once
000000018033402c (__TEXT,__text) non-external __os_once_callout
00000001803361a8 (__TEXT,__text) non-external __os_once_gate_broadcast
0000000180339204 (__TEXT,__text) non-external (was a private external) __os_once_gate_corruption_abort
00000001803391b4 (__TEXT,__text) non-external (was a private external) __os_once_gate_recursive_abort
00000001803391dc (__TEXT,__text) non-external (was a private external) __os_once_gate_unowned_abort
0000000180336014 (__TEXT,__text) non-external __os_once_gate_wait
0000000180335f28 (__TEXT,__text) external __os_semaphore_create
00000001803392ec (__TEXT,__text) non-external __os_semaphore_create.cold.1
0000000180339314 (__TEXT,__text) non-external __os_semaphore_create.cold.2
0000000180335f78 (__TEXT,__text) external __os_semaphore_dispose
000000018033933c (__TEXT,__text) non-external __os_semaphore_dispose.cold.1
0000000180336e28 (__TEXT,__text) external __os_semaphore_signal
0000000180339364 (__TEXT,__text) non-external __os_semaphore_signal.cold.1
0000000180336e48 (__TEXT,__text) external __os_semaphore_wait
000000018033938c (__TEXT,__text) non-external __os_semaphore_wait.cold.1
000000018033918c (__TEXT,__text) non-external (was a private external) __os_unfair_lock_corruption_abort
0000000180334760 (__TEXT,__text) non-external __os_unfair_lock_lock_slow
000000018033913c (__TEXT,__text) non-external (was a private external) __os_unfair_lock_recursive_abort
00000001803348e8 (__TEXT,__text) non-external __os_unfair_lock_unlock_slow
0000000180339164 (__TEXT,__text) non-external (was a private external) __os_unfair_lock_unowned_abort
                 (undefined) external __os_xbs_chrooted (from libsystem_kernel)
0000000180336610 (__TEXT,__text) external __platform_bzero
0000000180338c24 (__TEXT,__text) external __platform_memccpy
00000001803342c0 (__TEXT,__text) external __platform_memchr
00000001803343d0 (__TEXT,__text) external __platform_memcmp
0000000180336940 (__TEXT,__text) external __platform_memmove
0000000180336670 (__TEXT,__text) external __platform_memset
0000000180334560 (__TEXT,__text) external __platform_memset_pattern16
0000000180334520 (__TEXT,__text) external __platform_memset_pattern4
0000000180334540 (__TEXT,__text) external __platform_memset_pattern8
0000000180336b60 (__TEXT,__text) external __platform_strchr
0000000180333c30 (__TEXT,__text) external __platform_strcmp
000000018033424c (__TEXT,__text) external __platform_strcpy
00000001eed75a58 (__AUTH_CONST,__const) non-external __platform_string_functions
0000000180334cf0 (__TEXT,__text) external __platform_strlcat
00000001803344a0 (__TEXT,__text) external __platform_strlcpy
0000000180333f60 (__TEXT,__text) external __platform_strlen
0000000180333d90 (__TEXT,__text) external __platform_strncmp
0000000180334a1c (__TEXT,__text) external __platform_strncpy
0000000180333ec0 (__TEXT,__text) external __platform_strnlen
0000000180334998 (__TEXT,__text) external __platform_strstr
0000000180337b60 (__TEXT,__text) non-external __platform_task_deallocate
00000001803380e8 (__TEXT,__text) non-external __platform_thread_deallocate
0000000180338f74 (__TEXT,__text) non-external (was a private external) __setcontext
0000000180334b9c (__TEXT,__text) external __setjmp
0000000180336c0c (__TEXT,__text) non-external (was a private external) __sigtramp
00000001803370a8 (__TEXT,__text) non-external (was a private external) __sigunaltstack
0000000180335c0c (__TEXT,__text) non-external __simple_asl_connect_once
0000000180335868 (__TEXT,__text) non-external __simple_asl_escape_key
00000001803358dc (__TEXT,__text) non-external __simple_asl_escape_val
0000000180336744 (__TEXT,__text) non-external (was a private external) __simple_asl_init
0000000180336924 (__TEXT,__text) non-external __simple_asl_init_context
0000000180335558 (__TEXT,__text) external __simple_asl_log
00000001803355e0 (__TEXT,__text) external __simple_asl_log_prog
00000001803356a8 (__TEXT,__text) external __simple_asl_msg_new
00000001803356f4 (__TEXT,__text) external __simple_asl_msg_set
00000001803359d8 (__TEXT,__text) external __simple_asl_send
00000001803382a8 (__TEXT,__text) external __simple_dprintf
00000001803378a4 (__TEXT,__text) external __simple_esappend
0000000180335838 (__TEXT,__text) external __simple_esprintf
000000018033657c (__TEXT,__text) external __simple_getenv
0000000180338414 (__TEXT,__text) external __simple_put
000000018033841c (__TEXT,__text) external __simple_putline
0000000180334d8c (__TEXT,__text) external __simple_salloc
000000018033593c (__TEXT,__text) external __simple_sappend
00000001803351ac (__TEXT,__text) external __simple_sfree
0000000180334e38 (__TEXT,__text) external __simple_sprintf
00000001803359a4 (__TEXT,__text) external __simple_sresize
000000018033519c (__TEXT,__text) external __simple_string
000000018033815c (__TEXT,__text) external __simple_vdprintf
00000001803370e0 (__TEXT,__text) external __simple_vesprintf
0000000180334e10 (__TEXT,__text) external __simple_vsprintf
0000000180336bd8 (__TEXT,__text) external __spin_lock
0000000180338a14 (__TEXT,__text) external __spin_lock_try
0000000180336bf4 (__TEXT,__text) external __spin_unlock
                 (undefined) external _close (from libsystem_kernel)
00000001eb7451a0 (__DATA_DIRTY,__common) non-external (was a private external) _commpage_pfz_base
                 (undefined) external _connect (from libsystem_kernel)
0000000180335240 (__TEXT,__text) non-external _dec
                 (undefined) external _fcntl (from libsystem_kernel)
00000001803340f8 (__TEXT,__text) external _ffs
0000000180334110 (__TEXT,__text) external _ffsl
0000000180334110 (__TEXT,__text) external _ffsll
0000000180334128 (__TEXT,__text) external _fls
0000000180334138 (__TEXT,__text) external _flsl
0000000180334138 (__TEXT,__text) external _flsll
00000001df33c318 (__DATA,__crash_info) non-external (was a private external) _gCRAnnotations
000000018033903c (__TEXT,__text) external _getcontext
                 (undefined) external _getgid (from libsystem_kernel)
                 (undefined) external _getpid (from libsystem_kernel)
                 (undefined) external _getrlimit (from libsystem_kernel)
                 (undefined) external _getuid (from libsystem_kernel)
0000000180334e70 (__TEXT,__text) non-external _hex
0000000180334cb4 (__TEXT,__text) external _longjmp
                 (undefined) external _mach_absolute_time (from libsystem_kernel)
                 (undefined) external _mach_port_deallocate (from libsystem_kernel)
                 (undefined) external _mach_port_mod_refs (from libsystem_kernel)
                 (undefined) external _mach_task_self_ (from libsystem_kernel)
                 (undefined) external _mach_timebase_info (from libsystem_kernel)
                 (undefined) external _mach_vm_allocate (from libsystem_kernel)
                 (undefined) external _mach_vm_deallocate (from libsystem_kernel)
                 (undefined) external _mach_vm_map (from libsystem_kernel)
                 (undefined) external _mach_vm_read (from libsystem_kernel)
                 (undefined) external _mach_vm_remap (from libsystem_kernel)
0000000180338d5c (__TEXT,__text) external _makecontext
0000000180338c20 (__TEXT,__text) non-external (was a private external) _memset
0000000180338464 (__TEXT,__text) non-external _oct
0000000180336c5c (__TEXT,__text) external _os_lock_lock
0000000180336fa4 (__TEXT,__text) external _os_lock_trylock
0000000180336c90 (__TEXT,__text) external _os_lock_unlock
00000001803346e0 (__TEXT,__text) external _os_unfair_lock_assert_not_owner
000000018033927c (__TEXT,__text) non-external _os_unfair_lock_assert_not_owner.cold.1
00000001803340c4 (__TEXT,__text) external _os_unfair_lock_assert_owner
0000000180339254 (__TEXT,__text) non-external _os_unfair_lock_assert_owner.cold.1
000000018033409c (__TEXT,__text) external _os_unfair_lock_lock
0000000180338a48 (__TEXT,__text) external _os_unfair_lock_lock_no_tsd
0000000180333b80 (__TEXT,__text) external _os_unfair_lock_lock_with_options
0000000180334a9c (__TEXT,__text) external _os_unfair_lock_trylock
0000000180333ba4 (__TEXT,__text) external _os_unfair_lock_unlock
0000000180338a60 (__TEXT,__text) external _os_unfair_lock_unlock_no_tsd
0000000180333bc4 (__TEXT,__text) external _os_unfair_recursive_lock_lock_with_options
0000000180338a74 (__TEXT,__text) external _os_unfair_recursive_lock_owned
0000000180335ee0 (__TEXT,__text) external _os_unfair_recursive_lock_trylock
0000000180334b20 (__TEXT,__text) external _os_unfair_recursive_lock_tryunlock4objc
0000000180333d08 (__TEXT,__text) external _os_unfair_recursive_lock_unlock
0000000180338a94 (__TEXT,__text) external _os_unfair_recursive_lock_unlock_forked_child
00000001803392a4 (__TEXT,__text) non-external _os_unfair_recursive_lock_unlock_forked_child.cold.1
                 (undefined) external _pid_for_task (from libsystem_kernel)
0000000180337a08 (__TEXT,__text) external _platform_task_attach
0000000180337f54 (__TEXT,__text) external _platform_task_copy_next_thread
0000000180337c38 (__TEXT,__text) external _platform_task_detach
0000000180337c3c (__TEXT,__text) external _platform_task_is_64_bit
0000000180337c58 (__TEXT,__text) external _platform_task_perform
0000000180337c50 (__TEXT,__text) external _platform_task_resume_threads
0000000180337c48 (__TEXT,__text) external _platform_task_suspend_threads
0000000180337c60 (__TEXT,__text) external _platform_task_update_threads
000000018033801c (__TEXT,__text) external _platform_thread_abort_safely
00000001803380e0 (__TEXT,__text) external _platform_thread_get_pthread
0000000180338080 (__TEXT,__text) external _platform_thread_get_state
0000000180337ff4 (__TEXT,__text) external _platform_thread_get_unique_id
0000000180338034 (__TEXT,__text) external _platform_thread_info
00000001803380d8 (__TEXT,__text) external _platform_thread_perform
0000000180337ffc (__TEXT,__text) external _platform_thread_release
00000001803390c4 (__TEXT,__text) non-external _platform_thread_release.cold.1
000000018033802c (__TEXT,__text) external _platform_thread_resume
00000001803380cc (__TEXT,__text) external _platform_thread_set_state
0000000180338024 (__TEXT,__text) external _platform_thread_suspend
0000000180338e70 (__TEXT,__text) non-external (was a private external) _populate_signal_stack_context
                 (undefined) external _semaphore_create (from libsystem_kernel)
                 (undefined) external _semaphore_destroy (from libsystem_kernel)
                 (undefined) external _semaphore_signal (from libsystem_kernel)
                 (undefined) external _semaphore_wait (from libsystem_kernel)
0000000180338f0c (__TEXT,__text) external _setcontext
0000000180334c74 (__TEXT,__text) external _setjmp
0000000180334ca8 (__TEXT,__text) external _siglongjmp
                 (undefined) external _sigprocmask (from libsystem_kernel)
0000000180334c68 (__TEXT,__text) external _sigsetjmp
                 (undefined) external _socket (from libsystem_kernel)
0000000180336bd8 (__TEXT,__text) external _spin_lock
0000000180338a14 (__TEXT,__text) external _spin_lock_try
0000000180336bf4 (__TEXT,__text) external _spin_unlock
0000000180338ca0 (__TEXT,__text) external _swapcontext
0000000180338898 (__TEXT,__text) external _sys_cache_control
0000000180338938 (__TEXT,__text) external _sys_dcache_flush
00000001803388e4 (__TEXT,__text) external _sys_icache_invalidate
                 (undefined) external _task_info (from libsystem_kernel)
                 (undefined) external _task_threads (from libsystem_kernel)
                 (undefined) external _thread_abort_safely (from libsystem_kernel)
                 (undefined) external _thread_get_state (from libsystem_kernel)
                 (undefined) external _thread_info (from libsystem_kernel)
                 (undefined) external _thread_resume (from libsystem_kernel)
                 (undefined) external _thread_set_state (from libsystem_kernel)
                 (undefined) external _thread_suspend (from libsystem_kernel)
                 (undefined) external _thread_switch (from libsystem_kernel)
0000000180335d00 (__TEXT,__text) non-external _udec
                 (undefined) external _vm_allocate (from libsystem_kernel)
                 (undefined) external _vm_deallocate (from libsystem_kernel)
                 (undefined) external _vm_page_size (from libsystem_kernel)
                 (undefined) external _write (from libsystem_kernel)
0000000180338618 (__TEXT,__text) non-external _ydec
