00007ffb0013a2f2 (__TEXT,__text) non-external _DiToMD5
00007ffb0014b24a (__TEXT,__text) non-external _IOUserServerMain.cold.7
00007ffb0014b26d (__TEXT,__text) non-external _IOUserServerMain.cold.8
00007ffb0014b290 (__TEXT,__text) non-external _IOUserServerMain.cold.9
00007ffb40004120 (__DATA_CONST,__const) external _IOUserServer_Class
00007ffb43f7e448 (__DATA_DIRTY,__common) external _IOVMPageSize
00007ffb400042d0 (__DATA_CONST,__const) external _IOWorkGroup_Class
00007ffb0013a45b (__TEXT,__text) external _MD5Final
00007ffb0013a270 (__TEXT,__text) external _MD5Init
00007ffb0013a3ef (__TEXT,__text) non-external _MD5ToDi
00007ffb0013a34b (__TEXT,__text) external _MD5Update
                 (undefined) external _NDR_record (from libSystem)
00007ffb40004430 (__DATA_CONST,__const) external _OSAction_Class
00007ffb40003ee0 (__DATA_CONST,__const) external _OSAction_IOUserClient_KernelCompletion_Class
00007ffb40005530 (__DATA_CONST,__const) external _OSAction__IOBlockStorageDevice_KernelCompletion_Class
00007ffb0012c3d0 (__TEXT,__text) external _OSArrayAppendValue
00007ffb0012c045 (__TEXT,__text) external _OSArrayApply
00007ffb0012bffe (__TEXT,__text) external _OSArrayCreate
00007ffb0012b6c2 (__TEXT,__text) external _OSArrayGetCount
00007ffb0012c45e (__TEXT,__text) external _OSArrayGetStringValue
00007ffb0012c4ce (__TEXT,__text) external _OSArrayGetUInt64Value
00007ffb0012c404 (__TEXT,__text) external _OSArrayGetValue
00007ffb0012c3c1 (__TEXT,__text) external _OSArrayReplaceValue
00007ffb0012c489 (__TEXT,__text) external _OSArraySetStringValue
00007ffb0012c594 (__TEXT,__text) external _OSArraySetUInt64Value
00007ffb0012c221 (__TEXT,__text) external _OSArraySetValue
00007ffb400045e0 (__DATA_CONST,__const) external _OSArray_Class
00007ffb400046d8 (__DATA_CONST,__const) external _OSBoolean_Class
00007ffb400047d0 (__DATA_CONST,__const) external _OSBundle_Class
00007ffb0012a38f (__TEXT,__text) external _OSCollectionTypeID
00007ffb0014be06 (__TEXT,__text) non-external _OSCollectionTypeID.cold.1
00007ffb0012a30c (__TEXT,__text) external _OSCollectionTypeName
00007ffb0014bdc2 (__TEXT,__text) non-external _OSCollectionTypeName.cold.1
00007ffb400048c8 (__DATA_CONST,__const) external _OSCollection_Class
00007ffb0012ebfa (__TEXT,__text) external _OSCollectionsInitialize
00007ffb400049c0 (__DATA_CONST,__const) external _OSContainer_Class
00007ffb0012a3f3 (__TEXT,__text) external _OSCreateObjectFromSerialization
00007ffb0014be4c (__TEXT,__text) non-external _OSCreateObjectFromSerialization.cold.1
00007ffb0012ced1 (__TEXT,__text) external _OSCreateSerializationFromBytes
00007ffb0014c37a (__TEXT,__text) non-external _OSCreateSerializationFromBytes.cold.1
00007ffb0012cde0 (__TEXT,__text) external _OSCreateSerializationFromObject
00007ffb0012b55f (__TEXT,__text) external _OSDataAppendBytes
00007ffb0012b4c9 (__TEXT,__text) external _OSDataCreate
00007ffb0014bfec (__TEXT,__text) non-external _OSDataCreate.cold.1
00007ffb0012b475 (__TEXT,__text) external _OSDataGetBytes
00007ffb0012b42c (__TEXT,__text) external _OSDataGetBytesPtr
00007ffb0012b464 (__TEXT,__text) external _OSDataGetLength
00007ffb40004b20 (__DATA_CONST,__const) external _OSData_Class
00007ffb0012b6cf (__TEXT,__text) external _OSDictionaryApply
00007ffb0012b66e (__TEXT,__text) external _OSDictionaryCreate
00007ffb0012b6b5 (__TEXT,__text) external _OSDictionaryGetCount
00007ffb0012bd7d (__TEXT,__text) external _OSDictionaryGetStringValue
00007ffb0012bf24 (__TEXT,__text) external _OSDictionaryGetUInt64Value
00007ffb0012bcf8 (__TEXT,__text) external _OSDictionaryGetValue
00007ffb0012bedf (__TEXT,__text) external _OSDictionarySetStringValue
00007ffb0012bfc0 (__TEXT,__text) external _OSDictionarySetUInt64Value
00007ffb0012b98a (__TEXT,__text) external _OSDictionarySetValue
00007ffb40004c18 (__DATA_CONST,__const) external _OSDictionary_Class
00007ffb40004d10 (__DATA_CONST,__const) external _OSMappedFile_Class
00007ffb0012b618 (__TEXT,__text) external _OSNumberCreateWithUInt64Value
00007ffb0012b5f7 (__TEXT,__text) external _OSNumberGetUInt64Value
00007ffb40004e08 (__DATA_CONST,__const) external _OSNumber_Class
00007ffb0012d456 (__TEXT,__text) external _OSObjectLog
00007ffb0012a347 (__TEXT,__text) external _OSObjectRelease
00007ffb0012a33c (__TEXT,__text) external _OSObjectRetain
00007ffb40004f00 (__DATA_CONST,__const) external _OSObject_Class
00007ffb400050b0 (__DATA_CONST,__const) external _OSOrderedSet_Class
00007ffb001206d4 (__TEXT,__text) external _OSReportWithBacktrace
00007ffb0012cff6 (__TEXT,__text) external _OSSerializationGetBytes
00007ffb400051a8 (__DATA_CONST,__const) external _OSSerialization_Class
00007ffb400052a0 (__DATA_CONST,__const) external _OSSet_Class
00007ffb0012aec6 (__TEXT,__text) external _OSStringCreate
00007ffb0014befb (__TEXT,__text) non-external _OSStringCreate.cold.1
00007ffb0014bf1e (__TEXT,__text) non-external _OSStringCreate.cold.2
00007ffb0014bf3f (__TEXT,__text) non-external _OSStringCreate.cold.3
00007ffb0012ae7b (__TEXT,__text) external _OSStringGetLength
00007ffb0012ae42 (__TEXT,__text) external _OSStringGetStringPtr
00007ffb40005398 (__DATA_CONST,__const) external _OSString_Class
00007ffb001201d2 (__TEXT,__text) external _OSSynchronizeIO
00007ffb40da9010 (__DATA,__bss) non-external _OSUniqueStrings
00007ffb001209fd (__TEXT,__text) external _PE_i_can_has_debugger
00007ffb0013a6db (__TEXT,__text) external _SHA1Final
00007ffb0013a4f0 (__TEXT,__text) external _SHA1Init
00007ffb0013a678 (__TEXT,__text) non-external _SHA1ToDi
00007ffb0013a5d3 (__TEXT,__text) external _SHA1Update
00007ffb0013aede (__TEXT,__text) external _SHA256_Final
00007ffb0013ae6b (__TEXT,__text) external _SHA256_Init
00007ffb0014caf0 (__TEXT,__text) non-external _SHA256_Init.cold.1
00007ffb0013aeab (__TEXT,__text) external _SHA256_Update
00007ffb0013af7c (__TEXT,__text) external _SHA384_Final
00007ffb0013af03 (__TEXT,__text) external _SHA384_Init
00007ffb0014cb09 (__TEXT,__text) non-external _SHA384_Init.cold.1
00007ffb0013af49 (__TEXT,__text) external _SHA384_Update
00007ffb0013b01a (__TEXT,__text) external _SHA512_Final
00007ffb0013afa1 (__TEXT,__text) external _SHA512_Init
00007ffb0014cb22 (__TEXT,__text) non-external _SHA512_Init.cold.1
00007ffb0013afe7 (__TEXT,__text) external _SHA512_Update
                 (undefined) external __Block_copy (from libSystem)
                 (undefined) external __Block_object_assign (from libSystem)
                 (undefined) external __Block_object_dispose (from libSystem)
                 (undefined) external __Block_release (from libSystem)
00007ffb0012151a (__TEXT,__text) non-external __GLOBAL__sub_I_IOLib.cpp
00007ffb0013b03f (__TEXT,__text) non-external __GLOBAL__sub_I_ObjectIntrospection.mm
00007ffb40005490 (__DATA_CONST,__const) external __IOBlockStorageDevice_Class
                 (undefined) external __NSConcreteGlobalBlock (from libSystem)
                 (undefined) external __NSConcreteStackBlock (from libSystem)
                 (undefined) external __NSGetExecutablePath (from libSystem)
00007ffb0012188a (__TEXT,__text) non-external (was a private external) __Z11OSFindClassP18IOUserServer_IVarsPKc
00007ffb0014a8a2 (__TEXT,__text) non-external __Z11OSFindClassP18IOUserServer_IVarsPKc.cold.1
00007ffb0014a8c5 (__TEXT,__text) non-external __Z11OSFindClassP18IOUserServer_IVarsPKc.cold.2
00007ffb001231a1 (__TEXT,__text) non-external (was a private external) __Z11ThreadStartPFPvS_ES_
00007ffb0014aef1 (__TEXT,__text) non-external __Z11ThreadStartPFPvS_ES_.cold.1
00007ffb0014af14 (__TEXT,__text) non-external __Z11ThreadStartPFPvS_ES_.cold.2
00007ffb0014af37 (__TEXT,__text) non-external __Z11ThreadStartPFPvS_ES_.cold.3
00007ffb0014af5a (__TEXT,__text) non-external __Z11ThreadStartPFPvS_ES_.cold.4
00007ffb0014af7d (__TEXT,__text) non-external __Z11ThreadStartPFPvS_ES_.cold.5
00007ffb0012229e (__TEXT,__text) non-external (was a private external) __Z12InvokeRemoteP18IOUserServer_IVarsy5IORPC
00007ffb0014abcc (__TEXT,__text) non-external __Z12InvokeRemoteP18IOUserServer_IVarsy5IORPC.cold.1
00007ffb0014abef (__TEXT,__text) non-external __Z12InvokeRemoteP18IOUserServer_IVarsy5IORPC.cold.2
00007ffb0014ac12 (__TEXT,__text) non-external __Z12InvokeRemoteP18IOUserServer_IVarsy5IORPC.cold.3
00007ffb0014ac35 (__TEXT,__text) non-external __Z12InvokeRemoteP18IOUserServer_IVarsy5IORPC.cold.4
00007ffb00121b34 (__TEXT,__text) non-external (was a private external) __Z12OSObjectFreeP15OSMetaClassBase
00007ffb0014a951 (__TEXT,__text) non-external __Z12OSObjectFreeP15OSMetaClassBase.cold.1
00007ffb0012c3e6 (__TEXT,__text) non-external (was a private external) __Z15OSArrayGetEntryP7OSArraym
00007ffb0012eba4 (__TEXT,__text) non-external (was a private external) __Z15OSBooleanCreatev
00007ffb001216c8 (__TEXT,__text) non-external (was a private external) __Z15OSRegisterClassP18IOUserServer_IVarsP11OSMetaClass
00007ffb0014a839 (__TEXT,__text) non-external __Z15OSRegisterClassP18IOUserServer_IVarsP11OSMetaClass.cold.1
00007ffb0014a85c (__TEXT,__text) non-external __Z15OSRegisterClassP18IOUserServer_IVarsP11OSMetaClass.cold.2
00007ffb0014a87f (__TEXT,__text) non-external __Z15OSRegisterClassP18IOUserServer_IVarsP11OSMetaClass.cold.3
00007ffb0012c4f9 (__TEXT,__text) non-external (was a private external) __Z16OSArrayGetStringP7OSArraym
00007ffb0012c569 (__TEXT,__text) non-external (was a private external) __Z16OSArrayGetUInt64P7OSArraym
00007ffb0012c524 (__TEXT,__text) non-external (was a private external) __Z16OSArraySetStringP7OSArraymPKc
00007ffb001218df (__TEXT,__text) external __Z16OSObjectAllocateP11OSMetaClassPP8OSObject
00007ffb0012c8f4 (__TEXT,__text) non-external (was a private external) __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry
00007ffb0014c262 (__TEXT,__text) non-external __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry.cold.1
00007ffb0014c285 (__TEXT,__text) non-external __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry.cold.2
00007ffb0014c2a8 (__TEXT,__text) non-external __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry.cold.3
00007ffb0014c2cb (__TEXT,__text) non-external __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry.cold.4
00007ffb0014c2ee (__TEXT,__text) non-external __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry.cold.5
00007ffb0014c311 (__TEXT,__text) non-external __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry.cold.6
00007ffb0011fcee (__TEXT,__text) external __Z16OSUnserializeXMLPKcPP8OSString
00007ffb0011fde6 (__TEXT,__text) external __Z16OSUnserializeXMLPKcmPP8OSString
00007ffb00121df2 (__TEXT,__text) external __Z17OSObjectTryRetainP8OSObject
00007ffb0014a995 (__TEXT,__text) non-external __Z17OSObjectTryRetainP8OSObject.cold.1
00007ffb00121ee8 (__TEXT,__text) non-external (was a private external) __Z17SearchMethodArrayyPKyjPy
00007ffb001235b2 (__TEXT,__text) non-external (was a private external) __Z18OSLoadBundleByPathP18IOUserServer_IVarsPKc
00007ffb0012163b (__TEXT,__text) non-external (was a private external) __Z18OSStringArrayIndexP10IOPStringsPKc
00007ffb001215a3 (__TEXT,__text) non-external (was a private external) __Z19OSCopyInStringArrayPKcj
00007ffb0012d014 (__TEXT,__text) non-external (was a private external) __Z19OSObjectLogInternalP8OSObjectj
00007ffb0014c39d (__TEXT,__text) non-external __Z19OSObjectLogInternalP8OSObjectj.cold.1
00007ffb00121a35 (__TEXT,__text) non-external (was a private external) __Z20OSObjectPortFinalizeP15OSMetaClassBase
00007ffb0014a90b (__TEXT,__text) non-external __Z20OSObjectPortFinalizeP15OSMetaClassBase.cold.1
00007ffb0014a92e (__TEXT,__text) non-external __Z20OSObjectPortFinalizeP15OSMetaClassBase.cold.2
00007ffb0012a3bc (__TEXT,__text) non-external (was a private external) __Z20OSSerializationValueP15OSSerializationj
00007ffb0014be29 (__TEXT,__text) non-external __Z20OSSerializationValueP15OSSerializationj.cold.1
00007ffb0012a352 (__TEXT,__text) non-external (was a private external) __Z21OSSerializationTypeIDj
00007ffb0014bde3 (__TEXT,__text) non-external __Z21OSSerializationTypeIDj.cold.1
00007ffb0011eb80 (__TEXT,__text) non-external (was a private external) __Z21OSUnserializeXMLparsePv
00007ffb0012b3dc (__TEXT,__text) non-external (was a private external) __Z23OSSerializationGetBytesPKjPvmm
00007ffb0012c5d2 (__TEXT,__text) non-external (was a private external) __Z26OSSerializationAppendBytesP15OSSerializationPKvm
00007ffb0014c078 (__TEXT,__text) non-external __Z26OSSerializationAppendBytesP15OSSerializationPKvm.cold.1
00007ffb0014c09b (__TEXT,__text) non-external __Z26OSSerializationAppendBytesP15OSSerializationPKvm.cold.2
00007ffb0014c0be (__TEXT,__text) non-external __Z26OSSerializationAppendBytesP15OSSerializationPKvm.cold.3
00007ffb0014c0e1 (__TEXT,__text) non-external __Z26OSSerializationAppendBytesP15OSSerializationPKvm.cold.4
00007ffb0014c104 (__TEXT,__text) non-external __Z26OSSerializationAppendBytesP15OSSerializationPKvm.cold.5
00007ffb0012b3a8 (__TEXT,__text) non-external (was a private external) __Z26OSSerializationGetBytesPtrPKjmm
00007ffb0012b5db (__TEXT,__text) non-external (was a private external) __Z29OSSerializationGetUInt64ValuePKj
00007ffb0012c709 (__TEXT,__text) non-external (was a private external) __Z30OSSerializationAddBinaryObjectP15OSSerializationS0_17OSCollectionEntry
00007ffb0014c127 (__TEXT,__text) non-external __Z30OSSerializationAddBinaryObjectP15OSSerializationS0_17OSCollectionEntry.cold.1
00007ffb0014c14a (__TEXT,__text) non-external __Z30OSSerializationAddBinaryObjectP15OSSerializationS0_17OSCollectionEntry.cold.2
00007ffb0014c16d (__TEXT,__text) non-external __Z30OSSerializationAddBinaryObjectP15OSSerializationS0_17OSCollectionEntry.cold.3
00007ffb0012358a (__TEXT,__text) non-external (was a private external) __Z7astrcpyPKc
00007ffb00122cb0 (__TEXT,__text) non-external __ZL10IORPCAsyncPv
00007ffb0014951e (__TEXT,__text) non-external __ZL10OSData_NewP11OSMetaClass
00007ffb0011fbfe (__TEXT,__text) non-external __ZL10buildArrayP12parser_stateP6object
00007ffb00120e00 (__TEXT,__text) non-external __ZL10getHexDataP12parser_statePj
00007ffb0014a7a7 (__TEXT,__text) non-external __ZL10getHexDataP12parser_statePj.cold.1
00007ffb00129ea2 (__TEXT,__text) non-external __ZL10uiomessagePv
00007ffb00149432 (__TEXT,__text) non-external __ZL11OSArray_NewP11OSMetaClass
00007ffb0012e0ba (__TEXT,__text) non-external __ZL11OSSetCreatev
00007ffb0014cff0 (__TEXT,__const) non-external __ZL11yytranslate
00007ffb0014a570 (__TEXT,__text) non-external __ZL12IOThread_NewP11OSMetaClass
00007ffb00148e5a (__TEXT,__text) non-external __ZL12OSAction_NewP11OSMetaClass
00007ffb001494a0 (__TEXT,__text) non-external __ZL12OSBundle_NewP11OSMetaClass
00007ffb001495bc (__TEXT,__text) non-external __ZL12OSNumber_NewP11OSMetaClass
00007ffb001495ec (__TEXT,__text) non-external __ZL12OSObject_NewP11OSMetaClass
00007ffb0012b193 (__TEXT,__text) non-external __ZL12OSStringFindjU13block_pointerFbP8OSStringE
00007ffb0012b151 (__TEXT,__text) non-external __ZL12OSStringHashPKcm
00007ffb0014bf62 (__TEXT,__text) non-external __ZL12OSStringHashPKcm.cold.1
00007ffb00149c34 (__TEXT,__text) non-external __ZL12OSString_NewP11OSMetaClass
00007ffb0013b4fe (__TEXT,__text) non-external __ZL13IOCommand_NewP11OSMetaClass
00007ffb001407be (__TEXT,__text) non-external __ZL13IOService_NewP11OSMetaClass
00007ffb00128ce7 (__TEXT,__text) non-external __ZL13IOThreadStartPv
00007ffb0014bb6d (__TEXT,__text) non-external __ZL13IOThreadStartPv.cold.1
00007ffb0014bb90 (__TEXT,__text) non-external __ZL13IOThreadStartPv.cold.2
00007ffb0014bbb3 (__TEXT,__text) non-external __ZL13IOThreadStartPv.cold.3
00007ffb00149470 (__TEXT,__text) non-external __ZL13OSBoolean_NewP11OSMetaClass
00007ffb001406ce (__TEXT,__text) non-external __ZL14IOReporter_NewP11OSMetaClass
00007ffb001248d2 (__TEXT,__text) non-external __ZL14uiomachchannelPv22dispatch_mach_reason_tP19dispatch_mach_msg_si
00007ffb0014b5f9 (__TEXT,__text) non-external __ZL14uiomachchannelPv22dispatch_mach_reason_tP19dispatch_mach_msg_si.cold.1
00007ffb0014b61c (__TEXT,__text) non-external __ZL14uiomachchannelPv22dispatch_mach_reason_tP19dispatch_mach_msg_si.cold.2
00007ffb0014b63f (__TEXT,__text) non-external __ZL14uiomachchannelPv22dispatch_mach_reason_tP19dispatch_mach_msg_si.cold.3
00007ffb0014b662 (__TEXT,__text) non-external __ZL14uiomachchannelPv22dispatch_mach_reason_tP19dispatch_mach_msg_si.cold.4
00007ffb0013dc1c (__TEXT,__text) non-external __ZL15IOEventLink_NewP11OSMetaClass
00007ffb0014043e (__TEXT,__text) non-external __ZL15IOMemoryMap_NewP11OSMetaClass
00007ffb00148804 (__TEXT,__text) non-external __ZL15IOWorkGroup_NewP11OSMetaClass
00007ffb001494ee (__TEXT,__text) non-external __ZL15OSContainer_NewP11OSMetaClass
00007ffb001233fc (__TEXT,__text) non-external __ZL15OSCopyInObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb
00007ffb0014b095 (__TEXT,__text) non-external __ZL15OSCopyInObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb.cold.1
00007ffb0014b0b8 (__TEXT,__text) non-external __ZL15OSCopyInObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb.cold.2
00007ffb0014b0db (__TEXT,__text) non-external __ZL15OSCopyInObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb.cold.3
00007ffb0014b0fe (__TEXT,__text) non-external __ZL15OSCopyInObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb.cold.4
00007ffb00124029 (__TEXT,__text) non-external __ZL15OSScanLibrariesP18IOUserServer_IVarsPKc
00007ffb0014b3fe (__TEXT,__text) non-external __ZL15OSScanLibrariesP18IOUserServer_IVarsPKc.cold.1
00007ffb0014b421 (__TEXT,__text) non-external __ZL15OSScanLibrariesP18IOUserServer_IVarsPKc.cold.2
00007ffb0014b444 (__TEXT,__text) non-external __ZL15OSScanLibrariesP18IOUserServer_IVarsPKc.cold.3
00007ffb0014b467 (__TEXT,__text) non-external __ZL15OSScanLibrariesP18IOUserServer_IVarsPKc.cold.4
00007ffb001298bd (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject
00007ffb0014bc62 (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject.cold.1
00007ffb0014bc85 (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject.cold.2
00007ffb0014bca8 (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject.cold.3
00007ffb0014bccb (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject.cold.4
00007ffb0014bcee (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject.cold.5
00007ffb0014bd11 (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject.cold.6
00007ffb0014bd34 (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject.cold.7
00007ffb40da8fe8 (__DATA,__bss) non-external __ZL15gIOThreadTLSKey
00007ffb0013b56c (__TEXT,__text) non-external __ZL16IODMACommand_NewP11OSMetaClass
00007ffb00147060 (__TEXT,__text) non-external __ZL16IOUserClient_NewP11OSMetaClass
00007ffb00147f5c (__TEXT,__text) non-external __ZL16IOUserServer_NewP11OSMetaClass
00007ffb001494d0 (__TEXT,__text) non-external __ZL16OSCollection_NewP11OSMetaClass
