00000001f547bba0 (__TEXT,__text) non-external +[MGDaemon daemon]
00000001f54760cc (__TEXT,__text) non-external -[MGGroupsMediator queryAgent]
00000001f5475078 (__TEXT,__text) non-external -[MGGroupsMediator removeGroup:]
00000001f54742cc (__TEXT,__text) non-external -[MGGroupsMediator removeGroup:ifExists_unsafe:]
00000001f5475f40 (__TEXT,__text) non-external -[MGGroupsMediator removeGroupWithIdentifier:]
00000001f5476100 (__TEXT,__text) non-external -[MGGroupsMediator setActivities:]
00000001f5476110 (__TEXT,__text) non-external -[MGGroupsMediator setPendingChanges:]
00000001f5474a24 (__TEXT,__text) non-external -[MGGroupsMediator startActivityWithName:]
00000001f5474210 (__TEXT,__text) non-external -[MGGroupsMediator upsertGroup_unsafe:]
00000001f5479450 (__TEXT,__text) non-external -[MGGroupsQueryAgent .cxx_destruct]
00000001f5476be8 (__TEXT,__text) non-external -[MGGroupsQueryAgent _performQueryExchangeUsingGroups:currentIdentifier:]
00000001f5476e1c (__TEXT,__text) non-external -[MGGroupsQueryAgent _prepareWithGroups:currentIdentifier:]
00000001f54787c8 (__TEXT,__text) non-external -[MGGroupsQueryAgent _queryOperation:didFindGroups:]
00000001f5476b88 (__TEXT,__text) non-external -[MGGroupsQueryAgent _withLock:]
00000001f5478c88 (__TEXT,__text) non-external -[MGGroupsQueryAgent addOutstandingQuery:]
00000001f5479420 (__TEXT,__text) non-external -[MGGroupsQueryAgent containers]
00000001f5479418 (__TEXT,__text) non-external -[MGGroupsQueryAgent currentIdentifier]
00000001f54793cc (__TEXT,__text) non-external -[MGGroupsQueryAgent delegate]
00000001f5479268 (__TEXT,__text) non-external -[MGGroupsQueryAgent groupsMediator:didUpdateGroups:]
00000001f5479410 (__TEXT,__text) non-external -[MGGroupsQueryAgent groups]
00000001f54765f0 (__TEXT,__text) non-external -[MGGroupsQueryAgent initWithDelegate:]
00000001f5476828 (__TEXT,__text) non-external -[MGGroupsQueryAgent init]
00000001f5479400 (__TEXT,__text) non-external -[MGGroupsQueryAgent operations]
00000001f5479440 (__TEXT,__text) non-external -[MGGroupsQueryAgent queries]
00000001f54793f8 (__TEXT,__text) non-external -[MGGroupsQueryAgent queue]
00000001f5478fbc (__TEXT,__text) non-external -[MGGroupsQueryAgent removeOutstandingQuery:]
00000001f5479428 (__TEXT,__text) non-external -[MGGroupsQueryAgent setContainers:]
00000001f5476ae0 (__TEXT,__text) non-external -[MGGroupsQueryAgent setCurrentDeviceIdentifier:]
00000001f5476990 (__TEXT,__text) non-external -[MGGroupsQueryAgent setCurrentIdentifier:]
00000001f5476830 (__TEXT,__text) non-external -[MGGroupsQueryAgent setGroups:]
00000001f5479408 (__TEXT,__text) non-external -[MGGroupsQueryAgent setOperations:]
00000001f5479448 (__TEXT,__text) non-external -[MGGroupsQueryAgent setQueries:]
00000001f5479438 (__TEXT,__text) non-external -[MGGroupsQueryAgent setVariables:]
00000001f5479430 (__TEXT,__text) non-external -[MGGroupsQueryAgent variables]
00000001f547994c (__TEXT,__text) non-external -[MGGroupsQueryOperation .cxx_destruct]
00000001f547990c (__TEXT,__text) non-external -[MGGroupsQueryOperation agent]
00000001f547992c (__TEXT,__text) non-external -[MGGroupsQueryOperation groups]
00000001f54794d8 (__TEXT,__text) non-external -[MGGroupsQueryOperation initWithAgent:query:groups:substitutionVariables:]
00000001f5479600 (__TEXT,__text) non-external -[MGGroupsQueryOperation main]
00000001f547991c (__TEXT,__text) non-external -[MGGroupsQueryOperation query]
00000001f547993c (__TEXT,__text) non-external -[MGGroupsQueryOperation variables]
00000001f547afe8 (__TEXT,__text) non-external -[MGOutstandingQuery .cxx_destruct]
00000001f547afd8 (__TEXT,__text) non-external -[MGOutstandingQuery identifier]
00000001f547af40 (__TEXT,__text) non-external -[MGOutstandingQuery initWithPredicate:]
00000001f547afe0 (__TEXT,__text) non-external -[MGOutstandingQuery predicate]
00000001f5480610 (__TEXT,__text) non-external -[MGServiceClient .cxx_destruct]
00000001f547fdc4 (__TEXT,__text) non-external -[MGServiceClient _withLock:]
00000001f547ffe8 (__TEXT,__text) non-external -[MGServiceClient addQuery:]
00000001f54805ec (__TEXT,__text) non-external -[MGServiceClient connection]
00000001f547fcbc (__TEXT,__text) non-external -[MGServiceClient copyWithZone:]
00000001f547fd1c (__TEXT,__text) non-external -[MGServiceClient description]
00000001f5480408 (__TEXT,__text) non-external -[MGServiceClient enumerateQueriesUsingBlock:]
00000001f547fc7c (__TEXT,__text) non-external -[MGServiceClient hash]
00000001f547fb34 (__TEXT,__text) non-external -[MGServiceClient initWithConnection:]
00000001f547fbc4 (__TEXT,__text) non-external -[MGServiceClient isEqual:]
00000001f5480250 (__TEXT,__text) non-external -[MGServiceClient outstandingQueryForIdentifier:]
00000001f54805f4 (__TEXT,__text) non-external -[MGServiceClient queries]
00000001f5480120 (__TEXT,__text) non-external -[MGServiceClient removeQuery:]
00000001f547fe2c (__TEXT,__text) non-external -[MGServiceClient setQueries:]
00000001f5480604 (__TEXT,__text) non-external -[MGServiceClient setTransaction:]
00000001f54805fc (__TEXT,__text) non-external -[MGServiceClient transaction]
00000001f5480d1c (__TEXT,__text) non-external -[MGServiceClientSet .cxx_destruct]
00000001f54806cc (__TEXT,__text) non-external -[MGServiceClientSet _withLock:]
00000001f54808d4 (__TEXT,__text) non-external -[MGServiceClientSet addClientService:]
00000001f5480d0c (__TEXT,__text) non-external -[MGServiceClientSet clients]
00000001f5480afc (__TEXT,__text) non-external -[MGServiceClientSet enumerateClientsUsingBlock:]
00000001f5480660 (__TEXT,__text) non-external -[MGServiceClientSet init]
00000001f54809f0 (__TEXT,__text) non-external -[MGServiceClientSet removeClientService:]
00000001f5480734 (__TEXT,__text) non-external -[MGServiceClientSet serviceClientForXPCConnection:]
00000001f5480d14 (__TEXT,__text) non-external -[MGServiceClientSet setClients:]
00000001f54765a0 (__TEXT,__text) non-external -[MGServiceListenerProvider .cxx_destruct]
00000001f54763c4 (__TEXT,__text) non-external -[MGServiceListenerProvider dispatchQueue]
00000001f5476598 (__TEXT,__text) non-external -[MGServiceListenerProvider entitlement]
00000001f547631c (__TEXT,__text) non-external -[MGServiceListenerProvider initWithServiceName:entitlement:]
00000001f547646c (__TEXT,__text) non-external -[MGServiceListenerProvider serviceListener]
00000001f5476590 (__TEXT,__text) non-external -[MGServiceListenerProvider serviceName]
00000001f54764dc (__TEXT,__text) non-external -[MGServiceListenerProvider serviceShouldAcceptNewConnection:]
00000001f54817c0 (__TEXT,__gcc_except_tab) non-external GCC_except_table11
00000001f54817fc (__TEXT,__gcc_except_tab) non-external GCC_except_table11
00000001f54816ac (__TEXT,__gcc_except_tab) non-external GCC_except_table12
00000001f5481768 (__TEXT,__gcc_except_tab) non-external GCC_except_table12
00000001f5481810 (__TEXT,__gcc_except_tab) non-external GCC_except_table15
00000001f54816bc (__TEXT,__gcc_except_tab) non-external GCC_except_table20
00000001f54816d0 (__TEXT,__gcc_except_tab) non-external GCC_except_table24
00000001f54816e4 (__TEXT,__gcc_except_tab) non-external GCC_except_table26
00000001f5481830 (__TEXT,__gcc_except_tab) non-external GCC_except_table26
00000001f54816f8 (__TEXT,__gcc_except_tab) non-external GCC_except_table28
00000001f548177c (__TEXT,__gcc_except_tab) non-external GCC_except_table31
00000001f5481710 (__TEXT,__gcc_except_tab) non-external GCC_except_table32
00000001f5481844 (__TEXT,__gcc_except_tab) non-external GCC_except_table32
00000001f5481728 (__TEXT,__gcc_except_tab) non-external GCC_except_table34
00000001f5481740 (__TEXT,__gcc_except_tab) non-external GCC_except_table36
00000001f54817e4 (__TEXT,__gcc_except_tab) non-external GCC_except_table37
00000001f5481798 (__TEXT,__gcc_except_tab) non-external GCC_except_table56
00000001f5481698 (__TEXT,__gcc_except_tab) non-external GCC_except_table6
00000001f5481754 (__TEXT,__gcc_except_tab) non-external GCC_except_table7
                 (undefined) external _HMAccessoryCategoryTypeAudioReceiver (from HomeKit)
                 (undefined) external _HMAccessoryCategoryTypeHomePod (from HomeKit)
                 (undefined) external _HMAccessoryCategoryTypeSpeaker (from HomeKit)
00000001f547a83c (__TEXT,__text) non-external (was a private external) _MGAccessoriesInMediaSystem
00000001f547a0a8 (__TEXT,__text) non-external (was a private external) _MGAccessoryCategoryTypeForAccessory
00000001f547a100 (__TEXT,__text) non-external (was a private external) _MGClassForGroupIdentifier
                 (undefined) external _MGErrorDomain (from MediaGroups)
00000001f547a410 (__TEXT,__text) non-external (was a private external) _MGGroupIdentifierForAccessory
00000001f547a4dc (__TEXT,__text) non-external (was a private external) _MGGroupIdentifierForAccessoryIdentifierInHome
00000001f547aae8 (__TEXT,__text) non-external (was a private external) _MGGroupIdentifierForHome
00000001f547ab90 (__TEXT,__text) non-external (was a private external) _MGGroupIdentifierForHomeIdentifierInHome
00000001f547aaf0 (__TEXT,__text) non-external (was a private external) _MGGroupIdentifierForHomeInHome
00000001f547aea4 (__TEXT,__text) non-external (was a private external) _MGGroupIdentifierForMediaSystemIdentifierInHome
00000001f547ae04 (__TEXT,__text) non-external (was a private external) _MGGroupIdentifierForMediaSystemInHome
00000001f547ad68 (__TEXT,__text) non-external (was a private external) _MGGroupIdentifierForRoomIdentifierInHome
00000001f547aa48 (__TEXT,__text) non-external (was a private external) _MGGroupIdentifierForRoomInHome
00000001f547accc (__TEXT,__text) non-external (was a private external) _MGGroupIdentifierForZoneIdentifierInHome
00000001f547ac2c (__TEXT,__text) non-external (was a private external) _MGGroupIdentifierForZoneInHome
00000001f547a050 (__TEXT,__text) non-external (was a private external) _MGHomeUniqueIdentifierForAccessory
00000001f547b02c (__TEXT,__text) non-external (was a private external) _MGLogForCategory
0000000213681218 (__DATA_CONST,__const) non-external _MGLogForCategory.categories
0000000216684b30 (__DATA,__common) non-external (was a private external) _MGLogForCategory.onceToken
0000000216684b18 (__DATA,__common) non-external (was a private external) _MGLogForCategory.oslog
00000001f547a048 (__TEXT,__text) non-external (was a private external) _MGSetDaemonXPCInterfacesOnConnection
00000001f5479b2c (__TEXT,__text) non-external (was a private external) _MGSetServiceXPCInterfacesOnConnection
00000001f5481678 (__TEXT,__const) non-external (was a private external) _MediaGroupsDaemonVersionNumber
00000001f5481638 (__TEXT,__const) non-external (was a private external) _MediaGroupsDaemonVersionString
                 (undefined) external _NSLog (from Foundation)
                 (undefined) external _NSStringFromClass (from Foundation)
                 (undefined) external _OBJC_CLASS_$_MGAudioReceiverAccessory (from MediaGroups)
0000000218414b48 (__AUTH,__objc_data) external _OBJC_CLASS_$_MGDaemon
                 (undefined) external _OBJC_CLASS_$_MGGroup (from MediaGroups)
                 (undefined) external _OBJC_CLASS_$_MGGroupIdentifier (from MediaGroups)
0000000218414990 (__AUTH,__objc_data) non-external _OBJC_CLASS_$_MGGroupsActivity
0000000218414968 (__AUTH,__objc_data) non-external (was a private external) _OBJC_CLASS_$_MGGroupsMediator
0000000218414a58 (__AUTH,__objc_data) non-external (was a private external) _OBJC_CLASS_$_MGGroupsQueryAgent
0000000218414a80 (__AUTH,__objc_data) non-external _OBJC_CLASS_$_MGGroupsQueryOperation
                 (undefined) external _OBJC_CLASS_$_MGHome (from MediaGroups)
                 (undefined) external _OBJC_CLASS_$_MGHomePodAccessory (from MediaGroups)
                 (undefined) external _OBJC_CLASS_$_MGMediaSystem (from MediaGroups)
0000000218414af8 (__AUTH,__objc_data) non-external (was a private external) _OBJC_CLASS_$_MGOutstandingQuery
                 (undefined) external _OBJC_CLASS_$_MGRoom (from MediaGroups)
0000000218414b98 (__AUTH,__objc_data) non-external (was a private external) _OBJC_CLASS_$_MGServiceClient
0000000218414be8 (__AUTH,__objc_data) non-external (was a private external) _OBJC_CLASS_$_MGServiceClientSet
0000000218414a08 (__AUTH,__objc_data) non-external (was a private external) _OBJC_CLASS_$_MGServiceListenerProvider
                 (undefined) external _OBJC_CLASS_$_MGSoloDevice (from MediaGroups)
                 (undefined) external _OBJC_CLASS_$_MGSpeakerAccessory (from MediaGroups)
                 (undefined) external _OBJC_CLASS_$_MGZone (from MediaGroups)
                 (undefined) external _OBJC_CLASS_$_NSArray (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSCharacterSet (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSCompoundPredicate (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSData (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSDate (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSDictionary (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSError (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSKeyedUnarchiver (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSMapTable (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableArray (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableDictionary (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableSet (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSNull (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSNumber (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSObject (from libobjc)
                 (undefined) external _OBJC_CLASS_$_NSOperation (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSOperationQueue (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSPredicate (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSProcessInfo (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSSet (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSString (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSURLComponents (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSURLQueryItem (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSUUID (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSUserDefaults (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSXPCConnection (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSXPCInterface (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSXPCListener (from Foundation)
                 (undefined) external _OBJC_EHTYPE_$_NSException (from CoreFoundation)
00000002166848b0 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGDaemon._clients
00000002166848ac (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGDaemon._dispatchQueue
00000002166848b4 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGDaemon._groupsMediator
00000002166848a8 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGDaemon._listener
00000002166848a4 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGDaemon._listenerProvider
00000002166848b8 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGDaemon._queryAgent
0000000216684854 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGGroupsActivity._name
0000000216684858 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGGroupsActivity._when
0000000216684850 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGGroupsMediator._activities
0000000216684844 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGGroupsMediator._groups
0000000216684840 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGGroupsMediator._lock
0000000216684848 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGGroupsMediator._pendingChanges
000000021668484c (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGGroupsMediator._queryAgent
0000000216684880 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGGroupsQueryAgent._containers
000000021668487c (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGGroupsQueryAgent._currentIdentifier
000000021668486c (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGGroupsQueryAgent._delegate
0000000216684878 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGGroupsQueryAgent._groups
0000000216684868 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGGroupsQueryAgent._lock
0000000216684874 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGGroupsQueryAgent._operations
0000000216684888 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGGroupsQueryAgent._queries
0000000216684870 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGGroupsQueryAgent._queue
0000000216684884 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGGroupsQueryAgent._variables
000000021668489c (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGOutstandingQuery._identifier
00000002166848a0 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGOutstandingQuery._predicate
00000002166848c0 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGServiceClient._connection
00000002166848bc (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGServiceClient._lock
00000002166848c4 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGServiceClient._queries
00000002166848c8 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGServiceClient._transaction
00000002166848d0 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGServiceClientSet._clients
00000002166848cc (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGServiceClientSet._lock
000000021668485c (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGServiceListenerProvider._dispatchQueue
0000000216684864 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGServiceListenerProvider._entitlement
0000000216684860 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGServiceListenerProvider._serviceName
0000000218414b70 (__AUTH,__objc_data) external _OBJC_METACLASS_$_MGDaemon
00000002184149e0 (__AUTH,__objc_data) non-external _OBJC_METACLASS_$_MGGroupsActivity
00000002184149b8 (__AUTH,__objc_data) non-external _OBJC_METACLASS_$_MGGroupsMediator
0000000218414aa8 (__AUTH,__objc_data) non-external _OBJC_METACLASS_$_MGGroupsQueryAgent
0000000218414ad0 (__AUTH,__objc_data) non-external _OBJC_METACLASS_$_MGGroupsQueryOperation
0000000218414b20 (__AUTH,__objc_data) non-external _OBJC_METACLASS_$_MGOutstandingQuery
0000000218414bc0 (__AUTH,__objc_data) non-external _OBJC_METACLASS_$_MGServiceClient
0000000218414c10 (__AUTH,__objc_data) non-external _OBJC_METACLASS_$_MGServiceClientSet
0000000218414a30 (__AUTH,__objc_data) non-external _OBJC_METACLASS_$_MGServiceListenerProvider
                 (undefined) external _OBJC_METACLASS_$_NSObject (from libobjc)
                 (undefined) external _OBJC_METACLASS_$_NSOperation (from Foundation)
00000001f5477e98 (__TEXT,__text) non-external __AddContainmentForGroup
                 (undefined) external __Block_object_assign (from libSystem)
                 (undefined) external __Block_object_dispose (from libSystem)
00000001f547a62c (__TEXT,__text) non-external __MGGroupIdentifierHomeKitComponents
000000021668488c (__DATA,__objc_ivar) non-external __MergedGlobals
0000000216684b38 (__DATA,__bss) non-external __MergedGlobals
                 (undefined) external __NSConcreteGlobalBlock (from libSystem)
                 (undefined) external __NSConcreteStackBlock (from libSystem)
                 (undefined) external __NSIsNSString (from CoreFoundation)
00000001f5481370 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_MGDaemon
00000001f5481388 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_MGDaemon
00000001f5480fe8 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_MGGroupsActivity
00000001f5481030 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_MGGroupsMediator
00000001f54811a0 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_MGGroupsQueryAgent
00000001f54812d8 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_MGGroupsQueryOperation
00000001f5481338 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_MGOutstandingQuery
00000001f5481510 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_MGServiceClient
00000001f54815d0 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_MGServiceClientSet
00000001f5481140 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_MGServiceListenerProvider
0000000213682178 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_MGDaemon
00000002136813d0 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_MGGroupsActivity
00000002136812f0 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_MGGroupsMediator
00000002136818d0 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_MGGroupsQueryAgent
0000000213681a80 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_MGGroupsQueryOperation
0000000213681c80 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_MGOutstandingQuery
00000002136822e8 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_MGServiceClient
00000002136823a8 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_MGServiceClientSet
00000002136817f0 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_MGServiceListenerProvider
0000000213682240 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_MGDaemon
0000000213681418 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_MGGroupsActivity
0000000213681398 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_MGGroupsMediator
00000002136819f8 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_MGGroupsQueryAgent
0000000213681b08 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_MGGroupsQueryOperation
0000000213681cc8 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_MGOutstandingQuery
0000000213682370 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_MGServiceClient
00000002136823f0 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_MGServiceClientSet
0000000213681858 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_MGServiceListenerProvider
0000000213681630 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_NSObject
0000000213681ee0 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_NSObject
0000000213681b50 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_INSTANCE_METHODS_MGClientInterfaceProtocol
0000000213681b78 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_INSTANCE_METHODS_MGServiceInterfaceProtocol
0000000213682008 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_INSTANCE_METHODS_MGServiceInterfaceProtocol
0000000213681730 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_INSTANCE_METHODS_MGServiceListenerProviderProtocol
0000000213681440 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_INSTANCE_METHODS_NSObject
0000000213681cf0 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_INSTANCE_METHODS_NSObject
0000000213682128 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_INSTANCE_METHODS_OPT_MGGroupsQueryAgentDelegate
