00007ffe060ce320 (__TEXT,__text) external _AAAFSCGetMetadata
00007ffe0606ca4b (__TEXT,__text) external _AAByteRangeCreate
00007ffe0606cac1 (__TEXT,__text) external _AAByteRangeDestroy
00007ffe0606cd9b (__TEXT,__text) external _AAByteRangeFirst
00007ffe0606cea9 (__TEXT,__text) external _AAByteRangeNext
00007ffe0606cd31 (__TEXT,__text) external _AAByteRangeOffsetAtSize
00007ffe0606ccbf (__TEXT,__text) external _AAByteRangeSizeAtOffset
00007ffe0606cc4b (__TEXT,__text) external _AAByteRangeSub
00007ffe060cc839 (__TEXT,__text) external _AAByteStreamCancel
00007ffe060cc84e (__TEXT,__text) external _AAByteStreamClose
00007ffe060cc885 (__TEXT,__text) external _AAByteStreamCloseWithState
00007ffe060cc8ce (__TEXT,__text) external _AAByteStreamFlush
00007ffe060cc801 (__TEXT,__text) external _AAByteStreamPRead
00007ffe060cc902 (__TEXT,__text) external _AAByteStreamPReadAsync
00007ffe060cc7c9 (__TEXT,__text) external _AAByteStreamPWrite
00007ffe060a53ec (__TEXT,__text) external _AAByteStreamProcess
00007ffe060cc7e5 (__TEXT,__text) external _AAByteStreamRead
00007ffe060cc81d (__TEXT,__text) external _AAByteStreamSeek
00007ffe060cc8e8 (__TEXT,__text) external _AAByteStreamTruncate
00007ffe060cc718 (__TEXT,__text) external _AAByteStreamWrite
00007ffe0608ab50 (__TEXT,__text) external _AAChunkAsyncStreamOpen
00007ffe0608a282 (__TEXT,__text) external _AAChunkInputStreamOpen
00007ffe060a2596 (__TEXT,__text) external _AAChunkOutputStreamOpen
00007ffe060d10d4 (__TEXT,__text) external _AACompressionOutputStreamOpen
00007ffe060d1a21 (__TEXT,__text) external _AACompressionOutputStreamOpenExisting
00007ffe06093f10 (__TEXT,__text) external _AAConvertArchiveOutputStreamOpen
00007ffe06055fe4 (__TEXT,__text) external _AACustomArchiveStreamOpen
00007ffe0605605d (__TEXT,__text) external _AACustomArchiveStreamSetCancelProc
00007ffe06056053 (__TEXT,__text) external _AACustomArchiveStreamSetCloseProc
00007ffe0605604a (__TEXT,__text) external _AACustomArchiveStreamSetData
00007ffe06056085 (__TEXT,__text) external _AACustomArchiveStreamSetReadBlobProc
00007ffe0605607b (__TEXT,__text) external _AACustomArchiveStreamSetReadHeaderProc
00007ffe06056071 (__TEXT,__text) external _AACustomArchiveStreamSetWriteBlobProc
00007ffe06056067 (__TEXT,__text) external _AACustomArchiveStreamSetWriteHeaderProc
00007ffe060cd6a2 (__TEXT,__text) external _AACustomByteStreamOpen
00007ffe060cd73c (__TEXT,__text) external _AACustomByteStreamSetCancelProc
00007ffe060cd700 (__TEXT,__text) external _AACustomByteStreamSetCloseProc
00007ffe060cd6f7 (__TEXT,__text) external _AACustomByteStreamSetData
00007ffe060cd714 (__TEXT,__text) external _AACustomByteStreamSetPReadProc
00007ffe060cd728 (__TEXT,__text) external _AACustomByteStreamSetPWriteProc
00007ffe060cd70a (__TEXT,__text) external _AACustomByteStreamSetReadProc
00007ffe060cd732 (__TEXT,__text) external _AACustomByteStreamSetSeekProc
00007ffe060cd71e (__TEXT,__text) external _AACustomByteStreamSetWriteProc
00007ffe060caf3c (__TEXT,__text) external _AADecodeArchiveInputStreamOpen
00007ffe060cd0be (__TEXT,__text) external _AADecompressionInputStreamOpen
00007ffe060d4d0c (__TEXT,__text) external _AADecompressionRandomAccessInputStreamOpen
00007ffe060c9288 (__TEXT,__text) external _AAEncodeArchiveOutputStreamOpen
00007ffe060c1480 (__TEXT,__text) external _AAEntryACLBlobAppendEntry
00007ffe060c2210 (__TEXT,__text) external _AAEntryACLBlobApplyToPath
00007ffe060c21ff (__TEXT,__text) external _AAEntryACLBlobClear
00007ffe060c20ac (__TEXT,__text) external _AAEntryACLBlobCreate
00007ffe060c216c (__TEXT,__text) external _AAEntryACLBlobCreateWithEncodedData
00007ffe060c21b3 (__TEXT,__text) external _AAEntryACLBlobCreateWithPath
00007ffe060c2112 (__TEXT,__text) external _AAEntryACLBlobDestroy
00007ffe060c2927 (__TEXT,__text) external _AAEntryACLBlobGetEncodedData
00007ffe060c291d (__TEXT,__text) external _AAEntryACLBlobGetEncodedSize
00007ffe060c235a (__TEXT,__text) external _AAEntryACLBlobGetEntry
00007ffe060c2352 (__TEXT,__text) external _AAEntryACLBlobGetEntryCount
00007ffe060c2859 (__TEXT,__text) external _AAEntryACLBlobRemoveEntry
00007ffe060c2508 (__TEXT,__text) external _AAEntryACLBlobSetEntry
00007ffe060be467 (__TEXT,__text) external _AAEntryXATBlobAppendEntry
00007ffe060bec7f (__TEXT,__text) external _AAEntryXATBlobApplyToPath
00007ffe060bec6e (__TEXT,__text) external _AAEntryXATBlobClear
00007ffe060beb1b (__TEXT,__text) external _AAEntryXATBlobCreate
00007ffe060bebdb (__TEXT,__text) external _AAEntryXATBlobCreateWithEncodedData
00007ffe060bec22 (__TEXT,__text) external _AAEntryXATBlobCreateWithPath
00007ffe060beb81 (__TEXT,__text) external _AAEntryXATBlobDestroy
00007ffe060bf2ae (__TEXT,__text) external _AAEntryXATBlobGetEncodedData
00007ffe060bf2a4 (__TEXT,__text) external _AAEntryXATBlobGetEncodedSize
00007ffe060bedc9 (__TEXT,__text) external _AAEntryXATBlobGetEntry
00007ffe060bedc1 (__TEXT,__text) external _AAEntryXATBlobGetEntryCount
00007ffe060bf1e0 (__TEXT,__text) external _AAEntryXATBlobRemoveEntry
00007ffe060beefc (__TEXT,__text) external _AAEntryXATBlobSetEntry
00007ffe060c8fde (__TEXT,__text) external _AAEntryYECBlobApplyToPath
00007ffe060c8e9c (__TEXT,__text) external _AAEntryYECBlobCreate
00007ffe060c8f3c (__TEXT,__text) external _AAEntryYECBlobCreateWithEncodedData
00007ffe060c8f83 (__TEXT,__text) external _AAEntryYECBlobCreateWithPath
00007ffe060c8f02 (__TEXT,__text) external _AAEntryYECBlobDestroy
00007ffe060c927e (__TEXT,__text) external _AAEntryYECBlobGetEncodedData
00007ffe060c9275 (__TEXT,__text) external _AAEntryYECBlobGetEncodedSize
00007ffe060b675f (__TEXT,__text) external _AAExtractArchiveOutputStreamOpen
00007ffe060b5770 (__TEXT,__text) external _AAExtractArchiveOutputStreamSetQuarantine
00007ffe060b2fb6 (__TEXT,__text) external _AAFieldKeySetClear
00007ffe060b2e97 (__TEXT,__text) external _AAFieldKeySetClone
00007ffe060b2fc4 (__TEXT,__text) external _AAFieldKeySetContainsKey
00007ffe060b2b10 (__TEXT,__text) external _AAFieldKeySetCreate
00007ffe060b2b76 (__TEXT,__text) external _AAFieldKeySetCreateWithString
00007ffe060b2e71 (__TEXT,__text) external _AAFieldKeySetDestroy
00007ffe060b3587 (__TEXT,__text) external _AAFieldKeySetGetKey
00007ffe060b357f (__TEXT,__text) external _AAFieldKeySetGetKeyCount
00007ffe060b3068 (__TEXT,__text) external _AAFieldKeySetInsertKey
00007ffe060b32d0 (__TEXT,__text) external _AAFieldKeySetInsertKeySet
00007ffe060b3213 (__TEXT,__text) external _AAFieldKeySetRemoveKey
00007ffe060b3484 (__TEXT,__text) external _AAFieldKeySetRemoveKeySet
00007ffe060b351b (__TEXT,__text) external _AAFieldKeySetSelectKeySet
00007ffe060b3596 (__TEXT,__text) external _AAFieldKeySetSerialize
00007ffe060cc91c (__TEXT,__text) external _AAFileStreamOpenWithFD
00007ffe060ccc6f (__TEXT,__text) external _AAFileStreamOpenWithPath
00007ffe060d6191 (__TEXT,__text) non-external (was a private external) _AAGenericRandomAccessInputStreamOpen
00007ffe060bc60d (__TEXT,__text) external _AAHeaderAssign
00007ffe060bcbdd (__TEXT,__text) external _AAHeaderClear
00007ffe060bc561 (__TEXT,__text) external _AAHeaderClone
00007ffe060bc474 (__TEXT,__text) external _AAHeaderCreate
00007ffe060bc7c5 (__TEXT,__text) external _AAHeaderCreateWithEncodedData
00007ffe060bc80c (__TEXT,__text) external _AAHeaderCreateWithPath
00007ffe060bc51b (__TEXT,__text) external _AAHeaderDestroy
00007ffe060bdc84 (__TEXT,__text) external _AAHeaderGetEncodedData
00007ffe060bdc7a (__TEXT,__text) external _AAHeaderGetEncodedSize
00007ffe060bc364 (__TEXT,__text) external _AAHeaderGetFieldBlob
00007ffe060bc306 (__TEXT,__text) external _AAHeaderGetFieldCount
00007ffe060bcdd1 (__TEXT,__text) external _AAHeaderGetFieldHash
00007ffe060bc3f2 (__TEXT,__text) external _AAHeaderGetFieldKey
00007ffe060bccc0 (__TEXT,__text) external _AAHeaderGetFieldString
00007ffe060bced8 (__TEXT,__text) external _AAHeaderGetFieldTimespec
00007ffe060bc30e (__TEXT,__text) external _AAHeaderGetFieldType
00007ffe060bcc39 (__TEXT,__text) external _AAHeaderGetFieldUInt
00007ffe060bcc02 (__TEXT,__text) external _AAHeaderGetKeyIndex
00007ffe060bdc70 (__TEXT,__text) external _AAHeaderGetPayloadSize
00007ffe060bc867 (__TEXT,__text) external _AAHeaderRemoveField
00007ffe060bda73 (__TEXT,__text) external _AAHeaderSetFieldBlob
00007ffe060bcffa (__TEXT,__text) external _AAHeaderSetFieldFlag
00007ffe060bd650 (__TEXT,__text) external _AAHeaderSetFieldHash
00007ffe060bd434 (__TEXT,__text) external _AAHeaderSetFieldString
00007ffe060bd893 (__TEXT,__text) external _AAHeaderSetFieldTimespec
00007ffe060bd239 (__TEXT,__text) external _AAHeaderSetFieldUInt
00007ffe060d3845 (__TEXT,__text) non-external (was a private external) _AAJSONInputStreamClose
00007ffe060d3767 (__TEXT,__text) non-external (was a private external) _AAJSONInputStreamOpen
00007ffe060d3887 (__TEXT,__text) non-external (was a private external) _AAJSONInputStreamRead
00007ffe060cd0ca (__TEXT,__text) external _AAMagicInputStreamOpen
00007ffe0607e522 (__TEXT,__text) external _AAMemoryInputStreamOpen
00007ffe0607e8e0 (__TEXT,__text) external _AAMemoryOutputStreamCloseWithSize
00007ffe0607e719 (__TEXT,__text) external _AAMemoryOutputStreamOpen
00007ffe0605f438 (__TEXT,__text) external _AAPathFilterAddRule
00007ffe0605f946 (__TEXT,__text) external _AAPathFilterApply
00007ffe060da542 (__TEXT,__text) non-external _AAPathFilterApply.cold.1
00007ffe060da5dd (__TEXT,__text) non-external _AAPathFilterApply.cold.2
00007ffe0605f2d8 (__TEXT,__text) external _AAPathFilterCreate
00007ffe0605f3bd (__TEXT,__text) external _AAPathFilterDestroy
00007ffe060b3600 (__TEXT,__text) external _AAPathListCreate
00007ffe060b3796 (__TEXT,__text) external _AAPathListCreateWithDirectoryContents
00007ffe060b4e61 (__TEXT,__text) external _AAPathListCreateWithPath
00007ffe060b3767 (__TEXT,__text) external _AAPathListDestroy
00007ffe060b5335 (__TEXT,__text) external _AAPathListGetNode
00007ffe060b546c (__TEXT,__text) external _AAPathListMerge
00007ffe060b55c8 (__TEXT,__text) external _AAPathListNodeFirst
00007ffe060b5212 (__TEXT,__text) external _AAPathListNodeGetPath
00007ffe060b55e4 (__TEXT,__text) external _AAPathListNodeNext
00007ffe06073b68 (__TEXT,__text) external _AARandomAccessByteStreamProcess
00007ffe060adbb0 (__TEXT,__text) external _AARandomAccessDecodeAndExtract
00007ffe0608766f (__TEXT,__text) external _AARangeInputStreamOpen
00007ffe060789c1 (__TEXT,__text) external _AARemoveArchiveOutputStreamOpen
00007ffe060ccf37 (__TEXT,__text) external _AASharedBufferPipeOpen
00007ffe060cd387 (__TEXT,__text) external _AATeeOutputStreamOpen
00007ffe060ccceb (__TEXT,__text) external _AATempFileStreamOpen
00007ffe060cccf7 (__TEXT,__text) external _AATempFileStreamOpenWithDirectory
00007ffe0609aebd (__TEXT,__text) external _AATempStreamOpen
00007ffe0609aec9 (__TEXT,__text) external _AATempStreamOpenWithDirectory
00007ffe060ac875 (__TEXT,__text) external _AAThreadErrorContextEnter
00007ffe060ac87f (__TEXT,__text) external _AAThreadErrorContextLeave
00007ffe06062d24 (__TEXT,__text) external _AAVerifyDirectoryArchiveOutputStreamOpen
00007ffe0605e0c6 (__TEXT,__text) external _AEAAuthDataAppendEntry
00007ffe0605e78c (__TEXT,__text) external _AEAAuthDataClear
00007ffe0605d9a8 (__TEXT,__text) external _AEAAuthDataCreate
00007ffe0605da68 (__TEXT,__text) external _AEAAuthDataCreateWithContext
00007ffe0605da0e (__TEXT,__text) external _AEAAuthDataDestroy
00007ffe0605e86b (__TEXT,__text) external _AEAAuthDataGetEncodedData
00007ffe0605e861 (__TEXT,__text) external _AEAAuthDataGetEncodedSize
00007ffe0605df93 (__TEXT,__text) external _AEAAuthDataGetEntry
00007ffe0605df8b (__TEXT,__text) external _AEAAuthDataGetEntryCount
00007ffe0605e79d (__TEXT,__text) external _AEAAuthDataRemoveEntry
00007ffe0605e4a8 (__TEXT,__text) external _AEAAuthDataSetEntry
00007ffe0609f999 (__TEXT,__text) external _AEAContextCreateWithEncryptedStream
00007ffe0609f8e0 (__TEXT,__text) external _AEAContextCreateWithProfile
00007ffe06077ad6 (__TEXT,__text) external _AEAContextDecryptAttributes
00007ffe0609f864 (__TEXT,__text) external _AEAContextDestroy
00007ffe060a04b5 (__TEXT,__text) external _AEAContextGenerateFieldBlob
00007ffe060a0642 (__TEXT,__text) external _AEAContextGetContainerSizeUpperBound
00007ffe0609fd8c (__TEXT,__text) external _AEAContextGetFieldBlob
00007ffe0609fcd4 (__TEXT,__text) external _AEAContextGetFieldUInt
00007ffe060a0190 (__TEXT,__text) external _AEAContextSetFieldBlob
00007ffe060a05e3 (__TEXT,__text) external _AEAContextSetFieldCallback
00007ffe0609ffbc (__TEXT,__text) external _AEAContextSetFieldUInt
00007ffe06065371 (__TEXT,__text) non-external _AEADDecrypt_AESCTR_MAC256_KEY640
00007ffe06064e55 (__TEXT,__text) non-external _AEADDecrypt_None_MAC256_KEY256
00007ffe06064ece (__TEXT,__text) non-external _AEADEncrypt_AESCTR_MAC256_KEY640
00007ffe06064dbf (__TEXT,__text) non-external _AEADEncrypt_None_MAC256_KEY256
00007ffe0605b847 (__TEXT,__text) external _AEADecryptAndExtract
00007ffe060a7c65 (__TEXT,__text) external _AEADecryptAndExtractAsyncStreamOpen
00007ffe0605b2bc (__TEXT,__text) external _AEADecryptAndExtractChunk
00007ffe060a96a6 (__TEXT,__text) external _AEADecryptAndExtractChunkAsyncStreamOpen
00007ffe060536e0 (__TEXT,__text) external _AEADecryptAsyncStreamOpen
00007ffe060704d1 (__TEXT,__text) external _AEADecryptInPlace
00007ffe06079ff0 (__TEXT,__text) external _AEADecryptToFile
00007ffe0609a144 (__TEXT,__text) external _AEADecryptToFileAsyncStreamOpen
00007ffe06079a4d (__TEXT,__text) external _AEADecryptToFileChunk
00007ffe0609ae3f (__TEXT,__text) external _AEADecryptToFileChunkAsyncStreamOpen
00007ffe060d8d3d (__TEXT,__text) external _AEADecryptToStream
00007ffe060d84f8 (__TEXT,__text) external _AEADecryptToStreamChunk
00007ffe060743b3 (__TEXT,__text) external _AEADecryptionDirectRandomAccessInputStreamOpen
00007ffe060669c7 (__TEXT,__text) external _AEADecryptionInputStreamOpen
00007ffe060591fa (__TEXT,__text) external _AEADecryptionRandomAccessInputStreamOpen
00007ffe06070a22 (__TEXT,__text) external _AEAEncryptInPlace
00007ffe0606b57d (__TEXT,__text) external _AEAEncryptionOutputStreamCloseAndUpdateContext
00007ffe0606a7af (__TEXT,__text) external _AEAEncryptionOutputStreamOpen
00007ffe0606adb5 (__TEXT,__text) external _AEAEncryptionOutputStreamOpenExisting
00007ffe06070bbe (__TEXT,__text) external _AEAKeychainGenerateItem
00007ffe060714a4 (__TEXT,__text) external _AEAKeychainHasItem
00007ffe060712f2 (__TEXT,__text) external _AEAKeychainLoadItem
00007ffe060715ad (__TEXT,__text) external _AEAKeychainRemoveItem
00007ffe06070e70 (__TEXT,__text) external _AEAKeychainStoreItem
00007ffe06062478 (__TEXT,__text) external _AEAStreamSign
00007ffe0609cf9f (__TEXT,__text) non-external (was a private external) _BXDiff5
00007ffe06099e9b (__TEXT,__text) non-external _BXDiff5Data_free
00007ffe0606e939 (__TEXT,__text) non-external (was a private external) _BXDiff5GetPatchInfo
00007ffe0609cfae (__TEXT,__text) non-external (was a private external) _BXDiff5WithIndividualPatches
00007ffe06081ca4 (__TEXT,__text) non-external (was a private external) _BXDiffMatchesCreate
00007ffe06082e38 (__TEXT,__text) non-external (was a private external) _BXDiffMatchesDestroy
00007ffe06082e67 (__TEXT,__text) non-external (was a private external) _BXDiffMatchesGetBestMatch
00007ffe06083125 (__TEXT,__text) non-external (was a private external) _BXDiffMatchesIBuf
00007ffe0608312f (__TEXT,__text) non-external (was a private external) _BXDiffMatchesISize
00007ffe06083138 (__TEXT,__text) non-external (was a private external) _BXDiffMatchesOBuf
00007ffe06083142 (__TEXT,__text) non-external (was a private external) _BXDiffMatchesOSize
00007ffe0606f566 (__TEXT,__text) non-external (was a private external) _BXPatch5FileWithFlags
00007ffe0606f7c8 (__TEXT,__text) non-external (was a private external) _BXPatch5InPlace
00007ffe0606e98b (__TEXT,__text) non-external (was a private external) _BXPatch5StreamWithFlags
00007ffe0606f681 (__TEXT,__text) non-external _BXPatch5WithFlagsFileStreamPRead
                 (undefined) external _BZ2_bzDecompress (from libbz2)
                 (undefined) external _BZ2_bzDecompressEnd (from libbz2)
                 (undefined) external _BZ2_bzDecompressInit (from libbz2)
00007ffe0607fd77 (__TEXT,__text) non-external (was a private external) _BlobBufferFree
00007ffe0607fcdd (__TEXT,__text) non-external (was a private external) _BlobBufferIncreaseCapacity
00007ffe0607fc38 (__TEXT,__text) non-external (was a private external) _BlobBufferStore
00007ffe060745b0 (__TEXT,__text) non-external _BlockDecryptionStreamCancel
00007ffe06074588 (__TEXT,__text) non-external _BlockDecryptionStreamClose
00007ffe060745cd (__TEXT,__text) non-external _BlockDecryptionStreamPRead
00007ffe06074972 (__TEXT,__text) non-external _BlockDecryptionStreamRead
                 (undefined) external _CCCryptorCreateWithMode (from libSystem)
                 (undefined) external _CCCryptorFinal (from libSystem)
                 (undefined) external _CCCryptorGetOutputLength (from libSystem)
                 (undefined) external _CCCryptorRelease (from libSystem)
                 (undefined) external _CCCryptorUpdate (from libSystem)
                 (undefined) external _CCDeriveKey (from libSystem)
                 (undefined) external _CCHmacFinal (from libSystem)
                 (undefined) external _CCHmacInit (from libSystem)
                 (undefined) external _CCHmacUpdate (from libSystem)
                 (undefined) external _CCKDFParametersCreateHkdf (from libSystem)
                 (undefined) external _CCKDFParametersDestroy (from libSystem)
                 (undefined) external _CCRandomGenerateBytes (from libSystem)
00007ffe0608ab07 (__TEXT,__text) non-external (was a private external) _CC_CKSUM_Final
00007ffe0608aaaa (__TEXT,__text) non-external (was a private external) _CC_CKSUM_Init
00007ffe0608aac3 (__TEXT,__text) non-external (was a private external) _CC_CKSUM_Update
00007ffe0608cbe0 (__TEXT,__text) non-external (was a private external) _CC_SHA1_Deprecated_Final
00007ffe0608cbcc (__TEXT,__text) non-external (was a private external) _CC_SHA1_Deprecated_Init
00007ffe0608cbd6 (__TEXT,__text) non-external (was a private external) _CC_SHA1_Deprecated_Update
                 (undefined) external _CC_SHA1_Final (from libSystem)
                 (undefined) external _CC_SHA1_Init (from libSystem)
                 (undefined) external _CC_SHA1_Update (from libSystem)
                 (undefined) external _CC_SHA256_Final (from libSystem)
                 (undefined) external _CC_SHA256_Init (from libSystem)
                 (undefined) external _CC_SHA256_Update (from libSystem)
                 (undefined) external _CC_SHA384_Final (from libSystem)
                 (undefined) external _CC_SHA384_Init (from libSystem)
                 (undefined) external _CC_SHA384_Update (from libSystem)
                 (undefined) external _CC_SHA512_Final (from libSystem)
                 (undefined) external _CC_SHA512_Init (from libSystem)
                 (undefined) external _CC_SHA512_Update (from libSystem)
                 (undefined) external _CFDataCreate (from CoreFoundation)
                 (undefined) external _CFDataGetBytePtr (from CoreFoundation)
                 (undefined) external _CFDataGetLength (from CoreFoundation)
                 (undefined) external _CFDataGetTypeID (from CoreFoundation)
                 (undefined) external _CFDictionaryAddValue (from CoreFoundation)
                 (undefined) external _CFDictionaryCreateMutable (from CoreFoundation)
                 (undefined) external _CFErrorCopyDescription (from CoreFoundation)
                 (undefined) external _CFErrorCreateWithUserInfoKeysAndValues (from CoreFoundation)
                 (undefined) external _CFGetTypeID (from CoreFoundation)
                 (undefined) external _CFNumberCreate (from CoreFoundation)
                 (undefined) external _CFRelease (from CoreFoundation)
                 (undefined) external _CFStringCreateWithCString (from CoreFoundation)
                 (undefined) external _CFStringGetCString (from CoreFoundation)
                 (undefined) external _CFStringGetLength (from CoreFoundation)
00007ffe060ef1f0 (__TEXT,__const) non-external _CKSUMTable
00007ffe060d1574 (__TEXT,__text) non-external _CompressionConsumerProc
00007ffe060d13a0 (__TEXT,__text) non-external _CompressionWorkerDataCreate
00007ffe060d224c (__TEXT,__text) non-external _CompressionWorkerDataDestroy
00007ffe060d14ea (__TEXT,__text) non-external _CompressionWorkerProc
00007ffe06065d54 (__TEXT,__text) non-external _DHERecipient_ECDHE_P256
00007ffe060659cf (__TEXT,__text) non-external _DHESender_ECDHE_P256
00007ffe0606628d (__TEXT,__text) non-external _DSASign_ECDSA_P256
00007ffe060664f8 (__TEXT,__text) non-external _DSAVerify_ECDSA_P256
00007ffe060660a4 (__TEXT,__text) non-external _DerivePublicFromPrivate_ECP256
00007ffe06066237 (__TEXT,__text) non-external _Digest_SHA256
00007ffe06074d24 (__TEXT,__text) non-external (was a private external) _ECC65537CheckAndFix
00007ffe06074985 (__TEXT,__text) non-external (was a private external) _ECC65537GetParity
00007ffe060eef80 (__TEXT,__const) non-external _ECC65537_G
00007ffe06080408 (__TEXT,__text) non-external (was a private external) _ECCFixThreadProc
00007ffe0607fb84 (__TEXT,__text) non-external _ForkOutputStreamCancel
00007ffe0607fb95 (__TEXT,__text) non-external _ForkOutputStreamClose
00007ffe0607f86e (__TEXT,__text) non-external _ForkOutputStreamPWrite
00007ffe0607ece6 (__TEXT,__text) non-external _ForkOutputStreamWrite
00007ffe060a1a5b (__TEXT,__text) non-external (was a private external) _GetLargeFileControls
00007ffe060a0fc6 (__TEXT,__text) non-external (was a private external) _GetLargeFileControlsWithStreams
00007ffe06064c34 (__TEXT,__text) non-external _HKDFDerive
00007ffe0606682f (__TEXT,__text) non-external _HMACDerive_SHA256
00007ffe060667bd (__TEXT,__text) non-external _HMACFinal_SHA256
00007ffe0606672d (__TEXT,__text) non-external _HMACInit_SHA256
00007ffe060667a5 (__TEXT,__text) non-external _HMACUpdate_SHA256
00007ffe0606690a (__TEXT,__text) non-external _HMACVerify_SHA256
00007ffe06075db2 (__TEXT,__text) non-external (was a private external) _IDecoderStreamAbort
00007ffe06075b5c (__TEXT,__text) non-external (was a private external) _IDecoderStreamCreate
00007ffe06075cab (__TEXT,__text) non-external (was a private external) _IDecoderStreamDestroy
00007ffe06075d96 (__TEXT,__text) non-external (was a private external) _IDecoderStreamRead
00007ffe06075b22 (__TEXT,__text) non-external (was a private external) _IDecoderStreamThreadProc
00007ffe060843dc (__TEXT,__text) non-external (was a private external) _IFileStreamCreateWithFD
00007ffe0608408a (__TEXT,__text) non-external (was a private external) _IFileStreamCreateWithFilename
00007ffe060843a5 (__TEXT,__text) non-external (was a private external) _IFileStreamDestroy
00007ffe06084504 (__TEXT,__text) non-external (was a private external) _IFileStreamRead
00007ffe06075dc7 (__TEXT,__text) non-external (was a private external) _ILowMemoryDecoderStreamCreate
00007ffe060763e8 (__TEXT,__text) non-external (was a private external) _ILowMemoryDecoderStreamCreateWithBuffer
00007ffe0607637f (__TEXT,__text) non-external (was a private external) _ILowMemoryDecoderStreamDestroy
00007ffe06076465 (__TEXT,__text) non-external (was a private external) _ILowMemoryDecoderStreamRead
00007ffe06085105 (__TEXT,__text) non-external (was a private external) _IMemStreamAbort
00007ffe06085049 (__TEXT,__text) non-external (was a private external) _IMemStreamCreate
00007ffe0608503f (__TEXT,__text) non-external (was a private external) _IMemStreamDestroy
00007ffe060850ba (__TEXT,__text) non-external (was a private external) _IMemStreamRead
00007ffe06083f1c (__TEXT,__text) non-external (was a private external) _IZeroStreamRead
00007ffe0609e0f8 (__TEXT,__text) non-external _InSituStreamCancel
00007ffe0609dc83 (__TEXT,__text) non-external _InSituStreamClose
00007ffe0609de31 (__TEXT,__text) non-external _InSituStreamPRead
00007ffe0609df7f (__TEXT,__text) non-external _InSituStreamPWrite
00007ffe0609e112 (__TEXT,__text) non-external _InSituStreamSimulate
00007ffe0609e105 (__TEXT,__text) non-external _InSituTruncate
00007ffe06097145 (__TEXT,__text) non-external _IntervalStreamCancel
00007ffe06097152 (__TEXT,__text) non-external _IntervalStreamClose
00007ffe060970b8 (__TEXT,__text) non-external _IntervalStreamPRead
00007ffe060970aa (__TEXT,__text) non-external _IntervalStreamRead
00007ffe0609710e (__TEXT,__text) non-external _IntervalStreamSeek
00007ffe060a0efd (__TEXT,__text) non-external (was a private external) _LargeFileConsumer
00007ffe060a07e0 (__TEXT,__text) non-external (was a private external) _LargeFileWorker
00007ffe06083cf6 (__TEXT,__text) non-external (was a private external) _MappedBufferCreateWithFD
00007ffe06083cb5 (__TEXT,__text) non-external (was a private external) _MappedBufferDestroy
00007ffe06083138 (__TEXT,__text) non-external (was a private external) _MappedBufferGetDataPtr
00007ffe06083f12 (__TEXT,__text) non-external (was a private external) _MappedBufferGetDataSize
00007ffe06083710 (__TEXT,__text) non-external (was a private external) _MemBufferCreate
