000000021a99ce50 (__DATA,__data) non-external _.compoundliteral
00000001e51abe10 (__TEXT,__text) non-external _InstructionInitSourcesTargets
00000001e51af180 (__TEXT,__text) non-external _IsBadUsage
00000001e5140130 (__TEXT,__text) non-external (was a private external) _Load
00000001e5156f68 (__TEXT,__text) non-external (was a private external) _LookUpAddString
00000001e5157044 (__TEXT,__text) non-external _LookUpAddStringHash
00000001e515c5f0 (__TEXT,__text) non-external (was a private external) _LookUpLocalSymbol
00000001e515c664 (__TEXT,__text) non-external (was a private external) _LookUpSymbol
00000001e51593a0 (__TEXT,__text) non-external (was a private external) _MacroExpand
00000001e515cf80 (__TEXT,__text) non-external (was a private external) _MatchNextToken
00000001e515c448 (__TEXT,__text) non-external (was a private external) _NewScopeInPool
00000001e515c6c0 (__TEXT,__text) non-external (was a private external) _NewTokenStream
00000002176af9d8 (__DATA_CONST,__const) non-external (was a private external) _OpsList_ARBfp10
00000002176af678 (__DATA_CONST,__const) non-external (was a private external) _OpsList_ARBvp10
00000002176afbf8 (__DATA_CONST,__const) non-external (was a private external) _OpsList_NVfp10
00000002176afd38 (__DATA_CONST,__const) non-external (was a private external) _OpsList_NVfp20
00000002176af838 (__DATA_CONST,__const) non-external (was a private external) _OpsList_NVvp20
00000002176af938 (__DATA_CONST,__const) non-external (was a private external) _OpsList_NVvp30
00000002176afe38 (__DATA_CONST,__const) non-external (was a private external) _OpsList_fpSpecial
00000002176af9a8 (__DATA_CONST,__const) non-external (was a private external) _OpsList_vpSpecial
00000001e508dec8 (__TEXT,__text) external _PPParserAttachLLVMIR
00000001e508dc2c (__TEXT,__text) external _PPParserAttachStream
00000001e508da74 (__TEXT,__text) external _PPParserAttachString
00000001e5096540 (__TEXT,__text) external _PPParserBuildErrorString
00000001e508d974 (__TEXT,__text) external _PPParserCreate
00000001e508e5f4 (__TEXT,__text) non-external (was a private external) _PPParserDeclareNVAddressRegisters
00000001e5095290 (__TEXT,__text) non-external (was a private external) _PPParserExpandMacro
00000001e508db48 (__TEXT,__text) external _PPParserFree
00000001e508e2d0 (__TEXT,__text) non-external (was a private external) _PPParserGetCharacter
00000001e50974f4 (__TEXT,__text) external _PPParserGetErrorString
00000001e5097504 (__TEXT,__text) external _PPParserGetImageUnitsUsed
00000001e508e648 (__TEXT,__text) non-external (was a private external) _PPParserGetInteger
00000001e50974d0 (__TEXT,__text) external _PPParserGetLimits
00000001e50974ec (__TEXT,__text) external _PPParserGetOptions
00000001e508e3dc (__TEXT,__text) non-external (was a private external) _PPParserGetPart
00000001e508e6f4 (__TEXT,__text) non-external (was a private external) _PPParserGetScalars
00000001e50974fc (__TEXT,__text) external _PPParserGetStream
00000001e508c7f8 (__TEXT,__text) non-external (was a private external) _PPParserIdentifierCreate
00000001e508c838 (__TEXT,__text) non-external (was a private external) _PPParserIdentifierCreateFromIdentifier
00000001e508c900 (__TEXT,__text) non-external (was a private external) _PPParserIdentifierFree
00000001e508c884 (__TEXT,__text) non-external (was a private external) _PPParserIdentifierSetName
00000001e5096640 (__TEXT,__text) non-external _PPParserInherit
00000001e508d9e8 (__TEXT,__text) external _PPParserInit
00000001e5097620 (__TEXT,__text) non-external _PPParserLabelsAddLabel
00000001e508dbc4 (__TEXT,__text) non-external _PPParserLabelsFree
00000001e508c418 (__TEXT,__text) non-external (was a private external) _PPParserMacroCreate
00000001e508c440 (__TEXT,__text) non-external (was a private external) _PPParserMacroCreateFromMacro
00000001e508c5c0 (__TEXT,__text) non-external (was a private external) _PPParserMacroFree
00000001e508c6a8 (__TEXT,__text) non-external (was a private external) _PPParserMacroGetReplaceString
00000001e508c54c (__TEXT,__text) non-external (was a private external) _PPParserMacroSetParamString
00000001e508c50c (__TEXT,__text) non-external (was a private external) _PPParserMacroSetParamStringsCount
00000001e508c63c (__TEXT,__text) non-external (was a private external) _PPParserMacroSetSearchString
00000001e50975b4 (__TEXT,__text) non-external _PPParserOutputBindingsAddOutputBinding
00000001e509561c (__TEXT,__text) external _PPParserParse
00000001e508f56c (__TEXT,__text) non-external (was a private external) _PPParserParseAddressDeclaration
00000001e5093268 (__TEXT,__text) non-external (was a private external) _PPParserParseAddressDestination
00000001e50945ec (__TEXT,__text) non-external (was a private external) _PPParserParseAddressSourceVar
00000001e50950cc (__TEXT,__text) non-external (was a private external) _PPParserParseAliasDeclaration
00000001e508efdc (__TEXT,__text) non-external (was a private external) _PPParserParseArray
00000001e5091aac (__TEXT,__text) non-external (was a private external) _PPParserParseAttributeBinding
00000001e5092524 (__TEXT,__text) non-external (was a private external) _PPParserParseAttributeDeclaration
00000001e508eecc (__TEXT,__text) non-external (was a private external) _PPParserParseBlock
00000001e50933dc (__TEXT,__text) non-external (was a private external) _PPParserParseBranchCondition
00000001e508f0ac (__TEXT,__text) non-external (was a private external) _PPParserParseDefaultArray
00000001e5093764 (__TEXT,__text) non-external (was a private external) _PPParserParseDestination
00000001e5092d38 (__TEXT,__text) non-external (was a private external) _PPParserParseDestinationMask
00000001e5097428 (__TEXT,__text) non-external (was a private external) _PPParserParseEnd
00000001e508f2ec (__TEXT,__text) non-external (was a private external) _PPParserParseIndirectArray
00000001e5093114 (__TEXT,__text) non-external (was a private external) _PPParserParseLabel
00000001e5094e34 (__TEXT,__text) non-external (was a private external) _PPParserParseMacroDeclaration
00000001e50946b4 (__TEXT,__text) non-external (was a private external) _PPParserParseOperation
00000001e5096798 (__TEXT,__text) non-external (was a private external) _PPParserParseOption
00000001e508e80c (__TEXT,__text) non-external (was a private external) _PPParserParseOptionIdentifier
00000001e5092664 (__TEXT,__text) non-external (was a private external) _PPParserParseOutputBinding
00000001e5092c08 (__TEXT,__text) non-external (was a private external) _PPParserParseOutputDeclaration
00000001e508fea8 (__TEXT,__text) non-external (was a private external) _PPParserParseParamBinding
00000001e5091928 (__TEXT,__text) non-external (was a private external) _PPParserParseParameterDeclaration
00000001e508f1b0 (__TEXT,__text) non-external (was a private external) _PPParserParseRangeArray
00000001e5092eec (__TEXT,__text) non-external (was a private external) _PPParserParseSourceSwizzle
00000001e5093b10 (__TEXT,__text) non-external (was a private external) _PPParserParseSourceVar
00000001e5096874 (__TEXT,__text) non-external (was a private external) _PPParserParseStatement
00000001e5093fc8 (__TEXT,__text) non-external (was a private external) _PPParserParseSwizzleCode
00000001e5093e34 (__TEXT,__text) non-external (was a private external) _PPParserParseSwizzleSourceVar
00000001e508fcd4 (__TEXT,__text) non-external (was a private external) _PPParserParseTempDeclaration
00000001e50942dc (__TEXT,__text) non-external (was a private external) _PPParserParseTextureSourceVar
00000001e509668c (__TEXT,__text) non-external (was a private external) _PPParserParseVersion
00000001e508cb38 (__TEXT,__text) non-external (was a private external) _PPParserPreprocessString
00000001e508da38 (__TEXT,__text) non-external (was a private external) _PPParserRemoveScope
00000001e508e35c (__TEXT,__text) non-external (was a private external) _PPParserReturnCharacter
00000001e508e570 (__TEXT,__text) non-external (was a private external) _PPParserReturnPart
00000001e508d7b0 (__TEXT,__text) non-external (was a private external) _PPParserScopeAddIdentifier
00000001e508c940 (__TEXT,__text) non-external (was a private external) _PPParserScopeCreate
00000001e508d708 (__TEXT,__text) non-external (was a private external) _PPParserScopeCreateFromScope
00000001e508d8e4 (__TEXT,__text) non-external (was a private external) _PPParserScopeFindIdentifier
00000001e508d92c (__TEXT,__text) non-external (was a private external) _PPParserScopeFindMacro
00000001e508d80c (__TEXT,__text) non-external (was a private external) _PPParserScopeFree
00000001e508d86c (__TEXT,__text) non-external (was a private external) _PPParserScopeRemoveIdentifier
00000001e508d8a8 (__TEXT,__text) non-external (was a private external) _PPParserScopeRemoveMacro
00000001e50974d8 (__TEXT,__text) external _PPParserSetLimits
00000001e50974c8 (__TEXT,__text) external _PPParserSetPrefs
00000001e508d9ec (__TEXT,__text) non-external (was a private external) _PPParserShutdown
00000001e508f6d4 (__TEXT,__text) non-external _PPParserValidateName
00000001e51a2298 (__TEXT,__text) external _PPStreamAddAddressUsage
00000001e51a2418 (__TEXT,__text) external _PPStreamAddAttribBinding
00000001e51a29a8 (__TEXT,__text) external _PPStreamAddConstant
00000001e51a28a0 (__TEXT,__text) external _PPStreamAddLabel
00000001e51a2598 (__TEXT,__text) external _PPStreamAddOperation
00000001e51a2ac0 (__TEXT,__text) external _PPStreamAddOption
00000001e51a2498 (__TEXT,__text) external _PPStreamAddOutputBinding
00000001e51a2318 (__TEXT,__text) external _PPStreamAddParamBinding
00000001e51a2398 (__TEXT,__text) external _PPStreamAddParamBindingArray
00000001e51a2a40 (__TEXT,__text) external _PPStreamAddRasterOp
00000001e51a1fc0 (__TEXT,__text) non-external (was a private external) _PPStreamAddReqs0
00000001e51a203c (__TEXT,__text) non-external (was a private external) _PPStreamAddReqs1
00000001e51a2198 (__TEXT,__text) external _PPStreamAddTempUsage
00000001e51a2218 (__TEXT,__text) external _PPStreamAddTempUsageArray
00000001e51a2518 (__TEXT,__text) external _PPStreamAddTexImage
00000001e51a3580 (__TEXT,__text) external _PPStreamAttachStream
00000001e51a15b0 (__TEXT,__text) external _PPStreamAttribBindingIsEqual
00000001e51a3de4 (__TEXT,__text) non-external (was a private external) _PPStreamChangeBranchTargets
00000001e51a16d0 (__TEXT,__text) non-external (was a private external) _PPStreamChunkCompare
00000001e51a2170 (__TEXT,__text) non-external _PPStreamChunkCreate
00000001e51a15d8 (__TEXT,__text) non-external (was a private external) _PPStreamChunkGetStream
00000001e51a1948 (__TEXT,__text) external _PPStreamChunkListAddChunk
00000001e51a1c94 (__TEXT,__text) non-external (was a private external) _PPStreamChunkListChunkAtIndex
00000001e51a1d4c (__TEXT,__text) non-external (was a private external) _PPStreamChunkListCompare
00000001e51a17cc (__TEXT,__text) external _PPStreamChunkListCreate
00000001e51a17f4 (__TEXT,__text) external _PPStreamChunkListCreateFromChunkList
00000001e51a1980 (__TEXT,__text) non-external (was a private external) _PPStreamChunkListFree
00000001e51a1db4 (__TEXT,__text) external _PPStreamChunkListGetNextIndex
00000001e51a1b9c (__TEXT,__text) external _PPStreamChunkListGetStream
00000001e51a1a4c (__TEXT,__text) non-external (was a private external) _PPStreamChunkListInsertChunkAfterChunk
00000001e51a19e0 (__TEXT,__text) non-external (was a private external) _PPStreamChunkListInsertChunkBeforeChunk
00000001e51a1aa8 (__TEXT,__text) external _PPStreamChunkListRemoveChunk
00000001e51a1b04 (__TEXT,__text) external _PPStreamChunkListSort
00000001e51a3cb8 (__TEXT,__text) external _PPStreamCompare
00000001e51a1ee4 (__TEXT,__text) external _PPStreamCreate
00000001e51a20c4 (__TEXT,__text) external _PPStreamFree
00000001e51a2b3c (__TEXT,__text) external _PPStreamGetStream
00000001e51a3550 (__TEXT,__text) external _PPStreamGetTexOperationCount
00000001e51a279c (__TEXT,__text) non-external (was a private external) _PPStreamInsertOperationAfterChunk
00000001e51a2680 (__TEXT,__text) non-external (was a private external) _PPStreamInsertOperationBeforeChunk
00000001e51a15c4 (__TEXT,__text) external _PPStreamOutputBindingIsEqual
00000001e51a3ea0 (__TEXT,__text) non-external (was a private external) _PPStreamPackIndices
00000001e51a159c (__TEXT,__text) external _PPStreamParamBindingIsEqual
00000001e51a2950 (__TEXT,__text) non-external (was a private external) _PPStreamRemoveLabelsAtOperationIndex
00000001e51a44ec (__TEXT,__text) non-external (was a private external) _PPStreamRemoveOperation
00000001e51a43cc (__TEXT,__text) non-external (was a private external) _PPStreamResolveBranches
00000001e50987e8 (__TEXT,__text) external _PPStreamTokenAddBlockInfo
00000001e50993d4 (__TEXT,__text) external _PPStreamTokenAddRasterOps
00000001e51a3444 (__TEXT,__text) non-external (was a private external) _PPStreamTokenAddRasterRequirements
00000001e51a2e88 (__TEXT,__text) non-external (was a private external) _PPStreamTokenAddRequirements
00000001e5099568 (__TEXT,__text) external _PPStreamTokenAddTexImages
00000001e50994d0 (__TEXT,__text) external _PPStreamTokenAddTexUnitInfo
00000001e51a352c (__TEXT,__text) external _PPStreamTokenAlloc
00000001e50998b8 (__TEXT,__text) external _PPStreamTokenConvertAttribBindings
00000001e5099cc4 (__TEXT,__text) external _PPStreamTokenConvertOutputBindings
00000001e5099af8 (__TEXT,__text) external _PPStreamTokenConvertParamBindings
00000001e5099c08 (__TEXT,__text) external _PPStreamTokenConvertParamBindingsToGeneric
00000001e51a354c (__TEXT,__text) external _PPStreamTokenFree
00000001e50987a8 (__TEXT,__text) external _PPStreamTokenGetProgramOptions
00000001e5098744 (__TEXT,__text) external _PPStreamTokenIsTrivialPassThrough
00000001e51d1138 (__TEXT,__const) non-external _PPStreamTokenIsTrivialPassThrough.ARBFP
00000001e51d11f8 (__TEXT,__const) non-external _PPStreamTokenIsTrivialPassThrough.GLSL1
00000001e51d12c8 (__TEXT,__const) non-external _PPStreamTokenIsTrivialPassThrough.GLSL2
00000002176b0200 (__DATA_CONST,__const) non-external _PPStreamTokenIsTrivialPassThrough.streams
00000001e5099d74 (__TEXT,__text) external _PPStreamTokenValidateOptions
00000002176b0f38 (__DATA_CONST,__const) non-external _PROMOTIONS
00000001e51d2294 (__TEXT,__const) non-external _PROMOTIONS_110
00000001e51d2298 (__TEXT,__const) non-external _PROMOTIONS_120
00000001e51d22d0 (__TEXT,__const) non-external _PROMOTIONS_400
00000001e51d22a8 (__TEXT,__const) non-external _PROMOTIONS_FP64
00000001e51ad1e0 (__TEXT,__text) non-external (was a private external) _ProgramFree
00000001e51ad158 (__TEXT,__text) non-external (was a private external) _ProgramNew
00000001e515d03c (__TEXT,__text) non-external (was a private external) _ReadFromTokenStream
00000001e515c990 (__TEXT,__text) non-external (was a private external) _ReadToken
00000001e51b5258 (__TEXT,__text) non-external _RecordFunctionCall
00000001e515c81c (__TEXT,__text) non-external (was a private external) _RecordToken
00000001e51abc34 (__TEXT,__text) non-external (was a private external) _RegisterAdd
00000001e51abb74 (__TEXT,__text) non-external (was a private external) _RegisterCanMerge
00000001e51aa410 (__TEXT,__text) non-external (was a private external) _RegisterVectorCanMerge
00000001e51aa384 (__TEXT,__text) non-external (was a private external) _RegisterVectorIsFixed
00000001e51ac7cc (__TEXT,__text) non-external (was a private external) _Registerify
00000001e51ab860 (__TEXT,__text) non-external (was a private external) _RegistersCleanup
00000001e51ac97c (__TEXT,__text) non-external (was a private external) _RegistersFree
00000001e51ac76c (__TEXT,__text) non-external (was a private external) _RegistersInitialize
00000001e51aa0e8 (__TEXT,__text) non-external (was a private external) _RegistersMerge
00000001e51aa478 (__TEXT,__text) non-external (was a private external) _RegistersReInterfere
00000001e51aa508 (__TEXT,__text) non-external (was a private external) _RegistersReplace
00000001e51b1a40 (__TEXT,__text) non-external (was a private external) _RepifyConstantLoopSimple
00000001e509756c (__TEXT,__text) non-external _ResizeGLDAttribBindings
00000001e50976a4 (__TEXT,__text) non-external _ResizeGLPContextStateBindings
00000001e515c97c (__TEXT,__text) non-external (was a private external) _RewindTokenStream
00000001e515b704 (__TEXT,__text) non-external (was a private external) _ScanFromIncludeString
00000001e515b908 (__TEXT,__text) non-external (was a private external) _ScanFromSimpleString
00000001e515a494 (__TEXT,__text) non-external (was a private external) _ScanFromString
00000001e515bb00 (__TEXT,__text) non-external (was a private external) _ScanFromTokenPastedString
00000001e5140054 (__TEXT,__text) non-external (was a private external) _SetAddressRegister
00000001e514d578 (__TEXT,__text) external _ShAttributeBindingRequest
00000001e514d4c8 (__TEXT,__text) external _ShCleanup
00000001e514cf40 (__TEXT,__text) external _ShCompile
00000001e514cb68 (__TEXT,__text) external _ShConstructCompiler
00000001e514cbf4 (__TEXT,__text) external _ShConstructLinker
00000001e514ccb4 (__TEXT,__text) external _ShDestruct
00000001e514cf38 (__TEXT,__text) external _ShFinalize
00000001e514e650 (__TEXT,__text) external _ShFragDataBindingRequest
00000001e514dd74 (__TEXT,__text) external _ShGetActiveAttrib
00000001e514da3c (__TEXT,__text) external _ShGetActiveBindableUniformBufferIndexOffsetFromLocation
00000001e514da24 (__TEXT,__text) external _ShGetActiveBindableUniformBufferSizeTable
00000001e514d9e8 (__TEXT,__text) external _ShGetActiveNonbindableUniformsSize
00000001e514f680 (__TEXT,__text) external _ShGetActiveSamplerLocations
00000001e514fc40 (__TEXT,__text) external _ShGetActiveSubroutineName
00000001e514fb98 (__TEXT,__text) external _ShGetActiveSubroutineUniformName
00000001e514fa40 (__TEXT,__text) external _ShGetActiveSubroutineUniformiv
00000001e514f4e4 (__TEXT,__text) external _ShGetActiveUniform
00000001e514edc8 (__TEXT,__text) external _ShGetActiveUniformBlockName
00000001e514eb34 (__TEXT,__text) external _ShGetActiveUniformBlockiv
00000001e514eff0 (__TEXT,__text) external _ShGetActiveUniformIndex
00000001e514f230 (__TEXT,__text) external _ShGetActiveUniformName
00000001e514def4 (__TEXT,__text) external _ShGetAttribLocation
00000001e514dc78 (__TEXT,__text) external _ShGetBindableUniformTypeInfo
00000001e514fce4 (__TEXT,__text) external _ShGetCachedUniformIndexTable
00000001e514fcfc (__TEXT,__text) external _ShGetCachedUniformIndexTableSize
00000001e514dfa4 (__TEXT,__text) external _ShGetContextStateUniforms
00000001e514e7e4 (__TEXT,__text) external _ShGetFragDataLocation
00000001e514d4d8 (__TEXT,__text) external _ShGetInfoLog
00000001e514fd14 (__TEXT,__text) external _ShGetInteger
00000001e514e270 (__TEXT,__text) external _ShGetLinkerPPStream
00000001e514f778 (__TEXT,__text) external _ShGetMaxActiveSubroutineLength
00000001e514f7dc (__TEXT,__text) external _ShGetMaxActiveSubroutineUniformLength
00000001e514e9f4 (__TEXT,__text) external _ShGetMaxActiveUniformBlockLength
00000001e514f3f8 (__TEXT,__text) external _ShGetMaxActiveUniformLength
00000001e514dcf0 (__TEXT,__text) external _ShGetMaxAttributeLength
00000001e514e548 (__TEXT,__text) external _ShGetMaxTransformFeedbackVaryingLength
00000001e514d708 (__TEXT,__text) external _ShGetNumActiveAttributes
00000001e514ef6c (__TEXT,__text) non-external _ShGetNumActiveNonbindableUniforms
00000001e514f768 (__TEXT,__text) external _ShGetNumActiveSubroutineUniformLocations
00000001e514f6e4 (__TEXT,__text) external _ShGetNumActiveSubroutineUniforms
00000001e514f6c0 (__TEXT,__text) external _ShGetNumActiveSubroutines
00000001e514e940 (__TEXT,__text) external _ShGetNumActiveUniformBlocks
00000001e514f31c (__TEXT,__text) external _ShGetNumActiveUniforms
00000001e514e640 (__TEXT,__text) external _ShGetNumActiveVaryingsComponents
00000001e514da00 (__TEXT,__text) external _ShGetNumBindableUniformBuffers
00000001e514e250 (__TEXT,__text) external _ShGetPPStreamManager
