00000001e2997d44 (__TEXT,__text) non-external _DiToMD5
00000001f6d063c0 (__AUTH_CONST,__const) external _IOReportLegend_Class
00000001f6d06140 (__AUTH_CONST,__const) external _IOReporter_Class
00000001f6d069f0 (__AUTH_CONST,__const) external _IOServiceNotificationDispatchSource_Class
00000001f6d06ba0 (__AUTH_CONST,__const) external _IOServiceStateNotificationDispatchSource_Class
00000001f6d06840 (__AUTH_CONST,__const) external _IOService_Class
00000001f6d061e0 (__AUTH_CONST,__const) external _IOSimpleReporter_Class
00000001e2977f48 (__TEXT,__text) external _IOSleep
00000001f6d06280 (__AUTH_CONST,__const) external _IOStateReporter_Class
00000001e297b664 (__TEXT,__text) external _IOThreadLocalStorageGet
00000001e297b5b8 (__TEXT,__text) external _IOThreadLocalStorageKeyCreate
00000001e297b608 (__TEXT,__text) external _IOThreadLocalStorageKeyDelete
00000001e297b630 (__TEXT,__text) external _IOThreadLocalStorageSet
00000001f6d089a0 (__AUTH_CONST,__const) external _IOThread_Class
00000001f6d06d50 (__AUTH_CONST,__const) external _IOTimerDispatchSource_Class
00000001f6d06f00 (__AUTH_CONST,__const) external _IOUserClient_Class
00000001e297bd60 (__TEXT,__text) external _IOUserServerMain
00000001e29aa458 (__TEXT,__text) non-external _IOUserServerMain.cold.1
00000001e29aa5e4 (__TEXT,__text) non-external _IOUserServerMain.cold.10
00000001e29aa484 (__TEXT,__text) non-external _IOUserServerMain.cold.2
00000001e29aa4b0 (__TEXT,__text) non-external _IOUserServerMain.cold.3
00000001e29aa4dc (__TEXT,__text) non-external _IOUserServerMain.cold.4
00000001e29aa508 (__TEXT,__text) non-external _IOUserServerMain.cold.5
00000001e29aa534 (__TEXT,__text) non-external _IOUserServerMain.cold.6
00000001e29aa560 (__TEXT,__text) non-external _IOUserServerMain.cold.7
00000001e29aa58c (__TEXT,__text) non-external _IOUserServerMain.cold.8
00000001e29aa5b8 (__TEXT,__text) non-external _IOUserServerMain.cold.9
00000001f6d07280 (__AUTH_CONST,__const) external _IOUserServer_Class
00000001eea1d238 (__DATA_DIRTY,__common) external _IOVMPageSize
00000001f6d07430 (__AUTH_CONST,__const) external _IOWorkGroup_Class
00000001e2997f08 (__TEXT,__text) external _MD5Final
00000001e2997c94 (__TEXT,__text) external _MD5Init
00000001e2997e8c (__TEXT,__text) non-external _MD5ToDi
00000001e2997db4 (__TEXT,__text) external _MD5Update
                 (undefined) external _NDR_record (from libSystem)
00000001f6d075e0 (__AUTH_CONST,__const) external _OSAction_Class
00000001f6d06fa0 (__AUTH_CONST,__const) external _OSAction_IOUserClient_KernelCompletion_Class
00000001f6d086e0 (__AUTH_CONST,__const) external _OSAction__IOBlockStorageDevice_KernelCompletion_Class
00000001e2987024 (__TEXT,__text) external _OSArrayAppendValue
00000001e2986b80 (__TEXT,__text) external _OSArrayApply
00000001e2986b0c (__TEXT,__text) external _OSArrayCreate
00000001e2985fdc (__TEXT,__text) external _OSArrayGetCount
00000001e29870cc (__TEXT,__text) external _OSArrayGetStringValue
00000001e298717c (__TEXT,__text) external _OSArrayGetUInt64Value
00000001e2987058 (__TEXT,__text) external _OSArrayGetValue
00000001e298701c (__TEXT,__text) external _OSArrayReplaceValue
00000001e29870f8 (__TEXT,__text) external _OSArraySetStringValue
00000001e2987284 (__TEXT,__text) external _OSArraySetUInt64Value
00000001e2986e38 (__TEXT,__text) external _OSArraySetValue
00000001f6d07790 (__AUTH_CONST,__const) external _OSArray_Class
00000001f6d07888 (__AUTH_CONST,__const) external _OSBoolean_Class
00000001f6d07980 (__AUTH_CONST,__const) external _OSBundle_Class
00000001e2984ae8 (__TEXT,__text) external _OSCollectionTypeID
00000001e29ab44c (__TEXT,__text) non-external _OSCollectionTypeID.cold.1
00000001e2984a24 (__TEXT,__text) external _OSCollectionTypeName
00000001e29ab3f4 (__TEXT,__text) non-external _OSCollectionTypeName.cold.1
00000001f6d07a78 (__AUTH_CONST,__const) external _OSCollection_Class
00000001e298a280 (__TEXT,__text) external _OSCollectionsInitialize
00000001f6d07b70 (__AUTH_CONST,__const) external _OSContainer_Class
00000001e2984b6c (__TEXT,__text) external _OSCreateObjectFromSerialization
00000001e29ab4a4 (__TEXT,__text) non-external _OSCreateObjectFromSerialization.cold.1
00000001e2987d08 (__TEXT,__text) external _OSCreateSerializationFromBytes
00000001e29abb2c (__TEXT,__text) non-external _OSCreateSerializationFromBytes.cold.1
00000001e2987bd0 (__TEXT,__text) external _OSCreateSerializationFromObject
00000001e2985df0 (__TEXT,__text) external _OSDataAppendBytes
00000001e2985d38 (__TEXT,__text) external _OSDataCreate
00000001e29ab6b4 (__TEXT,__text) non-external _OSDataCreate.cold.1
00000001e2985ccc (__TEXT,__text) external _OSDataGetBytes
00000001e2985c80 (__TEXT,__text) external _OSDataGetBytesPtr
00000001e2985cbc (__TEXT,__text) external _OSDataGetLength
00000001f6d07cd0 (__AUTH_CONST,__const) external _OSData_Class
00000001e2985fe8 (__TEXT,__text) external _OSDictionaryApply
00000001e2985f5c (__TEXT,__text) external _OSDictionaryCreate
00000001e2985fd0 (__TEXT,__text) external _OSDictionaryGetCount
00000001e29867bc (__TEXT,__text) external _OSDictionaryGetStringValue
00000001e29869c4 (__TEXT,__text) external _OSDictionaryGetUInt64Value
00000001e298671c (__TEXT,__text) external _OSDictionaryGetValue
00000001e2986940 (__TEXT,__text) external _OSDictionarySetStringValue
00000001e2986a8c (__TEXT,__text) external _OSDictionarySetUInt64Value
00000001e2986348 (__TEXT,__text) external _OSDictionarySetValue
00000001f6d07dc8 (__AUTH_CONST,__const) external _OSDictionary_Class
00000001f6d07ec0 (__AUTH_CONST,__const) external _OSMappedFile_Class
00000001e2985edc (__TEXT,__text) external _OSNumberCreateWithUInt64Value
00000001e2985eb4 (__TEXT,__text) external _OSNumberGetUInt64Value
00000001f6d07fb8 (__AUTH_CONST,__const) external _OSNumber_Class
00000001e29882e8 (__TEXT,__text) external _OSObjectLog
00000001e2984a80 (__TEXT,__text) external _OSObjectRelease
00000001e2984a5c (__TEXT,__text) external _OSObjectRetain
00000001f6d080b0 (__AUTH_CONST,__const) external _OSObject_Class
00000001f6d08260 (__AUTH_CONST,__const) external _OSOrderedSet_Class
00000001e2978488 (__TEXT,__text) external _OSReportWithBacktrace
00000001e2987e58 (__TEXT,__text) external _OSSerializationGetBytes
00000001f6d08358 (__AUTH_CONST,__const) external _OSSerialization_Class
00000001f6d08450 (__AUTH_CONST,__const) external _OSSet_Class
00000001e2985648 (__TEXT,__text) external _OSStringCreate
00000001e29ab580 (__TEXT,__text) non-external _OSStringCreate.cold.1
00000001e29ab5ac (__TEXT,__text) non-external _OSStringCreate.cold.2
00000001e29ab5d8 (__TEXT,__text) non-external _OSStringCreate.cold.3
00000001e29855f4 (__TEXT,__text) external _OSStringGetLength
00000001e29855b8 (__TEXT,__text) external _OSStringGetStringPtr
00000001f6d08548 (__AUTH_CONST,__const) external _OSString_Class
00000001e2977f58 (__TEXT,__text) external _OSSynchronizeIO
00000001ee024690 (__DATA,__bss) non-external _OSUniqueStrings
00000001e297886c (__TEXT,__text) external _PE_i_can_has_debugger
00000001e299823c (__TEXT,__text) external _SHA1Final
00000001e2997fc4 (__TEXT,__text) external _SHA1Init
00000001e29981c4 (__TEXT,__text) non-external _SHA1ToDi
00000001e29980ec (__TEXT,__text) external _SHA1Update
00000001e2998d34 (__TEXT,__text) external _SHA256_Final
00000001e2998c94 (__TEXT,__text) external _SHA256_Init
00000001e29ac638 (__TEXT,__text) non-external _SHA256_Init.cold.1
00000001e2998ce4 (__TEXT,__text) external _SHA256_Update
00000001e2998e18 (__TEXT,__text) external _SHA384_Final
00000001e2998d78 (__TEXT,__text) external _SHA384_Init
00000001e29ac660 (__TEXT,__text) non-external _SHA384_Init.cold.1
00000001e2998dc8 (__TEXT,__text) external _SHA384_Update
00000001e2998efc (__TEXT,__text) external _SHA512_Final
00000001e2998e5c (__TEXT,__text) external _SHA512_Init
00000001e29ac688 (__TEXT,__text) non-external _SHA512_Init.cold.1
00000001e2998eac (__TEXT,__text) external _SHA512_Update
                 (undefined) external __Block_copy (from libSystem)
                 (undefined) external __Block_object_assign (from libSystem)
                 (undefined) external __Block_object_dispose (from libSystem)
                 (undefined) external __Block_release (from libSystem)
00000001e297951c (__TEXT,__text) non-external __GLOBAL__sub_I_IOLib.cpp
00000001e2998f40 (__TEXT,__text) non-external __GLOBAL__sub_I_ObjectIntrospection.mm
00000001f6d08640 (__AUTH_CONST,__const) external __IOBlockStorageDevice_Class
00000001ee024660 (__DATA,__bss) non-external __MergedGlobals
                 (undefined) external __NSConcreteGlobalBlock (from libSystem)
                 (undefined) external __NSConcreteStackBlock (from libSystem)
                 (undefined) external __NSGetExecutablePath (from libSystem)
00000001e2979894 (__TEXT,__text) non-external (was a private external) __Z11OSFindClassP18IOUserServer_IVarsPKc
00000001e29a9964 (__TEXT,__text) non-external __Z11OSFindClassP18IOUserServer_IVarsPKc.cold.1
00000001e297b668 (__TEXT,__text) non-external (was a private external) __Z11ThreadStartPFPvS_ES_
00000001e29aa12c (__TEXT,__text) non-external __Z11ThreadStartPFPvS_ES_.cold.1
00000001e29aa158 (__TEXT,__text) non-external __Z11ThreadStartPFPvS_ES_.cold.2
00000001e29aa184 (__TEXT,__text) non-external __Z11ThreadStartPFPvS_ES_.cold.3
00000001e29aa1b0 (__TEXT,__text) non-external __Z11ThreadStartPFPvS_ES_.cold.4
00000001e29aa1dc (__TEXT,__text) non-external __Z11ThreadStartPFPvS_ES_.cold.5
00000001e297a460 (__TEXT,__text) non-external (was a private external) __Z12InvokeRemoteP18IOUserServer_IVarsy5IORPC
00000001e29a9d38 (__TEXT,__text) non-external __Z12InvokeRemoteP18IOUserServer_IVarsy5IORPC.cold.1
00000001e29a9d64 (__TEXT,__text) non-external __Z12InvokeRemoteP18IOUserServer_IVarsy5IORPC.cold.2
00000001e29a9d90 (__TEXT,__text) non-external __Z12InvokeRemoteP18IOUserServer_IVarsy5IORPC.cold.3
00000001e29a9dbc (__TEXT,__text) non-external __Z12InvokeRemoteP18IOUserServer_IVarsy5IORPC.cold.4
00000001e2979ba8 (__TEXT,__text) non-external (was a private external) __Z12OSObjectFreeP15OSMetaClassBase
00000001e29a9a14 (__TEXT,__text) non-external __Z12OSObjectFreeP15OSMetaClassBase.cold.1
00000001e2987034 (__TEXT,__text) non-external (was a private external) __Z15OSArrayGetEntryP7OSArraym
00000001e298a20c (__TEXT,__text) non-external (was a private external) __Z15OSBooleanCreatev
00000001e29796e8 (__TEXT,__text) non-external (was a private external) __Z15OSRegisterClassP18IOUserServer_IVarsP11OSMetaClass
00000001e29a98e0 (__TEXT,__text) non-external __Z15OSRegisterClassP18IOUserServer_IVarsP11OSMetaClass.cold.1
00000001e29a990c (__TEXT,__text) non-external __Z15OSRegisterClassP18IOUserServer_IVarsP11OSMetaClass.cold.2
00000001e29a9938 (__TEXT,__text) non-external __Z15OSRegisterClassP18IOUserServer_IVarsP11OSMetaClass.cold.3
00000001e29871a8 (__TEXT,__text) non-external (was a private external) __Z16OSArrayGetStringP7OSArraym
00000001e2987258 (__TEXT,__text) non-external (was a private external) __Z16OSArrayGetUInt64P7OSArraym
00000001e29871d4 (__TEXT,__text) non-external (was a private external) __Z16OSArraySetStringP7OSArraymPKc
00000001e2979908 (__TEXT,__text) external __Z16OSObjectAllocateP11OSMetaClassPP8OSObject
00000001e298765c (__TEXT,__text) non-external (was a private external) __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry
00000001e29ab9cc (__TEXT,__text) non-external __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry.cold.1
00000001e29ab9f8 (__TEXT,__text) non-external __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry.cold.2
00000001e29aba24 (__TEXT,__text) non-external __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry.cold.3
00000001e29aba50 (__TEXT,__text) non-external __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry.cold.4
00000001e29aba7c (__TEXT,__text) non-external __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry.cold.5
00000001e29abaa8 (__TEXT,__text) non-external __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry.cold.6
00000001e2977abc (__TEXT,__text) external __Z16OSUnserializeXMLPKcPP8OSString
00000001e2977c10 (__TEXT,__text) external __Z16OSUnserializeXMLPKcmPP8OSString
00000001e2979ec8 (__TEXT,__text) external __Z17OSObjectTryRetainP8OSObject
00000001e29a9a6c (__TEXT,__text) non-external __Z17OSObjectTryRetainP8OSObject.cold.1
00000001e297a03c (__TEXT,__text) non-external (was a private external) __Z17SearchMethodArrayyPKyjPy
00000001e297baac (__TEXT,__text) non-external (was a private external) __Z18OSLoadBundleByPathP18IOUserServer_IVarsPKc
00000001e2979654 (__TEXT,__text) non-external (was a private external) __Z18OSStringArrayIndexP10IOPStringsPKc
00000001e2979594 (__TEXT,__text) non-external (was a private external) __Z19OSCopyInStringArrayPKcj
00000001e2987e74 (__TEXT,__text) non-external (was a private external) __Z19OSObjectLogInternalP8OSObjectj
00000001e29abb58 (__TEXT,__text) non-external __Z19OSObjectLogInternalP8OSObjectj.cold.1
00000001e2979ab8 (__TEXT,__text) non-external (was a private external) __Z20OSObjectPortFinalizeP15OSMetaClassBase
00000001e29a99bc (__TEXT,__text) non-external __Z20OSObjectPortFinalizeP15OSMetaClassBase.cold.1
00000001e29a99e8 (__TEXT,__text) non-external __Z20OSObjectPortFinalizeP15OSMetaClassBase.cold.2
00000001e2984b2c (__TEXT,__text) non-external (was a private external) __Z20OSSerializationValueP15OSSerializationj
00000001e29ab478 (__TEXT,__text) non-external __Z20OSSerializationValueP15OSSerializationj.cold.1
00000001e2984aa4 (__TEXT,__text) non-external (was a private external) __Z21OSSerializationTypeIDj
00000001e29ab420 (__TEXT,__text) non-external __Z21OSSerializationTypeIDj.cold.1
00000001e29769c0 (__TEXT,__text) non-external (was a private external) __Z21OSUnserializeXMLparsePv
00000001e2985c18 (__TEXT,__text) non-external (was a private external) __Z23OSSerializationGetBytesPKjPvmm
00000001e2987304 (__TEXT,__text) non-external (was a private external) __Z26OSSerializationAppendBytesP15OSSerializationPKvm
00000001e29ab764 (__TEXT,__text) non-external __Z26OSSerializationAppendBytesP15OSSerializationPKvm.cold.1
00000001e29ab790 (__TEXT,__text) non-external __Z26OSSerializationAppendBytesP15OSSerializationPKvm.cold.2
00000001e29ab7bc (__TEXT,__text) non-external __Z26OSSerializationAppendBytesP15OSSerializationPKvm.cold.3
00000001e29ab7e8 (__TEXT,__text) non-external __Z26OSSerializationAppendBytesP15OSSerializationPKvm.cold.4
00000001e29ab814 (__TEXT,__text) non-external __Z26OSSerializationAppendBytesP15OSSerializationPKvm.cold.5
00000001e2985be0 (__TEXT,__text) non-external (was a private external) __Z26OSSerializationGetBytesPtrPKjmm
00000001e2985e90 (__TEXT,__text) non-external (was a private external) __Z29OSSerializationGetUInt64ValuePKj
00000001e2987448 (__TEXT,__text) non-external (was a private external) __Z30OSSerializationAddBinaryObjectP15OSSerializationS0_17OSCollectionEntry
00000001e29ab840 (__TEXT,__text) non-external __Z30OSSerializationAddBinaryObjectP15OSSerializationS0_17OSCollectionEntry.cold.1
00000001e29ab86c (__TEXT,__text) non-external __Z30OSSerializationAddBinaryObjectP15OSSerializationS0_17OSCollectionEntry.cold.2
00000001e29ab898 (__TEXT,__text) non-external __Z30OSSerializationAddBinaryObjectP15OSSerializationS0_17OSCollectionEntry.cold.3
00000001e297ba5c (__TEXT,__text) non-external (was a private external) __Z7astrcpyPKc
00000001e297af10 (__TEXT,__text) non-external __ZL10IORPCAsyncPv
00000001e29a80f8 (__TEXT,__text) non-external __ZL10OSData_NewP11OSMetaClass
00000001e297798c (__TEXT,__text) non-external __ZL10buildArrayP12parser_stateP6object
00000001e2978d5c (__TEXT,__text) non-external __ZL10getHexDataP12parser_statePj
00000001e29a985c (__TEXT,__text) non-external __ZL10getHexDataP12parser_statePj.cold.1
00000001e29845a4 (__TEXT,__text) non-external __ZL10uiomessagePv
00000001e29a7f08 (__TEXT,__text) non-external __ZL11OSArray_NewP11OSMetaClass
00000001e29893d0 (__TEXT,__text) non-external __ZL11OSSetCreatev
00000001e29ad2c0 (__TEXT,__const) non-external __ZL11yytranslate
00000001e29a95a8 (__TEXT,__text) non-external __ZL12IOThread_NewP11OSMetaClass
00000001e29a7814 (__TEXT,__text) non-external __ZL12OSAction_NewP11OSMetaClass
00000001e29a7ff8 (__TEXT,__text) non-external __ZL12OSBundle_NewP11OSMetaClass
00000001e29a8250 (__TEXT,__text) non-external __ZL12OSNumber_NewP11OSMetaClass
00000001e29a82b8 (__TEXT,__text) non-external __ZL12OSObject_NewP11OSMetaClass
00000001e2985994 (__TEXT,__text) non-external __ZL12OSStringFindjU13block_pointerFbP8OSStringE
00000001e2985944 (__TEXT,__text) non-external __ZL12OSStringHashPKcm
00000001e29ab604 (__TEXT,__text) non-external __ZL12OSStringHashPKcm.cold.1
00000001e29a8a74 (__TEXT,__text) non-external __ZL12OSString_NewP11OSMetaClass
00000001e29994e8 (__TEXT,__text) non-external __ZL13IOCommand_NewP11OSMetaClass
00000001e299efe8 (__TEXT,__text) non-external __ZL13IOService_NewP11OSMetaClass
00000001e2982e8c (__TEXT,__text) non-external __ZL13IOThreadStartPv
00000001e29ab108 (__TEXT,__text) non-external __ZL13IOThreadStartPv.cold.1
00000001e29ab134 (__TEXT,__text) non-external __ZL13IOThreadStartPv.cold.2
00000001e29ab160 (__TEXT,__text) non-external __ZL13IOThreadStartPv.cold.3
00000001e29a7f90 (__TEXT,__text) non-external __ZL13OSBoolean_NewP11OSMetaClass
00000001e299ede0 (__TEXT,__text) non-external __ZL14IOReporter_NewP11OSMetaClass
00000001e297d1b4 (__TEXT,__text) non-external __ZL14uiomachchannelPv22dispatch_mach_reason_tP19dispatch_mach_msg_si
00000001e29aa9fc (__TEXT,__text) non-external __ZL14uiomachchannelPv22dispatch_mach_reason_tP19dispatch_mach_msg_si.cold.1
00000001e29aaa28 (__TEXT,__text) non-external __ZL14uiomachchannelPv22dispatch_mach_reason_tP19dispatch_mach_msg_si.cold.2
00000001e29aaa54 (__TEXT,__text) non-external __ZL14uiomachchannelPv22dispatch_mach_reason_tP19dispatch_mach_msg_si.cold.3
00000001e29aaa80 (__TEXT,__text) non-external __ZL14uiomachchannelPv22dispatch_mach_reason_tP19dispatch_mach_msg_si.cold.4
00000001e299bfc4 (__TEXT,__text) non-external __ZL15IOEventLink_NewP11OSMetaClass
00000001e299eac0 (__TEXT,__text) non-external __ZL15IOMemoryMap_NewP11OSMetaClass
00000001e29a711c (__TEXT,__text) non-external __ZL15IOWorkGroup_NewP11OSMetaClass
00000001e29a8090 (__TEXT,__text) non-external __ZL15OSContainer_NewP11OSMetaClass
00000001e297b8a4 (__TEXT,__text) non-external __ZL15OSCopyInObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb
00000001e29aa33c (__TEXT,__text) non-external __ZL15OSCopyInObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb.cold.1
00000001e29aa368 (__TEXT,__text) non-external __ZL15OSCopyInObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb.cold.2
00000001e29aa394 (__TEXT,__text) non-external __ZL15OSCopyInObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb.cold.3
00000001e29aa3c0 (__TEXT,__text) non-external __ZL15OSCopyInObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb.cold.4
00000001e297c724 (__TEXT,__text) non-external __ZL15OSScanLibrariesP18IOUserServer_IVarsPKc
00000001e29aa780 (__TEXT,__text) non-external __ZL15OSScanLibrariesP18IOUserServer_IVarsPKc.cold.1
00000001e29aa7c0 (__TEXT,__text) non-external __ZL15OSScanLibrariesP18IOUserServer_IVarsPKc.cold.2
00000001e29aa7ec (__TEXT,__text) non-external __ZL15OSScanLibrariesP18IOUserServer_IVarsPKc.cold.3
00000001e29aa818 (__TEXT,__text) non-external __ZL15OSScanLibrariesP18IOUserServer_IVarsPKc.cold.4
00000001e2983fa4 (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject
00000001e29ab23c (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject.cold.1
00000001e29ab268 (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject.cold.2
00000001e29ab294 (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject.cold.3
00000001e29ab2c0 (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject.cold.4
00000001e29ab2ec (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject.cold.5
00000001e29ab318 (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject.cold.6
00000001e29ab344 (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject.cold.7
00000001ee024678 (__DATA,__bss) non-external __ZL15gIOThreadTLSKey
00000001e29995d8 (__TEXT,__text) non-external __ZL16IODMACommand_NewP11OSMetaClass
00000001e29a5864 (__TEXT,__text) non-external __ZL16IOUserClient_NewP11OSMetaClass
00000001e29a68a4 (__TEXT,__text) non-external __ZL16IOUserServer_NewP11OSMetaClass
00000001e29a8060 (__TEXT,__text) non-external __ZL16OSCollection_NewP11OSMetaClass
00000001e2983f3c (__TEXT,__text) non-external __ZL16OSConsumeObjectsP16IORPCMessageMachb
00000001e297b74c (__TEXT,__text) non-external __ZL16OSCopyOutObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb
00000001e29aa208 (__TEXT,__text) non-external __ZL16OSCopyOutObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb.cold.1
