00000002602e986c (__TEXT,__text) non-external _Done_iODBC
00000002602ddf5c (__TEXT,__text) non-external _SQLColumns_Internal
00000002602e1e74 (__TEXT,__text) external _SQLConnect
00000002602e260c (__TEXT,__text) external _SQLConnectA
00000002602e276c (__TEXT,__text) external _SQLConnectW
00000002602e1fd4 (__TEXT,__text) non-external _SQLConnect_Internal
00000002603084fc (__TEXT,__text) non-external _SQLConnect_Internal.cold.1
00000002602f81a8 (__TEXT,__text) external _SQLCopyDesc
00000002602ede18 (__TEXT,__text) external _SQLDataSources
00000002602edf60 (__TEXT,__text) external _SQLDataSourcesA
00000002602ee0a8 (__TEXT,__text) external _SQLDataSourcesW
00000002602ed9a8 (__TEXT,__text) non-external _SQLDataSources_Internal
00000002774ff3f8 (__DATA,__data) non-external _SQLDataSources_Internal.cur_entry
00000002774ff418 (__DATA,__bss) non-external _SQLDataSources_Internal.num_entries
00000002774ff420 (__DATA,__bss) non-external _SQLDataSources_Internal.sect
00000002602f2534 (__TEXT,__text) external _SQLDescribeCol
00000002602f2728 (__TEXT,__text) external _SQLDescribeColA
00000002602f291c (__TEXT,__text) external _SQLDescribeColW
00000002602f2288 (__TEXT,__text) non-external _SQLDescribeCol_Internal
00000002602e6b7c (__TEXT,__text) external _SQLDescribeParam
00000002602e4e40 (__TEXT,__text) external _SQLDisconnect
00000002602e40a4 (__TEXT,__text) external _SQLDriverConnect
00000002602e4220 (__TEXT,__text) external _SQLDriverConnectA
00000002602e439c (__TEXT,__text) external _SQLDriverConnectW
00000002602e28cc (__TEXT,__text) non-external _SQLDriverConnect_Internal
0000000260308528 (__TEXT,__text) non-external _SQLDriverConnect_Internal.cold.1
0000000260308554 (__TEXT,__text) non-external _SQLDriverConnect_Internal.cold.2
00000002602ee6cc (__TEXT,__text) external _SQLDrivers
00000002602ee814 (__TEXT,__text) external _SQLDriversA
00000002602ee95c (__TEXT,__text) external _SQLDriversW
00000002602ee2d4 (__TEXT,__text) non-external _SQLDrivers_Internal
00000002774ff3fc (__DATA,__data) non-external _SQLDrivers_Internal.cur_entry
00000002774ff428 (__DATA,__bss) non-external _SQLDrivers_Internal.num_entries
00000002774ff430 (__DATA,__bss) non-external _SQLDrivers_Internal.sect
00000002602f8f40 (__TEXT,__text) external _SQLEndTran
00000002602ea02c (__TEXT,__text) external _SQLError
00000002602ea154 (__TEXT,__text) external _SQLErrorA
00000002602ea27c (__TEXT,__text) external _SQLErrorW
00000002602e6084 (__TEXT,__text) external _SQLExecDirect
00000002602e61d4 (__TEXT,__text) external _SQLExecDirectA
00000002602e6324 (__TEXT,__text) external _SQLExecDirectW
00000002602e5e2c (__TEXT,__text) non-external _SQLExecDirect_Internal
00000002602e5b64 (__TEXT,__text) external _SQLExecute
00000002602e7268 (__TEXT,__text) external _SQLExtendedFetch
00000002602e6fb0 (__TEXT,__text) external _SQLFetch
00000002602f91f0 (__TEXT,__text) external _SQLFetchScroll
00000002602e6df8 (__TEXT,__text) non-external _SQLFetch_Internal
00000002602deae4 (__TEXT,__text) external _SQLForeignKeys
00000002602deda0 (__TEXT,__text) external _SQLForeignKeysA
00000002602df05c (__TEXT,__text) external _SQLForeignKeysW
00000002602de798 (__TEXT,__text) non-external _SQLForeignKeys_Internal
00000002602e7f2c (__TEXT,__text) external _SQLFreeConnect
00000002602e7e84 (__TEXT,__text) non-external _SQLFreeConnect_Internal
00000002602e97c0 (__TEXT,__text) external _SQLFreeEnv
00000002602e9728 (__TEXT,__text) non-external _SQLFreeEnv_Internal
00000002602f3968 (__TEXT,__text) external _SQLFreeHandle
00000002602ec7d4 (__TEXT,__text) external _SQLFreeStmt
00000002602ec5cc (__TEXT,__text) non-external _SQLFreeStmt_Internal
0000000260305048 (__TEXT,__text) non-external _SQLGetConfigMode
00000002602f62a4 (__TEXT,__text) external _SQLGetConnectAttr
00000002602f675c (__TEXT,__text) external _SQLGetConnectAttrA
00000002602f68b0 (__TEXT,__text) external _SQLGetConnectAttrW
00000002602f63f8 (__TEXT,__text) non-external _SQLGetConnectAttr_Internal
00000002602e8d5c (__TEXT,__text) external _SQLGetConnectOption
00000002602e8e88 (__TEXT,__text) external _SQLGetConnectOptionA
00000002602e8fb4 (__TEXT,__text) external _SQLGetConnectOptionW
00000002602f1958 (__TEXT,__text) external _SQLGetCursorName
00000002602f1ac0 (__TEXT,__text) external _SQLGetCursorNameA
00000002602f1c28 (__TEXT,__text) external _SQLGetCursorNameW
00000002602f1744 (__TEXT,__text) non-external _SQLGetCursorName_Internal
00000002602e73ec (__TEXT,__text) external _SQLGetData
00000002602f6c98 (__TEXT,__text) external _SQLGetDescField
00000002602f6e0c (__TEXT,__text) external _SQLGetDescFieldA
00000002602f6f80 (__TEXT,__text) external _SQLGetDescFieldW
00000002602f6a04 (__TEXT,__text) non-external _SQLGetDescField_Internal
00000002602f78cc (__TEXT,__text) external _SQLGetDescRec
00000002602f7b00 (__TEXT,__text) external _SQLGetDescRecA
00000002602f7d34 (__TEXT,__text) external _SQLGetDescRecW
00000002602f76a4 (__TEXT,__text) non-external _SQLGetDescRec_Internal
00000002602ebb7c (__TEXT,__text) external _SQLGetDiagField
00000002602ebc88 (__TEXT,__text) external _SQLGetDiagFieldA
00000002602ebd94 (__TEXT,__text) external _SQLGetDiagFieldW
00000002602ead44 (__TEXT,__text) non-external _SQLGetDiagField_Internal
00000002602ea9e4 (__TEXT,__text) external _SQLGetDiagRec
00000002602eab04 (__TEXT,__text) external _SQLGetDiagRecA
00000002602eac24 (__TEXT,__text) external _SQLGetDiagRecW
00000002602ea3a4 (__TEXT,__text) non-external _SQLGetDiagRec_Internal
00000002602f40a4 (__TEXT,__text) external _SQLGetEnvAttr
00000002602ef58c (__TEXT,__text) external _SQLGetFunctions
00000002602ef190 (__TEXT,__text) external _SQLGetInfo
00000002602ef2e4 (__TEXT,__text) external _SQLGetInfoA
00000002602ef438 (__TEXT,__text) external _SQLGetInfoW
00000002602eeb88 (__TEXT,__text) non-external _SQLGetInfo_Internal
0000000260307f44 (__TEXT,__text) non-external _SQLGetKeywordValue
0000000260307f90 (__TEXT,__text) non-external _SQLGetKeywordValueW
0000000260307a58 (__TEXT,__text) non-external _SQLGetPrivateProfileString
0000000260307c58 (__TEXT,__text) non-external _SQLGetPrivateProfileStringW
00000002602f4924 (__TEXT,__text) external _SQLGetStmtAttr
00000002602f4a9c (__TEXT,__text) external _SQLGetStmtAttrA
00000002602f4c14 (__TEXT,__text) external _SQLGetStmtAttrW
00000002602f4288 (__TEXT,__text) non-external _SQLGetStmtAttr_Internal
00000002602ed01c (__TEXT,__text) external _SQLGetStmtOption
00000002602ed168 (__TEXT,__text) external _SQLGetStmtOptionA
00000002602ece3c (__TEXT,__text) non-external _SQLGetStmtOption_Internal
00000002602db9c0 (__TEXT,__text) external _SQLGetTypeInfo
00000002602dbb00 (__TEXT,__text) external _SQLGetTypeInfoA
00000002602dbc40 (__TEXT,__text) external _SQLGetTypeInfoW
00000002602db800 (__TEXT,__text) non-external _SQLGetTypeInfo_Internal
00000002602e7764 (__TEXT,__text) external _SQLMoreResults
00000002602e5240 (__TEXT,__text) external _SQLNativeSql
00000002602e53ac (__TEXT,__text) external _SQLNativeSqlA
00000002602e5518 (__TEXT,__text) external _SQLNativeSqlW
00000002602e4fc8 (__TEXT,__text) non-external _SQLNativeSql_Internal
00000002602e6974 (__TEXT,__text) external _SQLNumParams
00000002602f2074 (__TEXT,__text) external _SQLNumResultCols
00000002602e66ec (__TEXT,__text) external _SQLParamData
00000002602f0c9c (__TEXT,__text) external _SQLParamOptions
00000002602eff10 (__TEXT,__text) external _SQLPrepare
00000002602f0060 (__TEXT,__text) external _SQLPrepareA
00000002602f01b0 (__TEXT,__text) external _SQLPrepareW
00000002602efd00 (__TEXT,__text) non-external _SQLPrepare_Internal
00000002602df544 (__TEXT,__text) external _SQLPrimaryKeys
00000002602df6ec (__TEXT,__text) external _SQLPrimaryKeysA
00000002602df894 (__TEXT,__text) external _SQLPrimaryKeysW
00000002602df318 (__TEXT,__text) non-external _SQLPrimaryKeys_Internal
00000002602dfccc (__TEXT,__text) external _SQLProcedureColumns
00000002602dfeb0 (__TEXT,__text) external _SQLProcedureColumnsA
00000002602e0094 (__TEXT,__text) external _SQLProcedureColumnsW
00000002602dfa3c (__TEXT,__text) non-external _SQLProcedureColumns_Internal
00000002602e04a4 (__TEXT,__text) external _SQLProcedures
00000002602e064c (__TEXT,__text) external _SQLProceduresA
00000002602e07f4 (__TEXT,__text) external _SQLProceduresW
00000002602e0278 (__TEXT,__text) non-external _SQLProcedures_Internal
00000002602e6474 (__TEXT,__text) external _SQLPutData
0000000260304710 (__TEXT,__text) non-external _SQLReadFileDSN
00000002603048a0 (__TEXT,__text) non-external _SQLReadFileDSNW
00000002602f1d90 (__TEXT,__text) external _SQLRowCount
0000000260307fdc (__TEXT,__text) non-external _SQLSetConfigMode
00000002602f5cb0 (__TEXT,__text) external _SQLSetConnectAttr
00000002602f601c (__TEXT,__text) external _SQLSetConnectAttrA
00000002602f6160 (__TEXT,__text) external _SQLSetConnectAttrW
00000002602f5df4 (__TEXT,__text) non-external _SQLSetConnectAttr_Internal
00000002602e85dc (__TEXT,__text) external _SQLSetConnectOption
00000002602e8708 (__TEXT,__text) external _SQLSetConnectOptionA
00000002602e8834 (__TEXT,__text) external _SQLSetConnectOptionW
00000002602f04ac (__TEXT,__text) external _SQLSetCursorName
00000002602f05fc (__TEXT,__text) external _SQLSetCursorNameA
00000002602f074c (__TEXT,__text) external _SQLSetCursorNameW
00000002602f0300 (__TEXT,__text) non-external _SQLSetCursorName_Internal
00000002602f7290 (__TEXT,__text) external _SQLSetDescField
00000002602f73ec (__TEXT,__text) external _SQLSetDescFieldA
00000002602f7548 (__TEXT,__text) external _SQLSetDescFieldW
00000002602f70f4 (__TEXT,__text) non-external _SQLSetDescField_Internal
00000002602f7f68 (__TEXT,__text) external _SQLSetDescRec
00000002602f3e90 (__TEXT,__text) external _SQLSetEnvAttr
00000002602f3fb0 (__TEXT,__text) non-external _SQLSetEnvAttr_Internal
00000002603084b8 (__TEXT,__text) non-external _SQLSetKeywordValue
00000002603084c4 (__TEXT,__text) non-external _SQLSetKeywordValueW
00000002602f13b0 (__TEXT,__text) external _SQLSetParam
00000002602e7b64 (__TEXT,__text) external _SQLSetPos
00000002602f0f4c (__TEXT,__text) external _SQLSetScrollOptions
00000002602f5878 (__TEXT,__text) external _SQLSetStmtAttr
00000002602f59e0 (__TEXT,__text) external _SQLSetStmtAttrA
00000002602f5b48 (__TEXT,__text) external _SQLSetStmtAttrW
00000002602f4d8c (__TEXT,__text) non-external _SQLSetStmtAttr_Internal
00000002602ec920 (__TEXT,__text) external _SQLSetStmtOption
00000002602eccf0 (__TEXT,__text) external _SQLSetStmtOptionA
00000002602eca6c (__TEXT,__text) non-external _SQLSetStmtOption_Internal
00000002602dc00c (__TEXT,__text) external _SQLSpecialColumns
00000002602dc24c (__TEXT,__text) external _SQLSpecialColumnsA
00000002602dc48c (__TEXT,__text) external _SQLSpecialColumnsW
00000002602dbd80 (__TEXT,__text) non-external _SQLSpecialColumns_Internal
00000002602dc938 (__TEXT,__text) external _SQLStatistics
00000002602dcb1c (__TEXT,__text) external _SQLStatisticsA
00000002602dcd00 (__TEXT,__text) external _SQLStatisticsW
00000002602dc6cc (__TEXT,__text) non-external _SQLStatistics_Internal
00000002602e0bc8 (__TEXT,__text) external _SQLTablePrivileges
00000002602e0d70 (__TEXT,__text) external _SQLTablePrivilegesA
00000002602e0f18 (__TEXT,__text) external _SQLTablePrivilegesW
00000002602e099c (__TEXT,__text) non-external _SQLTablePrivileges_Internal
00000002602dd174 (__TEXT,__text) external _SQLTables
00000002602dd358 (__TEXT,__text) external _SQLTablesA
00000002602dd53c (__TEXT,__text) external _SQLTablesW
00000002602dcee4 (__TEXT,__text) non-external _SQLTables_Internal
00000002602e93ec (__TEXT,__text) external _SQLTransact
00000002602e90e0 (__TEXT,__text) non-external _SQLTransact_Internal
0000000260305154 (__TEXT,__text) non-external _SQLValidDSN
00000002603051dc (__TEXT,__text) non-external _SQLValidDSNW
00000002603044a8 (__TEXT,__text) non-external _SQLWriteFileDSN
0000000260304564 (__TEXT,__text) non-external _SQLWriteFileDSNW
0000000260308174 (__TEXT,__text) non-external _SQLWritePrivateProfileString
000000026030830c (__TEXT,__text) non-external _SQLWritePrivateProfileStringW
00000002602eddac (__TEXT,__text) non-external _SectSorter
000000026030509c (__TEXT,__text) non-external _ValidDSN
00000002603050fc (__TEXT,__text) non-external _ValidDSNW
000000026030803c (__TEXT,__text) non-external _WritePrivateProfileString
                 (undefined) external __DefaultRuneLocale (from libSystem)
00000002602f3d54 (__TEXT,__text) non-external __SQLFreeHandle_DESC
                 (undefined) external ___assert_rtn (from libSystem)
                 (undefined) external ___chkstk_darwin (from libSystem)
00000002603062fc (__TEXT,__text) non-external ___iodbcdm_cfg_poolalloc
000000026030778c (__TEXT,__text) non-external ___iodbcdm_cfg_skipwhite
                 (undefined) external ___maskrune (from libSystem)
                 (undefined) external ___sprintf_chk (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
                 (undefined) external ___toupper (from libSystem)
00000002774ff468 (__DATA,__common) non-external __iodbc_env_counter
0000000260304a8c (__TEXT,__text) non-external __iodbcadm_getinifile
00000002602ed76c (__TEXT,__text) non-external __iodbcdm_BindColumn
00000002602ed880 (__TEXT,__text) non-external __iodbcdm_ConvBindData
00000002602e70e4 (__TEXT,__text) non-external __iodbcdm_ExtendedFetch
00000002602ec578 (__TEXT,__text) non-external __iodbcdm_FreeStmtParams
00000002602e8960 (__TEXT,__text) non-external __iodbcdm_GetConnectOption
00000002602f1f4c (__TEXT,__text) non-external __iodbcdm_NumResultCols
00000002602ec798 (__TEXT,__text) non-external __iodbcdm_RemoveBind
00000002602e8014 (__TEXT,__text) non-external __iodbcdm_SetConnectOption
00000002602e130c (__TEXT,__text) non-external __iodbcdm_SetConnectOption_init
00000002602e7a00 (__TEXT,__text) non-external __iodbcdm_SetPos
00000002602ed818 (__TEXT,__text) non-external __iodbcdm_UnBindColumn
00000002602ed4c4 (__TEXT,__text) non-external __iodbcdm_alloc_param
00000002774ff470 (__DATA,__common) non-external __iodbcdm_attr_connection_pooling
00000002602ed940 (__TEXT,__text) non-external __iodbcdm_bindConv_A2W
00000002602db8e8 (__TEXT,__text) non-external __iodbcdm_cata_state_ok
00000002602db95c (__TEXT,__text) non-external __iodbcdm_cata_state_tr
00000002603069e4 (__TEXT,__text) non-external __iodbcdm_cfg_commit
0000000260305cd8 (__TEXT,__text) non-external __iodbcdm_cfg_done
00000002603064a0 (__TEXT,__text) non-external __iodbcdm_cfg_find
000000026030612c (__TEXT,__text) non-external __iodbcdm_cfg_freeimage
0000000260305c1c (__TEXT,__text) non-external __iodbcdm_cfg_init
00000002602efaac (__TEXT,__text) non-external __iodbcdm_cfg_init_str
0000000260306c68 (__TEXT,__text) non-external __iodbcdm_cfg_next_section
00000002603063dc (__TEXT,__text) non-external __iodbcdm_cfg_nextentry
00000002602efb40 (__TEXT,__text) non-external __iodbcdm_cfg_parse_str
00000002602ef97c (__TEXT,__text) non-external __iodbcdm_cfg_parse_str_Internal
0000000260305d1c (__TEXT,__text) non-external __iodbcdm_cfg_refresh
00000002603063b0 (__TEXT,__text) non-external __iodbcdm_cfg_rewind
00000002602e3d54 (__TEXT,__text) non-external __iodbcdm_cfg_savefile
0000000260306cb0 (__TEXT,__text) non-external __iodbcdm_cfg_search_init
000000026030620c (__TEXT,__text) non-external __iodbcdm_cfg_storeentry
00000002602efbb8 (__TEXT,__text) non-external __iodbcdm_cfg_to_string
00000002603065a0 (__TEXT,__text) non-external __iodbcdm_cfg_write
0000000260304ce0 (__TEXT,__text) non-external __iodbcdm_check_for_string
00000002602e3af8 (__TEXT,__text) non-external __iodbcdm_con_settracing
00000002602ed574 (__TEXT,__text) non-external __iodbcdm_conv_param_A2W
00000002602ed670 (__TEXT,__text) non-external __iodbcdm_conv_param_W2A
00000002602e3c1c (__TEXT,__text) non-external __iodbcdm_dbcdelayset
00000002602e5a4c (__TEXT,__text) non-external __iodbcdm_dllclose
00000002602e5abc (__TEXT,__text) non-external __iodbcdm_dllerror
00000002602e5984 (__TEXT,__text) non-external __iodbcdm_dllopen
00000002602e5980 (__TEXT,__text) non-external __iodbcdm_dllproc
00000002602e5af0 (__TEXT,__text) non-external __iodbcdm_do_cursoropen
00000002602e1578 (__TEXT,__text) non-external __iodbcdm_driverload
00000002602e1bd8 (__TEXT,__text) non-external __iodbcdm_driverunload
00000002602ec474 (__TEXT,__text) non-external __iodbcdm_dropstmt
00000002602e8560 (__TEXT,__text) non-external __iodbcdm_drvopt_store
00000002602e112c (__TEXT,__text) non-external __iodbcdm_finish_disconnect
00000002602e9870 (__TEXT,__text) non-external __iodbcdm_freesqlerrlist
00000002602e5828 (__TEXT,__text) non-external __iodbcdm_getInfo_init
0000000260304db8 (__TEXT,__text) non-external __iodbcdm_getdsnfile
00000002602e5914 (__TEXT,__text) non-external __iodbcdm_getproc
00000002774ff410 (__DATA,__bss) non-external __iodbcdm_initialized
0000000260306ec8 (__TEXT,__text) non-external __iodbcdm_list_entries
0000000260306dfc (__TEXT,__text) non-external __iodbcdm_list_sections
00000002602f221c (__TEXT,__text) non-external __iodbcdm_map_c_type
00000002602f21b0 (__TEXT,__text) non-external __iodbcdm_map_sql_type
00000002602e5684 (__TEXT,__text) non-external __iodbcdm_pool_conn_dead
00000002602e10c0 (__TEXT,__text) non-external __iodbcdm_pool_drop_conn
00000002603084d0 (__TEXT,__text) non-external __iodbcdm_pool_drop_conn.cold.1
00000002602e38bc (__TEXT,__text) non-external __iodbcdm_pool_get_conn
00000002602e3f8c (__TEXT,__text) non-external __iodbcdm_pool_put_conn
00000002602e11f8 (__TEXT,__text) non-external __iodbcdm_pool_reset_conn_attrs
00000002602e3ed0 (__TEXT,__text) non-external __iodbcdm_pool_set_retry_wait
00000002602e98a4 (__TEXT,__text) non-external __iodbcdm_pushsqlerr
0000000260304d44 (__TEXT,__text) non-external __iodbcdm_remove_quotes
00000002602e5ac0 (__TEXT,__text) non-external __iodbcdm_safe_unload
00000002602e9924 (__TEXT,__text) non-external __iodbcdm_sqlerror
0000000260304fac (__TEXT,__text) non-external __iodbcdm_strlcat
0000000260304f60 (__TEXT,__text) non-external __iodbcdm_strlcpy
00000002602e91e0 (__TEXT,__text) non-external __iodbcdm_transact
00000002727b6038 (__DATA_CONST,__const) non-external __mask_CONVERT
00000002727b6c10 (__DATA_CONST,__const) non-external __mask_CURSOR_ATTRIBUTES1
00000002727b6cb8 (__DATA_CONST,__const) non-external __mask_CURSOR_ATTRIBUTES2
00000002727b60f8 (__DATA_CONST,__const) non-external __mask_CURSOR_BEHAVIOR
00000002727b6188 (__DATA_CONST,__const) non-external __mask_IDENTIFIER_CASE
00000002727b67c0 (__DATA_CONST,__const) non-external __mask_SQL_AGGREGATE_FUNCTIONS
00000002727b67f8 (__DATA_CONST,__const) non-external __mask_SQL_ALTER_DOMAIN
00000002727b64f8 (__DATA_CONST,__const) non-external __mask_SQL_ALTER_TABLE
00000002727b6848 (__DATA_CONST,__const) non-external __mask_SQL_ASYNC_MODE
00000002727b6860 (__DATA_CONST,__const) non-external __mask_SQL_BATCH_ROW_COUNT
00000002727b6880 (__DATA_CONST,__const) non-external __mask_SQL_BATCH_SUPPORT
00000002727b65a0 (__DATA_CONST,__const) non-external __mask_SQL_BOOKMARK_PERSISTENCE
00000002727b68a8 (__DATA_CONST,__const) non-external __mask_SQL_CATALOG_LOCATION
00000002727b68c0 (__DATA_CONST,__const) non-external __mask_SQL_CATALOG_USAGE
00000002727b6010 (__DATA_CONST,__const) non-external __mask_SQL_CONCAT_NULL_BEHAVIOR
00000002727b6020 (__DATA_CONST,__const) non-external __mask_SQL_CONVERT_FUNCTIONS
00000002727b64d0 (__DATA_CONST,__const) non-external __mask_SQL_CORRELATION_NAME
00000002727b68f0 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_ASSERTION
00000002727b6938 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_CHARACTER_SET
00000002727b6958 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_COLLATION
00000002727b6968 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_DOMAIN
00000002727b69b8 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_SCHEMA
00000002727b69d8 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_TABLE
00000002727b6a50 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_TRANSLATION
00000002727b6a60 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_VIEW
00000002727b6a88 (__DATA_CONST,__const) non-external __mask_SQL_CURSOR_SENSITIVITY
00000002727b6aa0 (__DATA_CONST,__const) non-external __mask_SQL_DATETIME_LITERALS
00000002727b6b20 (__DATA_CONST,__const) non-external __mask_SQL_DDL_INDEX
00000002727b6b50 (__DATA_CONST,__const) non-external __mask_SQL_DROP_ASSERTION
00000002727b6b60 (__DATA_CONST,__const) non-external __mask_SQL_DROP_CHARACTER_SET
00000002727b6b70 (__DATA_CONST,__const) non-external __mask_SQL_DROP_COLLATION
00000002727b6b80 (__DATA_CONST,__const) non-external __mask_SQL_DROP_DOMAIN
00000002727b6ba0 (__DATA_CONST,__const) non-external __mask_SQL_DROP_SCHEMA
00000002727b6bc0 (__DATA_CONST,__const) non-external __mask_SQL_DROP_TABLE
00000002727b6be0 (__DATA_CONST,__const) non-external __mask_SQL_DROP_TRANSLATION
00000002727b6bf0 (__DATA_CONST,__const) non-external __mask_SQL_DROP_VIEW
00000002727b6b38 (__DATA_CONST,__const) non-external __mask_SQL_DTC_TRANSITION_COST
00000002727b6140 (__DATA_CONST,__const) non-external __mask_SQL_FETCH_DIRECTION
00000002727b6628 (__DATA_CONST,__const) non-external __mask_SQL_FILE_USAGE
00000002727b65e0 (__DATA_CONST,__const) non-external __mask_SQL_GETDATA_EXTENSIONS
00000002727b6608 (__DATA_CONST,__const) non-external __mask_SQL_GROUP_BY
00000002727b6d48 (__DATA_CONST,__const) non-external __mask_SQL_INDEX_KEYWORDS
00000002727b6d60 (__DATA_CONST,__const) non-external __mask_SQL_INFO_SCHEMA_VIEWS
00000002727b6e20 (__DATA_CONST,__const) non-external __mask_SQL_INSERT_STATEMENT
00000002727b6640 (__DATA_CONST,__const) non-external __mask_SQL_LOCK_TYPES
00000002727b64e8 (__DATA_CONST,__const) non-external __mask_SQL_NON_NULLABLE_COLUMNS
00000002727b6660 (__DATA_CONST,__const) non-external __mask_SQL_NULL_COLLATION
00000002727b61b0 (__DATA_CONST,__const) non-external __mask_SQL_NUMERIC_FUNCTIONS
00000002727b6278 (__DATA_CONST,__const) non-external __mask_SQL_ODBC_API_CONFORMANCE
00000002727b6e40 (__DATA_CONST,__const) non-external __mask_SQL_ODBC_INTERFACE_CONFORMANCE
00000002727b6290 (__DATA_CONST,__const) non-external __mask_SQL_ODBC_SAG_CLI_CONFORMANCE
00000002727b62a0 (__DATA_CONST,__const) non-external __mask_SQL_ODBC_SQL_CONFORMANCE
00000002727b6678 (__DATA_CONST,__const) non-external __mask_SQL_OJ_CAPABILITIES
00000002727b6e60 (__DATA_CONST,__const) non-external __mask_SQL_PARAM_ARRAY_ROW_COUNTS
00000002727b6e78 (__DATA_CONST,__const) non-external __mask_SQL_PARAM_ARRAY_SELECTS
00000002727b66e8 (__DATA_CONST,__const) non-external __mask_SQL_POSITIONED_STATEMENTS
00000002727b66b8 (__DATA_CONST,__const) non-external __mask_SQL_POS_OPERATIONS
00000002727b6e98 (__DATA_CONST,__const) non-external __mask_SQL_SCHEMA_USAGE
00000002727b62b8 (__DATA_CONST,__const) non-external __mask_SQL_SCROLL_CONCURRENCY
00000002727b62e0 (__DATA_CONST,__const) non-external __mask_SQL_SCROLL_OPTIONS
00000002727b6ef0 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_DATETIME_FUNCTIONS
00000002727b6f10 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_FOREIGN_KEY_DELETE_RULE
00000002727b6f38 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_FOREIGN_KEY_UPDATE_RULE
00000002727b6f60 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_GRANT
00000002727b6fd0 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_NUMERIC_VALUE_FUNCTIONS
00000002727b7008 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_PREDICATES
00000002727b7080 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_RELATIONAL_JOIN_OPERATORS
00000002727b70d8 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_REVOKE
00000002727b7158 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_ROW_VALUE_CONSTRUCTOR
00000002727b7180 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_STRING_FUNCTIONS
00000002727b71c8 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_VALUE_EXPRESSIONS
00000002727b6ec8 (__DATA_CONST,__const) non-external __mask_SQL_SQL_CONFORMANCE
