                 (undefined) external __DefaultRuneLocale (from libSystem)
                 (undefined) external ___bzero (from libSystem)
                 (undefined) external ___error (from libSystem)
                 (undefined) external ___maskrune (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
                 (undefined) external _atoi (from libSystem)
00007ff80dd658f2 (__TEXT,__text) non-external _au_assemble
00007ff80dd706f3 (__TEXT,__text) external _au_to_header32
00007ff80dd70661 (__TEXT,__text) external _au_to_header32_ex
00007ff80dd703c4 (__TEXT,__text) external _au_to_header32_ex_tm
00007ff80dd702c9 (__TEXT,__text) external _au_to_header32_tm
00007ff80dd70746 (__TEXT,__text) external _au_to_header64
00007ff80dd70535 (__TEXT,__text) external _au_to_header64_tm
00007ff80dd707a3 (__TEXT,__text) external _au_to_header_ex
00007ff80dd7016f (__TEXT,__text) external _au_to_identity
00007ff80dd6e4bc (__TEXT,__text) external _au_to_in_addr
00007ff80dd6e52a (__TEXT,__text) external _au_to_in_addr_ex
00007ff80dd6e5a1 (__TEXT,__text) external _au_to_ip
00007ff80dd6e61f (__TEXT,__text) external _au_to_ipc
00007ff80dd6e6ab (__TEXT,__text) external _au_to_ipc_perm
00007ff80dd6e77a (__TEXT,__text) external _au_to_iport
00007ff80dd7082f (__TEXT,__text) external _au_to_kevent
00007ff80dd700b2 (__TEXT,__text) external _au_to_krb5_principal
00007ff80dd6fed8 (__TEXT,__text) external _au_to_me
00007ff80dd6e40e (__TEXT,__text) external _au_to_newgroups
00007ff80dd6e7e4 (__TEXT,__text) external _au_to_opaque
00007ff80dd6ea3e (__TEXT,__text) external _au_to_path
00007ff80dd6eddf (__TEXT,__text) external _au_to_process
00007ff80dd6eaec (__TEXT,__text) external _au_to_process32
00007ff80dd6ede9 (__TEXT,__text) external _au_to_process32_ex
00007ff80dd6ec42 (__TEXT,__text) external _au_to_process64
00007ff80dd6f005 (__TEXT,__text) external _au_to_process64_ex
00007ff80dd6f24d (__TEXT,__text) external _au_to_process_ex
00007ff80dd6f394 (__TEXT,__text) external _au_to_return
00007ff80dd6f257 (__TEXT,__text) external _au_to_return32
00007ff80dd6f2e3 (__TEXT,__text) external _au_to_return64
00007ff80dd6f39e (__TEXT,__text) external _au_to_seq
00007ff80dd6f773 (__TEXT,__text) external _au_to_sock_inet
00007ff80dd6f6e5 (__TEXT,__text) external _au_to_sock_inet128
00007ff80dd6f665 (__TEXT,__text) external _au_to_sock_inet32
00007ff80dd6f5a6 (__TEXT,__text) external _au_to_sock_unix
00007ff80dd6f418 (__TEXT,__text) external _au_to_socket_ex
00007ff80dd6ff6f (__TEXT,__text) non-external _au_to_strings
00007ff80dd6fa70 (__TEXT,__text) external _au_to_subject
00007ff80dd6f77d (__TEXT,__text) external _au_to_subject32
00007ff80dd6fa7a (__TEXT,__text) external _au_to_subject32_ex
00007ff80dd6f8d3 (__TEXT,__text) external _au_to_subject64
00007ff80dd6fc8e (__TEXT,__text) external _au_to_subject64_ex
00007ff80dd6fece (__TEXT,__text) external _au_to_subject_ex
00007ff80dd6e990 (__TEXT,__text) external _au_to_text
00007ff80dd707ad (__TEXT,__text) external _au_to_trailer
00007ff80dd700c1 (__TEXT,__text) external _au_to_zonename
00007ff80dd70b35 (__TEXT,__text) external _au_user_mask
00007ff80dd657a1 (__TEXT,__text) external _au_write
                 (undefined) external _audit (from libSystem)
00007ff8436f8e78 (__DATA,__bss) non-external _audit_free_q
00007ff80dd71e10 (__TEXT,__text) external _audit_get_car
00007ff80dd71be0 (__TEXT,__text) external _audit_get_class
00007ff80dd71117 (__TEXT,__text) external _audit_get_cond
00007ff80dd71e25 (__TEXT,__text) external _audit_get_ctlmode
00007ff80dd71dfb (__TEXT,__text) external _audit_get_cwd
00007ff80dd71e56 (__TEXT,__text) external _audit_get_expire_after
00007ff80dd71ca4 (__TEXT,__text) external _audit_get_fsize
00007ff80dd71b7e (__TEXT,__text) external _audit_get_kaudit
00007ff80dd71c42 (__TEXT,__text) external _audit_get_kmask
00007ff80dd71d37 (__TEXT,__text) external _audit_get_pinfo
00007ff80dd71d68 (__TEXT,__text) external _audit_get_pinfo_addr
00007ff80dd718e0 (__TEXT,__text) external _audit_get_policy
00007ff80dd71a15 (__TEXT,__text) external _audit_get_qctrl
00007ff80dd719ae (__TEXT,__text) external _audit_get_sflags
00007ff80dd719e9 (__TEXT,__text) external _audit_get_sflags_mask
00007ff80dd65604 (__TEXT,__text) external _audit_get_sinfo_addr
00007ff80dd71d99 (__TEXT,__text) external _audit_get_stat
00007ff8436f8e70 (__DATA,__bss) non-external _audit_rec_count
00007ff80dd71b67 (__TEXT,__text) external _audit_send_trigger
00007ff80dd71c11 (__TEXT,__text) external _audit_set_class
00007ff80dd71879 (__TEXT,__text) external _audit_set_cond
00007ff80dd71cd5 (__TEXT,__text) external _audit_set_fsize
00007ff80dd71baf (__TEXT,__text) external _audit_set_kaudit
00007ff80dd71c73 (__TEXT,__text) external _audit_set_kmask
00007ff80dd71d06 (__TEXT,__text) external _audit_set_pmask
00007ff80dd71947 (__TEXT,__text) external _audit_set_policy
00007ff80dd71abe (__TEXT,__text) external _audit_set_qctrl
00007ff80dd719c5 (__TEXT,__text) external _audit_set_sflags
00007ff80dd719ff (__TEXT,__text) external _audit_set_sflags_mask
00007ff80dd71dca (__TEXT,__text) external _audit_set_stat
00007ff80dd71254 (__TEXT,__text) non-external _audit_set_terminal_host
00007ff80dd7117e (__TEXT,__text) external _audit_set_terminal_id
00007ff80dd712f8 (__TEXT,__text) external _audit_set_terminal_id_ex
00007ff80dd711b3 (__TEXT,__text) non-external _audit_set_terminal_port
00007ff80dd70cb6 (__TEXT,__text) external _audit_submit
00007ff80dd64db4 (__TEXT,__text) external _audit_token_to_asid
00007ff80dd64dfc (__TEXT,__text) external _audit_token_to_au32
00007ff80dd64dd8 (__TEXT,__text) external _audit_token_to_auid
00007ff80dd64de1 (__TEXT,__text) external _audit_token_to_egid
00007ff80dd64dc6 (__TEXT,__text) external _audit_token_to_euid
00007ff80dd64dbd (__TEXT,__text) external _audit_token_to_pid
00007ff80dd64df3 (__TEXT,__text) external _audit_token_to_pidversion
00007ff80dd64dea (__TEXT,__text) external _audit_token_to_rgid
00007ff80dd64dcf (__TEXT,__text) external _audit_token_to_ruid
00007ff80dd7132d (__TEXT,__text) external _audit_write
00007ff80dd715f0 (__TEXT,__text) external _audit_write_failure
00007ff80dd716b5 (__TEXT,__text) external _audit_write_failure_ex
00007ff80dd71817 (__TEXT,__text) external _audit_write_failure_na
00007ff80dd71848 (__TEXT,__text) external _audit_write_failure_na_ex
00007ff80dd7177a (__TEXT,__text) external _audit_write_failure_self
00007ff80dd714af (__TEXT,__text) external _audit_write_success
00007ff80dd71526 (__TEXT,__text) external _audit_write_success_ex
00007ff80dd7159d (__TEXT,__text) external _audit_write_success_self
                 (undefined) external _auditon (from libSystem)
00007ff80dd6d16d (__TEXT,__text) non-external _be64dec
00007ff80dd739d0 (__TEXT,__const) non-external _bsm_domains
00007ff841377670 (__DATA_CONST,__const) non-external _bsm_errnos
00007ff80dd73c50 (__TEXT,__const) non-external _bsm_fcntl_cmdtab
00007ff80dd73c00 (__TEXT,__const) non-external _bsm_socket_types
00007ff80dd6e02c (__TEXT,__text) external _cannot_audit
                 (undefined) external _clearerr (from libSystem)
00007ff80dd6d637 (__TEXT,__text) non-external _close_tag
                 (undefined) external _ctime_r (from libSystem)
00007ff80dd66496 (__TEXT,__text) external _endac
00007ff80dd660f4 (__TEXT,__text) external _endauclass
00007ff80dd66ddb (__TEXT,__text) external _endauevent
00007ff80dd70869 (__TEXT,__text) external _endauuser
00007ff8436f95b8 (__DATA,__bss) non-external _ev_cache
00007ff80dd67276 (__TEXT,__text) non-external _eventfromstr
                 (undefined) external _fclose (from libSystem)
                 (undefined) external _ferror (from libSystem)
00007ff80dd68929 (__TEXT,__text) non-external _fetch_arb_tok
00007ff80dd67acf (__TEXT,__text) non-external _fetch_arg32_tok
00007ff80dd67b44 (__TEXT,__text) non-external _fetch_arg64_tok
00007ff80dd67bb9 (__TEXT,__text) non-external _fetch_attr32_tok
00007ff80dd67c67 (__TEXT,__text) non-external _fetch_attr64_tok
00007ff80dd689a5 (__TEXT,__text) non-external _fetch_cert_hash_tok
00007ff80dd67d69 (__TEXT,__text) non-external _fetch_execarg_tok
00007ff80dd67d69 (__TEXT,__text) non-external _fetch_execenv_tok
00007ff80dd67d26 (__TEXT,__text) non-external _fetch_exit_tok
00007ff80dd67de9 (__TEXT,__text) non-external _fetch_file_tok
00007ff80dd67718 (__TEXT,__text) non-external _fetch_header32_ex_tok
00007ff80dd67668 (__TEXT,__text) non-external _fetch_header32_tok
00007ff80dd67921 (__TEXT,__text) non-external _fetch_header64_ex_tok
00007ff80dd6785c (__TEXT,__text) non-external _fetch_header64_tok
00007ff80dd68a23 (__TEXT,__text) non-external _fetch_identity_tok
00007ff80dd67ece (__TEXT,__text) non-external _fetch_inaddr_ex_tok
00007ff80dd67f2d (__TEXT,__text) non-external _fetch_ip_tok
00007ff80dd68038 (__TEXT,__text) non-external _fetch_ipc_tok
00007ff80dd68079 (__TEXT,__text) non-external _fetch_ipcperm_tok
00007ff80dd689a5 (__TEXT,__text) non-external _fetch_krb5_principal_tok
00007ff80dd67e60 (__TEXT,__text) non-external _fetch_newgroups_tok
00007ff80dd68141 (__TEXT,__text) non-external _fetch_process32_tok
00007ff80dd68241 (__TEXT,__text) non-external _fetch_process32ex_tok
00007ff80dd6837f (__TEXT,__text) non-external _fetch_process64_tok
00007ff80dd68492 (__TEXT,__text) non-external _fetch_process64ex_tok
00007ff80dd68038 (__TEXT,__text) non-external _fetch_return32_tok
00007ff80dd685f9 (__TEXT,__text) non-external _fetch_return64_tok
00007ff80dd687bb (__TEXT,__text) non-external _fetch_sock_inet128_tok
00007ff80dd686c8 (__TEXT,__text) non-external _fetch_sock_inet32_tok
00007ff80dd68726 (__TEXT,__text) non-external _fetch_sock_unix_tok
00007ff80dd6863c (__TEXT,__text) non-external _fetch_socket_tok
00007ff80dd6881e (__TEXT,__text) non-external _fetch_socketex32_tok
00007ff80dd68141 (__TEXT,__text) non-external _fetch_subject32_tok
00007ff80dd68241 (__TEXT,__text) non-external _fetch_subject32ex_tok
00007ff80dd6837f (__TEXT,__text) non-external _fetch_subject64_tok
00007ff80dd68492 (__TEXT,__text) non-external _fetch_subject64ex_tok
00007ff80dd67a88 (__TEXT,__text) non-external _fetch_trailer_tok
                 (undefined) external _fgetc (from libSystem)
                 (undefined) external _fgets (from libSystem)
                 (undefined) external _fileno (from libSystem)
00007ff8436f95b0 (__DATA,__bss) non-external _firsttime
00007ff80dd6de92 (__TEXT,__text) non-external _flush_cache
                 (undefined) external _fopen (from libSystem)
00007ff8436f9070 (__DATA,__bss) non-external _fp
00007ff8436f9180 (__DATA,__bss) non-external _fp
00007ff8436f9290 (__DATA,__bss) non-external _fp
00007ff8436f95d0 (__DATA,__bss) non-external _fp
                 (undefined) external _fprintf (from libSystem)
                 (undefined) external _fputc (from libSystem)
                 (undefined) external _fputs (from libSystem)
                 (undefined) external _fread (from libSystem)
                 (undefined) external _free (from libSystem)
                 (undefined) external _fseek (from libSystem)
                 (undefined) external _fstat$INODE64 (from libSystem)
                 (undefined) external _fwrite (from libSystem)
00007ff80dd664cf (__TEXT,__text) external _getacdir
00007ff80dd66aaa (__TEXT,__text) external _getacexpire
00007ff80dd66707 (__TEXT,__text) external _getacfilesz
00007ff80dd66856 (__TEXT,__text) external _getacflg
00007ff80dd66a17 (__TEXT,__text) external _getachost
00007ff80dd666a4 (__TEXT,__text) external _getacmin
00007ff80dd668e2 (__TEXT,__text) external _getacna
00007ff80dd6696e (__TEXT,__text) external _getacpol
00007ff80dd66a01 (__TEXT,__text) external _getacsflagsmask
00007ff80dd65e8a (__TEXT,__text) external _getauclassent
00007ff8436f8f78 (__DATA,__bss) non-external _getauclassent.c
00007ff8436f8f30 (__DATA,__bss) non-external _getauclassent.class_ent_desc
00007ff8436f8f20 (__DATA,__bss) non-external _getauclassent.class_ent_name
00007ff8436f8f90 (__DATA,__bss) non-external _getauclassent.cp
00007ff80dd65d0e (__TEXT,__text) external _getauclassent_r
00007ff80dd65d42 (__TEXT,__text) non-external _getauclassent_r_locked
00007ff80dd65fc7 (__TEXT,__text) external _getauclassnam
00007ff8436f8fe8 (__DATA,__bss) non-external _getauclassnam.c
00007ff8436f8fa0 (__DATA,__bss) non-external _getauclassnam.class_ent_desc
00007ff8436f8f98 (__DATA,__bss) non-external _getauclassnam.class_ent_name
00007ff80dd65f4e (__TEXT,__text) external _getauclassnam_r
00007ff80dd6608f (__TEXT,__text) external _getauclassnum
00007ff8436f9058 (__DATA,__bss) non-external _getauclassnum.c
00007ff8436f9010 (__DATA,__bss) non-external _getauclassnum.class_ent_desc
00007ff8436f9000 (__DATA,__bss) non-external _getauclassnum.class_ent_name
00007ff80dd6602d (__TEXT,__text) external _getauclassnum_r
                 (undefined) external _getaudit_addr (from libSystem)
00007ff80dd6738e (__TEXT,__text) external _getauditflagsbin
00007ff80dd674cb (__TEXT,__text) external _getauditflagschar
00007ff80dd66ec8 (__TEXT,__text) external _getauevent
00007ff8436f92f8 (__DATA,__bss) non-external _getauevent.e
00007ff8436f92c0 (__DATA,__bss) non-external _getauevent.event_ent_desc
00007ff8436f92a0 (__DATA,__bss) non-external _getauevent.event_ent_name
00007ff80dd66e14 (__TEXT,__text) external _getauevent_r
00007ff80dd6701e (__TEXT,__text) external _getauevnam
00007ff8436f9378 (__DATA,__bss) non-external _getauevnam.e
00007ff8436f9340 (__DATA,__bss) non-external _getauevnam.event_ent_desc
00007ff8436f9320 (__DATA,__bss) non-external _getauevnam.event_ent_name
00007ff80dd66f32 (__TEXT,__text) external _getauevnam_r
00007ff80dd67262 (__TEXT,__text) external _getauevnonam
00007ff8436f94a0 (__DATA,__bss) non-external _getauevnonam.event
00007ff80dd671d0 (__TEXT,__text) external _getauevnonam_r
00007ff8436f9478 (__DATA,__bss) non-external _getauevnonam_r.e
00007ff8436f9498 (__DATA,__bss) non-external _getauevnonam_r.ep
00007ff8436f9440 (__DATA,__bss) non-external _getauevnonam_r.event_ent_desc
00007ff8436f9420 (__DATA,__bss) non-external _getauevnonam_r.event_ent_name
00007ff80dd67164 (__TEXT,__text) external _getauevnum
00007ff8436f93f8 (__DATA,__bss) non-external _getauevnum.e
00007ff8436f93c0 (__DATA,__bss) non-external _getauevnum.event_ent_desc
00007ff8436f93a0 (__DATA,__bss) non-external _getauevnum.event_ent_name
00007ff80dd6708b (__TEXT,__text) external _getauevnum_r
00007ff80dd70a12 (__TEXT,__text) external _getauuserent
00007ff8436f9618 (__DATA,__bss) non-external _getauuserent.u
00007ff8436f95e0 (__DATA,__bss) non-external _getauuserent.user_ent_name
00007ff80dd708a2 (__TEXT,__text) external _getauuserent_r
00007ff80dd708d6 (__TEXT,__text) non-external _getauuserent_r_locked
00007ff80dd70aeb (__TEXT,__text) external _getauusernam
00007ff8436f9668 (__DATA,__bss) non-external _getauusernam.u
00007ff8436f9630 (__DATA,__bss) non-external _getauusernam.user_ent_name
00007ff80dd70a80 (__TEXT,__text) external _getauusernam_r
                 (undefined) external _getegid (from libSystem)
                 (undefined) external _geteuid (from libSystem)
00007ff80dd70bf5 (__TEXT,__text) external _getfauditflags
                 (undefined) external _getgid (from libSystem)
                 (undefined) external _getgrgid (from libSystem)
                 (undefined) external _getpid (from libSystem)
                 (undefined) external _getpwuid (from libSystem)
00007ff80dd66556 (__TEXT,__text) non-external _getstrfromtype_locked
                 (undefined) external _gettimeofday (from libSystem)
                 (undefined) external _getuid (from libSystem)
                 (undefined) external _inet_ntoa (from libSystem)
                 (undefined) external _inet_ntop (from libSystem)
                 (undefined) external _ioctl (from libSystem)
00007ff8436f9080 (__DATA,__bss) non-external _linestr
00007ff8436f9190 (__DATA,__bss) non-external _linestr
00007ff8436f94b0 (__DATA,__bss) non-external _linestr
00007ff8436f9680 (__DATA,__bss) non-external _linestr
00007ff80dd6ddae (__TEXT,__text) non-external _load_event_table
                 (undefined) external _malloc_type_malloc (from libSystem)
                 (undefined) external _memchr (from libSystem)
                 (undefined) external _memcpy (from libSystem)
00007ff8436f8cf0 (__DATA,__data) non-external _mutex
00007ff8436f8d30 (__DATA,__data) non-external _mutex
00007ff8436f8d70 (__DATA,__data) non-external _mutex
00007ff8436f8db0 (__DATA,__data) non-external _mutex
00007ff8436f8df0 (__DATA,__data) non-external _mutex
00007ff8436f8e30 (__DATA,__data) non-external _mutex
                 (undefined) external _notify_cancel (from libSystem)
                 (undefined) external _notify_check (from libSystem)
                 (undefined) external _notify_register_check (from libSystem)
00007ff8436f8e80 (__DATA,__bss) non-external _open_desc_table
00007ff80dd6d4e8 (__TEXT,__text) non-external _print_event
00007ff80dd6db07 (__TEXT,__text) non-external _print_group
00007ff80dd6d8b4 (__TEXT,__text) non-external _print_ip_ex_address
00007ff80dd6dbba (__TEXT,__text) non-external _print_ipctype
00007ff80dd6db4a (__TEXT,__text) non-external _print_mem
00007ff80dd6dc23 (__TEXT,__text) non-external _print_retval
00007ff80dd6d5b0 (__TEXT,__text) non-external _print_sec32
00007ff80dd6d954 (__TEXT,__text) non-external _print_sec64
00007ff80dd6d9da (__TEXT,__text) non-external _print_string
00007ff80dd6d179 (__TEXT,__text) non-external _print_tok_type
00007ff80dd6dac4 (__TEXT,__text) non-external _print_user
                 (undefined) external _pthread_mutex_lock (from libSystem)
                 (undefined) external _pthread_mutex_unlock (from libSystem)
00007ff80dd663fa (__TEXT,__text) external _setac
00007ff80dd66422 (__TEXT,__text) non-external _setac_locked
00007ff8436f9188 (__DATA,__bss) non-external _setac_locked.lastctime
00007ff80dd65f1c (__TEXT,__text) external _setauclass
00007ff80dd66da9 (__TEXT,__text) external _setauevent
00007ff80dd70837 (__TEXT,__text) external _setauuser
00007ff80dd66c7c (__TEXT,__text) non-external _setexpirecond
                 (undefined) external _sscanf (from libSystem)
                 (undefined) external _stat$INODE64 (from libSystem)
                 (undefined) external _strcasestr (from libSystem)
                 (undefined) external _strcmp (from libSystem)
                 (undefined) external _strdup (from libSystem)
                 (undefined) external _strerror (from libSystem)
                 (undefined) external _strlcat (from libSystem)
                 (undefined) external _strlcpy (from libSystem)
                 (undefined) external _strlen (from libSystem)
                 (undefined) external _strncmp (from libSystem)
                 (undefined) external _strrchr (from libSystem)
                 (undefined) external _strsep (from libSystem)
                 (undefined) external _strtok_r (from libSystem)
                 (undefined) external _strtoul (from libSystem)
                 (undefined) external _sysctl (from libSystem)
                 (undefined) external _syslog$DARWIN_EXTSN (from libSystem)
00007ff8436f95c0 (__DATA,__bss) non-external _token
                 (undefined) external _vsnprintf (from libSystem)
