00007ffc411a2058 (__DATA,__bss) non-external _A
00007ffc0ddcf2b5 (__TEXT,__text) external _cmark_parse_file
00007ffc0ddd2ee0 (__TEXT,__text) non-external (was a private external) _cmark_parse_inlines
00007ffc0ddda2bf (__TEXT,__text) non-external _cmark_parse_inlines.cold.1
00007ffc0ddda3fa (__TEXT,__text) non-external _cmark_parse_inlines.cold.10
00007ffc0ddda41d (__TEXT,__text) non-external _cmark_parse_inlines.cold.11
00007ffc0ddda440 (__TEXT,__text) non-external _cmark_parse_inlines.cold.12
00007ffc0ddda463 (__TEXT,__text) non-external _cmark_parse_inlines.cold.13
00007ffc0ddda486 (__TEXT,__text) non-external _cmark_parse_inlines.cold.14
00007ffc0ddda4a9 (__TEXT,__text) non-external _cmark_parse_inlines.cold.15
00007ffc0ddda4cc (__TEXT,__text) non-external _cmark_parse_inlines.cold.16
00007ffc0ddda4ef (__TEXT,__text) non-external _cmark_parse_inlines.cold.17
00007ffc0ddda512 (__TEXT,__text) non-external _cmark_parse_inlines.cold.18
00007ffc0ddda535 (__TEXT,__text) non-external _cmark_parse_inlines.cold.19
00007ffc0ddda2e2 (__TEXT,__text) non-external _cmark_parse_inlines.cold.2
00007ffc0ddda305 (__TEXT,__text) non-external _cmark_parse_inlines.cold.3
00007ffc0ddda328 (__TEXT,__text) non-external _cmark_parse_inlines.cold.4
00007ffc0ddda34b (__TEXT,__text) non-external _cmark_parse_inlines.cold.5
00007ffc0ddda36e (__TEXT,__text) non-external _cmark_parse_inlines.cold.6
00007ffc0ddda391 (__TEXT,__text) non-external _cmark_parse_inlines.cold.7
00007ffc0ddda3b4 (__TEXT,__text) non-external _cmark_parse_inlines.cold.8
00007ffc0ddda3d7 (__TEXT,__text) non-external _cmark_parse_inlines.cold.9
00007ffc0ddd61c3 (__TEXT,__text) non-external (was a private external) _cmark_parse_reference_attributes_inline
00007ffc0ddda7a9 (__TEXT,__text) non-external _cmark_parse_reference_attributes_inline.cold.1
00007ffc0ddda7cc (__TEXT,__text) non-external _cmark_parse_reference_attributes_inline.cold.2
00007ffc0ddda7ef (__TEXT,__text) non-external _cmark_parse_reference_attributes_inline.cold.3
00007ffc0ddda812 (__TEXT,__text) non-external _cmark_parse_reference_attributes_inline.cold.4
00007ffc0ddda835 (__TEXT,__text) non-external _cmark_parse_reference_attributes_inline.cold.5
00007ffc0ddd5ab7 (__TEXT,__text) non-external (was a private external) _cmark_parse_reference_inline
00007ffc0ddda57b (__TEXT,__text) non-external _cmark_parse_reference_inline.cold.1
00007ffc0ddda59e (__TEXT,__text) non-external _cmark_parse_reference_inline.cold.2
00007ffc0ddda5c1 (__TEXT,__text) non-external _cmark_parse_reference_inline.cold.3
00007ffc0ddda5e4 (__TEXT,__text) non-external _cmark_parse_reference_inline.cold.4
00007ffc0ddda607 (__TEXT,__text) non-external _cmark_parse_reference_inline.cold.5
00007ffc0ddda62a (__TEXT,__text) non-external _cmark_parse_reference_inline.cold.6
00007ffc0ddda64d (__TEXT,__text) non-external _cmark_parse_reference_inline.cold.7
00007ffc0ddd0ceb (__TEXT,__text) external _cmark_parser_add_child
00007ffc0ddd0dc3 (__TEXT,__text) external _cmark_parser_advance_offset
00007ffc0ddcef70 (__TEXT,__text) external _cmark_parser_attach_syntax_extension
00007ffc0ddcf21b (__TEXT,__text) non-external _cmark_parser_dispose
00007ffc0ddcfa35 (__TEXT,__text) external _cmark_parser_feed
00007ffc0ddcfa41 (__TEXT,__text) external _cmark_parser_feed_reentrant
00007ffc0ddcf52d (__TEXT,__text) external _cmark_parser_finish
00007ffc0ddcf19d (__TEXT,__text) external _cmark_parser_free
00007ffc0ddd0caa (__TEXT,__text) external _cmark_parser_get_column
00007ffc0ddd0cb3 (__TEXT,__text) external _cmark_parser_get_first_nonspace
00007ffc0ddd0cbc (__TEXT,__text) external _cmark_parser_get_first_nonspace_column
00007ffc0ddd0cc5 (__TEXT,__text) external _cmark_parser_get_indent
00007ffc0ddd0ce2 (__TEXT,__text) external _cmark_parser_get_last_line_length
00007ffc0ddd0c98 (__TEXT,__text) external _cmark_parser_get_line_number
00007ffc0ddd0ca1 (__TEXT,__text) external _cmark_parser_get_offset
00007ffc0ddd0eb0 (__TEXT,__text) external _cmark_parser_get_syntax_extensions
00007ffc0ddd0cd8 (__TEXT,__text) external _cmark_parser_has_partially_consumed_tab
00007ffc0ddd0cce (__TEXT,__text) external _cmark_parser_is_blank
00007ffc0ddcf18c (__TEXT,__text) external _cmark_parser_new
00007ffc0ddcf021 (__TEXT,__text) external _cmark_parser_new_with_mem
00007ffc0ddcf079 (__TEXT,__text) non-external _cmark_parser_reset
00007ffc0ddd0ea3 (__TEXT,__text) external _cmark_parser_set_backslash_ispunct_func
00007ffc0ddc3789 (__TEXT,__text) external _cmark_plugin_free
00007ffc0ddc3769 (__TEXT,__text) external _cmark_plugin_new
00007ffc0ddc373f (__TEXT,__text) external _cmark_plugin_register_syntax_extension
00007ffc0ddc37b9 (__TEXT,__text) external _cmark_plugin_steal_syntax_extensions
00007ffc0ddced72 (__TEXT,__text) non-external (was a private external) _cmark_reference_create
00007ffc0ddda0a8 (__TEXT,__text) non-external _cmark_reference_create.cold.1
00007ffc0ddcee39 (__TEXT,__text) non-external (was a private external) _cmark_reference_create_attributes
00007ffc0ddda0c9 (__TEXT,__text) non-external _cmark_reference_create_attributes.cold.1
00007ffc0ddceed9 (__TEXT,__text) non-external (was a private external) _cmark_reference_map_new
00007ffc0ddd1519 (__TEXT,__text) external _cmark_register_node_flag
00007ffc0ddda233 (__TEXT,__text) non-external _cmark_register_node_flag.cold.1
00007ffc0ddda258 (__TEXT,__text) non-external _cmark_register_node_flag.cold.2
00007ffc411a1d00 (__DATA,__data) non-external _cmark_register_node_flag.nextflag
00007ffc0ddc275d (__TEXT,__text) external _cmark_register_plugin
00007ffc0ddc2808 (__TEXT,__text) external _cmark_release_plugins
00007ffc0ddc2998 (__TEXT,__text) non-external (was a private external) _cmark_render
00007ffc0ddc294f (__TEXT,__text) non-external (was a private external) _cmark_render_ascii
00007ffc0ddc2978 (__TEXT,__text) non-external (was a private external) _cmark_render_code_point
00007ffc0ddbe848 (__TEXT,__text) external _cmark_render_commonmark
00007ffc0ddbe871 (__TEXT,__text) external _cmark_render_commonmark_with_mem
00007ffc0ddbf9d8 (__TEXT,__text) external _cmark_render_html
00007ffc0ddbf9e5 (__TEXT,__text) external _cmark_render_html_with_mem
00007ffc0ddd9f06 (__TEXT,__text) non-external _cmark_render_html_with_mem.cold.1
00007ffc0ddc40e0 (__TEXT,__text) external _cmark_render_latex
00007ffc0ddc4102 (__TEXT,__text) external _cmark_render_latex_with_mem
00007ffc0ddc10cc (__TEXT,__text) external _cmark_render_man
00007ffc0ddc10ee (__TEXT,__text) external _cmark_render_man_with_mem
00007ffc0ddd75b8 (__TEXT,__text) external _cmark_render_plaintext
00007ffc0ddd75e1 (__TEXT,__text) external _cmark_render_plaintext_with_mem
00007ffc0ddd6ba0 (__TEXT,__text) external _cmark_render_xml
00007ffc0ddd6bad (__TEXT,__text) external _cmark_render_xml_with_mem
00007ffc0ddd2ce0 (__TEXT,__text) non-external (was a private external) _cmark_set_default_skip_chars
00007ffc411a1f10 (__DATA,__bss) non-external _cmark_set_default_skip_chars.default_skip_chars
00007ffc0ddd2e73 (__TEXT,__text) non-external (was a private external) _cmark_set_default_special_chars
00007ffc411a1d10 (__DATA,__data) non-external _cmark_set_default_special_chars.default_special_chars
00007ffc411a2064 (__DATA,__common) external _cmark_strbuf__initbuf
00007ffc0ddce85e (__TEXT,__text) external _cmark_strbuf_clear
00007ffc0ddcea90 (__TEXT,__text) external _cmark_strbuf_cmp
