00007ff81073d7c1 (__TEXT,__const) non-external _KW_ANY
00007ff8107261f7 (__TEXT,__text) external _XML_GetSpecifiedAttributeCount
00007ff810726d69 (__TEXT,__text) external _XML_MemFree
00007ff810726d39 (__TEXT,__text) external _XML_MemMalloc
00007ff810726d50 (__TEXT,__text) external _XML_MemRealloc
00007ff8107264ab (__TEXT,__text) external _XML_Parse
00007ff81073d0a1 (__TEXT,__text) non-external _XML_Parse.cold.1
00007ff810726845 (__TEXT,__text) external _XML_ParseBuffer
00007ff810724a20 (__TEXT,__text) external _XML_ParserCreate
00007ff810724a3c (__TEXT,__text) external _XML_ParserCreateNS
00007ff810724a30 (__TEXT,__text) external _XML_ParserCreate_MM
00007ff810725cf3 (__TEXT,__text) external _XML_ParserFree
00007ff810724d49 (__TEXT,__text) external _XML_ParserReset
00007ff810726ae0 (__TEXT,__text) external _XML_ResumeParser
00007ff810726419 (__TEXT,__text) external _XML_SetAttlistDeclHandler
00007ff81072613a (__TEXT,__text) external _XML_SetBase
00007ff810726f27 (__TEXT,__text) external _XML_SetBillionLaughsAttackProtectionActivationThreshold
00007ff810726ee9 (__TEXT,__text) external _XML_SetBillionLaughsAttackProtectionMaximumAmplification
00007ff810726292 (__TEXT,__text) external _XML_SetCdataSectionHandler
00007ff81072625c (__TEXT,__text) external _XML_SetCharacterDataHandler
00007ff810726280 (__TEXT,__text) external _XML_SetCommentHandler
00007ff8107262cf (__TEXT,__text) external _XML_SetDefaultHandler
00007ff8107262e8 (__TEXT,__text) external _XML_SetDefaultHandlerExpand
00007ff810726301 (__TEXT,__text) external _XML_SetDoctypeDeclHandler
00007ff810726407 (__TEXT,__text) external _XML_SetElementDeclHandler
00007ff810726225 (__TEXT,__text) external _XML_SetElementHandler
00007ff81072533b (__TEXT,__text) external _XML_SetEncoding
00007ff8107262bd (__TEXT,__text) external _XML_SetEndCdataSectionHandler
00007ff81072632c (__TEXT,__text) external _XML_SetEndDoctypeDeclHandler
00007ff81072624a (__TEXT,__text) external _XML_SetEndElementHandler
00007ff81072638d (__TEXT,__text) external _XML_SetEndNamespaceDeclHandler
00007ff81072642b (__TEXT,__text) external _XML_SetEntityDeclHandler
00007ff8107263b1 (__TEXT,__text) external _XML_SetExternalEntityRefHandler
00007ff8107263c3 (__TEXT,__text) external _XML_SetExternalEntityRefHandlerArg
00007ff810726475 (__TEXT,__text) external _XML_SetHashSalt
00007ff810726362 (__TEXT,__text) external _XML_SetNamespaceDeclHandler
00007ff81072639f (__TEXT,__text) external _XML_SetNotStandaloneHandler
00007ff810726350 (__TEXT,__text) external _XML_SetNotationDeclHandler
00007ff81072644f (__TEXT,__text) external _XML_SetParamEntityParsing
00007ff81072626e (__TEXT,__text) external _XML_SetProcessingInstructionHandler
00007ff810726f50 (__TEXT,__text) external _XML_SetReparseDeferralEnabled
00007ff8107260fd (__TEXT,__text) external _XML_SetReturnNSTriplet
00007ff8107263dc (__TEXT,__text) external _XML_SetSkippedEntityHandler
00007ff8107262ab (__TEXT,__text) external _XML_SetStartCdataSectionHandler
00007ff81072631a (__TEXT,__text) external _XML_SetStartDoctypeDeclHandler
00007ff81072623b (__TEXT,__text) external _XML_SetStartElementHandler
00007ff81072637b (__TEXT,__text) external _XML_SetStartNamespaceDeclHandler
00007ff8107263ee (__TEXT,__text) external _XML_SetUnknownEncodingHandler
00007ff81072633e (__TEXT,__text) external _XML_SetUnparsedEntityDeclHandler
00007ff81072611f (__TEXT,__text) external _XML_SetUserData
00007ff81072643d (__TEXT,__text) external _XML_SetXmlDeclHandler
00007ff810726a71 (__TEXT,__text) external _XML_StopParser
00007ff8107260d0 (__TEXT,__text) external _XML_UseForeignDTD
00007ff8107260c1 (__TEXT,__text) external _XML_UseParserAsHandlerArg
00007ff8107309fd (__TEXT,__text) non-external (was a private external) _XmlGetUtf16InternalEncoding
00007ff810730f49 (__TEXT,__text) non-external (was a private external) _XmlGetUtf16InternalEncodingNS
00007ff8107309f0 (__TEXT,__text) non-external (was a private external) _XmlGetUtf8InternalEncoding
00007ff810730f3c (__TEXT,__text) non-external (was a private external) _XmlGetUtf8InternalEncodingNS
00007ff810730a0a (__TEXT,__text) non-external (was a private external) _XmlInitEncoding
00007ff810730f56 (__TEXT,__text) non-external (was a private external) _XmlInitEncodingNS
00007ff81073048f (__TEXT,__text) non-external (was a private external) _XmlInitUnknownEncoding
00007ff81073114d (__TEXT,__text) non-external (was a private external) _XmlInitUnknownEncodingNS
00007ff810730b05 (__TEXT,__text) non-external (was a private external) _XmlParseXmlDecl
00007ff810730ff0 (__TEXT,__text) non-external (was a private external) _XmlParseXmlDeclNS
00007ff81072eb40 (__TEXT,__text) non-external (was a private external) _XmlPrologStateInit
00007ff81072ec20 (__TEXT,__text) non-external (was a private external) _XmlPrologStateInitExternalEntity
00007ff810730484 (__TEXT,__text) non-external (was a private external) _XmlSizeOfUnknownEncoding
00007ff810730438 (__TEXT,__text) non-external (was a private external) _XmlUtf16Encode
00007ff81073036d (__TEXT,__text) non-external (was a private external) _XmlUtf8Encode
00007ff8107302d8 (__TEXT,__text) non-external (was a private external) __INTERNAL_trim_to_complete_utf8_characters
                 (undefined) external ___assert_rtn (from libSystem)
                 (undefined) external ___bzero (from libSystem)
                 (undefined) external ___error (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
00007ff810729240 (__TEXT,__text) non-external _accountingDiffTolerated
00007ff81073d10a (__TEXT,__text) non-external _accountingDiffTolerated.cold.1
00007ff81072ae3d (__TEXT,__text) non-external _accountingGetCurrentAmplification
00007ff81073d12d (__TEXT,__text) non-external _accountingGetCurrentAmplification.cold.1
00007ff81072aeba (__TEXT,__text) non-external _accountingReportStats
00007ff81072d788 (__TEXT,__text) non-external _addBinding
00007ff81073ec30 (__TEXT,__cstring) non-external _addBinding.xmlNamespace
00007ff81073ec60 (__TEXT,__cstring) non-external _addBinding.xmlnsNamespace
00007ff81072dc36 (__TEXT,__text) non-external _appendAttributeValue
                 (undefined) external _arc4random_buf (from libSystem)
00007ff84158f608 (__DATA_CONST,__const) non-external _ascii_encoding
00007ff84158ff58 (__DATA_CONST,__const) non-external _ascii_encoding_ns
00007ff810738f0e (__TEXT,__text) non-external _ascii_toUtf8
00007ff81072f12a (__TEXT,__text) non-external _attlist0
00007ff81072f81a (__TEXT,__text) non-external _attlist1
00007ff81072f88a (__TEXT,__text) non-external _attlist2
00007ff81072faba (__TEXT,__text) non-external _attlist3
00007ff81072fbe5 (__TEXT,__text) non-external _attlist4
00007ff81072fa75 (__TEXT,__text) non-external _attlist5
00007ff81072fb4d (__TEXT,__text) non-external _attlist6
00007ff81072fb92 (__TEXT,__text) non-external _attlist7
00007ff81072f982 (__TEXT,__text) non-external _attlist8
00007ff81072fb08 (__TEXT,__text) non-external _attlist9
00007ff81073a818 (__TEXT,__text) non-external _big2_attributeValueTok
00007ff81073a3f8 (__TEXT,__text) non-external _big2_cdataSectionTok
00007ff81073af64 (__TEXT,__text) non-external _big2_charRefNumber
00007ff81073c23c (__TEXT,__text) non-external _big2_checkPiTarget
00007ff810739790 (__TEXT,__text) non-external _big2_contentTok
00007ff84158f268 (__DATA_CONST,__const) non-external _big2_encoding
00007ff84158fbb8 (__DATA_CONST,__const) non-external _big2_encoding_ns
00007ff81073a950 (__TEXT,__text) non-external _big2_entityValueTok
00007ff81073ab91 (__TEXT,__text) non-external _big2_getAtts
00007ff81073a674 (__TEXT,__text) non-external _big2_ignoreSectionTok
00007ff81073b204 (__TEXT,__text) non-external _big2_isPublicId
00007ff81073aac9 (__TEXT,__text) non-external _big2_nameLength
00007ff81073aa84 (__TEXT,__text) non-external _big2_nameMatchesAscii
00007ff81073b022 (__TEXT,__text) non-external _big2_predefinedEntityName
00007ff810738f43 (__TEXT,__text) non-external _big2_prologTok
00007ff81073c630 (__TEXT,__text) non-external _big2_scanAtts
00007ff81073df13 (__TEXT,__const) non-external _big2_scanCdataSection.CDATA_LSQB
00007ff81073c0d4 (__TEXT,__text) non-external _big2_scanComment
00007ff81073b604 (__TEXT,__text) non-external _big2_scanDecl
00007ff81073b4c4 (__TEXT,__text) non-external _big2_scanLit
00007ff81073bbe4 (__TEXT,__text) non-external _big2_scanPercent
00007ff81073b748 (__TEXT,__text) non-external _big2_scanPi
00007ff81073be60 (__TEXT,__text) non-external _big2_scanPoundName
00007ff81073c2b6 (__TEXT,__text) non-external _big2_scanRef
00007ff81073ab59 (__TEXT,__text) non-external _big2_skipS
00007ff81073b454 (__TEXT,__text) non-external _big2_toUtf16
00007ff81073b28f (__TEXT,__text) non-external _big2_toUtf8
00007ff81073b126 (__TEXT,__text) non-external _big2_updatePosition
00007ff81072699f (__TEXT,__text) non-external _callProcessor
00007ff81072d5a8 (__TEXT,__text) non-external _cdataSectionProcessor
00007ff810730758 (__TEXT,__text) non-external _checkCharRefNumber
00007ff81072f594 (__TEXT,__text) non-external _condSect0
00007ff81072f637 (__TEXT,__text) non-external _condSect1
00007ff81072f677 (__TEXT,__text) non-external _condSect2
00007ff810729b73 (__TEXT,__text) non-external _contentProcessor
00007ff81072e920 (__TEXT,__text) non-external _copyEntityTable
00007ff8107253a7 (__TEXT,__text) non-external _copyString
00007ff81072f498 (__TEXT,__text) non-external _declClose
00007ff810729f11 (__TEXT,__text) non-external _defineAttribute
00007ff81072d2e4 (__TEXT,__text) non-external _doCdataSection
00007ff81072b1c4 (__TEXT,__text) non-external _doContent
00007ff81072a6ec (__TEXT,__text) non-external _doIgnoreSection
00007ff810730b46 (__TEXT,__text) non-external _doParseXmlDecl
00007ff81072725c (__TEXT,__text) non-external _doProlog
00007ff81073d1f3 (__TEXT,__const) non-external _doProlog.atypeCDATA
00007ff81073d210 (__TEXT,__const) non-external _doProlog.atypeENTITIES
00007ff81073d209 (__TEXT,__const) non-external _doProlog.atypeENTITY
00007ff81073d1f9 (__TEXT,__const) non-external _doProlog.atypeID
00007ff81073d1fc (__TEXT,__const) non-external _doProlog.atypeIDREF
00007ff81073d202 (__TEXT,__const) non-external _doProlog.atypeIDREFS
00007ff81073d219 (__TEXT,__const) non-external _doProlog.atypeNMTOKEN
00007ff81073d221 (__TEXT,__const) non-external _doProlog.atypeNMTOKENS
00007ff81073d0e7 (__TEXT,__text) non-external _doProlog.cold.1
00007ff81073eb16 (__TEXT,__cstring) non-external _doProlog.enumValueSep
00007ff81073eb18 (__TEXT,__cstring) non-external _doProlog.enumValueStart
00007ff81073eb0c (__TEXT,__cstring) non-external _doProlog.notationPrefix
00007ff81072ed18 (__TEXT,__text) non-external _doctype0
00007ff81072ed6a (__TEXT,__text) non-external _doctype1
00007ff81072f08d (__TEXT,__text) non-external _doctype2
00007ff81072f048 (__TEXT,__text) non-external _doctype3
00007ff810730280 (__TEXT,__text) non-external _doctype4
00007ff81072f1fe (__TEXT,__text) non-external _doctype5
00007ff81072f174 (__TEXT,__text) non-external _element0
00007ff81072fc38 (__TEXT,__text) non-external _element1
00007ff81072fd06 (__TEXT,__text) non-external _element2
00007ff81072fe08 (__TEXT,__text) non-external _element3
00007ff81073002c (__TEXT,__text) non-external _element4
00007ff810730076 (__TEXT,__text) non-external _element5
00007ff81072fe87 (__TEXT,__text) non-external _element6
00007ff81072ff58 (__TEXT,__text) non-external _element7
00007ff84158f060 (__DATA_CONST,__const) non-external _encodings
00007ff84158f7e0 (__DATA_CONST,__const) non-external _encodingsNS
00007ff81072f0d2 (__TEXT,__text) non-external _entity0
00007ff81072f243 (__TEXT,__text) non-external _entity1
00007ff81072f4e5 (__TEXT,__text) non-external _entity10
00007ff81072f288 (__TEXT,__text) non-external _entity2
00007ff81072f6fe (__TEXT,__text) non-external _entity3
00007ff81072f6b9 (__TEXT,__text) non-external _entity4
00007ff81072f743 (__TEXT,__text) non-external _entity5
00007ff81072f7cd (__TEXT,__text) non-external _entity6
00007ff81072f34b (__TEXT,__text) non-external _entity7
00007ff81072f453 (__TEXT,__text) non-external _entity8
00007ff81072f40e (__TEXT,__text) non-external _entity9
00007ff81072abd1 (__TEXT,__text) non-external _entityTrackingOnOpen
00007ff81072e2f6 (__TEXT,__text) non-external _entityTrackingReportStats
00007ff81073d150 (__TEXT,__text) non-external _entityTrackingReportStats.cold.1
00007ff81072e5bb (__TEXT,__text) non-external _entityValueInitProcessor
00007ff81072e842 (__TEXT,__text) non-external _entityValueProcessor
00007ff81072d110 (__TEXT,__text) non-external _epilogProcessor
00007ff81072ed62 (__TEXT,__text) non-external _error
00007ff810726a65 (__TEXT,__text) non-external _errorProcessor
00007ff81072dbd4 (__TEXT,__text) non-external _externalEntityContentProcessor
00007ff810725f99 (__TEXT,__text) non-external _externalEntityInitProcessor
00007ff81072e3ec (__TEXT,__text) non-external _externalEntityInitProcessor2
00007ff81072e4dc (__TEXT,__text) non-external _externalEntityInitProcessor3
00007ff810725fea (__TEXT,__text) non-external _externalParEntInitProcessor
00007ff81072e742 (__TEXT,__text) non-external _externalParEntProcessor
00007ff81072ec38 (__TEXT,__text) non-external _externalSubset0
00007ff81072f539 (__TEXT,__text) non-external _externalSubset1
00007ff810730e20 (__TEXT,__text) non-external _findEncoding
00007ff810731031 (__TEXT,__text) non-external _findEncodingNS
                 (undefined) external _fprintf (from libSystem)
                 (undefined) external _fputs (from libSystem)
                 (undefined) external _free (from libSystem)
00007ff81072d0b8 (__TEXT,__text) non-external _freeBindings
                 (undefined) external _fwrite (from libSystem)
00007ff81073d1f0 (__TEXT,__const) non-external (was a private external) _g_reparseDeferralEnabledDefault
00007ff810729c53 (__TEXT,__text) non-external _getAttributeId
00007ff81072c0e8 (__TEXT,__text) non-external _getContext
00007ff810727003 (__TEXT,__text) non-external _getDebugLevel
00007ff810729bc8 (__TEXT,__text) non-external _getElementType
00007ff810730a63 (__TEXT,__text) non-external _getEncodingIndex
00007ff84158f030 (__DATA_CONST,__const) non-external _getEncodingIndex.encodingNames
                 (undefined) external _getenv (from libSystem)
00007ff810727140 (__TEXT,__text) non-external _handleUnknownEncoding
00007ff81072af1e (__TEXT,__text) non-external _hash
00007ff81072e8e7 (__TEXT,__text) non-external _hashTableDestroy
00007ff81072a86c (__TEXT,__text) non-external _ignoreSectionProcessor
00007ff81073d230 (__TEXT,__const) non-external _implicitContext
00007ff810738d3e (__TEXT,__text) non-external _initScan
00007ff810730ad2 (__TEXT,__text) non-external _initScanContent
00007ff810730fce (__TEXT,__text) non-external _initScanContentNS
00007ff810730ab3 (__TEXT,__text) non-external _initScanProlog
00007ff810730faf (__TEXT,__text) non-external _initScanPrologNS
00007ff810730af4 (__TEXT,__text) non-external _initUpdatePosition
00007ff810727074 (__TEXT,__text) non-external _initializeEncoding
00007ff81072e0ac (__TEXT,__text) non-external _internalEntityProcessor
00007ff81072ee43 (__TEXT,__text) non-external _internalSubset
00007ff84158eac0 (__DATA_CONST,__const) non-external _internal_little2_encoding
00007ff84158ee60 (__DATA_CONST,__const) non-external _internal_little2_encoding_ns
00007ff84158e8f0 (__DATA_CONST,__const) non-external _internal_utf8_encoding
00007ff84158ec90 (__DATA_CONST,__const) non-external _internal_utf8_encoding_ns
00007ff810734e05 (__TEXT,__text) non-external _isNever
00007ff84158e720 (__DATA_CONST,__const) non-external _latin1_encoding
00007ff84158f818 (__DATA_CONST,__const) non-external _latin1_encoding_ns
00007ff81073366c (__TEXT,__text) non-external _latin1_toUtf16
00007ff8107335ea (__TEXT,__text) non-external _latin1_toUtf8
00007ff810736814 (__TEXT,__text) non-external _little2_attributeValueTok
00007ff8107363fc (__TEXT,__text) non-external _little2_cdataSectionTok
00007ff810736f5c (__TEXT,__text) non-external _little2_charRefNumber
00007ff810738224 (__TEXT,__text) non-external _little2_checkPiTarget
00007ff8107357a4 (__TEXT,__text) non-external _little2_contentTok
00007ff84158f438 (__DATA_CONST,__const) non-external _little2_encoding
00007ff84158fd88 (__DATA_CONST,__const) non-external _little2_encoding_ns
00007ff81073694c (__TEXT,__text) non-external _little2_entityValueTok
00007ff810736b8c (__TEXT,__text) non-external _little2_getAtts
00007ff810736674 (__TEXT,__text) non-external _little2_ignoreSectionTok
00007ff8107371fc (__TEXT,__text) non-external _little2_isPublicId
00007ff810736ac5 (__TEXT,__text) non-external _little2_nameLength
00007ff810736a80 (__TEXT,__text) non-external _little2_nameMatchesAscii
00007ff81073701a (__TEXT,__text) non-external _little2_predefinedEntityName
00007ff810734f65 (__TEXT,__text) non-external _little2_prologTok
00007ff810738614 (__TEXT,__text) non-external _little2_scanAtts
00007ff8107380bc (__TEXT,__text) non-external _little2_scanComment
00007ff8107375f4 (__TEXT,__text) non-external _little2_scanDecl
00007ff8107374ba (__TEXT,__text) non-external _little2_scanLit
00007ff810737bd0 (__TEXT,__text) non-external _little2_scanPercent
00007ff810737738 (__TEXT,__text) non-external _little2_scanPi
00007ff810737e50 (__TEXT,__text) non-external _little2_scanPoundName
00007ff81073829e (__TEXT,__text) non-external _little2_scanRef
00007ff810736b54 (__TEXT,__text) non-external _little2_skipS
00007ff81073744c (__TEXT,__text) non-external _little2_toUtf16
00007ff810737287 (__TEXT,__text) non-external _little2_toUtf8
00007ff81073711e (__TEXT,__text) non-external _little2_updatePosition
00007ff810729803 (__TEXT,__text) non-external _lookup
                 (undefined) external _malloc (from libSystem)
                 (undefined) external _malloc_type_malloc (from libSystem)
                 (undefined) external _memcmp (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memmove (from libSystem)
                 (undefined) external _memset (from libSystem)
00007ff81073dde0 (__TEXT,__const) non-external _namePages
00007ff81073d7e0 (__TEXT,__const) non-external _namingBitmap
00007ff81072a8e8 (__TEXT,__text) non-external _nextScaffoldPart
00007ff81073dce0 (__TEXT,__const) non-external _nmstrtPages
00007ff810732d90 (__TEXT,__text) non-external _normal_attributeValueTok
00007ff810732950 (__TEXT,__text) non-external _normal_cdataSectionTok
00007ff810733350 (__TEXT,__text) non-external _normal_charRefNumber
00007ff810734150 (__TEXT,__text) non-external _normal_checkPiTarget
00007ff810731d10 (__TEXT,__text) non-external _normal_contentTok
00007ff810732ecc (__TEXT,__text) non-external _normal_entityValueTok
00007ff810733085 (__TEXT,__text) non-external _normal_getAtts
00007ff810732bf0 (__TEXT,__text) non-external _normal_ignoreSectionTok
00007ff810733568 (__TEXT,__text) non-external _normal_isPublicId
00007ff81073301c (__TEXT,__text) non-external _normal_nameLength
00007ff810732fe0 (__TEXT,__text) non-external _normal_nameMatchesAscii
00007ff810733415 (__TEXT,__text) non-external _normal_predefinedEntityName
00007ff810731164 (__TEXT,__text) non-external _normal_prologTok
00007ff8107344c2 (__TEXT,__text) non-external _normal_scanAtts
00007ff810733fd8 (__TEXT,__text) non-external _normal_scanComment
00007ff810733814 (__TEXT,__text) non-external _normal_scanDecl
00007ff8107336af (__TEXT,__text) non-external _normal_scanLit
00007ff810733d50 (__TEXT,__text) non-external _normal_scanPercent
00007ff810733938 (__TEXT,__text) non-external _normal_scanPi
00007ff8107341b6 (__TEXT,__text) non-external _normal_scanRef
00007ff81073305d (__TEXT,__text) non-external _normal_skipS
00007ff8107334a7 (__TEXT,__text) non-external _normal_updatePosition
00007ff81072e3a8 (__TEXT,__text) non-external _normalizeLines
00007ff810729b0d (__TEXT,__text) non-external _normalizePublicId
00007ff81072f1be (__TEXT,__text) non-external _notation0
00007ff8107300d3 (__TEXT,__text) non-external _notation1
00007ff8107301c9 (__TEXT,__text) non-external _notation2
00007ff81073017c (__TEXT,__text) non-external _notation3
00007ff81073020e (__TEXT,__text) non-external _notation4
00007ff81073cd0c (__TEXT,__text) non-external _parsePseudoAttribute
00007ff810724a5e (__TEXT,__text) non-external _parserCreate
00007ff81072516f (__TEXT,__text) non-external _parserInit
00007ff810729e9f (__TEXT,__text) non-external _poolAppend
00007ff810726185 (__TEXT,__text) non-external _poolCopyString
00007ff81072607d (__TEXT,__text) non-external _poolDestroy
00007ff81072a023 (__TEXT,__text) non-external _poolGrow
00007ff8107297bc (__TEXT,__text) non-external _poolStoreString
00007ff81072aa12 (__TEXT,__text) non-external _processInternalEntity
00007ff810729455 (__TEXT,__text) non-external _processXmlDecl
00007ff81072eb65 (__TEXT,__text) non-external _prolog0
00007ff81072ec58 (__TEXT,__text) non-external _prolog1
00007ff81072efbc (__TEXT,__text) non-external _prolog2
00007ff810726fb2 (__TEXT,__text) non-external _prologInitProcessor
00007ff8107270cf (__TEXT,__text) non-external _prologProcessor
                 (undefined) external _realloc (from libSystem)
00007ff81073d754 (__TEXT,__const) non-external _reltable.attlist2
00007ff81072ad72 (__TEXT,__text) non-external _reportComment
00007ff810726dca (__TEXT,__text) non-external _reportDefault
00007ff81072ac26 (__TEXT,__text) non-external _reportProcessingInstruction
00007ff810725a55 (__TEXT,__text) non-external _setContext
00007ff81072d65e (__TEXT,__text) non-external _setElementTypePrefix
00007ff81072b087 (__TEXT,__text) non-external _sip24_final
00007ff81072afe2 (__TEXT,__text) non-external _sip24_update
00007ff81072b168 (__TEXT,__text) non-external _sip_round
00007ff810726596 (__TEXT,__text) non-external _startParsing
00007ff81072a1ef (__TEXT,__text) non-external _storeAttributeValue
00007ff81072c46e (__TEXT,__text) non-external _storeAtts
00007ff81072a260 (__TEXT,__text) non-external _storeEntityValue
00007ff81072c00c (__TEXT,__text) non-external _storeRawNames
00007ff810738cdc (__TEXT,__text) non-external _streqci
                 (undefined) external _strtoul (from libSystem)
00007ff810726f6c (__TEXT,__text) non-external (was a private external) _testingAccountingGetCountBytesDirect
00007ff810726f81 (__TEXT,__text) non-external (was a private external) _testingAccountingGetCountBytesIndirect
00007ff810730843 (__TEXT,__text) non-external _unknown_isInvalid
00007ff8107307a5 (__TEXT,__text) non-external _unknown_isName
00007ff8107307f4 (__TEXT,__text) non-external _unknown_isNmstrt
00007ff810730951 (__TEXT,__text) non-external _unknown_toUtf16
00007ff810730870 (__TEXT,__text) non-external _unknown_toUtf8
00007ff810726f96 (__TEXT,__text) non-external (was a private external) _unsignedCharToPrintable
00007ff84158f098 (__DATA_CONST,__const) non-external _utf8_encoding
00007ff84158f9e8 (__DATA_CONST,__const) non-external _utf8_encoding_ns
00007ff810734e9f (__TEXT,__text) non-external _utf8_isInvalid2
00007ff810734ebe (__TEXT,__text) non-external _utf8_isInvalid3
00007ff810734f20 (__TEXT,__text) non-external _utf8_isInvalid4
00007ff810734d73 (__TEXT,__text) non-external _utf8_isName2
00007ff810734db6 (__TEXT,__text) non-external _utf8_isName3
00007ff810734e0d (__TEXT,__text) non-external _utf8_isNmstrt2
00007ff810734e50 (__TEXT,__text) non-external _utf8_isNmstrt3
00007ff810734c13 (__TEXT,__text) non-external _utf8_toUtf16
00007ff810734b7c (__TEXT,__text) non-external _utf8_toUtf8
