                 (undefined) external __DefaultRuneLocale (from libSystem)
                 (undefined) external ___bzero (from libSystem)
                 (undefined) external ___error (from libSystem)
                 (undefined) external ___maskrune (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
                 (undefined) external _atoi (from libSystem)
00007ff80cdb96ed (__TEXT,__text) non-external _au_assemble
00007ff80cdc5ec9 (__TEXT,__text) external _au_sdev_fd
00007ff80cdb8c8f (__TEXT,__text) external _au_sdev_open
00007ff80cdb8d63 (__TEXT,__text) external _au_sdev_read_aia
00007ff84246dfa0 (__DATA,__const) non-external _au_sflagsstr
00007ff80cdba091 (__TEXT,__text) external _au_sflagstostr
00007ff80cdc2408 (__TEXT,__text) external _au_socket_type_to_bsm
00007ff80cdba60a (__TEXT,__text) non-external _au_spacetobytes
00007ff80cdc5f43 (__TEXT,__text) external _au_strerror
00007ff80cdb9fcb (__TEXT,__text) external _au_strtopol
00007ff80cdba131 (__TEXT,__text) external _au_strtosflags
00007ff80cdb9899 (__TEXT,__text) non-external _au_teardown
00007ff80cdc260d (__TEXT,__text) external _au_to_arg
00007ff80cdc243e (__TEXT,__text) external _au_to_arg32
00007ff80cdc250e (__TEXT,__text) external _au_to_arg64
00007ff80cdc4112 (__TEXT,__text) external _au_to_certificate_hash
00007ff80cdc2617 (__TEXT,__text) external _au_to_data
00007ff80cdc3fe4 (__TEXT,__text) external _au_to_exec_args
00007ff80cdc4103 (__TEXT,__text) external _au_to_exec_env
00007ff80cdc26e7 (__TEXT,__text) external _au_to_exit
00007ff80cdc2b3b (__TEXT,__text) external _au_to_file
00007ff80cdc2776 (__TEXT,__text) external _au_to_groups
00007ff80cdc47bc (__TEXT,__text) external _au_to_header
00007ff80cdc4716 (__TEXT,__text) external _au_to_header32
00007ff80cdc4684 (__TEXT,__text) external _au_to_header32_ex
00007ff80cdc43ff (__TEXT,__text) external _au_to_header32_ex_tm
00007ff80cdc4310 (__TEXT,__text) external _au_to_header32_tm
00007ff80cdc4769 (__TEXT,__text) external _au_to_header64
00007ff80cdc4564 (__TEXT,__text) external _au_to_header64_tm
00007ff80cdc47c6 (__TEXT,__text) external _au_to_header_ex
00007ff80cdc41ca (__TEXT,__text) external _au_to_identity
00007ff80cdc2822 (__TEXT,__text) external _au_to_in_addr
00007ff80cdc2875 (__TEXT,__text) external _au_to_in_addr_ex
00007ff80cdc28d1 (__TEXT,__text) external _au_to_ip
00007ff80cdc292d (__TEXT,__text) external _au_to_ipc
00007ff80cdc29a5 (__TEXT,__text) external _au_to_ipc_perm
00007ff80cdc2a55 (__TEXT,__text) external _au_to_iport
00007ff80cdc483e (__TEXT,__text) external _au_to_kevent
00007ff80cdc4121 (__TEXT,__text) external _au_to_krb5_principal
00007ff80cdc3f5c (__TEXT,__text) external _au_to_me
00007ff80cdc2788 (__TEXT,__text) external _au_to_newgroups
00007ff80cdc2aab (__TEXT,__text) external _au_to_opaque
00007ff80cdc2ccd (__TEXT,__text) external _au_to_path
00007ff80cdc301b (__TEXT,__text) external _au_to_process
00007ff80cdc2d67 (__TEXT,__text) external _au_to_process32
00007ff80cdc3025 (__TEXT,__text) external _au_to_process32_ex
00007ff80cdc2ea1 (__TEXT,__text) external _au_to_process64
00007ff80cdc3213 (__TEXT,__text) external _au_to_process64_ex
00007ff80cdc3421 (__TEXT,__text) external _au_to_process_ex
00007ff80cdc3544 (__TEXT,__text) external _au_to_return
00007ff80cdc342b (__TEXT,__text) external _au_to_return32
00007ff80cdc34a3 (__TEXT,__text) external _au_to_return64
00007ff80cdc354e (__TEXT,__text) external _au_to_seq
00007ff80cdc388d (__TEXT,__text) external _au_to_sock_inet
00007ff80cdc3821 (__TEXT,__text) external _au_to_sock_inet128
00007ff80cdc37b9 (__TEXT,__text) external _au_to_sock_inet32
00007ff80cdc3718 (__TEXT,__text) external _au_to_sock_unix
00007ff80cdc35b8 (__TEXT,__text) external _au_to_socket_ex
00007ff80cdc3ff3 (__TEXT,__text) non-external _au_to_strings
00007ff80cdc3b4b (__TEXT,__text) external _au_to_subject
00007ff80cdc3897 (__TEXT,__text) external _au_to_subject32
00007ff80cdc3b55 (__TEXT,__text) external _au_to_subject32_ex
00007ff80cdc39d1 (__TEXT,__text) external _au_to_subject64
00007ff80cdc3d43 (__TEXT,__text) external _au_to_subject64_ex
00007ff80cdc3f52 (__TEXT,__text) external _au_to_subject_ex
00007ff80cdc2c33 (__TEXT,__text) external _au_to_text
00007ff80cdc47d0 (__TEXT,__text) external _au_to_trailer
00007ff80cdc4130 (__TEXT,__text) external _au_to_zonename
00007ff80cdc4b44 (__TEXT,__text) external _au_user_mask
00007ff80cdb959c (__TEXT,__text) external _au_write
                 (undefined) external _audit (from libSystem)
00007ff84246eb58 (__DATA,__bss) non-external _audit_free_q
00007ff80cdc5e1f (__TEXT,__text) external _audit_get_car
00007ff80cdc5bef (__TEXT,__text) external _audit_get_class
00007ff80cdc5126 (__TEXT,__text) external _audit_get_cond
00007ff80cdc5e34 (__TEXT,__text) external _audit_get_ctlmode
00007ff80cdc5e0a (__TEXT,__text) external _audit_get_cwd
00007ff80cdc5e65 (__TEXT,__text) external _audit_get_expire_after
00007ff80cdc5cb3 (__TEXT,__text) external _audit_get_fsize
00007ff80cdc5b8d (__TEXT,__text) external _audit_get_kaudit
00007ff80cdc5c51 (__TEXT,__text) external _audit_get_kmask
00007ff80cdc5d46 (__TEXT,__text) external _audit_get_pinfo
00007ff80cdc5d77 (__TEXT,__text) external _audit_get_pinfo_addr
00007ff80cdc58ef (__TEXT,__text) external _audit_get_policy
00007ff80cdc5a24 (__TEXT,__text) external _audit_get_qctrl
00007ff80cdc59bd (__TEXT,__text) external _audit_get_sflags
00007ff80cdc59f8 (__TEXT,__text) external _audit_get_sflags_mask
00007ff80cdb9408 (__TEXT,__text) external _audit_get_sinfo_addr
00007ff80cdc5da8 (__TEXT,__text) external _audit_get_stat
00007ff84246eb50 (__DATA,__bss) non-external _audit_rec_count
00007ff80cdc5b76 (__TEXT,__text) external _audit_send_trigger
00007ff80cdc5c20 (__TEXT,__text) external _audit_set_class
00007ff80cdc5888 (__TEXT,__text) external _audit_set_cond
00007ff80cdc5ce4 (__TEXT,__text) external _audit_set_fsize
00007ff80cdc5bbe (__TEXT,__text) external _audit_set_kaudit
00007ff80cdc5c82 (__TEXT,__text) external _audit_set_kmask
00007ff80cdc5d15 (__TEXT,__text) external _audit_set_pmask
00007ff80cdc5956 (__TEXT,__text) external _audit_set_policy
00007ff80cdc5acd (__TEXT,__text) external _audit_set_qctrl
00007ff80cdc59d4 (__TEXT,__text) external _audit_set_sflags
00007ff80cdc5a0e (__TEXT,__text) external _audit_set_sflags_mask
00007ff80cdc5dd9 (__TEXT,__text) external _audit_set_stat
00007ff80cdc5263 (__TEXT,__text) non-external _audit_set_terminal_host
00007ff80cdc518d (__TEXT,__text) external _audit_set_terminal_id
00007ff80cdc5307 (__TEXT,__text) external _audit_set_terminal_id_ex
00007ff80cdc51c2 (__TEXT,__text) non-external _audit_set_terminal_port
00007ff80cdc4cc5 (__TEXT,__text) external _audit_submit
00007ff80cdb8bd4 (__TEXT,__text) external _audit_token_to_asid
00007ff80cdb8c1c (__TEXT,__text) external _audit_token_to_au32
00007ff80cdb8bf8 (__TEXT,__text) external _audit_token_to_auid
00007ff80cdb8c01 (__TEXT,__text) external _audit_token_to_egid
00007ff80cdb8be6 (__TEXT,__text) external _audit_token_to_euid
00007ff80cdb8bdd (__TEXT,__text) external _audit_token_to_pid
00007ff80cdb8c13 (__TEXT,__text) external _audit_token_to_pidversion
00007ff80cdb8c0a (__TEXT,__text) external _audit_token_to_rgid
00007ff80cdb8bef (__TEXT,__text) external _audit_token_to_ruid
00007ff80cdc533c (__TEXT,__text) external _audit_write
00007ff80cdc55ff (__TEXT,__text) external _audit_write_failure
00007ff80cdc56c4 (__TEXT,__text) external _audit_write_failure_ex
00007ff80cdc5826 (__TEXT,__text) external _audit_write_failure_na
00007ff80cdc5857 (__TEXT,__text) external _audit_write_failure_na_ex
00007ff80cdc5789 (__TEXT,__text) external _audit_write_failure_self
00007ff80cdc54be (__TEXT,__text) external _audit_write_success
00007ff80cdc5535 (__TEXT,__text) external _audit_write_success_ex
00007ff80cdc55ac (__TEXT,__text) external _audit_write_success_self
                 (undefined) external _auditon (from libSystem)
00007ff80cdc1549 (__TEXT,__text) non-external _be64dec
00007ff80cdc79e0 (__TEXT,__const) non-external _bsm_domains
00007ff84246e060 (__DATA,__const) non-external _bsm_errnos
00007ff80cdc7c60 (__TEXT,__const) non-external _bsm_fcntl_cmdtab
00007ff80cdc7c10 (__TEXT,__const) non-external _bsm_socket_types
00007ff80cdc23f3 (__TEXT,__text) external _cannot_audit
                 (undefined) external _clearerr (from libSystem)
00007ff80cdc1a1d (__TEXT,__text) non-external _close_tag
                 (undefined) external _ctime_r (from libSystem)
00007ff80cdba291 (__TEXT,__text) external _endac
00007ff80cdb9eef (__TEXT,__text) external _endauclass
00007ff80cdbabd6 (__TEXT,__text) external _endauevent
00007ff80cdc4878 (__TEXT,__text) external _endauuser
00007ff84246f298 (__DATA,__bss) non-external _ev_cache
00007ff80cdbb071 (__TEXT,__text) non-external _eventfromstr
                 (undefined) external _fclose (from libSystem)
                 (undefined) external _ferror (from libSystem)
00007ff80cdbcca3 (__TEXT,__text) non-external _fetch_arb_tok
00007ff80cdbb8df (__TEXT,__text) non-external _fetch_arg32_tok
00007ff80cdbb954 (__TEXT,__text) non-external _fetch_arg64_tok
00007ff80cdbb9c9 (__TEXT,__text) non-external _fetch_attr32_tok
00007ff80cdbba77 (__TEXT,__text) non-external _fetch_attr64_tok
00007ff80cdbcd1f (__TEXT,__text) non-external _fetch_cert_hash_tok
00007ff80cdbbb79 (__TEXT,__text) non-external _fetch_execarg_tok
00007ff80cdbbbf4 (__TEXT,__text) non-external _fetch_execenv_tok
00007ff80cdbbb36 (__TEXT,__text) non-external _fetch_exit_tok
00007ff80cdbbc6f (__TEXT,__text) non-external _fetch_file_tok
00007ff80cdbb528 (__TEXT,__text) non-external _fetch_header32_ex_tok
00007ff80cdbb478 (__TEXT,__text) non-external _fetch_header32_tok
00007ff80cdbb731 (__TEXT,__text) non-external _fetch_header64_ex_tok
00007ff80cdbb66c (__TEXT,__text) non-external _fetch_header64_tok
00007ff80cdbce0f (__TEXT,__text) non-external _fetch_identity_tok
00007ff80cdbbd54 (__TEXT,__text) non-external _fetch_inaddr_ex_tok
00007ff80cdbbdb3 (__TEXT,__text) non-external _fetch_ip_tok
00007ff80cdbbebe (__TEXT,__text) non-external _fetch_ipc_tok
00007ff80cdbbeff (__TEXT,__text) non-external _fetch_ipcperm_tok
00007ff80cdbcd97 (__TEXT,__text) non-external _fetch_krb5_principal_tok
00007ff80cdbbce6 (__TEXT,__text) non-external _fetch_newgroups_tok
00007ff80cdbbfc7 (__TEXT,__text) non-external _fetch_process32_tok
00007ff80cdbc0c7 (__TEXT,__text) non-external _fetch_process32ex_tok
00007ff80cdbc205 (__TEXT,__text) non-external _fetch_process64_tok
00007ff80cdbc318 (__TEXT,__text) non-external _fetch_process64ex_tok
00007ff80cdbc47e (__TEXT,__text) non-external _fetch_return32_tok
00007ff80cdbc4bf (__TEXT,__text) non-external _fetch_return64_tok
00007ff80cdbc681 (__TEXT,__text) non-external _fetch_sock_inet128_tok
00007ff80cdbc58e (__TEXT,__text) non-external _fetch_sock_inet32_tok
00007ff80cdbc5ec (__TEXT,__text) non-external _fetch_sock_unix_tok
00007ff80cdbc502 (__TEXT,__text) non-external _fetch_socket_tok
00007ff80cdbcb98 (__TEXT,__text) non-external _fetch_socketex32_tok
00007ff80cdbc6e1 (__TEXT,__text) non-external _fetch_subject32_tok
00007ff80cdbc7e1 (__TEXT,__text) non-external _fetch_subject32ex_tok
00007ff80cdbc91f (__TEXT,__text) non-external _fetch_subject64_tok
00007ff80cdbca32 (__TEXT,__text) non-external _fetch_subject64ex_tok
00007ff80cdbb898 (__TEXT,__text) non-external _fetch_trailer_tok
                 (undefined) external _fgetc (from libSystem)
                 (undefined) external _fgets (from libSystem)
                 (undefined) external _fileno (from libSystem)
00007ff84246f290 (__DATA,__bss) non-external _firsttime
00007ff80cdc2259 (__TEXT,__text) non-external _flush_cache
                 (undefined) external _fopen (from libSystem)
00007ff84246ed50 (__DATA,__bss) non-external _fp
00007ff84246ee60 (__DATA,__bss) non-external _fp
00007ff84246ef70 (__DATA,__bss) non-external _fp
00007ff84246f2b0 (__DATA,__bss) non-external _fp
                 (undefined) external _fprintf (from libSystem)
                 (undefined) external _fputc (from libSystem)
                 (undefined) external _fputs (from libSystem)
                 (undefined) external _fread (from libSystem)
                 (undefined) external _free (from libSystem)
                 (undefined) external _fseek (from libSystem)
                 (undefined) external _fstat$INODE64 (from libSystem)
                 (undefined) external _fwrite (from libSystem)
00007ff80cdba2ca (__TEXT,__text) external _getacdir
00007ff80cdba8a5 (__TEXT,__text) external _getacexpire
00007ff80cdba502 (__TEXT,__text) external _getacfilesz
00007ff80cdba651 (__TEXT,__text) external _getacflg
00007ff80cdba812 (__TEXT,__text) external _getachost
00007ff80cdba49f (__TEXT,__text) external _getacmin
00007ff80cdba6dd (__TEXT,__text) external _getacna
00007ff80cdba769 (__TEXT,__text) external _getacpol
00007ff80cdba7fc (__TEXT,__text) external _getacsflagsmask
00007ff80cdb9c85 (__TEXT,__text) external _getauclassent
00007ff84246ec58 (__DATA,__bss) non-external _getauclassent.c
00007ff84246ec10 (__DATA,__bss) non-external _getauclassent.class_ent_desc
00007ff84246ec00 (__DATA,__bss) non-external _getauclassent.class_ent_name
00007ff84246ec70 (__DATA,__bss) non-external _getauclassent.cp
00007ff80cdb9b09 (__TEXT,__text) external _getauclassent_r
00007ff80cdb9b3d (__TEXT,__text) non-external _getauclassent_r_locked
00007ff80cdb9dc2 (__TEXT,__text) external _getauclassnam
00007ff84246ecc8 (__DATA,__bss) non-external _getauclassnam.c
00007ff84246ec80 (__DATA,__bss) non-external _getauclassnam.class_ent_desc
00007ff84246ec78 (__DATA,__bss) non-external _getauclassnam.class_ent_name
00007ff80cdb9d49 (__TEXT,__text) external _getauclassnam_r
00007ff80cdb9e8a (__TEXT,__text) external _getauclassnum
00007ff84246ed38 (__DATA,__bss) non-external _getauclassnum.c
00007ff84246ecf0 (__DATA,__bss) non-external _getauclassnum.class_ent_desc
00007ff84246ece0 (__DATA,__bss) non-external _getauclassnum.class_ent_name
00007ff80cdb9e28 (__TEXT,__text) external _getauclassnum_r
                 (undefined) external _getaudit_addr (from libSystem)
00007ff80cdbb189 (__TEXT,__text) external _getauditflagsbin
00007ff80cdbb2da (__TEXT,__text) external _getauditflagschar
00007ff80cdbacc3 (__TEXT,__text) external _getauevent
00007ff84246efd8 (__DATA,__bss) non-external _getauevent.e
00007ff84246efa0 (__DATA,__bss) non-external _getauevent.event_ent_desc
00007ff84246ef80 (__DATA,__bss) non-external _getauevent.event_ent_name
00007ff80cdbac0f (__TEXT,__text) external _getauevent_r
00007ff80cdbae19 (__TEXT,__text) external _getauevnam
00007ff84246f058 (__DATA,__bss) non-external _getauevnam.e
00007ff84246f020 (__DATA,__bss) non-external _getauevnam.event_ent_desc
00007ff84246f000 (__DATA,__bss) non-external _getauevnam.event_ent_name
00007ff80cdbad2d (__TEXT,__text) external _getauevnam_r
00007ff80cdbb05d (__TEXT,__text) external _getauevnonam
00007ff84246f180 (__DATA,__bss) non-external _getauevnonam.event
00007ff80cdbafcb (__TEXT,__text) external _getauevnonam_r
00007ff84246f158 (__DATA,__bss) non-external _getauevnonam_r.e
00007ff84246f178 (__DATA,__bss) non-external _getauevnonam_r.ep
00007ff84246f120 (__DATA,__bss) non-external _getauevnonam_r.event_ent_desc
00007ff84246f100 (__DATA,__bss) non-external _getauevnonam_r.event_ent_name
00007ff80cdbaf5f (__TEXT,__text) external _getauevnum
00007ff84246f0d8 (__DATA,__bss) non-external _getauevnum.e
00007ff84246f0a0 (__DATA,__bss) non-external _getauevnum.event_ent_desc
00007ff84246f080 (__DATA,__bss) non-external _getauevnum.event_ent_name
00007ff80cdbae86 (__TEXT,__text) external _getauevnum_r
00007ff80cdc4a21 (__TEXT,__text) external _getauuserent
00007ff84246f2f8 (__DATA,__bss) non-external _getauuserent.u
00007ff84246f2c0 (__DATA,__bss) non-external _getauuserent.user_ent_name
00007ff80cdc48b1 (__TEXT,__text) external _getauuserent_r
00007ff80cdc48e5 (__TEXT,__text) non-external _getauuserent_r_locked
00007ff80cdc4afa (__TEXT,__text) external _getauusernam
00007ff84246f348 (__DATA,__bss) non-external _getauusernam.u
00007ff84246f310 (__DATA,__bss) non-external _getauusernam.user_ent_name
00007ff80cdc4a8f (__TEXT,__text) external _getauusernam_r
                 (undefined) external _getegid (from libSystem)
                 (undefined) external _geteuid (from libSystem)
00007ff80cdc4c04 (__TEXT,__text) external _getfauditflags
                 (undefined) external _getgid (from libSystem)
                 (undefined) external _getgrgid (from libSystem)
                 (undefined) external _getpid (from libSystem)
                 (undefined) external _getpwuid (from libSystem)
00007ff80cdba351 (__TEXT,__text) non-external _getstrfromtype_locked
                 (undefined) external _gettimeofday (from libSystem)
                 (undefined) external _getuid (from libSystem)
                 (undefined) external _inet_ntoa (from libSystem)
                 (undefined) external _inet_ntop (from libSystem)
                 (undefined) external _ioctl (from libSystem)
00007ff84246ed60 (__DATA,__bss) non-external _linestr
00007ff84246ee70 (__DATA,__bss) non-external _linestr
00007ff84246f190 (__DATA,__bss) non-external _linestr
00007ff84246f360 (__DATA,__bss) non-external _linestr
00007ff80cdc219a (__TEXT,__text) non-external _load_event_table
                 (undefined) external _malloc (from libSystem)
                 (undefined) external _memchr (from libSystem)
                 (undefined) external _memcpy (from libSystem)
00007ff84246e9d0 (__DATA,__data) non-external _mutex
00007ff84246ea10 (__DATA,__data) non-external _mutex
00007ff84246ea50 (__DATA,__data) non-external _mutex
00007ff84246ea90 (__DATA,__data) non-external _mutex
00007ff84246ead0 (__DATA,__data) non-external _mutex
00007ff84246eb10 (__DATA,__data) non-external _mutex
                 (undefined) external _notify_cancel (from libSystem)
                 (undefined) external _notify_check (from libSystem)
                 (undefined) external _notify_register_check (from libSystem)
00007ff84246eb60 (__DATA,__bss) non-external _open_desc_table
00007ff80cdc18c4 (__TEXT,__text) non-external _print_event
00007ff80cdc1efb (__TEXT,__text) non-external _print_group
00007ff80cdc1c9c (__TEXT,__text) non-external _print_ip_ex_address
00007ff80cdc1fa6 (__TEXT,__text) non-external _print_ipctype
00007ff80cdc1f3e (__TEXT,__text) non-external _print_mem
00007ff80cdc200f (__TEXT,__text) non-external _print_retval
00007ff80cdc198c (__TEXT,__text) non-external _print_sec32
00007ff80cdc1d46 (__TEXT,__text) non-external _print_sec64
00007ff80cdc1dd6 (__TEXT,__text) non-external _print_string
00007ff80cdc1555 (__TEXT,__text) non-external _print_tok_type
00007ff80cdc1eb8 (__TEXT,__text) non-external _print_user
                 (undefined) external _pthread_mutex_lock (from libSystem)
                 (undefined) external _pthread_mutex_unlock (from libSystem)
00007ff80cdba1f5 (__TEXT,__text) external _setac
00007ff80cdba21d (__TEXT,__text) non-external _setac_locked
00007ff84246ee68 (__DATA,__bss) non-external _setac_locked.lastctime
00007ff80cdb9d17 (__TEXT,__text) external _setauclass
00007ff80cdbaba4 (__TEXT,__text) external _setauevent
00007ff80cdc4846 (__TEXT,__text) external _setauuser
00007ff80cdbaa77 (__TEXT,__text) non-external _setexpirecond
                 (undefined) external _sscanf (from libSystem)
                 (undefined) external _stat$INODE64 (from libSystem)
                 (undefined) external _strcasestr (from libSystem)
                 (undefined) external _strcmp (from libSystem)
                 (undefined) external _strdup (from libSystem)
                 (undefined) external _strerror (from libSystem)
                 (undefined) external _strlcat (from libSystem)
                 (undefined) external _strlcpy (from libSystem)
                 (undefined) external _strlen (from libSystem)
                 (undefined) external _strncmp (from libSystem)
                 (undefined) external _strrchr (from libSystem)
                 (undefined) external _strsep (from libSystem)
                 (undefined) external _strtok_r (from libSystem)
                 (undefined) external _strtoul (from libSystem)
                 (undefined) external _sysctl (from libSystem)
                 (undefined) external _syslog$DARWIN_EXTSN (from libSystem)
00007ff84246f2a0 (__DATA,__bss) non-external _token
                 (undefined) external _vsnprintf (from libSystem)
