                 (undefined) external ___bzero (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
                 (undefined) external ___strncat_chk (from libSystem)
00007ff81603ea87 (__TEXT,__text) external __cg_jcopy_block_row
00007ff816048c32 (__TEXT,__text) external __cg_jpeg_quality_scaling
00007ff81604cec8 (__TEXT,__text) external __cg_jpeg_read_coefficients
00007ff81603f483 (__TEXT,__text) external __cg_jpeg_read_header
00007ff81605bd4b (__TEXT,__text) external __cg_jpeg_read_raw_data
00007ff81605bc9c (__TEXT,__text) external __cg_jpeg_read_scanlines
00007ff816036f08 (__TEXT,__text) external __cg_jpeg_resync_to_restart
00007ff816038dfc (__TEXT,__text) external __cg_jpeg_save_markers
00007ff816048eec (__TEXT,__text) external __cg_jpeg_set_colorspace
00007ff816048ce9 (__TEXT,__text) external __cg_jpeg_set_defaults
00007ff816048be8 (__TEXT,__text) external __cg_jpeg_set_linear_quality
00007ff816039193 (__TEXT,__text) external __cg_jpeg_set_marker_processor
00007ff816048c6a (__TEXT,__text) external __cg_jpeg_set_quality
00007ff816049290 (__TEXT,__text) external __cg_jpeg_simple_progression
00007ff81604888f (__TEXT,__text) external __cg_jpeg_start_compress
00007ff81605bab7 (__TEXT,__text) external __cg_jpeg_start_decompress
00007ff81605be08 (__TEXT,__text) external __cg_jpeg_start_output
00007ff8160576de (__TEXT,__text) external __cg_jpeg_std_error
00007ff81603997e (__TEXT,__text) external __cg_jpeg_std_huff_table
00007ff8160614b0 (__TEXT,__const) non-external __cg_jpeg_std_huff_table.bits_ac_chrominance
00007ff8160613e0 (__TEXT,__const) non-external __cg_jpeg_std_huff_table.bits_ac_luminance
00007ff8160613c0 (__TEXT,__const) non-external __cg_jpeg_std_huff_table.bits_dc_chrominance
00007ff8160613a0 (__TEXT,__const) non-external __cg_jpeg_std_huff_table.bits_dc_luminance
00007ff8160614d0 (__TEXT,__const) non-external __cg_jpeg_std_huff_table.val_ac_chrominance
00007ff816061400 (__TEXT,__const) non-external __cg_jpeg_std_huff_table.val_ac_luminance
00007ff8160613d1 (__TEXT,__const) non-external __cg_jpeg_std_huff_table.val_dc_chrominance
00007ff8160613b1 (__TEXT,__const) non-external __cg_jpeg_std_huff_table.val_dc_luminance
00007ff841934fc0 (__DATA_CONST,__const) external __cg_jpeg_std_message_table
00007ff81605fc42 (__TEXT,__text) external __cg_jpeg_stdio_dest
00007ff81603b1f8 (__TEXT,__text) external __cg_jpeg_stdio_src
00007ff81605697b (__TEXT,__text) external __cg_jpeg_suppress_tables
00007ff81605a53a (__TEXT,__text) external __cg_jpeg_write_coefficients
00007ff816056bb1 (__TEXT,__text) external __cg_jpeg_write_m_byte
00007ff816056b51 (__TEXT,__text) external __cg_jpeg_write_m_header
00007ff816056abd (__TEXT,__text) external __cg_jpeg_write_marker
00007ff8160489d4 (__TEXT,__text) external __cg_jpeg_write_raw_data
00007ff816048910 (__TEXT,__text) external __cg_jpeg_write_scanlines
00007ff816056bc3 (__TEXT,__text) external __cg_jpeg_write_tables
00007ff81603ea16 (__TEXT,__text) external __cg_jround_up
00007ff81603e0fc (__TEXT,__text) external __cg_switch_color_deconverter
00007ff8160608e6 (__TEXT,__text) non-external _access_virt_barray
00007ff81606077a (__TEXT,__text) non-external _access_virt_sarray
00007ff816060386 (__TEXT,__text) non-external _alloc_barray
00007ff81605f41b (__TEXT,__text) non-external _alloc_fs_workspace
00007ff8160601ea (__TEXT,__text) non-external _alloc_large
00007ff8160602bc (__TEXT,__text) non-external _alloc_sarray
00007ff816060079 (__TEXT,__text) non-external _alloc_small
00007ff81603c617 (__TEXT,__text) non-external _arith_decode
00007ff81603ad7d (__TEXT,__text) non-external _arith_encode
00007ff816062650 (__TEXT,__const) non-external _base_dither_matrix
00007ff8160625c0 (__TEXT,__const) non-external _bmask
00007ff81603dd67 (__TEXT,__text) non-external _build_ycc_rgb_table
00007ff81603b1d9 (__TEXT,__text) non-external _close_backing_store
00007ff816035227 (__TEXT,__text) non-external _cmyk_ycck_convert
00007ff81605f4f4 (__TEXT,__text) non-external _color_quantize
00007ff81605f479 (__TEXT,__text) non-external _color_quantize3
00007ff81603e34d (__TEXT,__text) non-external _compress_data
00007ff81603e5ed (__TEXT,__text) non-external _compress_first_pass
00007ff81603e83a (__TEXT,__text) non-external _compress_output
00007ff81605a963 (__TEXT,__text) non-external _compress_output
                 (undefined) external _confstr (from libSystem)
00007ff81604988b (__TEXT,__text) non-external _consume_data
00007ff81603fe99 (__TEXT,__text) non-external _consume_markers
00007ff81605f2d6 (__TEXT,__text) non-external _create_colorindex
00007ff81603c0c5 (__TEXT,__text) non-external _decode_mcu
00007ff816059ab9 (__TEXT,__text) non-external _decode_mcu
00007ff81603bbda (__TEXT,__text) non-external _decode_mcu_AC_first
00007ff8160589b8 (__TEXT,__text) non-external _decode_mcu_AC_first
00007ff81603bed8 (__TEXT,__text) non-external _decode_mcu_AC_refine
00007ff816058d2c (__TEXT,__text) non-external _decode_mcu_AC_refine
00007ff81603b9a8 (__TEXT,__text) non-external _decode_mcu_DC_first
00007ff81605878a (__TEXT,__text) non-external _decode_mcu_DC_first
00007ff81603be3c (__TEXT,__text) non-external _decode_mcu_DC_refine
00007ff816058c28 (__TEXT,__text) non-external _decode_mcu_DC_refine
00007ff816059644 (__TEXT,__text) non-external _decode_mcu_sub
00007ff816049a86 (__TEXT,__text) non-external _decompress_data
00007ff816049c46 (__TEXT,__text) non-external _decompress_onepass
00007ff816049f3a (__TEXT,__text) non-external _decompress_smooth_data
00007ff816060ca2 (__TEXT,__text) non-external _do_barray_io
00007ff816060be1 (__TEXT,__text) non-external _do_sarray_io
00007ff816049c3e (__TEXT,__text) non-external _dummy_consume_data
00007ff81605ec4a (__TEXT,__text) non-external _dump_buffer_e
00007ff81603af2d (__TEXT,__text) non-external _emit_byte
00007ff81605b6c4 (__TEXT,__text) non-external _emit_byte
00007ff81605b987 (__TEXT,__text) non-external _emit_dht
00007ff81605b707 (__TEXT,__text) non-external _emit_dqt
00007ff81605e5ba (__TEXT,__text) non-external _emit_eobrun
00007ff816057755 (__TEXT,__text) non-external _emit_message
00007ff81603ac42 (__TEXT,__text) non-external _emit_restart
00007ff81605ec94 (__TEXT,__text) non-external _emit_restart_e
00007ff81605b85c (__TEXT,__text) non-external _emit_sof
00007ff81605feb0 (__TEXT,__text) non-external _empty_mem_output_buffer
00007ff81605fcc3 (__TEXT,__text) non-external _empty_output_buffer
00007ff81603a77d (__TEXT,__text) non-external _encode_mcu
00007ff81603a168 (__TEXT,__text) non-external _encode_mcu_AC_first
00007ff81605c873 (__TEXT,__text) non-external _encode_mcu_AC_first
00007ff81603a511 (__TEXT,__text) non-external _encode_mcu_AC_refine
00007ff81605cea8 (__TEXT,__text) non-external _encode_mcu_AC_refine
00007ff816039f2a (__TEXT,__text) non-external _encode_mcu_DC_first
00007ff81605c559 (__TEXT,__text) non-external _encode_mcu_DC_first
00007ff81603a466 (__TEXT,__text) non-external _encode_mcu_DC_refine
00007ff81605cd18 (__TEXT,__text) non-external _encode_mcu_DC_refine
00007ff81605d65c (__TEXT,__text) non-external _encode_mcu_gather
00007ff81605d8a5 (__TEXT,__text) non-external _encode_mcu_huff
00007ff816060d6a (__TEXT,__text) non-external _error_exit
00007ff8160395cf (__TEXT,__text) non-external _examine_app0
00007ff81603981d (__TEXT,__text) non-external _examine_app14
                 (undefined) external _exit (from libSystem)
00007ff8160627c0 (__TEXT,__const) non-external _extra_pool_slop
                 (undefined) external _fclose (from libSystem)
                 (undefined) external _ferror (from libSystem)
                 (undefined) external _fflush (from libSystem)
00007ff816049527 (__TEXT,__text) non-external _fill_dc_scans
00007ff81603b29a (__TEXT,__text) non-external _fill_input_buffer
00007ff8160369c2 (__TEXT,__text) non-external _fill_inverse_cmap
00007ff81603b407 (__TEXT,__text) non-external _fill_mem_input_buffer
00007ff816061572 (__TEXT,__const) non-external _fill_mem_input_buffer.mybuffer
00007ff8160408c3 (__TEXT,__text) non-external _finish_input_pass
00007ff81604bed5 (__TEXT,__text) non-external _finish_output_pass
00007ff816039da3 (__TEXT,__text) non-external _finish_pass
00007ff81603b9a2 (__TEXT,__text) non-external _finish_pass
00007ff816035daf (__TEXT,__text) non-external _finish_pass1
00007ff8160365ae (__TEXT,__text) non-external _finish_pass2
00007ff81605f2bf (__TEXT,__text) non-external _finish_pass_1_quant
00007ff81605c1d7 (__TEXT,__text) non-external _finish_pass_gather
00007ff81605875e (__TEXT,__text) non-external _finish_pass_huff
00007ff81605c312 (__TEXT,__text) non-external _finish_pass_huff
00007ff81604b3e0 (__TEXT,__text) non-external _finish_pass_master
00007ff8160627b0 (__TEXT,__const) non-external _first_pool_slop
                 (undefined) external _fopen (from libSystem)
00007ff816057851 (__TEXT,__text) non-external _format_message
00007ff81603d37f (__TEXT,__text) non-external _forward_DCT
00007ff81603d4e5 (__TEXT,__text) non-external _forward_DCT_float
                 (undefined) external _fprintf (from libSystem)
                 (undefined) external _fread (from libSystem)
                 (undefined) external _free (from libSystem)
00007ff816060a56 (__TEXT,__text) non-external _free_pool
                 (undefined) external _fseek (from libSystem)
00007ff81605705d (__TEXT,__text) non-external _fullsize_downsample
00007ff816056ea8 (__TEXT,__text) non-external _fullsize_smooth_downsample
00007ff81604c922 (__TEXT,__text) non-external _fullsize_upsample
                 (undefined) external _fwrite (from libSystem)
00007ff81603c75f (__TEXT,__text) non-external _get_byte
00007ff816038c61 (__TEXT,__text) non-external _get_interesting_appn
00007ff8160391d9 (__TEXT,__text) non-external _get_sof
00007ff81603dbf8 (__TEXT,__text) non-external _gray_rgb_convert
00007ff816034e5a (__TEXT,__text) non-external _grayscale_convert
00007ff81603da92 (__TEXT,__text) non-external _grayscale_convert
00007ff8160570e0 (__TEXT,__text) non-external _h2v1_downsample
00007ff816057e70 (__TEXT,__text) non-external _h2v1_merged_upsample
00007ff81604c92b (__TEXT,__text) non-external _h2v1_upsample
00007ff81605747a (__TEXT,__text) non-external _h2v2_downsample
00007ff816057c1f (__TEXT,__text) non-external _h2v2_merged_upsample
00007ff8160571b8 (__TEXT,__text) non-external _h2v2_smooth_downsample
00007ff81604c989 (__TEXT,__text) non-external _h2v2_upsample
00007ff81605fc93 (__TEXT,__text) non-external _init_destination
00007ff816035c9d (__TEXT,__text) non-external _init_error_limit
00007ff81605feaa (__TEXT,__text) non-external _init_mem_destination
00007ff81603b401 (__TEXT,__text) non-external _init_mem_source
00007ff81603b289 (__TEXT,__text) non-external _init_source
00007ff816057579 (__TEXT,__text) non-external _int_downsample
00007ff81604ca2e (__TEXT,__text) non-external _int_upsample
00007ff81603ea04 (__TEXT,__text) non-external (was a private external) _jdiv_round_up
00007ff81603b444 (__TEXT,__text) non-external (was a private external) _jinit_arith_decoder
00007ff816039ae6 (__TEXT,__text) non-external (was a private external) _jinit_arith_encoder
00007ff816060e10 (__TEXT,__const) non-external (was a private external) _jpeg_aritab
00007ff816034558 (__TEXT,__text) non-external (was a private external) _jpeg_calc_jpeg_dimensions
00007ff81603f8a1 (__TEXT,__text) non-external (was a private external) _jpeg_core_output_dimensions
00007ff816048ba3 (__TEXT,__text) non-external (was a private external) _jpeg_default_qtables
00007ff81604ee8e (__TEXT,__text) non-external (was a private external) _jpeg_fdct_10x10
00007ff816053b3f (__TEXT,__text) non-external (was a private external) _jpeg_fdct_10x5
00007ff81604f310 (__TEXT,__text) non-external (was a private external) _jpeg_fdct_11x11
00007ff81604fa22 (__TEXT,__text) non-external (was a private external) _jpeg_fdct_12x12
00007ff8160534cf (__TEXT,__text) non-external (was a private external) _jpeg_fdct_12x6
00007ff816050002 (__TEXT,__text) non-external (was a private external) _jpeg_fdct_13x13
00007ff8160507c7 (__TEXT,__text) non-external (was a private external) _jpeg_fdct_14x14
00007ff816052b31 (__TEXT,__text) non-external (was a private external) _jpeg_fdct_14x7
00007ff816050f8b (__TEXT,__text) non-external (was a private external) _jpeg_fdct_15x15
00007ff81605172a (__TEXT,__text) non-external (was a private external) _jpeg_fdct_16x16
00007ff816052062 (__TEXT,__text) non-external (was a private external) _jpeg_fdct_16x8
00007ff81604ea4d (__TEXT,__text) non-external (was a private external) _jpeg_fdct_1x1
00007ff8160567b4 (__TEXT,__text) non-external (was a private external) _jpeg_fdct_1x2
00007ff8160547e6 (__TEXT,__text) non-external (was a private external) _jpeg_fdct_2x1
00007ff81604e99c (__TEXT,__text) non-external (was a private external) _jpeg_fdct_2x2
00007ff816056698 (__TEXT,__text) non-external (was a private external) _jpeg_fdct_2x4
00007ff81604e868 (__TEXT,__text) non-external (was a private external) _jpeg_fdct_3x3
00007ff8160564ba (__TEXT,__text) non-external (was a private external) _jpeg_fdct_3x6
00007ff816054675 (__TEXT,__text) non-external (was a private external) _jpeg_fdct_4x2
00007ff81604e59e (__TEXT,__text) non-external (was a private external) _jpeg_fdct_4x4
00007ff816055d52 (__TEXT,__text) non-external (was a private external) _jpeg_fdct_4x8
00007ff8160559ba (__TEXT,__text) non-external (was a private external) _jpeg_fdct_5x10
00007ff81604e36b (__TEXT,__text) non-external (was a private external) _jpeg_fdct_5x5
00007ff816055572 (__TEXT,__text) non-external (was a private external) _jpeg_fdct_6x12
00007ff8160544c6 (__TEXT,__text) non-external (was a private external) _jpeg_fdct_6x3
00007ff81604e11d (__TEXT,__text) non-external (was a private external) _jpeg_fdct_6x6
00007ff816054f3c (__TEXT,__text) non-external (was a private external) _jpeg_fdct_7x14
00007ff81604ddc8 (__TEXT,__text) non-external (was a private external) _jpeg_fdct_7x7
00007ff81605486a (__TEXT,__text) non-external (was a private external) _jpeg_fdct_8x16
00007ff8160540bc (__TEXT,__text) non-external (was a private external) _jpeg_fdct_8x4
00007ff81604eac0 (__TEXT,__text) non-external (was a private external) _jpeg_fdct_9x9
00007ff816059f99 (__TEXT,__text) non-external _jpeg_fill_bit_buffer
00007ff81605e8f5 (__TEXT,__text) non-external _jpeg_gen_optimal_table
00007ff81605a0f5 (__TEXT,__text) non-external _jpeg_huff_decode
00007ff81604208e (__TEXT,__text) non-external (was a private external) _jpeg_idct_10x10
00007ff816046247 (__TEXT,__text) non-external (was a private external) _jpeg_idct_10x5
00007ff816042552 (__TEXT,__text) non-external (was a private external) _jpeg_idct_11x11
00007ff816042b8c (__TEXT,__text) non-external (was a private external) _jpeg_idct_12x12
00007ff816045d77 (__TEXT,__text) non-external (was a private external) _jpeg_idct_12x6
00007ff816043183 (__TEXT,__text) non-external (was a private external) _jpeg_idct_13x13
00007ff8160438c0 (__TEXT,__text) non-external (was a private external) _jpeg_idct_14x14
00007ff8160457b9 (__TEXT,__text) non-external (was a private external) _jpeg_idct_14x7
00007ff816043fd1 (__TEXT,__text) non-external (was a private external) _jpeg_idct_15x15
00007ff816044742 (__TEXT,__text) non-external (was a private external) _jpeg_idct_16x16
00007ff816044fe2 (__TEXT,__text) non-external (was a private external) _jpeg_idct_16x8
00007ff816048827 (__TEXT,__text) non-external (was a private external) _jpeg_idct_1x2
00007ff816046d05 (__TEXT,__text) non-external (was a private external) _jpeg_idct_2x1
00007ff8160486cd (__TEXT,__text) non-external (was a private external) _jpeg_idct_2x4
00007ff8160419e1 (__TEXT,__text) non-external (was a private external) _jpeg_idct_3x3
00007ff8160484b3 (__TEXT,__text) non-external (was a private external) _jpeg_idct_3x6
00007ff816046b6c (__TEXT,__text) non-external (was a private external) _jpeg_idct_4x2
00007ff8160480cf (__TEXT,__text) non-external (was a private external) _jpeg_idct_4x8
00007ff816047cea (__TEXT,__text) non-external (was a private external) _jpeg_idct_5x10
00007ff816041591 (__TEXT,__text) non-external (was a private external) _jpeg_idct_5x5
00007ff8160478a9 (__TEXT,__text) non-external (was a private external) _jpeg_idct_6x12
00007ff816046958 (__TEXT,__text) non-external (was a private external) _jpeg_idct_6x3
00007ff8160412b5 (__TEXT,__text) non-external (was a private external) _jpeg_idct_6x6
00007ff81604737f (__TEXT,__text) non-external (was a private external) _jpeg_idct_7x14
00007ff816040eb9 (__TEXT,__text) non-external (was a private external) _jpeg_idct_7x7
00007ff816046d6b (__TEXT,__text) non-external (was a private external) _jpeg_idct_8x16
00007ff81604662e (__TEXT,__text) non-external (was a private external) _jpeg_idct_8x4
00007ff816041c41 (__TEXT,__text) non-external (was a private external) _jpeg_idct_9x9
00007ff81605e2da (__TEXT,__text) non-external _jpeg_make_c_derived_tbl
00007ff816059325 (__TEXT,__text) non-external _jpeg_make_d_derived_tbl
00007ff81605fda1 (__TEXT,__text) non-external (was a private external) _jpeg_mem_dest
00007ff81603b369 (__TEXT,__text) non-external (was a private external) _jpeg_mem_src
00007ff816061b80 (__TEXT,__const) non-external (was a private external) _jpeg_natural_order2
00007ff816061b10 (__TEXT,__const) non-external (was a private external) _jpeg_natural_order3
00007ff816061a90 (__TEXT,__const) non-external (was a private external) _jpeg_natural_order4
00007ff8160619e0 (__TEXT,__const) non-external (was a private external) _jpeg_natural_order5
00007ff816061910 (__TEXT,__const) non-external (was a private external) _jpeg_natural_order6
00007ff816061800 (__TEXT,__const) non-external (was a private external) _jpeg_natural_order7
00007ff8160624c0 (__TEXT,__const) non-external _jpeg_zigzag_order
00007ff816062270 (__TEXT,__const) non-external _jpeg_zigzag_order2
00007ff816062280 (__TEXT,__const) non-external _jpeg_zigzag_order3
00007ff8160622b0 (__TEXT,__const) non-external _jpeg_zigzag_order4
00007ff8160622f0 (__TEXT,__const) non-external _jpeg_zigzag_order5
00007ff816062360 (__TEXT,__const) non-external _jpeg_zigzag_order6
00007ff8160623f0 (__TEXT,__const) non-external _jpeg_zigzag_order7
                 (undefined) external _malloc_type_malloc (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memset (from libSystem)
                 (undefined) external _memset_pattern16 (from libSystem)
00007ff816057e46 (__TEXT,__text) non-external _merged_1v_upsample
00007ff816057b44 (__TEXT,__text) non-external _merged_2v_upsample
                 (undefined) external _mktemp (from libSystem)
00007ff81605f2c5 (__TEXT,__text) non-external _new_color_map_1_quant
00007ff816035c89 (__TEXT,__text) non-external _new_color_map_2_quant
00007ff816037049 (__TEXT,__text) non-external _next_marker
00007ff81604c915 (__TEXT,__text) non-external _noop_upsample
00007ff8160351bb (__TEXT,__text) non-external _null_convert
00007ff81603e08d (__TEXT,__text) non-external _null_convert
00007ff816034e54 (__TEXT,__text) non-external _null_method
00007ff8160577a4 (__TEXT,__text) non-external _output_message
00007ff81605bb9f (__TEXT,__text) non-external _output_pass_setup
00007ff816036157 (__TEXT,__text) non-external _pass2_fs_dither
00007ff8160364c3 (__TEXT,__text) non-external _pass2_no_dither
00007ff81604b3ac (__TEXT,__text) non-external _pass_startup
00007ff81604b542 (__TEXT,__text) non-external _per_scan_setup
00007ff81604cc9f (__TEXT,__text) non-external _post_process_1pass
00007ff81604ce01 (__TEXT,__text) non-external _post_process_2pass
00007ff81604cd23 (__TEXT,__text) non-external _post_process_prepass
00007ff81603eee7 (__TEXT,__text) non-external _pre_process_context
00007ff81603f128 (__TEXT,__text) non-external _pre_process_data
00007ff81604bd56 (__TEXT,__text) non-external _prepare_for_output_pass
00007ff81604b1f0 (__TEXT,__text) non-external _prepare_for_pass
00007ff816035d38 (__TEXT,__text) non-external _prescan_quantize
00007ff81604c24d (__TEXT,__text) non-external _process_data_context_main
00007ff81604c5cd (__TEXT,__text) non-external _process_data_crank_post
00007ff81603eb91 (__TEXT,__text) non-external _process_data_simple_main
00007ff81604c54e (__TEXT,__text) non-external _process_data_simple_main
00007ff81603c4d1 (__TEXT,__text) non-external _process_restart
00007ff816059f0c (__TEXT,__text) non-external _process_restart
00007ff81605f587 (__TEXT,__text) non-external _quantize3_ord_dither
00007ff81605f799 (__TEXT,__text) non-external _quantize_fs_dither
00007ff81605f6a5 (__TEXT,__text) non-external _quantize_ord_dither
00007ff81603b0f5 (__TEXT,__text) non-external _read_backing_store
00007ff81603727d (__TEXT,__text) non-external _read_markers
00007ff816038afc (__TEXT,__text) non-external _read_restart_marker
00007ff816060578 (__TEXT,__text) non-external _realize_virt_arrays
00007ff8160604e5 (__TEXT,__text) non-external _request_virt_barray
00007ff816060452 (__TEXT,__text) non-external _request_virt_sarray
00007ff816057928 (__TEXT,__text) non-external _reset_error_mgr
00007ff816040626 (__TEXT,__text) non-external _reset_input_controller
00007ff81603724d (__TEXT,__text) non-external _reset_marker_reader
00007ff81603db4a (__TEXT,__text) non-external _rgb1_gray_convert
00007ff81603deb7 (__TEXT,__text) non-external _rgb1_rgb_convert
00007ff816034fe0 (__TEXT,__text) non-external _rgb_convert
00007ff81603de46 (__TEXT,__text) non-external _rgb_convert
00007ff816034f66 (__TEXT,__text) non-external _rgb_gray_convert
00007ff81603dab0 (__TEXT,__text) non-external _rgb_gray_convert
00007ff81603504e (__TEXT,__text) non-external _rgb_rgb1_convert
00007ff8160350d2 (__TEXT,__text) non-external _rgb_ycc_convert
00007ff816034ea5 (__TEXT,__text) non-external _rgb_ycc_start
00007ff816038ecc (__TEXT,__text) non-external _save_marker
00007ff816062750 (__TEXT,__const) non-external _select_ncolors.RGB_order
00007ff81604b448 (__TEXT,__text) non-external _select_scan_parameters
00007ff816060b9b (__TEXT,__text) non-external _self_destruct
00007ff816056e10 (__TEXT,__text) non-external _sep_downsample
00007ff81604c7e2 (__TEXT,__text) non-external _sep_upsample
00007ff81603b320 (__TEXT,__text) non-external _skip_input_data
00007ff816038b8c (__TEXT,__text) non-external _skip_variable
                 (undefined) external _sprintf (from libSystem)
00007ff81603e307 (__TEXT,__text) non-external _start_iMCU_row
00007ff816049ef1 (__TEXT,__text) non-external _start_iMCU_row
00007ff81604066d (__TEXT,__text) non-external _start_input_pass
00007ff81604972b (__TEXT,__text) non-external _start_input_pass
00007ff81604973f (__TEXT,__text) non-external _start_output_pass
00007ff81603541e (__TEXT,__text) non-external _start_pass
00007ff816039b96 (__TEXT,__text) non-external _start_pass
00007ff81603b5ac (__TEXT,__text) non-external _start_pass
00007ff816061250 (__TEXT,__const) non-external _start_pass.aanscalefactor
00007ff8160611d0 (__TEXT,__const) non-external _start_pass.aanscales
00007ff81605f0bf (__TEXT,__text) non-external _start_pass_1_quant
00007ff816035b3f (__TEXT,__text) non-external _start_pass_2_quant
00007ff81603e24f (__TEXT,__text) non-external _start_pass_coef
00007ff81605a92a (__TEXT,__text) non-external _start_pass_coef
00007ff81603da8c (__TEXT,__text) non-external _start_pass_dcolor
00007ff816056e0a (__TEXT,__text) non-external _start_pass_downsample
00007ff81604cbec (__TEXT,__text) non-external _start_pass_dpost
00007ff81603cd04 (__TEXT,__text) non-external _start_pass_fdctmgr
00007ff816061650 (__TEXT,__const) non-external _start_pass_fdctmgr.aanscalefactor
00007ff8160615d0 (__TEXT,__const) non-external _start_pass_fdctmgr.aanscales
00007ff81605bf71 (__TEXT,__text) non-external _start_pass_huff
00007ff8160580ec (__TEXT,__text) non-external _start_pass_huff_decoder
