00000002271ed348 (__TEXT,__text) non-external +[CBOR cborFalse]
00000002271ed4e8 (__TEXT,__text) non-external -[CBOR setValue:]
00000002271ed4fc (__TEXT,__text) non-external -[CBOR setValueSize:]
00000002271ebbdc (__TEXT,__text) non-external -[CBOR string]
00000002271ed4cc (__TEXT,__text) non-external -[CBOR tag]
00000002271ed4c4 (__TEXT,__text) non-external -[CBOR type]
00000002271eb9e0 (__TEXT,__text) non-external -[CBOR unsignedLongLongValue]
00000002271ed4f4 (__TEXT,__text) non-external -[CBOR valueSize]
00000002271ed4e0 (__TEXT,__text) non-external -[CBOR value]
00000002271e91a4 (__TEXT,__text) non-external -[CBOR(Decoder) asJSON]
00000002271eea38 (__TEXT,__text) non-external -[COSE .cxx_destruct]
00000002271ede28 (__TEXT,__text) non-external -[COSE _parseCommonHeaderParameters:]
00000002271ee4a0 (__TEXT,__text) non-external -[COSE _searchForHeaderLabel:]
00000002271eea08 (__TEXT,__text) non-external -[COSE algorithmIdentifier]
00000002271eea18 (__TEXT,__text) non-external -[COSE contentType]
00000002271edd5c (__TEXT,__text) non-external -[COSE content]
00000002271eea10 (__TEXT,__text) non-external -[COSE criticalHeaderParameters]
00000002271ed6f8 (__TEXT,__text) non-external -[COSE initWithCBOR:]
00000002271ed578 (__TEXT,__text) non-external -[COSE initWithData:]
00000002271ed5cc (__TEXT,__text) non-external -[COSE initWithData:type:]
00000002271eda18 (__TEXT,__text) non-external -[COSE initWithProtectedHeaders:unprotectedHeaders:payload:type:additionalCBORs:]
00000002271eea28 (__TEXT,__text) non-external -[COSE initializationVector]
00000002271eea20 (__TEXT,__text) non-external -[COSE keyIdentifier]
00000002271eea30 (__TEXT,__text) non-external -[COSE partialInitializationVector]
00000002271edc5c (__TEXT,__text) non-external -[COSE protectedHeaderParameters]
00000002271eea00 (__TEXT,__text) non-external -[COSE protectedHeadererDictionary]
00000002271eeab8 (__TEXT,__text) non-external -[COSE setType:]
00000002271eeb3c (__TEXT,__text) non-external -[COSE sourceObject]
00000002271eddf0 (__TEXT,__text) non-external -[COSE tag]
00000002271ee9f8 (__TEXT,__text) non-external -[COSE type]
00000002271edcdc (__TEXT,__text) non-external -[COSE unprotectedHeaderParameters]
00000002271f15f4 (__TEXT,__text) non-external -[COSEKey .cxx_destruct]
00000002271f099c (__TEXT,__text) non-external -[COSEKey _initCBORWithMemberParams]
00000002271f15cc (__TEXT,__text) non-external -[COSEKey algorithm]
00000002271f15e4 (__TEXT,__text) non-external -[COSEKey baseInitializationVector]
00000002271f14c4 (__TEXT,__text) non-external -[COSEKey ecCurveD]
00000002271f1404 (__TEXT,__text) non-external -[COSEKey ecCurveIdentifier]
00000002271f1444 (__TEXT,__text) non-external -[COSEKey ecCurveX]
00000002271f1484 (__TEXT,__text) non-external -[COSEKey ecCurveY]
00000002271eeb3c (__TEXT,__text) non-external -[COSEKey getSource]
00000002271f15d4 (__TEXT,__text) non-external -[COSEKey identifier]
00000002271f0f84 (__TEXT,__text) non-external -[COSEKey initEC2WithAlgorithm:curveIdentifier:x:signBit:d:keyOperations:keyIdentifier:]
00000002271f1124 (__TEXT,__text) non-external -[COSEKey initEC2WithAlgorithm:curveIdentifier:x:y:d:keyOperations:keyIdentifier:]
00000002271f12a8 (__TEXT,__text) non-external -[COSEKey initOKPWithAlgorithm:curveIdentifier:x:d:keyOperations:keyIdentifier:]
00000002271efe14 (__TEXT,__text) non-external -[COSEKey initWithCBOR:]
00000002271efdc0 (__TEXT,__text) non-external -[COSEKey initWithData:]
00000002271f1584 (__TEXT,__text) non-external -[COSEKey okpCurveD]
00000002271f1504 (__TEXT,__text) non-external -[COSEKey okpCurveIdentifier]
00000002271f1544 (__TEXT,__text) non-external -[COSEKey okpCurveX]
00000002271f15dc (__TEXT,__text) non-external -[COSEKey operations]
00000002271f15ec (__TEXT,__text) non-external -[COSEKey symmetricKey]
00000002271f15c4 (__TEXT,__text) non-external -[COSEKey type]
00000002271efd40 (__TEXT,__text) non-external -[COSE_Mac0 .cxx_destruct]
00000002271efc8c (__TEXT,__text) non-external -[COSE_Mac0 description]
00000002271efaac (__TEXT,__text) non-external -[COSE_Mac0 generateMessageForMACWithApplicationProtectedAttributes:]
00000002271ef768 (__TEXT,__text) non-external -[COSE_Mac0 initWithCBOR:]
00000002271ef980 (__TEXT,__text) non-external -[COSE_Mac0 initWithProtectedHeaders:unprotectedHeaders:payload:tag:]
00000002271efd30 (__TEXT,__text) non-external -[COSE_Mac0 mac]
00000002271ef684 (__TEXT,__text) non-external -[COSE_Sign1 description]
00000002271eecac (__TEXT,__text) non-external -[COSE_Sign1 initWithCBOR:]
00000002271eeb74 (__TEXT,__text) non-external -[COSE_Sign1 initWithProtectedHeaders:unprotectedHeaders:payload:signature:includeCBORTag:]
00000002271ef5d0 (__TEXT,__text) non-external -[COSE_Sign1 signature]
00000002271eee94 (__TEXT,__text) non-external -[COSE_Sign1 x509bag]
00000002271ef08c (__TEXT,__text) non-external -[COSE_Sign1 x509chain]
00000002271ef344 (__TEXT,__text) non-external -[COSE_Sign1 x509hashAlgorithmIdentifier]
00000002271ef4a8 (__TEXT,__text) non-external -[COSE_Sign1 x509hashValue]
00000002271ef2a0 (__TEXT,__text) non-external -[COSE_Sign1 x509uri]
00000002271f61fc (__TEXT,__gcc_except_tab) non-external GCC_except_table9
00000002271f3fa0 (__TEXT,__const) external _CBORLibraryVersionNumber
00000002271f3f70 (__TEXT,__const) external _CBORLibraryVersionString
00000002271f3fc8 (__TEXT,__const) non-external _COMPRESSED_EC2_Y_ONE
00000002271f3fc9 (__TEXT,__const) non-external _COMPRESSED_EC2_Y_ZERO
000000027554f650 (__DATA,__data) external _COSEHeaderX509Bag
000000027554f658 (__DATA,__data) external _COSEHeaderX509Chain
000000027554f668 (__DATA,__data) external _COSEHeaderX509Hash
000000027554f670 (__DATA,__data) external _COSEHeaderX509HashSender
000000027554f678 (__DATA,__data) external _COSEHeaderX509Uri
000000027554f680 (__DATA,__data) external _COSEHeaderX509UriSender
000000027554f660 (__DATA,__data) external _COSEHeaderx509ChainSender
0000000278241720 (__AUTH,__objc_data) external _OBJC_CLASS_$_CBOR
0000000278241770 (__AUTH,__objc_data) external _OBJC_CLASS_$_COSE
0000000278241860 (__AUTH,__objc_data) external _OBJC_CLASS_$_COSEKey
0000000278241810 (__AUTH,__objc_data) external _OBJC_CLASS_$_COSE_Mac0
00000002782417c0 (__AUTH,__objc_data) external _OBJC_CLASS_$_COSE_Sign1
                 (undefined) external _OBJC_CLASS_$_NSArray (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSConstantIntegerNumber (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSData (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSDate (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSDateFormatter (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSDictionary (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSLocale (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableArray (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableData (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableDictionary (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableString (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSNull (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSNumber (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSObject (from libobjc)
                 (undefined) external _OBJC_CLASS_$_NSString (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSTimeZone (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$__TtCs12_SwiftObject (from libswiftCore)
000000027554f130 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CBOR._cachedHash
000000027554f134 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CBOR._orderedKeys
000000027554f124 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CBOR._tag
000000027554f120 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CBOR._type
000000027554f128 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CBOR._value
000000027554f12c (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CBOR._valueSize
000000027554f144 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSE._algorithmIdentifier
000000027554f138 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSE._cborObj
000000027554f14c (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSE._contentType
000000027554f148 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSE._criticalHeaderParameters
000000027554f154 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSE._initializationVector
000000027554f150 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSE._keyIdentifier
000000027554f158 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSE._partialInitializationVector
000000027554f140 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSE._protectedHeadererDictionary
000000027554f13c (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSE._type
000000027554f178 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSEKey._algorithm
000000027554f184 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSEKey._baseInitializationVector
000000027554f160 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSEKey._cborObj
000000027554f164 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSEKey._curveID
000000027554f17c (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSEKey._identifier
000000027554f180 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSEKey._operations
000000027554f170 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSEKey._paramD
000000027554f168 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSEKey._paramX
000000027554f16c (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSEKey._paramY
000000027554f188 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSEKey._symmetricKey
000000027554f174 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSEKey._type
000000027554f15c (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSE_Mac0._mac
0000000278241748 (__AUTH,__objc_data) external _OBJC_METACLASS_$_CBOR
0000000278241798 (__AUTH,__objc_data) external _OBJC_METACLASS_$_COSE
0000000278241888 (__AUTH,__objc_data) external _OBJC_METACLASS_$_COSEKey
0000000278241838 (__AUTH,__objc_data) external _OBJC_METACLASS_$_COSE_Mac0
00000002782417e8 (__AUTH,__objc_data) external _OBJC_METACLASS_$_COSE_Sign1
                 (undefined) external _OBJC_METACLASS_$_NSObject (from libobjc)
0000000278241a90 (__AUTH,__data) non-external (was a private external) _OBJC_METACLASS_$__TtC11CBORLibraryP33_7693559CB90E2482CACD4C8EAD5C623015_CBORDictionary
                 (undefined) external _OBJC_METACLASS_$__TtCs12_SwiftObject (from libswiftCore)
                 (undefined) external __Block_object_assign (from libSystem)
                 (undefined) external __Block_object_dispose (from libSystem)
0000000279613588 (__AUTH_CONST,__objc_const) non-external __DATA__TtC11CBORLibrary11CBORDecoder
0000000279613828 (__AUTH_CONST,__objc_const) non-external __DATA__TtC11CBORLibrary11CBOREncoder
0000000279613920 (__AUTH_CONST,__objc_const) non-external __DATA__TtC11CBORLibraryP33_7693559CB90E2482CACD4C8EAD5C623012_CBOREncoder
00000002782415f8 (__AUTH,__objc_data) non-external __DATA__TtC11CBORLibraryP33_7693559CB90E2482CACD4C8EAD5C623015_CBORDictionary
00000002796139f8 (__AUTH_CONST,__objc_const) non-external __DATA__TtC11CBORLibraryP33_7693559CB90E2482CACD4C8EAD5C623021_CBORReferenceEncoder
0000000279613680 (__AUTH_CONST,__objc_const) non-external __DATA__TtC11CBORLibraryP33_9AD5FE8BA51478D9E31399B9411E4CF612_CBORDecoder
00000002271f2680 (__TEXT,__objc_methlist) non-external __INSTANCE_METHODS__TtC11CBORLibraryP33_7693559CB90E2482CACD4C8EAD5C623015_CBORDictionary
0000000279613560 (__AUTH_CONST,__objc_const) non-external __IVARS__TtC11CBORLibrary11CBORDecoder
00000002796137c0 (__AUTH_CONST,__objc_const) non-external __IVARS__TtC11CBORLibrary11CBOREncoder
00000002796138b8 (__AUTH_CONST,__objc_const) non-external __IVARS__TtC11CBORLibraryP33_7693559CB90E2482CACD4C8EAD5C623012_CBOREncoder
0000000279613710 (__AUTH_CONST,__objc_const) non-external __IVARS__TtC11CBORLibraryP33_7693559CB90E2482CACD4C8EAD5C623015_CBORDictionary
00000002796139b0 (__AUTH_CONST,__objc_const) non-external __IVARS__TtC11CBORLibraryP33_7693559CB90E2482CACD4C8EAD5C623021_CBORReferenceEncoder
0000000279613618 (__AUTH_CONST,__objc_const) non-external __IVARS__TtC11CBORLibraryP33_9AD5FE8BA51478D9E31399B9411E4CF612_CBORDecoder
0000000279613518 (__AUTH_CONST,__objc_const) non-external __METACLASS_DATA__TtC11CBORLibrary11CBORDecoder
0000000279613778 (__AUTH_CONST,__objc_const) non-external __METACLASS_DATA__TtC11CBORLibrary11CBOREncoder
0000000279613870 (__AUTH_CONST,__objc_const) non-external __METACLASS_DATA__TtC11CBORLibraryP33_7693559CB90E2482CACD4C8EAD5C623012_CBOREncoder
00000002796136c8 (__AUTH_CONST,__objc_const) non-external __METACLASS_DATA__TtC11CBORLibraryP33_7693559CB90E2482CACD4C8EAD5C623015_CBORDictionary
0000000279613968 (__AUTH_CONST,__objc_const) non-external __METACLASS_DATA__TtC11CBORLibraryP33_7693559CB90E2482CACD4C8EAD5C623021_CBORReferenceEncoder
00000002796135d0 (__AUTH_CONST,__objc_const) non-external __METACLASS_DATA__TtC11CBORLibraryP33_9AD5FE8BA51478D9E31399B9411E4CF612_CBORDecoder
                 (undefined) external __NSConcreteStackBlock (from libSystem)
0000000279613a40 (__AUTH_CONST,__objc_const) non-external __OBJC_$_CATEGORY_NSData_$_CBOR
00000002271f26a0 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_CBOR(Decoder|Decoder_Private|COSE|COSEKey)
00000002271f2808 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_NSData(CBOR|COSE|COSEKey)
00000002271f2840 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_CBOR(Decoder|Decoder_Private|COSE|COSEKey)
00000002271f29f0 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_COSE
00000002271f2ab8 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_COSEKey
00000002271f2ba8 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_COSE_Mac0
00000002271f2bf8 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_COSE_Sign1
0000000279613de0 (__AUTH_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_CBOR
0000000279614090 (__AUTH_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_COSE
00000002796144d8 (__AUTH_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_COSEKey
0000000279614408 (__AUTH_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_COSE_Mac0
0000000279613ea8 (__AUTH_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_CBOR
00000002796141b8 (__AUTH_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_COSE
0000000279614640 (__AUTH_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_COSEKey
0000000279614430 (__AUTH_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_COSE_Mac0
0000000279614310 (__AUTH_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_COSE_Sign1
0000000279613c70 (__AUTH_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_NSObject
0000000279613d58 (__AUTH_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_INSTANCE_METHODS_NSCopying
0000000279613a80 (__AUTH_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_INSTANCE_METHODS_NSObject
0000000279613c50 (__AUTH_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_INSTANCE_METHODS_OPT_NSObject
0000000279613d78 (__AUTH_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_METHOD_TYPES_NSCopying
0000000279613cb8 (__AUTH_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_METHOD_TYPES_NSObject
0000000279613d80 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_PROTOCOLS_$_CBOR
0000000279614000 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_CBOR
0000000279614280 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_COSE
0000000279614718 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_COSEKey
0000000279614448 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_COSE_Mac0
0000000279614378 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_COSE_Sign1
00000002719b6210 (__DATA_CONST,__objc_protolist) non-external (was a private external) __OBJC_LABEL_PROTOCOL_$_NSCopying
00000002719b6208 (__DATA_CONST,__objc_protolist) non-external (was a private external) __OBJC_LABEL_PROTOCOL_$_NSObject
0000000279613d98 (__AUTH_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_CBOR
0000000279614048 (__AUTH_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_COSE
0000000279614490 (__AUTH_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_COSEKey
00000002796143c0 (__AUTH_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_COSE_Mac0
00000002796142c8 (__AUTH_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_COSE_Sign1
000000027554f5f0 (__DATA,__data) non-external (was a private external) __OBJC_PROTOCOL_$_NSCopying
000000027554f590 (__DATA,__data) non-external (was a private external) __OBJC_PROTOCOL_$_NSObject
00000002719b67b0 (__DATA_CONST,__objc_protorefs) non-external (was a private external) __OBJC_PROTOCOL_REFERENCE_$_NSObject
                 (undefined) external __Unwind_Resume (from libSystem)
00000002271ee714 (__TEXT,__text) non-external ___30-[COSE _searchForHeaderLabel:]_block_invoke
00000002271ee8d8 (__TEXT,__text) non-external ___30-[COSE _searchForHeaderLabel:]_block_invoke.62
00000002271e7f4c (__TEXT,__text) non-external ___51+[CBOR(Encoder) encodeMajorType5:encodingKeyOrder:]_block_invoke
00000002271ee6fc (__TEXT,__text) non-external ___Block_byref_object_copy_
00000002271ee70c (__TEXT,__text) non-external ___Block_byref_object_dispose_
                 (undefined) external ___CFConstantStringClassReference (from CoreFoundation)
                 (undefined) external ___NSDictionary0__struct (from CoreFoundation)
                 (undefined) external ___assert_rtn (from libSystem)
00000002719b6188 (__DATA_CONST,__const) non-external ___block_descriptor_40_e23_q24?0"CBOR"8"CBOR"16l
0000000279612ca8 (__AUTH_CONST,__const) non-external ___block_descriptor_56_e8_32s40r48r_e27_v32?0"CBOR"8"CBOR"16^B24l
                 (undefined) external ___chkstk_darwin (from libSystem)
00000002271ee834 (__TEXT,__text) non-external ___copy_helper_block_e8_32s40r48r
00000002271ee88c (__TEXT,__text) non-external ___destroy_helper_block_e8_32s40r48r
                 (undefined) external ___objc_personality_v0 (from libobjc)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___strlcpy_chk (from libSystem)
00000002271d1764 (__TEXT,__text) non-external ___swift_allocate_boxed_opaque_existential_1Tm
00000002271d1764 (__TEXT,__text) non-external ___swift_allocate_boxed_opaque_existential_1Tm
00000002271d18a0 (__TEXT,__text) non-external (was a private external) ___swift_allocate_value_buffer
00000002271d16cc (__TEXT,__text) non-external (was a private external) ___swift_deallocate_boxed_opaque_existential_1
00000002271d1850 (__TEXT,__text) non-external (was a private external) ___swift_destroy_boxed_opaque_existential_1
00000002271d1850 (__TEXT,__text) non-external ___swift_destroy_boxed_opaque_existential_1Tm
00000002271d1850 (__TEXT,__text) non-external ___swift_destroy_boxed_opaque_existential_1Tm
00000002271c5bfc (__TEXT,__text) non-external (was a private external) ___swift_instantiateConcreteTypeFromMangledName
00000002271d2ac4 (__TEXT,__text) non-external (was a private external) ___swift_instantiateConcreteTypeFromMangledNameAbstract
00000002271d2b0c (__TEXT,__text) non-external (was a private external) ___swift_instantiateGenericMetadata
00000002271e7a20 (__TEXT,__text) non-external (was a private external) ___swift_memcpy16_8
00000002271e4868 (__TEXT,__text) non-external (was a private external) ___swift_memcpy17_8
00000002271da724 (__TEXT,__text) non-external (was a private external) ___swift_memcpy1_1
00000002271d1adc (__TEXT,__text) non-external (was a private external) ___swift_memcpy24_8
00000002271daf4c (__TEXT,__text) non-external (was a private external) ___swift_memcpy25_8
00000002271d1d10 (__TEXT,__text) non-external (was a private external) ___swift_memcpy32_8
00000002271dd614 (__TEXT,__text) non-external (was a private external) ___swift_memcpy8_8
00000002271d29d8 (__TEXT,__text) non-external (was a private external) ___swift_mutable_project_boxed_opaque_existential_1
00000002271da730 (__TEXT,__text) non-external (was a private external) ___swift_noop_void_return
00000002271d1720 (__TEXT,__text) non-external (was a private external) ___swift_project_boxed_opaque_existential_1
00000002271c5fe0 (__TEXT,__text) non-external (was a private external) ___swift_project_value_buffer
00000002271f3dd0 (__TEXT,__const) non-external (was a private external) ___swift_reflection_version
00000002271f3f38 (__TEXT,__const) non-external ___unnamed_2
00000002271f3a78 (__TEXT,__const) non-external ___unnamed_23
00000002271f2e88 (__TEXT,__const) non-external ___unnamed_5
00000002271ec23c (__TEXT,__text) non-external __getRFC3339DateFormatter
                 (undefined) external __objc_empty_cache (from libobjc)
                 (undefined) external __os_log_default (from libSystem)
                 (undefined) external __os_log_fault_impl (from libSystem)
                 (undefined) external __swiftEmptyArrayStorage (from libswiftCore)
                 (undefined) external __swiftEmptyDictionarySingleton (from libswiftCore)
                 (undefined) weak external __swift_FORCE_LOAD_$_swiftCoreFoundation (from libswiftCoreFoundation)
00000002719b6130 (__DATA_CONST,__const) non-external (was a private external) __swift_FORCE_LOAD_$_swiftCoreFoundation_$_CBORLibrary
                 (undefined) weak external __swift_FORCE_LOAD_$_swiftDarwin (from libswiftDarwin)
00000002719b6118 (__DATA_CONST,__const) non-external (was a private external) __swift_FORCE_LOAD_$_swiftDarwin_$_CBORLibrary
