00007ff8400abdb0 (__DATA,__data) non-external _C
00007ff800b9f9e4 (__TEXT,__text) external __Read_RuneMagi
00007ff800b96007 (__TEXT,__text) non-external (was a private external) __UTF2_init
00007ff800b96054 (__TEXT,__text) non-external __UTF2_mbrtowc
00007ff800b96239 (__TEXT,__text) non-external __UTF2_mbsinit
00007ff800b96253 (__TEXT,__text) non-external __UTF2_mbsnrtowcs
00007ff800b961b2 (__TEXT,__text) non-external __UTF2_wcrtomb
00007ff800b963ce (__TEXT,__text) non-external __UTF2_wcsnrtombs
00007ff800b72987 (__TEXT,__text) non-external (was a private external) __UTF8_init
00007ff800b729d4 (__TEXT,__text) non-external __UTF8_mbrtowc
00007ff800b72c63 (__TEXT,__text) non-external __UTF8_mbsinit
00007ff800b72c7d (__TEXT,__text) non-external __UTF8_mbsnrtowcs
00007ff800b72bb7 (__TEXT,__text) non-external __UTF8_wcrtomb
00007ff800b72df8 (__TEXT,__text) non-external __UTF8_wcsnrtombs
00007ff800b61f0a (__TEXT,__text) external ___Balloc_D2A
00007ff800b62053 (__TEXT,__text) external ___Bfree_D2A
00007ff800b52d4d (__TEXT,__text) external ____mb_cur_max
00007ff800b52d7b (__TEXT,__text) external ____mb_cur_max_l
00007ff800b71a58 (__TEXT,__text) external ____runetype
00007ff800b719a7 (__TEXT,__text) external ____runetype_l
00007ff800b7288d (__TEXT,__text) external ____tolower
00007ff800b727e3 (__TEXT,__text) external ____tolower_l
00007ff800b7295f (__TEXT,__text) external ____toupper
00007ff800b728b5 (__TEXT,__text) external ____toupper_l
00007ff800bb593f (__TEXT,__text) non-external (was a private external) ___abort
00007ff800b5cacf (__TEXT,__text) external ___add_ovflpage
00007ff800b5c84b (__TEXT,__text) external ___addel
00007ff800b62b20 (__TEXT,__text) external ___any_on_D2A
00007ff800bb4c2a (__TEXT,__text) external ___assert_rtn
00007ff8400b8a28 (__DATA,__bss) non-external ___atexit
00007ff800b967ca (__TEXT,__text) non-external (was a private external) ___atexit_init
00007ff8400b8a30 (__DATA,__bss) non-external ___atexit_new_registration
00007ff800b626df (__TEXT,__text) external ___b2d_D2A
00007ff800b5b16a (__TEXT,__text) external ___big_delete
00007ff800b5aeac (__TEXT,__text) external ___big_insert
00007ff800b5b797 (__TEXT,__text) external ___big_keydata
00007ff800b5b431 (__TEXT,__text) external ___big_return
00007ff800b5b906 (__TEXT,__text) external ___big_split
00007ff800bb73a0 (__TEXT,__const) external ___bigtens_D2A
00007ff800b55d96 (__TEXT,__text) external ___bt_close
00007ff800b59aca (__TEXT,__text) external ___bt_cmp
00007ff800b59b6a (__TEXT,__text) external ___bt_defcmp
00007ff800b59bb1 (__TEXT,__text) external ___bt_defpfx
00007ff800b561fd (__TEXT,__text) external ___bt_delete
00007ff800b56857 (__TEXT,__text) external ___bt_dleaf
00007ff800b576dd (__TEXT,__text) external ___bt_fd
00007ff800b5872a (__TEXT,__text) non-external ___bt_first
00007ff800b57a9f (__TEXT,__text) external ___bt_free
00007ff800b56eb5 (__TEXT,__text) external ___bt_get
00007ff800b57ad0 (__TEXT,__text) external ___bt_new
00007ff800b56f92 (__TEXT,__text) external ___bt_open
00007ff800b56c21 (__TEXT,__text) non-external ___bt_pdelete
00007ff800b55f30 (__TEXT,__text) external ___bt_pgin
00007ff800b560b8 (__TEXT,__text) external ___bt_pgout
00007ff800b57b23 (__TEXT,__text) external ___bt_put
00007ff800b56e2c (__TEXT,__text) non-external ___bt_relink
00007ff800b59918 (__TEXT,__text) external ___bt_ret
00007ff800b580a0 (__TEXT,__text) external ___bt_search
00007ff800b58304 (__TEXT,__text) external ___bt_seq
00007ff800b586e0 (__TEXT,__text) external ___bt_setcur
00007ff800b58901 (__TEXT,__text) external ___bt_split
00007ff800b564fe (__TEXT,__text) non-external ___bt_stkacq
00007ff800b55e62 (__TEXT,__text) external ___bt_sync
00007ff800b5beda (__TEXT,__text) external ___buf_free
00007ff800b5bea2 (__TEXT,__text) non-external (was a private external) ___buf_init
00007ff8400abdb8 (__DATA,__data) non-external ___c_locale
00007ff800ba5e61 (__TEXT,__text) non-external ___calc_left_pad
00007ff800b5a9fc (__TEXT,__text) external ___call_hash
00007ff8400ace80 (__DATA,__data) non-external (was a private external) ___chk_assert_no_overlap
00007ff800bb3d09 (__TEXT,__text) non-external (was a private external) ___chk_fail_overflow
00007ff800bb3d1b (__TEXT,__text) non-external (was a private external) ___chk_fail_overlap
00007ff800b62e5f (__TEXT,__text) non-external (was a private external) ___chk_init
00007ff800bb3d2d (__TEXT,__text) non-external (was a private external) ___chk_overlap
00007ff8400b8ba0 (__DATA,__common) external ___cleanup
00007ff800b62583 (__TEXT,__text) external ___cmp_D2A
00007ff800b6e163 (__TEXT,__text) non-external (was a private external) ___collate_collating_symbol
00007ff800b6e360 (__TEXT,__text) non-external (was a private external) ___collate_equiv_class
00007ff800b6e526 (__TEXT,__text) external ___collate_equiv_match
00007ff800b6e9c3 (__TEXT,__text) non-external (was a private external) ___collate_equiv_value
00007ff800b6d86e (__TEXT,__text) non-external (was a private external) ___collate_err
00007ff8400ac478 (__DATA,__data) external ___collate_load_error
00007ff800b6cba6 (__TEXT,__text) non-external (was a private external) ___collate_load_tables
00007ff8400ade90 (__DATA,__bss) non-external ___collate_load_tables.cache
00007ff800b6d07e (__TEXT,__text) non-external ___collate_load_tables_legacy
00007ff800b6dc4f (__TEXT,__text) external ___collate_lookup
00007ff800b6d929 (__TEXT,__text) external ___collate_lookup_l
00007ff800b6de1f (__TEXT,__text) non-external (was a private external) ___collate_lookup_which
00007ff800b6dd10 (__TEXT,__text) non-external (was a private external) ___collate_mbstowcs
00007ff800b6eb05 (__TEXT,__text) non-external (was a private external) ___collate_range_cmp
00007ff8400ade98 (__DATA,__bss) non-external ___collate_range_cmp.s1
00007ff8400adea0 (__DATA,__bss) non-external ___collate_range_cmp.s2
00007ff800b6d653 (__TEXT,__text) non-external (was a private external) ___collate_substitute
00007ff800b6d81c (__TEXT,__text) non-external (was a private external) ___collate_wcsdup
00007ff800b6df15 (__TEXT,__text) non-external (was a private external) ___collate_xfrm
                 (undefined) external ___commpage_gettimeofday (from libsystem_kernel)
00007ff800b4bd9c (__TEXT,__text) non-external (was a private external) ___confstr_init
00007ff800b62aa7 (__TEXT,__text) external ___copybits_D2A
00007ff800b9eeb1 (__TEXT,__text) non-external ___cvt
00007ff8400b8aa0 (__DATA,__bss) non-external ___cvt.s
00007ff800b9697b (__TEXT,__text) external ___cxa_atexit
00007ff800b96baa (__TEXT,__text) external ___cxa_finalize
00007ff800b969ae (__TEXT,__text) external ___cxa_finalize_ranges
00007ff800b627ae (__TEXT,__text) external ___d2b_D2A
00007ff8400b8b58 (__DATA,__common) non-external (was a private external) ___darwin_altzone
00007ff800b59c9a (__TEXT,__text) non-external ___dberr
00007ff800b59c75 (__TEXT,__text) external ___dbpanic
00007ff8400ac388 (__DATA,__data) external ___default_hash
00007ff800b5c0f4 (__TEXT,__text) external ___delpair
00007ff800b720a7 (__TEXT,__text) non-external (was a private external) ___detect_path_locale
00007ff800b625cb (__TEXT,__text) external ___diff_D2A
00007ff8400adbe0 (__DATA,__bss) non-external ___dirhelper_func
00007ff800b5fc5c (__TEXT,__text) external ___dtoa
00007ff8400b8bc0 (__DATA,__common) non-external (was a private external) ___env_owned
00007ff800b96ee4 (__TEXT,__text) non-external (was a private external) ___environ_lock_fork_child
00007ff8400b8a34 (__DATA,__bss) non-external ___environ_lock_obj
                 (undefined) external ___error (from libsystem_kernel)
00007ff800b9361b (__TEXT,__text) non-external (was a private external) ___errstr
00007ff800b79fcb (__TEXT,__text) non-external ___evpinit
                 (undefined) external ___exit (from libsystem_kernel)
00007ff800b5a8a7 (__TEXT,__text) external ___expand_table
00007ff8400af940 (__DATA,__bss) non-external ___fallback_evp
                 (undefined) external ___fcntl (from libsystem_kernel)
                 (undefined) external ___fcntl_nocancel (from libsystem_kernel)
00007ff800b7697b (__TEXT,__text) external ___fflush
00007ff800b76dae (__TEXT,__text) external ___fgetwc
00007ff800b7a8b4 (__TEXT,__text) non-external (was a private external) ___find_arguments
00007ff800b5b2a5 (__TEXT,__text) external ___find_bigpair
00007ff800b5b3bb (__TEXT,__text) external ___find_last_page
00007ff800b7b980 (__TEXT,__text) non-external (was a private external) ___find_warguments
00007ff800b96e20 (__TEXT,__text) non-external (was a private external) ___findenv_locked
00007ff800b6f0c7 (__TEXT,__text) external ___fix_locale_grouping_str
00007ff800b6f183 (__TEXT,__text) non-external (was a private external) ___fix_nogrouping
                 (undefined) external ___fork (from libsystem_kernel)
                 (undefined) external ___fpclassifyd (from libsystem_m)
                 (undefined) external ___fpclassifyl (from libsystem_m)
00007ff800b77b0d (__TEXT,__text) non-external (was a private external) ___fputwc
00007ff800b78013 (__TEXT,__text) external ___fread
00007ff800b5d3b8 (__TEXT,__text) external ___free_ovflpage
00007ff800b5fb02 (__TEXT,__text) external ___freedtoa
00007ff8400ace84 (__DATA,__data) non-external (was a private external) ___ftell_conformance_fix
00007ff800b4ca3d (__TEXT,__text) non-external ___fts_open
00007ff800b60bc8 (__TEXT,__text) external ___gdtoa
00007ff8400b8b08 (__DATA,__common) external ___gdtoa_locks
00007ff800b5ba94 (__TEXT,__text) external ___get_buf
00007ff800b6fbc0 (__TEXT,__text) non-external (was a private external) ___get_current_messages_locale
00007ff800b700a2 (__TEXT,__text) non-external (was a private external) ___get_current_monetary_locale
00007ff800b7030c (__TEXT,__text) non-external (was a private external) ___get_current_numeric_locale
00007ff800b92e47 (__TEXT,__text) non-external (was a private external) ___get_current_time_locale
00007ff800b71ee2 (__TEXT,__text) non-external (was a private external) ___get_locale_env
00007ff800b5ce72 (__TEXT,__text) external ___get_page
00007ff800b673bf (__TEXT,__text) non-external ___getcwd
                 (undefined) external ___getdirentries64 (from libsystem_kernel)
00007ff8400af900 (__DATA,__bss) non-external ___getevp.predicate
                 (undefined) external ___gettimeofday (from libsystem_kernel)
00007ff8400ab7e8 (__DATA,__data) non-external (was a private external) ___global_locale
00007ff800b96547 (__TEXT,__text) non-external (was a private external) ___guard_setup
00007ff800b59ca8 (__TEXT,__text) external ___hash_open
00007ff800b5f4a8 (__TEXT,__text) external ___hdtoa
00007ff800b9f592 (__TEXT,__text) non-external (was a private external) ___heapsort_r
00007ff800b621c6 (__TEXT,__text) external ___hi0bits_D2A
00007ff800b5f81e (__TEXT,__text) external ___hldtoa
00007ff800b62232 (__TEXT,__text) external ___i2b_D2A
00007ff800b5d2ed (__TEXT,__text) external ___ibitmap
00007ff800b9cd31 (__TEXT,__text) non-external (was a private external) ___init__env_owned_locked
00007ff800b715ec (__TEXT,__text) external ___isctype
00007ff800b71582 (__TEXT,__text) external ___istype
00007ff800b7174f (__TEXT,__text) external ___istype_l
00007ff8400ac3f1 (__DATA,__data) non-external ___kernel_supports_unionfs.kernel_supports_unionfs
                 (undefined) external ___kill (from libsystem_kernel)
00007ff800b9f830 (__TEXT,__text) external ___ldtoa
00007ff800b551ba (__TEXT,__text) external ___libc_init
00007ff800b6209e (__TEXT,__text) external ___lo0bits_D2A
00007ff800b7a061 (__TEXT,__text) non-external ___loadevp
00007ff8400abda8 (__DATA,__data) non-external (was a private external) ___locale_key
00007ff800b5c0d8 (__TEXT,__text) external ___log2
00007ff800bb8170 (__TEXT,__const) non-external (was a private external) ___lowercase_hex
00007ff800b62489 (__TEXT,__text) external ___lshift_D2A
00007ff800b71530 (__TEXT,__text) external ___maskrune
00007ff800b716fa (__TEXT,__text) external ___maskrune_l
00007ff800b62a6a (__TEXT,__text) external ___match_D2A
00007ff8400ac54c (__DATA,__data) external ___mb_cur_max
00007ff8400ac550 (__DATA,__data) external ___mb_sb_limit
00007ff800b89276 (__TEXT,__text) non-external ___mbsconv
00007ff800b708a1 (__TEXT,__text) non-external (was a private external) ___mbsnrtowcs_std
00007ff800bb3efd (__TEXT,__text) external ___memccpy_chk
00007ff800bb435f (__TEXT,__text) external ___memcpy_chk
00007ff800bb3e98 (__TEXT,__text) external ___memmove_chk
00007ff800bb3d59 (__TEXT,__text) external ___memset_chk
00007ff800b6f9b9 (__TEXT,__text) non-external (was a private external) ___messages_load_locale
00007ff8400adea8 (__DATA,__bss) non-external ___messages_load_locale.cache
00007ff800b6fbe3 (__TEXT,__text) non-external (was a private external) ___monetary_load_locale
00007ff8400adeb8 (__DATA,__bss) non-external ___monetary_load_locale.cache
00007ff800b62255 (__TEXT,__text) external ___mult_D2A
00007ff800b6212d (__TEXT,__text) external ___multadd_D2A
00007ff800b76109 (__TEXT,__text) non-external ___nls_free_resources
00007ff800bb7a7d (__TEXT,__const) non-external ___nogrouping
00007ff800b5fabf (__TEXT,__text) external ___nrv_alloc_D2A
00007ff800b52b3c (__TEXT,__text) non-external (was a private external) ___numeric_ctype
00007ff800b700c5 (__TEXT,__text) non-external (was a private external) ___numeric_load_locale
00007ff8400adec8 (__DATA,__bss) non-external ___numeric_load_locale.cache
                 (undefined) external ___open (from libsystem_kernel)
                 (undefined) external ___open_nocancel (from libsystem_kernel)
00007ff800b7213a (__TEXT,__text) non-external (was a private external) ___open_path_locale
00007ff800b67c2b (__TEXT,__text) external ___opendir2
00007ff800b67d3a (__TEXT,__text) non-external ___opendir_common
00007ff800b579dd (__TEXT,__text) external ___ovfl_delete
00007ff800b5780a (__TEXT,__text) external ___ovfl_get
00007ff800b578e5 (__TEXT,__text) external ___ovfl_put
00007ff800b851fa (__TEXT,__text) non-external (was a private external) ___parsefloat_buf
00007ff8400af968 (__DATA,__bss) non-external ___parsefloat_buf.bsiz
00007ff8400af960 (__DATA,__bss) non-external ___parsefloat_buf.parsefloat_tsd_key
00007ff8400acb30 (__DATA,__data) non-external ___parsefloat_buf.parsefloat_tsd_lock
00007ff800b6f70f (__TEXT,__text) non-external (was a private external) ___part_load_locale
                 (undefined) external ___platform_sigaction (from libsystem_platform)
00007ff8400b8b28 (__DATA,__common) non-external (was a private external) ___popen_pidlist
00007ff8400ac3f8 (__DATA,__data) non-external (was a private external) ___popen_pidlist_mutex
00007ff800b62382 (__TEXT,__text) external ___pow5mult_D2A
00007ff800bb7390 (__TEXT,__const) non-external ___pow5mult_D2A.p05
00007ff800ba2e4e (__TEXT,__text) non-external (was a private external) ___printf_arginfo_chr
00007ff800bb5c83 (__TEXT,__text) non-external ___printf_arginfo_chr.cold.1
00007ff800ba1114 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_errno
00007ff800bb5b12 (__TEXT,__text) non-external ___printf_arginfo_errno.cold.1
00007ff800ba1204 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_float
00007ff800bb5b34 (__TEXT,__text) non-external ___printf_arginfo_float.cold.1
00007ff800ba1df0 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_hexdump
00007ff800bb5b7a (__TEXT,__text) non-external ___printf_arginfo_hexdump.cold.1
00007ff800ba2064 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_int
00007ff800bb5b9b (__TEXT,__text) non-external ___printf_arginfo_int.cold.1
00007ff800ba35d6 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_n
00007ff800bb5ceb (__TEXT,__text) non-external ___printf_arginfo_n.cold.1
00007ff800ba35b8 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_pct
00007ff800ba280a (__TEXT,__text) non-external (was a private external) ___printf_arginfo_ptr
00007ff800bb5c1e (__TEXT,__text) non-external ___printf_arginfo_ptr.cold.1
00007ff800ba28af (__TEXT,__text) non-external (was a private external) ___printf_arginfo_quote
00007ff800bb5c41 (__TEXT,__text) non-external ___printf_arginfo_quote.cold.1
00007ff800ba2b4b (__TEXT,__text) non-external (was a private external) ___printf_arginfo_str
00007ff800bb5c62 (__TEXT,__text) non-external ___printf_arginfo_str.cold.1
00007ff800ba2fd3 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_time
00007ff800bb5ca6 (__TEXT,__text) non-external ___printf_arginfo_time.cold.1
00007ff800ba32e0 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_vis
00007ff800bb5cc7 (__TEXT,__text) non-external ___printf_arginfo_vis.cold.1
00007ff800ba36d3 (__TEXT,__text) non-external (was a private external) ___printf_comp
00007ff800ba3e7c (__TEXT,__text) non-external (was a private external) ___printf_exec
00007ff800ba3404 (__TEXT,__text) non-external (was a private external) ___printf_flush
00007ff800b7e461 (__TEXT,__text) non-external (was a private external) ___printf_is_memory_read_only
00007ff800ba3533 (__TEXT,__text) non-external (was a private external) ___printf_out
00007ff800ba34b2 (__TEXT,__text) non-external (was a private external) ___printf_pad
00007ff800ba3437 (__TEXT,__text) non-external (was a private external) ___printf_puts
00007ff800ba2e91 (__TEXT,__text) non-external (was a private external) ___printf_render_chr
00007ff800ba1133 (__TEXT,__text) non-external (was a private external) ___printf_render_errno
00007ff800ba1240 (__TEXT,__text) non-external (was a private external) ___printf_render_float
00007ff800bb5b57 (__TEXT,__text) non-external ___printf_render_float.cold.1
00007ff800ba1e17 (__TEXT,__text) non-external (was a private external) ___printf_render_hexdump
00007ff800ba20e5 (__TEXT,__text) non-external (was a private external) ___printf_render_int
00007ff800bb5bbe (__TEXT,__text) non-external ___printf_render_int.cold.1
00007ff800bb5bfb (__TEXT,__text) non-external ___printf_render_int.cold.2
00007ff800ba35f5 (__TEXT,__text) non-external (was a private external) ___printf_render_n
00007ff800ba35c0 (__TEXT,__text) non-external (was a private external) ___printf_render_pct
00007ff800ba2837 (__TEXT,__text) non-external (was a private external) ___printf_render_ptr
00007ff800ba28ce (__TEXT,__text) non-external (was a private external) ___printf_render_quote
00007ff800ba2b81 (__TEXT,__text) non-external (was a private external) ___printf_render_str
00007ff800ba2ff2 (__TEXT,__text) non-external (was a private external) ___printf_render_time
00007ff800ba32ff (__TEXT,__text) non-external (was a private external) ___printf_render_vis
00007ff800b66e22 (__TEXT,__text) non-external (was a private external) ___private_getcwd
00007ff8400add68 (__DATA,__bss) non-external ___progname_pointer
                 (undefined) external ___pthread_workqueue_setkill (from libsystem_pthread)
00007ff800b5d00b (__TEXT,__text) external ___put_page
00007ff800bb7b5f (__TEXT,__const) non-external (was a private external) ___puts_null__
00007ff800b5fb23 (__TEXT,__text) external ___quorem_D2A
00007ff800b629be (__TEXT,__text) external ___ratio_D2A
00007ff800b5dc5a (__TEXT,__text) external ___rec_close
00007ff800b5df61 (__TEXT,__text) external ___rec_delete
00007ff800b5e071 (__TEXT,__text) external ___rec_dleaf
00007ff800b5ea52 (__TEXT,__text) external ___rec_fd
00007ff800b5e4d8 (__TEXT,__text) external ___rec_fmap
00007ff800b5e268 (__TEXT,__text) external ___rec_fpipe
00007ff800b5e184 (__TEXT,__text) external ___rec_get
00007ff800b5ed78 (__TEXT,__text) external ___rec_iput
00007ff800b5e6ae (__TEXT,__text) external ___rec_open
00007ff800b5eaa0 (__TEXT,__text) external ___rec_put
00007ff800b5f31c (__TEXT,__text) external ___rec_ret
00007ff800b5efc8 (__TEXT,__text) external ___rec_search
00007ff800b5f168 (__TEXT,__text) external ___rec_seq
00007ff800b5dd19 (__TEXT,__text) external ___rec_sync
00007ff800b5e5eb (__TEXT,__text) external ___rec_vmap
00007ff800b5e396 (__TEXT,__text) external ___rec_vpipe
00007ff800b5bfbd (__TEXT,__text) external ___reclaim_buf
                 (undefined) external ___recvfrom (from libsystem_kernel)
                 (undefined) external ___recvfrom_nocancel (from libsystem_kernel)
00007ff800b61e08 (__TEXT,__text) external ___rshift_D2A
00007ff800b5fa84 (__TEXT,__text) external ___rv_alloc_D2A
00007ff800b628f2 (__TEXT,__text) external ___s2b_D2A
00007ff8400ac650 (__DATA,__data) external ___sF
00007ff8400ac820 (__DATA,__data) non-external ___sFX
00007ff800b7d39d (__TEXT,__text) external ___sclose
00007ff8400ae100 (__DATA,__bss) non-external ___scounted
00007ff8400b8b40 (__DATA,__common) external ___sdidinit
                 (undefined) external ___semwait_signal (from libsystem_kernel)
                 (undefined) external ___semwait_signal_nocancel (from libsystem_kernel)
                 (undefined) external ___sendto (from libsystem_kernel)
                 (undefined) external ___sendto_nocancel (from libsystem_kernel)
00007ff800b9cd94 (__TEXT,__text) non-external (was a private external) ___setenv_locked
00007ff800b72242 (__TEXT,__text) non-external (was a private external) ___setrunelocale
00007ff8400ae0a8 (__DATA,__bss) non-external ___setrunelocale.CachedRuneLocale
00007ff8400ae0b0 (__DATA,__bss) non-external ___setrunelocale.cache_lock
                 (undefined) external ___settimeofday (from libsystem_kernel)
00007ff800ba5efb (__TEXT,__text) non-external ___setup_vars
00007ff800b77681 (__TEXT,__text) external ___sflags
00007ff800b76811 (__TEXT,__text) external ___sflush
00007ff800b771f6 (__TEXT,__text) external ___sfp
00007ff800b775c0 (__TEXT,__text) non-external (was a private external) ___sfprelease
00007ff800b78f48 (__TEXT,__text) external ___sfvwrite
00007ff8400acac0 (__DATA,__data) external ___sglue
                 (undefined) external ___sigaltstack (from libsystem_kernel)
00007ff800b773c0 (__TEXT,__text) external ___sinit
00007ff800b769e5 (__TEXT,__text) external ___slbexpand
00007ff800b79c64 (__TEXT,__text) external ___smakebuf
00007ff800bb3f4a (__TEXT,__text) external ___snprintf_chk
00007ff800bb3fee (__TEXT,__text) external ___snprintf_object_size_chk
00007ff800b5c231 (__TEXT,__text) external ___split_page
00007ff800b8995f (__TEXT,__text) non-external ___sprint
00007ff800bb41b8 (__TEXT,__text) external ___sprintf_chk
00007ff800bb428b (__TEXT,__text) external ___sprintf_object_size_chk
00007ff800b7d36d (__TEXT,__text) external ___sread
00007ff800b7c9dd (__TEXT,__text) external ___srefill
00007ff800b7c82c (__TEXT,__text) non-external (was a private external) ___srefill0
00007ff800b7c984 (__TEXT,__text) non-external (was a private external) ___srefill1
00007ff800b7cad9 (__TEXT,__text) external ___srget
00007ff800b7d38f (__TEXT,__text) external ___sseek
00007ff800b966ba (__TEXT,__text) external ___stack_chk_fail
00007ff8400b8b60 (__DATA,__common) external ___stack_chk_guard
00007ff8400af930 (__DATA,__bss) non-external ___stderr_evp
00007ff8400acaa0 (__DATA,__data) external ___stderrp
00007ff8400af910 (__DATA,__bss) non-external ___stdin_evp
00007ff8400aca90 (__DATA,__data) external ___stdinp
00007ff800b62e5f (__TEXT,__text) non-external (was a private external) ___stdio_init
00007ff8400af920 (__DATA,__bss) non-external ___stdout_evp
00007ff8400aca98 (__DATA,__data) external ___stdoutp
00007ff800bb4163 (__TEXT,__text) external ___stpcpy_chk
00007ff800bb4371 (__TEXT,__text) external ___stpncpy_chk
00007ff800bb409f (__TEXT,__text) external ___strcat_chk
00007ff800b628cf (__TEXT,__text) external ___strcp_D2A
00007ff800bb3eaa (__TEXT,__text) external ___strcpy_chk
00007ff8400b8a08 (__DATA,__bss) non-external ___strerror_ebuf
00007ff800bb3c3d (__TEXT,__text) external ___strlcat_chk
00007ff800bb3d6b (__TEXT,__text) external ___strlcpy_chk
00007ff800bb3db6 (__TEXT,__text) external ___strncat_chk
00007ff800bb3e40 (__TEXT,__text) external ___strncpy_chk
00007ff800b62b7e (__TEXT,__text) external ___sum_D2A
00007ff800b851cc (__TEXT,__text) external ___svfscanf
