                 (undefined) external __Unwind_GetIP (from libunwind)
                 (undefined) external __Unwind_GetLanguageSpecificData (from libunwind)
                 (undefined) external __Unwind_GetRegionStart (from libunwind)
                 (undefined) external __Unwind_SetGR (from libunwind)
                 (undefined) external __Unwind_SetIP (from libunwind)
                 (undefined) external ____chkstk_darwin (from libsystem_pthread)
00007ff80ea2af25 (__TEXT,__text) external ___absvdi2
00007ff80ea2b7c1 (__TEXT,__text) external ___atomic_load_2
00007ff80ea2b7d3 (__TEXT,__text) external ___atomic_load_4
00007ff80ea2b7e1 (__TEXT,__text) external ___atomic_load_8
00007ff80ea2b2ac (__TEXT,__text) external ___atomic_store
00007ff80ea2b7f0 (__TEXT,__text) external ___atomic_store_1
00007ff80ea2b802 (__TEXT,__text) external ___atomic_store_2
00007ff80ea2b814 (__TEXT,__text) external ___atomic_store_4
00007ff80ea2b824 (__TEXT,__text) external ___atomic_store_8
                 (indirect) external ___chkstk_darwin (for ____chkstk_darwin)
00007ff80ea2c258 (__TEXT,__text) external ___clear_cache
00007ff80ea2c259 (__TEXT,__text) external ___clzdi2
00007ff80ea2c278 (__TEXT,__text) external ___clzsi2
00007ff80ea2c2e8 (__TEXT,__text) external ___clzti2
00007ff80ea2c306 (__TEXT,__text) external ___cmpdi2
00007ff80ea2c332 (__TEXT,__text) external ___cmpti2
00007ff80ea2e598 (__TEXT,__text) non-external (was a private external) ___compilerrt_abort_impl
00007ff80ea2c353 (__TEXT,__text) external ___ctzdi2
00007ff80ea2c371 (__TEXT,__text) external ___ctzsi2
00007ff80ea2c3d5 (__TEXT,__text) external ___ctzti2
00007ff80ea2c3f0 (__TEXT,__text) external ___divdc3
00007ff80ea2ae9a (__TEXT,__text) external ___divdi3
00007ff80ea2ca8a (__TEXT,__text) external ___divsc3
00007ff80ea2aed5 (__TEXT,__text) external ___divti3
00007ff80ea2d065 (__TEXT,__text) external ___divxc3
00007ff80ea2d56c (__TEXT,__text) external ___enable_execute_stack
00007ff80ea2d58d (__TEXT,__text) external ___extendhfsf2
00007ff80ea2d5fb (__TEXT,__text) external ___ffsdi2
00007ff80ea2d617 (__TEXT,__text) external ___ffsti2
00007ff80ea2d633 (__TEXT,__text) external ___fixdfdi
00007ff80ea2d654 (__TEXT,__text) external ___fixdfti
00007ff80ea2d709 (__TEXT,__text) external ___fixsfdi
00007ff80ea2d727 (__TEXT,__text) external ___fixsfti
00007ff80ea2ad8c (__TEXT,__text) external ___fixunsdfdi
00007ff80ea2d7d4 (__TEXT,__text) external ___fixunsdfsi
00007ff80ea2d820 (__TEXT,__text) external ___fixunsdfti
00007ff80ea2d8a0 (__TEXT,__text) external ___fixunssfdi
00007ff80ea2d8e5 (__TEXT,__text) external ___fixunssfsi
00007ff80ea2d932 (__TEXT,__text) external ___fixunssfti
00007ff80ea2adcf (__TEXT,__text) external ___fixunsxfdi
00007ff80ea2d9aa (__TEXT,__text) external ___fixunsxfsi
00007ff80ea2da20 (__TEXT,__text) external ___fixunsxfti
00007ff80ea2dada (__TEXT,__text) external ___fixxfdi
00007ff80ea2db74 (__TEXT,__text) external ___fixxfti
00007ff80ea2dc57 (__TEXT,__text) external ___floatdidf
00007ff80ea2dc5d (__TEXT,__text) external ___floatdisf
00007ff80ea2dc63 (__TEXT,__text) external ___floatdixf
00007ff80ea2dc6d (__TEXT,__text) external ___floattidf
00007ff80ea2dd84 (__TEXT,__text) external ___floattisf
00007ff80ea2de86 (__TEXT,__text) external ___floattixf
00007ff80ea2dfb8 (__TEXT,__text) external ___floatundidf
00007ff80ea2dfe4 (__TEXT,__text) external ___floatundisf
00007ff80ea2e010 (__TEXT,__text) external ___floatundixf
00007ff80ea2e026 (__TEXT,__text) external ___floatuntidf
00007ff80ea2e12e (__TEXT,__text) external ___floatuntisf
00007ff80ea2e1f6 (__TEXT,__text) external ___floatuntixf
00007ff80ea2e2fc (__TEXT,__text) external ___gcc_personality_v0
00007ff80ea2fbb7 (__TEXT,__text) external ___gnu_f2h_ieee
00007ff80ea2d5f6 (__TEXT,__text) external ___gnu_h2f_ieee
00007ff80ea2e5b0 (__TEXT,__text) external ___lshrdi3
00007ff80ea2e5de (__TEXT,__text) external ___lshrti3
00007ff80ea2ae49 (__TEXT,__text) external ___moddi3
00007ff80ea2e606 (__TEXT,__text) external ___modti3
00007ff80ea2e66e (__TEXT,__text) external ___muldc3
00007ff80ea2e8bf (__TEXT,__text) external ___muldi3
00007ff80ea2e944 (__TEXT,__text) external ___mulodi4
00007ff80ea2e9d2 (__TEXT,__text) external ___mulosi4
00007ff80ea2ea49 (__TEXT,__text) external ___muloti4
00007ff80ea2eb63 (__TEXT,__text) external ___mulsc3
00007ff80ea2edc7 (__TEXT,__text) external ___multi3
00007ff80ea2ee26 (__TEXT,__text) external ___mulvdi3
00007ff80ea2ef25 (__TEXT,__text) external ___mulvsi3
00007ff80ea2f001 (__TEXT,__text) external ___mulvti3
00007ff80ea2f188 (__TEXT,__text) external ___mulxc3
00007ff80ea2f562 (__TEXT,__text) external ___negdi2
00007ff80ea2f569 (__TEXT,__text) external ___negti2
00007ff80ea2f575 (__TEXT,__text) external ___negvdi2
00007ff80ea2f5a4 (__TEXT,__text) external ___negvsi2
00007ff80ea2f5ca (__TEXT,__text) external ___negvti2
00007ff80ea2f5fc (__TEXT,__text) external ___paritydi2
00007ff80ea2f62b (__TEXT,__text) external ___paritysi2
00007ff80ea2f651 (__TEXT,__text) external ___parityti2
00007ff80ea2f683 (__TEXT,__text) external ___popcountdi2
00007ff80ea2f6e5 (__TEXT,__text) external ___popcountsi2
00007ff80ea2f71e (__TEXT,__text) external ___popcountti2
00007ff80ea2f7ac (__TEXT,__text) external ___powidf2
00007ff80ea2f810 (__TEXT,__text) external ___powisf2
00007ff80ea2f86f (__TEXT,__text) external ___powixf2
                 (undefined) external ___stack_chk_fail (from libsystem_c)
                 (undefined) external ___stack_chk_guard (from libsystem_c)
00007ff80ea2f8bf (__TEXT,__text) external ___subvdi3
00007ff80ea2f907 (__TEXT,__text) external ___subvsi3
00007ff80ea2f94a (__TEXT,__text) external ___subvti3
00007ff80ea2f99e (__TEXT,__text) external ___truncdfhf2
00007ff80ea2facb (__TEXT,__text) external ___truncsfhf2
00007ff80ea2fbbc (__TEXT,__text) external ___ucmpdi2
00007ff80ea2fbe8 (__TEXT,__text) external ___ucmpti2
00007ff80ea2ac98 (__TEXT,__text) external ___udivdi3
00007ff80ea2fc09 (__TEXT,__text) external ___udivmoddi4
00007ff80ea2abd8 (__TEXT,__text) external ___udivmodti4
00007ff80ea2abd0 (__TEXT,__text) external ___udivti3
00007ff80ea2ad14 (__TEXT,__text) external ___umoddi3
00007ff80ea2fe2c (__TEXT,__text) external ___umodti3
                 (undefined) external __os_nospin_lock_lock (from libsystem_platform)
                 (undefined) external __os_nospin_lock_unlock (from libsystem_platform)
00007ff80ea2c1a8 (__TEXT,__text) external _atomic_flag_clear
00007ff80ea2c1ad (__TEXT,__text) external _atomic_flag_clear_explicit
00007ff80ea2c1c0 (__TEXT,__text) external _atomic_flag_test_and_set
00007ff80ea2c1c8 (__TEXT,__text) external _atomic_flag_test_and_set_explicit
00007ff80ea2c1fc (__TEXT,__text) external _atomic_signal_fence
00007ff80ea2c228 (__TEXT,__text) external _atomic_thread_fence
                 (undefined) external _fmaxl (from libsystem_m)
00007ff8437143f0 (__DATA,__bss) non-external _locks
                 (undefined) external _logbl (from libsystem_m)
                 (undefined) external _memcmp (from libsystem_c)
                 (undefined) external _memcpy (from libsystem_c)
                 (undefined) external _mprotect (from libsystem_kernel)
00007ff80ea2e499 (__TEXT,__text) non-external _readEncodedPointer
                 (undefined) external _scalbnl (from libsystem_m)
00007ff80ea309a0 (__TEXT,__const) non-external two
00007ff80ea30970 (__TEXT,__const) non-external twop52
00007ff80ea309b0 (__TEXT,__const) non-external twop64
00007ff80ea30990 (__TEXT,__const) non-external twop84
00007ff80ea30980 (__TEXT,__const) non-external twop84_plus_twop52
