00000001ad53ae50 (__TEXT,__text) non-external +[Caller current]
00000001ad545754 (__TEXT,__text) non-external +[LASecureIOAsset stringFromLASIOAssetFormat:]
00000001ad545fa4 (__TEXT,__text) non-external +[LASecureIOAsset stringFromLASIOAssetFormat:].cold.1
00000001ad5454c4 (__TEXT,__text) non-external +[LASecureIOAsset stringFromLASIOAssetType:]
00000001ad545f7c (__TEXT,__text) non-external +[LASecureIOAsset stringFromLASIOAssetType:].cold.1
00000001ad54661c (__TEXT,__text) non-external +[LASecureIODisplay displayWidth]
00000001ad54671c (__TEXT,__text) non-external +[LASecureIODisplay display]
00000001ad546568 (__TEXT,__text) non-external +[LASecureIODisplay hasPhysicalESCKey]
00000001ad546474 (__TEXT,__text) non-external +[LASecureIODisplay isDFRSupported]
00000001ad534af4 (__TEXT,__text) non-external +[LASecureIOHelper sharedInstance]
00000001ad558544 (__TEXT,__text) non-external +[LASecureIOHelper sharedInstance].cold.1
00000001ad55817c (__TEXT,__text) non-external +[LASecureIOLoggingHelper stringFromCredentialType:]
00000001ad558150 (__TEXT,__text) non-external +[LASecureIOLoggingHelper stringFromNotification:]
00000001ad5580e4 (__TEXT,__text) non-external +[LASecureIOLoggingHelper stringFromOperation:]
00000001ad558108 (__TEXT,__text) non-external +[LASecureIOLoggingHelper stringFromScene:]
00000001ad55812c (__TEXT,__text) non-external +[LASecureIOLoggingHelper stringFromUserInput:]
00000001ad547b34 (__TEXT,__text) non-external +[LASecureIOScene scene]
00000001ad547b5c (__TEXT,__text) non-external +[LASecureIOScene stringFromLASIOSceneSecureIOType:]
00000001ad547fd0 (__TEXT,__text) non-external +[LASecureIOScene stringFromLASIOSceneSecureIOType:].cold.1
00000001ad54e27c (__TEXT,__text) non-external +[LASecureIOServer getBootArgs]
00000001ad54e06c (__TEXT,__text) non-external +[LASecureIOServer ignoreSceneDescriptionsSignature]
00000001ad54e060 (__TEXT,__text) non-external +[LASecureIOServer ignoreWarsawInstructionSignature]
00000001ad54e078 (__TEXT,__text) non-external +[LASecureIOServer isBootArgSet:]
00000001ad54e054 (__TEXT,__text) non-external +[LASecureIOServer isTestingEnabled]
00000001ad5482f8 (__TEXT,__text) non-external +[LASecureIOServer server]
00000001ad545fb8 (__TEXT,__text) non-external +[LASecureIOUtils dataFromHexString:]
00000001ad5461f0 (__TEXT,__text) non-external +[LASecureIOUtils getSHA256FromData:]
00000001ad546404 (__TEXT,__text) non-external +[LASecureIOUtils getSHA256FromData:].cold.1
00000001ad5460b8 (__TEXT,__text) non-external +[LASecureIOUtils hexStringFromData:]
00000001ad54638c (__TEXT,__text) non-external +[LASecureIOUtils hexStringFromData:].cold.1
00000001ad531bf4 (__TEXT,__text) non-external +[NSDictionary(Merge) dictionaryByMerging:with:]
00000001ad531ee0 (__TEXT,__text) non-external +[PreflightCache sharedInstance]
00000001ad55826c (__TEXT,__text) non-external +[PreflightCache sharedInstance].cold.1
00000001ad537ea4 (__TEXT,__text) non-external +[PreflightCacheInvalidationSource voidInvalidationSource]
00000001ad5587e4 (__TEXT,__text) non-external +[PreflightCacheInvalidationSource voidInvalidationSource].cold.1
00000001ad536294 (__TEXT,__text) non-external +[PushButtonMonitor sharedInstance]
00000001ad558640 (__TEXT,__text) non-external +[PushButtonMonitor sharedInstance].cold.1
00000001ad538eb0 (__TEXT,__text) non-external +[Request current]
00000001ad538e30 (__TEXT,__text) non-external +[Request localRequest]
00000001ad538d10 (__TEXT,__text) non-external +[Request requestFromCurrentConnection]
00000001ad558898 (__TEXT,__text) non-external +[Request requestFromCurrentConnection].cold.1
00000001ad5588ac (__TEXT,__text) non-external +[Request requestFromCurrentConnection].cold.2
00000001ad53b590 (__TEXT,__text) non-external +[TrustedAccessoryHelper sharedInstance]
00000001ad5589bc (__TEXT,__text) non-external +[TrustedAccessoryHelper sharedInstance].cold.1
00000001ad533680 (__TEXT,__text) non-external +[WatchMonitor sharedInstance]
00000001ad55837c (__TEXT,__text) non-external +[WatchMonitor sharedInstance].cold.1
00000001ad530fc8 (__TEXT,__text) non-external -[BiometryHelper _isTrustedAccessorySupported]
00000001ad5386ec (__TEXT,__text) non-external -[BiometryLockoutInvalidationSource initWithPreflightCache:]
00000001ad5387e8 (__TEXT,__text) non-external -[BiometryLockoutInvalidationSource invalidationReason]
00000001ad53872c (__TEXT,__text) non-external -[BiometryLockoutInvalidationSource updateStatus]
00000001ad53b508 (__TEXT,__text) non-external -[Caller .cxx_destruct]
00000001ad53b4c4 (__TEXT,__text) non-external -[Caller asid]
00000001ad53b248 (__TEXT,__text) non-external -[Caller auditTokenData]
00000001ad53b4cc (__TEXT,__text) non-external -[Caller auditToken]
00000001ad53aef8 (__TEXT,__text) non-external -[Caller clientInfo]
00000001ad53b4dc (__TEXT,__text) non-external -[Caller connection]
00000001ad53b1a4 (__TEXT,__text) non-external -[Caller description]
00000001ad53b4bc (__TEXT,__text) non-external -[Caller euid]
00000001ad53b348 (__TEXT,__text) non-external -[Caller hasEntitlement:]
00000001ad53b024 (__TEXT,__text) non-external -[Caller hash]
00000001ad53ad80 (__TEXT,__text) non-external -[Caller initWithConnection:]
00000001ad53af68 (__TEXT,__text) non-external -[Caller isEqual:]
00000001ad53b064 (__TEXT,__text) non-external -[Caller isEqualToAuditToken:]
00000001ad53b0b8 (__TEXT,__text) non-external -[Caller isEqualToAuditTokenData:]
00000001ad558964 (__TEXT,__text) non-external -[Caller isEqualToAuditTokenData:].cold.1
00000001ad558978 (__TEXT,__text) non-external -[Caller isEqualToAuditTokenData:].cold.2
00000001ad53b2c8 (__TEXT,__text) non-external -[Caller path]
00000001ad53b4b4 (__TEXT,__text) non-external -[Caller pid]
00000001ad53b240 (__TEXT,__text) non-external -[Caller processId]
00000001ad53b340 (__TEXT,__text) non-external -[Caller userId]
00000001ad53c8d0 (__TEXT,__text) non-external -[DaemonUtils serverQueue]
00000001ad5384f0 (__TEXT,__text) non-external -[DarwinNotificationInvalidationSource .cxx_destruct]
00000001ad538420 (__TEXT,__text) non-external -[DarwinNotificationInvalidationSource dealloc]
00000001ad538208 (__TEXT,__text) non-external -[DarwinNotificationInvalidationSource initWithPreflightCache:notificationName:]
00000001ad5587f8 (__TEXT,__text) non-external -[DarwinNotificationInvalidationSource initWithPreflightCache:notificationName:].cold.1
00000001ad558820 (__TEXT,__text) non-external -[DarwinNotificationInvalidationSource initWithPreflightCache:notificationName:].cold.2
00000001ad538470 (__TEXT,__text) non-external -[DarwinNotificationInvalidationSource invalidationReason]
00000001ad5384e8 (__TEXT,__text) non-external -[DarwinNotificationInvalidationSource notificationName]
00000001ad53ace0 (__TEXT,__text) non-external -[DomainStateRequest .cxx_destruct]
00000001ad53aaa8 (__TEXT,__text) non-external -[DomainStateRequest clientInfo]
00000001ad53ac4c (__TEXT,__text) non-external -[DomainStateRequest client]
00000001ad53acc8 (__TEXT,__text) non-external -[DomainStateRequest contextID]
00000001ad53a9ac (__TEXT,__text) non-external -[DomainStateRequest initWithOptions:client:contextID:originatorId:]
00000001ad53acd8 (__TEXT,__text) non-external -[DomainStateRequest options]
00000001ad53acd0 (__TEXT,__text) non-external -[DomainStateRequest originatorId]
00000001ad53ac78 (__TEXT,__text) non-external -[DomainStateRequest setClient:]
00000001ad53ac84 (__TEXT,__text) non-external -[DomainStateRequest setClientInfo:]
00000001ad53ab78 (__TEXT,__text) non-external -[DomainStateRequest userID]
00000001ad53a5e8 (__TEXT,__text) non-external -[EvaluationRequest .cxx_destruct]
00000001ad53a358 (__TEXT,__text) non-external -[EvaluationRequest aclOperation]
00000001ad53a30c (__TEXT,__text) non-external -[EvaluationRequest acl]
00000001ad53a244 (__TEXT,__text) non-external -[EvaluationRequest analyticsData]
00000001ad53a504 (__TEXT,__text) non-external -[EvaluationRequest analytics]
00000001ad53a2f4 (__TEXT,__text) non-external -[EvaluationRequest callback]
00000001ad539658 (__TEXT,__text) non-external -[EvaluationRequest clientInfo]
00000001ad53a3f0 (__TEXT,__text) non-external -[EvaluationRequest client]
00000001ad53a2a0 (__TEXT,__text) non-external -[EvaluationRequest contextID]
00000001ad53a4e4 (__TEXT,__text) non-external -[EvaluationRequest customUI]
00000001ad53a4f4 (__TEXT,__text) non-external -[EvaluationRequest evaluationUserId]
00000001ad53a43c (__TEXT,__text) non-external -[EvaluationRequest externalizedContext]
00000001ad5395e4 (__TEXT,__text) non-external -[EvaluationRequest initSimulatedForBiolockoutPreflight]
00000001ad5395d8 (__TEXT,__text) non-external -[EvaluationRequest initWithAcl:operation:options:contextID:]
00000001ad5393f4 (__TEXT,__text) non-external -[EvaluationRequest initWithAcl:operation:options:uiDelegate:contextID:]
00000001ad5395cc (__TEXT,__text) non-external -[EvaluationRequest initWithPolicy:options:contextID:]
00000001ad53926c (__TEXT,__text) non-external -[EvaluationRequest initWithPolicy:options:uiDelegate:contextID:]
00000001ad539728 (__TEXT,__text) non-external -[EvaluationRequest isEventPaused:]
00000001ad53a290 (__TEXT,__text) non-external -[EvaluationRequest isImmediateSuccess]
00000001ad53a0cc (__TEXT,__text) non-external -[EvaluationRequest isInteractive]
00000001ad53a14c (__TEXT,__text) non-external -[EvaluationRequest isPurposeApplePay]
00000001ad53a1a0 (__TEXT,__text) non-external -[EvaluationRequest isPurposeInAppPayment]
00000001ad53a184 (__TEXT,__text) non-external -[EvaluationRequest isPurposeSecureUIRecording]
00000001ad53a168 (__TEXT,__text) non-external -[EvaluationRequest isPurposeUnlock]
00000001ad53a1e4 (__TEXT,__text) non-external -[EvaluationRequest isRecoveringFromBiolockout]
00000001ad53a3a4 (__TEXT,__text) non-external -[EvaluationRequest options]
00000001ad53a2ec (__TEXT,__text) non-external -[EvaluationRequest originatorId]
00000001ad53977c (__TEXT,__text) non-external -[EvaluationRequest pause:event:]
00000001ad53a550 (__TEXT,__text) non-external -[EvaluationRequest pausedEvents]
00000001ad53a59c (__TEXT,__text) non-external -[EvaluationRequest payload]
00000001ad53a2fc (__TEXT,__text) non-external -[EvaluationRequest policy]
00000001ad53a488 (__TEXT,__text) non-external -[EvaluationRequest purpose]
00000001ad5397f0 (__TEXT,__text) non-external -[EvaluationRequest resetPausedEvents]
00000001ad53a498 (__TEXT,__text) non-external -[EvaluationRequest retryingForError]
00000001ad539bb8 (__TEXT,__text) non-external -[EvaluationRequest secureIntentRequested]
00000001ad53a314 (__TEXT,__text) non-external -[EvaluationRequest setAcl:]
00000001ad53a360 (__TEXT,__text) non-external -[EvaluationRequest setAclOperation:]
00000001ad53a50c (__TEXT,__text) non-external -[EvaluationRequest setAnalytics:]
00000001ad53a24c (__TEXT,__text) non-external -[EvaluationRequest setAnalyticsData:]
00000001ad53983c (__TEXT,__text) non-external -[EvaluationRequest setCallback:]
00000001ad5397f8 (__TEXT,__text) non-external -[EvaluationRequest setClient:]
00000001ad53a3f8 (__TEXT,__text) non-external -[EvaluationRequest setClientInfo:]
00000001ad53a2a8 (__TEXT,__text) non-external -[EvaluationRequest setContextID:]
00000001ad53a4ec (__TEXT,__text) non-external -[EvaluationRequest setCustomUI:]
00000001ad53a4fc (__TEXT,__text) non-external -[EvaluationRequest setEvaluationUserId:]
00000001ad53a444 (__TEXT,__text) non-external -[EvaluationRequest setExternalizedContext:]
00000001ad53a298 (__TEXT,__text) non-external -[EvaluationRequest setImmediateSuccess:]
00000001ad53a3ac (__TEXT,__text) non-external -[EvaluationRequest setOptions:]
00000001ad539880 (__TEXT,__text) non-external -[EvaluationRequest setOriginatorId:]
00000001ad53a558 (__TEXT,__text) non-external -[EvaluationRequest setPausedEvents:]
00000001ad53a5a4 (__TEXT,__text) non-external -[EvaluationRequest setPayload:]
00000001ad53a304 (__TEXT,__text) non-external -[EvaluationRequest setPolicy:]
00000001ad53a490 (__TEXT,__text) non-external -[EvaluationRequest setPurpose:]
00000001ad53a4a0 (__TEXT,__text) non-external -[EvaluationRequest setRetryingForError:]
00000001ad539c24 (__TEXT,__text) non-external -[EvaluationRequest setSecureIntentRequested:]
00000001ad539d00 (__TEXT,__text) non-external -[EvaluationRequest shallowCopy]
00000001ad539888 (__TEXT,__text) non-external -[EvaluationRequest updateOptions:]
00000001ad53a050 (__TEXT,__text) non-external -[EvaluationRequest updatePayload:]
00000001ad537c38 (__TEXT,__text) non-external -[InstalledAppsCache appNameForPid:bundleId:]
00000001ad537dc4 (__TEXT,__text) non-external -[InstalledAppsCache binaryNameForPid:]
00000001ad537d4c (__TEXT,__text) non-external -[InstalledAppsCache bundlePathForPid:stripXPCService:]
00000001ad537ce4 (__TEXT,__text) non-external -[InstalledAppsCache pathForPid:]
00000001ad536210 (__TEXT,__text) non-external -[LAAnalytics .cxx_destruct]
00000001ad535dfc (__TEXT,__text) non-external -[LAAnalytics _collect]
00000001ad558618 (__TEXT,__text) non-external -[LAAnalytics _collect].cold.1
00000001ad5361c8 (__TEXT,__text) non-external -[LAAnalytics allowsMultipleCollections]
00000001ad536024 (__TEXT,__text) non-external -[LAAnalytics buildPayload]
00000001ad535d8c (__TEXT,__text) non-external -[LAAnalytics collectIfNeeded]
00000001ad5361b8 (__TEXT,__text) non-external -[LAAnalytics eventName]
00000001ad535d14 (__TEXT,__text) non-external -[LAAnalytics initWithEventName:]
00000001ad536044 (__TEXT,__text) non-external -[LAAnalytics instanceToReplaceWithWhenRemovedFromStorage]
00000001ad536038 (__TEXT,__text) non-external -[LAAnalytics logLevel]
00000001ad53604c (__TEXT,__text) non-external -[LAAnalytics persistInStorage:]
00000001ad5360e8 (__TEXT,__text) non-external -[LAAnalytics removeFromStorage]
00000001ad5361d0 (__TEXT,__text) non-external -[LAAnalytics setAllowsMultipleCollections:]
00000001ad536204 (__TEXT,__text) non-external -[LAAnalytics setStorage:]
00000001ad536030 (__TEXT,__text) non-external -[LAAnalytics shouldCollect]
00000001ad5361d8 (__TEXT,__text) non-external -[LAAnalytics storage]
00000001ad5361c0 (__TEXT,__text) non-external -[LAAnalytics wasSent]
00000001ad533670 (__TEXT,__text) non-external -[LAAnalyticsEvaluation .cxx_destruct]
00000001ad533104 (__TEXT,__text) non-external -[LAAnalyticsEvaluation _authenticationStartedForEvent:continuity:]
00000001ad53339c (__TEXT,__text) non-external -[LAAnalyticsEvaluation _biometryAttempt:]
00000001ad53352c (__TEXT,__text) non-external -[LAAnalyticsEvaluation _passcodeAccepted:]
00000001ad5332b4 (__TEXT,__text) non-external -[LAAnalyticsEvaluation authenticationAttempt:event:]
00000001ad533098 (__TEXT,__text) non-external -[LAAnalyticsEvaluation authenticationHasEvent:]
00000001ad533348 (__TEXT,__text) non-external -[LAAnalyticsEvaluation authenticationResult:event:]
00000001ad5330f4 (__TEXT,__text) non-external -[LAAnalyticsEvaluation authenticationStartedForEvent:]
00000001ad533650 (__TEXT,__text) non-external -[LAAnalyticsEvaluation authenticationTypes]
00000001ad5335d0 (__TEXT,__text) non-external -[LAAnalyticsEvaluation biometryAttempts]
00000001ad5335e0 (__TEXT,__text) non-external -[LAAnalyticsEvaluation biometryFailures]
00000001ad5335f0 (__TEXT,__text) non-external -[LAAnalyticsEvaluation biometryNoMatches]
00000001ad533600 (__TEXT,__text) non-external -[LAAnalyticsEvaluation biometryResult]
00000001ad5335c0 (__TEXT,__text) non-external -[LAAnalyticsEvaluation biometryStarted]
00000001ad53338c (__TEXT,__text) non-external -[LAAnalyticsEvaluation biometryType:]
00000001ad5335a0 (__TEXT,__text) non-external -[LAAnalyticsEvaluation biometryType]
00000001ad532b70 (__TEXT,__text) non-external -[LAAnalyticsEvaluation buildPayload]
00000001ad5330fc (__TEXT,__text) non-external -[LAAnalyticsEvaluation continuityAuthenticationStartedForEvent:]
00000001ad533660 (__TEXT,__text) non-external -[LAAnalyticsEvaluation continuity]
00000001ad53337c (__TEXT,__text) non-external -[LAAnalyticsEvaluation evaluationResult:]
00000001ad532a98 (__TEXT,__text) non-external -[LAAnalyticsEvaluation initWithEvaluationRequest:]
00000001ad533620 (__TEXT,__text) non-external -[LAAnalyticsEvaluation passcodeAttempts]
00000001ad533630 (__TEXT,__text) non-external -[LAAnalyticsEvaluation passcodeFailures]
00000001ad533640 (__TEXT,__text) non-external -[LAAnalyticsEvaluation passcodeResult]
00000001ad533610 (__TEXT,__text) non-external -[LAAnalyticsEvaluation passcodeStarted]
00000001ad533590 (__TEXT,__text) non-external -[LAAnalyticsEvaluation policy]
00000001ad53355c (__TEXT,__text) non-external -[LAAnalyticsEvaluation request]
00000001ad5335b0 (__TEXT,__text) non-external -[LAAnalyticsEvaluation result]
00000001ad533090 (__TEXT,__text) non-external -[LAAnalyticsEvaluation shouldCollect]
00000001ad531b1c (__TEXT,__text) non-external -[LAAnalyticsPasscodeFallbackPeriod .cxx_destruct]
00000001ad531b0c (__TEXT,__text) non-external -[LAAnalyticsPasscodeFallbackPeriod biometryAttempts]
00000001ad531320 (__TEXT,__text) non-external -[LAAnalyticsPasscodeFallbackPeriod biometrySucceededWithEvaluationRequest:]
00000001ad558208 (__TEXT,__text) non-external -[LAAnalyticsPasscodeFallbackPeriod biometrySucceededWithEvaluationRequest:].cold.1
00000001ad5316b8 (__TEXT,__text) non-external -[LAAnalyticsPasscodeFallbackPeriod buildPayload]
00000001ad531834 (__TEXT,__text) non-external -[LAAnalyticsPasscodeFallbackPeriod description]
00000001ad531104 (__TEXT,__text) non-external -[LAAnalyticsPasscodeFallbackPeriod initWithPolicyGroup:]
00000001ad5318e4 (__TEXT,__text) non-external -[LAAnalyticsPasscodeFallbackPeriod instanceToReplaceWithWhenRemovedFromStorage]
00000001ad531afc (__TEXT,__text) non-external -[LAAnalyticsPasscodeFallbackPeriod passcodeCount]
00000001ad531160 (__TEXT,__text) non-external -[LAAnalyticsPasscodeFallbackPeriod passcodePresentedWithEvaluationRequest:biometryAttempts:]
00000001ad5581a4 (__TEXT,__text) non-external -[LAAnalyticsPasscodeFallbackPeriod passcodePresentedWithEvaluationRequest:biometryAttempts:].cold.1
00000001ad53145c (__TEXT,__text) non-external -[LAAnalyticsPasscodeFallbackPeriod policies]
00000001ad5315ec (__TEXT,__text) non-external -[LAAnalyticsPasscodeFallbackPeriod policyGroupName]
00000001ad531aec (__TEXT,__text) non-external -[LAAnalyticsPasscodeFallbackPeriod policyGroup]
00000001ad5316b0 (__TEXT,__text) non-external -[LAAnalyticsPasscodeFallbackPeriod shouldCollect]
00000001ad531624 (__TEXT,__text) non-external -[LAAnalyticsPasscodeFallbackPeriod timeInterval]
00000001ad535bc0 (__TEXT,__text) non-external -[LADFROwnerToken dealloc]
00000001ad552c24 (__TEXT,__text) non-external -[LASIORemoteCall .cxx_destruct]
00000001ad552b90 (__TEXT,__text) non-external -[LASIORemoteCall callID]
00000001ad552bb8 (__TEXT,__text) non-external -[LASIORemoteCall command]
00000001ad5529fc (__TEXT,__text) non-external -[LASIORemoteCall init]
00000001ad552c18 (__TEXT,__text) non-external -[LASIORemoteCall payload]
00000001ad552bdc (__TEXT,__text) non-external -[LASIORemoteCall requestData]
00000001ad552a84 (__TEXT,__text) non-external -[LASIORemoteCall requestPayload]
00000001ad552bf0 (__TEXT,__text) non-external -[LASIORemoteCall responseData]
00000001ad552c04 (__TEXT,__text) non-external -[LASIORemoteCall responseError]
00000001ad552ba4 (__TEXT,__text) non-external -[LASIORemoteCall semaphore]
00000001ad552b9c (__TEXT,__text) non-external -[LASIORemoteCall setCallID:]
00000001ad552bc0 (__TEXT,__text) non-external -[LASIORemoteCall setCommand:]
00000001ad552be8 (__TEXT,__text) non-external -[LASIORemoteCall setRequestData:]
00000001ad552bfc (__TEXT,__text) non-external -[LASIORemoteCall setResponseData:]
00000001ad552c10 (__TEXT,__text) non-external -[LASIORemoteCall setResponseError:]
00000001ad552bb0 (__TEXT,__text) non-external -[LASIORemoteCall setSemaphore:]
00000001ad552bd4 (__TEXT,__text) non-external -[LASIORemoteCall setVersion:]
00000001ad552bc8 (__TEXT,__text) non-external -[LASIORemoteCall version]
00000001ad556dac (__TEXT,__text) non-external -[LASecureIO .cxx_destruct]
00000001ad556d74 (__TEXT,__text) non-external -[LASecureIO delegate]
00000001ad556b9c (__TEXT,__text) non-external -[LASecureIO getCurrentLanguage]
00000001ad557c08 (__TEXT,__text) non-external -[LASecureIO getCurrentLanguage].cold.1
00000001ad556980 (__TEXT,__text) non-external -[LASecureIO getLoadedSceneCountForOperation:andLanguage:]
00000001ad557a9c (__TEXT,__text) non-external -[LASecureIO getLoadedSceneCountForOperation:andLanguage:].cold.1
00000001ad557b18 (__TEXT,__text) non-external -[LASecureIO getLoadedSceneCountForOperation:andLanguage:].cold.2
00000001ad557b90 (__TEXT,__text) non-external -[LASecureIO getLoadedSceneCountForOperation:andLanguage:].cold.3
00000001ad556d64 (__TEXT,__text) non-external -[LASecureIO getSceneCountForOperation:]
00000001ad55687c (__TEXT,__text) non-external -[LASecureIO getServerSupportedVersion]
00000001ad557930 (__TEXT,__text) non-external -[LASecureIO getServerSupportedVersion].cold.1
00000001ad5579ac (__TEXT,__text) non-external -[LASecureIO getServerSupportedVersion].cold.2
00000001ad557a24 (__TEXT,__text) non-external -[LASecureIO getServerSupportedVersion].cold.3
00000001ad556054 (__TEXT,__text) non-external -[LASecureIO handleRequestCommand:version:withData:andResponse:]
00000001ad55741c (__TEXT,__text) non-external -[LASecureIO handleRequestCommand:version:withData:andResponse:].cold.1
00000001ad557494 (__TEXT,__text) non-external -[LASecureIO handleRequestCommand:version:withData:andResponse:].cold.2
00000001ad55750c (__TEXT,__text) non-external -[LASecureIO handleRequestCommand:version:withData:andResponse:].cold.3
00000001ad557584 (__TEXT,__text) non-external -[LASecureIO handleRequestCommand:version:withData:andResponse:].cold.4
00000001ad5575fc (__TEXT,__text) non-external -[LASecureIO handleRequestCommand:version:withData:andResponse:].cold.5
00000001ad555488 (__TEXT,__text) non-external -[LASecureIO init]
00000001ad556290 (__TEXT,__text) non-external -[LASecureIO loadSceneDescriptionsForOperation:]
00000001ad557668 (__TEXT,__text) non-external -[LASecureIO loadSceneDescriptionsForOperation:].cold.1
00000001ad5576e0 (__TEXT,__text) non-external -[LASecureIO loadSceneDescriptionsForOperation:].cold.2
00000001ad555e24 (__TEXT,__text) non-external -[LASecureIO postNotification:]
