00007ff80df23d02 (__TEXT,__text) non-external _Annihilate
00007ff80df1d780 (__TEXT,__text) non-external _BrotliCompressFragmentFastImpl9
00007ff80df5f294 (__TEXT,__text) non-external (was a private external) _BrotliCompressFragmentTwoPass
00007ff80df605e8 (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl10
00007ff80df60e60 (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl11
00007ff80df616d8 (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl12
00007ff80df61f50 (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl13
00007ff80df627c8 (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl14
00007ff80df63040 (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl15
00007ff80df638b8 (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl16
00007ff80df641de (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl17
00007ff80df5f4f8 (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl8
00007ff80df5fd70 (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl9
00007ff80df35cc2 (__TEXT,__text) non-external (was a private external) _BrotliConvertBitDepthsToSymbols
00007ff80df4ef88 (__TEXT,__text) non-external (was a private external) _BrotliCreateBackwardReferences
00007ff80df42132 (__TEXT,__text) non-external (was a private external) _BrotliCreateHqZopfliBackwardReferences
00007ff80df35249 (__TEXT,__text) non-external (was a private external) _BrotliCreateHuffmanTree
00007ff80df42009 (__TEXT,__text) non-external (was a private external) _BrotliCreateZopfliBackwardReferences
00007ff80df2a7a8 (__TEXT,__text) non-external (was a private external) _BrotliDecoderCreateInstance
00007ff80df2a879 (__TEXT,__text) non-external (was a private external) _BrotliDecoderDecompress
00007ff80df2a958 (__TEXT,__text) non-external (was a private external) _BrotliDecoderDecompressStream
00007ff80df2a844 (__TEXT,__text) non-external (was a private external) _BrotliDecoderDestroyInstance
00007ff80df2eaf5 (__TEXT,__text) non-external (was a private external) _BrotliDecoderErrorString
00007ff80df2eaec (__TEXT,__text) non-external (was a private external) _BrotliDecoderGetErrorCode
00007ff80df2e9cc (__TEXT,__text) non-external (was a private external) _BrotliDecoderHasMoreOutput
00007ff80df31302 (__TEXT,__text) non-external (was a private external) _BrotliDecoderHuffmanTreeGroupInit
00007ff80df2eaae (__TEXT,__text) non-external (was a private external) _BrotliDecoderIsFinished
00007ff80df2ea95 (__TEXT,__text) non-external (was a private external) _BrotliDecoderIsUsed
00007ff80df2a75c (__TEXT,__text) non-external (was a private external) _BrotliDecoderSetParameter
00007ff80df312c7 (__TEXT,__text) non-external (was a private external) _BrotliDecoderStateCleanup
00007ff80df31237 (__TEXT,__text) non-external (was a private external) _BrotliDecoderStateCleanupAfterMetablock
00007ff80df310d8 (__TEXT,__text) non-external (was a private external) _BrotliDecoderStateInit
00007ff80df311be (__TEXT,__text) non-external (was a private external) _BrotliDecoderStateMetablockBegin
00007ff80df2ea00 (__TEXT,__text) non-external (was a private external) _BrotliDecoderTakeOutput
00007ff80df2eb1c (__TEXT,__text) non-external (was a private external) _BrotliDecoderVersion
00007ff80df2a4ea (__TEXT,__text) non-external (was a private external) _BrotliDefaultAllocFunc
00007ff80df2a4f7 (__TEXT,__text) non-external (was a private external) _BrotliDefaultFreeFunc
00007ff80df24fbe (__TEXT,__text) non-external (was a private external) _BrotliDestroyBlockSplit
00007ff80df161a3 (__TEXT,__text) non-external (was a private external) _BrotliEncoderCompress
00007ff80df17e70 (__TEXT,__text) non-external (was a private external) _BrotliEncoderCompressStream
00007ff80df15f28 (__TEXT,__text) non-external (was a private external) _BrotliEncoderCreateInstance
00007ff80df16075 (__TEXT,__text) non-external (was a private external) _BrotliEncoderDestroyInstance
00007ff80df1b064 (__TEXT,__text) non-external (was a private external) _BrotliEncoderHasMoreOutput
00007ff80df18e3d (__TEXT,__text) non-external (was a private external) _BrotliEncoderIsFinished
00007ff80df16179 (__TEXT,__text) non-external (was a private external) _BrotliEncoderMaxCompressedSize
00007ff80df15e80 (__TEXT,__text) non-external (was a private external) _BrotliEncoderSetParameter
00007ff80df1b077 (__TEXT,__text) non-external (was a private external) _BrotliEncoderTakeOutput
00007ff80df1b0ed (__TEXT,__text) non-external (was a private external) _BrotliEncoderVersion
00007ff80df2d33c (__TEXT,__text) non-external _BrotliEnsureRingBuffer
00007ff80df341ba (__TEXT,__text) non-external (was a private external) _BrotliEstimateBitCostsForLiterals
00007ff80df5ceac (__TEXT,__text) non-external (was a private external) _BrotliFindAllStaticDictionaryMatches
00007ff80df23c0e (__TEXT,__text) non-external (was a private external) _BrotliFree
00007ff80df23dcc (__TEXT,__text) non-external (was a private external) _BrotliGetDictionary
00007ff80df45b50 (__TEXT,__text) non-external (was a private external) _BrotliGetTransforms
00007ff80df3bf0c (__TEXT,__text) non-external (was a private external) _BrotliHistogramBitCostDistanceCommand
00007ff80df3cc0e (__TEXT,__text) non-external (was a private external) _BrotliHistogramBitCostDistanceDistance
00007ff80df3b20a (__TEXT,__text) non-external (was a private external) _BrotliHistogramBitCostDistanceLiteral
00007ff80df3bc46 (__TEXT,__text) non-external (was a private external) _BrotliHistogramCombineCommand
00007ff80df3c948 (__TEXT,__text) non-external (was a private external) _BrotliHistogramCombineDistance
00007ff80df3af44 (__TEXT,__text) non-external (was a private external) _BrotliHistogramCombineLiteral
00007ff80df3c122 (__TEXT,__text) non-external (was a private external) _BrotliHistogramReindexCommand
00007ff80df3ce24 (__TEXT,__text) non-external (was a private external) _BrotliHistogramReindexDistance
00007ff80df3b420 (__TEXT,__text) non-external (was a private external) _BrotliHistogramReindexLiteral
00007ff80df3bf9b (__TEXT,__text) non-external (was a private external) _BrotliHistogramRemapCommand
00007ff80df3cc9d (__TEXT,__text) non-external (was a private external) _BrotliHistogramRemapDistance
00007ff80df3b299 (__TEXT,__text) non-external (was a private external) _BrotliHistogramRemapLiteral
00007ff80df2a5bc (__TEXT,__text) non-external (was a private external) _BrotliInitBitReader
00007ff80df24faa (__TEXT,__text) non-external (was a private external) _BrotliInitBlockSplit
00007ff80df681d0 (__TEXT,__text) non-external (was a private external) _BrotliInitDistanceParams
00007ff80df45aec (__TEXT,__text) non-external (was a private external) _BrotliInitEncoderDictionary
00007ff80df23ab9 (__TEXT,__text) non-external (was a private external) _BrotliInitMemoryManager
00007ff80df40113 (__TEXT,__text) non-external (was a private external) _BrotliInitZopfliNodes
00007ff80df5eb80 (__TEXT,__text) non-external (was a private external) _BrotliIsMostlyUTF8
00007ff80df69306 (__TEXT,__text) non-external (was a private external) _BrotliOptimizeHistograms
00007ff80df354cb (__TEXT,__text) non-external (was a private external) _BrotliOptimizeHuffmanCountsForRle
00007ff80df4b924 (__TEXT,__text) non-external (was a private external) _BrotliPopulationCostCommand
00007ff80df4be74 (__TEXT,__text) non-external (was a private external) _BrotliPopulationCostDistance
00007ff80df4b3e8 (__TEXT,__text) non-external (was a private external) _BrotliPopulationCostLiteral
00007ff80df8fea0 (__TEXT,__const) non-external _BrotliReverseBits.kLut
00007ff80df2a620 (__TEXT,__text) non-external (was a private external) _BrotliSafeReadBits32Slow
00007ff80df3519f (__TEXT,__text) non-external (was a private external) _BrotliSetDepth
00007ff80df23dd9 (__TEXT,__text) non-external (was a private external) _BrotliSetDictionaryData
00007ff80df24ff9 (__TEXT,__text) non-external (was a private external) _BrotliSplitBlock
00007ff80df46f4a (__TEXT,__text) non-external (was a private external) _BrotliStoreHuffmanTree
00007ff80dfc43f8 (__TEXT,__const) non-external _BrotliStoreHuffmanTreeOfHuffmanTreeToBitMask.kHuffmanBitLengthHuffmanCodeBitLengths
00007ff80dfc43f2 (__TEXT,__const) non-external _BrotliStoreHuffmanTreeOfHuffmanTreeToBitMask.kHuffmanBitLengthHuffmanCodeSymbols
00007ff80dfc43e0 (__TEXT,__const) non-external _BrotliStoreHuffmanTreeOfHuffmanTreeToBitMask.kStorageOrder
00007ff80df47969 (__TEXT,__text) non-external (was a private external) _BrotliStoreMetaBlock
00007ff80df4a005 (__TEXT,__text) non-external (was a private external) _BrotliStoreMetaBlockFast
00007ff80df23378 (__TEXT,__text) non-external _BrotliStoreMetaBlockHeader
00007ff80df64d55 (__TEXT,__text) non-external _BrotliStoreMetaBlockHeader
00007ff80df4965a (__TEXT,__text) non-external (was a private external) _BrotliStoreMetaBlockTrivial
00007ff80df4a40f (__TEXT,__text) non-external (was a private external) _BrotliStoreUncompressedMetaBlock
00007ff80df45b5d (__TEXT,__text) non-external (was a private external) _BrotliTransformDictionaryWord
00007ff80df2a5d0 (__TEXT,__text) non-external (was a private external) _BrotliWarmupBitReader
00007ff80df23c53 (__TEXT,__text) non-external (was a private external) _BrotliWipeOutMemoryManager
00007ff80df358bb (__TEXT,__text) non-external (was a private external) _BrotliWriteHuffmanTree
00007ff80df40468 (__TEXT,__text) non-external (was a private external) _BrotliZopfliComputeShortestPath
00007ff80df40136 (__TEXT,__text) non-external (was a private external) _BrotliZopfliCreateCommands
00007ff80df485c4 (__TEXT,__text) non-external _BuildAndStoreBlockSwitchEntropyCodes
00007ff80df23887 (__TEXT,__text) non-external _BuildAndStoreCommandPrefixCode
00007ff80df49996 (__TEXT,__text) non-external _BuildAndStoreHuffmanTree
00007ff80df2342e (__TEXT,__text) non-external _BuildAndStoreLiteralPrefixCode
00007ff80df498ce (__TEXT,__text) non-external _BuildHistograms
00007ff80df6fdd0 (__TEXT,__const) non-external _ChooseContextMap.kStaticContextMapContinuation
00007ff80df6fed0 (__TEXT,__const) non-external _ChooseContextMap.kStaticContextMapSimpleUTF8
00007ff80df1b0f8 (__TEXT,__text) non-external _ChooseDistanceParams
00007ff80df23b4a (__TEXT,__text) non-external _CollectGarbagePointers
00007ff80df68ab9 (__TEXT,__text) non-external _ComputeDistanceCost
00007ff80df41f94 (__TEXT,__text) non-external _ComputeShortestPathFromNodes
00007ff80df6a24b (__TEXT,__text) non-external _ContextBlockSplitterFinishBlock
00007ff80df2cd48 (__TEXT,__text) non-external _CopyUncompressedBlockToOutput
00007ff80df4f14c (__TEXT,__text) non-external _CreateBackwardReferencesNH2
00007ff80df500a6 (__TEXT,__text) non-external _CreateBackwardReferencesNH3
00007ff80df59564 (__TEXT,__text) non-external _CreateBackwardReferencesNH35
00007ff80df50d7e (__TEXT,__text) non-external _CreateBackwardReferencesNH4
00007ff80df54953 (__TEXT,__text) non-external _CreateBackwardReferencesNH40
00007ff80df55de1 (__TEXT,__text) non-external _CreateBackwardReferencesNH41
00007ff80df572b6 (__TEXT,__text) non-external _CreateBackwardReferencesNH42
00007ff80df51eab (__TEXT,__text) non-external _CreateBackwardReferencesNH5
00007ff80df58816 (__TEXT,__text) non-external _CreateBackwardReferencesNH54
00007ff80df5a51c (__TEXT,__text) non-external _CreateBackwardReferencesNH55
00007ff80df533b0 (__TEXT,__text) non-external _CreateBackwardReferencesNH6
00007ff80df5b568 (__TEXT,__text) non-external _CreateBackwardReferencesNH65
00007ff80df1c364 (__TEXT,__text) non-external _DecideOverLiteralContextModeling
00007ff80df6fcc0 (__TEXT,__const) non-external _DecideOverLiteralContextModeling.lut
00007ff80df2f120 (__TEXT,__text) non-external _DecodeCommandBlockSwitch
00007ff80df2cec2 (__TEXT,__text) non-external _DecodeContextMap
00007ff80df2fc7f (__TEXT,__text) non-external _DecodeDistanceBlockSwitch
00007ff80df2f6d9 (__TEXT,__text) non-external _DecodeLiteralBlockSwitch
00007ff80df2bb61 (__TEXT,__text) non-external _DecodeMetaBlockLength
00007ff80df2c12e (__TEXT,__text) non-external _DecodeVarLenUint8
00007ff80df232f8 (__TEXT,__text) non-external _EmitUncompressedMetaBlock
00007ff80df48af3 (__TEXT,__text) non-external _EncodeContextMap
00007ff80df18f6e (__TEXT,__text) non-external _EncodeData
00007ff80df41db9 (__TEXT,__text) non-external _EvaluateNode
00007ff80df1bc1a (__TEXT,__text) non-external _ExtendLastCommand
00007ff80df8ff70 (__TEXT,__const) non-external _FSE_mask_lsb64.mtable
00007ff80dfcd8d0 (__TEXT,__const) non-external _FSE_mask_lsb64.mtable
00007ff80dfe63e0 (__TEXT,__const) non-external _FSE_mask_lsb64.mtable
00007ff80df1ba5f (__TEXT,__text) non-external _GetBrotliStorage
00007ff80df1bad3 (__TEXT,__text) non-external _GetHashTable
00007ff80df695d4 (__TEXT,__text) non-external _InitBlockSplitterCommand
00007ff80df6978f (__TEXT,__text) non-external _InitBlockSplitterDistance
00007ff80df69419 (__TEXT,__text) non-external _InitBlockSplitterLiteral
00007ff80df6fbc0 (__TEXT,__const) non-external _InitCommandPrefixCodes.kDefaultCommandBits
00007ff80dfe6880 (__TEXT,__cstring) non-external _InitCommandPrefixCodes.kDefaultCommandCode
00007ff80df6fb40 (__TEXT,__const) non-external _InitCommandPrefixCodes.kDefaultCommandDepths
00007ff80df41353 (__TEXT,__text) non-external _InitZopfliCostModel
00007ff80df1b3b7 (__TEXT,__text) non-external _InitializeH6
00007ff80df18e5b (__TEXT,__text) non-external _InjectFlushOrPushOutput
00007ff80df2ebcb (__TEXT,__text) non-external _InverseMoveToFrontTransform
00007ff80df36fa4 (__TEXT,__text) non-external _LZFSEIBootBufferCopy
00007ff80df36f56 (__TEXT,__text) non-external _LZFSEIBootBufferPush
00007ff80df36e7b (__TEXT,__text) non-external _LZFSEIBootBufferPushN
00007ff80df6be9d (__TEXT,__text) non-external _MapStaticContexts
00007ff80df1b775 (__TEXT,__text) non-external _PrepareH35
00007ff80df1b41e (__TEXT,__text) non-external _PrepareH4
00007ff80df1b542 (__TEXT,__text) non-external _PrepareH40
00007ff80df1b5d8 (__TEXT,__text) non-external _PrepareH41
00007ff80df1b66e (__TEXT,__text) non-external _PrepareH42
00007ff80df1b485 (__TEXT,__text) non-external _PrepareH5
00007ff80df1b70e (__TEXT,__text) non-external _PrepareH54
00007ff80df1b877 (__TEXT,__text) non-external _PrepareH55
00007ff80df1b4d9 (__TEXT,__text) non-external _PrepareH6
00007ff80df1b929 (__TEXT,__text) non-external _PrepareH65
00007ff80df2d3e1 (__TEXT,__text) non-external _ProcessCommands
00007ff80df2c2e9 (__TEXT,__text) non-external _ReadHuffmanCode
00007ff80df2edbc (__TEXT,__text) non-external _SafeDecodeCommandBlockSwitch
00007ff80df2f90c (__TEXT,__text) non-external _SafeDecodeDistanceBlockSwitch
00007ff80df2f308 (__TEXT,__text) non-external _SafeDecodeLiteralBlockSwitch
00007ff80df2eb27 (__TEXT,__text) non-external _SafeDecodeSymbol
00007ff80df2de78 (__TEXT,__text) non-external _SafeProcessCommands
00007ff80df2ba18 (__TEXT,__text) non-external _SaveErrorCode
00007ff80df435bb (__TEXT,__text) non-external _SetCost
00007ff80df45d7e (__TEXT,__text) non-external _Shift
00007ff80df1b13e (__TEXT,__text) non-external _ShouldCompress
00007ff80df64b04 (__TEXT,__text) non-external _ShouldCompress
00007ff80df2366c (__TEXT,__text) non-external _ShouldMergeBlock
00007ff80df6fcd0 (__TEXT,__const) non-external _ShouldUseComplexStaticContextMap.kStaticContextMapComplexUTF8
00007ff80df23c8e (__TEXT,__text) non-external _SortPointers
00007ff80df702a0 (__TEXT,__const) non-external _SortPointers.gaps
00007ff80df64e0b (__TEXT,__text) non-external _StoreCommands
00007ff80dfc5160 (__TEXT,__const) non-external _StoreCommands.kInsertOffset
00007ff80dfc4f60 (__TEXT,__const) non-external _StoreCommands.kNumExtraBits
00007ff80df4847d (__TEXT,__text) non-external _StoreCompressedMetaBlockHeader
00007ff80df49d2d (__TEXT,__text) non-external _StoreDataWithHuffmanCodes
00007ff80df492d7 (__TEXT,__text) non-external _StoreSymbol
00007ff80df4948f (__TEXT,__text) non-external _StoreSymbolWithContext
00007ff80df488a8 (__TEXT,__text) non-external _StoreTrivialContextMap
00007ff80df4a58e (__TEXT,__text) non-external _StoreVarLenUint8
00007ff80df23804 (__TEXT,__text) non-external _UpdateBits
00007ff80df1bbaa (__TEXT,__text) non-external _UpdateLastProcessedPos
00007ff80df4150f (__TEXT,__text) non-external _UpdateNodes
00007ff80df2e998 (__TEXT,__text) non-external _WrapRingBuffer
00007ff80df1be94 (__TEXT,__text) non-external _WriteMetaBlockInternal
00007ff80df2ba2c (__TEXT,__text) non-external _WriteRingBuffer
00007ff80df413c5 (__TEXT,__text) non-external _ZopfliCostModelSetFromLiteralCosts
                 (undefined) external __NSConcreteStackBlock (from libSystem)
00007ff80df904e0 (__TEXT,__const) non-external __ZL22lzma_copy_with_patternPhjj.repeat_off
00007ff80df903f0 (__TEXT,__const) non-external __ZL22lzma_copy_with_patternPhjj.repeat_perm
00007ff842401160 (__DATA,__const) non-external ___block_descriptor_tmp
                 (undefined) external ___bzero (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
00007ff80df32a8f (__TEXT,__text) non-external ___yzip_jobs_process_block_invoke
00007ff80dfcc2b0 (__TEXT,__const) non-external (was a private external) __dist_code
00007ff80dfc4740 (__TEXT,__const) non-external (was a private external) __kBrotliContextLookupTable
00007ff80df6ffe0 (__TEXT,__const) non-external (was a private external) __kBrotliPrefixCodeRanges
00007ff80dfcc4b0 (__TEXT,__const) non-external (was a private external) __length_code
00007ff80df67f05 (__TEXT,__text) non-external (was a private external) __tr_align
00007ff80df0e883 (__TEXT,__text) non-external (was a private external) __tr_flush_block
00007ff80df0cc43 (__TEXT,__text) non-external (was a private external) __tr_init
00007ff80df67ddc (__TEXT,__text) non-external (was a private external) __tr_stored_block
00007ff80df68135 (__TEXT,__text) non-external (was a private external) __tr_tally
00007ff80df0cb04 (__TEXT,__text) non-external (was a private external) _adler32
00007ff80df15970 (__TEXT,__text) non-external (was a private external) _adler32_vec
00007ff80dfccca0 (__TEXT,__const) non-external _base_dist
00007ff80dfccc20 (__TEXT,__const) non-external _base_length
00007ff80df680b3 (__TEXT,__text) non-external _bi_flush
00007ff80df101c0 (__TEXT,__text) non-external _bi_windup
00007ff80dfccc00 (__TEXT,__const) non-external _bl_order
00007ff80dfc44c0 (__TEXT,__const) non-external _breverse.brev8
00007ff80df66021 (__TEXT,__text) non-external (was a private external) _brotli_decode_buffer
00007ff80df66056 (__TEXT,__text) non-external (was a private external) _brotli_encode_buffer
00007ff80df6620d (__TEXT,__text) non-external (was a private external) _brotli_stream_end
00007ff80df66137 (__TEXT,__text) non-external (was a private external) _brotli_stream_init
00007ff80df66092 (__TEXT,__text) non-external (was a private external) _brotli_stream_process
00007ff80df0f227 (__TEXT,__text) non-external _build_tree
                 (undefined) external _calloc (from libSystem)
                 (undefined) external _close (from libSystem)
00007ff80df65faa (__TEXT,__text) non-external (was a private external) _codecGetFooterID
00007ff80df655c6 (__TEXT,__text) non-external (was a private external) _codecReadHeader
00007ff80df65f32 (__TEXT,__text) non-external (was a private external) _codecResetModel
00007ff80df65a98 (__TEXT,__text) non-external (was a private external) _codecWriteHeader
00007ff80df0fdb2 (__TEXT,__text) non-external _compress_block
00007ff80df12049 (__TEXT,__text) external _compression_decode_buffer
00007ff80df11f45 (__TEXT,__text) external _compression_decode_scratch_buffer_size
00007ff80df5eee5 (__TEXT,__text) external _compression_encode_buffer
00007ff80df5ed93 (__TEXT,__text) external _compression_encode_scratch_buffer_size
00007ff80df10380 (__TEXT,__text) external _compression_stream_destroy
00007ff80df340c8 (__TEXT,__text) external _compression_stream_get_decode_state_size
00007ff80df34072 (__TEXT,__text) external _compression_stream_get_encode_state_size
00007ff80df3402a (__TEXT,__text) external _compression_stream_get_state_size
00007ff80df33fa8 (__TEXT,__text) external _compression_stream_identify_algorithm
00007ff80df0c540 (__TEXT,__text) external _compression_stream_init
00007ff80df33f5b (__TEXT,__text) external _compression_stream_init_with_state_buffer
00007ff80df3411e (__TEXT,__text) external _compression_stream_is_state_valid
00007ff80df0d177 (__TEXT,__text) external _compression_stream_process
00007ff80df1278f (__TEXT,__text) external _compression_stream_reinit
00007ff8424019d0 (__DATA,__const) non-external _configuration_table
00007ff80df3a951 (__TEXT,__text) non-external _convert_row_16to8
00007ff80df3a8ec (__TEXT,__text) non-external _convert_row_8to16
00007ff80df3a67f (__TEXT,__text) non-external _convert_row_GUVAtoRGBA8888
00007ff80df3a18c (__TEXT,__text) non-external _convert_row_GUVtoRGB888
00007ff80df3ac13 (__TEXT,__text) non-external _convert_row_PlanarRGtoRG
00007ff80df3a9c7 (__TEXT,__text) non-external _convert_row_RG88toRG
00007ff80df39f6d (__TEXT,__text) non-external _convert_row_RGB888toGUV
00007ff80df3a3c5 (__TEXT,__text) non-external _convert_row_RGBA8888toGUVA
00007ff80df3ab25 (__TEXT,__text) non-external _convert_row_RGtoPlanarRG
00007ff80df3aa75 (__TEXT,__text) non-external _convert_row_RGtoRG88
00007ff80df3a9ba (__TEXT,__text) non-external _convert_row_copy16
00007ff80df3938a (__TEXT,__text) non-external (was a private external) _convert_row_to_lsb
00007ff80df39330 (__TEXT,__text) non-external (was a private external) _convert_row_to_msb
00007ff80df39ce0 (__TEXT,__text) non-external _convert_rows_from_bayer16
00007ff80df39aac (__TEXT,__text) non-external _convert_rows_from_bayer8
00007ff80df394ec (__TEXT,__text) non-external _convert_rows_from_quadra8
00007ff80df39e46 (__TEXT,__text) non-external _convert_rows_to_bayer16
00007ff80df39bc9 (__TEXT,__text) non-external _convert_rows_to_bayer8
00007ff80df397dd (__TEXT,__text) non-external _convert_rows_to_quadra8
00007ff80df4d39d (__TEXT,__text) external _cosmix_codec_decode
00007ff80df4ca37 (__TEXT,__text) external _cosmix_codec_encode
00007ff80df4d2b9 (__TEXT,__text) external _cosmix_codec_get_decoded_size
00007ff80df4de44 (__TEXT,__text) external _cosmix_codec_get_id
00007ff80df4dcb8 (__TEXT,__text) external _cosmix_codec_map
00007ff80df4ddfc (__TEXT,__text) external _cosmix_codec_unmap
00007ff80df4d8e4 (__TEXT,__text) external _cosmix_model_create
00007ff80df4da03 (__TEXT,__text) external _cosmix_model_destroy
00007ff80df4da2c (__TEXT,__text) external _cosmix_model_save_codec
00007ff80df4c3c4 (__TEXT,__text) external _cosmix_model_update
00007ff80df6529a (__TEXT,__text) non-external (was a private external) _crc32
00007ff80dfcdb80 (__TEXT,__const) non-external _crc32_lut4
00007ff80dfc51c0 (__TEXT,__const) non-external _crc_table
00007ff80df37ac3 (__TEXT,__text) non-external _create_rectangle_within_image
00007ff80df2a504 (__TEXT,__text) non-external (was a private external) _create_thread
00007ff80df0d58f (__TEXT,__text) non-external (was a private external) _deflate
00007ff80df6db21 (__TEXT,__text) non-external (was a private external) _deflateBound
00007ff80df6e0f1 (__TEXT,__text) non-external (was a private external) _deflateCopy
00007ff80df10295 (__TEXT,__text) non-external (was a private external) _deflateEnd
00007ff80df0c706 (__TEXT,__text) non-external (was a private external) _deflateInit2_
00007ff80df6d842 (__TEXT,__text) non-external (was a private external) _deflateInit_
00007ff80df6da04 (__TEXT,__text) non-external (was a private external) _deflateParams
00007ff80df6d9cf (__TEXT,__text) non-external (was a private external) _deflatePrime
00007ff80df0c9bd (__TEXT,__text) non-external (was a private external) _deflateReset
00007ff80df6d86c (__TEXT,__text) non-external (was a private external) _deflateSetDictionary
00007ff80df6d9aa (__TEXT,__text) non-external (was a private external) _deflateSetHeader
00007ff80df6daed (__TEXT,__text) non-external (was a private external) _deflateTune
00007ff80dfcdb20 (__TEXT,__const) non-external (was a private external) _deflate_copyright
00007ff80df6e4ac (__TEXT,__text) non-external _deflate_fast
00007ff80df6dc2e (__TEXT,__text) non-external _deflate_huff
00007ff80df6dda8 (__TEXT,__text) non-external _deflate_rle
00007ff80df0df77 (__TEXT,__text) non-external _deflate_slow
00007ff80df6e2e6 (__TEXT,__text) non-external _deflate_stored
                 (undefined) external _dispatch_apply (from libSystem)
00007ff80df46891 (__TEXT,__text) non-external _emitMatch
00007ff80dfccbb0 (__TEXT,__const) non-external _extra_blbits
00007ff80dfccb30 (__TEXT,__const) non-external _extra_dbits
00007ff80dfccab0 (__TEXT,__const) non-external _extra_lbits
                 (undefined) external _fclose (from libSystem)
00007ff80df0e455 (__TEXT,__text) non-external _fill_window
00007ff80df10231 (__TEXT,__text) non-external _flush_pending
                 (undefined) external _fopen (from libSystem)
                 (undefined) external _free (from libSystem)
00007ff80df6d7f6 (__TEXT,__text) non-external _fse_adjust_freqs
                 (undefined) external _fwrite (from libSystem)
00007ff80dfcd7d0 (__TEXT,__const) non-external _getDSymbolFromValue.sym
00007ff80dfccd50 (__TEXT,__const) non-external _getLSymbolFromValue.sym
00007ff80dfcce90 (__TEXT,__const) non-external _getMSymbolFromValue.sym
00007ff80df393e4 (__TEXT,__text) non-external (was a private external) _get_conversion_set
00007ff80df6528d (__TEXT,__text) non-external (was a private external) _get_crc_table
00007ff80df3dd7e (__TEXT,__text) non-external (was a private external) _get_default_nthreads
00007ff80df37207 (__TEXT,__text) non-external _get_format_bits
00007ff80df37061 (__TEXT,__text) non-external (was a private external) _get_format_bytes_per_pixel
00007ff80df37082 (__TEXT,__text) non-external (was a private external) _get_format_components
00007ff80df370fc (__TEXT,__text) non-external (was a private external) _get_format_convert_at_once
00007ff80df373b1 (__TEXT,__text) non-external _get_format_plane_count
00007ff80df3711d (__TEXT,__text) non-external (was a private external) _get_format_process_at_once
00007ff80df31930 (__TEXT,__text) non-external (was a private external) _get_max_payload_size
00007ff80df3196b (__TEXT,__text) non-external (was a private external) _get_plane_max_rice_size
00007ff80df319ac (__TEXT,__text) non-external (was a private external) _get_pool_size
