00007ff8128099a5 (__TEXT,__const) non-external _KW_ANY
00007ff8127f1e44 (__TEXT,__text) external _XML_SetEndElementHandler
00007ff8127f1f87 (__TEXT,__text) external _XML_SetEndNamespaceDeclHandler
00007ff8127f2025 (__TEXT,__text) external _XML_SetEntityDeclHandler
00007ff8127f1fab (__TEXT,__text) external _XML_SetExternalEntityRefHandler
00007ff8127f1fbd (__TEXT,__text) external _XML_SetExternalEntityRefHandlerArg
00007ff8127f2071 (__TEXT,__text) external _XML_SetHashSalt
00007ff8127f1f5c (__TEXT,__text) external _XML_SetNamespaceDeclHandler
00007ff8127f1f99 (__TEXT,__text) external _XML_SetNotStandaloneHandler
00007ff8127f1f4a (__TEXT,__text) external _XML_SetNotationDeclHandler
00007ff8127f2049 (__TEXT,__text) external _XML_SetParamEntityParsing
00007ff8127f1e68 (__TEXT,__text) external _XML_SetProcessingInstructionHandler
00007ff8127f2bc0 (__TEXT,__text) external _XML_SetReparseDeferralEnabled
00007ff8127f1cf3 (__TEXT,__text) external _XML_SetReturnNSTriplet
00007ff8127f1fd6 (__TEXT,__text) external _XML_SetSkippedEntityHandler
00007ff8127f1ea5 (__TEXT,__text) external _XML_SetStartCdataSectionHandler
00007ff8127f1f14 (__TEXT,__text) external _XML_SetStartDoctypeDeclHandler
00007ff8127f1e35 (__TEXT,__text) external _XML_SetStartElementHandler
00007ff8127f1f75 (__TEXT,__text) external _XML_SetStartNamespaceDeclHandler
00007ff8127f1fe8 (__TEXT,__text) external _XML_SetUnknownEncodingHandler
00007ff8127f1f38 (__TEXT,__text) external _XML_SetUnparsedEntityDeclHandler
00007ff8127f1d16 (__TEXT,__text) external _XML_SetUserData
00007ff8127f2037 (__TEXT,__text) external _XML_SetXmlDeclHandler
00007ff8127f26bf (__TEXT,__text) external _XML_StopParser
00007ff8128091f1 (__TEXT,__text) non-external _XML_StopParser.cold.1
00007ff8127f1cc2 (__TEXT,__text) external _XML_UseForeignDTD
00007ff8127f1cb3 (__TEXT,__text) external _XML_UseParserAsHandlerArg
00007ff8127fc777 (__TEXT,__text) non-external (was a private external) _XmlGetUtf16InternalEncoding
00007ff8127fccaa (__TEXT,__text) non-external (was a private external) _XmlGetUtf16InternalEncodingNS
00007ff8127fc76a (__TEXT,__text) non-external (was a private external) _XmlGetUtf8InternalEncoding
00007ff8127fcc9d (__TEXT,__text) non-external (was a private external) _XmlGetUtf8InternalEncodingNS
00007ff8127fc784 (__TEXT,__text) non-external (was a private external) _XmlInitEncoding
00007ff8127fccb7 (__TEXT,__text) non-external (was a private external) _XmlInitEncodingNS
00007ff8127fc1fa (__TEXT,__text) non-external (was a private external) _XmlInitUnknownEncoding
00007ff8127fce97 (__TEXT,__text) non-external (was a private external) _XmlInitUnknownEncodingNS
00007ff8127fc87f (__TEXT,__text) non-external (was a private external) _XmlParseXmlDecl
00007ff8127fcd51 (__TEXT,__text) non-external (was a private external) _XmlParseXmlDeclNS
00007ff8127fa898 (__TEXT,__text) non-external (was a private external) _XmlPrologStateInit
00007ff8127fa97c (__TEXT,__text) non-external (was a private external) _XmlPrologStateInitExternalEntity
00007ff8127fc1ef (__TEXT,__text) non-external (was a private external) _XmlSizeOfUnknownEncoding
00007ff8127fc1a3 (__TEXT,__text) non-external (was a private external) _XmlUtf16Encode
00007ff8127fc0e5 (__TEXT,__text) non-external (was a private external) _XmlUtf8Encode
00007ff8127fc050 (__TEXT,__text) non-external (was a private external) __INTERNAL_trim_to_complete_utf8_characters
                 (undefined) external ___assert_rtn (from libSystem)
                 (undefined) external ___bzero (from libSystem)
                 (undefined) external ___error (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
00007ff8127f4f68 (__TEXT,__text) non-external _accountingDiffTolerated
00007ff81280927d (__TEXT,__text) non-external _accountingDiffTolerated.cold.1
00007ff8127f678f (__TEXT,__text) non-external _accountingGetCurrentAmplification
00007ff8128092c3 (__TEXT,__text) non-external _accountingGetCurrentAmplification.cold.1
00007ff8127f6828 (__TEXT,__text) non-external _accountingReportStats
00007ff8127f91d0 (__TEXT,__text) non-external _addBinding
00007ff81280ae30 (__TEXT,__cstring) non-external _addBinding.xmlNamespace
00007ff81280ae60 (__TEXT,__cstring) non-external _addBinding.xmlnsNamespace
00007ff8127f968a (__TEXT,__text) non-external _appendAttributeValue
                 (undefined) external _arc4random_buf (from libSystem)
00007ff84157b6d8 (__DATA_CONST,__const) non-external _ascii_encoding
00007ff84157c028 (__DATA_CONST,__const) non-external _ascii_encoding_ns
00007ff812804f30 (__TEXT,__text) non-external _ascii_toUtf8
00007ff8127fae8d (__TEXT,__text) non-external _attlist0
00007ff8127fb589 (__TEXT,__text) non-external _attlist1
00007ff8127fb5f9 (__TEXT,__text) non-external _attlist2
00007ff812809938 (__TEXT,__const) non-external _attlist2.types.rel
00007ff8127fb82a (__TEXT,__text) non-external _attlist3
00007ff8127fb958 (__TEXT,__text) non-external _attlist4
00007ff8127fb7e4 (__TEXT,__text) non-external _attlist5
00007ff8127fb8be (__TEXT,__text) non-external _attlist6
00007ff8127fb904 (__TEXT,__text) non-external _attlist7
00007ff8127fb6f1 (__TEXT,__text) non-external _attlist8
00007ff8127fb878 (__TEXT,__text) non-external _attlist9
00007ff8128068dc (__TEXT,__text) non-external _big2_attributeValueTok
00007ff8128064a8 (__TEXT,__text) non-external _big2_cdataSectionTok
00007ff812807038 (__TEXT,__text) non-external _big2_charRefNumber
00007ff812808340 (__TEXT,__text) non-external _big2_checkPiTarget
00007ff8128057d0 (__TEXT,__text) non-external _big2_contentTok
00007ff84157b338 (__DATA_CONST,__const) non-external _big2_encoding
00007ff84157bc88 (__DATA_CONST,__const) non-external _big2_encoding_ns
00007ff812806a14 (__TEXT,__text) non-external _big2_entityValueTok
00007ff812806c55 (__TEXT,__text) non-external _big2_getAtts
00007ff812806730 (__TEXT,__text) non-external _big2_ignoreSectionTok
00007ff8128072cc (__TEXT,__text) non-external _big2_isPublicId
00007ff812806b8d (__TEXT,__text) non-external _big2_nameLength
00007ff812806b48 (__TEXT,__text) non-external _big2_nameMatchesAscii
00007ff812807103 (__TEXT,__text) non-external _big2_predefinedEntityName
00007ff812804f65 (__TEXT,__text) non-external _big2_prologTok
00007ff812808740 (__TEXT,__text) non-external _big2_scanAtts
00007ff81280a0f3 (__TEXT,__const) non-external _big2_scanCdataSection.CDATA_LSQB
00007ff8128081d8 (__TEXT,__text) non-external _big2_scanComment
00007ff8128076c8 (__TEXT,__text) non-external _big2_scanDecl
00007ff812807588 (__TEXT,__text) non-external _big2_scanLit
00007ff812807ccc (__TEXT,__text) non-external _big2_scanPercent
00007ff81280780c (__TEXT,__text) non-external _big2_scanPi
00007ff812807f58 (__TEXT,__text) non-external _big2_scanPoundName
00007ff8128083ba (__TEXT,__text) non-external _big2_scanRef
00007ff812806c19 (__TEXT,__text) non-external _big2_skipS
00007ff812807518 (__TEXT,__text) non-external _big2_toUtf16
00007ff812807353 (__TEXT,__text) non-external _big2_toUtf8
00007ff8128071ee (__TEXT,__text) non-external _big2_updatePosition
00007ff8127f25b5 (__TEXT,__text) non-external _callProcessor
00007ff8127f8ff0 (__TEXT,__text) non-external _cdataSectionProcessor
00007ff8127fc4cd (__TEXT,__text) non-external _checkCharRefNumber
00007ff8127fb2ff (__TEXT,__text) non-external _condSect0
00007ff8127fb3a2 (__TEXT,__text) non-external _condSect1
00007ff8127fb3e2 (__TEXT,__text) non-external _condSect2
00007ff8127f58a4 (__TEXT,__text) non-external _contentProcessor
00007ff8127fa673 (__TEXT,__text) non-external _copyEntityTable
00007ff8127f0f2d (__TEXT,__text) non-external _copyString
00007ff8127fb202 (__TEXT,__text) non-external _declClose
00007ff8127f5c4e (__TEXT,__text) non-external _defineAttribute
00007ff8127f8d14 (__TEXT,__text) non-external _doCdataSection
00007ff8127f6b30 (__TEXT,__text) non-external _doContent
00007ff8127f6113 (__TEXT,__text) non-external _doIgnoreSection
00007ff8127fc8c0 (__TEXT,__text) non-external _doParseXmlDecl
00007ff8127f2ed6 (__TEXT,__text) non-external _doProlog
00007ff8128093d5 (__TEXT,__const) non-external _doProlog.atypeCDATA
00007ff8128093f2 (__TEXT,__const) non-external _doProlog.atypeENTITIES
00007ff8128093eb (__TEXT,__const) non-external _doProlog.atypeENTITY
00007ff8128093db (__TEXT,__const) non-external _doProlog.atypeID
00007ff8128093de (__TEXT,__const) non-external _doProlog.atypeIDREF
00007ff8128093e4 (__TEXT,__const) non-external _doProlog.atypeIDREFS
00007ff8128093fb (__TEXT,__const) non-external _doProlog.atypeNMTOKEN
00007ff812809403 (__TEXT,__const) non-external _doProlog.atypeNMTOKENS
00007ff812809237 (__TEXT,__text) non-external _doProlog.cold.1
00007ff81280925a (__TEXT,__text) non-external _doProlog.cold.2
00007ff81280ad18 (__TEXT,__cstring) non-external _doProlog.enumValueSep
00007ff81280ad1a (__TEXT,__cstring) non-external _doProlog.enumValueStart
00007ff81280ad0e (__TEXT,__cstring) non-external _doProlog.notationPrefix
00007ff8127faa74 (__TEXT,__text) non-external _doctype0
00007ff8127faac7 (__TEXT,__text) non-external _doctype1
00007ff8127fadee (__TEXT,__text) non-external _doctype2
00007ff8127fada8 (__TEXT,__text) non-external _doctype3
00007ff8127fbff4 (__TEXT,__text) non-external _doctype4
00007ff8127faf64 (__TEXT,__text) non-external _doctype5
00007ff8127faed8 (__TEXT,__text) non-external _element0
00007ff8127fb9ac (__TEXT,__text) non-external _element1
00007ff8127fba7a (__TEXT,__text) non-external _element2
00007ff8127fbb7c (__TEXT,__text) non-external _element3
00007ff8127fbd9c (__TEXT,__text) non-external _element4
00007ff8127fbde7 (__TEXT,__text) non-external _element5
00007ff8127fbbfb (__TEXT,__text) non-external _element6
00007ff8127fbccc (__TEXT,__text) non-external _element7
00007ff84157b130 (__DATA_CONST,__const) non-external _encodings
00007ff84157b8b0 (__DATA_CONST,__const) non-external _encodingsNS
00007ff8127fae34 (__TEXT,__text) non-external _entity0
00007ff8127fafaa (__TEXT,__text) non-external _entity1
00007ff8127fb24f (__TEXT,__text) non-external _entity10
00007ff8127faff0 (__TEXT,__text) non-external _entity2
00007ff8127fb46b (__TEXT,__text) non-external _entity3
00007ff8127fb425 (__TEXT,__text) non-external _entity4
00007ff8127fb4b1 (__TEXT,__text) non-external _entity5
00007ff8127fb53b (__TEXT,__text) non-external _entity6
00007ff8127fb0b3 (__TEXT,__text) non-external _entity7
00007ff8127fb1bc (__TEXT,__text) non-external _entity8
00007ff8127fb176 (__TEXT,__text) non-external _entity9
00007ff8127f6523 (__TEXT,__text) non-external _entityTrackingOnOpen
00007ff8127fa033 (__TEXT,__text) non-external _entityTrackingReportStats
00007ff812809309 (__TEXT,__text) non-external _entityTrackingReportStats.cold.1
00007ff8127fa308 (__TEXT,__text) non-external _entityValueInitProcessor
00007ff8127fa592 (__TEXT,__text) non-external _entityValueProcessor
00007ff8127f8b04 (__TEXT,__text) non-external _epilogProcessor
00007ff8127faabf (__TEXT,__text) non-external _error
00007ff8127f26b3 (__TEXT,__text) non-external _errorProcessor
00007ff8127f9628 (__TEXT,__text) non-external _externalEntityContentProcessor
00007ff8127f1b8b (__TEXT,__text) non-external _externalEntityInitProcessor
00007ff8127fa129 (__TEXT,__text) non-external _externalEntityInitProcessor2
00007ff8127fa211 (__TEXT,__text) non-external _externalEntityInitProcessor3
00007ff8127f1bdc (__TEXT,__text) non-external _externalParEntInitProcessor
00007ff8127fa492 (__TEXT,__text) non-external _externalParEntProcessor
00007ff8127fa994 (__TEXT,__text) non-external _externalSubset0
00007ff8127fb2a4 (__TEXT,__text) non-external _externalSubset1
00007ff8127fcb98 (__TEXT,__text) non-external _findEncoding
00007ff8127fcd92 (__TEXT,__text) non-external _findEncodingNS
                 (undefined) external _fprintf (from libSystem)
                 (undefined) external _fputs (from libSystem)
                 (undefined) external _free (from libSystem)
00007ff8127f8aac (__TEXT,__text) non-external _freeBindings
                 (undefined) external _fwrite (from libSystem)
00007ff8128093d2 (__TEXT,__const) non-external (was a private external) _g_reparseDeferralEnabledDefault
00007ff8127f5990 (__TEXT,__text) non-external _getAttributeId
00007ff8127f7a44 (__TEXT,__text) non-external _getContext
00007ff8127f2c7d (__TEXT,__text) non-external _getDebugLevel
00007ff8127f5905 (__TEXT,__text) non-external _getElementType
00007ff8127fc7dd (__TEXT,__text) non-external _getEncodingIndex
00007ff84157b100 (__DATA_CONST,__const) non-external _getEncodingIndex.encodingNames
                 (undefined) external _getenv (from libSystem)
00007ff8127f2dba (__TEXT,__text) non-external _handleUnknownEncoding
00007ff8127f688c (__TEXT,__text) non-external _hash
00007ff8127fa63a (__TEXT,__text) non-external _hashTableDestroy
00007ff8127f6294 (__TEXT,__text) non-external _ignoreSectionProcessor
00007ff812809410 (__TEXT,__const) non-external _implicitContext
00007ff812804d46 (__TEXT,__text) non-external _initScan
00007ff8127fc84c (__TEXT,__text) non-external _initScanContent
00007ff8127fcd2f (__TEXT,__text) non-external _initScanContentNS
00007ff8127fc82d (__TEXT,__text) non-external _initScanProlog
00007ff8127fcd10 (__TEXT,__text) non-external _initScanPrologNS
00007ff8127fc86e (__TEXT,__text) non-external _initUpdatePosition
00007ff8127f2cee (__TEXT,__text) non-external _initializeEncoding
00007ff8127f9e9c (__TEXT,__text) non-external _internalEntityProcessor
00007ff8128092e6 (__TEXT,__text) non-external _internalEntityProcessor.cold.1
00007ff8127faba0 (__TEXT,__text) non-external _internalSubset
00007ff84157ab90 (__DATA_CONST,__const) non-external _internal_little2_encoding
00007ff84157af30 (__DATA_CONST,__const) non-external _internal_little2_encoding_ns
00007ff84157a9c0 (__DATA_CONST,__const) non-external _internal_utf8_encoding
00007ff84157ad60 (__DATA_CONST,__const) non-external _internal_utf8_encoding_ns
00007ff812800c8c (__TEXT,__text) non-external _isNever
00007ff84157a7f0 (__DATA_CONST,__const) non-external _latin1_encoding
00007ff84157b8e8 (__DATA_CONST,__const) non-external _latin1_encoding_ns
00007ff8127ff1c1 (__TEXT,__text) non-external _latin1_toUtf16
00007ff8127ff13e (__TEXT,__text) non-external _latin1_toUtf8
00007ff812802744 (__TEXT,__text) non-external _little2_attributeValueTok
00007ff812802314 (__TEXT,__text) non-external _little2_cdataSectionTok
00007ff812802e9c (__TEXT,__text) non-external _little2_charRefNumber
00007ff8128041a0 (__TEXT,__text) non-external _little2_checkPiTarget
00007ff812801654 (__TEXT,__text) non-external _little2_contentTok
00007ff84157b508 (__DATA_CONST,__const) non-external _little2_encoding
00007ff84157be58 (__DATA_CONST,__const) non-external _little2_encoding_ns
00007ff81280287c (__TEXT,__text) non-external _little2_entityValueTok
00007ff812802abc (__TEXT,__text) non-external _little2_getAtts
00007ff812802598 (__TEXT,__text) non-external _little2_ignoreSectionTok
00007ff812803130 (__TEXT,__text) non-external _little2_isPublicId
00007ff8128029f5 (__TEXT,__text) non-external _little2_nameLength
00007ff8128029b0 (__TEXT,__text) non-external _little2_nameMatchesAscii
00007ff812802f67 (__TEXT,__text) non-external _little2_predefinedEntityName
00007ff812800df2 (__TEXT,__text) non-external _little2_prologTok
00007ff81280459c (__TEXT,__text) non-external _little2_scanAtts
00007ff812804038 (__TEXT,__text) non-external _little2_scanComment
00007ff812803524 (__TEXT,__text) non-external _little2_scanDecl
00007ff8128033ea (__TEXT,__text) non-external _little2_scanLit
00007ff812803b28 (__TEXT,__text) non-external _little2_scanPercent
00007ff812803668 (__TEXT,__text) non-external _little2_scanPi
00007ff812803dbc (__TEXT,__text) non-external _little2_scanPoundName
00007ff81280421a (__TEXT,__text) non-external _little2_scanRef
00007ff812802a80 (__TEXT,__text) non-external _little2_skipS
00007ff81280337c (__TEXT,__text) non-external _little2_toUtf16
00007ff8128031b7 (__TEXT,__text) non-external _little2_toUtf8
00007ff812803052 (__TEXT,__text) non-external _little2_updatePosition
00007ff8127f553b (__TEXT,__text) non-external _lookup
                 (undefined) external _malloc (from libSystem)
                 (undefined) external _malloc_type_malloc (from libSystem)
                 (undefined) external _memcmp (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memmove (from libSystem)
                 (undefined) external _memset (from libSystem)
00007ff812809fc0 (__TEXT,__const) non-external _namePages
00007ff8128099c0 (__TEXT,__const) non-external _namingBitmap
00007ff8127f6310 (__TEXT,__text) non-external _nextScaffoldPart
00007ff812809ec0 (__TEXT,__const) non-external _nmstrtPages
00007ff8127fe824 (__TEXT,__text) non-external _normal_attributeValueTok
00007ff8127fe3d4 (__TEXT,__text) non-external _normal_cdataSectionTok
00007ff8127fee04 (__TEXT,__text) non-external _normal_charRefNumber
00007ff8127fff74 (__TEXT,__text) non-external _normal_checkPiTarget
00007ff8127fd7a4 (__TEXT,__text) non-external _normal_contentTok
00007ff8127fe960 (__TEXT,__text) non-external _normal_entityValueTok
00007ff8127feb15 (__TEXT,__text) non-external _normal_getAtts
00007ff8127fe67c (__TEXT,__text) non-external _normal_ignoreSectionTok
00007ff8127ff0c0 (__TEXT,__text) non-external _normal_isPublicId
00007ff8127feab0 (__TEXT,__text) non-external _normal_nameLength
00007ff8127fea74 (__TEXT,__text) non-external _normal_nameMatchesAscii
00007ff8127fef6c (__TEXT,__text) non-external _normal_predefinedEntityName
00007ff8127fceae (__TEXT,__text) non-external _normal_prologTok
00007ff8128002ee (__TEXT,__text) non-external _normal_scanAtts
00007ff8127ffdfc (__TEXT,__text) non-external _normal_scanComment
00007ff8127ff36c (__TEXT,__text) non-external _normal_scanDecl
00007ff8127ff204 (__TEXT,__text) non-external _normal_scanLit
00007ff8127ff8a8 (__TEXT,__text) non-external _normal_scanPercent
00007ff8127ff490 (__TEXT,__text) non-external _normal_scanPi
00007ff8127ffb30 (__TEXT,__text) non-external _normal_scanPoundName
00007ff8127fffda (__TEXT,__text) non-external _normal_scanRef
00007ff8127feaed (__TEXT,__text) non-external _normal_skipS
00007ff8127feffe (__TEXT,__text) non-external _normal_updatePosition
00007ff8127fa0e5 (__TEXT,__text) non-external _normalizeLines
00007ff8127f5843 (__TEXT,__text) non-external _normalizePublicId
00007ff8127faf23 (__TEXT,__text) non-external _notation0
00007ff8127fbe44 (__TEXT,__text) non-external _notation1
00007ff8127fbf3b (__TEXT,__text) non-external _notation2
00007ff8127fbeed (__TEXT,__text) non-external _notation3
00007ff8127fbf81 (__TEXT,__text) non-external _notation4
00007ff812808e40 (__TEXT,__text) non-external _parsePseudoAttribute
00007ff8127f0566 (__TEXT,__text) non-external _parserCreate
00007ff8127f0cdf (__TEXT,__text) non-external _parserInit
00007ff8127f5bdc (__TEXT,__text) non-external _poolAppend
00007ff8127f1d7c (__TEXT,__text) non-external _poolCopyString
00007ff8127f1c6f (__TEXT,__text) non-external _poolDestroy
00007ff8127f5d66 (__TEXT,__text) non-external _poolGrow
00007ff8127f54f4 (__TEXT,__text) non-external _poolStoreString
00007ff8127f6436 (__TEXT,__text) non-external _processEntity
00007ff8127f5189 (__TEXT,__text) non-external _processXmlDecl
00007ff8127fa8bd (__TEXT,__text) non-external _prolog0
00007ff8127fa9b4 (__TEXT,__text) non-external _prolog1
00007ff8127fad1c (__TEXT,__text) non-external _prolog2
00007ff8127f2c2c (__TEXT,__text) non-external _prologInitProcessor
00007ff8127f2d49 (__TEXT,__text) non-external _prologProcessor
                 (undefined) external _realloc (from libSystem)
00007ff8127f66c4 (__TEXT,__text) non-external _reportComment
00007ff8127f2a42 (__TEXT,__text) non-external _reportDefault
00007ff8127f6578 (__TEXT,__text) non-external _reportProcessingInstruction
00007ff8127f15d9 (__TEXT,__text) non-external _setContext
00007ff8127f90a6 (__TEXT,__text) non-external _setElementTypePrefix
00007ff8127f69f5 (__TEXT,__text) non-external _sip24_final
00007ff8127f6950 (__TEXT,__text) non-external _sip24_update
00007ff8127f6ad4 (__TEXT,__text) non-external _sip_round
00007ff8127f2198 (__TEXT,__text) non-external _startParsing
00007ff8127f5f4f (__TEXT,__text) non-external _storeAttributeValue
00007ff8128092a0 (__TEXT,__text) non-external _storeAttributeValue.cold.1
00007ff8127f7dc6 (__TEXT,__text) non-external _storeAtts
00007ff8127f9a74 (__TEXT,__text) non-external _storeEntityValue
00007ff8127f7968 (__TEXT,__text) non-external _storeRawNames
00007ff812804ce4 (__TEXT,__text) non-external _streqci
                 (undefined) external _strtoul (from libSystem)
00007ff8127f2be4 (__TEXT,__text) non-external (was a private external) _testingAccountingGetCountBytesDirect
00007ff8127f2bfa (__TEXT,__text) non-external (was a private external) _testingAccountingGetCountBytesIndirect
00007ff8127fc5bb (__TEXT,__text) non-external _unknown_isInvalid
00007ff8127fc519 (__TEXT,__text) non-external _unknown_isName
00007ff8127fc56a (__TEXT,__text) non-external _unknown_isNmstrt
00007ff8127fc6cb (__TEXT,__text) non-external _unknown_toUtf16
00007ff8127fc5e8 (__TEXT,__text) non-external _unknown_toUtf8
00007ff8127f2c10 (__TEXT,__text) non-external (was a private external) _unsignedCharToPrintable
00007ff84157b168 (__DATA_CONST,__const) non-external _utf8_encoding
00007ff84157bab8 (__DATA_CONST,__const) non-external _utf8_encoding_ns
00007ff812800d26 (__TEXT,__text) non-external _utf8_isInvalid2
00007ff812800d45 (__TEXT,__text) non-external _utf8_isInvalid3
00007ff812800daa (__TEXT,__text) non-external _utf8_isInvalid4
00007ff812800bfa (__TEXT,__text) non-external _utf8_isName2
00007ff812800c3d (__TEXT,__text) non-external _utf8_isName3
00007ff812800c94 (__TEXT,__text) non-external _utf8_isNmstrt2
00007ff812800cd7 (__TEXT,__text) non-external _utf8_isNmstrt3
00007ff812800a89 (__TEXT,__text) non-external _utf8_toUtf16
00007ff8128009f0 (__TEXT,__text) non-external _utf8_toUtf8
