00007ff812eb2540 (__TEXT,__const) non-external _DOWNCASE_TBL
00007ff812ea53f9 (__TEXT,__text) external _nghttp2_hd_deflate_hd2
00007ff812ea10cb (__TEXT,__text) non-external _nghttp2_hd_deflate_hd_bufs
00007ff812ea54f8 (__TEXT,__text) external _nghttp2_hd_deflate_hd_vec
00007ff812ea5502 (__TEXT,__text) external _nghttp2_hd_deflate_hd_vec2
00007ff812ea56a4 (__TEXT,__text) external _nghttp2_hd_deflate_new
00007ff812ea56b0 (__TEXT,__text) external _nghttp2_hd_deflate_new2
00007ff812ea5399 (__TEXT,__text) external _nghttp2_hd_inflate_change_table_size
00007ff812ea58b8 (__TEXT,__text) external _nghttp2_hd_inflate_del
00007ff812ea4498 (__TEXT,__text) external _nghttp2_hd_inflate_end_headers
00007ff812ea4c83 (__TEXT,__text) non-external _nghttp2_hd_inflate_free
00007ff812ea5964 (__TEXT,__text) external _nghttp2_hd_inflate_get_dynamic_table_size
00007ff812ea596e (__TEXT,__text) external _nghttp2_hd_inflate_get_max_dynamic_table_size
00007ff812ea594c (__TEXT,__text) external _nghttp2_hd_inflate_get_num_table_entries
00007ff812ea595a (__TEXT,__text) external _nghttp2_hd_inflate_get_table_entry
00007ff812ea57bd (__TEXT,__text) external _nghttp2_hd_inflate_hd
00007ff812ea582e (__TEXT,__text) external _nghttp2_hd_inflate_hd2
00007ff812ea57c7 (__TEXT,__text) external _nghttp2_hd_inflate_hd3
00007ff812ea39e2 (__TEXT,__text) non-external _nghttp2_hd_inflate_hd_nv
00007ff812e9daec (__TEXT,__text) non-external _nghttp2_hd_inflate_init
00007ff812ea5846 (__TEXT,__text) external _nghttp2_hd_inflate_new
00007ff812ea5852 (__TEXT,__text) external _nghttp2_hd_inflate_new2
00007ff812ea2683 (__TEXT,__text) non-external _nghttp2_hd_table_get
00007ff812ead7e5 (__TEXT,__text) external _nghttp2_http2_strerror
00007ff812ea74b0 (__TEXT,__text) non-external _nghttp2_http_on_request_headers
00007ff812ea44d8 (__TEXT,__text) non-external _nghttp2_http_on_response_headers
00007ff812ea7287 (__TEXT,__text) non-external _nghttp2_http_parse_priority
00007ff812ea0ed2 (__TEXT,__text) non-external _nghttp2_http_record_request_method
00007ff812ead3e8 (__TEXT,__text) non-external _nghttp2_increase_local_window_size
00007ff812ea8156 (__TEXT,__text) external _nghttp2_is_fatal
00007ff812e9e436 (__TEXT,__text) non-external _nghttp2_iv_check
00007ff812e9e6e5 (__TEXT,__text) non-external _nghttp2_map_find
00007ff812e9ea5a (__TEXT,__text) non-external _nghttp2_nv_array_copy
00007ff812ea5345 (__TEXT,__text) external _nghttp2_nv_compare_name
00007ff812e9c8f4 (__TEXT,__text) external _nghttp2_option_del
00007ff812e9c7eb (__TEXT,__text) external _nghttp2_option_new
00007ff812ea4f44 (__TEXT,__text) external _nghttp2_option_set_builtin_recv_extension_type
00007ff812ea4ffe (__TEXT,__text) external _nghttp2_option_set_glitch_rate_limit
00007ff812ea4ff0 (__TEXT,__text) external _nghttp2_option_set_max_continuations
00007ff812ea4f8e (__TEXT,__text) external _nghttp2_option_set_max_deflate_dynamic_table_size
00007ff812ea4fa9 (__TEXT,__text) external _nghttp2_option_set_max_outbound_ack
00007ff812ea4f12 (__TEXT,__text) external _nghttp2_option_set_max_reserved_remote_streams
00007ff812ea4f80 (__TEXT,__text) external _nghttp2_option_set_max_send_header_block_length
00007ff812ea4fb7 (__TEXT,__text) external _nghttp2_option_set_max_settings
00007ff812ea4f73 (__TEXT,__text) external _nghttp2_option_set_no_auto_ping_ack
00007ff812e9c82e (__TEXT,__text) external _nghttp2_option_set_no_auto_window_update
00007ff812e9c88c (__TEXT,__text) external _nghttp2_option_set_no_closed_streams
00007ff812e9c855 (__TEXT,__text) external _nghttp2_option_set_no_http_messaging
00007ff812e9c870 (__TEXT,__text) external _nghttp2_option_set_no_http_semantics
00007ff812ea4ef8 (__TEXT,__text) external _nghttp2_option_set_no_recv_client_magic
00007ff812ea4fd2 (__TEXT,__text) external _nghttp2_option_set_no_rfc9113_leading_and_trailing_ws_validation
00007ff812e9c83b (__TEXT,__text) external _nghttp2_option_set_peer_max_concurrent_streams
00007ff812ea4fc5 (__TEXT,__text) external _nghttp2_option_set_server_fallback_rfc7540_priorities
00007ff812ea4fdf (__TEXT,__text) external _nghttp2_option_set_stream_reset_rate_limit
00007ff812ea4f1f (__TEXT,__text) external _nghttp2_option_set_user_recv_extension_type
00007ff812e9dd61 (__TEXT,__text) non-external _nghttp2_outbound_item_free
00007ff812ea7ff1 (__TEXT,__text) external _nghttp2_pack_settings_payload
00007ff812ea7ffb (__TEXT,__text) external _nghttp2_pack_settings_payload2
00007ff812ea5ae6 (__TEXT,__text) non-external _nghttp2_pq_push
00007ff812ea5c52 (__TEXT,__text) non-external _nghttp2_pq_remove
00007ff812ea5d1b (__TEXT,__text) external _nghttp2_priority_spec_check_default
00007ff812e9ea34 (__TEXT,__text) external _nghttp2_priority_spec_default_init
00007ff812e9d433 (__TEXT,__text) external _nghttp2_priority_spec_init
00007ff812ea7568 (__TEXT,__text) non-external _nghttp2_ratelim_update
00007ff812e9cc86 (__TEXT,__text) external _nghttp2_rcbuf_decref
00007ff812ea754b (__TEXT,__text) external _nghttp2_rcbuf_get_buf
00007ff812ea2713 (__TEXT,__text) external _nghttp2_rcbuf_incref
00007ff812ea7559 (__TEXT,__text) external _nghttp2_rcbuf_is_static
00007ff812ea2730 (__TEXT,__text) non-external _nghttp2_rcbuf_new
00007ff812ea5a7b (__TEXT,__text) external _nghttp2_select_alpn
00007ff812ea597f (__TEXT,__text) external _nghttp2_select_next_protocol
00007ff812ea4904 (__TEXT,__text) non-external _nghttp2_session_add_goaway
00007ff812e9e4d0 (__TEXT,__text) non-external _nghttp2_session_add_item
00007ff812ea89fa (__TEXT,__text) non-external _nghttp2_session_add_ping
00007ff812ea837d (__TEXT,__text) non-external _nghttp2_session_add_rst_stream_continue
00007ff812e9e074 (__TEXT,__text) non-external _nghttp2_session_add_settings
00007ff812e9e80b (__TEXT,__text) non-external _nghttp2_session_add_window_update
00007ff812e9c8e9 (__TEXT,__text) external _nghttp2_session_callbacks_del
00007ff812e9c700 (__TEXT,__text) external _nghttp2_session_callbacks_new
00007ff812e9c748 (__TEXT,__text) external _nghttp2_session_callbacks_set_before_frame_send_callback
00007ff812ea4e5c (__TEXT,__text) external _nghttp2_session_callbacks_set_data_source_read_length_callback
00007ff812ea4e69 (__TEXT,__text) external _nghttp2_session_callbacks_set_data_source_read_length_callback2
00007ff812ea4ec4 (__TEXT,__text) external _nghttp2_session_callbacks_set_error_callback
00007ff812e9ce01 (__TEXT,__text) external _nghttp2_session_callbacks_set_error_callback2
00007ff812ea4e76 (__TEXT,__text) external _nghttp2_session_callbacks_set_on_begin_frame_callback
00007ff812e9c770 (__TEXT,__text) external _nghttp2_session_callbacks_set_on_begin_headers_callback
00007ff812e9c78e (__TEXT,__text) external _nghttp2_session_callbacks_set_on_data_chunk_recv_callback
00007ff812ea4eb7 (__TEXT,__text) external _nghttp2_session_callbacks_set_on_extension_chunk_recv_callback
00007ff812e9cddc (__TEXT,__text) external _nghttp2_session_callbacks_set_on_frame_not_send_callback
00007ff812e9c77a (__TEXT,__text) external _nghttp2_session_callbacks_set_on_frame_recv_callback
00007ff812e9c7b2 (__TEXT,__text) external _nghttp2_session_callbacks_set_on_frame_send_callback
00007ff812e9c75a (__TEXT,__text) external _nghttp2_session_callbacks_set_on_header_callback
00007ff812ea4e24 (__TEXT,__text) external _nghttp2_session_callbacks_set_on_header_callback2
00007ff812e9cdc4 (__TEXT,__text) external _nghttp2_session_callbacks_set_on_invalid_frame_recv_callback
00007ff812e9cdee (__TEXT,__text) external _nghttp2_session_callbacks_set_on_invalid_header_callback
00007ff812ea4e38 (__TEXT,__text) external _nghttp2_session_callbacks_set_on_invalid_header_callback2
00007ff812e9c7a6 (__TEXT,__text) external _nghttp2_session_callbacks_set_on_stream_close_callback
00007ff812ea4e90 (__TEXT,__text) external _nghttp2_session_callbacks_set_pack_extension_callback
00007ff812ea4e9d (__TEXT,__text) external _nghttp2_session_callbacks_set_pack_extension_callback2
00007ff812ea4ede (__TEXT,__text) external _nghttp2_session_callbacks_set_rand_callback
00007ff812e9cdb6 (__TEXT,__text) external _nghttp2_session_callbacks_set_recv_callback
00007ff812ea4e10 (__TEXT,__text) external _nghttp2_session_callbacks_set_recv_callback2
00007ff812ea4e42 (__TEXT,__text) external _nghttp2_session_callbacks_set_select_padding_callback
00007ff812ea4e4f (__TEXT,__text) external _nghttp2_session_callbacks_set_select_padding_callback2
00007ff812e9c7c3 (__TEXT,__text) external _nghttp2_session_callbacks_set_send_callback
00007ff812ea4dfc (__TEXT,__text) external _nghttp2_session_callbacks_set_send_callback2
00007ff812e9c7d3 (__TEXT,__text) external _nghttp2_session_callbacks_set_send_data_callback
00007ff812ea4eaa (__TEXT,__text) external _nghttp2_session_callbacks_set_unpack_extension_callback
00007ff812ead2a6 (__TEXT,__text) external _nghttp2_session_change_extpri_stream_priority
00007ff812ead26f (__TEXT,__text) external _nghttp2_session_change_stream_priority
00007ff812ea8598 (__TEXT,__text) external _nghttp2_session_check_request_allowed
00007ff812ead262 (__TEXT,__text) external _nghttp2_session_check_server_session
00007ff812ea8227 (__TEXT,__text) external _nghttp2_session_client_new
00007ff812e9c8a8 (__TEXT,__text) external _nghttp2_session_client_new2
00007ff812ea8292 (__TEXT,__text) external _nghttp2_session_client_new3
00007ff812ea4658 (__TEXT,__text) non-external _nghttp2_session_close_stream
00007ff812eacd16 (__TEXT,__text) external _nghttp2_session_consume
00007ff812e9cbd2 (__TEXT,__text) external _nghttp2_session_consume_connection
00007ff812e9cd30 (__TEXT,__text) external _nghttp2_session_consume_stream
00007ff812ead277 (__TEXT,__text) external _nghttp2_session_create_idle_stream
00007ff812e9d239 (__TEXT,__text) external _nghttp2_session_del
00007ff812ead23e (__TEXT,__text) external _nghttp2_session_find_stream
00007ff812eace8b (__TEXT,__text) external _nghttp2_session_get_effective_local_window_size
00007ff812eace78 (__TEXT,__text) external _nghttp2_session_get_effective_recv_data_length
00007ff812ead336 (__TEXT,__text) external _nghttp2_session_get_extpri_stream_priority
00007ff812ead28c (__TEXT,__text) external _nghttp2_session_get_hd_deflate_dynamic_table_size
00007ff812ead27f (__TEXT,__text) external _nghttp2_session_get_hd_inflate_dynamic_table_size
00007ff812ead232 (__TEXT,__text) external _nghttp2_session_get_last_proc_stream_id
00007ff812eacef6 (__TEXT,__text) external _nghttp2_session_get_local_settings
00007ff812eace97 (__TEXT,__text) external _nghttp2_session_get_local_window_size
00007ff812e9cef6 (__TEXT,__text) external _nghttp2_session_get_next_stream_id
00007ff812eacde5 (__TEXT,__text) external _nghttp2_session_get_outbound_queue_size
00007ff812eaceb1 (__TEXT,__text) external _nghttp2_session_get_remote_settings
00007ff812e9caf5 (__TEXT,__text) external _nghttp2_session_get_remote_window_size
00007ff812ead255 (__TEXT,__text) external _nghttp2_session_get_root_stream
00007ff812e9e6b4 (__TEXT,__text) non-external _nghttp2_session_get_stream
00007ff812eace23 (__TEXT,__text) external _nghttp2_session_get_stream_effective_local_window_size
00007ff812eacdf7 (__TEXT,__text) external _nghttp2_session_get_stream_effective_recv_data_length
00007ff812ead1dc (__TEXT,__text) external _nghttp2_session_get_stream_local_close
00007ff812eace49 (__TEXT,__text) external _nghttp2_session_get_stream_local_window_size
00007ff812ead208 (__TEXT,__text) external _nghttp2_session_get_stream_remote_close
00007ff812e9cac9 (__TEXT,__text) external _nghttp2_session_get_stream_remote_window_size
00007ff812e9cf8a (__TEXT,__text) external _nghttp2_session_get_stream_user_data
00007ff812e9cbbc (__TEXT,__text) external _nghttp2_session_mem_recv
00007ff812ea8b36 (__TEXT,__text) external _nghttp2_session_mem_recv2
00007ff812ea85cc (__TEXT,__text) external _nghttp2_session_mem_send
00007ff812ea85d6 (__TEXT,__text) external _nghttp2_session_mem_send2
00007ff812e9ec10 (__TEXT,__text) non-external _nghttp2_session_mem_send_internal
00007ff812ea456e (__TEXT,__text) non-external _nghttp2_session_on_data_received
00007ff812ea2d44 (__TEXT,__text) non-external _nghttp2_session_on_settings_received
00007ff812ea0c8c (__TEXT,__text) non-external _nghttp2_session_open_stream
00007ff812ea877b (__TEXT,__text) non-external _nghttp2_session_predicate_data_send
00007ff812e9cff1 (__TEXT,__text) external _nghttp2_session_recv
00007ff812e9d3ca (__TEXT,__text) external _nghttp2_session_resume_data
00007ff812e9cb0e (__TEXT,__text) external _nghttp2_session_send
00007ff812ea82ce (__TEXT,__text) external _nghttp2_session_server_new
00007ff812ea8340 (__TEXT,__text) external _nghttp2_session_server_new2
00007ff812ea8307 (__TEXT,__text) external _nghttp2_session_server_new3
00007ff812e9c911 (__TEXT,__text) external _nghttp2_session_set_local_window_size
00007ff812e9cf10 (__TEXT,__text) external _nghttp2_session_set_next_stream_id
00007ff812e9d15d (__TEXT,__text) external _nghttp2_session_set_stream_user_data
00007ff812ead299 (__TEXT,__text) external _nghttp2_session_set_user_data
00007ff812e9d217 (__TEXT,__text) external _nghttp2_session_terminate_session
00007ff812ea8218 (__TEXT,__text) external _nghttp2_session_terminate_session2
00007ff812ea8645 (__TEXT,__text) non-external _nghttp2_session_update_recv_connection_window_size
00007ff812ea86e3 (__TEXT,__text) non-external _nghttp2_session_update_recv_stream_window_size
00007ff812eacf3b (__TEXT,__text) external _nghttp2_session_upgrade
00007ff812ead16c (__TEXT,__text) external _nghttp2_session_upgrade2
00007ff812eacf97 (__TEXT,__text) non-external _nghttp2_session_upgrade_internal
00007ff812e9cfb8 (__TEXT,__text) external _nghttp2_session_want_read
00007ff812e9ca4c (__TEXT,__text) external _nghttp2_session_want_write
00007ff812e9c7e0 (__TEXT,__text) external _nghttp2_set_debug_vprintf_callback
00007ff812ea5252 (__TEXT,__text) external _nghttp2_stream_get_first_child
00007ff812ea5242 (__TEXT,__text) external _nghttp2_stream_get_next_sibling
00007ff812ea523a (__TEXT,__text) external _nghttp2_stream_get_parent
00007ff812ea524a (__TEXT,__text) external _nghttp2_stream_get_previous_sibling
00007ff812ea51d6 (__TEXT,__text) external _nghttp2_stream_get_state
00007ff812ea526d (__TEXT,__text) external _nghttp2_stream_get_stream_id
00007ff812ea5265 (__TEXT,__text) external _nghttp2_stream_get_sum_dependency_weight
00007ff812ea525a (__TEXT,__text) external _nghttp2_stream_get_weight
00007ff843cbf0a8 (__DATA,__bss) non-external _nghttp2_stream_root
00007ff812ead447 (__TEXT,__text) external _nghttp2_strerror
00007ff812ea7808 (__TEXT,__text) external _nghttp2_submit_altsvc
00007ff812e9ccd3 (__TEXT,__text) external _nghttp2_submit_data
00007ff812ea7fa2 (__TEXT,__text) external _nghttp2_submit_data2
00007ff812ea7ec4 (__TEXT,__text) non-external _nghttp2_submit_data_shared
00007ff812ea8075 (__TEXT,__text) external _nghttp2_submit_extension
00007ff812ea7637 (__TEXT,__text) external _nghttp2_submit_goaway
00007ff812e9cc2f (__TEXT,__text) external _nghttp2_submit_headers
00007ff812ea79cc (__TEXT,__text) external _nghttp2_submit_origin
00007ff812ea7607 (__TEXT,__text) external _nghttp2_submit_ping
00007ff812ea7614 (__TEXT,__text) external _nghttp2_submit_priority
00007ff812ea7bf9 (__TEXT,__text) external _nghttp2_submit_priority_update
00007ff812ea769e (__TEXT,__text) external _nghttp2_submit_push_promise
00007ff812e9cf4b (__TEXT,__text) external _nghttp2_submit_request
00007ff812ea7dc6 (__TEXT,__text) external _nghttp2_submit_request2
00007ff812ea7e00 (__TEXT,__text) external _nghttp2_submit_response
00007ff812ea7e91 (__TEXT,__text) external _nghttp2_submit_response2
00007ff812ea761c (__TEXT,__text) external _nghttp2_submit_rst_stream
00007ff812e9c902 (__TEXT,__text) external _nghttp2_submit_settings
00007ff812ea765b (__TEXT,__text) external _nghttp2_submit_shutdown_notice
00007ff812ea75c6 (__TEXT,__text) external _nghttp2_submit_trailer
00007ff812e9ce1d (__TEXT,__text) external _nghttp2_submit_window_update
00007ff812ead3a2 (__TEXT,__text) non-external _nghttp2_time_now_sec
00007ff812ea75ad (__TEXT,__text) external _nghttp2_version
00007ff812ea4b9a (__TEXT,__text) non-external _ob_q_free
00007ff812ea7226 (__TEXT,__text) non-external _parse_uint
00007ff812ea6038 (__TEXT,__text) non-external _parser_bare_item
00007ff812ea6a64 (__TEXT,__text) non-external _parser_boolean
00007ff812ea6802 (__TEXT,__text) non-external _parser_byteseq
00007ff812ea6780 (__TEXT,__text) non-external _parser_date
00007ff812ea6ad4 (__TEXT,__text) non-external _parser_dispstring
00007ff812ea5e84 (__TEXT,__text) non-external _parser_key
00007ff812ea661c (__TEXT,__text) non-external _parser_number
00007ff812ea5d37 (__TEXT,__text) non-external _parser_skip_inner_list
00007ff812ea7084 (__TEXT,__text) non-external _parser_skip_params
00007ff812ea63b8 (__TEXT,__text) non-external _parser_string
00007ff812ea59e0 (__TEXT,__text) non-external _select_alpn
00007ff812ea0708 (__TEXT,__text) non-external _session_after_frame_sent1
00007ff812ea0acc (__TEXT,__text) non-external _session_after_frame_sent2
00007ff812eacaec (__TEXT,__text) non-external _session_call_error_callback
00007ff812ea2c04 (__TEXT,__text) non-external _session_call_select_padding
00007ff812ea4a94 (__TEXT,__text) non-external _session_close_stream_on_goaway
00007ff812ea8800 (__TEXT,__text) non-external _session_defer_stream_item
00007ff812ea8838 (__TEXT,__text) non-external _session_handle_invalid_connection
00007ff812ea88a0 (__TEXT,__text) non-external _session_handle_invalid_stream2
00007ff812ea2b98 (__TEXT,__text) non-external _session_headers_add_pad
00007ff812e9de25 (__TEXT,__text) non-external _session_inbound_frame_reset
00007ff812ea0bb4 (__TEXT,__text) non-external _session_is_closing
00007ff812e9d44d (__TEXT,__text) non-external _session_new
00007ff812ea8168 (__TEXT,__text) non-external _session_ob_data_push
00007ff812ea8520 (__TEXT,__text) non-external _session_ob_data_remove
00007ff812ea35ab (__TEXT,__text) non-external _session_process_headers_frame
00007ff812ea89bc (__TEXT,__text) non-external _session_resume_deferred_stream_item
00007ff812ea488b (__TEXT,__text) non-external _session_terminate_session
00007ff812ea0bf9 (__TEXT,__text) non-external _session_update_consumed_size
00007ff812eaccab (__TEXT,__text) non-external _session_update_glitch_ratelim
00007ff812ea8add (__TEXT,__text) non-external _session_update_stream_priority
00007ff8416c0e20 (__DATA_CONST,__const) non-external _static_table
00007ff812ea826c (__TEXT,__text) non-external _stream_less
                 (undefined) external _strlen (from libSystem)
00007ff812e9e8ab (__TEXT,__text) non-external _submit_headers_shared_nva
00007ff812ea7d75 (__TEXT,__text) non-external _submit_request_shared
00007ff812ea7e33 (__TEXT,__text) non-external _submit_response_shared
                 (undefined) external _time (from libSystem)
00007ff812eb2220 (__TEXT,__const) non-external _utf8d
00007ff843cbf090 (__DATA,__data) non-external _version
                 (undefined) external _vsnprintf (from libSystem)
