00007ffa43dd5b70 (__DATA,__bss) non-external _SVC_REQ_KEY
00007ffa1fcd81e1 (__TEXT,__text) external __newrpclib_pmapproc_set_2
00007ffa1fcd8226 (__TEXT,__text) external __newrpclib_pmapproc_unset_2
00007ffa1fcd1200 (__TEXT,__text) external __newrpclib_registerrpc
00007ffa1fcdb815 (__TEXT,__text) non-external __newrpclib_registerrpc.cold.1
00007ffa1fcdb8c3 (__TEXT,__text) non-external __newrpclib_registerrpc.cold.2
00007ffa1fcdb968 (__TEXT,__text) non-external __newrpclib_registerrpc.cold.3
00007ffa1fcdba03 (__TEXT,__text) non-external __newrpclib_registerrpc.cold.4
00007ffa43dd5b58 (__DATA,__bss) non-external __newrpclib_registerrpc.transp
00007ffa1fccffa4 (__TEXT,__text) external __newrpclib_rpc_control
00007ffa1fcdb3b4 (__TEXT,__text) non-external __newrpclib_rpc_control.cold.1
00007ffa43dd5c98 (__DATA,__common) external __newrpclib_rpc_ipmode
00007ffa43dd5a58 (__DATA,__data) external __newrpclib_rpc_v4mapped_ok
00007ffa1fccef50 (__TEXT,__text) external __newrpclib_rpcb_callit
00007ffa1fcd9b92 (__TEXT,__text) external __newrpclib_rpcb_getaddr
00007ffa1fcd9bb2 (__TEXT,__text) external __newrpclib_rpcb_getaddr_for_host
00007ffa1fcd9400 (__TEXT,__text) external __newrpclib_rpcb_getaddr_timeout
00007ffa1fcdee13 (__TEXT,__text) non-external __newrpclib_rpcb_getaddr_timeout.cold.1
00007ffa1fcd9ba2 (__TEXT,__text) external __newrpclib_rpcb_getversaddr
00007ffa1fcd9ae6 (__TEXT,__text) external __newrpclib_rpcb_getversaddr_timeout
00007ffa1fccf90a (__TEXT,__text) external __newrpclib_rpcb_indirect
00007ffa1fcd9cce (__TEXT,__text) external __newrpclib_rpcb_set
00007ffa1fcd9f92 (__TEXT,__text) external __newrpclib_rpcb_unset
00007ffa1fcd8684 (__TEXT,__text) external __newrpclib_rpcbproc_bcast_4
00007ffa1fcd844f (__TEXT,__text) external __newrpclib_rpcbproc_callit_3
00007ffa1fcd840e (__TEXT,__text) external __newrpclib_rpcbproc_dump_3
00007ffa1fcd8643 (__TEXT,__text) external __newrpclib_rpcbproc_dump_4
00007ffa1fcd83c8 (__TEXT,__text) external __newrpclib_rpcbproc_getaddr_3
00007ffa1fcd85fd (__TEXT,__text) external __newrpclib_rpcbproc_getaddr_4
00007ffa1fcd883b (__TEXT,__text) external __newrpclib_rpcbproc_getaddrlist_4
00007ffa1fcd8881 (__TEXT,__text) external __newrpclib_rpcbproc_getstat_4
00007ffa1fcd849c (__TEXT,__text) external __newrpclib_rpcbproc_gettime_3
00007ffa1fcd86d1 (__TEXT,__text) external __newrpclib_rpcbproc_gettime_4
00007ffa1fcd87a8 (__TEXT,__text) external __newrpclib_rpcbproc_getversaddr_4
00007ffa1fcd87ee (__TEXT,__text) external __newrpclib_rpcbproc_indirect_4
00007ffa1fcd833e (__TEXT,__text) external __newrpclib_rpcbproc_set_3
00007ffa1fcd8573 (__TEXT,__text) external __newrpclib_rpcbproc_set_4
00007ffa1fcd852d (__TEXT,__text) external __newrpclib_rpcbproc_taddr2uaddr_3
00007ffa1fcd8762 (__TEXT,__text) external __newrpclib_rpcbproc_taddr2uaddr_4
00007ffa1fcd84dc (__TEXT,__text) external __newrpclib_rpcbproc_uaddr2taddr_3
00007ffa1fcd8711 (__TEXT,__text) external __newrpclib_rpcbproc_uaddr2taddr_4
00007ffa1fcd8383 (__TEXT,__text) external __newrpclib_rpcbproc_unset_3
00007ffa1fcd85b8 (__TEXT,__text) external __newrpclib_rpcbproc_unset_4
00007ffa1fcd7814 (__TEXT,__text) external __newrpclib_sa2uaddr
00007ffa1fccadab (__TEXT,__text) external __newrpclib_set_rpc_maxgrouplist
00007ffa1fcd73a2 (__TEXT,__text) external __newrpclib_socparms2netid
00007ffa1fcd4b2d (__TEXT,__text) external __newrpclib_svc_enable_localaddr
00007ffa1fcde46e (__TEXT,__text) non-external __newrpclib_svc_enable_localaddr.cold.1
00007ffa1fcde508 (__TEXT,__text) non-external __newrpclib_svc_enable_localaddr.cold.2
00007ffa1fcde5b6 (__TEXT,__text) non-external __newrpclib_svc_enable_localaddr.cold.3
00007ffa1fcd1161 (__TEXT,__text) external __newrpclib_svc_exit
00007ffa1fcd4c43 (__TEXT,__text) external __newrpclib_svc_getcallee_sa
00007ffa1fcd4c35 (__TEXT,__text) external __newrpclib_svc_getcaller_sa
00007ffa1fcd4c28 (__TEXT,__text) external __newrpclib_svc_getnetid
00007ffa1fcd4717 (__TEXT,__text) external __newrpclib_svc_getsomerequests
00007ffa1fcd0ddd (__TEXT,__text) external __newrpclib_svc_pollnext
00007ffa1fcdb75e (__TEXT,__text) non-external __newrpclib_svc_pollnext.cold.1
00007ffa1fcd3b13 (__TEXT,__text) external __newrpclib_svc_register
00007ffa1fcd3f12 (__TEXT,__text) external __newrpclib_svc_reqsendreply
00007ffa1fcd090e (__TEXT,__text) external __newrpclib_svc_run
00007ffa1fcd3e81 (__TEXT,__text) external __newrpclib_svc_sendreply
00007ffa1fcd3c31 (__TEXT,__text) external __newrpclib_svc_unregister
00007ffa1fcd4357 (__TEXT,__text) external __newrpclib_svcerr_auth
00007ffa1fcd40ff (__TEXT,__text) external __newrpclib_svcerr_decode
00007ffa1fcd3fd3 (__TEXT,__text) external __newrpclib_svcerr_noproc
00007ffa1fcd4496 (__TEXT,__text) external __newrpclib_svcerr_noprog
00007ffa1fcd45bf (__TEXT,__text) external __newrpclib_svcerr_progvers
00007ffa1fcd43cf (__TEXT,__text) external __newrpclib_svcerr_reqauth
00007ffa1fcd417f (__TEXT,__text) external __newrpclib_svcerr_reqdecode
00007ffa1fcd4053 (__TEXT,__text) external __newrpclib_svcerr_reqnoproc
00007ffa1fcd4513 (__TEXT,__text) external __newrpclib_svcerr_reqnoprog
00007ffa1fcd4651 (__TEXT,__text) external __newrpclib_svcerr_reqprogvers
00007ffa1fcd42ab (__TEXT,__text) external __newrpclib_svcerr_reqsystemerr
00007ffa1fcd4487 (__TEXT,__text) external __newrpclib_svcerr_reqweakauth
00007ffa1fcd422b (__TEXT,__text) external __newrpclib_svcerr_systemerr
00007ffa1fcd4478 (__TEXT,__text) external __newrpclib_svcerr_weakauth
00007ffa1fcd1c6e (__TEXT,__text) external __newrpclib_svcfd_create
00007ffa1fcd0871 (__TEXT,__text) external __newrpclib_svcraw_create
00007ffa1fcd14d5 (__TEXT,__text) external __newrpclib_svctcp_create
00007ffa1fcdbc70 (__TEXT,__text) non-external __newrpclib_svctcp_create.cold.1
00007ffa1fcdbd1e (__TEXT,__text) non-external __newrpclib_svctcp_create.cold.2
00007ffa1fcdbdb9 (__TEXT,__text) non-external __newrpclib_svctcp_create.cold.3
00007ffa1fcdbe54 (__TEXT,__text) non-external __newrpclib_svctcp_create.cold.4
00007ffa1fcdbf02 (__TEXT,__text) non-external __newrpclib_svctcp_create.cold.5
00007ffa1fcdbfb0 (__TEXT,__text) non-external __newrpclib_svctcp_create.cold.6
00007ffa1fcdc04b (__TEXT,__text) non-external __newrpclib_svctcp_create.cold.7
00007ffa1fcd2798 (__TEXT,__text) external __newrpclib_svcudp_bufcreate
00007ffa1fcdd21d (__TEXT,__text) non-external __newrpclib_svcudp_bufcreate.cold.1
00007ffa1fcdd2cb (__TEXT,__text) non-external __newrpclib_svcudp_bufcreate.cold.2
00007ffa1fcdd379 (__TEXT,__text) non-external __newrpclib_svcudp_bufcreate.cold.3
00007ffa1fcdd427 (__TEXT,__text) non-external __newrpclib_svcudp_bufcreate.cold.4
00007ffa1fcdd4d5 (__TEXT,__text) non-external __newrpclib_svcudp_bufcreate.cold.5
00007ffa1fcdd583 (__TEXT,__text) non-external __newrpclib_svcudp_bufcreate.cold.6
00007ffa1fcd2add (__TEXT,__text) external __newrpclib_svcudp_create
00007ffa1fcd7522 (__TEXT,__text) external __newrpclib_uaddr2sa
00007ffa1fcd4c52 (__TEXT,__text) external __newrpclib_xdr_array
00007ffa1fcde64a (__TEXT,__text) non-external __newrpclib_xdr_array.cold.1
00007ffa1fccb160 (__TEXT,__text) external __newrpclib_xdr_authunix_parms
00007ffa1fcd63bc (__TEXT,__text) external __newrpclib_xdr_bool
00007ffa1fcd64e4 (__TEXT,__text) external __newrpclib_xdr_bytes
00007ffa1fcdead2 (__TEXT,__text) non-external __newrpclib_xdr_bytes.cold.1
00007ffa1fcd0316 (__TEXT,__text) external __newrpclib_xdr_callhdr
00007ffa1fccfc0a (__TEXT,__text) external __newrpclib_xdr_callmsg
00007ffa1fcd635c (__TEXT,__text) external __newrpclib_xdr_char
00007ffa1fcd02a1 (__TEXT,__text) external __newrpclib_xdr_des_block
00007ffa1fcd4e26 (__TEXT,__text) external __newrpclib_xdr_double
00007ffa1fcd6429 (__TEXT,__text) external __newrpclib_xdr_enum
00007ffa1fcd4dcd (__TEXT,__text) external __newrpclib_xdr_float
00007ffa1fcd5fac (__TEXT,__text) external __newrpclib_xdr_free
00007ffa1fcd6a33 (__TEXT,__text) external __newrpclib_xdr_getrecord
00007ffa1fcd6a0b (__TEXT,__text) external __newrpclib_xdr_hyper
00007ffa1fcd5fe2 (__TEXT,__text) external __newrpclib_xdr_int
00007ffa1fcd6294 (__TEXT,__text) external __newrpclib_xdr_int16_t
00007ffa1fcd610a (__TEXT,__text) external __newrpclib_xdr_int32_t
00007ffa1fcd6869 (__TEXT,__text) external __newrpclib_xdr_int64_t
00007ffa1fcd60a4 (__TEXT,__text) external __newrpclib_xdr_long
00007ffa1fcd6a1f (__TEXT,__text) external __newrpclib_xdr_longlong_t
00007ffa1fcd93c0 (__TEXT,__text) external __newrpclib_xdr_netbuf
00007ffa1fcd66bb (__TEXT,__text) external __newrpclib_xdr_netobj
00007ffa1fcd6433 (__TEXT,__text) external __newrpclib_xdr_opaque
00007ffa43dd5b80 (__DATA,__bss) non-external __newrpclib_xdr_opaque.crud
00007ffa1fcd0268 (__TEXT,__text) external __newrpclib_xdr_opaque_auth
00007ffa1fcd7d3c (__TEXT,__text) external __newrpclib_xdr_pmap
00007ffa1fcd7f01 (__TEXT,__text) external __newrpclib_xdr_pmap_call_args
00007ffa1fcd7f6c (__TEXT,__text) external __newrpclib_xdr_pmap_call_result
00007ffa1fcd7dba (__TEXT,__text) external __newrpclib_xdr_pmaplist
00007ffa1fcd7d9a (__TEXT,__text) external __newrpclib_xdr_pmaplist_ptr
00007ffa1fcd5c4f (__TEXT,__text) external __newrpclib_xdr_pointer
00007ffa1fcd5b9a (__TEXT,__text) external __newrpclib_xdr_reference
00007ffa1fcdea24 (__TEXT,__text) non-external __newrpclib_xdr_reference.cold.1
00007ffa1fcd02b0 (__TEXT,__text) external __newrpclib_xdr_replymsg
00007ffa1fcced22 (__TEXT,__text) external __newrpclib_xdr_rmtcall_args
00007ffa1fccee00 (__TEXT,__text) external __newrpclib_xdr_rmtcallres
00007ffa1fcd898b (__TEXT,__text) external __newrpclib_xdr_rp__list
00007ffa1fcd890e (__TEXT,__text) external __newrpclib_xdr_rpcb
00007ffa1fcd8ba2 (__TEXT,__text) external __newrpclib_xdr_rpcb_entry
00007ffa1fcd8c24 (__TEXT,__text) external __newrpclib_xdr_rpcb_entry_list
00007ffa1fcd8d6b (__TEXT,__text) external __newrpclib_xdr_rpcb_entry_list_ptr
00007ffa1fcd8af2 (__TEXT,__text) external __newrpclib_xdr_rpcb_rmtcallargs
00007ffa1fcd8b5d (__TEXT,__text) external __newrpclib_xdr_rpcb_rmtcallres
00007ffa1fcd9300 (__TEXT,__text) external __newrpclib_xdr_rpcb_stat
00007ffa1fcd939b (__TEXT,__text) external __newrpclib_xdr_rpcb_stat_byvers
00007ffa1fcd8ad2 (__TEXT,__text) external __newrpclib_xdr_rpcblist_ptr
00007ffa1fcd8d8b (__TEXT,__text) external __newrpclib_xdr_rpcbs_addrlist
00007ffa1fcd92c0 (__TEXT,__text) external __newrpclib_xdr_rpcbs_addrlist_ptr
00007ffa1fcd929b (__TEXT,__text) external __newrpclib_xdr_rpcbs_proc
00007ffa1fcd8fd8 (__TEXT,__text) external __newrpclib_xdr_rpcbs_rmtcalllist
00007ffa1fcd92e0 (__TEXT,__text) external __newrpclib_xdr_rpcbs_rmtcalllist_ptr
00007ffa1fcd61cc (__TEXT,__text) external __newrpclib_xdr_short
00007ffa1fcd5cb8 (__TEXT,__text) external __newrpclib_xdr_sizeof
00007ffa1fcd6758 (__TEXT,__text) external __newrpclib_xdr_string
00007ffa1fcdec2e (__TEXT,__text) non-external __newrpclib_xdr_string.cold.1
00007ffa1fcd638c (__TEXT,__text) external __newrpclib_xdr_u_char
00007ffa1fcd6a15 (__TEXT,__text) external __newrpclib_xdr_u_hyper
00007ffa1fcd6043 (__TEXT,__text) external __newrpclib_xdr_u_int
00007ffa1fcd60d7 (__TEXT,__text) external __newrpclib_xdr_u_long
00007ffa1fcd6a29 (__TEXT,__text) external __newrpclib_xdr_u_longlong_t
00007ffa1fcd6230 (__TEXT,__text) external __newrpclib_xdr_u_short
00007ffa1fcd62f8 (__TEXT,__text) external __newrpclib_xdr_uint16_t
00007ffa1fcd616b (__TEXT,__text) external __newrpclib_xdr_uint32_t
00007ffa1fcd693a (__TEXT,__text) external __newrpclib_xdr_uint64_t
00007ffa1fcd66d1 (__TEXT,__text) external __newrpclib_xdr_union
00007ffa1fcd4d7b (__TEXT,__text) external __newrpclib_xdr_vector
00007ffa1fcd5fd7 (__TEXT,__text) external __newrpclib_xdr_void
00007ffa1fcd685a (__TEXT,__text) external __newrpclib_xdr_wrapstring
00007ffa1fcd4ec6 (__TEXT,__text) external __newrpclib_xdrmem_create
00007ffa1fcd5432 (__TEXT,__text) external __newrpclib_xdrrec_create
00007ffa1fcde6f8 (__TEXT,__text) non-external __newrpclib_xdrrec_create.cold.1
00007ffa1fcde7a6 (__TEXT,__text) non-external __newrpclib_xdrrec_create.cold.2
00007ffa1fcde854 (__TEXT,__text) non-external __newrpclib_xdrrec_create.cold.3
00007ffa1fcd58b2 (__TEXT,__text) external __newrpclib_xdrrec_endofrecord
00007ffa1fcd5856 (__TEXT,__text) external __newrpclib_xdrrec_eof
00007ffa1fcd560f (__TEXT,__text) external __newrpclib_xdrrec_skiprecord
00007ffa1fcd5e5d (__TEXT,__text) external __newrpclib_xdrstdio_create
00007ffa1fcd35f1 (__TEXT,__text) external __newrpclib_xprt_register
00007ffa1fcd383a (__TEXT,__text) external __newrpclib_xprt_unregister
                 (undefined) external __os_log_default (from libSystem)
                 (undefined) external __os_log_error_impl (from libSystem)
00007ffa1fcd0841 (__TEXT,__text) non-external (was a private external) __svcauth_null
00007ffa1fcd06e3 (__TEXT,__text) non-external (was a private external) __svcauth_short
00007ffa1fcd0545 (__TEXT,__text) non-external (was a private external) __svcauth_unix
                 (undefined) external _abort (from libSystem)
                 (undefined) external _accept (from libSystem)
00007ffa1fcd0d46 (__TEXT,__text) non-external (was a private external) _add_working_xprt
00007ffa1fcdb641 (__TEXT,__text) non-external _add_working_xprt.cold.1
00007ffa1fcdb6d5 (__TEXT,__text) non-external _add_working_xprt.cold.2
                 (undefined) external _asprintf (from libSystem)
00007ffa428c1ae0 (__DATA_CONST,__const) non-external _auth_errlist
00007ffa43dd55d8 (__DATA,__data) non-external _auth_unix_ops
00007ffa1fccaa5a (__TEXT,__text) non-external _authnone_destroy
00007ffa1fcca947 (__TEXT,__text) non-external _authnone_init
00007ffa1fccaa1b (__TEXT,__text) non-external _authnone_marshal
00007ffa43dd55a0 (__DATA,__data) non-external _authnone_once_init
00007ffa43dd5b28 (__DATA,__bss) non-external _authnone_private
00007ffa1fccaa52 (__TEXT,__text) non-external _authnone_refresh
00007ffa1fccaa47 (__TEXT,__text) non-external _authnone_validate
00007ffa1fccaa15 (__TEXT,__text) non-external _authnone_verf
00007ffa1fccb118 (__TEXT,__text) non-external _authunix_destroy
00007ffa1fccaf21 (__TEXT,__text) non-external _authunix_marshal
00007ffa1fccaf1b (__TEXT,__text) non-external _authunix_nextverf
00007ffa1fccaff7 (__TEXT,__text) non-external _authunix_refresh
00007ffa1fccaf44 (__TEXT,__text) non-external _authunix_validate
00007ffa43dd56d8 (__DATA,__data) non-external _bcast
                 (undefined) external _bcmp (from libSystem)
                 (undefined) external _bind (from libSystem)
                 (undefined) external _bindresvport_sa (from libSystem)
00007ffa43dd5b38 (__DATA,__bss) non-external _buf
00007ffa1fccc813 (__TEXT,__text) non-external _bufdestroy
00007ffa1fccf1b4 (__TEXT,__text) non-external _build_callit_rpc
00007ffa43dd5a60 (__DATA,__data) non-external _cache_control_init
00007ffa1fcd7b23 (__TEXT,__text) non-external _cache_init
00007ffa1fcded8a (__TEXT,__text) non-external _cache_init.cold.1
00007ffa43dd5bc0 (__DATA,__bss) non-external _cache_rwlock
                 (undefined) external _calloc (from libSystem)
00007ffa43dd5b20 (__DATA,__bss) non-external _callrpc_private
00007ffa1fccd6ce (__TEXT,__text) non-external _check_raddr
                 (undefined) external _chmod (from libSystem)
00007ffa43dd5628 (__DATA,__data) non-external _client_ops
00007ffa1fccb4a6 (__TEXT,__text) external _clnt_auth_set
00007ffa43dd5618 (__DATA,__data) non-external _clnt_perror_once
00007ffa1fccc212 (__TEXT,__text) non-external _clnt_sperror_r
00007ffa1fcccb34 (__TEXT,__text) non-external _clntraw_abort
00007ffa1fccc94b (__TEXT,__text) non-external _clntraw_call
00007ffa1fcccb71 (__TEXT,__text) non-external _clntraw_control
00007ffa1fcccb6b (__TEXT,__text) non-external _clntraw_destroy
00007ffa1fcccb40 (__TEXT,__text) non-external _clntraw_freeres
00007ffa1fcccb3a (__TEXT,__text) non-external _clntraw_geterr
00007ffa43dd5b40 (__DATA,__bss) non-external _clntraw_private
00007ffa1fccdcff (__TEXT,__text) non-external _clntstrm_abort
00007ffa1fccd9b4 (__TEXT,__text) non-external _clntstrm_call
00007ffa1fccdd97 (__TEXT,__text) non-external _clntstrm_control
00007ffa1fcccb79 (__TEXT,__text) external _clntstrm_create_timeout
00007ffa1fcdabcd (__TEXT,__text) non-external _clntstrm_create_timeout.cold.1
00007ffa1fcdac61 (__TEXT,__text) non-external _clntstrm_create_timeout.cold.2
00007ffa1fcdad0f (__TEXT,__text) non-external _clntstrm_create_timeout.cold.3
00007ffa1fcdadaa (__TEXT,__text) non-external _clntstrm_create_timeout.cold.4
00007ffa1fcdae42 (__TEXT,__text) non-external _clntstrm_create_timeout.cold.5
00007ffa1fcdaee0 (__TEXT,__text) non-external _clntstrm_create_timeout.cold.6
00007ffa1fcdaf78 (__TEXT,__text) non-external _clntstrm_create_timeout.cold.7
00007ffa1fccdd44 (__TEXT,__text) non-external _clntstrm_destroy
00007ffa1fccdd22 (__TEXT,__text) non-external _clntstrm_freeres
00007ffa1fccdd05 (__TEXT,__text) non-external _clntstrm_geterr
00007ffa1fccd6ff (__TEXT,__text) external _clntticots_create
00007ffa1fcdb0ae (__TEXT,__text) non-external _clntticots_create.cold.1
00007ffa1fccd9aa (__TEXT,__text) external _clntticots_create_timeout
00007ffa1fccd64e (__TEXT,__text) external _clntticotsord_create
00007ffa1fcdb013 (__TEXT,__text) non-external _clntticotsord_create.cold.1
00007ffa1fccd925 (__TEXT,__text) external _clntticotsord_create_timeout
00007ffa1fcdb31a (__TEXT,__text) non-external _clntticotsord_create_timeout.cold.1
00007ffa1fcce7cf (__TEXT,__text) non-external _clntudp_abort
00007ffa1fcce2f6 (__TEXT,__text) non-external _clntudp_call
00007ffa1fcce85e (__TEXT,__text) non-external _clntudp_control
00007ffa1fcce814 (__TEXT,__text) non-external _clntudp_destroy
00007ffa1fcce7f2 (__TEXT,__text) non-external _clntudp_freeres
00007ffa1fcce7d5 (__TEXT,__text) non-external _clntudp_geterr
                 (undefined) external _close (from libSystem)
00007ffa1fcd7c00 (__TEXT,__text) non-external _compare_sa
00007ffa1fcdf200 (__TEXT,__const) non-external _compare_sa.allones
00007ffa43dd5c90 (__DATA,__common) non-external (was a private external) _conncount
                 (undefined) external _connect (from libSystem)
00007ffa43dd5a48 (__DATA,__data) non-external _create_key_init
00007ffa1fcd3cc9 (__TEXT,__text) non-external _create_svc_req_key
00007ffa1fcd6af0 (__TEXT,__text) non-external (was a private external) _cvt4to6
00007ffa1fcd6aa0 (__TEXT,__text) non-external (was a private external) _cvt6to4
00007ffa1fcdf1e8 (__TEXT,__const) non-external _default_tottimeout
                 (undefined) external _exit (from libSystem)
                 (undefined) external _fcntl (from libSystem)
                 (undefined) external _fflush (from libSystem)
00007ffa1fcd5b3f (__TEXT,__text) non-external _fill_input_buf
00007ffa1fcd590b (__TEXT,__text) non-external _flush_out
                 (undefined) external _fputs (from libSystem)
                 (undefined) external _fread (from libSystem)
                 (undefined) external _free (from libSystem)
00007ffa1fccc011 (__TEXT,__text) non-external _free_interface_list
                 (undefined) external _freeaddrinfo (from libSystem)
                 (undefined) external _freehostent (from libSystem)
                 (undefined) external _freeifaddrs (from libSystem)
00007ffa1fcd7923 (__TEXT,__text) external _freenetconfigent
                 (undefined) external _fseek (from libSystem)
                 (undefined) external _ftell (from libSystem)
                 (undefined) external _fwrite (from libSystem)
00007ffa1fcd5a28 (__TEXT,__text) non-external _get_input_bytes
                 (undefined) external _getaddrinfo (from libSystem)
                 (undefined) external _getegid (from libSystem)
                 (undefined) external _getenv (from libSystem)
                 (undefined) external _geteuid (from libSystem)
                 (undefined) external _getgroups (from libSystem)
00007ffa1fcd6b27 (__TEXT,__text) non-external (was a private external) _gethostaddr
                 (undefined) external _gethostbyname (from libSystem)
                 (undefined) external _gethostname (from libSystem)
                 (undefined) external _getifaddrs (from libSystem)
                 (undefined) external _getipnodebyname (from libSystem)
00007ffa1fcd795a (__TEXT,__text) external _getnetconfigent
                 (undefined) external _getpid (from libSystem)
                 (undefined) external _getpwuid_r (from libSystem)
00007ffa1fcd96b1 (__TEXT,__text) non-external _getrpcbind_handle
                 (undefined) external _getsockname (from libSystem)
                 (undefined) external _getsockopt (from libSystem)
                 (undefined) external _gettimeofday (from libSystem)
00007ffa1fcd9a45 (__TEXT,__text) non-external _handle_callerror
