00007ffb1bf6b35b (__TEXT,__text) external _AAAFSCGetMetadata
00007ffb1bf5f9f2 (__TEXT,__text) external _AAEntryACLBlobCreateWithEncodedData
00007ffb1bf5fa39 (__TEXT,__text) external _AAEntryACLBlobCreateWithPath
00007ffb1bf5f998 (__TEXT,__text) external _AAEntryACLBlobDestroy
00007ffb1bf601aa (__TEXT,__text) external _AAEntryACLBlobGetEncodedData
00007ffb1bf601a0 (__TEXT,__text) external _AAEntryACLBlobGetEncodedSize
00007ffb1bf5fbe0 (__TEXT,__text) external _AAEntryACLBlobGetEntry
00007ffb1bf5fbd8 (__TEXT,__text) external _AAEntryACLBlobGetEntryCount
00007ffb1bf600d9 (__TEXT,__text) external _AAEntryACLBlobRemoveEntry
00007ffb1bf5fd83 (__TEXT,__text) external _AAEntryACLBlobSetEntry
00007ffb1bf5bd54 (__TEXT,__text) external _AAEntryXATBlobAppendEntry
00007ffb1bf5c558 (__TEXT,__text) external _AAEntryXATBlobApplyToPath
00007ffb1bf5c547 (__TEXT,__text) external _AAEntryXATBlobClear
00007ffb1bf5c3f2 (__TEXT,__text) external _AAEntryXATBlobCreate
00007ffb1bf5c4b4 (__TEXT,__text) external _AAEntryXATBlobCreateWithEncodedData
00007ffb1bf5c4fb (__TEXT,__text) external _AAEntryXATBlobCreateWithPath
00007ffb1bf5c45a (__TEXT,__text) external _AAEntryXATBlobDestroy
00007ffb1bf5cb9c (__TEXT,__text) external _AAEntryXATBlobGetEncodedData
00007ffb1bf5cb92 (__TEXT,__text) external _AAEntryXATBlobGetEncodedSize
00007ffb1bf5c6a2 (__TEXT,__text) external _AAEntryXATBlobGetEntry
00007ffb1bf5c69a (__TEXT,__text) external _AAEntryXATBlobGetEntryCount
00007ffb1bf5cacb (__TEXT,__text) external _AAEntryXATBlobRemoveEntry
00007ffb1bf5c7d3 (__TEXT,__text) external _AAEntryXATBlobSetEntry
00007ffb1bf66aaf (__TEXT,__text) external _AAEntryYECBlobApplyToPath
00007ffb1bf6696b (__TEXT,__text) external _AAEntryYECBlobCreate
00007ffb1bf66a0d (__TEXT,__text) external _AAEntryYECBlobCreateWithEncodedData
00007ffb1bf66a54 (__TEXT,__text) external _AAEntryYECBlobCreateWithPath
00007ffb1bf669d3 (__TEXT,__text) external _AAEntryYECBlobDestroy
00007ffb1bf66d51 (__TEXT,__text) external _AAEntryYECBlobGetEncodedData
00007ffb1bf66d48 (__TEXT,__text) external _AAEntryYECBlobGetEncodedSize
00007ffb1bf53140 (__TEXT,__text) external _AAExtractArchiveOutputStreamOpen
00007ffb1bf5079d (__TEXT,__text) external _AAFieldKeySetClear
00007ffb1bf5066e (__TEXT,__text) external _AAFieldKeySetClone
00007ffb1bf507ab (__TEXT,__text) external _AAFieldKeySetContainsKey
00007ffb1bf502a0 (__TEXT,__text) external _AAFieldKeySetCreate
00007ffb1bf50308 (__TEXT,__text) external _AAFieldKeySetCreateWithString
00007ffb1bf50648 (__TEXT,__text) external _AAFieldKeySetDestroy
00007ffb1bf50db2 (__TEXT,__text) external _AAFieldKeySetGetKey
00007ffb1bf50daa (__TEXT,__text) external _AAFieldKeySetGetKeyCount
00007ffb1bf50848 (__TEXT,__text) external _AAFieldKeySetInsertKey
00007ffb1bf50ad2 (__TEXT,__text) external _AAFieldKeySetInsertKeySet
00007ffb1bf50a13 (__TEXT,__text) external _AAFieldKeySetRemoveKey
00007ffb1bf50cb2 (__TEXT,__text) external _AAFieldKeySetRemoveKeySet
00007ffb1bf50d46 (__TEXT,__text) external _AAFieldKeySetSelectKeySet
00007ffb1bf50dc1 (__TEXT,__text) external _AAFieldKeySetSerialize
00007ffb1bf6987c (__TEXT,__text) external _AAFileStreamOpenWithFD
00007ffb1bf69bd1 (__TEXT,__text) external _AAFileStreamOpenWithPath
00007ffb1bf72a05 (__TEXT,__text) non-external (was a private external) _AAGenericRandomAccessInputStreamOpen
00007ffb1bf59ea6 (__TEXT,__text) external _AAHeaderAssign
00007ffb1bf5a46a (__TEXT,__text) external _AAHeaderClear
00007ffb1bf59dfa (__TEXT,__text) external _AAHeaderClone
00007ffb1bf59d0d (__TEXT,__text) external _AAHeaderCreate
00007ffb1bf5a062 (__TEXT,__text) external _AAHeaderCreateWithEncodedData
00007ffb1bf5a0a9 (__TEXT,__text) external _AAHeaderCreateWithPath
00007ffb1bf59db4 (__TEXT,__text) external _AAHeaderDestroy
00007ffb1bf5b56c (__TEXT,__text) external _AAHeaderGetEncodedData
00007ffb1bf5b562 (__TEXT,__text) external _AAHeaderGetEncodedSize
00007ffb1bf59bfd (__TEXT,__text) external _AAHeaderGetFieldBlob
00007ffb1bf59b9e (__TEXT,__text) external _AAHeaderGetFieldCount
00007ffb1bf5a654 (__TEXT,__text) external _AAHeaderGetFieldHash
00007ffb1bf59c8a (__TEXT,__text) external _AAHeaderGetFieldKey
00007ffb1bf5a549 (__TEXT,__text) external _AAHeaderGetFieldString
00007ffb1bf5a75d (__TEXT,__text) external _AAHeaderGetFieldTimespec
00007ffb1bf59ba6 (__TEXT,__text) external _AAHeaderGetFieldType
00007ffb1bf5a4c4 (__TEXT,__text) external _AAHeaderGetFieldUInt
00007ffb1bf5a48f (__TEXT,__text) external _AAHeaderGetKeyIndex
00007ffb1bf5b558 (__TEXT,__text) external _AAHeaderGetPayloadSize
00007ffb1bf5a0f5 (__TEXT,__text) external _AAHeaderRemoveField
00007ffb1bf5b34e (__TEXT,__text) external _AAHeaderSetFieldBlob
00007ffb1bf5a882 (__TEXT,__text) external _AAHeaderSetFieldFlag
00007ffb1bf5af0b (__TEXT,__text) external _AAHeaderSetFieldHash
00007ffb1bf5acd2 (__TEXT,__text) external _AAHeaderSetFieldString
00007ffb1bf5b15a (__TEXT,__text) external _AAHeaderSetFieldTimespec
00007ffb1bf5aad0 (__TEXT,__text) external _AAHeaderSetFieldUInt
00007ffb1bf6a029 (__TEXT,__text) external _AAMagicInputStreamOpen
00007ffb1bf215ac (__TEXT,__text) external _AAMemoryInputStreamOpen
00007ffb1bf2195f (__TEXT,__text) external _AAMemoryOutputStreamCloseWithSize
00007ffb1bf2179d (__TEXT,__text) external _AAMemoryOutputStreamOpen
00007ffb1bf0617b (__TEXT,__text) external _AAPathFilterAddRule
00007ffb1bf0666f (__TEXT,__text) external _AAPathFilterApply
00007ffb1bf0601f (__TEXT,__text) external _AAPathFilterCreate
00007ffb1bf06100 (__TEXT,__text) external _AAPathFilterDestroy
00007ffb1bf50e40 (__TEXT,__text) external _AAPathListCreate
00007ffb1bf50fd8 (__TEXT,__text) external _AAPathListCreateWithDirectoryContents
00007ffb1bf52838 (__TEXT,__text) external _AAPathListCreateWithPath
00007ffb1bf50fa9 (__TEXT,__text) external _AAPathListDestroy
00007ffb1bf52d2d (__TEXT,__text) external _AAPathListGetNode
00007ffb1bf52e5f (__TEXT,__text) external _AAPathListMerge
00007ffb1bf52fac (__TEXT,__text) external _AAPathListNodeFirst
00007ffb1bf52c05 (__TEXT,__text) external _AAPathListNodeGetPath
00007ffb1bf52fc8 (__TEXT,__text) external _AAPathListNodeNext
00007ffb1bf1796e (__TEXT,__text) external _AARandomAccessByteStreamProcess
00007ffb1bf4b090 (__TEXT,__text) external _AARandomAccessDecodeAndExtract
00007ffb1bf297d7 (__TEXT,__text) external _AARangeInputStreamOpen
00007ffb1bf1b80f (__TEXT,__text) external _AARemoveArchiveOutputStreamOpen
00007ffb1bf69e9c (__TEXT,__text) external _AASharedBufferPipeOpen
00007ffb1bf6a2df (__TEXT,__text) external _AATeeOutputStreamOpen
00007ffb1bf69c4d (__TEXT,__text) external _AATempFileStreamOpen
00007ffb1bf69c59 (__TEXT,__text) external _AATempFileStreamOpenWithDirectory
00007ffb1bf395c8 (__TEXT,__text) external _AATempStreamOpen
00007ffb1bf395d4 (__TEXT,__text) external _AATempStreamOpenWithDirectory
00007ffb1bf49d1b (__TEXT,__text) external _AAThreadErrorContextEnter
00007ffb1bf49d25 (__TEXT,__text) external _AAThreadErrorContextLeave
00007ffb1bf09ce8 (__TEXT,__text) external _AAVerifyDirectoryArchiveOutputStreamOpen
00007ffb1bf056d8 (__TEXT,__text) external _AEAAuthDataAppendEntry
00007ffb1bf05d8d (__TEXT,__text) external _AEAAuthDataClear
00007ffb1bf0500d (__TEXT,__text) external _AEAAuthDataCreate
00007ffb1bf050cf (__TEXT,__text) external _AEAAuthDataCreateWithContext
00007ffb1bf05075 (__TEXT,__text) external _AEAAuthDataDestroy
00007ffb1bf05e6f (__TEXT,__text) external _AEAAuthDataGetEncodedData
00007ffb1bf05e65 (__TEXT,__text) external _AEAAuthDataGetEncodedSize
00007ffb1bf055a7 (__TEXT,__text) external _AEAAuthDataGetEntry
00007ffb1bf0559f (__TEXT,__text) external _AEAAuthDataGetEntryCount
00007ffb1bf05d9e (__TEXT,__text) external _AEAAuthDataRemoveEntry
00007ffb1bf05a95 (__TEXT,__text) external _AEAAuthDataSetEntry
00007ffb1bf3d487 (__TEXT,__text) external _AEAContextCreateWithEncryptedStream
00007ffb1bf3d3cc (__TEXT,__text) external _AEAContextCreateWithProfile
00007ffb1bf1a8e7 (__TEXT,__text) external _AEAContextDecryptAttributes
00007ffb1bf3d350 (__TEXT,__text) external _AEAContextDestroy
00007ffb1bf3dfc9 (__TEXT,__text) external _AEAContextGenerateFieldBlob
00007ffb1bf3e157 (__TEXT,__text) external _AEAContextGetContainerSizeUpperBound
00007ffb1bf3d890 (__TEXT,__text) external _AEAContextGetFieldBlob
00007ffb1bf3d7d1 (__TEXT,__text) external _AEAContextGetFieldUInt
00007ffb1bf3dca4 (__TEXT,__text) external _AEAContextSetFieldBlob
00007ffb1bf3e0f7 (__TEXT,__text) external _AEAContextSetFieldCallback
00007ffb1bf3dac0 (__TEXT,__text) external _AEAContextSetFieldUInt
00007ffb1bf0c3e0 (__TEXT,__text) non-external _AEADDecrypt_AESCTR_MAC256_KEY640
00007ffb1bf0beb8 (__TEXT,__text) non-external _AEADDecrypt_None_MAC256_KEY256
00007ffb1bf0bf31 (__TEXT,__text) non-external _AEADEncrypt_AESCTR_MAC256_KEY640
00007ffb1bf0be25 (__TEXT,__text) non-external _AEADEncrypt_None_MAC256_KEY256
00007ffb1bf02d9e (__TEXT,__text) external _AEADecryptAndExtract
00007ffb1bf450be (__TEXT,__text) external _AEADecryptAndExtractAsyncStreamOpen
00007ffb1bf02800 (__TEXT,__text) external _AEADecryptAndExtractChunk
00007ffb1bf46d0f (__TEXT,__text) external _AEADecryptAndExtractChunkAsyncStreamOpen
00007ffb1befaa1c (__TEXT,__text) external _AEADecryptAsyncStreamOpen
00007ffb1bf16577 (__TEXT,__text) external _AEADecryptInPlace
00007ffb1bf1cea4 (__TEXT,__text) external _AEADecryptToFile
00007ffb1bf38822 (__TEXT,__text) external _AEADecryptToFileAsyncStreamOpen
00007ffb1bf1c906 (__TEXT,__text) external _AEADecryptToFileChunk
00007ffb1bf3954a (__TEXT,__text) external _AEADecryptToFileChunkAsyncStreamOpen
00007ffb1bf75878 (__TEXT,__text) external _AEADecryptToStream
00007ffb1bf74ff1 (__TEXT,__text) external _AEADecryptToStreamChunk
00007ffb1bf1825a (__TEXT,__text) external _AEADecryptionDirectRandomAccessInputStreamOpen
00007ffb1bf0da79 (__TEXT,__text) external _AEADecryptionInputStreamOpen
00007ffb1bf006da (__TEXT,__text) external _AEADecryptionRandomAccessInputStreamOpen
00007ffb1bf16b35 (__TEXT,__text) external _AEAEncryptInPlace
00007ffb1bf11a8a (__TEXT,__text) external _AEAEncryptionOutputStreamCloseAndUpdateContext
00007ffb1bf10cb9 (__TEXT,__text) external _AEAEncryptionOutputStreamOpen
00007ffb1bf112ea (__TEXT,__text) external _AEAEncryptionOutputStreamOpenExisting
00007ffb1bf16cd2 (__TEXT,__text) external _AEAKeychainGenerateItem
00007ffb1bf175f5 (__TEXT,__text) external _AEAKeychainHasItem
00007ffb1bf1743b (__TEXT,__text) external _AEAKeychainLoadItem
00007ffb1bf176f9 (__TEXT,__text) external _AEAKeychainRemoveItem
00007ffb1bf16f9a (__TEXT,__text) external _AEAKeychainStoreItem
00007ffb1bf09444 (__TEXT,__text) external _AEAStreamSign
00007ffb1bf3b744 (__TEXT,__text) non-external (was a private external) _BXDiff5
00007ffb1bf149bb (__TEXT,__text) non-external (was a private external) _BXDiff5GetPatchInfo
00007ffb1bf3b753 (__TEXT,__text) non-external (was a private external) _BXDiff5WithIndividualPatches
00007ffb1bf23be6 (__TEXT,__text) non-external (was a private external) _BXDiffMatchesCreate
00007ffb1bf24e40 (__TEXT,__text) non-external (was a private external) _BXDiffMatchesDestroy
00007ffb1bf24e6f (__TEXT,__text) non-external (was a private external) _BXDiffMatchesGetBestMatch
00007ffb1bf25126 (__TEXT,__text) non-external (was a private external) _BXDiffMatchesIBuf
00007ffb1bf25130 (__TEXT,__text) non-external (was a private external) _BXDiffMatchesISize
00007ffb1bf25139 (__TEXT,__text) non-external (was a private external) _BXDiffMatchesOBuf
00007ffb1bf25143 (__TEXT,__text) non-external (was a private external) _BXDiffMatchesOSize
00007ffb1bf15715 (__TEXT,__text) non-external (was a private external) _BXPatch5FileWithFlags
00007ffb1bf1585a (__TEXT,__text) non-external (was a private external) _BXPatch5InPlace
00007ffb1bf14a05 (__TEXT,__text) non-external (was a private external) _BXPatch5StreamWithFlags
00007ffb1bf15830 (__TEXT,__text) non-external _BXPatch5WithFlagsFileStreamPRead
                 (undefined) external _BZ2_bzDecompress (from libbz2)
                 (undefined) external _BZ2_bzDecompressEnd (from libbz2)
                 (undefined) external _BZ2_bzDecompressInit (from libbz2)
00007ffb1bf21b3e (__TEXT,__text) non-external (was a private external) _BlobBufferFree
00007ffb1bf21aa2 (__TEXT,__text) non-external (was a private external) _BlobBufferIncreaseCapacity
00007ffb1bf219fd (__TEXT,__text) non-external (was a private external) _BlobBufferStore
00007ffb1bf18448 (__TEXT,__text) non-external _BlockDecryptionStreamCancel
00007ffb1bf18420 (__TEXT,__text) non-external _BlockDecryptionStreamClose
00007ffb1bf18465 (__TEXT,__text) non-external _BlockDecryptionStreamPRead
00007ffb1bf1889f (__TEXT,__text) non-external _BlockDecryptionStreamRead
                 (undefined) external _CCCryptorCreateWithMode (from libSystem)
                 (undefined) external _CCCryptorFinal (from libSystem)
                 (undefined) external _CCCryptorGetOutputLength (from libSystem)
                 (undefined) external _CCCryptorRelease (from libSystem)
                 (undefined) external _CCCryptorUpdate (from libSystem)
                 (undefined) external _CCDeriveKey (from libSystem)
                 (undefined) external _CCHmacFinal (from libSystem)
                 (undefined) external _CCHmacInit (from libSystem)
                 (undefined) external _CCHmacUpdate (from libSystem)
                 (undefined) external _CCKDFParametersCreateHkdf (from libSystem)
                 (undefined) external _CCKDFParametersDestroy (from libSystem)
                 (undefined) external _CCRandomGenerateBytes (from libSystem)
00007ffb1bf2cdb2 (__TEXT,__text) non-external (was a private external) _CC_CKSUM_Final
00007ffb1bf2cd55 (__TEXT,__text) non-external (was a private external) _CC_CKSUM_Init
00007ffb1bf2cd6e (__TEXT,__text) non-external (was a private external) _CC_CKSUM_Update
00007ffb1bf2f0f1 (__TEXT,__text) non-external (was a private external) _CC_SHA1_Deprecated_Final
00007ffb1bf2f0dd (__TEXT,__text) non-external (was a private external) _CC_SHA1_Deprecated_Init
00007ffb1bf2f0e7 (__TEXT,__text) non-external (was a private external) _CC_SHA1_Deprecated_Update
                 (undefined) external _CC_SHA1_Final (from libSystem)
                 (undefined) external _CC_SHA1_Init (from libSystem)
                 (undefined) external _CC_SHA1_Update (from libSystem)
                 (undefined) external _CC_SHA256_Final (from libSystem)
                 (undefined) external _CC_SHA256_Init (from libSystem)
                 (undefined) external _CC_SHA256_Update (from libSystem)
                 (undefined) external _CC_SHA384_Final (from libSystem)
                 (undefined) external _CC_SHA384_Init (from libSystem)
                 (undefined) external _CC_SHA384_Update (from libSystem)
                 (undefined) external _CC_SHA512_Final (from libSystem)
                 (undefined) external _CC_SHA512_Init (from libSystem)
                 (undefined) external _CC_SHA512_Update (from libSystem)
                 (undefined) external _CFDataCreate (from CoreFoundation)
                 (undefined) external _CFDataGetBytePtr (from CoreFoundation)
                 (undefined) external _CFDataGetLength (from CoreFoundation)
                 (undefined) external _CFDataGetTypeID (from CoreFoundation)
                 (undefined) external _CFDictionaryAddValue (from CoreFoundation)
                 (undefined) external _CFDictionaryCreateMutable (from CoreFoundation)
                 (undefined) external _CFErrorCopyDescription (from CoreFoundation)
                 (undefined) external _CFErrorCreateWithUserInfoKeysAndValues (from CoreFoundation)
                 (undefined) external _CFGetTypeID (from CoreFoundation)
                 (undefined) external _CFNumberCreate (from CoreFoundation)
                 (undefined) external _CFRelease (from CoreFoundation)
                 (undefined) external _CFStringCreateWithCString (from CoreFoundation)
                 (undefined) external _CFStringGetCString (from CoreFoundation)
                 (undefined) external _CFStringGetLength (from CoreFoundation)
00007ffb1bf89010 (__TEXT,__const) non-external _CKSUMTable
00007ffb1bf6e748 (__TEXT,__text) non-external _CompressionConsumerProc
00007ffb1bf6e570 (__TEXT,__text) non-external _CompressionWorkerDataCreate
00007ffb1bf6f4cc (__TEXT,__text) non-external _CompressionWorkerDataDestroy
00007ffb1bf6e6be (__TEXT,__text) non-external _CompressionWorkerProc
00007ffb1bf0ce0b (__TEXT,__text) non-external _DHERecipient_ECDHE_P256
00007ffb1bf0ca50 (__TEXT,__text) non-external _DHESender_ECDHE_P256
00007ffb1bf0d350 (__TEXT,__text) non-external _DSASign_ECDSA_P256
00007ffb1bf0d598 (__TEXT,__text) non-external _DSAVerify_ECDSA_P256
00007ffb1bf0d166 (__TEXT,__text) non-external _DerivePublicFromPrivate_ECP256
00007ffb1bf0d2fa (__TEXT,__text) non-external _Digest_SHA256
00007ffb1bf18c3b (__TEXT,__text) non-external (was a private external) _ECC65537CheckAndFix
00007ffb1bf188b2 (__TEXT,__text) non-external (was a private external) _ECC65537GetParity
00007ffb1bf88ec0 (__TEXT,__const) non-external _ECC65537_G
00007ffb1bf222c5 (__TEXT,__text) non-external (was a private external) _ECCFixThreadProc
00007ffb1bf3f83b (__TEXT,__text) non-external (was a private external) _GetLargeFileControls
00007ffb1bf3ec70 (__TEXT,__text) non-external (was a private external) _GetLargeFileControlsWithStreams
00007ffb1bf0bca4 (__TEXT,__text) non-external _HKDFDerive
00007ffb1bf0d8e4 (__TEXT,__text) non-external _HMACDerive_SHA256
00007ffb1bf0d873 (__TEXT,__text) non-external _HMACFinal_SHA256
00007ffb1bf0d7e1 (__TEXT,__text) non-external _HMACInit_SHA256
00007ffb1bf0d85b (__TEXT,__text) non-external _HMACUpdate_SHA256
00007ffb1bf0d9c1 (__TEXT,__text) non-external _HMACVerify_SHA256
00007ffb1bf19c7e (__TEXT,__text) non-external (was a private external) _IDecoderStreamAbort
00007ffb1bf19a16 (__TEXT,__text) non-external (was a private external) _IDecoderStreamCreate
00007ffb1bf19b5f (__TEXT,__text) non-external (was a private external) _IDecoderStreamDestroy
00007ffb1bf19c63 (__TEXT,__text) non-external (was a private external) _IDecoderStreamRead
00007ffb1bf199dc (__TEXT,__text) non-external (was a private external) _IDecoderStreamThreadProc
00007ffb1bf26436 (__TEXT,__text) non-external (was a private external) _IFileStreamCreateWithFD
00007ffb1bf260e8 (__TEXT,__text) non-external (was a private external) _IFileStreamCreateWithFilename
00007ffb1bf263ff (__TEXT,__text) non-external (was a private external) _IFileStreamDestroy
00007ffb1bf2655e (__TEXT,__text) non-external (was a private external) _IFileStreamRead
00007ffb1bf19c92 (__TEXT,__text) non-external (was a private external) _ILowMemoryDecoderStreamCreate
00007ffb1bf1a2c8 (__TEXT,__text) non-external (was a private external) _ILowMemoryDecoderStreamCreateWithBuffer
00007ffb1bf1a25f (__TEXT,__text) non-external (was a private external) _ILowMemoryDecoderStreamDestroy
00007ffb1bf1a347 (__TEXT,__text) non-external (was a private external) _ILowMemoryDecoderStreamRead
00007ffb1bf271a4 (__TEXT,__text) non-external (was a private external) _IMemStreamAbort
00007ffb1bf270d9 (__TEXT,__text) non-external (was a private external) _IMemStreamCreate
00007ffb1bf2719a (__TEXT,__text) non-external (was a private external) _IMemStreamDestroy
00007ffb1bf2714c (__TEXT,__text) non-external (was a private external) _IMemStreamRead
00007ffb1bf25f78 (__TEXT,__text) non-external (was a private external) _IZeroStreamRead
00007ffb1bf3ebaa (__TEXT,__text) non-external (was a private external) _LargeFileConsumer
00007ffb1bf3e2f0 (__TEXT,__text) non-external (was a private external) _LargeFileWorker
00007ffb1bf25d48 (__TEXT,__text) non-external (was a private external) _MappedBufferCreateWithFD
00007ffb1bf25d07 (__TEXT,__text) non-external (was a private external) _MappedBufferDestroy
00007ffb1bf25f64 (__TEXT,__text) non-external (was a private external) _MappedBufferGetDataPtr
00007ffb1bf25f6e (__TEXT,__text) non-external (was a private external) _MappedBufferGetDataSize
00007ffb1bf25760 (__TEXT,__text) non-external (was a private external) _MemBufferCreate
00007ffb1bf258e5 (__TEXT,__text) non-external (was a private external) _MemBufferDecreaseSize
00007ffb1bf25854 (__TEXT,__text) non-external (was a private external) _MemBufferDestroy
00007ffb1bf259b1 (__TEXT,__text) non-external (was a private external) _MemBufferFillFromBuffer
00007ffb1bf25a40 (__TEXT,__text) non-external (was a private external) _MemBufferFillFromIStream
00007ffb1bf25acc (__TEXT,__text) non-external (was a private external) _MemBufferFlushToOStream
00007ffb1bf25891 (__TEXT,__text) non-external (was a private external) _MemBufferGetDataPtr
