00000001cdb43854 (__TEXT,__text) non-external +[Cube initialize]
00000001cdb4ed5c (__TEXT,__text) non-external +[DDXMLNode textWithStringValue:]
00000001cda83fd4 (__TEXT,__text) non-external +[MCActionForEachPlug forEachPlugActionForTargetPlugObjectID:withAction:andPrefix:]
00000001cda82b58 (__TEXT,__text) non-external +[MCActionGroup actionGroup]
00000001cda84d20 (__TEXT,__text) non-external +[MCActionTrigger actionTriggerForTargetPlugObjectID:withActionKey:]
00000001cda86a40 (__TEXT,__text) non-external +[MCAnimationKeyframe keyPathsForValuesAffectingValueForKey:]
00000001cda871a8 (__TEXT,__text) non-external +[MCAnimationKeyframe1D keyframeWithScalar:atTime:]
00000001cda871b0 (__TEXT,__text) non-external +[MCAnimationKeyframe1D keyframeWithScalar:atTime:offsetKind:]
00000001cda881ac (__TEXT,__text) non-external +[MCAnimationKeyframe2D keyframeWithPoint:atTime:]
00000001cda881b4 (__TEXT,__text) non-external +[MCAnimationKeyframe2D keyframeWithPoint:atTime:offsetKind:]
00000001cda874d4 (__TEXT,__text) non-external +[MCAnimationKeyframeFunction keyframeWithFunction:atTime:offsetKind:forDuration:]
00000001cda88b4c (__TEXT,__text) non-external +[MCAnimationKeyframeVector keyframeWithVector:atTime:]
00000001cda88b84 (__TEXT,__text) non-external +[MCAnimationKeyframeVector keyframeWithVector:atTime:offsetKind:]
00000001cda89030 (__TEXT,__text) non-external +[MCAnimationPath animationPathWithKey:]
00000001cda8a5f0 (__TEXT,__text) non-external +[MCAnimationPathExpression animationPathWithKey:andExpression:]
00000001cda8a8d4 (__TEXT,__text) non-external +[MCAnimationPathKeyframed animationPathWithKey:]
00000001cda8a858 (__TEXT,__text) non-external +[MCAnimationPathKeyframed keyPathsForValuesAffectingValueForKey:]
00000001cda8b32c (__TEXT,__text) non-external +[MCAnimationPathKeyframed timeForKeyframe:withPlugTiming:]
00000001cda8492c (__TEXT,__text) non-external +[MCAnimationTrigger animationTriggerForTargetPlugObjectID:withAnimationKey:]
00000001cda8c5b4 (__TEXT,__text) non-external +[MCAudioPlaylist keyPathsForValuesAffectingValueForKey:]
00000001cda83870 (__TEXT,__text) non-external +[MCConditionalAction conditionalActionWithPredicate:]
00000001cda838bc (__TEXT,__text) non-external +[MCConditionalAction conditionalActionWithPredicate:actionIfTrue:actionIfFalse:]
00000001cda8e440 (__TEXT,__text) non-external +[MCContainerEffect keyPathsForValuesAffectingValueForKey:]
00000001cda935a0 (__TEXT,__text) non-external +[MCContainerParallelizer keyPathsForValuesAffectingValueForKey:]
00000001cda94b24 (__TEXT,__text) non-external +[MCContainerSerializer keyPathsForValuesAffectingValueForKey:]
00000001cda8670c (__TEXT,__text) non-external +[MCGenericAction genericActionForTargetPlugObjectID:withAttributes:]
00000001cda85b9c (__TEXT,__text) non-external +[MCMotionTrigger motionTriggerForTargetPlugObjectID:withKey:andDuration:]
00000001cda86384 (__TEXT,__text) non-external +[MCMotionTriggerExpression motionTriggerForTargetPlugObjectID:withKey:duration:andExpression:]
00000001cda860fc (__TEXT,__text) non-external +[MCMotionTriggerScalar motionTriggerForTargetPlugObjectID:withKey:duration:andValue:]
00000001cda99f60 (__TEXT,__text) non-external +[MCObject objectWithImprint:andMontage:]
00000001cda99ce4 (__TEXT,__text) non-external +[MCObjectBase addArrayElement:toXMLElement:forName:]
00000001cda99abc (__TEXT,__text) non-external +[MCObjectBase addDictionaryElement:toXMLElement:forName:]
00000001cda99968 (__TEXT,__text) non-external +[MCObjectBase addDoubleAttribute:toXMLElement:forName:]
00000001cda998c0 (__TEXT,__text) non-external +[MCObjectBase addFloatAttribute:toXMLElement:forName:]
00000001cda99a20 (__TEXT,__text) non-external +[MCObjectBase addIntegerAttribute:toXMLElement:forName:]
00000001cda99844 (__TEXT,__text) non-external +[MCObjectBase addStringAttribute:toXMLElement:forName:]
00000001cda996b0 (__TEXT,__text) non-external +[MCObjectBase initialize]
00000001cda99eb0 (__TEXT,__text) non-external +[MCObjectLight objectWithImprint:]
00000001cda9aa30 (__TEXT,__text) non-external +[MCPlug keyPathsForValuesAffectingValueForKey:]
00000001cda9d1bc (__TEXT,__text) non-external +[MCPlugParallel keyPathsForValuesAffectingValueForKey:]
00000001cdaa18d4 (__TEXT,__text) non-external +[MCPlugSerial keyPathsForValuesAffectingValueForKey:]
00000001cdaa2154 (__TEXT,__text) non-external +[MCSlide keyPathsForValuesAffectingValueForKey:]
00000001cdaa6e20 (__TEXT,__text) non-external +[MCSong keyPathsForValuesAffectingValueForKey:]
00000001cda85010 (__TEXT,__text) non-external +[MCStateOperation stateOperationForTargetPlugObjectID:withStateKey:]
00000001cda858c8 (__TEXT,__text) non-external +[MCStateOperationExpression stateOperationForTargetPlugObjectID:withStateKey:andExpression:]
00000001cda85370 (__TEXT,__text) non-external +[MCStateOperationScalarSet stateOperationForTargetPlugObjectID:withStateKey:andScalar:]
00000001cda855f4 (__TEXT,__text) non-external +[MCStateOperationStringSet stateOperationForTargetPlugObjectID:withStateKey:andString:]
00000001cdab01a8 (__TEXT,__text) non-external +[MCTextConversion attributedStringWithCTAttributesFromStringAttributes:]
00000001cdab09f4 (__TEXT,__text) non-external +[MCTextConversion attributedStringWithNSAttributesFromStringAttributes:]
00000001cdaaef04 (__TEXT,__text) non-external +[MCTextConversion ligatureFromString:]
00000001cdaaef9c (__TEXT,__text) non-external +[MCTextConversion shadowFromTextFormat:]
00000001cdaaedfc (__TEXT,__text) non-external +[MCTextConversion stretchForFontDisplayName:andFamilyName:]
00000001cdaaffe4 (__TEXT,__text) non-external +[MCTextConversion stringAttributesWithAttributedString:]
00000001cdaaef78 (__TEXT,__text) non-external +[MCTextConversion stringFromLigature:]
00000001cdaaeee0 (__TEXT,__text) non-external +[MCTextConversion stringFromTextAlignment:]
00000001cdaaecb0 (__TEXT,__text) non-external +[MCTextConversion styleForFontDisplayName:andFamilyName:]
00000001cdaaee6c (__TEXT,__text) non-external +[MCTextConversion textAlignmentFromString:]
00000001cdaaf164 (__TEXT,__text) non-external +[MCTextConversion textFormatFromShadow:]
00000001cdaaf384 (__TEXT,__text) non-external +[MCTextConversion textFormatFromUnderlineStyle:]
00000001cdaaf464 (__TEXT,__text) non-external +[MCTextConversion textFormatWithCTAttributesForText:attributes:]
00000001cdaafad8 (__TEXT,__text) non-external +[MCTextConversion textFormatWithNSAttributesForText:attributes:]
00000001cdaaf238 (__TEXT,__text) non-external +[MCTextConversion underlineStyleFromTextFormat:]
00000001cdaaed54 (__TEXT,__text) non-external +[MCTextConversion weightForFontDisplayName:andFamilyName:]
00000001cda843bc (__TEXT,__text) non-external +[MCTransitionTrigger transitionForTargetPlugObjectID:withTransitionID:]
00000001cdb16998 (__TEXT,__text) non-external +[MEAudioSupport _addAudioPlaylistsFromPlug:toComposition:atTime:forTotalDuration:withID:forExport:fadingTimVols:duckingTimVols:assetManagementDelegate:]
00000001cdb166fc (__TEXT,__text) non-external +[MEAudioSupport _getShowTime:andShowDuration:forPlug:andSlideIndex:]
00000001cdb176e4 (__TEXT,__text) non-external +[MEAudioSupport _insertAudioTracksFromAsset:toComposition:atTime:withSongStartTime:songDuration:]
00000001cdb17a34 (__TEXT,__text) non-external +[MEAudioSupport _makeAVAudioMixForComposition:withDuration:andFadeOutDuration:fadingInfos:duckingInfos:]
00000001cdb16474 (__TEXT,__text) non-external +[MEAudioSupport compositionForExportForStartTime:andDuration:withDocument:forExport:audioMix:]
00000001cdaa837c (__TEXT,__text) non-external +[MEExporter copyWebRendererToPath:useDebug:]
00000001cdaa8554 (__TEXT,__text) non-external +[MEExporter postProcessWebRendererAtPath:]
00000001cdaa8cbc (__TEXT,__text) non-external +[MEExporter(Private) createErrorWithCode:andDescription:andSuggestion:andUnderlyingError:outError:]
00000001cdaa8d94 (__TEXT,__text) non-external +[MEExporter(Private) createErrorWithCode:andDescription:outError:]
00000001cdaa8dac (__TEXT,__text) non-external +[MEExporter(Private) createNotEnoughSpaceErrorForFreeSpace:andNeededSpace:outError:]
00000001cdaa8b8c (__TEXT,__text) non-external +[MEExporter(Private) createTemporaryDirectoryForPath:error:]
00000001cdaa8f08 (__TEXT,__text) non-external +[MEExporter(Private) localizedString:]
00000001cdaa91dc (__TEXT,__text) non-external +[MEExporterManager releaseSharedManager]
00000001cdaa916c (__TEXT,__text) non-external +[MEExporterManager sharedManager]
00000001cdb0ae34 (__TEXT,__text) non-external +[MEImageExporter operationWithOriginalPath:loadedImage:size:andDestinationPath:]
00000001cdb0add0 (__TEXT,__text) non-external +[MEImageExporter operationWithOriginalPath:size:andDestinationPath:]
00000001cdb0ad5c (__TEXT,__text) non-external +[MEImageExporter operationWithOriginalPath:size:blackWhite:andDestinationPath:]
00000001cdaa9f54 (__TEXT,__text) non-external +[MEPluginHTML5 matchesOptions:]
00000001cdaa9ed8 (__TEXT,__text) non-external +[MEPluginHTML5 registerPluginsToLoader:]
00000001cdafb6e8 (__TEXT,__text) non-external +[MEPluginPDF matchesOptions:]
00000001cdafb66c (__TEXT,__text) non-external +[MEPluginPDF registerPluginsToLoader:]
00000001cdb6579c (__TEXT,__text) non-external +[MEPluginVideoAVFoundation matchesOptions:]
00000001cdb65704 (__TEXT,__text) non-external +[MEPluginVideoAVFoundation registerPluginsToLoader:]
00000001cdb6768c (__TEXT,__text) non-external +[MEPluginVideoImageSequence matchesOptions:]
00000001cdb675f4 (__TEXT,__text) non-external +[MEPluginVideoImageSequence registerPluginsToLoader:]
00000001cd946e9c (__TEXT,__text) non-external +[MPAction action]
00000001cd946e94 (__TEXT,__text) non-external +[MPAction supportsSecureCoding]
00000001cd94968c (__TEXT,__text) non-external +[MPActionGroup actionGroup]
00000001cd9496bc (__TEXT,__text) non-external +[MPActionGroup supportsSecureCoding]
00000001cd9481d8 (__TEXT,__text) non-external +[MPActionTrigger actionTrigger]
00000001cd9481d0 (__TEXT,__text) non-external +[MPActionTrigger supportsSecureCoding]
00000001cd94a364 (__TEXT,__text) non-external +[MPAnimatedSet supportsSecureCoding]
00000001cd94cc10 (__TEXT,__text) non-external +[MPAnimationKeyframe supportsSecureCoding]
00000001cd94d0d4 (__TEXT,__text) non-external +[MPAnimationKeyframe1D keyframe1DWithScalar:atTime:]
00000001cd94d11c (__TEXT,__text) non-external +[MPAnimationKeyframe1D keyframe1DWithScalar:atTime:offsetType:]
00000001cd94d0cc (__TEXT,__text) non-external +[MPAnimationKeyframe1D supportsSecureCoding]
00000001cd94d53c (__TEXT,__text) non-external +[MPAnimationKeyframe2D keyframe2DWithPoint:atTime:]
00000001cd94d594 (__TEXT,__text) non-external +[MPAnimationKeyframe2D keyframe2DWithPoint:atTime:offsetType:]
00000001cd94d534 (__TEXT,__text) non-external +[MPAnimationKeyframe2D supportsSecureCoding]
00000001cd94e980 (__TEXT,__text) non-external +[MPAnimationKeyframeFunction keyframeFunctionWithFunction:atTime:offsetType:withDuration:]
00000001cd94e928 (__TEXT,__text) non-external +[MPAnimationKeyframeFunction keyframeFunctionWithFunction:atTime:withDuration:]
00000001cd94e920 (__TEXT,__text) non-external +[MPAnimationKeyframeFunction supportsSecureCoding]
00000001cd94e46c (__TEXT,__text) non-external +[MPAnimationKeyframeVector keyframeVectorWithVector:atTime:]
00000001cd94e4bc (__TEXT,__text) non-external +[MPAnimationKeyframeVector keyframeVectorWithVector:atTime:offsetType:]
00000001cd94e464 (__TEXT,__text) non-external +[MPAnimationKeyframeVector supportsSecureCoding]
00000001cd94f704 (__TEXT,__text) non-external +[MPAnimationManager releaseSharedManager]
00000001cd94f690 (__TEXT,__text) non-external +[MPAnimationManager sharedManager]
00000001cd94f7e0 (__TEXT,__text) non-external +[MPAnimationManager(Private) loadAnimationManagerWithPaths:]
00000001cd94fb74 (__TEXT,__text) non-external +[MPAnimationPath animationPath]
00000001cd94fb6c (__TEXT,__text) non-external +[MPAnimationPath supportsSecureCoding]
00000001cd94fdd4 (__TEXT,__text) non-external +[MPAnimationPathCombo animationPath]
00000001cd94fdcc (__TEXT,__text) non-external +[MPAnimationPathCombo supportsSecureCoding]
00000001cd95061c (__TEXT,__text) non-external +[MPAnimationPathKeyframed animationPath]
00000001cd950614 (__TEXT,__text) non-external +[MPAnimationPathKeyframed supportsSecureCoding]
00000001cd947cb8 (__TEXT,__text) non-external +[MPAnimationTrigger animationTrigger]
00000001cd947cb0 (__TEXT,__text) non-external +[MPAnimationTrigger supportsSecureCoding]
00000001cd952e1c (__TEXT,__text) non-external +[MPAssetManager releaseSharedManager]
00000001cd952e10 (__TEXT,__text) non-external +[MPAssetManager setInhibitSharedManagerInit:]
00000001cd936790 (__TEXT,__text) non-external +[MPAssetManager sharedManager]
00000001cd953814 (__TEXT,__text) non-external +[MPAssetManager(ImageUtils) convertCGImageToBuffer:]
00000001cd953ae4 (__TEXT,__text) non-external +[MPAssetManager(ImageUtils) convertCGImageToBufferUsingDataProvider:]
00000001cd9539cc (__TEXT,__text) non-external +[MPAssetManager(ImageUtils) convertCGImageToBufferUsingRGBDevice:]
00000001cd953c9c (__TEXT,__text) non-external +[MPAudioPlaylist audioPlaylist]
00000001cd953c6c (__TEXT,__text) non-external +[MPAudioPlaylist automaticallyNotifiesObserversForKey:]
00000001cd953c94 (__TEXT,__text) non-external +[MPAudioPlaylist supportsSecureCoding]
00000001cd955694 (__TEXT,__text) non-external +[MPAuthoringController releaseSharedController]
00000001cd955628 (__TEXT,__text) non-external +[MPAuthoringController sharedController]
00000001cd97c55c (__TEXT,__text) non-external +[MPAuthoringUtilities alignToBeatsFromOptions:]
00000001cd97e9fc (__TEXT,__text) non-external +[MPAuthoringUtilities alwaysIncludeLastTransitionFromOptions:]
00000001cd97cfa8 (__TEXT,__text) non-external +[MPAuthoringUtilities aspectRatioFromOptions:]
00000001cd97f1a4 (__TEXT,__text) non-external +[MPAuthoringUtilities aspectRatioMatchesDefault:withOptions:]
00000001cd97bde4 (__TEXT,__text) non-external +[MPAuthoringUtilities audioDurationFactorFromOptions:]
00000001cd97bd9c (__TEXT,__text) non-external +[MPAuthoringUtilities audioDurationFromOptions:]
00000001cd97be2c (__TEXT,__text) non-external +[MPAuthoringUtilities audioScalingModeFromOptions:]
00000001cd97c7c0 (__TEXT,__text) non-external +[MPAuthoringUtilities backgroundColorFromOptions:]
00000001cd97ee90 (__TEXT,__text) non-external +[MPAuthoringUtilities baseBreakAspectRatioFromOptions:]
00000001cd97ef04 (__TEXT,__text) non-external +[MPAuthoringUtilities basePortraitBreakAspectRatioFromOptions:]
00000001cd97c770 (__TEXT,__text) non-external +[MPAuthoringUtilities beatFactorFromOptions:]
00000001cd97eda8 (__TEXT,__text) non-external +[MPAuthoringUtilities breakDurationScaleFromOptions:]
00000001cd97e7bc (__TEXT,__text) non-external +[MPAuthoringUtilities canAdjustPhaseDurations:]
00000001cd97e4a8 (__TEXT,__text) non-external +[MPAuthoringUtilities canHaveTransitionsFromOptions:]
00000001cd97ca6c (__TEXT,__text) non-external +[MPAuthoringUtilities canRepeatEffectWithPreset:]
00000001cd97cbb4 (__TEXT,__text) non-external +[MPAuthoringUtilities canRepeatPreset:]
00000001cd97d114 (__TEXT,__text) non-external +[MPAuthoringUtilities collectVersionInformationFromOptions:]
00000001cd97e338 (__TEXT,__text) non-external +[MPAuthoringUtilities colorSchemeFromOptions:]
00000001cd97c5f0 (__TEXT,__text) non-external +[MPAuthoringUtilities createBeatsFromOptions:]
00000001cd97befc (__TEXT,__text) non-external +[MPAuthoringUtilities croppingModeForFitMoviesFromOptions:]
00000001cd97be70 (__TEXT,__text) non-external +[MPAuthoringUtilities croppingModeFromOptions:]
00000001cd97ec6c (__TEXT,__text) non-external +[MPAuthoringUtilities customDurationsFromOptions:]
00000001cd97f3b8 (__TEXT,__text) non-external +[MPAuthoringUtilities distanceBetween:andPoint:]
00000001cd97c938 (__TEXT,__text) non-external +[MPAuthoringUtilities durationPerEffectFromOptions:]
00000001cd97c2cc (__TEXT,__text) non-external +[MPAuthoringUtilities easeKenBurnsPanFromOptions:]
00000001cd97e294 (__TEXT,__text) non-external +[MPAuthoringUtilities effectDecidesTransitionFromOptions:]
00000001cd97cfe8 (__TEXT,__text) non-external +[MPAuthoringUtilities effectListFromOptions:]
00000001cd97cb10 (__TEXT,__text) non-external +[MPAuthoringUtilities effectNeedsPreviousAttributesFromOptions:]
00000001cd97dbf4 (__TEXT,__text) non-external +[MPAuthoringUtilities effectPadding:]
00000001cd97dd08 (__TEXT,__text) non-external +[MPAuthoringUtilities exportTransitionDurationFromOptions:]
00000001cd97dc9c (__TEXT,__text) non-external +[MPAuthoringUtilities exportTransitionIDFromOptions:]
00000001cd97e96c (__TEXT,__text) non-external +[MPAuthoringUtilities fadeOutAudioFromOptions:]
00000001cd97ec80 (__TEXT,__text) non-external +[MPAuthoringUtilities fadeOutDurationFromOptions:]
00000001cd97cee8 (__TEXT,__text) non-external +[MPAuthoringUtilities fitMoviesWhenPossibleFromOptions:]
00000001cd97f190 (__TEXT,__text) non-external +[MPAuthoringUtilities gapInformationFromOptions:]
00000001cd97d808 (__TEXT,__text) non-external +[MPAuthoringUtilities idFromPresetID:]
00000001cd97badc (__TEXT,__text) non-external +[MPAuthoringUtilities ignoreClusteringForImages:withOptions:]
00000001cd97d204 (__TEXT,__text) non-external +[MPAuthoringUtilities ignoreTransitionListFromOptions:]
00000001cd97d36c (__TEXT,__text) non-external +[MPAuthoringUtilities introDurationFromOptions:]
00000001cd97d670 (__TEXT,__text) non-external +[MPAuthoringUtilities introEffectIDFromOptions:]
00000001cd97f10c (__TEXT,__text) non-external +[MPAuthoringUtilities isLayerEffectAuthoredFromOptions:]
00000001cd97f2e4 (__TEXT,__text) non-external +[MPAuthoringUtilities kbCenterPointFromRect:]
00000001cd97c1c4 (__TEXT,__text) non-external +[MPAuthoringUtilities kenBurnsAlwaysZoomInFromOptions:]
00000001cd97c248 (__TEXT,__text) non-external +[MPAuthoringUtilities kenBurnsBreaksFromOptions:]
00000001cd97c150 (__TEXT,__text) non-external +[MPAuthoringUtilities kenBurnsEndZoomLevelFromOptions:]
00000001cd97c350 (__TEXT,__text) non-external +[MPAuthoringUtilities kenBurnsLevelFromOptions:]
00000001cd97bf64 (__TEXT,__text) non-external +[MPAuthoringUtilities kenBurnsLikelihoodFromOptions:]
00000001cd97c3e0 (__TEXT,__text) non-external +[MPAuthoringUtilities kenBurnsOffsetTypeFromOptions:]
00000001cd97c04c (__TEXT,__text) non-external +[MPAuthoringUtilities kenBurnsPanFactorFromOptions:]
00000001cd97c0dc (__TEXT,__text) non-external +[MPAuthoringUtilities kenBurnsStartZoomLevelFromOptions:]
00000001cd97d080 (__TEXT,__text) non-external +[MPAuthoringUtilities kenBurnsZoomFactorFromOptions:]
00000001cd97da04 (__TEXT,__text) non-external +[MPAuthoringUtilities lastPresetFromOptions:]
00000001cd97c468 (__TEXT,__text) non-external +[MPAuthoringUtilities layerCanSkipScaleCalculation:withOptions:]
00000001cd97dd78 (__TEXT,__text) non-external +[MPAuthoringUtilities layerDescriptionForLayerWithZIndex:forStyle:]
00000001cd97dec4 (__TEXT,__text) non-external +[MPAuthoringUtilities layerHasImagesFromOptions:]
00000001cd97bd58 (__TEXT,__text) non-external +[MPAuthoringUtilities layerIndexFromOptions:]
00000001cd97c9e4 (__TEXT,__text) non-external +[MPAuthoringUtilities layerOffsetFromOptions:]
00000001cd97c6d8 (__TEXT,__text) non-external +[MPAuthoringUtilities layerTimeScaleFromOptions:]
00000001cd97eabc (__TEXT,__text) non-external +[MPAuthoringUtilities layerTypeFromOptions:]
00000001cd97c634 (__TEXT,__text) non-external +[MPAuthoringUtilities lockTransitionDurationFromOptions:]
00000001cd97dc30 (__TEXT,__text) non-external +[MPAuthoringUtilities loopTransitionIDFromOptions:]
00000001cd97f088 (__TEXT,__text) non-external +[MPAuthoringUtilities matchEffectsUsingTagsFromOptions:]
00000001cd97c894 (__TEXT,__text) non-external +[MPAuthoringUtilities matchPhasesWithTransitionFromOptions:]
00000001cd97c010 (__TEXT,__text) non-external +[MPAuthoringUtilities maxKenBurnsZoomFromOptions:]
00000001cd97d628 (__TEXT,__text) non-external +[MPAuthoringUtilities maxNumberOfSlidesToPreloadFromOptions:]
00000001cd97e07c (__TEXT,__text) non-external +[MPAuthoringUtilities maximumTransitionDurationFromOptions:]
00000001cd97e128 (__TEXT,__text) non-external +[MPAuthoringUtilities minimumEffectDurationFromOptions:]
00000001cd97d5e4 (__TEXT,__text) non-external +[MPAuthoringUtilities minimumNumberOfDynamicSlidesToAddFromOptions:]
00000001cd97dfd4 (__TEXT,__text) non-external +[MPAuthoringUtilities minimumTransitionDurationFromOptions:]
00000001cd97e258 (__TEXT,__text) non-external +[MPAuthoringUtilities movieVolumeFromOptions:]
00000001cd97f3d4 (__TEXT,__text) non-external +[MPAuthoringUtilities multilineSizeFactorFromOptions:]
00000001cd97e588 (__TEXT,__text) non-external +[MPAuthoringUtilities needsFitMovieAttributeFromOptions:]
00000001cd97df6c (__TEXT,__text) non-external +[MPAuthoringUtilities numberOfLayersFromOptions:]
00000001cd97d498 (__TEXT,__text) non-external +[MPAuthoringUtilities outroDurationFromOptions:]
00000001cd97d2b0 (__TEXT,__text) non-external +[MPAuthoringUtilities outroEffectIDFromOptions:]
00000001cd97e214 (__TEXT,__text) non-external +[MPAuthoringUtilities padTextOnlyEffects:]
00000001cd97ebf0 (__TEXT,__text) non-external +[MPAuthoringUtilities performFaceDetectionFromOptions:]
00000001cd97e6a0 (__TEXT,__text) non-external +[MPAuthoringUtilities pickEffectsEvenlyByIDWithOptions:]
00000001cd97e5f0 (__TEXT,__text) non-external +[MPAuthoringUtilities pickTransitionsEvenlyByIDWithOptions:]
00000001cd97ee1c (__TEXT,__text) non-external +[MPAuthoringUtilities portraitBreakDurationScaleFromOptions:]
00000001cd97ea40 (__TEXT,__text) non-external +[MPAuthoringUtilities presentationOrderFromOptions:]
00000001cd97d87c (__TEXT,__text) non-external +[MPAuthoringUtilities presetIDFromPresetID:]
00000001cd97cf2c (__TEXT,__text) non-external +[MPAuthoringUtilities randomSeedFromOptions:]
00000001cd97eb2c (__TEXT,__text) non-external +[MPAuthoringUtilities reconfigureRangeFromOptions:]
00000001cd97f2b4 (__TEXT,__text) non-external +[MPAuthoringUtilities rectToFitIn:withAspectRatio:]
00000001cd97eb74 (__TEXT,__text) non-external +[MPAuthoringUtilities regionOfInterestPickModeFromOptions:]
00000001cd97e3f0 (__TEXT,__text) non-external +[MPAuthoringUtilities reorderModeFromOptions:]
00000001cd97d15c (__TEXT,__text) non-external +[MPAuthoringUtilities repeatTransitionsFromOptions:]
00000001cd97c778 (__TEXT,__text) non-external +[MPAuthoringUtilities replaceAudioPlaylistFromOptions:]
00000001cd97e874 (__TEXT,__text) non-external +[MPAuthoringUtilities requestGeneratedImagesFromOptions:]
00000001cd97ed08 (__TEXT,__text) non-external +[MPAuthoringUtilities scaleEffectsForPanoramasFromOptions:]
00000001cd97d540 (__TEXT,__text) non-external +[MPAuthoringUtilities scaleOutroEffectFromOptions:]
00000001cd97ef78 (__TEXT,__text) non-external +[MPAuthoringUtilities screenSizeFromOptions:]
00000001cd97d8e4 (__TEXT,__text) non-external +[MPAuthoringUtilities shouldComputeFramesFromOptions:]
00000001cd97db4c (__TEXT,__text) non-external +[MPAuthoringUtilities shouldComputeLoopTransitionFromOptions:]
00000001cd97daa0 (__TEXT,__text) non-external +[MPAuthoringUtilities shouldComputeSlideFiltersFromOptions:]
00000001cd97d954 (__TEXT,__text) non-external +[MPAuthoringUtilities shouldComputeTransitionsFromOptions:]
00000001cd97e9b4 (__TEXT,__text) non-external +[MPAuthoringUtilities shouldDuckMoviesFromOptions:]
00000001cd97bd20 (__TEXT,__text) non-external +[MPAuthoringUtilities styleFromOptions:]
00000001cd97ec58 (__TEXT,__text) non-external +[MPAuthoringUtilities subtitlesFromOptions:]
00000001cd97d70c (__TEXT,__text) non-external +[MPAuthoringUtilities titleEffectFromOptions:]
00000001cd97cc5c (__TEXT,__text) non-external +[MPAuthoringUtilities transitionDurationFromOptions:]
00000001cd97d218 (__TEXT,__text) non-external +[MPAuthoringUtilities transitionListFromOptions:]
