                 (undefined) external _CCHmac (from libSystem)
                 (undefined) external _CFArrayGetCount (from CoreFoundation)
                 (undefined) external _CFArrayGetValueAtIndex (from CoreFoundation)
                 (undefined) external _CFRelease (from CoreFoundation)
                 (undefined) external _CFStringGetCString (from CoreFoundation)
                 (undefined) external _CFStringGetCStringPtr (from CoreFoundation)
00000001920de530 (__TEXT,__text) external _NEAuditTokenForPID
00000001920c42b4 (__TEXT,__text) external _NEHelperTrackerClearCache
00000001920c3620 (__TEXT,__text) external _NEHelperTrackerContextGetDomain
00000001920c362c (__TEXT,__text) external _NEHelperTrackerContextGetDomainOwner
00000001d98adb4c (__DATA,__bss) non-external _NEHelperTrackerDomainIsApproved.buffer
00000001920c51cc (__TEXT,__text) external _NEHelperTrackerDumpIPEntries
00000001920c469c (__TEXT,__text) external _NEHelperTrackerFillParameters
00000001920c3344 (__TEXT,__text) external _NEHelperTrackerFreeAppInfo
00000001920c3310 (__TEXT,__text) external _NEHelperTrackerGetAppInfo
00000001920c3418 (__TEXT,__text) external _NEHelperTrackerGetAppUUID
00000001920c3638 (__TEXT,__text) external _NEHelperTrackerGetDisposition
00000001d98ad7d8 (__DATA,__bss) non-external _NEHelperTrackerGetDisposition.buffer
00000001d98ad950 (__DATA,__bss) non-external _NEHelperTrackerGetDisposition.puny_coded_domain_buf
00000001920c4354 (__TEXT,__text) external _NEHelperTrackerParseTLV
00000001920c3cd8 (__TEXT,__text) non-external _NEHelperTrackerProcessMatch
00000001920de1ac (__TEXT,__text) external _NEPIDByName
00000001920c3198 (__TEXT,__text) external _NEPunyCodeString
00000001920de6c4 (__TEXT,__text) external _NEUIDForAuditToken
                 (undefined) external _SANDBOX_CHECK_NO_REPORT (from libSystem)
                 (undefined) external _SecRandomCopyBytes (from Security)
                 (undefined) external _SecTaskCopySigningIdentifier (from Security)
                 (undefined) external _SecTaskCreateWithAuditToken (from Security)
                 (undefined) external __Block_copy (from libSystem)
                 (undefined) external __Block_object_assign (from libSystem)
                 (undefined) external __Block_object_dispose (from libSystem)
                 (undefined) external __Block_release (from libSystem)
                 (undefined) external __CFXPCCreateCFObjectFromXPCObject (from CoreFoundation)
                 (undefined) external __NSConcreteGlobalBlock (from libSystem)
                 (undefined) external __NSConcreteStackBlock (from libSystem)
00000001920c628c (__TEXT,__text) non-external ___Block_byref_object_copy_
00000001920c629c (__TEXT,__text) non-external ___Block_byref_object_dispose_
00000001920c4208 (__TEXT,__text) non-external ___NEHelperTrackerDomainIsApproved_block_invoke
                 (undefined) external ___assert_rtn (from libSystem)
00000001ddf565b8 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp
00000001d4ec8068 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.1
00000001d4ec7a60 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.10
00000001ddf56d68 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.10.94
00000001ddf568d8 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.113
00000001ddf56908 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.116
00000001ddf56668 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.13
00000001d4ec8048 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.153
00000001ddf56e48 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.16
00000001ddf56698 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.17
00000001d4ec7af8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.173
00000001d4ec7b18 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.174
00000001ddf56938 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.178
00000001d4ec7fa0 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.18
00000001d4ec7b38 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.182
00000001d4ec7b58 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.187
00000001d4ec7fc0 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.19
00000001ddf569a8 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.193
00000001ddf569d8 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.196
00000001ddf566c8 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.20
00000001ddf56a08 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.201
00000001ddf56a38 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.204
00000001d4ec7b78 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.208
00000001ddf56e78 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.21
00000001ddf56a68 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.215
00000001d4ec7b98 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.216
00000001ddf56a98 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.219
00000001ddf56ac8 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.225
00000001ddf56af8 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.228
00000001ddf56b28 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.232
00000001ddf56b58 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.235
00000001d4ec7bb8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.237
00000001ddf56ea8 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.24
00000001ddf56b88 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.240
00000001ddf56bb8 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.241
00000001d4ec7d10 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.258
00000001d4ec80b8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.26
00000001d4ec7d30 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.261
00000001d4ec7d50 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.264
00000001d4ec7fe0 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.27
00000001d4ec80d8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.27.239
00000001ddf56c28 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.270
00000001d4ec7d70 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.274
00000001d4ec80f8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.28
00000001ddf56c78 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.280
00000001d4ec7d90 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.283
00000001d4ec7db0 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.285
00000001ddf566f8 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.29
00000001ddf56ca8 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.293
00000001ddf56cd8 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.300
00000001d4ec8000 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.36
00000001ddf56728 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.38
00000001ddf56dd8 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.39
00000001d4ec8118 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.40
00000001ddf56758 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.42
00000001d4ec8138 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.42.214
00000001ddf56ed8 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.43
00000001d4ec8158 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.45
00000001d4ec7a20 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.46
00000001ddf56788 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.46.57
00000001ddf567b8 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.49
00000001d4ec8178 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.49.186
00000001d4ec8198 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.50
00000001ddf567e8 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.52
00000001ddf56f08 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.53
00000001d4ec7a80 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.54
00000001d4ec81b8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.55
00000001d4ec81d8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.56
00000001d4ec81f8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.57
00000001d4ec8218 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.58
00000001ddf56d38 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.6
00000001d4ec8238 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.60
00000001d4ec7aa0 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.61
00000001ddf56818 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.64
00000001ddf56608 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.7
00000001ddf56848 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.70
00000001ddf56878 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.73
00000001d4ec8258 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.73.229
00000001d4ec8278 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.74
00000001ddf568a8 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.76
00000001d4ec7a40 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.8
00000001d4ec7ad8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.86
00000001ddf56638 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.9
00000001d4ec8098 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.9.264
00000001ddf56d08 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.92
00000001ddf565e8 (__AUTH_CONST,__const) non-external ___block_literal_global
00000001ddf56d98 (__AUTH_CONST,__const) non-external ___block_literal_global.147
00000001ddf56e08 (__AUTH_CONST,__const) non-external ___block_literal_global.151
00000001ddf56968 (__AUTH_CONST,__const) non-external ___block_literal_global.184
00000001ddf56988 (__AUTH_CONST,__const) non-external ___block_literal_global.189
00000001ddf56db8 (__AUTH_CONST,__const) non-external ___block_literal_global.21
00000001ddf56be8 (__AUTH_CONST,__const) non-external ___block_literal_global.260
00000001ddf56c08 (__AUTH_CONST,__const) non-external ___block_literal_global.263
00000001ddf56c58 (__AUTH_CONST,__const) non-external ___block_literal_global.276
00000001ddf56e28 (__AUTH_CONST,__const) non-external ___block_literal_global.3
                 (undefined) external ___chkstk_darwin (from libSystem)
00000001920c6098 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_8_32b
00000001920c4264 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_8_32r
00000001920d8ff8 (__TEXT,__text) non-external ___copy_helper_block_8_32r40r
00000001920c9b0c (__TEXT,__text) non-external ___copy_helper_block_8_32r40r48r56r
00000001920c608c (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_8_32b
00000001920c4258 (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_8_32r
00000001920d8fb4 (__TEXT,__text) non-external ___destroy_helper_block_8_32r40r
00000001920c9ab0 (__TEXT,__text) non-external ___destroy_helper_block_8_32r40r48r56r
                 (undefined) external ___error (from libSystem)
00000001920c5f30 (__TEXT,__text) non-external ___fetch_status_block_invoke
00000001920c5f48 (__TEXT,__text) non-external ___fetch_status_block_invoke.197
00000001920c613c (__TEXT,__text) non-external ___fetch_status_block_invoke_2
00000001920c650c (__TEXT,__text) non-external ___get_connection_block_invoke
00000001920c5b34 (__TEXT,__text) non-external ___get_current_notify_pid_block_invoke
00000001920cd00c (__TEXT,__text) non-external ___get_flow_divert_token_from_session_manager_block_invoke
00000001920ccd74 (__TEXT,__text) non-external ___get_flow_divert_token_from_session_manager_block_invoke.281
00000001920cce6c (__TEXT,__text) non-external ___get_flow_divert_token_from_session_manager_block_invoke.289
00000001920ccd28 (__TEXT,__text) non-external ___get_flow_divert_token_from_session_manager_block_invoke_2
00000001920ccf04 (__TEXT,__text) non-external ___get_flow_divert_token_from_session_manager_block_invoke_2.282
00000001920c66c4 (__TEXT,__text) non-external ___globals_init_block_invoke
00000001920cea3c (__TEXT,__text) non-external ___ne_copy_cached_bundle_identifier_for_synthesized_uuid_locked_block_invoke
00000001920ce93c (__TEXT,__text) non-external ___ne_copy_cached_bundle_identifier_for_uuid_block_invoke
00000001920ceb1c (__TEXT,__text) non-external ___ne_copy_cached_bundle_identifier_for_uuid_block_invoke_2
00000001920ce66c (__TEXT,__text) non-external ___ne_copy_cached_uuids_for_bundle_identifier_block_invoke
00000001920d0044 (__TEXT,__text) non-external ___ne_filter_connection_queue_block_invoke
00000001920d9204 (__TEXT,__text) non-external ___ne_filter_data_protocol_send_data_block_invoke
00000001920d94ac (__TEXT,__text) non-external ___ne_filter_data_protocol_send_data_block_invoke.39
00000001920d19e4 (__TEXT,__text) non-external ___ne_filter_data_protocol_send_finished_block_invoke
00000001920d1c70 (__TEXT,__text) non-external ___ne_filter_data_protocol_send_finished_block_invoke.48
00000001920d9988 (__TEXT,__text) non-external ___ne_filter_data_protocol_send_new_flow_block_invoke
00000001920d9c0c (__TEXT,__text) non-external ___ne_filter_data_protocol_send_new_flow_block_invoke.72
00000001920dd178 (__TEXT,__text) non-external ___ne_filter_destroy_frames_block_invoke
00000001920dd1bc (__TEXT,__text) non-external ___ne_filter_destroy_frames_block_invoke_2
00000001920dd200 (__TEXT,__text) non-external ___ne_filter_destroy_frames_block_invoke_3
00000001920d0c40 (__TEXT,__text) non-external ___ne_filter_get_definition_block_invoke
00000001920dd938 (__TEXT,__text) non-external ___ne_filter_protocol_add_input_handler_block_invoke
00000001920dd950 (__TEXT,__text) non-external ___ne_filter_protocol_add_input_handler_block_invoke.18
00000001920dd9ec (__TEXT,__text) non-external ___ne_filter_protocol_add_input_handler_block_invoke_2
00000001920db924 (__TEXT,__text) non-external ___ne_filter_protocol_finalize_output_frames_block_invoke
00000001920d8794 (__TEXT,__text) non-external ___ne_filter_protocol_fulfill_frame_request_block_invoke
00000001920d8f64 (__TEXT,__text) non-external ___ne_filter_protocol_fulfill_frame_request_block_invoke.44
00000001920dcd30 (__TEXT,__text) non-external ___ne_filter_protocol_get_input_frames_block_invoke
00000001920dcd88 (__TEXT,__text) non-external ___ne_filter_protocol_get_input_frames_block_invoke.54
00000001920dcddc (__TEXT,__text) non-external ___ne_filter_protocol_get_input_frames_block_invoke_2
00000001920de0ac (__TEXT,__text) non-external ___ne_filter_protocol_handle_message_block_invoke
00000001920d0cd0 (__TEXT,__text) non-external ___ne_filter_protocol_identifier_block_invoke
00000001920cf574 (__TEXT,__text) non-external ___ne_filter_request_connection_block_invoke
00000001920cf5f4 (__TEXT,__text) non-external ___ne_filter_request_connection_block_invoke.2
00000001920cf670 (__TEXT,__text) non-external ___ne_filter_request_connection_block_invoke.7
00000001920cfa08 (__TEXT,__text) non-external ___ne_filter_request_xpc_connection_block_invoke
00000001920cfa94 (__TEXT,__text) non-external ___ne_filter_request_xpc_connection_block_invoke.31
00000001920cfe3c (__TEXT,__text) non-external ___ne_filter_request_xpc_connection_block_invoke.35
00000001920d969c (__TEXT,__text) non-external ___ne_filter_send_approved_frames_block_invoke
00000001920d9948 (__TEXT,__text) non-external ___ne_filter_send_approved_frames_block_invoke.59
00000001920d0b04 (__TEXT,__text) non-external ___ne_filter_stats_report_register_block_invoke
00000001920c993c (__TEXT,__text) non-external ___ne_parse_necp_drop_dest_dictionary_block_invoke
00000001920c75d8 (__TEXT,__text) non-external ___ne_session_cancel_block_invoke
00000001920c64b0 (__TEXT,__text) non-external ___ne_session_clear_event_handler_block_invoke
00000001920cbab4 (__TEXT,__text) non-external ___ne_session_copy_cached_values_locked_block_invoke
00000001920cbb2c (__TEXT,__text) non-external ___ne_session_copy_cached_values_locked_block_invoke_2
00000001920cb8bc (__TEXT,__text) non-external ___ne_session_copy_cached_values_locked_block_invoke_3
00000001920cc200 (__TEXT,__text) non-external ___ne_session_copy_security_session_info_block_invoke
00000001920c72ec (__TEXT,__text) non-external ___ne_session_create_block_invoke
00000001920c89d4 (__TEXT,__text) non-external ___ne_session_establish_ipc_block_invoke
00000001920c8b88 (__TEXT,__text) non-external ___ne_session_establish_ipc_block_invoke.65
00000001920c8b30 (__TEXT,__text) non-external ___ne_session_establish_ipc_block_invoke_2
00000001920c8c6c (__TEXT,__text) non-external ___ne_session_establish_ipc_block_invoke_2.67
00000001920c7eb8 (__TEXT,__text) non-external ___ne_session_get_info_with_parameters_block_invoke
00000001920c80ec (__TEXT,__text) non-external ___ne_session_get_info_with_parameters_block_invoke.220
00000001920c82c0 (__TEXT,__text) non-external ___ne_session_get_info_with_parameters_block_invoke.222
00000001920c8268 (__TEXT,__text) non-external ___ne_session_get_info_with_parameters_block_invoke.229
00000001920c8094 (__TEXT,__text) non-external ___ne_session_get_info_with_parameters_block_invoke_2
00000001920c7668 (__TEXT,__text) non-external ___ne_session_get_status_block_invoke
00000001920c7828 (__TEXT,__text) non-external ___ne_session_get_status_block_invoke.14
00000001920c77d4 (__TEXT,__text) non-external ___ne_session_get_status_block_invoke_2
00000001920c7080 (__TEXT,__text) non-external ___ne_session_is_always_on_vpn_enabled_block_invoke
00000001920c7970 (__TEXT,__text) non-external ___ne_session_local_communication_send_info_block_invoke
00000001920c7b9c (__TEXT,__text) non-external ___ne_session_local_communication_send_info_block_invoke.33
00000001920c7d70 (__TEXT,__text) non-external ___ne_session_local_communication_send_info_block_invoke.35
00000001920c7d18 (__TEXT,__text) non-external ___ne_session_local_communication_send_info_block_invoke.43
00000001920c7b44 (__TEXT,__text) non-external ___ne_session_local_communication_send_info_block_invoke_2
00000001920c9244 (__TEXT,__text) non-external ___ne_session_parse_necp_drop_dest_array_block_invoke
00000001920cccdc (__TEXT,__text) non-external ___ne_session_policy_copy_flow_divert_token_block_invoke
00000001920c6370 (__TEXT,__text) non-external ___ne_session_release_block_invoke
00000001920c8488 (__TEXT,__text) non-external ___ne_session_send_barrier_block_invoke
00000001920c84ec (__TEXT,__text) non-external ___ne_session_send_barrier_block_invoke.53
00000001920c74e0 (__TEXT,__text) non-external ___ne_session_set_event_handler_block_invoke
00000001920c85ac (__TEXT,__text) non-external ___ne_session_start_on_behalf_of_block_invoke
00000001920c8854 (__TEXT,__text) non-external ___ne_session_stop_with_reason_block_invoke
00000001920cba3c (__TEXT,__text) non-external ___ne_session_update_cached_values_block_invoke
00000001920cae8c (__TEXT,__text) non-external ___nehelper_copy_connection_for_delegate_class_block_invoke
00000001920c618c (__TEXT,__text) non-external ___notify_client_block_invoke
00000001920c62a8 (__TEXT,__text) non-external ___notify_client_block_invoke.212
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___strlcpy_chk (from libSystem)
                 (undefined) external ___tolower (from libSystem)
                 (undefined) external __dispatch_source_type_timer (from libSystem)
00000001d98add2c (__DATA,__bss) non-external __ne_session_cache_lock
00000001d98ad7b4 (__DATA,__data) non-external __ne_session_cache_notify_token
00000001d98add68 (__DATA,__bss) non-external __ne_session_master_cache
                 (undefined) external __os_log_debug_impl (from libSystem)
                 (undefined) external __os_log_error_impl (from libSystem)
                 (undefined) external __os_log_fault_impl (from libSystem)
                 (undefined) external __os_log_impl (from libSystem)
                 (undefined) external __xpc_error_connection_interrupted (from libSystem)
                 (undefined) external __xpc_error_key_description (from libSystem)
                 (undefined) external __xpc_type_array (from libSystem)
                 (undefined) external __xpc_type_data (from libSystem)
                 (undefined) external __xpc_type_dictionary (from libSystem)
                 (undefined) external __xpc_type_endpoint (from libSystem)
                 (undefined) external __xpc_type_error (from libSystem)
                 (undefined) external __xpc_type_string (from libSystem)
                 (undefined) external _audit_session_port (from libSystem)
                 (undefined) external _audit_session_self (from libSystem)
                 (undefined) external _audit_token_to_asid (from libbsm)
                 (undefined) external _audit_token_to_egid (from libbsm)
                 (undefined) external _audit_token_to_euid (from libbsm)
                 (undefined) external _audit_token_to_pid (from libbsm)
                 (undefined) external _bootstrap_port (from libSystem)
                 (undefined) external _bzero (from libSystem)
                 (undefined) external _calloc (from libSystem)
                 (undefined) external _cc_cmp_safe (from libSystem)
                 (undefined) external _cchkdf (from libSystem)
                 (undefined) external _cchmac_final (from libSystem)
                 (undefined) external _cchmac_init (from libSystem)
                 (undefined) external _cchmac_update (from libSystem)
                 (undefined) external _ccsha256_di (from libSystem)
                 (undefined) external _close (from libSystem)
                 (undefined) external _csops (from libSystem)
                 (undefined) external _dispatch_activate (from libSystem)
                 (undefined) external _dispatch_async (from libSystem)
                 (undefined) external _dispatch_group_create (from libSystem)
                 (undefined) external _dispatch_group_enter (from libSystem)
                 (undefined) external _dispatch_group_leave (from libSystem)
                 (undefined) external _dispatch_group_notify (from libSystem)
                 (undefined) external _dispatch_once (from libSystem)
                 (undefined) external _dispatch_queue_create (from libSystem)
                 (undefined) external _dispatch_release (from libSystem)
                 (undefined) external _dispatch_resume (from libSystem)
                 (undefined) external _dispatch_retain (from libSystem)
                 (undefined) external _dispatch_semaphore_create (from libSystem)
                 (undefined) external _dispatch_semaphore_signal (from libSystem)
                 (undefined) external _dispatch_semaphore_wait (from libSystem)
                 (undefined) external _dispatch_source_cancel (from libSystem)
                 (undefined) external _dispatch_source_create (from libSystem)
                 (undefined) external _dispatch_source_set_event_handler (from libSystem)
                 (undefined) external _dispatch_source_set_timer (from libSystem)
                 (undefined) external _dispatch_suspend (from libSystem)
                 (undefined) external _dispatch_sync (from libSystem)
                 (undefined) external _dispatch_time (from libSystem)
00000001920c5bd0 (__TEXT,__text) non-external _fetch_status
                 (undefined) external _free (from libSystem)
                 (undefined) external _fstat (from libSystem)
00000001d98ad7d4 (__DATA,__common) external _g_NEFilterDisable
00000001d98adde8 (__DATA,__bss) non-external _g_filter_protocol_callbacks
00000001d98addbc (__DATA,__bss) non-external _g_filter_protocol_identifier
00000001d98ad7c0 (__DATA,__common) external _g_ne_read_uuid_cache
00000001d98ad7c1 (__DATA,__common) external _g_ne_uuid_cache_hit
00000001d98adcb0 (__DATA,__bss) non-external _g_queue
00000001d98adcb8 (__DATA,__bss) non-external _g_sessions
00000001d98ad7c8 (__DATA,__common) external _g_stats_globals
00000001d98ad7d0 (__DATA,__common) external _g_testControlUnit
00000001d98add88 (__DATA,__bss) non-external _g_testProviderFactory
00000001d98add38 (__DATA,__bss) non-external _g_uuid_cache
00000001d98add30 (__DATA,__bss) non-external _g_uuid_cache_lock
00000001920c5d40 (__TEXT,__text) non-external _get_connection
00000001920c6c64 (__TEXT,__text) non-external _get_current_config_state
00000001d98ad7b0 (__DATA,__data) non-external _get_current_config_state.config_token
00000001d98add58 (__DATA,__bss) non-external _get_current_config_state.current_state
00000001920c5a9c (__TEXT,__text) non-external _get_current_notify_pid
00000001d98add48 (__DATA,__bss) non-external _get_current_notify_pid.current_pid
00000001d98ad7a8 (__DATA,__data) non-external _get_current_notify_pid.sm_token
00000001d98add78 (__DATA,__bss) non-external _get_flow_divert_token_from_session_manager.token_init
00000001d98add70 (__DATA,__bss) non-external _get_flow_divert_token_from_session_manager.token_queue
                 (undefined) external _getegid (from libSystem)
                 (undefined) external _geteuid (from libSystem)
                 (undefined) external _getpid (from libSystem)
                 (undefined) external _getsockopt (from libSystem)
00000001d98add60 (__DATA,__bss) non-external _globals_init.sess_init
                 (undefined) external _in6addr_any (from libSystem)
                 (undefined) external _inet_ntop (from libSystem)
                 (undefined) external _inet_pton (from libSystem)
                 (undefined) external _kCFAllocatorDefault (from CoreFoundation)
                 (undefined) external _kSecRandomDefault (from Security)
                 (undefined) external _mach_absolute_time (from libSystem)
                 (undefined) external _mach_error_string (from libSystem)
                 (undefined) external _mach_task_self_ (from libSystem)
                 (undefined) external _mach_timebase_info (from libSystem)
                 (undefined) external _malloc (from libSystem)
                 (undefined) external _memcmp (from libSystem)
                 (undefined) external _memcpy (from libSystem)
00000001920ce73c (__TEXT,__text) external _ne_copy_cached_bundle_identifier_for_uuid
00000001920cebe0 (__TEXT,__text) external _ne_copy_cached_preferred_bundle_for_bundle_identifier
00000001920ce528 (__TEXT,__text) non-external _ne_copy_cached_synthesized_uuids_for_bundle_identifier_locked
00000001920ce3ac (__TEXT,__text) external _ne_copy_cached_uuids_for_bundle_identifier
00000001920cd74c (__TEXT,__text) external _ne_copy_signature_info_for_pid
00000001920cd564 (__TEXT,__text) external _ne_copy_signing_identifier_for_pid
00000001920ce36c (__TEXT,__text) external _ne_copy_uuid_cache
00000001920cd950 (__TEXT,__text) external _ne_copy_uuid_cache_locked
00000001d98add40 (__DATA,__bss) non-external _ne_copy_uuid_cache_locked.g_my_os_version
00000001920d035c (__TEXT,__text) external _ne_filter_allocate_globals
00000001920d6390 (__TEXT,__text) non-external _ne_filter_cleanup
00000001d98add90 (__DATA,__bss) non-external _ne_filter_connection_queue.filter_queue
00000001d98add98 (__DATA,__bss) non-external _ne_filter_connection_queue.onceToken
00000001920d0070 (__TEXT,__text) external _ne_filter_copy_connection
00000001920d9154 (__TEXT,__text) non-external _ne_filter_create_wildcard_remote_sockaddr
00000001920de870 (__TEXT,__text) external _ne_filter_crypto_generate_client_key
00000001920de95c (__TEXT,__text) external _ne_filter_crypto_init_client
00000001920de788 (__TEXT,__text) external _ne_filter_crypto_init_master
00000001920ded74 (__TEXT,__text) non-external _ne_filter_crypto_print_data
00000001920de9f4 (__TEXT,__text) external _ne_filter_crypto_sign_data
00000001920dec40 (__TEXT,__text) non-external _ne_filter_crypto_update_context
00000001920df4b4 (__TEXT,__text) external _ne_filter_crypto_validate_data
00000001920d6700 (__TEXT,__text) non-external _ne_filter_data_protocol_send_data
00000001920d1428 (__TEXT,__text) non-external _ne_filter_data_protocol_send_finished
