                 (undefined) external _CC_SHA256_Final (from libSystem)
                 (undefined) external _CC_SHA256_Init (from libSystem)
                 (undefined) external _CC_SHA256_Update (from libSystem)
                 (undefined) external ___bzero (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
00007ff80f3b5246 (__TEXT,__text) non-external _alone_decode
                 (undefined) external _calloc (from libSystem)
                 (undefined) external _clock_gettime (from libSystem)
00007ff80f3c2393 (__TEXT,__text) non-external _copy_or_code
00007ff80f3ba708 (__TEXT,__text) non-external _decode_buffer
00007ff80f3b6253 (__TEXT,__text) non-external _decoder_find
00007ff84097cb40 (__DATA_CONST,__const) non-external _decoders
00007ff80f3c1c35 (__TEXT,__text) non-external _delta_coder_end
00007ff80f3c1e14 (__TEXT,__text) non-external _delta_decode
00007ff80f3c1ca6 (__TEXT,__text) non-external _delta_encode
00007ff80f3c1dc3 (__TEXT,__text) non-external _delta_encoder_update
00007ff80f3c86e0 (__TEXT,__const) non-external _delta_optmap
00007ff80f3ad24c (__TEXT,__text) non-external _encoder_find
00007ff84097c8d0 (__DATA_CONST,__const) non-external _encoders
00007ff80f3c4490 (__TEXT,__const) non-external _features
00007ff80f3bb2fe (__TEXT,__text) non-external _file_info_decode
00007ff80f3bb9c0 (__TEXT,__text) non-external _file_info_decoder_end
00007ff80f3bba00 (__TEXT,__text) non-external _file_info_decoder_memconfig
00007ff84097cca0 (__DATA_CONST,__const) non-external _filter_name_map
                 (undefined) external _free (from libSystem)
00007ff80f3b1d1e (__TEXT,__text) non-external _get_literal_price
00007ff80f3c309c (__TEXT,__text) non-external _get_options
00007ff80f3c3ac6 (__TEXT,__text) non-external _get_progress
00007ff80f3c15d9 (__TEXT,__text) non-external _get_thread
00007ff80f3b6b05 (__TEXT,__text) non-external _hash_append
00007ff80f3b885a (__TEXT,__text) non-external _hc_find_func
00007ff80f3c27f8 (__TEXT,__text) non-external _ia64_code
00007ff80f3ca860 (__TEXT,__const) non-external _ia64_code.BRANCH_TABLE
00007ff80f3b37d9 (__TEXT,__text) non-external _index_cat_helper
00007ff80f3b64da (__TEXT,__text) non-external _index_decode
00007ff80f3b67c8 (__TEXT,__text) non-external _index_decoder_end
00007ff80f3b67ed (__TEXT,__text) non-external _index_decoder_memconfig
00007ff80f3b2565 (__TEXT,__text) non-external _index_encode
00007ff80f3b2e1c (__TEXT,__text) non-external _index_encoder_end
00007ff80f3b2e76 (__TEXT,__text) non-external _index_stream_end
00007ff80f3ac99b (__TEXT,__text) non-external _index_tree_append
00007ff80f3b2e26 (__TEXT,__text) non-external _index_tree_node_end
00007ff80f3ad9d3 (__TEXT,__text) non-external _is_options_valid
00007ff80f3b29c7 (__TEXT,__text) non-external _iter_set_info
00007ff80f3b2007 (__TEXT,__text) non-external _length
00007ff80f3ada14 (__TEXT,__text) non-external _length_encoder_reset
00007ff80f3adae9 (__TEXT,__text) non-external _length_update_prices
00007ff80f3ba543 (__TEXT,__text) non-external _lz_decode
00007ff80f3ba6b2 (__TEXT,__text) non-external _lz_decoder_end
00007ff80f3aecaf (__TEXT,__text) non-external _lz_encode
00007ff80f3b2d8f (__TEXT,__text) non-external _lz_encoder_end
00007ff80f3adcc6 (__TEXT,__text) non-external _lz_encoder_prepare
00007ff80f3b86b4 (__TEXT,__text) non-external _lz_encoder_set_out_limit
00007ff80f3b8659 (__TEXT,__text) non-external _lz_encoder_update
00007ff80f3b80fa (__TEXT,__text) non-external _lzip_decode
00007ff80f3b8530 (__TEXT,__text) non-external _lzip_decoder_end
00007ff80f3b8558 (__TEXT,__text) non-external _lzip_decoder_get_check
00007ff80f3b8563 (__TEXT,__text) non-external _lzip_decoder_memconfig
00007ff80f3c8660 (__TEXT,__const) non-external _lzma12_mf_map
00007ff80f3c8630 (__TEXT,__const) non-external _lzma12_mode_map
00007ff84097ce80 (__DATA_CONST,__const) non-external _lzma12_optmap
00007ff80f3bfc68 (__TEXT,__text) non-external _lzma2_decode
00007ff80f3bff78 (__TEXT,__text) non-external _lzma2_decoder_end
00007ff80f3bfb41 (__TEXT,__text) non-external _lzma2_decoder_init
00007ff80f3aeece (__TEXT,__text) non-external _lzma2_encode
00007ff80f3b2df4 (__TEXT,__text) non-external _lzma2_encoder_end
00007ff80f3ad52d (__TEXT,__text) non-external _lzma2_encoder_init
00007ff80f3bf991 (__TEXT,__text) non-external _lzma2_encoder_options_update
00007ff80f3c4478 (__TEXT,__const) non-external (was a private external) _lzma_5VersionNumber
00007ff80f3c4450 (__TEXT,__const) non-external (was a private external) _lzma_5VersionString
00007ff80f3ac880 (__TEXT,__text) non-external (was a private external) _lzma_alloc
00007ff80f3b2f92 (__TEXT,__text) non-external (was a private external) _lzma_alloc_zero
00007ff80f3b554d (__TEXT,__text) external _lzma_alone_decoder
00007ff80f3b5158 (__TEXT,__text) non-external (was a private external) _lzma_alone_decoder_init
00007ff80f3b3be0 (__TEXT,__text) external _lzma_alone_encoder
00007ff80f3b55ac (__TEXT,__text) external _lzma_auto_decoder
00007ff80f3b3ede (__TEXT,__text) external _lzma_block_buffer_bound
00007ff80f3b3e9a (__TEXT,__text) non-external (was a private external) _lzma_block_buffer_bound64
00007ff80f3b58bc (__TEXT,__text) external _lzma_block_buffer_decode
00007ff80f3b3f22 (__TEXT,__text) external _lzma_block_buffer_encode
00007ff80f3b3135 (__TEXT,__text) external _lzma_block_compressed_size
00007ff80f3b5e38 (__TEXT,__text) external _lzma_block_decoder
00007ff80f3b59fd (__TEXT,__text) non-external (was a private external) _lzma_block_decoder_init
00007ff80f3b4505 (__TEXT,__text) external _lzma_block_encoder
00007ff80f3aced6 (__TEXT,__text) non-external (was a private external) _lzma_block_encoder_init
00007ff80f3b5e92 (__TEXT,__text) external _lzma_block_header_decode
00007ff80f3ae6e2 (__TEXT,__text) external _lzma_block_header_encode
00007ff80f3acd35 (__TEXT,__text) external _lzma_block_header_size
00007ff80f3b3195 (__TEXT,__text) external _lzma_block_total_size
00007ff80f3b41e5 (__TEXT,__text) external _lzma_block_uncomp_encode
00007ff80f3ae81e (__TEXT,__text) external _lzma_block_unpadded_size
00007ff80f3ae681 (__TEXT,__text) non-external (was a private external) _lzma_bufcpy
00007ff80f3b7ec1 (__TEXT,__text) non-external (was a private external) _lzma_check_finish
00007ff80f3ad041 (__TEXT,__text) non-external (was a private external) _lzma_check_init
00007ff80f3ad023 (__TEXT,__text) external _lzma_check_is_supported
00007ff80f3c4600 (__TEXT,__const) non-external _lzma_check_is_supported.available_checks
00007ff80f3b21da (__TEXT,__text) external _lzma_check_size
00007ff80f3c4610 (__TEXT,__const) non-external _lzma_check_size.check_sizes
00007ff80f3afa44 (__TEXT,__text) non-external (was a private external) _lzma_check_update
00007ff80f3ae0d2 (__TEXT,__text) external _lzma_code
00007ff80f3b4b67 (__TEXT,__text) external _lzma_cputhreads
00007ff80f3aca81 (__TEXT,__text) external _lzma_crc32
00007ff80f3c4620 (__TEXT,__const) non-external (was a private external) _lzma_crc32_table
00007ff80f3b7eed (__TEXT,__text) external _lzma_crc64
00007ff80f3c6620 (__TEXT,__const) non-external (was a private external) _lzma_crc64_table
00007ff80f3bbbee (__TEXT,__text) non-external _lzma_decode
00007ff80f3ca740 (__TEXT,__const) non-external _lzma_decode.next_state
00007ff80f3bf75e (__TEXT,__text) non-external _lzma_decoder_init
00007ff80f3bf4a4 (__TEXT,__text) non-external _lzma_decoder_reset
00007ff80f3bf73a (__TEXT,__text) non-external _lzma_decoder_uncompressed
00007ff80f3c1b04 (__TEXT,__text) non-external (was a private external) _lzma_delta_coder_init
00007ff80f3c1c56 (__TEXT,__text) non-external (was a private external) _lzma_delta_coder_memusage
00007ff80f3c1dff (__TEXT,__text) non-external (was a private external) _lzma_delta_decoder_init
00007ff80f3c1c86 (__TEXT,__text) non-external (was a private external) _lzma_delta_encoder_init
00007ff80f3c1e89 (__TEXT,__text) non-external (was a private external) _lzma_delta_props_decode
00007ff80f3c1dd1 (__TEXT,__text) non-external (was a private external) _lzma_delta_props_encode
00007ff80f3b4561 (__TEXT,__text) external _lzma_easy_buffer_encode
00007ff80f3b6069 (__TEXT,__text) external _lzma_easy_decoder_memusage
00007ff80f3ac598 (__TEXT,__text) external _lzma_easy_encoder
00007ff80f3b45d4 (__TEXT,__text) external _lzma_easy_encoder_memusage
00007ff80f3ac5df (__TEXT,__text) non-external (was a private external) _lzma_easy_preset
00007ff80f3ba926 (__TEXT,__text) non-external _lzma_encode
00007ff80f3ba82b (__TEXT,__text) non-external _lzma_encoder_init
00007ff80f3b2cc4 (__TEXT,__text) external _lzma_end
00007ff80f3c8740 (__TEXT,__const) non-external (was a private external) _lzma_fastpos
00007ff80f3bb110 (__TEXT,__text) external _lzma_file_info_decoder
00007ff80f3bb182 (__TEXT,__text) non-external _lzma_file_info_decoder_init
00007ff80f3b6224 (__TEXT,__text) external _lzma_filter_decoder_is_supported
00007ff80f3b4963 (__TEXT,__text) external _lzma_filter_encoder_is_supported
00007ff80f3b634c (__TEXT,__text) external _lzma_filter_flags_decode
00007ff80f3ae897 (__TEXT,__text) external _lzma_filter_flags_encode
00007ff80f3ace19 (__TEXT,__text) external _lzma_filter_flags_size
00007ff80f3adf1d (__TEXT,__text) external _lzma_filters_copy
00007ff80f3b31b0 (__TEXT,__text) external _lzma_filters_free
00007ff80f3b4992 (__TEXT,__text) external _lzma_filters_update
00007ff80f3c45b6 (__TEXT,__const) non-external (was a private external) _lzma_footer_magic
00007ff80f3adef5 (__TEXT,__text) non-external (was a private external) _lzma_free
00007ff80f3b3048 (__TEXT,__text) external _lzma_get_check
00007ff80f3b3021 (__TEXT,__text) external _lzma_get_progress
00007ff80f3c45b0 (__TEXT,__const) non-external (was a private external) _lzma_header_magic
00007ff80f3b21f7 (__TEXT,__text) external _lzma_index_append
00007ff80f3b27f8 (__TEXT,__text) external _lzma_index_block_count
00007ff80f3b689c (__TEXT,__text) external _lzma_index_buffer_decode
00007ff80f3b4bcc (__TEXT,__text) external _lzma_index_buffer_encode
00007ff80f3b35d5 (__TEXT,__text) external _lzma_index_cat
00007ff80f3b3500 (__TEXT,__text) external _lzma_index_checks
00007ff80f3b683d (__TEXT,__text) external _lzma_index_decoder
00007ff80f3b63e0 (__TEXT,__text) non-external (was a private external) _lzma_index_decoder_init
00007ff80f3b383e (__TEXT,__text) external _lzma_index_dup
00007ff80f3b4b72 (__TEXT,__text) external _lzma_index_encoder
00007ff80f3b249c (__TEXT,__text) non-external (was a private external) _lzma_index_encoder_init
00007ff80f3ac8b2 (__TEXT,__text) external _lzma_index_end
00007ff80f3b347e (__TEXT,__text) external _lzma_index_file_size
00007ff80f3b6a6a (__TEXT,__text) external _lzma_index_hash_append
00007ff80f3b6bc3 (__TEXT,__text) external _lzma_index_hash_decode
00007ff80f3b6a36 (__TEXT,__text) external _lzma_index_hash_end
00007ff80f3b69bc (__TEXT,__text) external _lzma_index_hash_init
00007ff80f3b6a40 (__TEXT,__text) external _lzma_index_hash_size
00007ff80f3ac8eb (__TEXT,__text) external _lzma_index_init
00007ff80f3b2545 (__TEXT,__text) external _lzma_index_iter_init
00007ff80f3b3ab3 (__TEXT,__text) external _lzma_index_iter_locate
00007ff80f3b2802 (__TEXT,__text) external _lzma_index_iter_next
00007ff80f3b3a9c (__TEXT,__text) external _lzma_index_iter_rewind
00007ff80f3b3372 (__TEXT,__text) external _lzma_index_memusage
00007ff80f3b33d7 (__TEXT,__text) external _lzma_index_memused
00007ff80f3b2bee (__TEXT,__text) non-external (was a private external) _lzma_index_padding_size
00007ff80f3b3357 (__TEXT,__text) non-external (was a private external) _lzma_index_prealloc
00007ff80f3b2c18 (__TEXT,__text) external _lzma_index_size
00007ff80f3b3437 (__TEXT,__text) external _lzma_index_stream_count
00007ff80f3b3519 (__TEXT,__text) external _lzma_index_stream_flags
00007ff80f3b3574 (__TEXT,__text) external _lzma_index_stream_padding
00007ff80f3b344a (__TEXT,__text) external _lzma_index_stream_size
00007ff80f3b3440 (__TEXT,__text) external _lzma_index_total_size
00007ff80f3b34f6 (__TEXT,__text) external _lzma_index_uncompressed_size
00007ff80f3ba39a (__TEXT,__text) non-external (was a private external) _lzma_lz_decoder_init
00007ff80f3ba6fb (__TEXT,__text) non-external (was a private external) _lzma_lz_decoder_memusage
00007ff80f3ad2e9 (__TEXT,__text) non-external (was a private external) _lzma_lz_encoder_init
00007ff80f3b85ee (__TEXT,__text) non-external (was a private external) _lzma_lz_encoder_memusage
00007ff80f3b858f (__TEXT,__text) external _lzma_lzip_decoder
00007ff80f3b7fd4 (__TEXT,__text) non-external (was a private external) _lzma_lzip_decoder_init
00007ff80f3bf972 (__TEXT,__text) non-external (was a private external) _lzma_lzma2_block_size
00007ff80f3bfb30 (__TEXT,__text) non-external (was a private external) _lzma_lzma2_decoder_init
00007ff80f3bfbec (__TEXT,__text) non-external (was a private external) _lzma_lzma2_decoder_memusage
00007ff80f3ad2d8 (__TEXT,__text) non-external (was a private external) _lzma_lzma2_encoder_init
00007ff80f3bf956 (__TEXT,__text) non-external (was a private external) _lzma_lzma2_encoder_memusage
00007ff80f3bfbfd (__TEXT,__text) non-external (was a private external) _lzma_lzma2_props_decode
00007ff80f3aea14 (__TEXT,__text) non-external (was a private external) _lzma_lzma2_props_encode
00007ff80f3bbb78 (__TEXT,__text) non-external (was a private external) _lzma_lzma_decoder_create
00007ff80f3bf74d (__TEXT,__text) non-external (was a private external) _lzma_lzma_decoder_init
00007ff80f3bf86b (__TEXT,__text) non-external (was a private external) _lzma_lzma_decoder_memusage
00007ff80f3bf858 (__TEXT,__text) non-external (was a private external) _lzma_lzma_decoder_memusage_nocheck
00007ff80f3af29c (__TEXT,__text) non-external (was a private external) _lzma_lzma_encode
00007ff80f3ad659 (__TEXT,__text) non-external (was a private external) _lzma_lzma_encoder_create
00007ff80f3ba81a (__TEXT,__text) non-external (was a private external) _lzma_lzma_encoder_init
00007ff80f3ba84b (__TEXT,__text) non-external (was a private external) _lzma_lzma_encoder_memusage
00007ff80f3ad7c8 (__TEXT,__text) non-external (was a private external) _lzma_lzma_encoder_reset
00007ff80f3bf80d (__TEXT,__text) non-external (was a private external) _lzma_lzma_lclppb_decode
00007ff80f3b21a2 (__TEXT,__text) non-external (was a private external) _lzma_lzma_lclppb_encode
00007ff80f3bad4c (__TEXT,__text) non-external (was a private external) _lzma_lzma_optimum_fast
00007ff80f3aff4c (__TEXT,__text) non-external (was a private external) _lzma_lzma_optimum_normal
00007ff80f3ac616 (__TEXT,__text) external _lzma_lzma_preset
00007ff80f3c873a (__TEXT,__const) non-external _lzma_lzma_preset.depths
00007ff80f3c8730 (__TEXT,__const) non-external _lzma_lzma_preset.dict_pow2
00007ff80f3bf8a2 (__TEXT,__text) non-external (was a private external) _lzma_lzma_props_decode
00007ff80f3ba8ce (__TEXT,__text) non-external (was a private external) _lzma_lzma_props_encode
00007ff80f3ba943 (__TEXT,__text) non-external _lzma_lzma_set_out_limit
00007ff80f3b30aa (__TEXT,__text) external _lzma_memlimit_get
00007ff80f3b30f1 (__TEXT,__text) external _lzma_memlimit_set
00007ff80f3b3063 (__TEXT,__text) external _lzma_memusage
00007ff80f3b8c8b (__TEXT,__text) non-external (was a private external) _lzma_mf_bt2_find
00007ff80f3b8d1f (__TEXT,__text) non-external (was a private external) _lzma_mf_bt2_skip
00007ff80f3b8da1 (__TEXT,__text) non-external (was a private external) _lzma_mf_bt3_find
00007ff80f3b8f19 (__TEXT,__text) non-external (was a private external) _lzma_mf_bt3_skip
00007ff80f3b198c (__TEXT,__text) non-external (was a private external) _lzma_mf_bt4_find
00007ff80f3afb00 (__TEXT,__text) non-external (was a private external) _lzma_mf_bt4_skip
00007ff80f3b18ef (__TEXT,__text) non-external (was a private external) _lzma_mf_find
00007ff80f3b86f6 (__TEXT,__text) non-external (was a private external) _lzma_mf_hc3_find
00007ff80f3b8941 (__TEXT,__text) non-external (was a private external) _lzma_mf_hc3_skip
00007ff80f3b89d4 (__TEXT,__text) non-external (was a private external) _lzma_mf_hc4_find
00007ff80f3b8bd9 (__TEXT,__text) non-external (was a private external) _lzma_mf_hc4_skip
00007ff80f3b86d8 (__TEXT,__text) external _lzma_mf_is_supported
00007ff80f3b70c7 (__TEXT,__text) external _lzma_microlzma_decoder
00007ff80f3b460d (__TEXT,__text) external _lzma_microlzma_encoder
00007ff80f3ba916 (__TEXT,__text) external _lzma_mode_is_supported
00007ff80f3b4acb (__TEXT,__text) non-external (was a private external) _lzma_mt_block_size
00007ff80f3ac80c (__TEXT,__text) non-external (was a private external) _lzma_next_end
00007ff80f3ad27a (__TEXT,__text) non-external (was a private external) _lzma_next_filter_init
00007ff80f3b2ff1 (__TEXT,__text) non-external (was a private external) _lzma_next_filter_update
00007ff80f3ba99c (__TEXT,__text) non-external (was a private external) _lzma_outq_clear_cache
00007ff80f3ba9e3 (__TEXT,__text) non-external (was a private external) _lzma_outq_clear_cache2
00007ff80f3bad18 (__TEXT,__text) non-external (was a private external) _lzma_outq_enable_partial_output
00007ff80f3bab4e (__TEXT,__text) non-external (was a private external) _lzma_outq_end
00007ff80f3bac00 (__TEXT,__text) non-external (was a private external) _lzma_outq_get_buf
00007ff80f3baa6e (__TEXT,__text) non-external (was a private external) _lzma_outq_init
00007ff80f3bac5a (__TEXT,__text) non-external (was a private external) _lzma_outq_is_readable
00007ff80f3ba96b (__TEXT,__text) non-external (was a private external) _lzma_outq_memusage
00007ff80f3bab81 (__TEXT,__text) non-external (was a private external) _lzma_outq_prealloc_buf
00007ff80f3bac7f (__TEXT,__text) non-external (was a private external) _lzma_outq_read
00007ff80f3b334d (__TEXT,__text) external _lzma_physmem
00007ff80f3b630e (__TEXT,__text) external _lzma_properties_decode
00007ff80f3ae9e2 (__TEXT,__text) external _lzma_properties_encode
00007ff80f3ace6c (__TEXT,__text) external _lzma_properties_size
00007ff80f3b60a2 (__TEXT,__text) external _lzma_raw_buffer_decode
00007ff80f3b4861 (__TEXT,__text) external _lzma_raw_buffer_encode
00007ff80f3ad087 (__TEXT,__text) non-external (was a private external) _lzma_raw_coder_init
00007ff80f3b32c5 (__TEXT,__text) non-external (was a private external) _lzma_raw_coder_memusage
00007ff80f3b6293 (__TEXT,__text) external _lzma_raw_decoder
00007ff80f3b627f (__TEXT,__text) non-external (was a private external) _lzma_raw_decoder_init
00007ff80f3b62fa (__TEXT,__text) external _lzma_raw_decoder_memusage
00007ff80f3b4a62 (__TEXT,__text) external _lzma_raw_encoder
00007ff80f3ad070 (__TEXT,__text) non-external (was a private external) _lzma_raw_encoder_init
00007ff80f3b4a4e (__TEXT,__text) external _lzma_raw_encoder_memusage
00007ff80f3ca780 (__TEXT,__const) non-external (was a private external) _lzma_rc_prices
00007ff80f3bfa1f (__TEXT,__text) non-external (was a private external) _lzma_simple_arm64_decoder_init
00007ff80f3bf9fc (__TEXT,__text) non-external (was a private external) _lzma_simple_arm64_encoder_init
00007ff80f3c2a5d (__TEXT,__text) non-external (was a private external) _lzma_simple_arm_decoder_init
00007ff80f3c2a3a (__TEXT,__text) non-external (was a private external) _lzma_simple_arm_encoder_init
00007ff80f3c2b26 (__TEXT,__text) non-external (was a private external) _lzma_simple_armthumb_decoder_init
00007ff80f3c2b03 (__TEXT,__text) non-external (was a private external) _lzma_simple_armthumb_encoder_init
00007ff80f3c1ed0 (__TEXT,__text) non-external (was a private external) _lzma_simple_coder_init
00007ff80f3c27d5 (__TEXT,__text) non-external (was a private external) _lzma_simple_ia64_decoder_init
00007ff80f3c27b2 (__TEXT,__text) non-external (was a private external) _lzma_simple_ia64_encoder_init
00007ff80f3c26ce (__TEXT,__text) non-external (was a private external) _lzma_simple_powerpc_decoder_init
00007ff80f3c26ab (__TEXT,__text) non-external (was a private external) _lzma_simple_powerpc_encoder_init
00007ff80f3c244c (__TEXT,__text) non-external (was a private external) _lzma_simple_props_decode
00007ff80f3c2437 (__TEXT,__text) non-external (was a private external) _lzma_simple_props_encode
00007ff80f3c241d (__TEXT,__text) non-external (was a private external) _lzma_simple_props_size
00007ff80f3c4294 (__TEXT,__text) non-external (was a private external) _lzma_simple_sparc_decoder_init
00007ff80f3c4271 (__TEXT,__text) non-external (was a private external) _lzma_simple_sparc_encoder_init
00007ff80f3c2507 (__TEXT,__text) non-external (was a private external) _lzma_simple_x86_decoder_init
00007ff80f3c24af (__TEXT,__text) non-external (was a private external) _lzma_simple_x86_encoder_init
00007ff80f3b957d (__TEXT,__text) external _lzma_str_from_filters
00007ff80f3b9a0b (__TEXT,__text) external _lzma_str_list_filters
00007ff80f3b9039 (__TEXT,__text) external _lzma_str_to_filters
00007ff80f3b4ca8 (__TEXT,__text) external _lzma_stream_buffer_bound
00007ff80f3b6f48 (__TEXT,__text) external _lzma_stream_buffer_decode
00007ff80f3b4cd1 (__TEXT,__text) external _lzma_stream_buffer_encode
00007ff80f3b7c0c (__TEXT,__text) external _lzma_stream_decoder
00007ff80f3b74a4 (__TEXT,__text) non-external (was a private external) _lzma_stream_decoder_init
00007ff80f3bffa0 (__TEXT,__text) external _lzma_stream_decoder_mt
00007ff80f3ac704 (__TEXT,__text) external _lzma_stream_encoder
00007ff80f3c2c18 (__TEXT,__text) external _lzma_stream_encoder_mt
00007ff80f3c2fdd (__TEXT,__text) external _lzma_stream_encoder_mt_memusage
00007ff80f3b3b61 (__TEXT,__text) external _lzma_stream_flags_compare
00007ff80f3b7cf1 (__TEXT,__text) external _lzma_stream_footer_decode
00007ff80f3b2c42 (__TEXT,__text) external _lzma_stream_footer_encode
00007ff80f3b7c6b (__TEXT,__text) external _lzma_stream_header_decode
00007ff80f3aca22 (__TEXT,__text) external _lzma_stream_header_encode
00007ff80f3ac768 (__TEXT,__text) non-external (was a private external) _lzma_strm_init
00007ff80f3b320f (__TEXT,__text) non-external (was a private external) _lzma_validate_chain
00007ff80f3b2f78 (__TEXT,__text) external _lzma_version_number
00007ff80f3b2f83 (__TEXT,__text) external _lzma_version_string
00007ff80f3b7d6a (__TEXT,__text) external _lzma_vli_decode
00007ff80f3ae938 (__TEXT,__text) external _lzma_vli_encode
00007ff80f3aceb7 (__TEXT,__text) external _lzma_vli_size
                 (undefined) external _malloc (from libSystem)
00007ff80f3b1e02 (__TEXT,__text) non-external _match
                 (undefined) external _memchr (from libSystem)
                 (undefined) external _memcmp (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memmove (from libSystem)
                 (undefined) external _memset_pattern16 (from libSystem)
00007ff80f3b7215 (__TEXT,__text) non-external _microlzma_decode
00007ff80f3b7480 (__TEXT,__text) non-external _microlzma_decoder_end
00007ff80f3b7144 (__TEXT,__text) non-external _microlzma_decoder_init
00007ff80f3b4784 (__TEXT,__text) non-external _microlzma_encode
00007ff80f3b4840 (__TEXT,__text) non-external _microlzma_encoder_end
00007ff80f3b4663 (__TEXT,__text) non-external _microlzma_encoder_init
00007ff80f3baaec (__TEXT,__text) non-external _move_head_to_cache
00007ff80f3afd0a (__TEXT,__text) non-external _move_pos
00007ff80f3b8fd9 (__TEXT,__text) non-external _normalize
00007ff80f3b9fbc (__TEXT,__text) non-external _parse_bcj
00007ff80f3b9fd3 (__TEXT,__text) non-external _parse_delta
00007ff80f3b9f5b (__TEXT,__text) non-external _parse_lzma12
00007ff80f3b9ff7 (__TEXT,__text) non-external _parse_options
00007ff80f3c26f1 (__TEXT,__text) non-external _powerpc_code
                 (undefined) external _pthread_cond_destroy (from libSystem)
                 (undefined) external _pthread_cond_init (from libSystem)
                 (undefined) external _pthread_cond_signal (from libSystem)
                 (undefined) external _pthread_cond_timedwait (from libSystem)
                 (undefined) external _pthread_cond_wait (from libSystem)
                 (undefined) external _pthread_create (from libSystem)
                 (undefined) external _pthread_join (from libSystem)
                 (undefined) external _pthread_mutex_destroy (from libSystem)
                 (undefined) external _pthread_mutex_init (from libSystem)
                 (undefined) external _pthread_mutex_lock (from libSystem)
                 (undefined) external _pthread_mutex_unlock (from libSystem)
                 (undefined) external _pthread_sigmask (from libSystem)
00007ff80f3afd38 (__TEXT,__text) non-external _rc_encode
00007ff80f3c1368 (__TEXT,__text) non-external _read_output_and_wait
00007ff80f3bbaf9 (__TEXT,__text) non-external _reverse_seek
00007ff80f3c2044 (__TEXT,__text) non-external _simple_code
00007ff80f3c2358 (__TEXT,__text) non-external _simple_coder_end
00007ff80f3c2385 (__TEXT,__text) non-external _simple_coder_update
00007ff80f3c42b7 (__TEXT,__text) non-external _sparc_code
00007ff80f3b99c2 (__TEXT,__text) non-external _str_append_str
00007ff80f3b9e80 (__TEXT,__text) non-external _str_append_u32
00007ff80f3c8700 (__TEXT,__const) non-external _str_append_u32.suffixes
00007ff80f3b7625 (__TEXT,__text) non-external _stream_decode
00007ff80f3c02e8 (__TEXT,__text) non-external _stream_decode_mt
00007ff80f3b7b94 (__TEXT,__text) non-external _stream_decoder_end
00007ff80f3b7bc8 (__TEXT,__text) non-external _stream_decoder_get_check
00007ff80f3b7bd4 (__TEXT,__text) non-external _stream_decoder_memconfig
00007ff80f3c1054 (__TEXT,__text) non-external _stream_decoder_mt_end
00007ff80f3c10ae (__TEXT,__text) non-external _stream_decoder_mt_get_check
00007ff80f3c114e (__TEXT,__text) non-external _stream_decoder_mt_get_progress
00007ff80f3bfffa (__TEXT,__text) non-external _stream_decoder_mt_init
00007ff80f3c10ba (__TEXT,__text) non-external _stream_decoder_mt_memconfig
00007ff80f3ae386 (__TEXT,__text) non-external _stream_encode
00007ff80f3c45c0 (__TEXT,__const) non-external _stream_encode.convert
00007ff80f3c315c (__TEXT,__text) non-external _stream_encode_mt
00007ff80f3b2d1c (__TEXT,__text) non-external _stream_encoder_end
