                 (undefined) external _CC_SHA256_Final (from libSystem)
                 (undefined) external _CC_SHA256_Init (from libSystem)
                 (undefined) external _CC_SHA256_Update (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
000000018e5328b8 (__TEXT,__text) non-external _alone_decode
000000018e530158 (__TEXT,__text) non-external _index_tree_node_end
000000018e52aba8 (__TEXT,__text) non-external _is_options_valid
000000018e52fcb4 (__TEXT,__text) non-external _iter_set_info
000000018e52f370 (__TEXT,__text) non-external _length
000000018e52ac00 (__TEXT,__text) non-external _length_encoder_reset
000000018e52ad04 (__TEXT,__text) non-external _length_update_prices
000000018e537f38 (__TEXT,__text) non-external _lz_decode
000000018e5380f4 (__TEXT,__text) non-external _lz_decoder_end
000000018e52bf30 (__TEXT,__text) non-external _lz_encode
000000018e53008c (__TEXT,__text) non-external _lz_encoder_end
000000018e52aeb4 (__TEXT,__text) non-external _lz_encoder_prepare
000000018e535ff0 (__TEXT,__text) non-external _lz_encoder_set_out_limit
000000018e535f78 (__TEXT,__text) non-external _lz_encoder_update
000000018e5359b8 (__TEXT,__text) non-external _lzip_decode
000000018e535e14 (__TEXT,__text) non-external _lzip_decoder_end
000000018e535e58 (__TEXT,__text) non-external _lzip_decoder_get_check
000000018e535e60 (__TEXT,__text) non-external _lzip_decoder_memconfig
000000018e5455c8 (__TEXT,__const) non-external _lzma12_mf_map
000000018e545598 (__TEXT,__const) non-external _lzma12_mode_map
00000001e4df21c0 (__DATA_CONST,__const) non-external _lzma12_optmap
000000018e53cfd0 (__TEXT,__text) non-external _lzma2_decode
000000018e53d2e0 (__TEXT,__text) non-external _lzma2_decoder_end
000000018e53ce50 (__TEXT,__text) non-external _lzma2_decoder_init
000000018e52c140 (__TEXT,__text) non-external _lzma2_encode
000000018e530110 (__TEXT,__text) non-external _lzma2_encoder_end
000000018e52a6ec (__TEXT,__text) non-external _lzma2_encoder_init
000000018e53cc80 (__TEXT,__text) non-external _lzma2_encoder_options_update
000000018e5413d8 (__TEXT,__const) non-external (was a private external) _lzma_5VersionNumber
000000018e5413b0 (__TEXT,__const) non-external (was a private external) _lzma_5VersionString
000000018e529994 (__TEXT,__text) non-external (was a private external) _lzma_alloc
000000018e530320 (__TEXT,__text) non-external (was a private external) _lzma_alloc_zero
000000018e532bf4 (__TEXT,__text) external _lzma_alone_decoder
000000018e5327b8 (__TEXT,__text) non-external (was a private external) _lzma_alone_decoder_init
000000018e5310a4 (__TEXT,__text) external _lzma_alone_encoder
000000018e532c64 (__TEXT,__text) external _lzma_auto_decoder
000000018e531450 (__TEXT,__text) external _lzma_block_buffer_bound
000000018e531400 (__TEXT,__text) non-external (was a private external) _lzma_block_buffer_bound64
000000018e533034 (__TEXT,__text) external _lzma_block_buffer_decode
000000018e5314a0 (__TEXT,__text) external _lzma_block_buffer_encode
000000018e530574 (__TEXT,__text) external _lzma_block_compressed_size
000000018e5335d8 (__TEXT,__text) external _lzma_block_decoder
000000018e533180 (__TEXT,__text) non-external (was a private external) _lzma_block_decoder_init
000000018e531a74 (__TEXT,__text) external _lzma_block_encoder
000000018e52a0d0 (__TEXT,__text) non-external (was a private external) _lzma_block_encoder_init
000000018e533644 (__TEXT,__text) external _lzma_block_header_decode
000000018e52b8bc (__TEXT,__text) external _lzma_block_header_encode
000000018e529ec8 (__TEXT,__text) external _lzma_block_header_size
000000018e5305e8 (__TEXT,__text) external _lzma_block_total_size
000000018e53172c (__TEXT,__text) external _lzma_block_uncomp_encode
000000018e52ba20 (__TEXT,__text) external _lzma_block_unpadded_size
000000018e52b844 (__TEXT,__text) non-external (was a private external) _lzma_bufcpy
000000018e535758 (__TEXT,__text) non-external (was a private external) _lzma_check_finish
000000018e52a254 (__TEXT,__text) non-external (was a private external) _lzma_check_init
000000018e52a234 (__TEXT,__text) external _lzma_check_is_supported
000000018e541544 (__TEXT,__const) non-external _lzma_check_is_supported.available_checks
000000018e52f568 (__TEXT,__text) external _lzma_check_size
000000018e541554 (__TEXT,__const) non-external _lzma_check_size.check_sizes
000000018e52cc2c (__TEXT,__text) non-external (was a private external) _lzma_check_update
000000018e52b324 (__TEXT,__text) external _lzma_code
000000018e532234 (__TEXT,__text) external _lzma_cputhreads
000000018e529bf4 (__TEXT,__text) external _lzma_crc32
000000018e541564 (__TEXT,__const) non-external (was a private external) _lzma_crc32_table
000000018e535790 (__TEXT,__text) external _lzma_crc64
000000018e543568 (__TEXT,__const) non-external (was a private external) _lzma_crc64_table
000000018e53977c (__TEXT,__text) non-external _lzma_decode
000000018e5476d0 (__TEXT,__const) non-external _lzma_decode.next_state
000000018e53c9a0 (__TEXT,__text) non-external _lzma_decoder_init
000000018e53c6ec (__TEXT,__text) non-external _lzma_decoder_reset
000000018e53c97c (__TEXT,__text) non-external _lzma_decoder_uncompressed
000000018e53ebc0 (__TEXT,__text) non-external (was a private external) _lzma_delta_coder_init
000000018e53ed0c (__TEXT,__text) non-external (was a private external) _lzma_delta_coder_memusage
000000018e53eedc (__TEXT,__text) non-external (was a private external) _lzma_delta_decoder_init
000000018e53ed38 (__TEXT,__text) non-external (was a private external) _lzma_delta_encoder_init
000000018e53ef8c (__TEXT,__text) non-external (was a private external) _lzma_delta_props_decode
000000018e53ee94 (__TEXT,__text) non-external (was a private external) _lzma_delta_props_encode
000000018e531ae4 (__TEXT,__text) external _lzma_easy_buffer_encode
000000018e533838 (__TEXT,__text) external _lzma_easy_decoder_memusage
000000018e529658 (__TEXT,__text) external _lzma_easy_encoder
000000018e531b94 (__TEXT,__text) external _lzma_easy_encoder_memusage
000000018e5296c4 (__TEXT,__text) non-external (was a private external) _lzma_easy_preset
000000018e5383f8 (__TEXT,__text) non-external _lzma_encode
000000018e5382cc (__TEXT,__text) non-external _lzma_encoder_init
000000018e52ff88 (__TEXT,__text) external _lzma_end
000000018e5456ce (__TEXT,__const) non-external (was a private external) _lzma_fastpos
000000018e538d20 (__TEXT,__text) external _lzma_file_info_decoder
000000018e538da8 (__TEXT,__text) non-external _lzma_file_info_decoder_init
000000018e533a20 (__TEXT,__text) external _lzma_filter_decoder_is_supported
000000018e531fc0 (__TEXT,__text) external _lzma_filter_encoder_is_supported
000000018e533b78 (__TEXT,__text) external _lzma_filter_flags_decode
000000018e52bab4 (__TEXT,__text) external _lzma_filter_flags_encode
000000018e529fcc (__TEXT,__text) external _lzma_filter_flags_size
000000018e52b160 (__TEXT,__text) external _lzma_filters_copy
000000018e530610 (__TEXT,__text) external _lzma_filters_free
000000018e531ff4 (__TEXT,__text) external _lzma_filters_update
000000018e541516 (__TEXT,__const) non-external (was a private external) _lzma_footer_magic
000000018e52b13c (__TEXT,__text) non-external (was a private external) _lzma_free
000000018e53044c (__TEXT,__text) external _lzma_get_check
000000018e530424 (__TEXT,__text) external _lzma_get_progress
000000018e541510 (__TEXT,__const) non-external (was a private external) _lzma_header_magic
000000018e52f588 (__TEXT,__text) external _lzma_index_append
000000018e52fad0 (__TEXT,__text) external _lzma_index_block_count
000000018e534168 (__TEXT,__text) external _lzma_index_buffer_decode
000000018e5322c0 (__TEXT,__text) external _lzma_index_buffer_encode
000000018e530a7c (__TEXT,__text) external _lzma_index_cat
000000018e530984 (__TEXT,__text) external _lzma_index_checks
000000018e5340f4 (__TEXT,__text) external _lzma_index_decoder
000000018e533c38 (__TEXT,__text) non-external (was a private external) _lzma_index_decoder_init
000000018e530ce4 (__TEXT,__text) external _lzma_index_dup
000000018e532254 (__TEXT,__text) external _lzma_index_encoder
000000018e52f7ac (__TEXT,__text) non-external (was a private external) _lzma_index_encoder_init
000000018e5299bc (__TEXT,__text) external _lzma_index_end
000000018e5308fc (__TEXT,__text) external _lzma_index_file_size
000000018e534344 (__TEXT,__text) external _lzma_index_hash_append
000000018e5344ac (__TEXT,__text) external _lzma_index_hash_decode
000000018e534308 (__TEXT,__text) external _lzma_index_hash_end
000000018e534298 (__TEXT,__text) external _lzma_index_hash_init
000000018e53430c (__TEXT,__text) external _lzma_index_hash_size
000000018e529a20 (__TEXT,__text) external _lzma_index_init
000000018e52f884 (__TEXT,__text) external _lzma_index_iter_init
000000018e530f34 (__TEXT,__text) external _lzma_index_iter_locate
000000018e52fad8 (__TEXT,__text) external _lzma_index_iter_next
000000018e530f20 (__TEXT,__text) external _lzma_index_iter_rewind
000000018e5307fc (__TEXT,__text) external _lzma_index_memusage
000000018e530854 (__TEXT,__text) external _lzma_index_memused
000000018e52fe6c (__TEXT,__text) non-external (was a private external) _lzma_index_padding_size
000000018e5307e4 (__TEXT,__text) non-external (was a private external) _lzma_index_prealloc
000000018e52fea8 (__TEXT,__text) external _lzma_index_size
000000018e5308a8 (__TEXT,__text) external _lzma_index_stream_count
000000018e5309b0 (__TEXT,__text) external _lzma_index_stream_flags
000000018e530a10 (__TEXT,__text) external _lzma_index_stream_padding
000000018e5308b8 (__TEXT,__text) external _lzma_index_stream_size
000000018e5308b0 (__TEXT,__text) external _lzma_index_total_size
000000018e53097c (__TEXT,__text) external _lzma_index_uncompressed_size
000000018e537d98 (__TEXT,__text) non-external (was a private external) _lzma_lz_decoder_init
000000018e538160 (__TEXT,__text) non-external (was a private external) _lzma_lz_decoder_memusage
000000018e52a4cc (__TEXT,__text) non-external (was a private external) _lzma_lz_encoder_init
000000018e535f14 (__TEXT,__text) non-external (was a private external) _lzma_lz_encoder_memusage
000000018e535ea0 (__TEXT,__text) external _lzma_lzip_decoder
000000018e535878 (__TEXT,__text) non-external (was a private external) _lzma_lzip_decoder_init
000000018e53cc54 (__TEXT,__text) non-external (was a private external) _lzma_lzma2_block_size
000000018e53ce3c (__TEXT,__text) non-external (was a private external) _lzma_lzma2_decoder_init
000000018e53cf24 (__TEXT,__text) non-external (was a private external) _lzma_lzma2_decoder_memusage
000000018e52a4b8 (__TEXT,__text) non-external (was a private external) _lzma_lzma2_encoder_init
000000018e53cc2c (__TEXT,__text) non-external (was a private external) _lzma_lzma2_encoder_memusage
000000018e53cf40 (__TEXT,__text) non-external (was a private external) _lzma_lzma2_props_decode
000000018e52bc78 (__TEXT,__text) non-external (was a private external) _lzma_lzma2_props_encode
000000018e5396e4 (__TEXT,__text) non-external (was a private external) _lzma_lzma_decoder_create
000000018e53c98c (__TEXT,__text) non-external (was a private external) _lzma_lzma_decoder_init
000000018e53cb00 (__TEXT,__text) non-external (was a private external) _lzma_lzma_decoder_memusage
000000018e53cadc (__TEXT,__text) non-external (was a private external) _lzma_lzma_decoder_memusage_nocheck
000000018e52c4b0 (__TEXT,__text) non-external (was a private external) _lzma_lzma_encode
000000018e52a804 (__TEXT,__text) non-external (was a private external) _lzma_lzma_encoder_create
000000018e5382b8 (__TEXT,__text) non-external (was a private external) _lzma_lzma_encoder_init
000000018e5382f0 (__TEXT,__text) non-external (was a private external) _lzma_lzma_encoder_memusage
000000018e52a9a8 (__TEXT,__text) non-external (was a private external) _lzma_lzma_encoder_reset
000000018e53ca78 (__TEXT,__text) non-external (was a private external) _lzma_lzma_lclppb_decode
000000018e52f518 (__TEXT,__text) non-external (was a private external) _lzma_lzma_lclppb_encode
000000018e53892c (__TEXT,__text) non-external (was a private external) _lzma_lzma_optimum_fast
000000018e52d198 (__TEXT,__text) non-external (was a private external) _lzma_lzma_optimum_normal
000000018e52970c (__TEXT,__text) external _lzma_lzma_preset
000000018e5456ca (__TEXT,__const) non-external _lzma_lzma_preset.depths
000000018e5456c0 (__TEXT,__const) non-external _lzma_lzma_preset.dict_pow2
000000018e53cb58 (__TEXT,__text) non-external (was a private external) _lzma_lzma_props_decode
000000018e538388 (__TEXT,__text) non-external (was a private external) _lzma_lzma_props_encode
000000018e538414 (__TEXT,__text) non-external _lzma_lzma_set_out_limit
000000018e5304c4 (__TEXT,__text) external _lzma_memlimit_get
000000018e530520 (__TEXT,__text) external _lzma_memlimit_set
000000018e530468 (__TEXT,__text) external _lzma_memusage
000000018e5366b4 (__TEXT,__text) non-external (was a private external) _lzma_mf_bt2_find
000000018e536778 (__TEXT,__text) non-external (was a private external) _lzma_mf_bt2_skip
000000018e536820 (__TEXT,__text) non-external (was a private external) _lzma_mf_bt3_find
000000018e5369d8 (__TEXT,__text) non-external (was a private external) _lzma_mf_bt3_skip
000000018e52ecb0 (__TEXT,__text) non-external (was a private external) _lzma_mf_bt4_find
000000018e52cd0c (__TEXT,__text) non-external (was a private external) _lzma_mf_bt4_skip
000000018e52ebb4 (__TEXT,__text) non-external (was a private external) _lzma_mf_find
000000018e536040 (__TEXT,__text) non-external (was a private external) _lzma_mf_hc3_find
000000018e5362d0 (__TEXT,__text) non-external (was a private external) _lzma_mf_hc3_skip
000000018e536390 (__TEXT,__text) non-external (was a private external) _lzma_mf_hc4_find
000000018e5365d4 (__TEXT,__text) non-external (was a private external) _lzma_mf_hc4_skip
000000018e536010 (__TEXT,__text) external _lzma_mf_is_supported
000000018e534998 (__TEXT,__text) external _lzma_microlzma_decoder
000000018e531bec (__TEXT,__text) external _lzma_microlzma_encoder
000000018e5383e8 (__TEXT,__text) external _lzma_mode_is_supported
000000018e532184 (__TEXT,__text) non-external (was a private external) _lzma_mt_block_size
000000018e52991c (__TEXT,__text) non-external (was a private external) _lzma_next_end
000000018e52a42c (__TEXT,__text) non-external (was a private external) _lzma_next_filter_init
000000018e53039c (__TEXT,__text) non-external (was a private external) _lzma_next_filter_update
000000018e53845c (__TEXT,__text) non-external (was a private external) _lzma_outq_clear_cache
000000018e5384bc (__TEXT,__text) non-external (was a private external) _lzma_outq_clear_cache2
000000018e5388e8 (__TEXT,__text) non-external (was a private external) _lzma_outq_enable_partial_output
000000018e538694 (__TEXT,__text) non-external (was a private external) _lzma_outq_end
000000018e538794 (__TEXT,__text) non-external (was a private external) _lzma_outq_get_buf
000000018e538578 (__TEXT,__text) non-external (was a private external) _lzma_outq_init
000000018e5387f8 (__TEXT,__text) non-external (was a private external) _lzma_outq_is_readable
000000018e53843c (__TEXT,__text) non-external (was a private external) _lzma_outq_memusage
000000018e5386ec (__TEXT,__text) non-external (was a private external) _lzma_outq_prealloc_buf
000000018e538830 (__TEXT,__text) non-external (was a private external) _lzma_outq_read
000000018e5307e0 (__TEXT,__text) external _lzma_physmem
000000018e533b38 (__TEXT,__text) external _lzma_properties_decode
000000018e52bc38 (__TEXT,__text) external _lzma_properties_encode
000000018e52a040 (__TEXT,__text) external _lzma_properties_size
000000018e533890 (__TEXT,__text) external _lzma_raw_buffer_decode
000000018e531eb4 (__TEXT,__text) external _lzma_raw_buffer_encode
000000018e52a29c (__TEXT,__text) non-external (was a private external) _lzma_raw_coder_init
000000018e530750 (__TEXT,__text) non-external (was a private external) _lzma_raw_coder_memusage
000000018e533aa0 (__TEXT,__text) external _lzma_raw_decoder
000000018e533a88 (__TEXT,__text) non-external (was a private external) _lzma_raw_decoder_init
000000018e533b20 (__TEXT,__text) external _lzma_raw_decoder_memusage
000000018e532100 (__TEXT,__text) external _lzma_raw_encoder
000000018e52a284 (__TEXT,__text) non-external (was a private external) _lzma_raw_encoder_init
000000018e5320e8 (__TEXT,__text) external _lzma_raw_encoder_memusage
000000018e547720 (__TEXT,__const) non-external (was a private external) _lzma_rc_prices
000000018e53cd40 (__TEXT,__text) non-external (was a private external) _lzma_simple_arm64_decoder_init
000000018e53cd1c (__TEXT,__text) non-external (was a private external) _lzma_simple_arm64_encoder_init
000000018e53fab4 (__TEXT,__text) non-external (was a private external) _lzma_simple_arm_decoder_init
000000018e53fa90 (__TEXT,__text) non-external (was a private external) _lzma_simple_arm_encoder_init
000000018e53fb8c (__TEXT,__text) non-external (was a private external) _lzma_simple_armthumb_decoder_init
000000018e53fb68 (__TEXT,__text) non-external (was a private external) _lzma_simple_armthumb_encoder_init
000000018e53efec (__TEXT,__text) non-external (was a private external) _lzma_simple_coder_init
000000018e53f8d4 (__TEXT,__text) non-external (was a private external) _lzma_simple_ia64_decoder_init
000000018e53f8b0 (__TEXT,__text) non-external (was a private external) _lzma_simple_ia64_encoder_init
000000018e53f7d8 (__TEXT,__text) non-external (was a private external) _lzma_simple_powerpc_decoder_init
000000018e53f7b4 (__TEXT,__text) non-external (was a private external) _lzma_simple_powerpc_encoder_init
000000018e53f528 (__TEXT,__text) non-external (was a private external) _lzma_simple_props_decode
000000018e53f510 (__TEXT,__text) non-external (was a private external) _lzma_simple_props_encode
000000018e53f4e8 (__TEXT,__text) non-external (was a private external) _lzma_simple_props_size
000000018e5410e8 (__TEXT,__text) non-external (was a private external) _lzma_simple_sparc_decoder_init
000000018e5410c4 (__TEXT,__text) non-external (was a private external) _lzma_simple_sparc_encoder_init
000000018e53f610 (__TEXT,__text) non-external (was a private external) _lzma_simple_x86_decoder_init
000000018e53f5ac (__TEXT,__text) non-external (was a private external) _lzma_simple_x86_encoder_init
000000018e536fbc (__TEXT,__text) external _lzma_str_from_filters
000000018e537410 (__TEXT,__text) external _lzma_str_list_filters
000000018e536b30 (__TEXT,__text) external _lzma_str_to_filters
000000018e5323bc (__TEXT,__text) external _lzma_stream_buffer_bound
000000018e534804 (__TEXT,__text) external _lzma_stream_buffer_decode
000000018e5323ec (__TEXT,__text) external _lzma_stream_buffer_encode
000000018e535434 (__TEXT,__text) external _lzma_stream_decoder
000000018e534d9c (__TEXT,__text) non-external (was a private external) _lzma_stream_decoder_init
000000018e53d324 (__TEXT,__text) external _lzma_stream_decoder_mt
000000018e529800 (__TEXT,__text) external _lzma_stream_encoder
000000018e53fc6c (__TEXT,__text) external _lzma_stream_encoder_mt
000000018e53ffdc (__TEXT,__text) external _lzma_stream_encoder_mt_memusage
000000018e530ffc (__TEXT,__text) external _lzma_stream_flags_compare
000000018e535564 (__TEXT,__text) external _lzma_stream_footer_decode
000000018e52fee0 (__TEXT,__text) external _lzma_stream_footer_encode
000000018e5354a8 (__TEXT,__text) external _lzma_stream_header_decode
000000018e529b70 (__TEXT,__text) external _lzma_stream_header_encode
000000018e529874 (__TEXT,__text) non-external (was a private external) _lzma_strm_init
000000018e53068c (__TEXT,__text) non-external (was a private external) _lzma_validate_chain
000000018e530308 (__TEXT,__text) external _lzma_version_number
000000018e530314 (__TEXT,__text) external _lzma_version_string
000000018e53560c (__TEXT,__text) external _lzma_vli_decode
000000018e52bb84 (__TEXT,__text) external _lzma_vli_encode
000000018e52a0ac (__TEXT,__text) external _lzma_vli_size
                 (undefined) external _malloc (from libSystem)
000000018e52f120 (__TEXT,__text) non-external _match
                 (undefined) external _memchr (from libSystem)
                 (undefined) external _memcmp (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memmove (from libSystem)
                 (undefined) external _memset_pattern16 (from libSystem)
000000018e534b20 (__TEXT,__text) non-external _microlzma_decode
000000018e534d5c (__TEXT,__text) non-external _microlzma_decoder_end
000000018e534a28 (__TEXT,__text) non-external _microlzma_decoder_init
000000018e531d90 (__TEXT,__text) non-external _microlzma_encode
000000018e531e74 (__TEXT,__text) non-external _microlzma_encoder_end
000000018e531c54 (__TEXT,__text) non-external _microlzma_encoder_init
000000018e538614 (__TEXT,__text) non-external _move_head_to_cache
000000018e52cf14 (__TEXT,__text) non-external _move_pos
000000018e536ab8 (__TEXT,__text) non-external _normalize
000000018e5379bc (__TEXT,__text) non-external _parse_bcj
000000018e5379cc (__TEXT,__text) non-external _parse_delta
000000018e537948 (__TEXT,__text) non-external _parse_lzma12
000000018e5379e8 (__TEXT,__text) non-external _parse_options
000000018e53f7fc (__TEXT,__text) non-external _powerpc_code
                 (undefined) external _pthread_cond_destroy (from libSystem)
                 (undefined) external _pthread_cond_init (from libSystem)
                 (undefined) external _pthread_cond_signal (from libSystem)
                 (undefined) external _pthread_cond_timedwait (from libSystem)
                 (undefined) external _pthread_cond_wait (from libSystem)
                 (undefined) external _pthread_create (from libSystem)
                 (undefined) external _pthread_join (from libSystem)
                 (undefined) external _pthread_mutex_destroy (from libSystem)
                 (undefined) external _pthread_mutex_init (from libSystem)
                 (undefined) external _pthread_mutex_lock (from libSystem)
                 (undefined) external _pthread_mutex_unlock (from libSystem)
                 (undefined) external _pthread_sigmask (from libSystem)
000000018e52cf48 (__TEXT,__text) non-external _rc_encode
000000018e53e4c8 (__TEXT,__text) non-external _read_output_and_wait
000000018e539664 (__TEXT,__text) non-external _reverse_seek
000000018e53f148 (__TEXT,__text) non-external _simple_code
000000018e53f3d8 (__TEXT,__text) non-external _simple_coder_end
000000018e53f424 (__TEXT,__text) non-external _simple_coder_update
000000018e54110c (__TEXT,__text) non-external _sparc_code
000000018e5373ac (__TEXT,__text) non-external _str_append_str
000000018e537834 (__TEXT,__text) non-external _str_append_u32
000000018e545658 (__TEXT,__const) non-external _str_append_u32.suffixes
000000018e534f0c (__TEXT,__text) non-external _stream_decode
000000018e53d5fc (__TEXT,__text) non-external _stream_decode_mt
000000018e53539c (__TEXT,__text) non-external _stream_decoder_end
000000018e5353ec (__TEXT,__text) non-external _stream_decoder_get_check
000000018e5353f4 (__TEXT,__text) non-external _stream_decoder_memconfig
000000018e53e16c (__TEXT,__text) non-external _stream_decoder_mt_end
000000018e53e1dc (__TEXT,__text) non-external _stream_decoder_mt_get_check
000000018e53e298 (__TEXT,__text) non-external _stream_decoder_mt_get_progress
000000018e53d390 (__TEXT,__text) non-external _stream_decoder_mt_init
000000018e53e1e4 (__TEXT,__text) non-external _stream_decoder_mt_memconfig
000000018e52b5d0 (__TEXT,__text) non-external _stream_encode
000000018e541530 (__TEXT,__const) non-external _stream_encode.convert
000000018e54019c (__TEXT,__text) non-external _stream_encode_mt
000000018e52ffe4 (__TEXT,__text) non-external _stream_encoder_end
000000018e53261c (__TEXT,__text) non-external _stream_encoder_init
000000018e5408d4 (__TEXT,__text) non-external _stream_encoder_mt_end
000000018e53fce0 (__TEXT,__text) non-external _stream_encoder_mt_init
000000018e540a2c (__TEXT,__text) non-external _stream_encoder_mt_update
000000018e529d1c (__TEXT,__text) non-external _stream_encoder_update
                 (undefined) external _strlen (from libSystem)
                 (undefined) external _sysconf (from libSystem)
                 (undefined) external _sysctl (from libSystem)
000000018e53e364 (__TEXT,__text) non-external _threads_end
000000018e540b18 (__TEXT,__text) non-external _threads_end
000000018e53e440 (__TEXT,__text) non-external _threads_stop
000000018e540bec (__TEXT,__text) non-external _threads_stop
000000018e530270 (__TEXT,__text) non-external (was a private external) _tuklib_cpucores
000000018e53022c (__TEXT,__text) non-external (was a private external) _tuklib_physmem
000000018e53e960 (__TEXT,__text) non-external _worker_decoder
000000018e53e910 (__TEXT,__text) non-external _worker_enable_partial_update
000000018e541064 (__TEXT,__text) non-external _worker_error
000000018e540cdc (__TEXT,__text) non-external _worker_start
000000018e53f618 (__TEXT,__text) non-external _x86_code
000000018e5477a8 (__TEXT,__const) non-external _x86_code.MASK_TO_BIT_NUMBER
000000018e53f5b4 (__TEXT,__text) non-external _x86_coder_init
