                 (undefined) external __DefaultRuneLocale (from libSystem)
                 (undefined) external __NSGetEnviron (from libSystem)
                 (undefined) external ___assert_rtn (from libSystem)
                 (undefined) external ___chkstk_darwin (from libSystem)
                 (undefined) weak external ___darwin_check_fd_set_overflow (from libSystem)
                 (undefined) external ___error (from libSystem)
                 (undefined) external ___maskrune (from libSystem)
                 (undefined) external ___memcpy_chk (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
                 (undefined) external ___stdinp (from libSystem)
                 (undefined) external ___stdoutp (from libSystem)
                 (undefined) external ___strcpy_chk (from libSystem)
                 (undefined) external ___tolower (from libSystem)
                 (undefined) external ___toupper (from libSystem)
                 (undefined) external __exit (from libSystem)
                 (undefined) external _accept (from libSystem)
                 (undefined) external _access (from libSystem)
000000020022afe4 (__TEXT,__text) external _apr__SHA256_Data
000000020021b9a8 (__TEXT,__text) external _apr_array_copy_hdr
000000020021b6b0 (__TEXT,__text) external _apr_array_make
000000020021b738 (__TEXT,__text) external _apr_array_pop
000000020021ba54 (__TEXT,__text) external _apr_array_pstrcat
000000020021b764 (__TEXT,__text) external _apr_array_push
0000000200219918 (__TEXT,__text) external _apr_atoi64
000000020021d21c (__TEXT,__text) external _apr_atomic_add32
000000020021d24c (__TEXT,__text) external _apr_atomic_cas32
000000020021d264 (__TEXT,__text) external _apr_atomic_casptr
000000020021d23c (__TEXT,__text) external _apr_atomic_dec32
000000020021d230 (__TEXT,__text) external _apr_atomic_inc32
000000020021d204 (__TEXT,__text) external _apr_atomic_init
000000020021d20c (__TEXT,__text) external _apr_atomic_read32
000000020021d214 (__TEXT,__text) external _apr_atomic_set32
000000020021d224 (__TEXT,__text) external _apr_atomic_sub32
000000020021d258 (__TEXT,__text) external _apr_atomic_xchg32
000000020021d270 (__TEXT,__text) external _apr_atomic_xchgptr
0000000200216c60 (__TEXT,__text) external _apr_collapse_spaces
00000002002168c8 (__TEXT,__text) external _apr_cpystrn
000000020022b074 (__TEXT,__text) external _apr_crypto_sha256_new
000000020022d484 (__TEXT,__text) external _apr_ctime
000000020022eb40 (__TEXT,__const) external _apr_day_snames
000000020021d7f4 (__TEXT,__text) external _apr_dir_close
000000020021da30 (__TEXT,__text) external _apr_dir_make
000000020021da70 (__TEXT,__text) external _apr_dir_make_recursive
000000020021d728 (__TEXT,__text) external _apr_dir_open
000000020021d834 (__TEXT,__text) external _apr_dir_read
000000020021db6c (__TEXT,__text) external _apr_dir_remove
000000020021da10 (__TEXT,__text) external _apr_dir_rewind
000000020021d440 (__TEXT,__text) external _apr_dso_error
000000020021d2e4 (__TEXT,__text) external _apr_dso_load
000000020021d3f0 (__TEXT,__text) external _apr_dso_sym
000000020021d3d4 (__TEXT,__text) external _apr_dso_unload
0000000200223980 (__TEXT,__text) external _apr_env_delete
000000020022391c (__TEXT,__text) external _apr_env_get
000000020022395c (__TEXT,__text) external _apr_env_set
00000002002161b8 (__TEXT,__text) external _apr_escape_echo
0000000200215a2c (__TEXT,__text) external _apr_escape_entity
00000002002164a0 (__TEXT,__text) external _apr_escape_hex
000000020021564c (__TEXT,__text) external _apr_escape_path
00000002002154ac (__TEXT,__text) external _apr_escape_path_segment
0000000200214e84 (__TEXT,__text) external _apr_escape_shell
0000000200215864 (__TEXT,__text) external _apr_escape_urlencoded
000000020021d6f0 (__TEXT,__text) external _apr_file_append
000000020021e9a8 (__TEXT,__text) external _apr_file_attrs_set
000000020021d484 (__TEXT,__text) external _apr_file_buffer_set
000000020021d520 (__TEXT,__text) external _apr_file_buffer_size_get
000000020021f40c (__TEXT,__text) external _apr_file_close
000000020021d528 (__TEXT,__text) external _apr_file_copy
000000020021dcd8 (__TEXT,__text) external _apr_file_data_get
000000020021dce0 (__TEXT,__text) external _apr_file_data_set
00000002002206a4 (__TEXT,__text) external _apr_file_datasync
000000020021dcf8 (__TEXT,__text) external _apr_file_dup
000000020021def0 (__TEXT,__text) external _apr_file_dup2
000000020021f560 (__TEXT,__text) external _apr_file_eof
000000020021dc20 (__TEXT,__text) external _apr_file_flags_get
00000002002205d8 (__TEXT,__text) external _apr_file_flush
00000002002202fc (__TEXT,__text) external _apr_file_flush_locked
0000000200220558 (__TEXT,__text) external _apr_file_getc
0000000200220718 (__TEXT,__text) external _apr_file_gets
000000020021e8ac (__TEXT,__text) external _apr_file_info_get
000000020021e754 (__TEXT,__text) external _apr_file_info_get_locked
000000020021f78c (__TEXT,__text) external _apr_file_inherit_set
000000020021f840 (__TEXT,__text) external _apr_file_inherit_unset
000000020021f8fc (__TEXT,__text) external _apr_file_link
000000020021ec0c (__TEXT,__text) external _apr_file_lock
000000020021efd4 (__TEXT,__text) external _apr_file_mktemp
000000020021eb18 (__TEXT,__text) external _apr_file_mtime_set
000000020021dc10 (__TEXT,__text) external _apr_file_name_get
000000020021fddc (__TEXT,__text) external _apr_file_namedpipe_create
000000020021f1a8 (__TEXT,__text) external _apr_file_open
000000020021f578 (__TEXT,__text) external _apr_file_open_flags_stderr
000000020021f5e0 (__TEXT,__text) external _apr_file_open_flags_stdin
000000020021f5ac (__TEXT,__text) external _apr_file_open_flags_stdout
000000020021f610 (__TEXT,__text) external _apr_file_open_stderr
000000020021f710 (__TEXT,__text) external _apr_file_open_stdin
000000020021f690 (__TEXT,__text) external _apr_file_open_stdout
000000020021e95c (__TEXT,__text) external _apr_file_perms_set
000000020021fbb0 (__TEXT,__text) external _apr_file_pipe_create
000000020021fd60 (__TEXT,__text) external _apr_file_pipe_create_ex
000000020021fa08 (__TEXT,__text) external _apr_file_pipe_timeout_get
000000020021f92c (__TEXT,__text) external _apr_file_pipe_timeout_set
000000020021f8f4 (__TEXT,__text) external _apr_file_pool_get
000000020022088c (__TEXT,__text) external _apr_file_printf
000000020022050c (__TEXT,__text) external _apr_file_putc
0000000200220590 (__TEXT,__text) external _apr_file_puts
000000020021fe28 (__TEXT,__text) external _apr_file_read
000000020021ed44 (__TEXT,__text) external _apr_file_read_full
000000020021f428 (__TEXT,__text) external _apr_file_remove
000000020021f44c (__TEXT,__text) external _apr_file_rename
0000000200220988 (__TEXT,__text) external _apr_file_seek
000000020021df1c (__TEXT,__text) external _apr_file_setaside
0000000200220630 (__TEXT,__text) external _apr_file_sync
0000000200220b6c (__TEXT,__text) external _apr_file_trunc
0000000200220548 (__TEXT,__text) external _apr_file_ungetc
000000020021ecc0 (__TEXT,__text) external _apr_file_unlock
00000002002200fc (__TEXT,__text) external _apr_file_write
000000020021edc0 (__TEXT,__text) external _apr_file_write_full
0000000200220428 (__TEXT,__text) external _apr_file_writev
000000020021ee3c (__TEXT,__text) external _apr_file_writev_full
000000020021e538 (__TEXT,__text) external _apr_filepath_encoding
000000020021e05c (__TEXT,__text) external _apr_filepath_get
000000020021e52c (__TEXT,__text) external _apr_filepath_list_merge
000000020021e610 (__TEXT,__text) external _apr_filepath_list_merge_impl
000000020021e520 (__TEXT,__text) external _apr_filepath_list_split
000000020021e548 (__TEXT,__text) external _apr_filepath_list_split_impl
000000020021e198 (__TEXT,__text) external _apr_filepath_merge
0000000200216c30 (__TEXT,__text) external _apr_filepath_name_get
000000020021e12c (__TEXT,__text) external _apr_filepath_root
000000020021e108 (__TEXT,__text) external _apr_filepath_set
0000000200216cdc (__TEXT,__text) external _apr_fnmatch
0000000200217568 (__TEXT,__text) external _apr_fnmatch_test
0000000200224a2c (__TEXT,__text) external _apr_generate_random_bytes
00000002002283b0 (__TEXT,__text) external _apr_gethostname
00000002002266c4 (__TEXT,__text) external _apr_getnameinfo
0000000200223eb4 (__TEXT,__text) external _apr_getopt
0000000200223dd4 (__TEXT,__text) external _apr_getopt_init
000000020022411c (__TEXT,__text) external _apr_getopt_long
000000020022680c (__TEXT,__text) external _apr_getservbyname
000000020022d7a0 (__TEXT,__text) external _apr_gid_get
000000020022d6d4 (__TEXT,__text) external _apr_gid_name_get
0000000200220f3c (__TEXT,__text) external _apr_global_mutex_child_init
0000000200220e08 (__TEXT,__text) external _apr_global_mutex_create
000000020022104c (__TEXT,__text) external _apr_global_mutex_destroy
0000000200220f48 (__TEXT,__text) external _apr_global_mutex_lock
0000000200221068 (__TEXT,__text) external _apr_global_mutex_lockfile
0000000200221070 (__TEXT,__text) external _apr_global_mutex_name
0000000200221078 (__TEXT,__text) external _apr_global_mutex_pool_get
0000000200220f9c (__TEXT,__text) external _apr_global_mutex_trylock
0000000200220ff0 (__TEXT,__text) external _apr_global_mutex_unlock
000000020021a450 (__TEXT,__text) external _apr_hash_clear
000000020021a13c (__TEXT,__text) external _apr_hash_copy
000000020021a448 (__TEXT,__text) external _apr_hash_count
000000020021a73c (__TEXT,__text) external _apr_hash_do
000000020021a030 (__TEXT,__text) external _apr_hash_first
000000020021a228 (__TEXT,__text) external _apr_hash_get
0000000200219f10 (__TEXT,__text) external _apr_hash_make
0000000200219fbc (__TEXT,__text) external _apr_hash_make_custom
000000020021a4bc (__TEXT,__text) external _apr_hash_merge
0000000200219fe4 (__TEXT,__text) external _apr_hash_next
000000020021a4b0 (__TEXT,__text) external _apr_hash_overlay
000000020021a7f8 (__TEXT,__text) external _apr_hash_pool_get
000000020021a374 (__TEXT,__text) external _apr_hash_set
000000020021a080 (__TEXT,__text) external _apr_hash_this
000000020021a0b4 (__TEXT,__text) external _apr_hash_this_key
000000020021a0c0 (__TEXT,__text) external _apr_hash_this_key_len
000000020021a0cc (__TEXT,__text) external _apr_hash_this_val
000000020021a0d8 (__TEXT,__text) external _apr_hashfunc_default
0000000200224e48 (__TEXT,__text) external _apr_inet_ntop
000000020022520c (__TEXT,__text) external _apr_inet_pton
0000000200224b00 (__TEXT,__text) external _apr_initialize
00000002002269f8 (__TEXT,__text) external _apr_ipsubnet_create
0000000200226d60 (__TEXT,__text) external _apr_ipsubnet_test
000000020021b694 (__TEXT,__text) external _apr_is_empty_array
000000020021bb64 (__TEXT,__text) external _apr_is_empty_table
000000020021995c (__TEXT,__text) external _apr_itoa
00000002002199e0 (__TEXT,__text) external _apr_ltoa
00000002002175dc (__TEXT,__text) external _apr_match_glob
00000002002256d4 (__TEXT,__text) external _apr_mcast_hops
00000002002257a4 (__TEXT,__text) external _apr_mcast_interface
00000002002255a8 (__TEXT,__text) external _apr_mcast_join
00000002002256bc (__TEXT,__text) external _apr_mcast_leave
0000000200225794 (__TEXT,__text) external _apr_mcast_loopback
0000000200224c08 (__TEXT,__text) external _apr_mmap_create
0000000200224e2c (__TEXT,__text) external _apr_mmap_delete
0000000200224d90 (__TEXT,__text) external _apr_mmap_dup
0000000200224bd8 (__TEXT,__text) external _apr_mmap_offset
000000020022eb10 (__TEXT,__const) external _apr_month_snames
0000000200219a60 (__TEXT,__text) external _apr_off_t_toa
00000002002238b0 (__TEXT,__text) external _apr_os_default_encoding
000000020021db90 (__TEXT,__text) external _apr_os_dir_get
000000020021dbb0 (__TEXT,__text) external _apr_os_dir_put
000000020021d2d4 (__TEXT,__text) external _apr_os_dso_handle_get
000000020021d27c (__TEXT,__text) external _apr_os_dso_handle_put
000000020022d1a4 (__TEXT,__text) external _apr_os_exp_time_get
000000020022d1f4 (__TEXT,__text) external _apr_os_exp_time_put
000000020021f470 (__TEXT,__text) external _apr_os_file_get
000000020021f480 (__TEXT,__text) external _apr_os_file_put
0000000200221034 (__TEXT,__text) external _apr_os_global_mutex_get
000000020022d164 (__TEXT,__text) external _apr_os_imp_time_get
000000020022d1d0 (__TEXT,__text) external _apr_os_imp_time_put
00000002002238bc (__TEXT,__text) external _apr_os_locale_encoding
000000020021fb10 (__TEXT,__text) external _apr_os_pipe_put
000000020021fa30 (__TEXT,__text) external _apr_os_pipe_put_ex
0000000200221294 (__TEXT,__text) external _apr_os_proc_mutex_get
00000002002212b4 (__TEXT,__text) external _apr_os_proc_mutex_put
000000020022b6f8 (__TEXT,__text) external _apr_os_shm_get
000000020022b704 (__TEXT,__text) external _apr_os_shm_put
0000000200227a1c (__TEXT,__text) external _apr_os_sock_get
0000000200227a2c (__TEXT,__text) external _apr_os_sock_make
0000000200227b4c (__TEXT,__text) external _apr_os_sock_put
000000020022cc1c (__TEXT,__text) external _apr_os_thread_current
000000020022cc20 (__TEXT,__text) external _apr_os_thread_equal
000000020022ccb0 (__TEXT,__text) external _apr_os_thread_get
000000020022ccc0 (__TEXT,__text) external _apr_os_thread_put
000000020022ce40 (__TEXT,__text) external _apr_os_threadkey_get
000000020022ce50 (__TEXT,__text) external _apr_os_threadkey_put
00000002002249c0 (__TEXT,__text) external _apr_os_uuid_get
0000000200222a88 (__TEXT,__text) external _apr_palloc
0000000200223894 (__TEXT,__text) external _apr_palloc_debug
00000002002263c0 (__TEXT,__text) external _apr_parse_addr_port
0000000200216850 (__TEXT,__text) external _apr_password_get
0000000200222bb0 (__TEXT,__text) external _apr_pcalloc
0000000200223898 (__TEXT,__text) external _apr_pcalloc_debug
0000000200216420 (__TEXT,__text) external _apr_pescape_echo
0000000200215cf0 (__TEXT,__text) external _apr_pescape_entity
000000020021653c (__TEXT,__text) external _apr_pescape_hex
00000002002157e4 (__TEXT,__text) external _apr_pescape_path
00000002002155e0 (__TEXT,__text) external _apr_pescape_path_segment
0000000200214f8c (__TEXT,__text) external _apr_pescape_shell
00000002002159c0 (__TEXT,__text) external _apr_pescape_urlencoded
0000000200219580 (__TEXT,__text) external _apr_pmemdup
0000000200228ec0 (__TEXT,__text) external _apr_poll
0000000200229aac (__TEXT,__text) external _apr_poll_method_defname
0000000200229744 (__TEXT,__text) external _apr_pollcb_add
000000020022973c (__TEXT,__text) external _apr_pollcb_create
0000000200229610 (__TEXT,__text) external _apr_pollcb_create_ex
000000020022975c (__TEXT,__text) external _apr_pollcb_poll
000000020e2f52e8 (__DATA,__data) external _apr_pollcb_provider_kqueue
000000020e2f52f8 (__DATA,__data) external _apr_pollcb_provider_poll
0000000200229750 (__TEXT,__text) external _apr_pollcb_remove
0000000200229b30 (__TEXT,__text) external _apr_pollset_add
0000000200229ad0 (__TEXT,__text) external _apr_pollset_create
00000002002297e4 (__TEXT,__text) external _apr_pollset_create_ex
0000000200229ad8 (__TEXT,__text) external _apr_pollset_destroy
0000000200229768 (__TEXT,__text) external _apr_pollset_drain_wakeup_pipe
0000000200229aa0 (__TEXT,__text) external _apr_pollset_method_name
0000000200229b48 (__TEXT,__text) external _apr_pollset_poll
000000020e2f52e0 (__DATA,__data) external _apr_pollset_provider_kqueue
000000020e2f52f0 (__DATA,__data) external _apr_pollset_provider_poll
000000020e2f5300 (__DATA,__data) external _apr_pollset_provider_select
0000000200229b3c (__TEXT,__text) external _apr_pollset_remove
0000000200229b10 (__TEXT,__text) external _apr_pollset_wakeup
0000000200223428 (__TEXT,__text) external _apr_pool_abort_get
0000000200223420 (__TEXT,__text) external _apr_pool_abort_set
0000000200223438 (__TEXT,__text) external _apr_pool_allocator_get
0000000200223758 (__TEXT,__text) external _apr_pool_child_cleanup_set
00000002002237d8 (__TEXT,__text) external _apr_pool_cleanup_for_exec
00000002002236c0 (__TEXT,__text) external _apr_pool_cleanup_kill
0000000200223840 (__TEXT,__text) external _apr_pool_cleanup_null
0000000200223524 (__TEXT,__text) external _apr_pool_cleanup_register
0000000200223790 (__TEXT,__text) external _apr_pool_cleanup_run
0000000200222bec (__TEXT,__text) external _apr_pool_clear
000000020022389c (__TEXT,__text) external _apr_pool_clear_debug
0000000200222edc (__TEXT,__text) external _apr_pool_create_core_ex
00000002002238a8 (__TEXT,__text) external _apr_pool_create_core_ex_debug
0000000200222770 (__TEXT,__text) external _apr_pool_create_ex
00000002002238a4 (__TEXT,__text) external _apr_pool_create_ex_debug
0000000200222ee0 (__TEXT,__text) external _apr_pool_create_unmanaged_ex
00000002002238ac (__TEXT,__text) external _apr_pool_create_unmanaged_ex_debug
00000002002228cc (__TEXT,__text) external _apr_pool_destroy
00000002002238a0 (__TEXT,__text) external _apr_pool_destroy_debug
0000000200222664 (__TEXT,__text) external _apr_pool_initialize
0000000200223440 (__TEXT,__text) external _apr_pool_is_ancestor
0000000200223848 (__TEXT,__text) external _apr_pool_note_subprocess
0000000200223430 (__TEXT,__text) external _apr_pool_parent_get
0000000200223658 (__TEXT,__text) external _apr_pool_pre_cleanup_register
0000000200222874 (__TEXT,__text) external _apr_pool_tag
000000020022287c (__TEXT,__text) external _apr_pool_terminate
0000000200223620 (__TEXT,__text) external _apr_pool_userdata_get
0000000200223468 (__TEXT,__text) external _apr_pool_userdata_set
0000000200223590 (__TEXT,__text) external _apr_pool_userdata_setn
000000020022be80 (__TEXT,__text) external _apr_proc_create
000000020022c724 (__TEXT,__text) external _apr_proc_detach
000000020022bd58 (__TEXT,__text) external _apr_proc_fork
000000020022c80c (__TEXT,__text) external _apr_proc_kill
000000020022121c (__TEXT,__text) external _apr_proc_mutex_child_init
000000020022109c (__TEXT,__text) external _apr_proc_mutex_cleanup
000000020022112c (__TEXT,__text) external _apr_proc_mutex_create
0000000200221114 (__TEXT,__text) external _apr_proc_mutex_defname
0000000200221080 (__TEXT,__text) external _apr_proc_mutex_destroy
0000000200221238 (__TEXT,__text) external _apr_proc_mutex_lock
000000020022125c (__TEXT,__text) external _apr_proc_mutex_lockfile
0000000200221120 (__TEXT,__text) external _apr_proc_mutex_name
000000020022128c (__TEXT,__text) external _apr_proc_mutex_pool_get
0000000200221244 (__TEXT,__text) external _apr_proc_mutex_trylock
00000002002210a8 (__TEXT,__text) external _apr_proc_mutex_unix_setup_lock
0000000200221250 (__TEXT,__text) external _apr_proc_mutex_unlock
000000020022488c (__TEXT,__text) external _apr_proc_other_child_alert
00000002002248e8 (__TEXT,__text) external _apr_proc_other_child_refresh
0000000200224980 (__TEXT,__text) external _apr_proc_other_child_refresh_all
00000002002246a4 (__TEXT,__text) external _apr_proc_other_child_register
00000002002247d4 (__TEXT,__text) external _apr_proc_other_child_unregister
000000020022c3fc (__TEXT,__text) external _apr_proc_spawn
000000020022c5d8 (__TEXT,__text) external _apr_proc_wait
000000020022c5cc (__TEXT,__text) external _apr_proc_wait_all_procs
000000020022bdd8 (__TEXT,__text) external _apr_procattr_addrspace_set
000000020022bbd8 (__TEXT,__text) external _apr_procattr_child_err_set
000000020022bdc0 (__TEXT,__text) external _apr_procattr_child_errfn_set
000000020022b978 (__TEXT,__text) external _apr_procattr_child_in_set
000000020022baa8 (__TEXT,__text) external _apr_procattr_child_out_set
000000020022bd40 (__TEXT,__text) external _apr_procattr_cmdtype_set
000000020022b7e4 (__TEXT,__text) external _apr_procattr_create
000000020022bd4c (__TEXT,__text) external _apr_procattr_detach_set
000000020022bd08 (__TEXT,__text) external _apr_procattr_dir_set
000000020022bdcc (__TEXT,__text) external _apr_procattr_error_check_set
000000020022be48 (__TEXT,__text) external _apr_procattr_group_set
000000020022b858 (__TEXT,__text) external _apr_procattr_io_set
000000020022c6c0 (__TEXT,__text) external _apr_procattr_limit_set
000000020022bde0 (__TEXT,__text) external _apr_procattr_user_set
00000002002233f4 (__TEXT,__text) external _apr_psprintf
00000002002196a4 (__TEXT,__text) external _apr_pstrcat
00000002002197d8 (__TEXT,__text) external _apr_pstrcatv
000000020021951c (__TEXT,__text) external _apr_pstrdup
000000020021964c (__TEXT,__text) external _apr_pstrmemdup
00000002002195d4 (__TEXT,__text) external _apr_pstrndup
000000020021614c (__TEXT,__text) external _apr_punescape_entity
00000002002167c4 (__TEXT,__text) external _apr_punescape_hex
00000002002153f0 (__TEXT,__text) external _apr_punescape_url
0000000200222fcc (__TEXT,__text) external _apr_pvsprintf
000000020022a5fc (__TEXT,__text) external _apr_random_add_entropy
000000020022a4f0 (__TEXT,__text) external _apr_random_after_fork
000000020022aa24 (__TEXT,__text) external _apr_random_barrier
000000020022a344 (__TEXT,__text) external _apr_random_init
000000020022a9f8 (__TEXT,__text) external _apr_random_insecure_bytes
000000020022aa50 (__TEXT,__text) external _apr_random_insecure_ready
000000020022a8c8 (__TEXT,__text) external _apr_random_secure_bytes
000000020022aa3c (__TEXT,__text) external _apr_random_secure_ready
000000020022a58c (__TEXT,__text) external _apr_random_standard_new
000000020022d288 (__TEXT,__text) external _apr_rfc822_date
000000020022c950 (__TEXT,__text) external _apr_setup_signal_thread
000000020022b510 (__TEXT,__text) external _apr_shm_attach
000000020022b694 (__TEXT,__text) external _apr_shm_attach_ex
000000020022b6e0 (__TEXT,__text) external _apr_shm_baseaddr_get
000000020022b108 (__TEXT,__text) external _apr_shm_create
000000020022b428 (__TEXT,__text) external _apr_shm_create_ex
000000020022b4f4 (__TEXT,__text) external _apr_shm_destroy
000000020022b698 (__TEXT,__text) external _apr_shm_detach
000000020022b6f0 (__TEXT,__text) external _apr_shm_pool_get
000000020022b42c (__TEXT,__text) external _apr_shm_remove
000000020022b6e8 (__TEXT,__text) external _apr_shm_size_get
000000020022c840 (__TEXT,__text) external _apr_signal
000000020022c994 (__TEXT,__text) external _apr_signal_block
000000020022c8d8 (__TEXT,__text) external _apr_signal_description_get
000000020022c8d4 (__TEXT,__text) external _apr_signal_init
000000020022c8f8 (__TEXT,__text) external _apr_signal_thread
000000020022c9e4 (__TEXT,__text) external _apr_signal_unblock
000000020021ab44 (__TEXT,__text) external _apr_skiplist_add_index
000000020021a800 (__TEXT,__text) external _apr_skiplist_alloc
000000020021b4b0 (__TEXT,__text) external _apr_skiplist_destroy
000000020021ac74 (__TEXT,__text) external _apr_skiplist_find
000000020021acc0 (__TEXT,__text) external _apr_skiplist_find_compare
000000020021a95c (__TEXT,__text) external _apr_skiplist_free
000000020021ac84 (__TEXT,__text) external _apr_skiplist_getlist
000000020021a9d0 (__TEXT,__text) external _apr_skiplist_init
000000020021ac7c (__TEXT,__text) external _apr_skiplist_insert
000000020021ae18 (__TEXT,__text) external _apr_skiplist_insert_compare
000000020021b578 (__TEXT,__text) external _apr_skiplist_merge
000000020021ac9c (__TEXT,__text) external _apr_skiplist_next
000000020021b490 (__TEXT,__text) external _apr_skiplist_peek
000000020021b44c (__TEXT,__text) external _apr_skiplist_pop
000000020021adf4 (__TEXT,__text) external _apr_skiplist_previous
000000020021b3b8 (__TEXT,__text) external _apr_skiplist_remove
000000020021b3c0 (__TEXT,__text) external _apr_skiplist_remove_all
000000020021b1f4 (__TEXT,__text) external _apr_skiplist_remove_compare
000000020021aafc (__TEXT,__text) external _apr_skiplist_set_compare
000000020022d21c (__TEXT,__text) external _apr_sleep
00000002002191a0 (__TEXT,__text) external _apr_snprintf
0000000200226890 (__TEXT,__text) external _apr_sockaddr_equal
00000002002265f4 (__TEXT,__text) external _apr_sockaddr_info_get
0000000200226218 (__TEXT,__text) external _apr_sockaddr_ip_get
0000000200226170 (__TEXT,__text) external _apr_sockaddr_ip_getbuf
0000000200226974 (__TEXT,__text) external _apr_sockaddr_is_wildcard
0000000200226264 (__TEXT,__text) external _apr_sockaddr_vars_set
00000002002274ec (__TEXT,__text) external _apr_socket_accept
00000002002262cc (__TEXT,__text) external _apr_socket_addr_get
0000000200228348 (__TEXT,__text) external _apr_socket_atmark
0000000200227040 (__TEXT,__text) external _apr_socket_atreadeof
0000000200227450 (__TEXT,__text) external _apr_socket_bind
0000000200227434 (__TEXT,__text) external _apr_socket_close
0000000200227794 (__TEXT,__text) external _apr_socket_connect
0000000200227184 (__TEXT,__text) external _apr_socket_create
0000000200227938 (__TEXT,__text) external _apr_socket_data_get
0000000200227998 (__TEXT,__text) external _apr_socket_data_set
0000000200227bec (__TEXT,__text) external _apr_socket_inherit_set
0000000200227ca0 (__TEXT,__text) external _apr_socket_inherit_unset
00000002002274b8 (__TEXT,__text) external _apr_socket_listen
0000000200228330 (__TEXT,__text) external _apr_socket_opt_get
0000000200227e9c (__TEXT,__text) external _apr_socket_opt_set
0000000200227be4 (__TEXT,__text) external _apr_socket_pool_get
0000000200227174 (__TEXT,__text) external _apr_socket_protocol_get
0000000200225a2c (__TEXT,__text) external _apr_socket_recv
0000000200225c90 (__TEXT,__text) external _apr_socket_recvfrom
00000002002258fc (__TEXT,__text) external _apr_socket_send
0000000200225f64 (__TEXT,__text) external _apr_socket_sendfile
0000000200225b68 (__TEXT,__text) external _apr_socket_sendto
0000000200225e04 (__TEXT,__text) external _apr_socket_sendv
0000000200227400 (__TEXT,__text) external _apr_socket_shutdown
0000000200228320 (__TEXT,__text) external _apr_socket_timeout_get
0000000200227d48 (__TEXT,__text) external _apr_socket_timeout_set
0000000200227928 (__TEXT,__text) external _apr_socket_type_get
000000020021ea70 (__TEXT,__text) external _apr_stat
000000020022399c (__TEXT,__text) external _apr_strerror
0000000200219ae0 (__TEXT,__text) external _apr_strfsize
000000020022d670 (__TEXT,__text) external _apr_strftime
0000000200219e74 (__TEXT,__text) external _apr_strnatcasecmp
0000000200219c04 (__TEXT,__text) external _apr_strnatcmp
000000020021986c (__TEXT,__text) external _apr_strtoff
00000002002198c4 (__TEXT,__text) external _apr_strtoi64
0000000200219e7c (__TEXT,__text) external _apr_strtok
000000020021bd74 (__TEXT,__text) external _apr_table_add
000000020021c8b8 (__TEXT,__text) external _apr_table_addn
000000020021be4c (__TEXT,__text) external _apr_table_clear
000000020021bd04 (__TEXT,__text) external _apr_table_clone
000000020021cb8c (__TEXT,__text) external _apr_table_compress
000000020021bbf0 (__TEXT,__text) external _apr_table_copy
000000020021c9cc (__TEXT,__text) external _apr_table_do
000000020021bb60 (__TEXT,__text) external _apr_table_elts
000000020021be58 (__TEXT,__text) external _apr_table_get
000000020021d130 (__TEXT,__text) external _apr_table_getm
000000020021bb80 (__TEXT,__text) external _apr_table_make
000000020021c5f8 (__TEXT,__text) external _apr_table_merge
000000020021c768 (__TEXT,__text) external _apr_table_mergen
