00007ff8400f6df0 (__DATA,__data) external _NDR_record
00007ff8010ca104 (__TEXT,__text) external ___map_with_linking_np
00007ff8010ca11c (__TEXT,__text) external ___memorystatus_available_memory
00007ff8010ca134 (__TEXT,__text) external ___microstackshot
00007ff8010ca14c (__TEXT,__text) external ___mkdir_extended
00007ff8010ca164 (__TEXT,__text) external ___mkfifo_extended
00007ff8010ca17c (__TEXT,__text) external ___mmap
00007ff8010ca194 (__TEXT,__text) external ___mprotect
00007ff8010ca1ac (__TEXT,__text) external ___msgctl
00007ff8010ca1c4 (__TEXT,__text) external ___msgrcv_nocancel
00007ff8010ca1dc (__TEXT,__text) external ___msgsnd_nocancel
00007ff8010ca1f4 (__TEXT,__text) external ___msgsys
00007ff8010ca20c (__TEXT,__text) external ___msync
00007ff8010ca224 (__TEXT,__text) external ___msync_nocancel
00007ff8010ca23c (__TEXT,__text) external ___munmap
00007ff8010ca254 (__TEXT,__text) external ___nexus_create
00007ff8010ca26c (__TEXT,__text) external ___nexus_deregister
00007ff8010ca284 (__TEXT,__text) external ___nexus_destroy
00007ff8010ca29c (__TEXT,__text) external ___nexus_get_opt
00007ff8010ca2b4 (__TEXT,__text) external ___nexus_open
00007ff8010ca2cc (__TEXT,__text) external ___nexus_register
00007ff8010ca2e4 (__TEXT,__text) external ___nexus_set_opt
00007ff8010ca2fc (__TEXT,__text) external ___open
00007ff8010ca314 (__TEXT,__text) external ___open_dprotected_np
00007ff8010ca32c (__TEXT,__text) external ___open_extended
00007ff8010ca344 (__TEXT,__text) external ___open_nocancel
00007ff8010ca35c (__TEXT,__text) external ___openat
00007ff8010ca374 (__TEXT,__text) external ___openat_dprotected_np
00007ff8010ca38c (__TEXT,__text) external ___openat_nocancel
00007ff8400f6f68 (__DATA,__bss) non-external ___os_ch_md_redzone_cookie
00007ff8010d944b (__TEXT,__text) non-external ___os_nexus_config_flow
00007ff8010d92ed (__TEXT,__text) external ___os_nexus_flow_add
00007ff8010d9360 (__TEXT,__text) external ___os_nexus_flow_del
00007ff8010d94b9 (__TEXT,__text) external ___os_nexus_get_llink_info
00007ff8010d9113 (__TEXT,__text) external ___os_nexus_ifattach
00007ff8010d9224 (__TEXT,__text) external ___os_nexus_ifdetach
00007ff8010ca3a4 (__TEXT,__text) external ___oslog_coproc
00007ff8010ca3bc (__TEXT,__text) external ___oslog_coproc_reg
00007ff8010ca3d4 (__TEXT,__text) external ___persona
00007ff8010ca3ec (__TEXT,__text) external ___pipe
00007ff8010ca408 (__TEXT,__text) external ___poll_nocancel
00007ff8010ca420 (__TEXT,__text) external ___posix_spawn
00007ff8010ca438 (__TEXT,__text) external ___pread_nocancel
00007ff8010ca450 (__TEXT,__text) external ___preadv_nocancel
00007ff8010ca468 (__TEXT,__text) external ___proc_info
00007ff8010ca480 (__TEXT,__text) external ___proc_info_extended_id
00007ff8010ca498 (__TEXT,__text) external ___process_policy
00007ff8010ca4b0 (__TEXT,__text) external ___pselect
00007ff8010ca4c8 (__TEXT,__text) external ___pselect_nocancel
00007ff8010ca4e0 (__TEXT,__text) external ___psynch_cvbroad
00007ff8010ca4f8 (__TEXT,__text) external ___psynch_cvclrprepost
00007ff8010ca510 (__TEXT,__text) external ___psynch_cvsignal
00007ff8010ca528 (__TEXT,__text) external ___psynch_cvwait
00007ff8010ca540 (__TEXT,__text) external ___psynch_mutexdrop
00007ff8010ca558 (__TEXT,__text) external ___psynch_mutexwait
00007ff8010ca570 (__TEXT,__text) external ___psynch_rw_downgrade
00007ff8010ca588 (__TEXT,__text) external ___psynch_rw_longrdlock
00007ff8010ca5a0 (__TEXT,__text) external ___psynch_rw_rdlock
00007ff8010ca5b8 (__TEXT,__text) external ___psynch_rw_unlock
00007ff8010ca5d0 (__TEXT,__text) external ___psynch_rw_unlock2
00007ff8010ca5e8 (__TEXT,__text) external ___psynch_rw_upgrade
00007ff8010ca600 (__TEXT,__text) external ___psynch_rw_wrlock
00007ff8010ca618 (__TEXT,__text) external ___psynch_rw_yieldwrlock
00007ff8010ca630 (__TEXT,__text) external ___pthread_canceled
00007ff8010ca648 (__TEXT,__text) external ___pthread_chdir
00007ff8010ca660 (__TEXT,__text) external ___pthread_fchdir
00007ff8010ca678 (__TEXT,__text) external ___pthread_kill
00007ff8010ca690 (__TEXT,__text) external ___pthread_markcancel
00007ff8010ca6a8 (__TEXT,__text) external ___pthread_sigmask
00007ff8010ca6c0 (__TEXT,__text) external ___ptrace
00007ff8010ca6e4 (__TEXT,__text) external ___pwrite_nocancel
00007ff8010ca6fc (__TEXT,__text) external ___pwritev_nocancel
00007ff8010ca714 (__TEXT,__text) external ___read_nocancel
00007ff8010ca72c (__TEXT,__text) external ___readv_nocancel
00007ff8010ca744 (__TEXT,__text) external ___reboot
00007ff8010ca75c (__TEXT,__text) external ___record_system_event
00007ff8010ca774 (__TEXT,__text) external ___recvfrom
00007ff8010ca78c (__TEXT,__text) external ___recvfrom_nocancel
00007ff8010ca7a4 (__TEXT,__text) external ___recvmsg
00007ff8010ca7bc (__TEXT,__text) external ___recvmsg_nocancel
00007ff8400f6f88 (__DATA,__bss) non-external ___remove_counter
00007ff8010ca7d4 (__TEXT,__text) external ___rename
00007ff8010ca7ec (__TEXT,__text) external ___renameat
00007ff8010ca804 (__TEXT,__text) external ___renameatx_np
00007ff8010ca81c (__TEXT,__text) external ___rmdir
00007ff8010c9f54 (__TEXT,__text) external ___sandbox_me
00007ff8010ca014 (__TEXT,__text) external ___sandbox_mm
00007ff8010ca08c (__TEXT,__text) external ___sandbox_ms
00007ff8010ca074 (__TEXT,__text) external ___sandbox_msp
00007ff8010ca834 (__TEXT,__text) external ___select
00007ff8010ca84c (__TEXT,__text) external ___select_nocancel
00007ff8010ca864 (__TEXT,__text) external ___sem_open
00007ff8010ca87c (__TEXT,__text) external ___sem_wait_nocancel
00007ff8010ca894 (__TEXT,__text) external ___semctl
00007ff8010ca8ac (__TEXT,__text) external ___semsys
00007ff8010ca8c4 (__TEXT,__text) external ___semwait_signal
00007ff8010ca8dc (__TEXT,__text) external ___semwait_signal_nocancel
00007ff8010ca8f4 (__TEXT,__text) external ___sendmsg
00007ff8010ca90c (__TEXT,__text) external ___sendmsg_nocancel
00007ff8010ca924 (__TEXT,__text) external ___sendto
00007ff8010ca93c (__TEXT,__text) external ___sendto_nocancel
00007ff8010ca954 (__TEXT,__text) external ___setattrlist
00007ff8010ca96c (__TEXT,__text) external ___setlogin
00007ff8010ca984 (__TEXT,__text) external ___setpriority
00007ff8010ca99c (__TEXT,__text) external ___setregid
00007ff8010ca9b4 (__TEXT,__text) external ___setreuid
00007ff8010ca9cc (__TEXT,__text) external ___setrlimit
00007ff8010ca9e4 (__TEXT,__text) external ___setsgroups
00007ff8010ca9fc (__TEXT,__text) external ___settid
00007ff8010caa14 (__TEXT,__text) external ___settid_with_pid
00007ff8010caa2c (__TEXT,__text) external ___settimeofday
00007ff8010caa44 (__TEXT,__text) external ___setwgroups
00007ff8010caa5c (__TEXT,__text) external ___sfi_ctl
00007ff8010caa74 (__TEXT,__text) external ___sfi_pidctl
00007ff8010caa8c (__TEXT,__text) external ___shared_region_check_np
00007ff8010caaa4 (__TEXT,__text) external ___shared_region_map_and_slide_2_np
00007ff8010caabc (__TEXT,__text) external ___shm_open
00007ff8010caad4 (__TEXT,__text) external ___shmctl
00007ff8010caaec (__TEXT,__text) external ___shmsys
00007ff8010cab04 (__TEXT,__text) external ___sigaction
00007ff8010cab1c (__TEXT,__text) external ___sigaltstack
00007ff8010cab34 (__TEXT,__text) external ___sigreturn
00007ff8010cab4c (__TEXT,__text) external ___sigsuspend
00007ff8010cab64 (__TEXT,__text) external ___sigsuspend_nocancel
00007ff8010cab7c (__TEXT,__text) external ___sigwait
00007ff8010cab94 (__TEXT,__text) external ___socketpair
00007ff8010cabac (__TEXT,__text) external ___stack_snapshot_with_config
00007ff8010cabc4 (__TEXT,__text) external ___stat64_extended
00007ff8010cabdc (__TEXT,__text) external ___stat_extended
00007ff8010d21b4 (__TEXT,__text) non-external ___statfs_ext_impl
00007ff8010cabf4 (__TEXT,__text) external ___syscall
00007ff8400f7620 (__DATA,__common) external ___syscall_logger
00007ff8010cac0c (__TEXT,__text) external ___sysctl
00007ff8010cac24 (__TEXT,__text) external ___sysctlbyname
00007ff8010cac3c (__TEXT,__text) external ___telemetry
00007ff8010cac54 (__TEXT,__text) external ___terminate_with_payload
00007ff8010cac6c (__TEXT,__text) external ___thread_selfid
00007ff8010cac84 (__TEXT,__text) external ___thread_selfusage
00007ff8010cac9c (__TEXT,__text) external ___ulock_wait
00007ff8010cacb4 (__TEXT,__text) external ___ulock_wait2
00007ff8010caccc (__TEXT,__text) external ___ulock_wake
00007ff8010cace4 (__TEXT,__text) external ___umask_extended
00007ff8010cacfc (__TEXT,__text) external ___unlink
00007ff8010cad14 (__TEXT,__text) external ___unlinkat
00007ff8010cad2c (__TEXT,__text) external ___vfork
00007ff8010cad84 (__TEXT,__text) external ___wait4
00007ff8010cad9c (__TEXT,__text) external ___wait4_nocancel
00007ff8010cadb4 (__TEXT,__text) external ___waitid_nocancel
00007ff8010cadcc (__TEXT,__text) external ___work_interval_ctl
00007ff8010cade4 (__TEXT,__text) external ___workq_kernreturn
00007ff8010cadfc (__TEXT,__text) external ___workq_open
00007ff8010cae14 (__TEXT,__text) external ___write_nocancel
00007ff8010cae2c (__TEXT,__text) external ___writev_nocancel
00007ff8400f6fdc (__DATA,__common) external __cpu_capabilities
00007ff8400f6fd8 (__DATA,__common) external __cpu_has_altivec
00007ff8400f6c10 (__DATA,__data) non-external (was a private external) __current_pid
00007ff8400f6f48 (__DATA,__bss) non-external __dlsym
00007ff8010c92b0 (__TEXT,__text) external __exclaves_ctl_trap
00007ff8010c9b30 (__TEXT,__text) external __exit
00007ff8010c9820 (__TEXT,__text) external __get_cpu_capabilities
00007ff8400f6f60 (__DATA,__bss) non-external __gethostuuid_callback
00007ff8010d1761 (__TEXT,__text) external __getprivatesystemidentifier
00007ff8010df6fd (__TEXT,__text) external __host_page_size
00007ff8010d9ede (__TEXT,__text) external __init_cpu_capabilities
00007ff8010e0bb9 (__TEXT,__text) external __kernelrpc_host_create_mach_voucher
00007ff8010e2071 (__TEXT,__text) external __kernelrpc_mach_port_allocate
00007ff8010e33c3 (__TEXT,__text) external __kernelrpc_mach_port_allocate_full
00007ff8010e1f82 (__TEXT,__text) external __kernelrpc_mach_port_allocate_name
00007ff8010e3272 (__TEXT,__text) external __kernelrpc_mach_port_allocate_qos
00007ff8010c9094 (__TEXT,__text) external __kernelrpc_mach_port_allocate_trap
00007ff8010e4d8a (__TEXT,__text) external __kernelrpc_mach_port_assert_attributes
00007ff8010e40d2 (__TEXT,__text) external __kernelrpc_mach_port_construct
00007ff8010c90e8 (__TEXT,__text) external __kernelrpc_mach_port_construct_trap
00007ff8010e2291 (__TEXT,__text) external __kernelrpc_mach_port_deallocate
00007ff8010c90a0 (__TEXT,__text) external __kernelrpc_mach_port_deallocate_trap
00007ff8010e21a3 (__TEXT,__text) external __kernelrpc_mach_port_destroy
00007ff8010e420c (__TEXT,__text) external __kernelrpc_mach_port_destruct
00007ff8010c90f4 (__TEXT,__text) external __kernelrpc_mach_port_destruct_trap
00007ff8010e3925 (__TEXT,__text) external __kernelrpc_mach_port_dnrequest_info
00007ff8010e3c8c (__TEXT,__text) external __kernelrpc_mach_port_extract_member
00007ff8010c90dc (__TEXT,__text) external __kernelrpc_mach_port_extract_member_trap
00007ff8010e2d13 (__TEXT,__text) external __kernelrpc_mach_port_extract_right
00007ff8010e2f51 (__TEXT,__text) external __kernelrpc_mach_port_get_attributes
00007ff8010c919c (__TEXT,__text) external __kernelrpc_mach_port_get_attributes_trap
00007ff8010e3d7b (__TEXT,__text) external __kernelrpc_mach_port_get_context
00007ff8010e237f (__TEXT,__text) external __kernelrpc_mach_port_get_refs
00007ff8010e4c18 (__TEXT,__text) external __kernelrpc_mach_port_get_service_port_info
00007ff8010e28a1 (__TEXT,__text) external __kernelrpc_mach_port_get_set_status
00007ff8010e3613 (__TEXT,__text) external __kernelrpc_mach_port_get_srights
00007ff8010e42f7 (__TEXT,__text) external __kernelrpc_mach_port_guard
00007ff8010c91a8 (__TEXT,__text) external __kernelrpc_mach_port_guard_trap
00007ff8010e4727 (__TEXT,__text) external __kernelrpc_mach_port_guard_with_flags
00007ff8010e3b9d (__TEXT,__text) external __kernelrpc_mach_port_insert_member
00007ff8010c90d0 (__TEXT,__text) external __kernelrpc_mach_port_insert_member_trap
00007ff8010e2c16 (__TEXT,__text) external __kernelrpc_mach_port_insert_right
00007ff8010c90c4 (__TEXT,__text) external __kernelrpc_mach_port_insert_right_trap
00007ff8010e4ae0 (__TEXT,__text) external __kernelrpc_mach_port_is_connection_for_service
00007ff8010e3a61 (__TEXT,__text) external __kernelrpc_mach_port_kernel_object
00007ff8010e3f8b (__TEXT,__text) external __kernelrpc_mach_port_kobject
00007ff8010e48fd (__TEXT,__text) external __kernelrpc_mach_port_kobject_description
00007ff8010e24ad (__TEXT,__text) external __kernelrpc_mach_port_mod_refs
00007ff8010c90ac (__TEXT,__text) external __kernelrpc_mach_port_mod_refs_trap
00007ff8010e29eb (__TEXT,__text) external __kernelrpc_mach_port_move_member
00007ff8010c90b8 (__TEXT,__text) external __kernelrpc_mach_port_move_member_trap
00007ff8010e1be9 (__TEXT,__text) external __kernelrpc_mach_port_names
00007ff8010e2598 (__TEXT,__text) external __kernelrpc_mach_port_peek
00007ff8010e1e93 (__TEXT,__text) external __kernelrpc_mach_port_rename
00007ff8010e2ada (__TEXT,__text) external __kernelrpc_mach_port_request_notification
00007ff8010c92a4 (__TEXT,__text) external __kernelrpc_mach_port_request_notification_trap
00007ff8010e3126 (__TEXT,__text) external __kernelrpc_mach_port_set_attributes
00007ff8010e3ea4 (__TEXT,__text) external __kernelrpc_mach_port_set_context
00007ff8010e27b2 (__TEXT,__text) external __kernelrpc_mach_port_set_mscount
00007ff8010e2e62 (__TEXT,__text) external __kernelrpc_mach_port_set_seqno
00007ff8010e44c9 (__TEXT,__text) external __kernelrpc_mach_port_space_basic_info
00007ff8010e3745 (__TEXT,__text) external __kernelrpc_mach_port_space_info
00007ff8010e45f5 (__TEXT,__text) external __kernelrpc_mach_port_special_reply_port_reset_link
00007ff8010e4812 (__TEXT,__text) external __kernelrpc_mach_port_swap_guard
00007ff8010e1d61 (__TEXT,__text) external __kernelrpc_mach_port_type
00007ff8010c9298 (__TEXT,__text) external __kernelrpc_mach_port_type_trap
00007ff8010e43e2 (__TEXT,__text) external __kernelrpc_mach_port_unguard
00007ff8010c91b4 (__TEXT,__text) external __kernelrpc_mach_port_unguard_trap
00007ff8010e9803 (__TEXT,__text) external __kernelrpc_mach_ports_lookup3
00007ff8010e96fc (__TEXT,__text) external __kernelrpc_mach_ports_register3
00007ff8010ed79a (__TEXT,__text) external __kernelrpc_mach_task_is_self
00007ff8010e4ed6 (__TEXT,__text) external __kernelrpc_mach_vm_allocate
00007ff8010c904c (__TEXT,__text) external __kernelrpc_mach_vm_allocate_trap
00007ff8010e5002 (__TEXT,__text) external __kernelrpc_mach_vm_deallocate
00007ff8010c9064 (__TEXT,__text) external __kernelrpc_mach_vm_deallocate_trap
00007ff8010e5a71 (__TEXT,__text) external __kernelrpc_mach_vm_map
00007ff8010c9088 (__TEXT,__text) external __kernelrpc_mach_vm_map_trap
00007ff8010e50e9 (__TEXT,__text) external __kernelrpc_mach_vm_protect
00007ff8010c907c (__TEXT,__text) external __kernelrpc_mach_vm_protect_trap
00007ff8010e6575 (__TEXT,__text) external __kernelrpc_mach_vm_purgable_control
00007ff8010c9058 (__TEXT,__text) external __kernelrpc_mach_vm_purgable_control_trap
00007ff8010e52c3 (__TEXT,__text) external __kernelrpc_mach_vm_read
00007ff8010e743c (__TEXT,__text) external __kernelrpc_mach_vm_reallocate
00007ff8010e5d1c (__TEXT,__text) external __kernelrpc_mach_vm_remap
00007ff8010e69d3 (__TEXT,__text) external __kernelrpc_mach_vm_remap_new
00007ff8010e70bc (__TEXT,__text) external __kernelrpc_mach_vm_update_pointers_with_remote_tags
00007ff8010f3611 (__TEXT,__text) external __kernelrpc_mach_voucher_extract_attr_recipe
00007ff8010e3525 (__TEXT,__text) external __kernelrpc_task_set_port_space
00007ff8010efafa (__TEXT,__text) external __kernelrpc_thread_policy
00007ff8010efc44 (__TEXT,__text) external __kernelrpc_thread_policy_set
00007ff8010f0475 (__TEXT,__text) external __kernelrpc_thread_set_policy
00007ff8010f19d9 (__TEXT,__text) external __kernelrpc_vm_map
00007ff8010f24dd (__TEXT,__text) external __kernelrpc_vm_purgable_control
00007ff8010f122b (__TEXT,__text) external __kernelrpc_vm_read
00007ff8010f27a7 (__TEXT,__text) external __kernelrpc_vm_reallocate
00007ff8010f1c84 (__TEXT,__text) external __kernelrpc_vm_remap
00007ff8010f2606 (__TEXT,__text) external __kernelrpc_vm_remap_new
00007ff8010cc52b (__TEXT,__text) non-external __libkernel_bzero
00007ff8400f6f40 (__DATA,__bss) non-external __libkernel_functions
00007ff8400b4690 (__DATA_CONST,__const) non-external __libkernel_generic_string_functions
00007ff8010cc5b4 (__TEXT,__text) non-external __libkernel_memmove
00007ff8010cc535 (__TEXT,__text) non-external __libkernel_memset
00007ff8010cc4f2 (__TEXT,__text) non-external __libkernel_strchr
00007ff8010cc510 (__TEXT,__text) non-external __libkernel_strcmp
00007ff8010cc701 (__TEXT,__text) non-external __libkernel_strcpy
00007ff8400f6c20 (__DATA,__data) non-external __libkernel_string_functions
00007ff8010cc729 (__TEXT,__text) non-external __libkernel_strlcpy
00007ff8010cc3d2 (__TEXT,__text) non-external __libkernel_strlen
00007ff8400f6c28 (__DATA,__data) non-external __libkernel_voucher_functions
00007ff8010f3f90 (__TEXT,__const) non-external __libkernel_voucher_functions_empty
00007ff8010cd2e8 (__TEXT,__text) non-external __mach_continuous_time
00007ff8400b5930 (__DATA_CONST,__const) external __mach_errors
00007ff8010cdab4 (__TEXT,__text) external __mach_fork_child
00007ff8010cf4b6 (__TEXT,__text) external __mach_snprintf
00007ff8010cf32e (__TEXT,__text) external __mach_vsnprintf
00007ff8400f6fe0 (__DATA,__common) external __os_alloc_once_table
00007ff8010d30df (__TEXT,__text) non-external __posix_spawn_file_actions_grow
00007ff8010d3c02 (__TEXT,__text) non-external __posix_spawnattr_get_posix_creds_info
00007ff8010d1766 (__TEXT,__text) external __register_gethostuuid_callback
00007ff8400f6f54 (__DATA,__bss) non-external __task_reply_port
00007ff8010cc33c (__TEXT,__text) external __thread_set_tsd_base
00007ff8010f3e27 (__TEXT,__text) non-external _abort
00007ff8010f3e27 (__TEXT,__text) non-external _abort.342
00007ff8010f3e27 (__TEXT,__text) non-external _abort.387
00007ff8010f3e27 (__TEXT,__text) non-external _abort.405
00007ff8010f3f2c (__TEXT,__text) external _abort_with_payload
00007ff8010f3eb1 (__TEXT,__text) non-external _abort_with_payload_wrapper_internal
00007ff8010f3e9e (__TEXT,__text) external _abort_with_reason
00007ff8010c9860 (__TEXT,__text) external _accept
00007ff8010c9878 (__TEXT,__text) external _accept$NOCANCEL
00007ff8010cae44 (__TEXT,__text) external _access
00007ff8010c9890 (__TEXT,__text) external _accessx_np
00007ff8010cae5c (__TEXT,__text) external _acct
00007ff8010ee594 (__TEXT,__text) external _act_get_state
00007ff8010ee77d (__TEXT,__text) external _act_set_state
00007ff8010cae74 (__TEXT,__text) external _adjtime
00007ff8010cae8c (__TEXT,__text) external _aio_cancel
00007ff8010caea4 (__TEXT,__text) external _aio_error
00007ff8010caebc (__TEXT,__text) external _aio_fsync
00007ff8010caed4 (__TEXT,__text) external _aio_read
00007ff8010caeec (__TEXT,__text) external _aio_return
00007ff8010caf04 (__TEXT,__text) external _aio_suspend
00007ff8010c98a8 (__TEXT,__text) external _aio_suspend$NOCANCEL
00007ff8010caf1c (__TEXT,__text) external _aio_write
00007ff8010caf34 (__TEXT,__text) external _audit
00007ff8010caf4c (__TEXT,__text) external _audit_session_join
00007ff8010caf64 (__TEXT,__text) external _audit_session_port
00007ff8010caf7c (__TEXT,__text) external _audit_session_self
00007ff8010caf94 (__TEXT,__text) external _auditctl
00007ff8010cafac (__TEXT,__text) external _auditon
00007ff8010c98c0 (__TEXT,__text) external _bind
00007ff8400f6f9c (__DATA,__common) external _bootstrap_port
00007ff8010cf73a (__TEXT,__text) external _cerror
00007ff8010cf715 (__TEXT,__text) external _cerror_nocancel
00007ff8010cafc4 (__TEXT,__text) external _change_fdguard_np
00007ff8010cafdc (__TEXT,__text) external _chdir
00007ff8010caff4 (__TEXT,__text) external _chflags
00007ff8010d247f (__TEXT,__text) external _chmod
00007ff8010cb00c (__TEXT,__text) external _chown
