00007ffd1a57c968 (__TEXT,__text) external _AAAFSCGetMetadata
00007ffd1a561b9c (__TEXT,__text) external _AAFieldKeySetSerialize
00007ffd1a57af6c (__TEXT,__text) external _AAFileStreamOpenWithFD
00007ffd1a57b2bf (__TEXT,__text) external _AAFileStreamOpenWithPath
00007ffd1a58477c (__TEXT,__text) non-external (was a private external) _AAGenericRandomAccessInputStreamOpen
00007ffd1a56aad0 (__TEXT,__text) external _AAHeaderAssign
00007ffd1a56b0a0 (__TEXT,__text) external _AAHeaderClear
00007ffd1a56aa24 (__TEXT,__text) external _AAHeaderClone
00007ffd1a56a937 (__TEXT,__text) external _AAHeaderCreate
00007ffd1a56ac88 (__TEXT,__text) external _AAHeaderCreateWithEncodedData
00007ffd1a56accf (__TEXT,__text) external _AAHeaderCreateWithPath
00007ffd1a56a9de (__TEXT,__text) external _AAHeaderDestroy
00007ffd1a56c146 (__TEXT,__text) external _AAHeaderGetEncodedData
00007ffd1a56c13c (__TEXT,__text) external _AAHeaderGetEncodedSize
00007ffd1a56a827 (__TEXT,__text) external _AAHeaderGetFieldBlob
00007ffd1a56a7c9 (__TEXT,__text) external _AAHeaderGetFieldCount
00007ffd1a56b294 (__TEXT,__text) external _AAHeaderGetFieldHash
00007ffd1a56a8b5 (__TEXT,__text) external _AAHeaderGetFieldKey
00007ffd1a56b183 (__TEXT,__text) external _AAHeaderGetFieldString
00007ffd1a56b39b (__TEXT,__text) external _AAHeaderGetFieldTimespec
00007ffd1a56a7d1 (__TEXT,__text) external _AAHeaderGetFieldType
00007ffd1a56b0fc (__TEXT,__text) external _AAHeaderGetFieldUInt
00007ffd1a56b0c5 (__TEXT,__text) external _AAHeaderGetKeyIndex
00007ffd1a56c132 (__TEXT,__text) external _AAHeaderGetPayloadSize
00007ffd1a56ad2a (__TEXT,__text) external _AAHeaderRemoveField
00007ffd1a56bf35 (__TEXT,__text) external _AAHeaderSetFieldBlob
00007ffd1a56b4bd (__TEXT,__text) external _AAHeaderSetFieldFlag
00007ffd1a56bb13 (__TEXT,__text) external _AAHeaderSetFieldHash
00007ffd1a56b8f7 (__TEXT,__text) external _AAHeaderSetFieldString
00007ffd1a56bd55 (__TEXT,__text) external _AAHeaderSetFieldTimespec
00007ffd1a56b6fc (__TEXT,__text) external _AAHeaderSetFieldUInt
00007ffd1a581e9b (__TEXT,__text) non-external (was a private external) _AAJSONInputStreamClose
00007ffd1a581dbd (__TEXT,__text) non-external (was a private external) _AAJSONInputStreamOpen
00007ffd1a581edd (__TEXT,__text) non-external (was a private external) _AAJSONInputStreamRead
00007ffd1a57b71a (__TEXT,__text) external _AAMagicInputStreamOpen
00007ffd1a52c788 (__TEXT,__text) external _AAMemoryInputStreamOpen
00007ffd1a52cb46 (__TEXT,__text) external _AAMemoryOutputStreamCloseWithSize
00007ffd1a52c97f (__TEXT,__text) external _AAMemoryOutputStreamOpen
00007ffd1a50d6a4 (__TEXT,__text) external _AAPathFilterAddRule
00007ffd1a50dbb2 (__TEXT,__text) external _AAPathFilterApply
00007ffd1a588b74 (__TEXT,__text) non-external _AAPathFilterApply.cold.1
00007ffd1a588c0f (__TEXT,__text) non-external _AAPathFilterApply.cold.2
00007ffd1a50d544 (__TEXT,__text) external _AAPathFilterCreate
00007ffd1a50d629 (__TEXT,__text) external _AAPathFilterDestroy
00007ffd1a561c00 (__TEXT,__text) external _AAPathListCreate
00007ffd1a561d96 (__TEXT,__text) external _AAPathListCreateWithDirectoryContents
00007ffd1a563472 (__TEXT,__text) external _AAPathListCreateWithPath
00007ffd1a561d67 (__TEXT,__text) external _AAPathListDestroy
00007ffd1a563946 (__TEXT,__text) external _AAPathListGetNode
00007ffd1a563a7d (__TEXT,__text) external _AAPathListMerge
00007ffd1a563bc7 (__TEXT,__text) external _AAPathListNodeFirst
00007ffd1a563823 (__TEXT,__text) external _AAPathListNodeGetPath
00007ffd1a563be3 (__TEXT,__text) external _AAPathListNodeNext
00007ffd1a521e00 (__TEXT,__text) external _AARandomAccessByteStreamProcess
00007ffd1a55c160 (__TEXT,__text) external _AARandomAccessDecodeAndExtract
00007ffd1a535a9e (__TEXT,__text) external _AARangeInputStreamOpen
00007ffd1a526c25 (__TEXT,__text) external _AARemoveArchiveOutputStreamOpen
00007ffd1a57b587 (__TEXT,__text) external _AASharedBufferPipeOpen
00007ffd1a57b9d8 (__TEXT,__text) external _AATeeOutputStreamOpen
00007ffd1a57b33b (__TEXT,__text) external _AATempFileStreamOpen
00007ffd1a57b347 (__TEXT,__text) external _AATempFileStreamOpenWithDirectory
00007ffd1a549464 (__TEXT,__text) external _AATempStreamOpen
00007ffd1a549470 (__TEXT,__text) external _AATempStreamOpenWithDirectory
00007ffd1a55ae06 (__TEXT,__text) external _AAThreadErrorContextEnter
00007ffd1a55ae10 (__TEXT,__text) external _AAThreadErrorContextLeave
00007ffd1a510fa0 (__TEXT,__text) external _AAVerifyDirectoryArchiveOutputStreamOpen
00007ffd1a50c2d9 (__TEXT,__text) external _AEAAuthDataAppendEntry
00007ffd1a50c99f (__TEXT,__text) external _AEAAuthDataClear
00007ffd1a50bba2 (__TEXT,__text) external _AEAAuthDataCreate
00007ffd1a50bc62 (__TEXT,__text) external _AEAAuthDataCreateWithContext
00007ffd1a50bc08 (__TEXT,__text) external _AEAAuthDataDestroy
00007ffd1a50ca82 (__TEXT,__text) external _AEAAuthDataGetEncodedData
00007ffd1a50ca78 (__TEXT,__text) external _AEAAuthDataGetEncodedSize
00007ffd1a50c1a6 (__TEXT,__text) external _AEAAuthDataGetEntry
00007ffd1a50c19e (__TEXT,__text) external _AEAAuthDataGetEntryCount
00007ffd1a50c9b0 (__TEXT,__text) external _AEAAuthDataRemoveEntry
00007ffd1a50c6bb (__TEXT,__text) external _AEAAuthDataSetEntry
00007ffd1a54ded9 (__TEXT,__text) external _AEAContextCreateWithEncryptedStream
00007ffd1a54de20 (__TEXT,__text) external _AEAContextCreateWithProfile
00007ffd1a525d36 (__TEXT,__text) external _AEAContextDecryptAttributes
00007ffd1a54dda4 (__TEXT,__text) external _AEAContextDestroy
00007ffd1a54e9f5 (__TEXT,__text) external _AEAContextGenerateFieldBlob
00007ffd1a54eb82 (__TEXT,__text) external _AEAContextGetContainerSizeUpperBound
00007ffd1a54e2cc (__TEXT,__text) external _AEAContextGetFieldBlob
00007ffd1a54e214 (__TEXT,__text) external _AEAContextGetFieldUInt
00007ffd1a54e6d0 (__TEXT,__text) external _AEAContextSetFieldBlob
00007ffd1a54eb23 (__TEXT,__text) external _AEAContextSetFieldCallback
00007ffd1a54e4fc (__TEXT,__text) external _AEAContextSetFieldUInt
00007ffd1a513561 (__TEXT,__text) non-external _AEADDecrypt_AESCTR_MAC256_KEY640
00007ffd1a513045 (__TEXT,__text) non-external _AEADDecrypt_None_MAC256_KEY256
00007ffd1a5130be (__TEXT,__text) non-external _AEADEncrypt_AESCTR_MAC256_KEY640
00007ffd1a512faf (__TEXT,__text) non-external _AEADEncrypt_None_MAC256_KEY256
00007ffd1a509972 (__TEXT,__text) external _AEADecryptAndExtract
00007ffd1a5561d5 (__TEXT,__text) external _AEADecryptAndExtractAsyncStreamOpen
00007ffd1a5093e8 (__TEXT,__text) external _AEADecryptAndExtractChunk
00007ffd1a557c35 (__TEXT,__text) external _AEADecryptAndExtractChunkAsyncStreamOpen
00007ffd1a5016f4 (__TEXT,__text) external _AEADecryptAsyncStreamOpen
00007ffd1a51e724 (__TEXT,__text) external _AEADecryptInPlace
00007ffd1a528260 (__TEXT,__text) external _AEADecryptToFile
00007ffd1a5486cd (__TEXT,__text) external _AEADecryptToFileAsyncStreamOpen
00007ffd1a527cbe (__TEXT,__text) external _AEADecryptToFileChunk
00007ffd1a5493e6 (__TEXT,__text) external _AEADecryptToFileChunkAsyncStreamOpen
00007ffd1a587343 (__TEXT,__text) external _AEADecryptToStream
00007ffd1a586afe (__TEXT,__text) external _AEADecryptToStreamChunk
00007ffd1a52264b (__TEXT,__text) external _AEADecryptionDirectRandomAccessInputStreamOpen
00007ffd1a514be0 (__TEXT,__text) external _AEADecryptionInputStreamOpen
00007ffd1a50732a (__TEXT,__text) external _AEADecryptionRandomAccessInputStreamOpen
00007ffd1a51ec75 (__TEXT,__text) external _AEAEncryptInPlace
00007ffd1a519788 (__TEXT,__text) external _AEAEncryptionOutputStreamCloseAndUpdateContext
00007ffd1a5189ba (__TEXT,__text) external _AEAEncryptionOutputStreamOpen
00007ffd1a518fc0 (__TEXT,__text) external _AEAEncryptionOutputStreamOpenExisting
00007ffd1a51ee11 (__TEXT,__text) external _AEAKeychainGenerateItem
00007ffd1a51f728 (__TEXT,__text) external _AEAKeychainHasItem
00007ffd1a51f576 (__TEXT,__text) external _AEAKeychainLoadItem
00007ffd1a51f831 (__TEXT,__text) external _AEAKeychainRemoveItem
00007ffd1a51f0ca (__TEXT,__text) external _AEAKeychainStoreItem
00007ffd1a5106f4 (__TEXT,__text) external _AEAStreamSign
00007ffd1a54b4ea (__TEXT,__text) non-external (was a private external) _BXDiff5
00007ffd1a548424 (__TEXT,__text) non-external _BXDiff5Data_free
00007ffd1a51cb76 (__TEXT,__text) non-external (was a private external) _BXDiff5GetPatchInfo
00007ffd1a54b4f9 (__TEXT,__text) non-external (was a private external) _BXDiff5WithIndividualPatches
00007ffd1a53007a (__TEXT,__text) non-external (was a private external) _BXDiffMatchesCreate
00007ffd1a531250 (__TEXT,__text) non-external (was a private external) _BXDiffMatchesDestroy
00007ffd1a53127f (__TEXT,__text) non-external (was a private external) _BXDiffMatchesGetBestMatch
00007ffd1a531534 (__TEXT,__text) non-external (was a private external) _BXDiffMatchesIBuf
00007ffd1a53153e (__TEXT,__text) non-external (was a private external) _BXDiffMatchesISize
00007ffd1a531547 (__TEXT,__text) non-external (was a private external) _BXDiffMatchesOBuf
00007ffd1a531551 (__TEXT,__text) non-external (was a private external) _BXDiffMatchesOSize
00007ffd1a51d7b9 (__TEXT,__text) non-external (was a private external) _BXPatch5FileWithFlags
00007ffd1a51da1b (__TEXT,__text) non-external (was a private external) _BXPatch5InPlace
00007ffd1a51cbc8 (__TEXT,__text) non-external (was a private external) _BXPatch5StreamWithFlags
00007ffd1a51d8d4 (__TEXT,__text) non-external _BXPatch5WithFlagsFileStreamPRead
                 (undefined) external _BZ2_bzDecompress (from libbz2)
                 (undefined) external _BZ2_bzDecompressEnd (from libbz2)
                 (undefined) external _BZ2_bzDecompressInit (from libbz2)
00007ffd1a52e050 (__TEXT,__text) non-external (was a private external) _BlobBufferFree
00007ffd1a52dfb7 (__TEXT,__text) non-external (was a private external) _BlobBufferIncreaseCapacity
00007ffd1a52df12 (__TEXT,__text) non-external (was a private external) _BlobBufferStore
00007ffd1a522848 (__TEXT,__text) non-external _BlockDecryptionStreamCancel
00007ffd1a522820 (__TEXT,__text) non-external _BlockDecryptionStreamClose
00007ffd1a522865 (__TEXT,__text) non-external _BlockDecryptionStreamPRead
00007ffd1a522c0a (__TEXT,__text) non-external _BlockDecryptionStreamRead
                 (undefined) external _CCCryptorCreateWithMode (from libSystem)
                 (undefined) external _CCCryptorFinal (from libSystem)
                 (undefined) external _CCCryptorGetOutputLength (from libSystem)
                 (undefined) external _CCCryptorRelease (from libSystem)
                 (undefined) external _CCCryptorUpdate (from libSystem)
                 (undefined) external _CCDeriveKey (from libSystem)
                 (undefined) external _CCHmacFinal (from libSystem)
                 (undefined) external _CCHmacInit (from libSystem)
                 (undefined) external _CCHmacUpdate (from libSystem)
                 (undefined) external _CCKDFParametersCreateHkdf (from libSystem)
                 (undefined) external _CCKDFParametersDestroy (from libSystem)
                 (undefined) external _CCRandomGenerateBytes (from libSystem)
00007ffd1a538f3b (__TEXT,__text) non-external (was a private external) _CC_CKSUM_Final
00007ffd1a538ede (__TEXT,__text) non-external (was a private external) _CC_CKSUM_Init
00007ffd1a538ef7 (__TEXT,__text) non-external (was a private external) _CC_CKSUM_Update
00007ffd1a53b0b0 (__TEXT,__text) non-external (was a private external) _CC_SHA1_Deprecated_Final
00007ffd1a53b09c (__TEXT,__text) non-external (was a private external) _CC_SHA1_Deprecated_Init
00007ffd1a53b0a6 (__TEXT,__text) non-external (was a private external) _CC_SHA1_Deprecated_Update
                 (undefined) external _CC_SHA1_Final (from libSystem)
                 (undefined) external _CC_SHA1_Init (from libSystem)
                 (undefined) external _CC_SHA1_Update (from libSystem)
                 (undefined) external _CC_SHA256_Final (from libSystem)
                 (undefined) external _CC_SHA256_Init (from libSystem)
                 (undefined) external _CC_SHA256_Update (from libSystem)
                 (undefined) external _CC_SHA384_Final (from libSystem)
                 (undefined) external _CC_SHA384_Init (from libSystem)
                 (undefined) external _CC_SHA384_Update (from libSystem)
                 (undefined) external _CC_SHA512_Final (from libSystem)
                 (undefined) external _CC_SHA512_Init (from libSystem)
                 (undefined) external _CC_SHA512_Update (from libSystem)
                 (undefined) external _CFDataCreate (from CoreFoundation)
                 (undefined) external _CFDataGetBytePtr (from CoreFoundation)
                 (undefined) external _CFDataGetLength (from CoreFoundation)
                 (undefined) external _CFDataGetTypeID (from CoreFoundation)
                 (undefined) external _CFDictionaryAddValue (from CoreFoundation)
                 (undefined) external _CFDictionaryCreateMutable (from CoreFoundation)
                 (undefined) external _CFErrorCopyDescription (from CoreFoundation)
                 (undefined) external _CFErrorCreateWithUserInfoKeysAndValues (from CoreFoundation)
                 (undefined) external _CFGetTypeID (from CoreFoundation)
                 (undefined) external _CFNumberCreate (from CoreFoundation)
                 (undefined) external _CFRelease (from CoreFoundation)
                 (undefined) external _CFStringCreateWithCString (from CoreFoundation)
                 (undefined) external _CFStringGetCString (from CoreFoundation)
                 (undefined) external _CFStringGetLength (from CoreFoundation)
00007ffd1a59cf00 (__TEXT,__const) non-external _CKSUMTable
00007ffd1a57fbac (__TEXT,__text) non-external _CompressionConsumerProc
00007ffd1a57f9d8 (__TEXT,__text) non-external _CompressionWorkerDataCreate
00007ffd1a580883 (__TEXT,__text) non-external _CompressionWorkerDataDestroy
00007ffd1a57fb22 (__TEXT,__text) non-external _CompressionWorkerProc
00007ffd1a513f51 (__TEXT,__text) non-external _DHERecipient_ECDHE_P256
00007ffd1a513bbc (__TEXT,__text) non-external _DHESender_ECDHE_P256
00007ffd1a5144a0 (__TEXT,__text) non-external _DSASign_ECDSA_P256
00007ffd1a514711 (__TEXT,__text) non-external _DSAVerify_ECDSA_P256
00007ffd1a5142b1 (__TEXT,__text) non-external _DerivePublicFromPrivate_ECP256
00007ffd1a51444a (__TEXT,__text) non-external _Digest_SHA256
00007ffd1a522f6f (__TEXT,__text) non-external (was a private external) _ECC65537CheckAndFix
00007ffd1a522c1d (__TEXT,__text) non-external (was a private external) _ECC65537GetParity
00007ffd1a59ccc0 (__TEXT,__const) non-external _ECC65537_G
00007ffd1a52e7db (__TEXT,__text) non-external (was a private external) _ECCFixThreadProc
00007ffd1a52de34 (__TEXT,__text) non-external _ForkOutputStreamCancel
00007ffd1a52de45 (__TEXT,__text) non-external _ForkOutputStreamClose
00007ffd1a52db1e (__TEXT,__text) non-external _ForkOutputStreamPWrite
00007ffd1a52cf66 (__TEXT,__text) non-external _ForkOutputStreamWrite
00007ffd1a54ffb9 (__TEXT,__text) non-external (was a private external) _GetLargeFileControls
00007ffd1a54f520 (__TEXT,__text) non-external (was a private external) _GetLargeFileControlsWithStreams
00007ffd1a512e24 (__TEXT,__text) non-external _HKDFDerive
00007ffd1a514a48 (__TEXT,__text) non-external _HMACDerive_SHA256
00007ffd1a5149d6 (__TEXT,__text) non-external _HMACFinal_SHA256
00007ffd1a514946 (__TEXT,__text) non-external _HMACInit_SHA256
00007ffd1a5149be (__TEXT,__text) non-external _HMACUpdate_SHA256
00007ffd1a514b23 (__TEXT,__text) non-external _HMACVerify_SHA256
00007ffd1a524012 (__TEXT,__text) non-external (was a private external) _IDecoderStreamAbort
00007ffd1a523dbc (__TEXT,__text) non-external (was a private external) _IDecoderStreamCreate
00007ffd1a523f0b (__TEXT,__text) non-external (was a private external) _IDecoderStreamDestroy
00007ffd1a523ff6 (__TEXT,__text) non-external (was a private external) _IDecoderStreamRead
00007ffd1a523d82 (__TEXT,__text) non-external (was a private external) _IDecoderStreamThreadProc
00007ffd1a5327de (__TEXT,__text) non-external (was a private external) _IFileStreamCreateWithFD
00007ffd1a53249a (__TEXT,__text) non-external (was a private external) _IFileStreamCreateWithFilename
00007ffd1a5327a7 (__TEXT,__text) non-external (was a private external) _IFileStreamDestroy
00007ffd1a532906 (__TEXT,__text) non-external (was a private external) _IFileStreamRead
00007ffd1a524027 (__TEXT,__text) non-external (was a private external) _ILowMemoryDecoderStreamCreate
00007ffd1a524647 (__TEXT,__text) non-external (was a private external) _ILowMemoryDecoderStreamCreateWithBuffer
00007ffd1a5245de (__TEXT,__text) non-external (was a private external) _ILowMemoryDecoderStreamDestroy
00007ffd1a5246c4 (__TEXT,__text) non-external (was a private external) _ILowMemoryDecoderStreamRead
00007ffd1a53350c (__TEXT,__text) non-external (was a private external) _IMemStreamAbort
00007ffd1a53344d (__TEXT,__text) non-external (was a private external) _IMemStreamCreate
00007ffd1a533443 (__TEXT,__text) non-external (was a private external) _IMemStreamDestroy
00007ffd1a5334be (__TEXT,__text) non-external (was a private external) _IMemStreamRead
00007ffd1a53232c (__TEXT,__text) non-external (was a private external) _IZeroStreamRead
00007ffd1a54c635 (__TEXT,__text) non-external _InSituStreamCancel
00007ffd1a54c1be (__TEXT,__text) non-external _InSituStreamClose
00007ffd1a54c36c (__TEXT,__text) non-external _InSituStreamPRead
00007ffd1a54c4bb (__TEXT,__text) non-external _InSituStreamPWrite
00007ffd1a54c64f (__TEXT,__text) non-external _InSituStreamSimulate
00007ffd1a54c642 (__TEXT,__text) non-external _InSituTruncate
00007ffd1a5455b9 (__TEXT,__text) non-external _IntervalStreamCancel
00007ffd1a5455c6 (__TEXT,__text) non-external _IntervalStreamClose
00007ffd1a545529 (__TEXT,__text) non-external _IntervalStreamPRead
00007ffd1a54551b (__TEXT,__text) non-external _IntervalStreamRead
00007ffd1a54557f (__TEXT,__text) non-external _IntervalStreamSeek
