                 (undefined) external ___assert_rtn (from libSystem)
                 (undefined) external ___bzero (from libSystem)
00007ff812c3035d (__TEXT,__text) external ___cmph_dump
00007ff812c3419f (__TEXT,__text) non-external _bmz8_traverse.cold.1
00007ff812c2896a (__TEXT,__text) external _bmz_config_destroy
00007ff812c28939 (__TEXT,__text) external _bmz_config_new
00007ff812c28978 (__TEXT,__text) external _bmz_config_set_hashfuncs
00007ff812c29a0e (__TEXT,__text) external _bmz_destroy
00007ff812c2971d (__TEXT,__text) external _bmz_dump
00007ff812c29845 (__TEXT,__text) external _bmz_load
00007ff812c289ab (__TEXT,__text) external _bmz_new
00007ff812c34136 (__TEXT,__text) non-external _bmz_new.cold.1
00007ff812c29a5b (__TEXT,__text) external _bmz_pack
00007ff812c29b00 (__TEXT,__text) external _bmz_packed_size
00007ff812c299ab (__TEXT,__text) external _bmz_search
00007ff812c29b54 (__TEXT,__text) external _bmz_search_packed
00007ff812c29c0b (__TEXT,__text) non-external _bmz_traverse
00007ff812c34159 (__TEXT,__text) non-external _bmz_traverse.cold.1
00007ff812c2b1fe (__TEXT,__text) external _brz_config_destroy
00007ff812c2b174 (__TEXT,__text) external _brz_config_new
00007ff812c2b31e (__TEXT,__text) external _brz_config_set_algo
00007ff812c2b300 (__TEXT,__text) external _brz_config_set_b
00007ff812c2b21f (__TEXT,__text) external _brz_config_set_hashfuncs
00007ff812c2b24b (__TEXT,__text) external _brz_config_set_memory_availability
00007ff812c2b2e9 (__TEXT,__text) external _brz_config_set_mphf_fd
00007ff812c341c2 (__TEXT,__text) non-external _brz_config_set_mphf_fd.cold.1
00007ff812c2b25f (__TEXT,__text) external _brz_config_set_tmp_dir
00007ff812c2c86e (__TEXT,__text) external _brz_destroy
00007ff812c2c2ea (__TEXT,__text) external _brz_dump
00007ff812c2c393 (__TEXT,__text) external _brz_load
00007ff812c3426f (__TEXT,__text) non-external _brz_load.cold.1
00007ff812c2b335 (__TEXT,__text) external _brz_new
00007ff812c341e3 (__TEXT,__text) non-external _brz_new.cold.1
00007ff812c34206 (__TEXT,__text) non-external _brz_new.cold.2
00007ff812c34229 (__TEXT,__text) non-external _brz_new.cold.3
00007ff812c3424c (__TEXT,__text) non-external _brz_new.cold.4
00007ff812c2c915 (__TEXT,__text) external _brz_pack
00007ff812c342b5 (__TEXT,__text) non-external _brz_pack.cold.1
00007ff812c2cac8 (__TEXT,__text) external _brz_packed_size
00007ff812c342d8 (__TEXT,__text) non-external _brz_packed_size.cold.1
00007ff812c2c69e (__TEXT,__text) external _brz_search
00007ff812c34292 (__TEXT,__text) non-external _brz_search.cold.1
00007ff812c2cbc0 (__TEXT,__text) external _brz_search_packed
00007ff812c342fb (__TEXT,__text) non-external _brz_search_packed.cold.1
00007ff812c2d0be (__TEXT,__text) external _buffer_entry_destroy
00007ff812c2cf48 (__TEXT,__text) external _buffer_entry_get_capacity
00007ff812c2d064 (__TEXT,__text) non-external _buffer_entry_load
00007ff812c2cedf (__TEXT,__text) external _buffer_entry_new
00007ff812c2cf1a (__TEXT,__text) external _buffer_entry_open
00007ff812c2cf51 (__TEXT,__text) external _buffer_entry_read_key
00007ff812c2cf3f (__TEXT,__text) external _buffer_entry_set_capacity
00007ff812c2d241 (__TEXT,__text) external _buffer_manager_destroy
00007ff812c2d0ed (__TEXT,__text) external _buffer_manager_new
00007ff812c2d199 (__TEXT,__text) external _buffer_manager_open
00007ff812c2d1b0 (__TEXT,__text) external _buffer_manager_read_key
00007ff812c2d2d8 (__TEXT,__text) external _chd_config_destroy
00007ff812c2d28a (__TEXT,__text) external _chd_config_new
00007ff812c2d30e (__TEXT,__text) external _chd_config_set_b
00007ff812c2d2fd (__TEXT,__text) external _chd_config_set_hashfuncs
00007ff812c2d31f (__TEXT,__text) external _chd_config_set_keys_per_bin
00007ff812c2d678 (__TEXT,__text) external _chd_destroy
00007ff812c2d607 (__TEXT,__text) external _chd_dump
00007ff812c2d54d (__TEXT,__text) external _chd_load
00007ff812c2d330 (__TEXT,__text) external _chd_new
00007ff812c2d6dc (__TEXT,__text) external _chd_pack
00007ff812c2d71b (__TEXT,__text) external _chd_packed_size
00007ff812c2d7a5 (__TEXT,__text) external _chd_ph_config_destroy
00007ff812c2d760 (__TEXT,__text) external _chd_ph_config_new
00007ff812c2d7de (__TEXT,__text) external _chd_ph_config_set_b
00007ff812c3431e (__TEXT,__text) non-external _chd_ph_config_set_b.cold.1
00007ff812c2d7cb (__TEXT,__text) external _chd_ph_config_set_hashfuncs
00007ff812c2d802 (__TEXT,__text) external _chd_ph_config_set_keys_per_bin
00007ff812c34341 (__TEXT,__text) non-external _chd_ph_config_set_keys_per_bin.cold.1
00007ff812c2e61a (__TEXT,__text) external _chd_ph_destroy
00007ff812c2e530 (__TEXT,__text) external _chd_ph_dump
00007ff812c2e3f7 (__TEXT,__text) external _chd_ph_load
00007ff812c2d826 (__TEXT,__text) external _chd_ph_new
00007ff812c34364 (__TEXT,__text) non-external _chd_ph_new.cold.1
00007ff812c2e6f0 (__TEXT,__text) external _chd_ph_pack
00007ff812c2e74e (__TEXT,__text) external _chd_ph_packed_size
00007ff812c2e655 (__TEXT,__text) external _chd_ph_search
00007ff812c2e77d (__TEXT,__text) external _chd_ph_search_packed
00007ff812c2d6ac (__TEXT,__text) external _chd_search
00007ff812c2d72f (__TEXT,__text) external _chd_search_packed
00007ff812c336ad (__TEXT,__text) external _check_primality
00007ff812c2ea23 (__TEXT,__text) external _chm_config_destroy
00007ff812c2e9f2 (__TEXT,__text) external _chm_config_new
00007ff812c2ea31 (__TEXT,__text) external _chm_config_set_hashfuncs
00007ff812c2f280 (__TEXT,__text) external _chm_destroy
00007ff812c2ef74 (__TEXT,__text) external _chm_dump
00007ff812c2f09c (__TEXT,__text) external _chm_load
00007ff812c2ea64 (__TEXT,__text) external _chm_new
00007ff812c34385 (__TEXT,__text) non-external _chm_new.cold.1
00007ff812c2f2cd (__TEXT,__text) external _chm_pack
00007ff812c2f37c (__TEXT,__text) external _chm_packed_size
00007ff812c2f202 (__TEXT,__text) external _chm_search
00007ff812c2f3d0 (__TEXT,__text) external _chm_search_packed
00007ff812c2eea1 (__TEXT,__text) non-external _chm_traverse
00007ff812c2fcf7 (__TEXT,__text) external _cmph_config_destroy
00007ff812c344e3 (__TEXT,__text) non-external _cmph_config_destroy.cold.1
00007ff812c2fae2 (__TEXT,__text) external _cmph_config_new
00007ff812c3447a (__TEXT,__text) non-external _cmph_config_new.cold.1
00007ff812c2fb13 (__TEXT,__text) external _cmph_config_set_algo
00007ff812c3449d (__TEXT,__text) non-external _cmph_config_set_algo.cold.1
00007ff812c344c0 (__TEXT,__text) non-external _cmph_config_set_algo.cold.2
00007ff812c2fc76 (__TEXT,__text) external _cmph_config_set_b
00007ff812c2fe38 (__TEXT,__text) external _cmph_config_set_graphsize
00007ff812c2fdbd (__TEXT,__text) external _cmph_config_set_hashfuncs
00007ff812c2fcc8 (__TEXT,__text) external _cmph_config_set_keys_per_bin
00007ff812c2fce6 (__TEXT,__text) external _cmph_config_set_memory_availability
00007ff812c2fc65 (__TEXT,__text) external _cmph_config_set_mphf_fd
00007ff812c2fc54 (__TEXT,__text) external _cmph_config_set_tmp_dir
00007ff812c2fdb4 (__TEXT,__text) external _cmph_config_set_verbosity
00007ff812c30111 (__TEXT,__text) external _cmph_destroy
00007ff812c34592 (__TEXT,__text) non-external _cmph_destroy.cold.1
00007ff812c2ff38 (__TEXT,__text) external _cmph_dump
00007ff812c34529 (__TEXT,__text) non-external _cmph_dump.cold.1
00007ff843d020c0 (__DATA,__data) external _cmph_hash_names
00007ff812c2f7bb (__TEXT,__text) external _cmph_io_byte_vector_adapter
00007ff812c2f8d8 (__TEXT,__text) external _cmph_io_byte_vector_adapter_destroy
00007ff812c2f4a0 (__TEXT,__text) external _cmph_io_nlfile_adapter
00007ff812c343a8 (__TEXT,__text) non-external _cmph_io_nlfile_adapter.cold.1
00007ff812c2f751 (__TEXT,__text) external _cmph_io_nlfile_adapter_destroy
00007ff812c2f75b (__TEXT,__text) external _cmph_io_nlnkfile_adapter
00007ff812c343cb (__TEXT,__text) non-external _cmph_io_nlnkfile_adapter.cold.1
00007ff812c2f7b1 (__TEXT,__text) external _cmph_io_nlnkfile_adapter_destroy
00007ff812c2f8f7 (__TEXT,__text) external _cmph_io_struct_vector_adapter
00007ff812c34434 (__TEXT,__text) non-external _cmph_io_struct_vector_adapter.cold.1
00007ff812c34457 (__TEXT,__text) non-external _cmph_io_struct_vector_adapter.cold.2
00007ff812c2fa1d (__TEXT,__text) external _cmph_io_struct_vector_adapter_destroy
00007ff812c2fa3c (__TEXT,__text) external _cmph_io_vector_adapter
00007ff812c2fac3 (__TEXT,__text) external _cmph_io_vector_adapter_destroy
00007ff812c2f7e7 (__TEXT,__text) non-external _cmph_io_vector_new
00007ff812c343ee (__TEXT,__text) non-external _cmph_io_vector_new.cold.1
00007ff812c34411 (__TEXT,__text) non-external _cmph_io_vector_new.cold.2
00007ff812c2ffac (__TEXT,__text) external _cmph_load
00007ff812c3454c (__TEXT,__text) non-external _cmph_load.cold.1
00007ff843d02070 (__DATA,__data) external _cmph_names
00007ff812c2fe43 (__TEXT,__text) external _cmph_new
00007ff812c34506 (__TEXT,__text) non-external _cmph_new.cold.1
00007ff812c30184 (__TEXT,__text) external _cmph_pack
00007ff812c345b5 (__TEXT,__text) non-external _cmph_pack.cold.1
00007ff812c301fc (__TEXT,__text) external _cmph_packed_size
00007ff812c345d8 (__TEXT,__text) non-external _cmph_packed_size.cold.1
00007ff812c30088 (__TEXT,__text) external _cmph_search
00007ff812c3456f (__TEXT,__text) non-external _cmph_search.cold.1
00007ff812c30270 (__TEXT,__text) external _cmph_search_packed
00007ff812c345fb (__TEXT,__text) non-external _cmph_search_packed.cold.1
00007ff812c30108 (__TEXT,__text) external _cmph_size
00007ff812c304da (__TEXT,__text) external _compressed_rank_destroy
00007ff812c30773 (__TEXT,__text) external _compressed_rank_dump
00007ff812c30506 (__TEXT,__text) external _compressed_rank_generate
00007ff812c30748 (__TEXT,__text) external _compressed_rank_get_space_usage
00007ff812c304b1 (__TEXT,__text) external _compressed_rank_init
00007ff812c30868 (__TEXT,__text) external _compressed_rank_load
00007ff812c308f8 (__TEXT,__text) external _compressed_rank_pack
00007ff812c3095d (__TEXT,__text) external _compressed_rank_packed_size
00007ff812c30669 (__TEXT,__text) external _compressed_rank_query
00007ff812c30989 (__TEXT,__text) external _compressed_rank_query_packed
00007ff812c30aac (__TEXT,__text) external _compressed_seq_destroy
00007ff812c30eda (__TEXT,__text) external _compressed_seq_dump
00007ff812c30ae3 (__TEXT,__text) external _compressed_seq_generate
00007ff812c30d66 (__TEXT,__text) external _compressed_seq_get_space_usage
00007ff812c30a7e (__TEXT,__text) external _compressed_seq_init
00007ff812c3101a (__TEXT,__text) external _compressed_seq_load
00007ff812c310ff (__TEXT,__text) external _compressed_seq_pack
00007ff812c31164 (__TEXT,__text) external _compressed_seq_packed_size
00007ff812c30d9e (__TEXT,__text) external _compressed_seq_query
00007ff812c3461e (__TEXT,__text) non-external _compressed_seq_query.cold.1
00007ff812c3119b (__TEXT,__text) external _compressed_seq_query_packed
00007ff812c32b0c (__TEXT,__text) non-external _cyclic_del_edge
00007ff812c329bf (__TEXT,__text) non-external _del_edge_point
00007ff812c349a5 (__TEXT,__text) non-external _del_edge_point.cold.1
                 (undefined) external _exit (from libSystem)
00007ff812c32616 (__TEXT,__text) external _fch_buckets_destroy
00007ff812c348be (__TEXT,__text) non-external _fch_buckets_destroy.cold.1
00007ff812c32473 (__TEXT,__text) external _fch_buckets_get_indexes_sorted_by_size
00007ff812c3485b (__TEXT,__text) non-external _fch_buckets_get_indexes_sorted_by_size.cold.1
00007ff812c3487c (__TEXT,__text) non-external _fch_buckets_get_indexes_sorted_by_size.cold.2
00007ff812c323e7 (__TEXT,__text) external _fch_buckets_get_key
00007ff812c34791 (__TEXT,__text) non-external _fch_buckets_get_key.cold.1
00007ff812c347b4 (__TEXT,__text) non-external _fch_buckets_get_key.cold.2
00007ff812c347d5 (__TEXT,__text) non-external _fch_buckets_get_key.cold.3
00007ff812c32424 (__TEXT,__text) external _fch_buckets_get_keylength
00007ff812c347f6 (__TEXT,__text) non-external _fch_buckets_get_keylength.cold.1
00007ff812c34819 (__TEXT,__text) non-external _fch_buckets_get_keylength.cold.2
00007ff812c3483a (__TEXT,__text) non-external _fch_buckets_get_keylength.cold.3
00007ff812c32461 (__TEXT,__text) external _fch_buckets_get_max_size
00007ff812c3246a (__TEXT,__text) external _fch_buckets_get_nbuckets
00007ff812c323c0 (__TEXT,__text) external _fch_buckets_get_size
00007ff812c3474d (__TEXT,__text) non-external _fch_buckets_get_size.cold.1
00007ff812c34770 (__TEXT,__text) non-external _fch_buckets_get_size.cold.2
00007ff812c322df (__TEXT,__text) external _fch_buckets_insert
00007ff812c346c7 (__TEXT,__text) non-external _fch_buckets_insert.cold.1
00007ff812c346ea (__TEXT,__text) non-external _fch_buckets_insert.cold.2
00007ff812c3470b (__TEXT,__text) non-external _fch_buckets_insert.cold.3
00007ff812c3472c (__TEXT,__text) non-external _fch_buckets_insert.cold.4
00007ff812c322b2 (__TEXT,__text) external _fch_buckets_is_empty
00007ff812c34683 (__TEXT,__text) non-external _fch_buckets_is_empty.cold.1
00007ff812c346a6 (__TEXT,__text) non-external _fch_buckets_is_empty.cold.2
00007ff812c32227 (__TEXT,__text) external _fch_buckets_new
00007ff812c34641 (__TEXT,__text) non-external _fch_buckets_new.cold.1
00007ff812c34662 (__TEXT,__text) non-external _fch_buckets_new.cold.2
00007ff812c32567 (__TEXT,__text) external _fch_buckets_print
00007ff812c3489d (__TEXT,__text) non-external _fch_buckets_print.cold.1
00007ff812c313a4 (__TEXT,__text) external _fch_calc_b
00007ff812c313f5 (__TEXT,__text) external _fch_calc_p1
00007ff812c31410 (__TEXT,__text) external _fch_calc_p2
00007ff812c3132d (__TEXT,__text) external _fch_config_destroy
00007ff812c312f4 (__TEXT,__text) external _fch_config_new
00007ff812c3133b (__TEXT,__text) external _fch_config_set_hashfuncs
00007ff812c31f7a (__TEXT,__text) external _fch_destroy
00007ff812c31bee (__TEXT,__text) external _fch_dump
00007ff812c31d30 (__TEXT,__text) external _fch_load
00007ff812c3142b (__TEXT,__text) external _fch_new
00007ff812c31fb7 (__TEXT,__text) external _fch_pack
00007ff812c320a6 (__TEXT,__text) external _fch_packed_size
00007ff812c31edb (__TEXT,__text) external _fch_search
00007ff812c320f3 (__TEXT,__text) external _fch_search_packed
                 (undefined) external _fclose (from libSystem)
                 (undefined) external _feof (from libSystem)
                 (undefined) external _ferror (from libSystem)
                 (undefined) external _fgets (from libSystem)
00007ff812c32e3d (__TEXT,__text) non-external _find_degree1_edge
                 (undefined) external _fopen (from libSystem)
                 (undefined) external _fprintf (from libSystem)
                 (undefined) external _fread (from libSystem)
                 (undefined) external _free (from libSystem)
                 (undefined) external _fwrite (from libSystem)
00007ff812c32880 (__TEXT,__text) external _graph_add_edge
00007ff812c348df (__TEXT,__text) non-external _graph_add_edge.cold.1
00007ff812c34900 (__TEXT,__text) non-external _graph_add_edge.cold.2
00007ff812c34921 (__TEXT,__text) non-external _graph_add_edge.cold.3
00007ff812c34942 (__TEXT,__text) non-external _graph_add_edge.cold.4
00007ff812c32743 (__TEXT,__text) external _graph_clear_edges
00007ff812c32d3e (__TEXT,__text) external _graph_contains_edge
00007ff812c3298a (__TEXT,__text) external _graph_del_edge
00007ff812c3279a (__TEXT,__text) external _graph_destroy
00007ff812c328f4 (__TEXT,__text) external _graph_edge_id
00007ff812c34963 (__TEXT,__text) non-external _graph_edge_id.cold.1
00007ff812c34984 (__TEXT,__text) non-external _graph_edge_id.cold.2
00007ff812c32a5c (__TEXT,__text) external _graph_is_cyclic
00007ff812c32de8 (__TEXT,__text) external _graph_ncritical_nodes
00007ff812c32df1 (__TEXT,__text) external _graph_neighbors_it
00007ff812c326a1 (__TEXT,__text) external _graph_new
00007ff812c32e07 (__TEXT,__text) external _graph_next_neighbor
00007ff812c32ba0 (__TEXT,__text) external _graph_node_is_critical
00007ff812c32bc9 (__TEXT,__text) external _graph_obtain_critical_nodes
00007ff812c327d5 (__TEXT,__text) external _graph_print
00007ff812c32dd5 (__TEXT,__text) external _graph_vertex_id
00007ff812c32eeb (__TEXT,__text) external _hash
00007ff812c349e9 (__TEXT,__text) non-external _hash.cold.1
00007ff812c330dc (__TEXT,__text) external _hash_get_type
00007ff812c330ab (__TEXT,__text) external _hash_packed
00007ff812c34ad4 (__TEXT,__text) non-external _hash_packed.cold.1
00007ff812c32ffe (__TEXT,__text) external _hash_state_copy
00007ff812c34a4c (__TEXT,__text) non-external _hash_state_copy.cold.1
00007ff812c33073 (__TEXT,__text) external _hash_state_destroy
00007ff812c34a6d (__TEXT,__text) non-external _hash_state_destroy.cold.1
00007ff812c32f11 (__TEXT,__text) external _hash_state_dump
00007ff812c34a2b (__TEXT,__text) non-external _hash_state_dump.cold.1
00007ff812c33021 (__TEXT,__text) external _hash_state_load
00007ff812c32ecf (__TEXT,__text) external _hash_state_new
00007ff812c349c8 (__TEXT,__text) non-external _hash_state_new.cold.1
00007ff812c33086 (__TEXT,__text) external _hash_state_pack
00007ff812c34a8e (__TEXT,__text) non-external _hash_state_pack.cold.1
00007ff812c33099 (__TEXT,__text) external _hash_state_packed_size
00007ff812c34ab1 (__TEXT,__text) non-external _hash_state_packed_size.cold.1
00007ff812c32efe (__TEXT,__text) external _hash_vector
00007ff812c34a0a (__TEXT,__text) non-external _hash_vector.cold.1
00007ff812c330c2 (__TEXT,__text) external _hash_vector_packed
00007ff812c34af7 (__TEXT,__text) non-external _hash_vector_packed.cold.1
00007ff812c33128 (__TEXT,__text) external _jenkins_hash
00007ff812c334fa (__TEXT,__text) external _jenkins_hash_packed
00007ff812c33420 (__TEXT,__text) external _jenkins_hash_vector_
00007ff812c3353e (__TEXT,__text) external _jenkins_hash_vector_packed
00007ff812c3347b (__TEXT,__text) external _jenkins_state_copy
00007ff812c3311e (__TEXT,__text) external _jenkins_state_destroy
00007ff812c3342d (__TEXT,__text) external _jenkins_state_dump
00007ff812c334a5 (__TEXT,__text) external _jenkins_state_load
00007ff812c330e4 (__TEXT,__text) external _jenkins_state_new
00007ff812c334d4 (__TEXT,__text) external _jenkins_state_pack
00007ff812c334ef (__TEXT,__text) external _jenkins_state_packed_size
00007ff812c2f854 (__TEXT,__text) non-external _key_byte_vector_read
00007ff812c2f73a (__TEXT,__text) non-external _key_nlfile_dispose
00007ff812c2f5d7 (__TEXT,__text) non-external _key_nlfile_read
00007ff812c2f747 (__TEXT,__text) non-external _key_nlfile_rewind
00007ff812c2f9a7 (__TEXT,__text) non-external _key_struct_vector_read
00007ff812c2fa10 (__TEXT,__text) non-external _key_struct_vector_rewind
00007ff812c2f8be (__TEXT,__text) non-external _key_vector_dispose
00007ff812c2fa68 (__TEXT,__text) non-external _key_vector_read
00007ff812c2f8cb (__TEXT,__text) non-external _key_vector_rewind
                 (undefined) external _log (from libSystem)
00007ff812c34ea0 (__TEXT,__const) non-external _lookup_table
00007ff812c3358c (__TEXT,__text) external _lsmap_append
00007ff812c33677 (__TEXT,__text) external _lsmap_destroy
00007ff812c33624 (__TEXT,__text) external _lsmap_foreach_key
00007ff812c3364d (__TEXT,__text) external _lsmap_foreach_value
00007ff812c3354a (__TEXT,__text) external _lsmap_new
00007ff812c335e4 (__TEXT,__text) external _lsmap_search
00007ff812c3357b (__TEXT,__text) external _lsmap_size
                 (undefined) external _malloc_type_calloc (from libSystem)
                 (undefined) external _malloc_type_malloc (from libSystem)
                 (undefined) external _malloc_type_realloc (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memset (from libSystem)
00007ff812c3136e (__TEXT,__text) external _mixh10h11h12
                 (undefined) external _perror (from libSystem)
00007ff812c2e84d (__TEXT,__text) non-external _place_bucket_probe
00007ff812c34e98 (__TEXT,__const) non-external _pow3_table
                 (undefined) external _printf (from libSystem)
                 (undefined) external _rand (from libSystem)
00007ff812c35650 (__TEXT,__const) non-external _rank_lookup_table
                 (undefined) external _rewind (from libSystem)
00007ff812c338ec (__TEXT,__text) external _select_destroy
00007ff812c33b92 (__TEXT,__text) external _select_dump
00007ff812c33915 (__TEXT,__text) external _select_generate
00007ff812c338ce (__TEXT,__text) external _select_get_space_usage
00007ff812c338ba (__TEXT,__text) external _select_init
00007ff812c33c4e (__TEXT,__text) external _select_load
00007ff812c35750 (__TEXT,__const) non-external _select_lookup_table
00007ff812c33b23 (__TEXT,__text) external _select_next_query
00007ff812c33e2f (__TEXT,__text) external _select_next_query_packed
00007ff812c33d18 (__TEXT,__text) external _select_pack
00007ff812c33d7d (__TEXT,__text) external _select_packed_size
00007ff812c33aa5 (__TEXT,__text) external _select_query
00007ff812c33d9c (__TEXT,__text) external _select_query_packed
                 (undefined) external _sprintf (from libSystem)
                 (undefined) external _strcmp (from libSystem)
                 (undefined) external _strcpy (from libSystem)
                 (undefined) external _strlen (from libSystem)
00007ff812c34e78 (__TEXT,__const) non-external _valuemask
00007ff812c33faa (__TEXT,__text) external _vqueue_destroy
00007ff812c33f02 (__TEXT,__text) external _vqueue_insert
00007ff812c34b1a (__TEXT,__text) non-external _vqueue_insert.cold.1
00007ff812c33ef1 (__TEXT,__text) external _vqueue_is_empty
00007ff812c33e9c (__TEXT,__text) external _vqueue_new
00007ff812c33f48 (__TEXT,__text) external _vqueue_print
00007ff812c33f26 (__TEXT,__text) external _vqueue_remove
00007ff812c34b3b (__TEXT,__text) non-external _vqueue_remove.cold.1
00007ff812c33ffc (__TEXT,__text) external _vstack_destroy
00007ff812c34b7d (__TEXT,__text) non-external _vstack_destroy.cold.1
00007ff812c340f4 (__TEXT,__text) external _vstack_empty
00007ff812c34c85 (__TEXT,__text) non-external _vstack_empty.cold.1
00007ff812c33fc9 (__TEXT,__text) external _vstack_new
00007ff812c34b5c (__TEXT,__text) non-external _vstack_new.cold.1
00007ff812c340b1 (__TEXT,__text) external _vstack_pop
00007ff812c34c01 (__TEXT,__text) non-external _vstack_pop.cold.1
00007ff812c34c22 (__TEXT,__text) non-external _vstack_pop.cold.2
00007ff812c34026 (__TEXT,__text) external _vstack_push
00007ff812c34b9e (__TEXT,__text) non-external _vstack_push.cold.1
00007ff812c34057 (__TEXT,__text) external _vstack_reserve
00007ff812c34bbf (__TEXT,__text) non-external _vstack_reserve.cold.1
00007ff812c34be0 (__TEXT,__text) non-external _vstack_reserve.cold.2
00007ff812c3410b (__TEXT,__text) external _vstack_size
00007ff812c340d0 (__TEXT,__text) external _vstack_top
00007ff812c34c43 (__TEXT,__text) non-external _vstack_top.cold.1
00007ff812c34c64 (__TEXT,__text) non-external _vstack_top.cold.2
