00000001900e7998 (__TEXT,__const) non-external _KW_ANY
00000001900d1568 (__TEXT,__text) external _XML_GetCurrentByteIndex
00000001900d1650 (__TEXT,__text) external _XML_GetCurrentColumnNumber
00000001900d15f4 (__TEXT,__text) external _XML_GetCurrentLineNumber
00000001900d1554 (__TEXT,__text) external _XML_GetErrorCode
00000001900d186c (__TEXT,__text) external _XML_GetFeatureList
00000001e85b1948 (__DATA_CONST,__const) non-external _XML_GetFeatureList.features
00000001900d0b64 (__TEXT,__text) external _XML_GetIdAttributeIndex
00000001900d15b4 (__TEXT,__text) external _XML_GetInputContext
00000001900d1530 (__TEXT,__text) external _XML_GetParsingStatus
00000001900e7624 (__TEXT,__text) non-external _XML_GetParsingStatus.cold.1
00000001900d0b50 (__TEXT,__text) external _XML_GetSpecifiedAttributeCount
00000001900d16e8 (__TEXT,__text) external _XML_MemFree
00000001900d16bc (__TEXT,__text) external _XML_MemMalloc
00000001900d16d0 (__TEXT,__text) external _XML_MemRealloc
00000001900d0d3c (__TEXT,__text) external _XML_Parse
00000001900e75cc (__TEXT,__text) non-external _XML_Parse.cold.1
00000001900d1110 (__TEXT,__text) external _XML_ParseBuffer
00000001900cf5f0 (__TEXT,__text) external _XML_ParserCreate
00000001900cf608 (__TEXT,__text) external _XML_ParserCreateNS
00000001900cf600 (__TEXT,__text) external _XML_ParserCreate_MM
00000001900d05a0 (__TEXT,__text) external _XML_ParserFree
00000001900cf8a8 (__TEXT,__text) external _XML_ParserReset
00000001900d1444 (__TEXT,__text) external _XML_ResumeParser
00000001900d0cbc (__TEXT,__text) external _XML_SetAttlistDeclHandler
00000001900d0a90 (__TEXT,__text) external _XML_SetBase
00000001900d18a8 (__TEXT,__text) external _XML_SetBillionLaughsAttackProtectionActivationThreshold
00000001900d1878 (__TEXT,__text) external _XML_SetBillionLaughsAttackProtectionMaximumAmplification
00000001900d0bc0 (__TEXT,__text) external _XML_SetCdataSectionHandler
00000001900d0b9c (__TEXT,__text) external _XML_SetCharacterDataHandler
00000001900d0bb4 (__TEXT,__text) external _XML_SetCommentHandler
00000001900d0be4 (__TEXT,__text) external _XML_SetDefaultHandler
00000001900d0bf4 (__TEXT,__text) external _XML_SetDefaultHandlerExpand
00000001900d0c08 (__TEXT,__text) external _XML_SetDoctypeDeclHandler
00000001900d0cb0 (__TEXT,__text) external _XML_SetElementDeclHandler
00000001900d0b78 (__TEXT,__text) external _XML_SetElementHandler
00000001900cfde8 (__TEXT,__text) external _XML_SetEncoding
00000001900d0bd8 (__TEXT,__text) external _XML_SetEndCdataSectionHandler
00000001900d0c20 (__TEXT,__text) external _XML_SetEndDoctypeDeclHandler
00000001900d0b90 (__TEXT,__text) external _XML_SetEndElementHandler
00000001900d0c5c (__TEXT,__text) external _XML_SetEndNamespaceDeclHandler
00000001900d0cc8 (__TEXT,__text) external _XML_SetEntityDeclHandler
00000001900d0c74 (__TEXT,__text) external _XML_SetExternalEntityRefHandler
00000001900d0c80 (__TEXT,__text) external _XML_SetExternalEntityRefHandlerArg
00000001900d0d08 (__TEXT,__text) external _XML_SetHashSalt
00000001900d0c44 (__TEXT,__text) external _XML_SetNamespaceDeclHandler
00000001900d0c68 (__TEXT,__text) external _XML_SetNotStandaloneHandler
00000001900d0c38 (__TEXT,__text) external _XML_SetNotationDeclHandler
00000001900d0ce0 (__TEXT,__text) external _XML_SetParamEntityParsing
00000001900d0ba8 (__TEXT,__text) external _XML_SetProcessingInstructionHandler
00000001900d18c8 (__TEXT,__text) external _XML_SetReparseDeferralEnabled
00000001900d0a4c (__TEXT,__text) external _XML_SetReturnNSTriplet
00000001900d0c94 (__TEXT,__text) external _XML_SetSkippedEntityHandler
00000001900d0bcc (__TEXT,__text) external _XML_SetStartCdataSectionHandler
00000001900d0c14 (__TEXT,__text) external _XML_SetStartDoctypeDeclHandler
00000001900d0b84 (__TEXT,__text) external _XML_SetStartElementHandler
00000001900d0c50 (__TEXT,__text) external _XML_SetStartNamespaceDeclHandler
00000001900d0ca0 (__TEXT,__text) external _XML_SetUnknownEncodingHandler
00000001900d0c2c (__TEXT,__text) external _XML_SetUnparsedEntityDeclHandler
00000001900d0a70 (__TEXT,__text) external _XML_SetUserData
00000001900d0cd4 (__TEXT,__text) external _XML_SetXmlDeclHandler
00000001900d13a4 (__TEXT,__text) external _XML_StopParser
00000001900e75f8 (__TEXT,__text) non-external _XML_StopParser.cold.1
00000001900d0a18 (__TEXT,__text) external _XML_UseForeignDTD
00000001900d0a0c (__TEXT,__text) external _XML_UseParserAsHandlerArg
00000001900db144 (__TEXT,__text) non-external (was a private external) _XmlGetUtf16InternalEncoding
00000001900db6d8 (__TEXT,__text) non-external (was a private external) _XmlGetUtf16InternalEncodingNS
00000001900db138 (__TEXT,__text) non-external (was a private external) _XmlGetUtf8InternalEncoding
00000001900db6cc (__TEXT,__text) non-external (was a private external) _XmlGetUtf8InternalEncodingNS
00000001900db150 (__TEXT,__text) non-external (was a private external) _XmlInitEncoding
00000001900db6e4 (__TEXT,__text) non-external (was a private external) _XmlInitEncodingNS
00000001900daba8 (__TEXT,__text) non-external (was a private external) _XmlInitUnknownEncoding
00000001900db8fc (__TEXT,__text) non-external (was a private external) _XmlInitUnknownEncodingNS
00000001900db27c (__TEXT,__text) non-external (was a private external) _XmlParseXmlDecl
00000001900db7a0 (__TEXT,__text) non-external (was a private external) _XmlParseXmlDeclNS
00000001900d8a58 (__TEXT,__text) non-external (was a private external) _XmlPrologStateInit
00000001900d8b8c (__TEXT,__text) non-external (was a private external) _XmlPrologStateInitExternalEntity
00000001900daba0 (__TEXT,__text) non-external (was a private external) _XmlSizeOfUnknownEncoding
00000001900dab50 (__TEXT,__text) non-external (was a private external) _XmlUtf16Encode
00000001900daa94 (__TEXT,__text) non-external (was a private external) _XmlUtf8Encode
00000001900da9e8 (__TEXT,__text) non-external (was a private external) __INTERNAL_trim_to_complete_utf8_characters
                 (undefined) external ___assert_rtn (from libSystem)
                 (undefined) external ___error (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
00000001900d352c (__TEXT,__text) non-external _accountingDiffTolerated
00000001900e76a8 (__TEXT,__text) non-external _accountingDiffTolerated.cold.1
00000001900d4d74 (__TEXT,__text) non-external _accountingGetCurrentAmplification
00000001900e7700 (__TEXT,__text) non-external _accountingGetCurrentAmplification.cold.1
00000001900d4dc0 (__TEXT,__text) non-external _accountingReportStats
00000001900d73a0 (__TEXT,__text) non-external _addBinding
00000001900e8e0b (__TEXT,__cstring) non-external _addBinding.xmlNamespace
00000001900e8e30 (__TEXT,__cstring) non-external _addBinding.xmlnsNamespace
00000001900d773c (__TEXT,__text) non-external _appendAttributeValue
                 (undefined) external _arc4random_buf (from libSystem)
00000001f05bc1f8 (__AUTH_CONST,__const) non-external _ascii_encoding
00000001f05bcb08 (__AUTH_CONST,__const) non-external _ascii_encoding_ns
00000001900e367c (__TEXT,__text) non-external _ascii_toUtf8
00000001900d91b8 (__TEXT,__text) non-external _attlist0
00000001900d9b80 (__TEXT,__text) non-external _attlist1
00000001900d9c24 (__TEXT,__text) non-external _attlist2
00000001e85b2380 (__DATA_CONST,__const) non-external _attlist2.types
00000001900d9ee4 (__TEXT,__text) non-external _attlist3
00000001900da06c (__TEXT,__text) non-external _attlist4
00000001900d9e90 (__TEXT,__text) non-external _attlist5
00000001900d9fa8 (__TEXT,__text) non-external _attlist6
00000001900da004 (__TEXT,__text) non-external _attlist7
00000001900d9d50 (__TEXT,__text) non-external _attlist8
00000001900d9f4c (__TEXT,__text) non-external _attlist9
00000001900e4d94 (__TEXT,__text) non-external _big2_attributeValueTok
00000001900e492c (__TEXT,__text) non-external _big2_cdataSectionTok
00000001900e55c0 (__TEXT,__text) non-external _big2_charRefNumber
00000001900e6804 (__TEXT,__text) non-external _big2_checkPiTarget
00000001900e3e44 (__TEXT,__text) non-external _big2_contentTok
00000001f05bbe58 (__AUTH_CONST,__const) non-external _big2_encoding
00000001f05bc768 (__AUTH_CONST,__const) non-external _big2_encoding_ns
00000001900e4ef8 (__TEXT,__text) non-external _big2_entityValueTok
00000001900e51a4 (__TEXT,__text) non-external _big2_getAtts
00000001900e4bcc (__TEXT,__text) non-external _big2_ignoreSectionTok
00000001900e58e0 (__TEXT,__text) non-external _big2_isPublicId
00000001900e50c0 (__TEXT,__text) non-external _big2_nameLength
00000001900e5074 (__TEXT,__text) non-external _big2_nameMatchesAscii
00000001900e56a0 (__TEXT,__text) non-external _big2_predefinedEntityName
00000001900e36c8 (__TEXT,__text) non-external _big2_prologTok
00000001900e6ba8 (__TEXT,__text) non-external _big2_scanAtts
00000001900e80db (__TEXT,__const) non-external _big2_scanCdataSection.CDATA_LSQB
00000001900e668c (__TEXT,__text) non-external _big2_scanComment
00000001900e5d00 (__TEXT,__text) non-external _big2_scanDecl
00000001900e5bac (__TEXT,__text) non-external _big2_scanLit
00000001900e626c (__TEXT,__text) non-external _big2_scanPercent
00000001900e5e3c (__TEXT,__text) non-external _big2_scanPi
00000001900e6480 (__TEXT,__text) non-external _big2_scanPoundName
00000001900e68a0 (__TEXT,__text) non-external _big2_scanRef
00000001900e5160 (__TEXT,__text) non-external _big2_skipS
00000001900e5b24 (__TEXT,__text) non-external _big2_toUtf16
00000001900e5990 (__TEXT,__text) non-external _big2_toUtf8
00000001900e57f4 (__TEXT,__text) non-external _big2_updatePosition
                 (undefined) external _bzero (from libSystem)
00000001900d127c (__TEXT,__text) non-external _callProcessor
00000001900d71ac (__TEXT,__text) non-external _cdataSectionProcessor
00000001900dae30 (__TEXT,__text) non-external _checkCharRefNumber
00000001900d97e0 (__TEXT,__text) non-external _condSect0
00000001900d98bc (__TEXT,__text) non-external _condSect1
00000001900d992c (__TEXT,__text) non-external _condSect2
00000001900d3ebc (__TEXT,__text) non-external _contentProcessor
00000001900d889c (__TEXT,__text) non-external _copyEntityTable
00000001900cfe5c (__TEXT,__text) non-external _copyString
00000001900d9664 (__TEXT,__text) non-external _declClose
00000001900d4250 (__TEXT,__text) non-external _defineAttribute
00000001900d6eb4 (__TEXT,__text) non-external _doCdataSection
00000001900d517c (__TEXT,__text) non-external _doContent
00000001900d4710 (__TEXT,__text) non-external _doIgnoreSection
00000001900db2d8 (__TEXT,__text) non-external _doParseXmlDecl
00000001900d1c34 (__TEXT,__text) non-external _doProlog
00000001900e7893 (__TEXT,__const) non-external _doProlog.atypeCDATA
00000001900e78b0 (__TEXT,__const) non-external _doProlog.atypeENTITIES
00000001900e78a9 (__TEXT,__const) non-external _doProlog.atypeENTITY
00000001900e7899 (__TEXT,__const) non-external _doProlog.atypeID
00000001900e789c (__TEXT,__const) non-external _doProlog.atypeIDREF
00000001900e78a2 (__TEXT,__const) non-external _doProlog.atypeIDREFS
00000001900e78b9 (__TEXT,__const) non-external _doProlog.atypeNMTOKEN
00000001900e78c1 (__TEXT,__const) non-external _doProlog.atypeNMTOKENS
00000001900e7650 (__TEXT,__text) non-external _doProlog.cold.1
00000001900e767c (__TEXT,__text) non-external _doProlog.cold.2
00000001900e8d00 (__TEXT,__cstring) non-external _doProlog.enumValueSep
00000001900e8d02 (__TEXT,__cstring) non-external _doProlog.enumValueStart
00000001900e8cf6 (__TEXT,__cstring) non-external _doProlog.notationPrefix
00000001900d8cb8 (__TEXT,__text) non-external _doctype0
00000001900d8d24 (__TEXT,__text) non-external _doctype1
00000001900d90f0 (__TEXT,__text) non-external _doctype2
00000001900d9094 (__TEXT,__text) non-external _doctype3
00000001900da970 (__TEXT,__text) non-external _doctype4
00000001900d92dc (__TEXT,__text) non-external _doctype5
00000001900d921c (__TEXT,__text) non-external _element0
00000001900da0d4 (__TEXT,__text) non-external _element1
00000001900da1f8 (__TEXT,__text) non-external _element2
00000001900da334 (__TEXT,__text) non-external _element3
00000001900da648 (__TEXT,__text) non-external _element4
00000001900da6ac (__TEXT,__text) non-external _element5
00000001900da3e4 (__TEXT,__text) non-external _element6
00000001900da4d8 (__TEXT,__text) non-external _element7
00000001e85b23f0 (__DATA_CONST,__const) non-external _encodings
00000001e85b2428 (__DATA_CONST,__const) non-external _encodingsNS
00000001900d914c (__TEXT,__text) non-external _entity0
00000001900d9338 (__TEXT,__text) non-external _entity1
00000001900d96d8 (__TEXT,__text) non-external _entity10
00000001900d9394 (__TEXT,__text) non-external _entity2
00000001900d99e4 (__TEXT,__text) non-external _entity3
00000001900d9988 (__TEXT,__text) non-external _entity4
00000001900d9a40 (__TEXT,__text) non-external _entity5
00000001900d9b18 (__TEXT,__text) non-external _entity6
00000001900d94a0 (__TEXT,__text) non-external _entity7
00000001900d9608 (__TEXT,__text) non-external _entity8
00000001900d95ac (__TEXT,__text) non-external _entity9
00000001900d4b44 (__TEXT,__text) non-external _entityTrackingOnOpen
00000001900d814c (__TEXT,__text) non-external _entityTrackingReportStats
00000001900e7758 (__TEXT,__text) non-external _entityTrackingReportStats.cold.1
00000001900d847c (__TEXT,__text) non-external _entityValueInitProcessor
00000001900d8764 (__TEXT,__text) non-external _entityValueProcessor
00000001900d6c90 (__TEXT,__text) non-external _epilogProcessor
00000001900d8d1c (__TEXT,__text) non-external _error
00000001900d139c (__TEXT,__text) non-external _errorProcessor
00000001900d76d8 (__TEXT,__text) non-external _externalEntityContentProcessor
00000001900d0860 (__TEXT,__text) non-external _externalEntityInitProcessor
00000001900d8248 (__TEXT,__text) non-external _externalEntityInitProcessor2
00000001900d8354 (__TEXT,__text) non-external _externalEntityInitProcessor3
00000001900d08dc (__TEXT,__text) non-external _externalParEntInitProcessor
00000001900d8630 (__TEXT,__text) non-external _externalParEntProcessor
00000001900d8ba4 (__TEXT,__text) non-external _externalSubset0
00000001900d9750 (__TEXT,__text) non-external _externalSubset1
00000001900db5cc (__TEXT,__text) non-external _findEncoding
00000001900db7fc (__TEXT,__text) non-external _findEncodingNS
                 (undefined) external _fprintf (from libSystem)
                 (undefined) external _fputs (from libSystem)
                 (undefined) external _free (from libSystem)
00000001900d6c2c (__TEXT,__text) non-external _freeBindings
                 (undefined) external _fwrite (from libSystem)
00000001900e7890 (__TEXT,__const) non-external (was a private external) _g_reparseDeferralEnabledDefault
00000001900d3fb8 (__TEXT,__text) non-external _getAttributeId
00000001900d5eac (__TEXT,__text) non-external _getContext
00000001900d1990 (__TEXT,__text) non-external _getDebugLevel
00000001900d3f28 (__TEXT,__text) non-external _getElementType
00000001900db1cc (__TEXT,__text) non-external _getEncodingIndex
00000001e85b23c0 (__DATA_CONST,__const) non-external _getEncodingIndex.encodingNames
                 (undefined) external _getenv (from libSystem)
00000001900d1b28 (__TEXT,__text) non-external _handleUnknownEncoding
00000001900d4e38 (__TEXT,__text) non-external _hash
00000001900d8830 (__TEXT,__text) non-external _hashTableDestroy
00000001900d4898 (__TEXT,__text) non-external _ignoreSectionProcessor
00000001900e78ca (__TEXT,__const) non-external _implicitContext
00000001900e348c (__TEXT,__text) non-external _initScan
00000001900db250 (__TEXT,__text) non-external _initScanContent
00000001900db780 (__TEXT,__text) non-external _initScanContentNS
00000001900db230 (__TEXT,__text) non-external _initScanProlog
00000001900db760 (__TEXT,__text) non-external _initScanPrologNS
00000001900db270 (__TEXT,__text) non-external _initUpdatePosition
00000001900d1a1c (__TEXT,__text) non-external _initializeEncoding
00000001900d7f84 (__TEXT,__text) non-external _internalEntityProcessor
00000001900e772c (__TEXT,__text) non-external _internalEntityProcessor.cold.1
00000001900d8e3c (__TEXT,__text) non-external _internalSubset
00000001f05bb718 (__AUTH_CONST,__const) non-external _internal_little2_encoding
00000001f05bbab8 (__AUTH_CONST,__const) non-external _internal_little2_encoding_ns
00000001f05bb548 (__AUTH_CONST,__const) non-external _internal_utf8_encoding
00000001f05bb8e8 (__AUTH_CONST,__const) non-external _internal_utf8_encoding_ns
00000001900df750 (__TEXT,__text) non-external _isNever
00000001f05bb378 (__AUTH_CONST,__const) non-external _latin1_encoding
00000001f05bc3c8 (__AUTH_CONST,__const) non-external _latin1_encoding_ns
00000001900ddc44 (__TEXT,__text) non-external _latin1_toUtf16
00000001900ddbb0 (__TEXT,__text) non-external _latin1_toUtf8
00000001900e0f9c (__TEXT,__text) non-external _little2_attributeValueTok
00000001900e0b34 (__TEXT,__text) non-external _little2_cdataSectionTok
00000001900e17d4 (__TEXT,__text) non-external _little2_charRefNumber
00000001900e2a14 (__TEXT,__text) non-external _little2_checkPiTarget
00000001900e0084 (__TEXT,__text) non-external _little2_contentTok
00000001f05bc028 (__AUTH_CONST,__const) non-external _little2_encoding
00000001f05bc938 (__AUTH_CONST,__const) non-external _little2_encoding_ns
00000001900e1100 (__TEXT,__text) non-external _little2_entityValueTok
00000001900e13b8 (__TEXT,__text) non-external _little2_getAtts
00000001900e0dd4 (__TEXT,__text) non-external _little2_ignoreSectionTok
00000001900e1af4 (__TEXT,__text) non-external _little2_isPublicId
00000001900e12c8 (__TEXT,__text) non-external _little2_nameLength
00000001900e127c (__TEXT,__text) non-external _little2_nameMatchesAscii
00000001900e18b4 (__TEXT,__text) non-external _little2_predefinedEntityName
00000001900df908 (__TEXT,__text) non-external _little2_prologTok
00000001900e2db4 (__TEXT,__text) non-external _little2_scanAtts
00000001900e289c (__TEXT,__text) non-external _little2_scanComment
00000001900e1f10 (__TEXT,__text) non-external _little2_scanDecl
00000001900e1dbc (__TEXT,__text) non-external _little2_scanLit
00000001900e2478 (__TEXT,__text) non-external _little2_scanPercent
00000001900e204c (__TEXT,__text) non-external _little2_scanPi
00000001900e2690 (__TEXT,__text) non-external _little2_scanPoundName
00000001900e2ab0 (__TEXT,__text) non-external _little2_scanRef
00000001900e1368 (__TEXT,__text) non-external _little2_skipS
00000001900e1d38 (__TEXT,__text) non-external _little2_toUtf16
00000001900e1ba4 (__TEXT,__text) non-external _little2_toUtf8
00000001900e1a08 (__TEXT,__text) non-external _little2_updatePosition
00000001900d3ae0 (__TEXT,__text) non-external _lookup
                 (undefined) external _malloc (from libSystem)
                 (undefined) external _malloc_type_malloc (from libSystem)
                 (undefined) external _memcmp (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memmove (from libSystem)
                 (undefined) external _memset (from libSystem)
00000001900e7fa8 (__TEXT,__const) non-external _namePages
00000001900e79a8 (__TEXT,__const) non-external _namingBitmap
00000001900d4948 (__TEXT,__text) non-external _nextScaffoldPart
00000001900e7ea8 (__TEXT,__const) non-external _nmstrtPages
00000001900dd1e0 (__TEXT,__text) non-external _normal_attributeValueTok
00000001900dcd58 (__TEXT,__text) non-external _normal_cdataSectionTok
00000001900dd880 (__TEXT,__text) non-external _normal_charRefNumber
00000001900dea0c (__TEXT,__text) non-external _normal_checkPiTarget
00000001900dc198 (__TEXT,__text) non-external _normal_contentTok
00000001900dd320 (__TEXT,__text) non-external _normal_entityValueTok
00000001900dd544 (__TEXT,__text) non-external _normal_getAtts
00000001900dd000 (__TEXT,__text) non-external _normal_ignoreSectionTok
00000001900ddb08 (__TEXT,__text) non-external _normal_isPublicId
00000001900dd4bc (__TEXT,__text) non-external _normal_nameLength
00000001900dd478 (__TEXT,__text) non-external _normal_nameMatchesAscii
00000001900dd94c (__TEXT,__text) non-external _normal_predefinedEntityName
00000001900db920 (__TEXT,__text) non-external _normal_prologTok
00000001900dedf0 (__TEXT,__text) non-external _normal_scanAtts
00000001900de870 (__TEXT,__text) non-external _normal_scanComment
00000001900dde30 (__TEXT,__text) non-external _normal_scanDecl
00000001900ddc98 (__TEXT,__text) non-external _normal_scanLit
00000001900de35c (__TEXT,__text) non-external _normal_scanPercent
00000001900ddf50 (__TEXT,__text) non-external _normal_scanPi
00000001900de5e8 (__TEXT,__text) non-external _normal_scanPoundName
00000001900dea90 (__TEXT,__text) non-external _normal_scanRef
00000001900dd508 (__TEXT,__text) non-external _normal_skipS
00000001900dda34 (__TEXT,__text) non-external _normal_updatePosition
00000001900d81f0 (__TEXT,__text) non-external _normalizeLines
00000001900d3e38 (__TEXT,__text) non-external _normalizePublicId
00000001900d9280 (__TEXT,__text) non-external _notation0
00000001900da72c (__TEXT,__text) non-external _notation1
00000001900da870 (__TEXT,__text) non-external _notation2
00000001900da808 (__TEXT,__text) non-external _notation3
00000001900da8cc (__TEXT,__text) non-external _notation4
00000001900e7200 (__TEXT,__text) non-external _parsePseudoAttribute
00000001900cf63c (__TEXT,__text) non-external _parserCreate
00000001900cfc9c (__TEXT,__text) non-external _parserInit
00000001900d41cc (__TEXT,__text) non-external _poolAppend
00000001900d0adc (__TEXT,__text) non-external _poolCopyString
00000001900d09ac (__TEXT,__text) non-external _poolDestroy
00000001900d4380 (__TEXT,__text) non-external _poolGrow
00000001900d3a84 (__TEXT,__text) non-external _poolStoreString
00000001900d4a44 (__TEXT,__text) non-external _processEntity
00000001900d3758 (__TEXT,__text) non-external _processXmlDecl
00000001900d8a7c (__TEXT,__text) non-external _prolog0
00000001900d8bc8 (__TEXT,__text) non-external _prolog1
00000001900d9008 (__TEXT,__text) non-external _prolog2
00000001900d1914 (__TEXT,__text) non-external _prologInitProcessor
00000001900d1aa0 (__TEXT,__text) non-external _prologProcessor
                 (undefined) external _realloc (from libSystem)
00000001900d4cbc (__TEXT,__text) non-external _reportComment
00000001900d1730 (__TEXT,__text) non-external _reportDefault
00000001900d4b90 (__TEXT,__text) non-external _reportProcessingInstruction
00000001900d035c (__TEXT,__text) non-external _setContext
00000001900d72a8 (__TEXT,__text) non-external _setElementTypePrefix
00000001900d501c (__TEXT,__text) non-external _sip24_final
00000001900d4f28 (__TEXT,__text) non-external _sip24_update
00000001900d5130 (__TEXT,__text) non-external _sip_round
00000001900d0e30 (__TEXT,__text) non-external _startParsing
00000001900d4534 (__TEXT,__text) non-external _storeAttributeValue
00000001900e76d4 (__TEXT,__text) non-external _storeAttributeValue.cold.1
00000001900d61e8 (__TEXT,__text) non-external _storeAtts
00000001900d7b80 (__TEXT,__text) non-external _storeEntityValue
00000001900d5dc0 (__TEXT,__text) non-external _storeRawNames
00000001900e3434 (__TEXT,__text) non-external _streqci
                 (undefined) external _strtoul (from libSystem)
00000001900d18e8 (__TEXT,__text) non-external (was a private external) _testingAccountingGetCountBytesDirect
00000001900d18f4 (__TEXT,__text) non-external (was a private external) _testingAccountingGetCountBytesIndirect
00000001900daf3c (__TEXT,__text) non-external _unknown_isInvalid
00000001900dae7c (__TEXT,__text) non-external _unknown_isName
00000001900daedc (__TEXT,__text) non-external _unknown_isNmstrt
00000001900db070 (__TEXT,__text) non-external _unknown_toUtf16
00000001900daf70 (__TEXT,__text) non-external _unknown_toUtf8
00000001900d1900 (__TEXT,__text) non-external (was a private external) _unsignedCharToPrintable
00000001f05bbc88 (__AUTH_CONST,__const) non-external _utf8_encoding
00000001f05bc598 (__AUTH_CONST,__const) non-external _utf8_encoding_ns
00000001900df7e0 (__TEXT,__text) non-external _utf8_isInvalid2
00000001900df814 (__TEXT,__text) non-external _utf8_isInvalid3
00000001900df8a0 (__TEXT,__text) non-external _utf8_isInvalid4
00000001900df6c8 (__TEXT,__text) non-external _utf8_isName2
00000001900df708 (__TEXT,__text) non-external _utf8_isName3
00000001900df758 (__TEXT,__text) non-external _utf8_isNmstrt2
00000001900df798 (__TEXT,__text) non-external _utf8_isNmstrt3
00000001900df58c (__TEXT,__text) non-external _utf8_toUtf16
00000001900df4d0 (__TEXT,__text) non-external _utf8_toUtf8
