00007ff80b7a7dfe (__TEXT,__text) non-external _Annihilate
00007ff80b7b2384 (__TEXT,__text) non-external (was a private external) _BrotliDecoderIsUsed
00007ff80b7adcb8 (__TEXT,__text) non-external (was a private external) _BrotliDecoderSetParameter
00007ff80b7b482b (__TEXT,__text) non-external (was a private external) _BrotliDecoderStateCleanup
00007ff80b7b479b (__TEXT,__text) non-external (was a private external) _BrotliDecoderStateCleanupAfterMetablock
00007ff80b7b4634 (__TEXT,__text) non-external (was a private external) _BrotliDecoderStateInit
00007ff80b7b4722 (__TEXT,__text) non-external (was a private external) _BrotliDecoderStateMetablockBegin
00007ff80b7b22f0 (__TEXT,__text) non-external (was a private external) _BrotliDecoderTakeOutput
00007ff80b7b2408 (__TEXT,__text) non-external (was a private external) _BrotliDecoderVersion
00007ff80b7ada38 (__TEXT,__text) non-external (was a private external) _BrotliDefaultAllocFunc
00007ff80b7ada45 (__TEXT,__text) non-external (was a private external) _BrotliDefaultFreeFunc
00007ff80b7a8a81 (__TEXT,__text) non-external (was a private external) _BrotliDestroyBlockSplit
00007ff80b799a65 (__TEXT,__text) non-external (was a private external) _BrotliEncoderCompress
00007ff80b79b978 (__TEXT,__text) non-external (was a private external) _BrotliEncoderCompressStream
00007ff80b7997e8 (__TEXT,__text) non-external (was a private external) _BrotliEncoderCreateInstance
00007ff80b799937 (__TEXT,__text) non-external (was a private external) _BrotliEncoderDestroyInstance
00007ff80b7a09a4 (__TEXT,__text) non-external (was a private external) _BrotliEncoderHasMoreOutput
00007ff80b79ca7b (__TEXT,__text) non-external (was a private external) _BrotliEncoderIsFinished
00007ff80b799a3b (__TEXT,__text) non-external (was a private external) _BrotliEncoderMaxCompressedSize
00007ff80b799740 (__TEXT,__text) non-external (was a private external) _BrotliEncoderSetParameter
00007ff80b7a09b7 (__TEXT,__text) non-external (was a private external) _BrotliEncoderTakeOutput
00007ff80b7a0a29 (__TEXT,__text) non-external (was a private external) _BrotliEncoderVersion
00007ff80b7b0acc (__TEXT,__text) non-external _BrotliEnsureRingBuffer
00007ff80b7b7207 (__TEXT,__text) non-external (was a private external) _BrotliEstimateBitCostsForLiterals
00007ff80b7d9bec (__TEXT,__text) non-external (was a private external) _BrotliFindAllStaticDictionaryMatches
00007ff80b7a7d0a (__TEXT,__text) non-external (was a private external) _BrotliFree
00007ff80b7a7ec7 (__TEXT,__text) non-external (was a private external) _BrotliGetDictionary
00007ff80b7c2d11 (__TEXT,__text) non-external (was a private external) _BrotliGetTransforms
00007ff80b7bb397 (__TEXT,__text) non-external (was a private external) _BrotliHistogramBitCostDistanceCommand
00007ff80b7bc041 (__TEXT,__text) non-external (was a private external) _BrotliHistogramBitCostDistanceDistance
00007ff80b7ba6ed (__TEXT,__text) non-external (was a private external) _BrotliHistogramBitCostDistanceLiteral
00007ff80b7bb0a1 (__TEXT,__text) non-external (was a private external) _BrotliHistogramCombineCommand
00007ff80b7bbd4b (__TEXT,__text) non-external (was a private external) _BrotliHistogramCombineDistance
00007ff80b7ba3f7 (__TEXT,__text) non-external (was a private external) _BrotliHistogramCombineLiteral
00007ff80b7bb5a9 (__TEXT,__text) non-external (was a private external) _BrotliHistogramReindexCommand
00007ff80b7bc253 (__TEXT,__text) non-external (was a private external) _BrotliHistogramReindexDistance
00007ff80b7ba8ff (__TEXT,__text) non-external (was a private external) _BrotliHistogramReindexLiteral
00007ff80b7bb426 (__TEXT,__text) non-external (was a private external) _BrotliHistogramRemapCommand
00007ff80b7bc0d0 (__TEXT,__text) non-external (was a private external) _BrotliHistogramRemapDistance
00007ff80b7ba77c (__TEXT,__text) non-external (was a private external) _BrotliHistogramRemapLiteral
00007ff80b7adb0a (__TEXT,__text) non-external (was a private external) _BrotliInitBitReader
00007ff80b7a8a6d (__TEXT,__text) non-external (was a private external) _BrotliInitBlockSplit
00007ff80b7e83ae (__TEXT,__text) non-external (was a private external) _BrotliInitDistanceParams
00007ff80b7c2cad (__TEXT,__text) non-external (was a private external) _BrotliInitEncoderDictionary
00007ff80b7a7bb1 (__TEXT,__text) non-external (was a private external) _BrotliInitMemoryManager
00007ff80b7bd187 (__TEXT,__text) non-external (was a private external) _BrotliInitZopfliNodes
00007ff80b7db92d (__TEXT,__text) non-external (was a private external) _BrotliIsMostlyUTF8
00007ff80b7e9eed (__TEXT,__text) non-external (was a private external) _BrotliOptimizeHistograms
00007ff80b7b7cbb (__TEXT,__text) non-external (was a private external) _BrotliOptimizeHuffmanCountsForRle
00007ff80b7c82f4 (__TEXT,__text) non-external (was a private external) _BrotliPopulationCostCommand
00007ff80b7c8848 (__TEXT,__text) non-external (was a private external) _BrotliPopulationCostDistance
00007ff80b7c7da0 (__TEXT,__text) non-external (was a private external) _BrotliPopulationCostLiteral
00007ff80b80f370 (__TEXT,__const) non-external _BrotliReverseBits.kLut
00007ff80b7adb6d (__TEXT,__text) non-external (was a private external) _BrotliSafeReadBits32Slow
00007ff80b7b79c5 (__TEXT,__text) non-external (was a private external) _BrotliSetDepth
00007ff80b7a7ed4 (__TEXT,__text) non-external (was a private external) _BrotliSetDictionaryData
00007ff80b7a8abc (__TEXT,__text) non-external (was a private external) _BrotliSplitBlock
00007ff80b7c3fb1 (__TEXT,__text) non-external (was a private external) _BrotliStoreHuffmanTree
00007ff80b843538 (__TEXT,__const) non-external _BrotliStoreHuffmanTreeOfHuffmanTreeToBitMask.kHuffmanBitLengthHuffmanCodeBitLengths
00007ff80b843532 (__TEXT,__const) non-external _BrotliStoreHuffmanTreeOfHuffmanTreeToBitMask.kHuffmanBitLengthHuffmanCodeSymbols
00007ff80b843520 (__TEXT,__const) non-external _BrotliStoreHuffmanTreeOfHuffmanTreeToBitMask.kStorageOrder
00007ff80b7c49ec (__TEXT,__text) non-external (was a private external) _BrotliStoreMetaBlock
00007ff80b7c6fc1 (__TEXT,__text) non-external (was a private external) _BrotliStoreMetaBlockFast
00007ff80b7a7690 (__TEXT,__text) non-external _BrotliStoreMetaBlockHeader
00007ff80b7e5fc2 (__TEXT,__text) non-external _BrotliStoreMetaBlockHeader
00007ff80b7c65f6 (__TEXT,__text) non-external (was a private external) _BrotliStoreMetaBlockTrivial
00007ff80b7c73bd (__TEXT,__text) non-external (was a private external) _BrotliStoreUncompressedMetaBlock
00007ff80b7c2d1e (__TEXT,__text) non-external (was a private external) _BrotliTransformDictionaryWord
00007ff80b7adb1e (__TEXT,__text) non-external (was a private external) _BrotliWarmupBitReader
00007ff80b7a7d4e (__TEXT,__text) non-external (was a private external) _BrotliWipeOutMemoryManager
00007ff80b7b8003 (__TEXT,__text) non-external (was a private external) _BrotliWriteHuffmanTree
00007ff80b7bd4db (__TEXT,__text) non-external (was a private external) _BrotliZopfliComputeShortestPath
00007ff80b7bd1aa (__TEXT,__text) non-external (was a private external) _BrotliZopfliCreateCommands
00007ff80b7c572b (__TEXT,__text) non-external _BuildAndStoreBlockSwitchEntropyCodes
00007ff80b7a797d (__TEXT,__text) non-external _BuildAndStoreCommandPrefixCode
00007ff80b7c6929 (__TEXT,__text) non-external _BuildAndStoreHuffmanTree
00007ff80b7a7745 (__TEXT,__text) non-external _BuildAndStoreLiteralPrefixCode
00007ff80b7c6861 (__TEXT,__text) non-external _BuildHistograms
00007ff80b7ef380 (__TEXT,__const) non-external _ChooseContextMap.kStaticContextMapContinuation
00007ff80b7ef480 (__TEXT,__const) non-external _ChooseContextMap.kStaticContextMapSimpleUTF8
00007ff80b7a0a34 (__TEXT,__text) non-external _ChooseDistanceParams
00007ff80b7a7c42 (__TEXT,__text) non-external _CollectGarbagePointers
00007ff80b7e8c59 (__TEXT,__text) non-external _ComputeDistanceCost
00007ff80b7bf025 (__TEXT,__text) non-external _ComputeShortestPathFromNodes
00007ff80b7ea8c4 (__TEXT,__text) non-external _ContextBlockSplitterFinishBlock
00007ff80b7b0448 (__TEXT,__text) non-external _CopyUncompressedBlockToOutput
00007ff80b7cb8c4 (__TEXT,__text) non-external _CreateBackwardReferencesNH2
00007ff80b7cc9ca (__TEXT,__text) non-external _CreateBackwardReferencesNH3
00007ff80b7d60a7 (__TEXT,__text) non-external _CreateBackwardReferencesNH35
00007ff80b7cd693 (__TEXT,__text) non-external _CreateBackwardReferencesNH4
00007ff80b7d137a (__TEXT,__text) non-external _CreateBackwardReferencesNH40
00007ff80b7d27af (__TEXT,__text) non-external _CreateBackwardReferencesNH41
00007ff80b7d3c79 (__TEXT,__text) non-external _CreateBackwardReferencesNH42
00007ff80b7ce960 (__TEXT,__text) non-external _CreateBackwardReferencesNH5
00007ff80b7d5293 (__TEXT,__text) non-external _CreateBackwardReferencesNH54
00007ff80b7d70f5 (__TEXT,__text) non-external _CreateBackwardReferencesNH55
00007ff80b7cfe4f (__TEXT,__text) non-external _CreateBackwardReferencesNH6
00007ff80b7d8215 (__TEXT,__text) non-external _CreateBackwardReferencesNH65
00007ff80b7ef270 (__TEXT,__const) non-external _DecideOverLiteralContextModeling.lut
00007ff80b7b28c4 (__TEXT,__text) non-external _DecodeCommandBlockSwitch
00007ff80b7b05d0 (__TEXT,__text) non-external _DecodeContextMap
00007ff80b7b33fe (__TEXT,__text) non-external _DecodeDistanceBlockSwitch
00007ff80b7b2e5e (__TEXT,__text) non-external _DecodeLiteralBlockSwitch
00007ff80b7af178 (__TEXT,__text) non-external _DecodeMetaBlockLength
00007ff80b7af77a (__TEXT,__text) non-external _DecodeVarLenUint8
00007ff80b7a7610 (__TEXT,__text) non-external _EmitUncompressedMetaBlock
00007ff80b7c5c43 (__TEXT,__text) non-external _EncodeContextMap
00007ff80b79cbb0 (__TEXT,__text) non-external _EncodeData
00007ff80b7bee34 (__TEXT,__text) non-external _EvaluateNode
00007ff80b80f3f0 (__TEXT,__const) non-external _FSE_mask_lsb64.mtable
00007ff80b84ca50 (__TEXT,__const) non-external _FSE_mask_lsb64.mtable
00007ff80b865500 (__TEXT,__const) non-external _FSE_mask_lsb64.mtable
00007ff80b7a0db7 (__TEXT,__text) non-external _GetBrotliStorage
00007ff80b7a0e25 (__TEXT,__text) non-external _GetHashTable
00007ff80b7ef170 (__TEXT,__const) non-external _InitCommandPrefixCodes.kDefaultCommandBits
00007ff80b8659b0 (__TEXT,__cstring) non-external _InitCommandPrefixCodes.kDefaultCommandCode
00007ff80b7ef0f0 (__TEXT,__const) non-external _InitCommandPrefixCodes.kDefaultCommandDepths
00007ff80b7be3da (__TEXT,__text) non-external _InitZopfliCostModel
00007ff80b79ca99 (__TEXT,__text) non-external _InjectFlushOrPushOutput
00007ff80b7b24af (__TEXT,__text) non-external _InverseMoveToFrontTransform
00007ff80b7b9722 (__TEXT,__text) non-external _LZFSEIBootBufferCopy
00007ff80b7b96d8 (__TEXT,__text) non-external _LZFSEIBootBufferPush
00007ff80b7b9603 (__TEXT,__text) non-external _LZFSEIBootBufferPushN
00007ff80b7a0d53 (__TEXT,__text) non-external _PrepareH54
00007ff80b7a0cec (__TEXT,__text) non-external _PrepareH6
00007ff80b7b0b70 (__TEXT,__text) non-external _ProcessCommands
00007ff80b7af951 (__TEXT,__text) non-external _ReadHuffmanCode
00007ff80b7b2565 (__TEXT,__text) non-external _SafeDecodeCommandBlockSwitch
00007ff80b7b308f (__TEXT,__text) non-external _SafeDecodeDistanceBlockSwitch
00007ff80b7b2aa9 (__TEXT,__text) non-external _SafeDecodeLiteralBlockSwitch
00007ff80b7b2413 (__TEXT,__text) non-external _SafeDecodeSymbol
00007ff80b7b1690 (__TEXT,__text) non-external _SafeProcessCommands
00007ff80b7af020 (__TEXT,__text) non-external _SaveErrorCode
00007ff80b7c059e (__TEXT,__text) non-external _SetCost
00007ff80b7c2f39 (__TEXT,__text) non-external _Shift
00007ff80b7a0a7a (__TEXT,__text) non-external _ShouldCompress
00007ff80b7ef280 (__TEXT,__const) non-external _ShouldUseComplexStaticContextMap.kStaticContextMapComplexUTF8
00007ff80b7a7d89 (__TEXT,__text) non-external _SortPointers
00007ff80b7ef840 (__TEXT,__const) non-external _SortPointers.gaps
00007ff80b8442b0 (__TEXT,__const) non-external _StoreCommands.kInsertOffset
00007ff80b8440b0 (__TEXT,__const) non-external _StoreCommands.kNumExtraBits
00007ff80b7c55e2 (__TEXT,__text) non-external _StoreCompressedMetaBlockHeader
00007ff80b7c6cf6 (__TEXT,__text) non-external _StoreDataWithHuffmanCodes
00007ff80b7c626e (__TEXT,__text) non-external _StoreSymbol
00007ff80b7c6425 (__TEXT,__text) non-external _StoreSymbolWithContext
00007ff80b7c5a10 (__TEXT,__text) non-external _StoreTrivialContextMap
00007ff80b7c7547 (__TEXT,__text) non-external _StoreVarLenUint8
00007ff80b7be58e (__TEXT,__text) non-external _UpdateNodes
00007ff80b7b2288 (__TEXT,__text) non-external _WrapRingBuffer
00007ff80b7af034 (__TEXT,__text) non-external _WriteRingBuffer
00007ff80b7be44c (__TEXT,__text) non-external _ZopfliCostModelSetFromLiteralCosts
                 (undefined) external __DefaultRuneLocale (from libSystem)
                 (undefined) external __NSConcreteStackBlock (from libSystem)
00007ff8423125f8 (__DATA,__const) non-external ___block_descriptor_tmp
                 (undefined) external ___bzero (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
00007ff80b7b5a1b (__TEXT,__text) non-external ___yzip_jobs_process_block_invoke
00007ff80b84b400 (__TEXT,__const) non-external (was a private external) __dist_code
00007ff80b843890 (__TEXT,__const) non-external (was a private external) __kBrotliContextLookupTable
00007ff80b7ef590 (__TEXT,__const) non-external (was a private external) __kBrotliPrefixCodeRanges
00007ff80b84b600 (__TEXT,__const) non-external (was a private external) __length_code
00007ff80b7e80e8 (__TEXT,__text) non-external (was a private external) __tr_align
00007ff80b791983 (__TEXT,__text) non-external (was a private external) __tr_flush_block
00007ff80b78f9a0 (__TEXT,__text) non-external (was a private external) __tr_init
00007ff80b7e7fbe (__TEXT,__text) non-external (was a private external) __tr_stored_block
00007ff80b7e8318 (__TEXT,__text) non-external (was a private external) __tr_tally
00007ff80b78f854 (__TEXT,__text) non-external (was a private external) _adler32
00007ff80b7b48d4 (__TEXT,__text) non-external (was a private external) _adler32_combine
00007ff80b7b49bf (__TEXT,__text) non-external (was a private external) _adler32_combine64
00007ff80b7b48de (__TEXT,__text) non-external _adler32_combine_
00007ff80b799230 (__TEXT,__text) non-external (was a private external) _adler32_vec
00007ff80b78f85e (__TEXT,__text) non-external (was a private external) _adler32_z
00007ff80b84bdf0 (__TEXT,__const) non-external _base_dist
00007ff80b84bd70 (__TEXT,__const) non-external _base_length
00007ff80b7e8296 (__TEXT,__text) non-external _bi_flush
00007ff80b7933c8 (__TEXT,__text) non-external _bi_windup
00007ff80b84bd50 (__TEXT,__const) non-external _bl_order
00007ff80b843600 (__TEXT,__const) non-external _breverse.brev8
00007ff80b7e65c5 (__TEXT,__text) non-external (was a private external) _brotli_decode_buffer
00007ff80b7e65fa (__TEXT,__text) non-external (was a private external) _brotli_encode_buffer
00007ff80b7e6636 (__TEXT,__text) non-external (was a private external) _brotli_stream_decode
00007ff80b7e6675 (__TEXT,__text) non-external (was a private external) _brotli_stream_encode
00007ff80b7e67d5 (__TEXT,__text) non-external (was a private external) _brotli_stream_end
00007ff80b7e66f8 (__TEXT,__text) non-external (was a private external) _brotli_stream_init
00007ff80b7e66d9 (__TEXT,__text) non-external (was a private external) _brotli_stream_process
00007ff80b7923a5 (__TEXT,__text) non-external _build_tree
                 (undefined) external _calloc (from libSystem)
                 (undefined) external _close (from libSystem)
00007ff80b792fbd (__TEXT,__text) non-external _compress_block
00007ff80b79521c (__TEXT,__text) external _compression_decode_buffer
00007ff80b79513e (__TEXT,__text) external _compression_decode_scratch_buffer_size
00007ff80b7dbc36 (__TEXT,__text) external _compression_encode_buffer
00007ff80b7dbb2f (__TEXT,__text) external _compression_encode_scratch_buffer_size
00007ff80b793582 (__TEXT,__text) external _compression_stream_destroy
00007ff80b7b7115 (__TEXT,__text) external _compression_stream_get_decode_state_size
00007ff80b7b70bf (__TEXT,__text) external _compression_stream_get_encode_state_size
00007ff80b7b7077 (__TEXT,__text) external _compression_stream_get_state_size
00007ff80b7b6ff5 (__TEXT,__text) external _compression_stream_identify_algorithm
00007ff80b78f280 (__TEXT,__text) external _compression_stream_init
00007ff80b7b6faf (__TEXT,__text) external _compression_stream_init_with_state_buffer
00007ff80b7b716b (__TEXT,__text) external _compression_stream_is_state_valid
00007ff80b78ff42 (__TEXT,__text) external _compression_stream_process
00007ff80b79588f (__TEXT,__text) external _compression_stream_reinit
00007ff842312e70 (__DATA,__const) non-external _configuration_table
00007ff80b7c9e5a (__TEXT,__text) external _cosmix_codec_decode
00007ff80b7c9494 (__TEXT,__text) external _cosmix_codec_encode
00007ff80b7c9d73 (__TEXT,__text) external _cosmix_codec_get_decoded_size
00007ff80b7ca962 (__TEXT,__text) external _cosmix_codec_get_id
00007ff80b7ca7d7 (__TEXT,__text) external _cosmix_codec_map
00007ff80b7ca91a (__TEXT,__text) external _cosmix_codec_unmap
00007ff80b7ca3ff (__TEXT,__text) external _cosmix_model_create
00007ff80b7ca539 (__TEXT,__text) external _cosmix_model_destroy
00007ff80b7ca562 (__TEXT,__text) external _cosmix_model_save_codec
00007ff80b7c8d9c (__TEXT,__text) external _cosmix_model_update
00007ff80b7e6084 (__TEXT,__text) non-external (was a private external) _crc32
00007ff80b7e633f (__TEXT,__text) non-external (was a private external) _crc32_combine
00007ff80b7e6568 (__TEXT,__text) non-external (was a private external) _crc32_combine64
00007ff80b7e6349 (__TEXT,__text) non-external _crc32_combine_
00007ff80b844310 (__TEXT,__const) non-external _crc_table
00007ff80b7ada52 (__TEXT,__text) non-external (was a private external) _create_thread
00007ff80b7eea9a (__TEXT,__text) non-external (was a private external) _debug_verify_offsets
00007ff80b79013b (__TEXT,__text) non-external (was a private external) _deflate
00007ff80b7ee221 (__TEXT,__text) non-external (was a private external) _deflateBound
00007ff80b7ee329 (__TEXT,__text) non-external (was a private external) _deflateCopy
00007ff80b793497 (__TEXT,__text) non-external (was a private external) _deflateEnd
00007ff80b78f448 (__TEXT,__text) non-external (was a private external) _deflateInit2_
00007ff80b7edf47 (__TEXT,__text) non-external (was a private external) _deflateInit_
00007ff80b7ee0fa (__TEXT,__text) non-external (was a private external) _deflateParams
00007ff80b7ee0c5 (__TEXT,__text) non-external (was a private external) _deflatePrime
00007ff80b78f704 (__TEXT,__text) non-external (was a private external) _deflateReset
00007ff80b7edf71 (__TEXT,__text) non-external (was a private external) _deflateSetDictionary
00007ff80b7ee0a0 (__TEXT,__text) non-external (was a private external) _deflateSetHeader
00007ff80b7ee1ed (__TEXT,__text) non-external (was a private external) _deflateTune
00007ff80b84cca0 (__TEXT,__const) non-external (was a private external) _deflate_copyright
00007ff80b7ee6d7 (__TEXT,__text) non-external _deflate_fast
00007ff80b79106a (__TEXT,__text) non-external _deflate_slow
00007ff80b7ee519 (__TEXT,__text) non-external _deflate_stored
                 (undefined) external _dispatch_apply (from libSystem)
00007ff80b7c3a12 (__TEXT,__text) non-external _emitMatch
00007ff80b84bd00 (__TEXT,__const) non-external _extra_blbits
00007ff80b84bc80 (__TEXT,__const) non-external _extra_dbits
00007ff80b84bc00 (__TEXT,__const) non-external _extra_lbits
                 (undefined) external _fclose (from libSystem)
00007ff80b79155b (__TEXT,__text) non-external _fill_window
00007ff80b793438 (__TEXT,__text) non-external _flush_pending
                 (undefined) external _fopen (from libSystem)
                 (undefined) external _free (from libSystem)
                 (undefined) external _fwrite (from libSystem)
00007ff80b84c950 (__TEXT,__const) non-external _getDSymbolFromValue.sym
00007ff80b84bed0 (__TEXT,__const) non-external _getLSymbolFromValue.sym
00007ff80b84c010 (__TEXT,__const) non-external _getMSymbolFromValue.sym
00007ff80b7e6077 (__TEXT,__text) non-external (was a private external) _get_crc_table
00007ff80b7bd145 (__TEXT,__text) non-external (was a private external) _get_default_nthreads
00007ff80b7b49c9 (__TEXT,__text) non-external (was a private external) _get_max_payload_size
00007ff80b7b49e1 (__TEXT,__text) non-external (was a private external) _get_plane_max_rice_size
00007ff80b7b49f5 (__TEXT,__text) non-external (was a private external) _get_pool_size
00007ff80b7bd111 (__TEXT,__text) non-external (was a private external) _get_real_time
                 (undefined) external _gettimeofday (from libSystem)
00007ff80b7b9940 (__TEXT,__text) non-external _header_fetch_from_payload
00007ff80b7e7f36 (__TEXT,__text) non-external _init_quantization_lut
00007ff80b7adaec (__TEXT,__text) non-external (was a private external) _join_thread
00007ff80b80d860 (__TEXT,__const) non-external (was a private external) _kBrotliBitMask
00007ff80b7eef90 (__TEXT,__const) non-external (was a private external) _kBrotliCopyBase
00007ff80b7eeff0 (__TEXT,__const) non-external (was a private external) _kBrotliCopyExtra
00007ff842312430 (__DATA,__const) non-external _kBrotliDictionary
00007ff80b7ef860 (__TEXT,__const) non-external _kBrotliDictionaryData
00007ff80b7eeed0 (__TEXT,__const) non-external (was a private external) _kBrotliInsBase
00007ff80b7eef30 (__TEXT,__const) non-external (was a private external) _kBrotliInsExtra
00007ff80b84ccf0 (__TEXT,__const) non-external (was a private external) _kBrotliLog2Table
00007ff80b80f340 (__TEXT,__const) non-external (was a private external) _kBrotliShellGaps
00007ff842312e20 (__DATA,__const) non-external _kBrotliTransforms
00007ff80b7ef640 (__TEXT,__const) non-external _kCmdHistoSeed
00007ff80b80d980 (__TEXT,__const) non-external _kCmdLut
00007ff80b840ad0 (__TEXT,__const) non-external _kCodeLengthBits
00007ff80b80d940 (__TEXT,__const) non-external _kCodeLengthCodeOrder
00007ff80b840ab0 (__TEXT,__const) non-external _kCodeLengthDepth
00007ff80b80d960 (__TEXT,__const) non-external _kCodeLengthPrefixLength
00007ff80b80d970 (__TEXT,__const) non-external _kCodeLengthPrefixValue
00007ff80b80f1f0 (__TEXT,__const) non-external (was a private external) _kDSymbolVBase
00007ff80b80f1b0 (__TEXT,__const) non-external (was a private external) _kDSymbolVBits
00007ff80b80f690 (__TEXT,__const) non-external _kDistanceCacheIndex
00007ff80b80f6d0 (__TEXT,__const) non-external _kDistanceCacheOffset
00007ff80b80f0f0 (__TEXT,__const) non-external (was a private external) _kLSymbolVBase
00007ff80b80f0d0 (__TEXT,__const) non-external (was a private external) _kLSymbolVBits
00007ff80b80f160 (__TEXT,__const) non-external (was a private external) _kMSymbolVBase
00007ff80b80f140 (__TEXT,__const) non-external (was a private external) _kMSymbolVBits
00007ff80b841620 (__TEXT,__const) non-external _kNonZeroRepsBits
00007ff80b840b20 (__TEXT,__const) non-external _kNonZeroRepsDepth
00007ff80b83e6e0 (__TEXT,__const) non-external _kPrefixSuffix
00007ff80b83e7c0 (__TEXT,__const) non-external _kPrefixSuffixMap
00007ff80b7eedd0 (__TEXT,__const) non-external _kReverseBits
00007ff80b842ee0 (__TEXT,__const) non-external _kStaticCommandCodeBits
00007ff80b842c20 (__TEXT,__const) non-external _kStaticCommandCodeDepth
00007ff80b80f770 (__TEXT,__const) non-external _kStaticDictionaryBuckets
00007ff80b85d500 (__TEXT,__const) non-external (was a private external) _kStaticDictionaryHashLengths
00007ff80b84d500 (__TEXT,__const) non-external (was a private external) _kStaticDictionaryHashWords
00007ff80b81f770 (__TEXT,__const) non-external _kStaticDictionaryWords
