00000002225be4d8 (__TEXT,__text) non-external +[CBOR cborFalse]
00000002225c2654 (__TEXT,__text) non-external -[COSEKey ecCurveD]
00000002225c2594 (__TEXT,__text) non-external -[COSEKey ecCurveIdentifier]
00000002225c25d4 (__TEXT,__text) non-external -[COSEKey ecCurveX]
00000002225c2614 (__TEXT,__text) non-external -[COSEKey ecCurveY]
00000002225bfccc (__TEXT,__text) non-external -[COSEKey getSource]
00000002225c2764 (__TEXT,__text) non-external -[COSEKey identifier]
00000002225c2114 (__TEXT,__text) non-external -[COSEKey initEC2WithAlgorithm:curveIdentifier:x:signBit:d:keyOperations:keyIdentifier:]
00000002225c22b4 (__TEXT,__text) non-external -[COSEKey initEC2WithAlgorithm:curveIdentifier:x:y:d:keyOperations:keyIdentifier:]
00000002225c2438 (__TEXT,__text) non-external -[COSEKey initOKPWithAlgorithm:curveIdentifier:x:d:keyOperations:keyIdentifier:]
00000002225c0fa4 (__TEXT,__text) non-external -[COSEKey initWithCBOR:]
00000002225c0f50 (__TEXT,__text) non-external -[COSEKey initWithData:]
00000002225c2714 (__TEXT,__text) non-external -[COSEKey okpCurveD]
00000002225c2694 (__TEXT,__text) non-external -[COSEKey okpCurveIdentifier]
00000002225c26d4 (__TEXT,__text) non-external -[COSEKey okpCurveX]
00000002225c276c (__TEXT,__text) non-external -[COSEKey operations]
00000002225c277c (__TEXT,__text) non-external -[COSEKey symmetricKey]
00000002225c2754 (__TEXT,__text) non-external -[COSEKey type]
00000002225c0ed0 (__TEXT,__text) non-external -[COSE_Mac0 .cxx_destruct]
00000002225c0e1c (__TEXT,__text) non-external -[COSE_Mac0 description]
00000002225c0c3c (__TEXT,__text) non-external -[COSE_Mac0 generateMessageForMACWithApplicationProtectedAttributes:]
00000002225c08f8 (__TEXT,__text) non-external -[COSE_Mac0 initWithCBOR:]
00000002225c0b10 (__TEXT,__text) non-external -[COSE_Mac0 initWithProtectedHeaders:unprotectedHeaders:payload:tag:]
00000002225c0ec0 (__TEXT,__text) non-external -[COSE_Mac0 mac]
00000002225c0814 (__TEXT,__text) non-external -[COSE_Sign1 description]
00000002225bfe3c (__TEXT,__text) non-external -[COSE_Sign1 initWithCBOR:]
00000002225bfd04 (__TEXT,__text) non-external -[COSE_Sign1 initWithProtectedHeaders:unprotectedHeaders:payload:signature:includeCBORTag:]
00000002225c0760 (__TEXT,__text) non-external -[COSE_Sign1 signature]
00000002225c0024 (__TEXT,__text) non-external -[COSE_Sign1 x509bag]
00000002225c021c (__TEXT,__text) non-external -[COSE_Sign1 x509chain]
00000002225c04d4 (__TEXT,__text) non-external -[COSE_Sign1 x509hashAlgorithmIdentifier]
00000002225c0638 (__TEXT,__text) non-external -[COSE_Sign1 x509hashValue]
00000002225c0430 (__TEXT,__text) non-external -[COSE_Sign1 x509uri]
00000002225c723c (__TEXT,__gcc_except_tab) non-external GCC_except_table9
00000002225c50c0 (__TEXT,__const) external _CBORLibraryVersionNumber
00000002225c5090 (__TEXT,__const) external _CBORLibraryVersionString
00000002225c50e8 (__TEXT,__const) non-external _COMPRESSED_EC2_Y_ONE
00000002225c50e9 (__TEXT,__const) non-external _COMPRESSED_EC2_Y_ZERO
000000026d35f040 (__DATA,__data) external _COSEHeaderX509Bag
000000026d35f048 (__DATA,__data) external _COSEHeaderX509Chain
000000026d35f058 (__DATA,__data) external _COSEHeaderX509Hash
000000026d35f060 (__DATA,__data) external _COSEHeaderX509HashSender
000000026d35f068 (__DATA,__data) external _COSEHeaderX509Uri
000000026d35f070 (__DATA,__data) external _COSEHeaderX509UriSender
000000026d35f050 (__DATA,__data) external _COSEHeaderx509ChainSender
000000026fe05658 (__AUTH,__objc_data) external _OBJC_CLASS_$_CBOR
000000026fe056a8 (__AUTH,__objc_data) external _OBJC_CLASS_$_COSE
000000026fe05798 (__AUTH,__objc_data) external _OBJC_CLASS_$_COSEKey
000000026fe05748 (__AUTH,__objc_data) external _OBJC_CLASS_$_COSE_Mac0
000000026fe056f8 (__AUTH,__objc_data) external _OBJC_CLASS_$_COSE_Sign1
                 (undefined) external _OBJC_CLASS_$_NSArray (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSConstantIntegerNumber (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSData (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSDate (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSDateFormatter (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSDictionary (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSLocale (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableArray (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableData (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableDictionary (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableString (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSNull (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSNumber (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSObject (from libobjc)
                 (undefined) external _OBJC_CLASS_$_NSString (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSTimeZone (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$__TtCs12_SwiftObject (from libswiftCore)
000000026d35eb30 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CBOR._cachedHash
000000026d35eb34 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CBOR._orderedKeys
000000026d35eb24 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CBOR._tag
000000026d35eb20 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CBOR._type
000000026d35eb28 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CBOR._value
000000026d35eb2c (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CBOR._valueSize
000000026d35eb44 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSE._algorithmIdentifier
000000026d35eb38 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSE._cborObj
000000026d35eb4c (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSE._contentType
000000026d35eb48 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSE._criticalHeaderParameters
000000026d35eb54 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSE._initializationVector
000000026d35eb50 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSE._keyIdentifier
000000026d35eb58 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSE._partialInitializationVector
000000026d35eb40 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSE._protectedHeadererDictionary
000000026d35eb3c (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSE._type
000000026d35eb78 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSEKey._algorithm
000000026d35eb84 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSEKey._baseInitializationVector
000000026d35eb60 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSEKey._cborObj
000000026d35eb64 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSEKey._curveID
000000026d35eb7c (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSEKey._identifier
000000026d35eb80 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSEKey._operations
000000026d35eb70 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSEKey._paramD
000000026d35eb68 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSEKey._paramX
000000026d35eb6c (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSEKey._paramY
000000026d35eb88 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSEKey._symmetricKey
000000026d35eb74 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSEKey._type
000000026d35eb5c (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSE_Mac0._mac
000000026fe05680 (__AUTH,__objc_data) external _OBJC_METACLASS_$_CBOR
000000026fe056d0 (__AUTH,__objc_data) external _OBJC_METACLASS_$_COSE
000000026fe057c0 (__AUTH,__objc_data) external _OBJC_METACLASS_$_COSEKey
000000026fe05770 (__AUTH,__objc_data) external _OBJC_METACLASS_$_COSE_Mac0
000000026fe05720 (__AUTH,__objc_data) external _OBJC_METACLASS_$_COSE_Sign1
                 (undefined) external _OBJC_METACLASS_$_NSObject (from libobjc)
000000026fe059c8 (__AUTH,__data) non-external (was a private external) _OBJC_METACLASS_$__TtC11CBORLibraryP33_7693559CB90E2482CACD4C8EAD5C623015_CBORDictionary
                 (undefined) external _OBJC_METACLASS_$__TtCs12_SwiftObject (from libswiftCore)
                 (undefined) external __Block_object_assign (from libSystem)
                 (undefined) external __Block_object_dispose (from libSystem)
0000000271388b68 (__AUTH_CONST,__objc_const) non-external __DATA__TtC11CBORLibrary11CBORDecoder
0000000271388e08 (__AUTH_CONST,__objc_const) non-external __DATA__TtC11CBORLibrary11CBOREncoder
0000000271388f20 (__AUTH_CONST,__objc_const) non-external __DATA__TtC11CBORLibraryP33_7693559CB90E2482CACD4C8EAD5C623012_CBOREncoder
000000026fe05530 (__AUTH,__objc_data) non-external __DATA__TtC11CBORLibraryP33_7693559CB90E2482CACD4C8EAD5C623015_CBORDictionary
0000000271388ff8 (__AUTH_CONST,__objc_const) non-external __DATA__TtC11CBORLibraryP33_7693559CB90E2482CACD4C8EAD5C623021_CBORReferenceEncoder
0000000271388c60 (__AUTH_CONST,__objc_const) non-external __DATA__TtC11CBORLibraryP33_9AD5FE8BA51478D9E31399B9411E4CF612_CBORDecoder
00000002225c37d0 (__TEXT,__objc_methlist) non-external __INSTANCE_METHODS__TtC11CBORLibraryP33_7693559CB90E2482CACD4C8EAD5C623015_CBORDictionary
0000000271388b40 (__AUTH_CONST,__objc_const) non-external __IVARS__TtC11CBORLibrary11CBORDecoder
0000000271388da0 (__AUTH_CONST,__objc_const) non-external __IVARS__TtC11CBORLibrary11CBOREncoder
0000000271388e98 (__AUTH_CONST,__objc_const) non-external __IVARS__TtC11CBORLibraryP33_7693559CB90E2482CACD4C8EAD5C623012_CBOREncoder
0000000271388cf0 (__AUTH_CONST,__objc_const) non-external __IVARS__TtC11CBORLibraryP33_7693559CB90E2482CACD4C8EAD5C623015_CBORDictionary
0000000271388fb0 (__AUTH_CONST,__objc_const) non-external __IVARS__TtC11CBORLibraryP33_7693559CB90E2482CACD4C8EAD5C623021_CBORReferenceEncoder
0000000271388bf8 (__AUTH_CONST,__objc_const) non-external __IVARS__TtC11CBORLibraryP33_9AD5FE8BA51478D9E31399B9411E4CF612_CBORDecoder
0000000271388af8 (__AUTH_CONST,__objc_const) non-external __METACLASS_DATA__TtC11CBORLibrary11CBORDecoder
0000000271388d58 (__AUTH_CONST,__objc_const) non-external __METACLASS_DATA__TtC11CBORLibrary11CBOREncoder
0000000271388e50 (__AUTH_CONST,__objc_const) non-external __METACLASS_DATA__TtC11CBORLibraryP33_7693559CB90E2482CACD4C8EAD5C623012_CBOREncoder
0000000271388ca8 (__AUTH_CONST,__objc_const) non-external __METACLASS_DATA__TtC11CBORLibraryP33_7693559CB90E2482CACD4C8EAD5C623015_CBORDictionary
0000000271388f68 (__AUTH_CONST,__objc_const) non-external __METACLASS_DATA__TtC11CBORLibraryP33_7693559CB90E2482CACD4C8EAD5C623021_CBORReferenceEncoder
0000000271388bb0 (__AUTH_CONST,__objc_const) non-external __METACLASS_DATA__TtC11CBORLibraryP33_9AD5FE8BA51478D9E31399B9411E4CF612_CBORDecoder
                 (undefined) external __NSConcreteStackBlock (from libSystem)
0000000271389040 (__AUTH_CONST,__objc_const) non-external __OBJC_$_CATEGORY_NSData_$_CBOR
00000002225c37f0 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_CBOR(Decoder|Decoder_Private|COSE|COSEKey)
00000002225c3958 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_NSData(CBOR|COSE|COSEKey)
00000002225c3990 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_CBOR(Decoder|Decoder_Private|COSE|COSEKey)
00000002225c3b40 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_COSE
00000002225c3c08 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_COSEKey
00000002225c3cf8 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_COSE_Mac0
00000002225c3d48 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_COSE_Sign1
00000002713893e0 (__AUTH_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_CBOR
0000000271389690 (__AUTH_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_COSE
0000000271389ad8 (__AUTH_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_COSEKey
0000000271389a08 (__AUTH_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_COSE_Mac0
00000002713894a8 (__AUTH_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_CBOR
00000002713897b8 (__AUTH_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_COSE
0000000271389c40 (__AUTH_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_COSEKey
0000000271389a30 (__AUTH_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_COSE_Mac0
0000000271389910 (__AUTH_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_COSE_Sign1
0000000271389270 (__AUTH_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_NSObject
0000000271389358 (__AUTH_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_INSTANCE_METHODS_NSCopying
0000000271389080 (__AUTH_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_INSTANCE_METHODS_NSObject
0000000271389250 (__AUTH_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_INSTANCE_METHODS_OPT_NSObject
0000000271389378 (__AUTH_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_METHOD_TYPES_NSCopying
00000002713892b8 (__AUTH_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_METHOD_TYPES_NSObject
0000000271389380 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_PROTOCOLS_$_CBOR
0000000271389600 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_CBOR
0000000271389880 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_COSE
0000000271389d18 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_COSEKey
0000000271389a48 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_COSE_Mac0
0000000271389978 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_COSE_Sign1
00000002697a8980 (__DATA_CONST,__objc_protolist) non-external (was a private external) __OBJC_LABEL_PROTOCOL_$_NSCopying
00000002697a8978 (__DATA_CONST,__objc_protolist) non-external (was a private external) __OBJC_LABEL_PROTOCOL_$_NSObject
0000000271389398 (__AUTH_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_CBOR
0000000271389648 (__AUTH_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_COSE
0000000271389a90 (__AUTH_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_COSEKey
00000002713899c0 (__AUTH_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_COSE_Mac0
00000002713898c8 (__AUTH_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_COSE_Sign1
000000026d35efe0 (__DATA,__data) non-external (was a private external) __OBJC_PROTOCOL_$_NSCopying
000000026d35ef80 (__DATA,__data) non-external (was a private external) __OBJC_PROTOCOL_$_NSObject
00000002697a8f20 (__DATA_CONST,__objc_protorefs) non-external (was a private external) __OBJC_PROTOCOL_REFERENCE_$_NSObject
                 (undefined) external __Unwind_Resume (from libSystem)
00000002225bf8a4 (__TEXT,__text) non-external ___30-[COSE _searchForHeaderLabel:]_block_invoke
00000002225bfa68 (__TEXT,__text) non-external ___30-[COSE _searchForHeaderLabel:]_block_invoke.62
00000002225b90dc (__TEXT,__text) non-external ___51+[CBOR(Encoder) encodeMajorType5:encodingKeyOrder:]_block_invoke
00000002225bf88c (__TEXT,__text) non-external ___Block_byref_object_copy_
00000002225bf89c (__TEXT,__text) non-external ___Block_byref_object_dispose_
                 (undefined) external ___CFConstantStringClassReference (from CoreFoundation)
                 (undefined) external ___NSDictionary0__struct (from CoreFoundation)
                 (undefined) external ___assert_rtn (from libSystem)
00000002697a88f8 (__DATA_CONST,__const) non-external ___block_descriptor_40_e23_q24?0"CBOR"8"CBOR"16l
0000000271388288 (__AUTH_CONST,__const) non-external ___block_descriptor_56_e8_32s40r48r_e27_v32?0"CBOR"8"CBOR"16^B24l
                 (undefined) external ___chkstk_darwin (from libSystem)
00000002225bf9c4 (__TEXT,__text) non-external ___copy_helper_block_e8_32s40r48r
00000002225bfa1c (__TEXT,__text) non-external ___destroy_helper_block_e8_32s40r48r
                 (undefined) external ___objc_personality_v0 (from libobjc)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___strlcpy_chk (from libSystem)
00000002225a3264 (__TEXT,__text) non-external ___swift_allocate_boxed_opaque_existential_1Tm
00000002225a3264 (__TEXT,__text) non-external ___swift_allocate_boxed_opaque_existential_1Tm
00000002225a33a0 (__TEXT,__text) non-external (was a private external) ___swift_allocate_value_buffer
00000002225a31cc (__TEXT,__text) non-external (was a private external) ___swift_deallocate_boxed_opaque_existential_1
00000002225a3350 (__TEXT,__text) non-external (was a private external) ___swift_destroy_boxed_opaque_existential_1
00000002225a3350 (__TEXT,__text) non-external ___swift_destroy_boxed_opaque_existential_1Tm
00000002225a3350 (__TEXT,__text) non-external ___swift_destroy_boxed_opaque_existential_1Tm
00000002225976fc (__TEXT,__text) non-external (was a private external) ___swift_instantiateConcreteTypeFromMangledName
00000002225a45c4 (__TEXT,__text) non-external (was a private external) ___swift_instantiateConcreteTypeFromMangledNameAbstract
00000002225a460c (__TEXT,__text) non-external (was a private external) ___swift_instantiateGenericMetadata
00000002225b8bb0 (__TEXT,__text) non-external (was a private external) ___swift_memcpy16_8
00000002225b5888 (__TEXT,__text) non-external (was a private external) ___swift_memcpy17_8
00000002225ac224 (__TEXT,__text) non-external (was a private external) ___swift_memcpy1_1
00000002225a35dc (__TEXT,__text) non-external (was a private external) ___swift_memcpy24_8
00000002225aca4c (__TEXT,__text) non-external (was a private external) ___swift_memcpy25_8
00000002225b5994 (__TEXT,__text) non-external (was a private external) ___swift_memcpy2_1
00000002225a3810 (__TEXT,__text) non-external (was a private external) ___swift_memcpy32_8
00000002225a44d8 (__TEXT,__text) non-external (was a private external) ___swift_mutable_project_boxed_opaque_existential_1
00000002225ac230 (__TEXT,__text) non-external (was a private external) ___swift_noop_void_return
00000002225a3220 (__TEXT,__text) non-external (was a private external) ___swift_project_boxed_opaque_existential_1
0000000222597ae0 (__TEXT,__text) non-external (was a private external) ___swift_project_value_buffer
00000002225c4f10 (__TEXT,__const) non-external (was a private external) ___swift_reflection_version
00000002225c5058 (__TEXT,__const) non-external ___unnamed_2
00000002225c4bb8 (__TEXT,__const) non-external ___unnamed_22
00000002225c3fd8 (__TEXT,__const) non-external ___unnamed_5
00000002225bd3cc (__TEXT,__text) non-external __getRFC3339DateFormatter
                 (undefined) external __objc_empty_cache (from libobjc)
                 (undefined) external __os_log_default (from libSystem)
                 (undefined) external __os_log_fault_impl (from libSystem)
                 (undefined) external __swiftEmptyArrayStorage (from libswiftCore)
                 (undefined) external __swiftEmptyDictionarySingleton (from libswiftCore)
                 (undefined) weak external __swift_FORCE_LOAD_$_swiftCoreFoundation (from libswiftCoreFoundation)
00000002697a88b0 (__DATA_CONST,__const) non-external (was a private external) __swift_FORCE_LOAD_$_swiftCoreFoundation_$_CBORLibrary
                 (undefined) weak external __swift_FORCE_LOAD_$_swiftDarwin (from libswiftDarwin)
