000000018d288990 (__TEXT,__const) non-external _SHA256_K
000000018d27caac (__TEXT,__text) non-external _hash_append
000000018d27e988 (__TEXT,__text) non-external _hc_find_func
000000018d2842d4 (__TEXT,__text) non-external _ia64_code
000000018d28abc8 (__TEXT,__const) non-external _ia64_code.BRANCH_TABLE
000000018d279948 (__TEXT,__text) non-external _index_cat_helper
000000018d27c5bc (__TEXT,__text) non-external _index_decode
000000018d27c8a8 (__TEXT,__text) non-external _index_decoder_end
000000018d27c368 (__TEXT,__text) non-external _index_decoder_init
000000018d27c8ec (__TEXT,__text) non-external _index_decoder_memconfig
000000018d2787cc (__TEXT,__text) non-external _index_encode
000000018d2790ac (__TEXT,__text) non-external _index_encoder_end
000000018d279130 (__TEXT,__text) non-external _index_stream_end
000000018d272c94 (__TEXT,__text) non-external _index_tree_append
000000018d2790b0 (__TEXT,__text) non-external _index_tree_node_end
000000018d273cdc (__TEXT,__text) non-external _is_options_valid
000000018d278bec (__TEXT,__text) non-external _iter_set_info
000000018d2782a0 (__TEXT,__text) non-external _length
000000018d273d34 (__TEXT,__text) non-external _length_encoder_reset
000000018d273e18 (__TEXT,__text) non-external _length_update_prices
000000018d27f3b0 (__TEXT,__text) non-external _lz_decode
000000018d27f56c (__TEXT,__text) non-external _lz_decoder_end
000000018d274f74 (__TEXT,__text) non-external _lz_encode
000000018d278fe8 (__TEXT,__text) non-external _lz_encoder_end
000000018d273fd4 (__TEXT,__text) non-external _lz_encoder_prepare
000000018d27e770 (__TEXT,__text) non-external _lz_encoder_update
000000018d283260 (__TEXT,__text) non-external _lzma2_decode
000000018d28356c (__TEXT,__text) non-external _lzma2_decoder_end
000000018d2830d8 (__TEXT,__text) non-external _lzma2_decoder_init
000000018d275178 (__TEXT,__text) non-external _lzma2_encode
000000018d279068 (__TEXT,__text) non-external _lzma2_encoder_end
000000018d2738a0 (__TEXT,__text) non-external _lzma2_encoder_init
000000018d283028 (__TEXT,__text) non-external _lzma2_encoder_options_update
000000018d284828 (__TEXT,__const) non-external (was a private external) _lzma_5VersionNumber
000000018d284800 (__TEXT,__const) non-external (was a private external) _lzma_5VersionString
000000018d272b54 (__TEXT,__text) non-external (was a private external) _lzma_alloc
000000018d27b338 (__TEXT,__text) external _lzma_alone_decoder
000000018d27af04 (__TEXT,__text) non-external (was a private external) _lzma_alone_decoder_init
000000018d279db0 (__TEXT,__text) external _lzma_alone_encoder
000000018d27b3a8 (__TEXT,__text) external _lzma_auto_decoder
000000018d27a104 (__TEXT,__text) external _lzma_block_buffer_bound
000000018d27b73c (__TEXT,__text) external _lzma_block_buffer_decode
000000018d27a150 (__TEXT,__text) external _lzma_block_buffer_encode
000000018d279380 (__TEXT,__text) external _lzma_block_compressed_size
000000018d27bc54 (__TEXT,__text) external _lzma_block_decoder
000000018d27b884 (__TEXT,__text) non-external (was a private external) _lzma_block_decoder_init
000000018d27a6b4 (__TEXT,__text) external _lzma_block_encoder
000000018d273224 (__TEXT,__text) non-external (was a private external) _lzma_block_encoder_init
000000018d27bcc0 (__TEXT,__text) external _lzma_block_header_decode
000000018d274914 (__TEXT,__text) external _lzma_block_header_encode
000000018d27302c (__TEXT,__text) external _lzma_block_header_size
000000018d2793f4 (__TEXT,__text) external _lzma_block_total_size
000000018d274a78 (__TEXT,__text) external _lzma_block_unpadded_size
000000018d2748a0 (__TEXT,__text) non-external (was a private external) _lzma_bufcpy
000000018d27da38 (__TEXT,__text) non-external (was a private external) _lzma_check_finish
000000018d273398 (__TEXT,__text) non-external (was a private external) _lzma_check_init
000000018d273378 (__TEXT,__text) external _lzma_check_is_supported
000000018d284950 (__TEXT,__const) non-external _lzma_check_is_supported.available_checks
000000018d2784a0 (__TEXT,__text) external _lzma_check_size
000000018d284960 (__TEXT,__const) non-external _lzma_check_size.check_sizes
000000018d275b20 (__TEXT,__text) non-external (was a private external) _lzma_check_update
000000018d2743ec (__TEXT,__text) external _lzma_code
000000018d272db4 (__TEXT,__text) external _lzma_crc32
000000018d284970 (__TEXT,__const) non-external (was a private external) _lzma_crc32_table
000000018d27da6c (__TEXT,__text) external _lzma_crc64
000000018d286970 (__TEXT,__const) non-external (was a private external) _lzma_crc64_table
000000018d27fc80 (__TEXT,__text) non-external _lzma_decode
000000018d28aae8 (__TEXT,__const) non-external _lzma_decode.next_state
000000018d282db8 (__TEXT,__text) non-external _lzma_decoder_init
000000018d282b34 (__TEXT,__text) non-external _lzma_decoder_reset
000000018d282d9c (__TEXT,__text) non-external _lzma_decoder_uncompressed
000000018d2835b0 (__TEXT,__text) non-external (was a private external) _lzma_delta_coder_init
000000018d2836e8 (__TEXT,__text) non-external (was a private external) _lzma_delta_coder_memusage
000000018d2838b8 (__TEXT,__text) non-external (was a private external) _lzma_delta_decoder_init
000000018d283714 (__TEXT,__text) non-external (was a private external) _lzma_delta_encoder_init
000000018d283968 (__TEXT,__text) non-external (was a private external) _lzma_delta_props_decode
000000018d283870 (__TEXT,__text) non-external (was a private external) _lzma_delta_props_encode
000000018d27a720 (__TEXT,__text) external _lzma_easy_buffer_encode
000000018d27bef8 (__TEXT,__text) external _lzma_easy_decoder_memusage
000000018d272648 (__TEXT,__text) external _lzma_easy_encoder
000000018d27a7d0 (__TEXT,__text) external _lzma_easy_encoder_memusage
000000018d2726b4 (__TEXT,__text) non-external (was a private external) _lzma_easy_preset
000000018d27f840 (__TEXT,__text) non-external _lzma_encode
000000018d27f738 (__TEXT,__text) non-external _lzma_encoder_init
000000018d278ec0 (__TEXT,__text) external _lzma_end
000000018d288ae8 (__TEXT,__const) non-external (was a private external) _lzma_fastpos
000000018d27c0dc (__TEXT,__text) external _lzma_filter_decoder_is_supported
000000018d27a930 (__TEXT,__text) external _lzma_filter_encoder_is_supported
000000018d27c234 (__TEXT,__text) external _lzma_filter_flags_decode
000000018d274b08 (__TEXT,__text) external _lzma_filter_flags_encode
000000018d273120 (__TEXT,__text) external _lzma_filter_flags_size
000000018d274270 (__TEXT,__text) external _lzma_filters_copy
000000018d27a964 (__TEXT,__text) external _lzma_filters_update
000000018d284926 (__TEXT,__const) non-external (was a private external) _lzma_footer_magic
000000018d27424c (__TEXT,__text) non-external (was a private external) _lzma_free
000000018d279244 (__TEXT,__text) external _lzma_get_check
000000018d284920 (__TEXT,__const) non-external (was a private external) _lzma_header_magic
000000018d2784c0 (__TEXT,__text) external _lzma_index_append
000000018d278a08 (__TEXT,__text) external _lzma_index_block_count
000000018d27c484 (__TEXT,__text) external _lzma_index_buffer_decode
000000018d27ab7c (__TEXT,__text) external _lzma_index_buffer_encode
000000018d279748 (__TEXT,__text) external _lzma_index_cat
000000018d279650 (__TEXT,__text) external _lzma_index_checks
000000018d27c2f4 (__TEXT,__text) external _lzma_index_decoder
000000018d2799c8 (__TEXT,__text) external _lzma_index_dup
000000018d27ab10 (__TEXT,__text) external _lzma_index_encoder
000000018d2786d8 (__TEXT,__text) non-external (was a private external) _lzma_index_encoder_init
000000018d272b7c (__TEXT,__text) external _lzma_index_end
000000018d2795c8 (__TEXT,__text) external _lzma_index_file_size
000000018d27ca0c (__TEXT,__text) external _lzma_index_hash_append
000000018d27cb68 (__TEXT,__text) external _lzma_index_hash_decode
000000018d27c9d0 (__TEXT,__text) external _lzma_index_hash_end
000000018d27c960 (__TEXT,__text) external _lzma_index_hash_init
000000018d27c9d4 (__TEXT,__text) external _lzma_index_hash_size
000000018d272be0 (__TEXT,__text) external _lzma_index_init
000000018d2787b0 (__TEXT,__text) external _lzma_index_iter_init
000000018d279c20 (__TEXT,__text) external _lzma_index_iter_locate
000000018d278a10 (__TEXT,__text) external _lzma_index_iter_next
000000018d279c08 (__TEXT,__text) external _lzma_index_iter_rewind
000000018d2794c8 (__TEXT,__text) external _lzma_index_memusage
000000018d279520 (__TEXT,__text) external _lzma_index_memused
000000018d278da4 (__TEXT,__text) non-external (was a private external) _lzma_index_padding_size
000000018d2794b0 (__TEXT,__text) non-external (was a private external) _lzma_index_prealloc
000000018d278de0 (__TEXT,__text) external _lzma_index_size
000000018d279574 (__TEXT,__text) external _lzma_index_stream_count
000000018d27967c (__TEXT,__text) external _lzma_index_stream_flags
000000018d2796dc (__TEXT,__text) external _lzma_index_stream_padding
000000018d279584 (__TEXT,__text) external _lzma_index_stream_size
000000018d27957c (__TEXT,__text) external _lzma_index_total_size
000000018d279648 (__TEXT,__text) external _lzma_index_uncompressed_size
000000018d27f218 (__TEXT,__text) non-external (was a private external) _lzma_lz_decoder_init
000000018d27f5e0 (__TEXT,__text) non-external (was a private external) _lzma_lz_decoder_memusage
000000018d27f5ec (__TEXT,__text) non-external (was a private external) _lzma_lz_decoder_uncompressed
000000018d2736cc (__TEXT,__text) non-external (was a private external) _lzma_lz_encoder_init
000000018d27e70c (__TEXT,__text) non-external (was a private external) _lzma_lz_encoder_memusage
000000018d2830c4 (__TEXT,__text) non-external (was a private external) _lzma_lzma2_decoder_init
000000018d2831b0 (__TEXT,__text) non-external (was a private external) _lzma_lzma2_decoder_memusage
000000018d2736b8 (__TEXT,__text) non-external (was a private external) _lzma_lzma2_encoder_init
000000018d282fec (__TEXT,__text) non-external (was a private external) _lzma_lzma2_encoder_memusage
000000018d2831cc (__TEXT,__text) non-external (was a private external) _lzma_lzma2_props_decode
000000018d274ccc (__TEXT,__text) non-external (was a private external) _lzma_lzma2_props_encode
000000018d27fbe8 (__TEXT,__text) non-external (was a private external) _lzma_lzma_decoder_create
000000018d282da4 (__TEXT,__text) non-external (was a private external) _lzma_lzma_decoder_init
000000018d282ec0 (__TEXT,__text) non-external (was a private external) _lzma_lzma_decoder_memusage
000000018d282e9c (__TEXT,__text) non-external (was a private external) _lzma_lzma_decoder_memusage_nocheck
000000018d2754e4 (__TEXT,__text) non-external (was a private external) _lzma_lzma_encode
000000018d2739bc (__TEXT,__text) non-external (was a private external) _lzma_lzma_encoder_create
000000018d27f724 (__TEXT,__text) non-external (was a private external) _lzma_lzma_encoder_init
000000018d27f74c (__TEXT,__text) non-external (was a private external) _lzma_lzma_encoder_memusage
000000018d273aec (__TEXT,__text) non-external (was a private external) _lzma_lzma_encoder_reset
000000018d282e38 (__TEXT,__text) non-external (was a private external) _lzma_lzma_lclppb_decode
000000018d278450 (__TEXT,__text) non-external (was a private external) _lzma_lzma_lclppb_encode
000000018d27f85c (__TEXT,__text) non-external (was a private external) _lzma_lzma_optimum_fast
000000018d275fe0 (__TEXT,__text) non-external (was a private external) _lzma_lzma_optimum_normal
000000018d2726fc (__TEXT,__text) external _lzma_lzma_preset
000000018d282f18 (__TEXT,__text) non-external (was a private external) _lzma_lzma_props_decode
000000018d27f7d4 (__TEXT,__text) non-external (was a private external) _lzma_lzma_props_encode
000000018d2792bc (__TEXT,__text) external _lzma_memlimit_get
000000018d279318 (__TEXT,__text) external _lzma_memlimit_set
000000018d279260 (__TEXT,__text) external _lzma_memusage
000000018d27edf8 (__TEXT,__text) non-external (was a private external) _lzma_mf_bt2_find
000000018d27eebc (__TEXT,__text) non-external (was a private external) _lzma_mf_bt2_skip
000000018d27ef64 (__TEXT,__text) non-external (was a private external) _lzma_mf_bt3_find
000000018d27f0f8 (__TEXT,__text) non-external (was a private external) _lzma_mf_bt3_skip
000000018d277c0c (__TEXT,__text) non-external (was a private external) _lzma_mf_bt4_find
000000018d275bb4 (__TEXT,__text) non-external (was a private external) _lzma_mf_bt4_skip
000000018d277b34 (__TEXT,__text) non-external (was a private external) _lzma_mf_find
000000018d27e804 (__TEXT,__text) non-external (was a private external) _lzma_mf_hc3_find
000000018d27ea44 (__TEXT,__text) non-external (was a private external) _lzma_mf_hc3_skip
000000018d27eb04 (__TEXT,__text) non-external (was a private external) _lzma_mf_hc4_find
000000018d27ed18 (__TEXT,__text) non-external (was a private external) _lzma_mf_hc4_skip
000000018d27e7e8 (__TEXT,__text) external _lzma_mf_is_supported
000000018d27f830 (__TEXT,__text) external _lzma_mode_is_supported
000000018d272ad8 (__TEXT,__text) non-external (was a private external) _lzma_next_end
000000018d27362c (__TEXT,__text) non-external (was a private external) _lzma_next_filter_init
000000018d2791d8 (__TEXT,__text) non-external (was a private external) _lzma_next_filter_update
000000018d2794ac (__TEXT,__text) external _lzma_physmem
000000018d27c1f4 (__TEXT,__text) external _lzma_properties_decode
000000018d274c8c (__TEXT,__text) external _lzma_properties_encode
000000018d273194 (__TEXT,__text) external _lzma_properties_size
000000018d27bf50 (__TEXT,__text) external _lzma_raw_buffer_decode
000000018d27a828 (__TEXT,__text) external _lzma_raw_buffer_encode
000000018d2733dc (__TEXT,__text) non-external (was a private external) _lzma_raw_coder_init
000000018d27941c (__TEXT,__text) non-external (was a private external) _lzma_raw_coder_memusage
000000018d27c15c (__TEXT,__text) external _lzma_raw_decoder
000000018d27c144 (__TEXT,__text) non-external (was a private external) _lzma_raw_decoder_init
000000018d27c1dc (__TEXT,__text) external _lzma_raw_decoder_memusage
000000018d27aa70 (__TEXT,__text) external _lzma_raw_encoder
000000018d2733c4 (__TEXT,__text) non-external (was a private external) _lzma_raw_encoder_init
000000018d27aa58 (__TEXT,__text) external _lzma_raw_encoder_memusage
000000018d28ab20 (__TEXT,__const) non-external (was a private external) _lzma_rc_prices
000000018d27e630 (__TEXT,__text) non-external (was a private external) _lzma_sha256_finish
000000018d27db58 (__TEXT,__text) non-external (was a private external) _lzma_sha256_init
000000018d288970 (__TEXT,__const) non-external _lzma_sha256_init.s
000000018d27db70 (__TEXT,__text) non-external (was a private external) _lzma_sha256_update
000000018d28449c (__TEXT,__text) non-external (was a private external) _lzma_simple_arm_decoder_init
000000018d284478 (__TEXT,__text) non-external (was a private external) _lzma_simple_arm_encoder_init
000000018d284574 (__TEXT,__text) non-external (was a private external) _lzma_simple_armthumb_decoder_init
000000018d284550 (__TEXT,__text) non-external (was a private external) _lzma_simple_armthumb_encoder_init
000000018d2839c8 (__TEXT,__text) non-external (was a private external) _lzma_simple_coder_init
000000018d2842b0 (__TEXT,__text) non-external (was a private external) _lzma_simple_ia64_decoder_init
000000018d28428c (__TEXT,__text) non-external (was a private external) _lzma_simple_ia64_encoder_init
000000018d2841b4 (__TEXT,__text) non-external (was a private external) _lzma_simple_powerpc_decoder_init
000000018d284190 (__TEXT,__text) non-external (was a private external) _lzma_simple_powerpc_encoder_init
000000018d283f08 (__TEXT,__text) non-external (was a private external) _lzma_simple_props_decode
000000018d283ef0 (__TEXT,__text) non-external (was a private external) _lzma_simple_props_encode
000000018d283ec8 (__TEXT,__text) non-external (was a private external) _lzma_simple_props_size
000000018d284678 (__TEXT,__text) non-external (was a private external) _lzma_simple_sparc_decoder_init
000000018d284654 (__TEXT,__text) non-external (was a private external) _lzma_simple_sparc_encoder_init
000000018d283ff0 (__TEXT,__text) non-external (was a private external) _lzma_simple_x86_decoder_init
000000018d283f8c (__TEXT,__text) non-external (was a private external) _lzma_simple_x86_encoder_init
000000018d27ac8c (__TEXT,__text) external _lzma_stream_buffer_bound
000000018d27cecc (__TEXT,__text) external _lzma_stream_buffer_decode
000000018d27acbc (__TEXT,__text) external _lzma_stream_buffer_encode
000000018d27d714 (__TEXT,__text) external _lzma_stream_decoder
000000018d27d05c (__TEXT,__text) non-external (was a private external) _lzma_stream_decoder_init
000000018d27284c (__TEXT,__text) external _lzma_stream_encoder
000000018d27295c (__TEXT,__text) non-external (was a private external) _lzma_stream_encoder_init
000000018d279d08 (__TEXT,__text) external _lzma_stream_flags_compare
000000018d27d844 (__TEXT,__text) external _lzma_stream_footer_decode
000000018d278e18 (__TEXT,__text) external _lzma_stream_footer_encode
000000018d27d788 (__TEXT,__text) external _lzma_stream_header_decode
000000018d272d30 (__TEXT,__text) external _lzma_stream_header_encode
000000018d2728bc (__TEXT,__text) non-external (was a private external) _lzma_strm_init
000000018d2791c0 (__TEXT,__text) external _lzma_version_number
000000018d2791cc (__TEXT,__text) external _lzma_version_string
000000018d27d8ec (__TEXT,__text) external _lzma_vli_decode
000000018d274bd8 (__TEXT,__text) external _lzma_vli_encode
000000018d273200 (__TEXT,__text) external _lzma_vli_size
                 (undefined) external _malloc (from libSystem)
000000018d27802c (__TEXT,__text) non-external _match
                 (undefined) external _memcmp (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memmove (from libSystem)
                 (undefined) external _memset_pattern16 (from libSystem)
000000018d275d80 (__TEXT,__text) non-external _move_pos
000000018d27f1d8 (__TEXT,__text) non-external _normalize
000000018d2841d8 (__TEXT,__text) non-external _powerpc_code
000000018d27dbfc (__TEXT,__text) non-external _process
000000018d275db4 (__TEXT,__text) non-external _rc_encode
000000018d283b1c (__TEXT,__text) non-external _simple_code
000000018d283db8 (__TEXT,__text) non-external _simple_coder_end
000000018d283e04 (__TEXT,__text) non-external _simple_coder_update
000000018d28469c (__TEXT,__text) non-external _sparc_code
000000018d27d1c8 (__TEXT,__text) non-external _stream_decode
000000018d27d67c (__TEXT,__text) non-external _stream_decoder_end
000000018d27d6cc (__TEXT,__text) non-external _stream_decoder_get_check
000000018d27d6d4 (__TEXT,__text) non-external _stream_decoder_memconfig
000000018d27462c (__TEXT,__text) non-external _stream_encode
000000018d284940 (__TEXT,__const) non-external _stream_encode.convert
000000018d278f1c (__TEXT,__text) non-external _stream_encoder_end
000000018d272edc (__TEXT,__text) non-external _stream_encoder_update
                 (undefined) external _sysctl (from libSystem)
000000018d279144 (__TEXT,__text) non-external (was a private external) _tuklib_physmem
000000018d27353c (__TEXT,__text) non-external _validate_chain
000000018d283ff8 (__TEXT,__text) non-external _x86_code
000000018d28aba8 (__TEXT,__const) non-external _x86_code.MASK_TO_BIT_NUMBER
000000018d283f94 (__TEXT,__text) non-external _x86_coder_init
