00000001ef189810 (__TEXT,__text) non-external _Annihilate
00000001ef1a6194 (__TEXT,__text) external _cosmix_model_update
00000001ef1bf6b4 (__TEXT,__text) non-external (was a private external) _crc32
00000001ef1bf944 (__TEXT,__text) non-external (was a private external) _crc32_combine
00000001ef1bfba4 (__TEXT,__text) non-external (was a private external) _crc32_combine64
00000001ef1bf948 (__TEXT,__text) non-external _crc32_combine_
00000001ef21c2b8 (__TEXT,__const) non-external _crc_table
00000001ef18e488 (__TEXT,__text) non-external (was a private external) _create_thread
00000001ef1c6b18 (__TEXT,__text) non-external (was a private external) _debug_verify_offsets
00000001ef17b070 (__TEXT,__text) non-external (was a private external) _deflate
00000001ef1c5ea4 (__TEXT,__text) non-external (was a private external) _deflateBound
00000001ef1c6034 (__TEXT,__text) non-external (was a private external) _deflateCopy
00000001ef1c5a04 (__TEXT,__text) non-external (was a private external) _deflateEnd
00000001ef1c577c (__TEXT,__text) non-external (was a private external) _deflateInit2_
00000001ef1c5760 (__TEXT,__text) non-external (was a private external) _deflateInit_
00000001ef1c5da0 (__TEXT,__text) non-external (was a private external) _deflateParams
00000001ef1c5d70 (__TEXT,__text) non-external (was a private external) _deflatePrime
00000001ef1c5aec (__TEXT,__text) non-external (was a private external) _deflateReset
00000001ef1c5c1c (__TEXT,__text) non-external (was a private external) _deflateSetDictionary
00000001ef1c5d44 (__TEXT,__text) non-external (was a private external) _deflateSetHeader
00000001ef1c5e80 (__TEXT,__text) non-external (was a private external) _deflateTune
00000001ef224b78 (__TEXT,__const) non-external (was a private external) _deflate_copyright
00000001ef1c6398 (__TEXT,__text) non-external _deflate_fast
00000001ef176250 (__TEXT,__text) non-external _deflate_slow
00000001ef1c61f0 (__TEXT,__text) non-external _deflate_stored
                 (undefined) external _dispatch_apply (from libSystem)
00000001ef1797c0 (__TEXT,__text) non-external _emitMatch
00000001ef223bfc (__TEXT,__const) non-external _extra_blbits
00000001ef223b84 (__TEXT,__const) non-external _extra_dbits
00000001ef223b10 (__TEXT,__const) non-external _extra_lbits
                 (undefined) external _fclose (from libSystem)
00000001ef1c66dc (__TEXT,__text) non-external _fill_window
00000001ef1c5fa0 (__TEXT,__text) non-external _flush_pending
                 (undefined) external _fopen (from libSystem)
                 (undefined) external _free (from libSystem)
                 (undefined) external _fwrite (from libSystem)
00000001ef224824 (__TEXT,__const) non-external _getDSymbolFromValue.sym
00000001ef223db0 (__TEXT,__const) non-external _getLSymbolFromValue.sym
00000001ef223eec (__TEXT,__const) non-external _getMSymbolFromValue.sym
00000001ef1bf6a8 (__TEXT,__text) non-external (was a private external) _get_crc_table
00000001ef19ca84 (__TEXT,__text) non-external (was a private external) _get_default_nthreads
00000001ef194c38 (__TEXT,__text) non-external (was a private external) _get_max_payload_size
00000001ef194c50 (__TEXT,__text) non-external (was a private external) _get_plane_max_rice_size
00000001ef194c64 (__TEXT,__text) non-external (was a private external) _get_pool_size
00000001ef19ca38 (__TEXT,__text) non-external (was a private external) _get_real_time
                 (undefined) external _gettimeofday (from libSystem)
00000001ef19986c (__TEXT,__text) non-external _header_fetch_from_payload
00000001ef179190 (__TEXT,__text) non-external _init_block
00000001ef1c1298 (__TEXT,__text) non-external _init_quantization_lut
00000001ef18e530 (__TEXT,__text) non-external (was a private external) _join_thread
00000001ef1e5720 (__TEXT,__const) non-external (was a private external) _kBrotliBitMask
00000001ef1c6ee0 (__TEXT,__const) non-external (was a private external) _kBrotliCopyBase
00000001ef1c6f40 (__TEXT,__const) non-external (was a private external) _kBrotliCopyExtra
0000000201cb9280 (__DATA_CONST,__const) non-external _kBrotliDictionary
00000001ef1c7738 (__TEXT,__const) non-external _kBrotliDictionaryData
00000001ef1c6e20 (__TEXT,__const) non-external (was a private external) _kBrotliInsBase
00000001ef1c6e80 (__TEXT,__const) non-external (was a private external) _kBrotliInsExtra
00000001ef224bc0 (__TEXT,__const) non-external (was a private external) _kBrotliLog2Table
00000001ef1e73d8 (__TEXT,__const) non-external (was a private external) _kBrotliShellGaps
0000000201cb9468 (__DATA_CONST,__const) non-external _kBrotliTransforms
00000001ef1c7518 (__TEXT,__const) non-external _kCmdHistoSeed
00000001ef1e5822 (__TEXT,__const) non-external _kCmdLut
00000001ef218ae4 (__TEXT,__const) non-external _kCodeLengthBits
00000001ef1e57f0 (__TEXT,__const) non-external _kCodeLengthCodeOrder
00000001ef218ad0 (__TEXT,__const) non-external _kCodeLengthDepth
00000001ef1e5802 (__TEXT,__const) non-external _kCodeLengthPrefixLength
00000001ef1e5812 (__TEXT,__const) non-external _kCodeLengthPrefixValue
00000001ef1e7298 (__TEXT,__const) non-external (was a private external) _kDSymbolVBase
00000001ef1e7258 (__TEXT,__const) non-external (was a private external) _kDSymbolVBits
00000001ef1e76b4 (__TEXT,__const) non-external _kDistanceCacheIndex
00000001ef1e76f4 (__TEXT,__const) non-external _kDistanceCacheOffset
00000001ef1e71a4 (__TEXT,__const) non-external (was a private external) _kLSymbolVBase
00000001ef1e7190 (__TEXT,__const) non-external (was a private external) _kLSymbolVBits
00000001ef1e7208 (__TEXT,__const) non-external (was a private external) _kMSymbolVBase
00000001ef1e71f4 (__TEXT,__const) non-external (was a private external) _kMSymbolVBits
00000001ef219630 (__TEXT,__const) non-external _kNonZeroRepsBits
00000001ef218b2c (__TEXT,__const) non-external _kNonZeroRepsDepth
00000001ef216710 (__TEXT,__const) non-external _kPrefixSuffix
00000001ef2167ea (__TEXT,__const) non-external _kPrefixSuffixMap
00000001ef21aef0 (__TEXT,__const) non-external _kStaticCommandCodeBits
00000001ef21ac30 (__TEXT,__const) non-external _kStaticCommandCodeDepth
00000001ef1e77ac (__TEXT,__const) non-external _kStaticDictionaryBuckets
00000001ef2353ce (__TEXT,__const) non-external (was a private external) _kStaticDictionaryHashLengths
00000001ef2253ce (__TEXT,__const) non-external (was a private external) _kStaticDictionaryHashWords
00000001ef1f77ac (__TEXT,__const) non-external _kStaticDictionaryWords
00000001ef21b4b0 (__TEXT,__const) non-external _kStaticDistanceCodeBits
00000001ef21b470 (__TEXT,__const) non-external _kStaticDistanceCodeDepth
00000001ef21684e (__TEXT,__const) non-external _kTransformsData
00000001ef2174d0 (__TEXT,__const) non-external _kZeroRepsBits
00000001ef2169d0 (__TEXT,__const) non-external _kZeroRepsDepth
                 (undefined) external _log2 (from libSystem)
00000001ef17bf94 (__TEXT,__text) non-external _longest_match
0000000204ea2400 (__DATA,__common) non-external (was a private external) _lut_ok
0000000204ea2800 (__DATA,__common) non-external (was a private external) _lut_quantize
00000001ef2202c4 (__TEXT,__const) non-external (was a private external) _lut_rle
00000001ef1731fc (__TEXT,__text) non-external (was a private external) _lz4_decode
00000001ef1741c0 (__TEXT,__text) non-external (was a private external) _lz4_decode_asm
00000001ef1783f0 (__TEXT,__text) non-external (was a private external) _lz4_decode_buffer
