                 (undefined) external _CC_SHA256_Final (from libSystem)
                 (undefined) external _CC_SHA256_Init (from libSystem)
                 (undefined) external _CC_SHA256_Update (from libSystem)
                 (undefined) external ___bzero (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
00007ff814521942 (__TEXT,__text) non-external _alone_decode
00007ff81452d98d (__TEXT,__text) non-external _get_thread
00007ff8145231f9 (__TEXT,__text) non-external _hash_append
00007ff814524f6a (__TEXT,__text) non-external _hc_find_func
00007ff81452eb4a (__TEXT,__text) non-external _ia64_code
00007ff814536af0 (__TEXT,__const) non-external _ia64_code.BRANCH_TABLE
00007ff81451fee8 (__TEXT,__text) non-external _index_cat_helper
00007ff814522bd9 (__TEXT,__text) non-external _index_decode
00007ff814522ec4 (__TEXT,__text) non-external _index_decoder_end
00007ff814522ee9 (__TEXT,__text) non-external _index_decoder_memconfig
00007ff81451ec99 (__TEXT,__text) non-external _index_encode
00007ff81451f534 (__TEXT,__text) non-external _index_encoder_end
00007ff81451f58e (__TEXT,__text) non-external _index_stream_end
00007ff81451890f (__TEXT,__text) non-external _index_tree_append
00007ff81451f53e (__TEXT,__text) non-external _index_tree_node_end
00007ff814519951 (__TEXT,__text) non-external _is_options_valid
00007ff81451f0db (__TEXT,__text) non-external _iter_set_info
00007ff814519998 (__TEXT,__text) non-external _length_encoder_reset
00007ff814519a6a (__TEXT,__text) non-external _length_update_prices
00007ff814526c0e (__TEXT,__text) non-external _lz_decode
00007ff814526dac (__TEXT,__text) non-external _lz_decoder_end
00007ff81451ac4f (__TEXT,__text) non-external _lz_encode
00007ff81451f4a7 (__TEXT,__text) non-external _lz_encoder_end
00007ff814519c3a (__TEXT,__text) non-external _lz_encoder_prepare
00007ff814524dc4 (__TEXT,__text) non-external _lz_encoder_set_out_limit
00007ff814524d69 (__TEXT,__text) non-external _lz_encoder_update
00007ff81452480a (__TEXT,__text) non-external _lzip_decode
00007ff814524c40 (__TEXT,__text) non-external _lzip_decoder_end
00007ff814524c68 (__TEXT,__text) non-external _lzip_decoder_get_check
00007ff814524c73 (__TEXT,__text) non-external _lzip_decoder_memconfig
00007ff8145348d0 (__TEXT,__const) non-external _lzma12_mf_map
00007ff8145348a0 (__TEXT,__const) non-external _lzma12_mode_map
00007ff8416d5390 (__DATA_CONST,__const) non-external _lzma12_optmap
00007ff81452bfb8 (__TEXT,__text) non-external _lzma2_decode
00007ff81452c2c4 (__TEXT,__text) non-external _lzma2_decoder_end
00007ff81452be91 (__TEXT,__text) non-external _lzma2_decoder_init
00007ff81451ae5c (__TEXT,__text) non-external _lzma2_encode
00007ff81451f50c (__TEXT,__text) non-external _lzma2_encoder_end
00007ff8145194b1 (__TEXT,__text) non-external _lzma2_encoder_init
00007ff81452bcd9 (__TEXT,__text) non-external _lzma2_encoder_options_update
00007ff8145306f8 (__TEXT,__const) non-external (was a private external) _lzma_5VersionNumber
00007ff8145306d0 (__TEXT,__const) non-external (was a private external) _lzma_5VersionString
00007ff8145187f0 (__TEXT,__text) non-external (was a private external) _lzma_alloc
00007ff81451f6aa (__TEXT,__text) non-external (was a private external) _lzma_alloc_zero
00007ff814521c49 (__TEXT,__text) external _lzma_alone_decoder
00007ff814521858 (__TEXT,__text) non-external (was a private external) _lzma_alone_decoder_init
00007ff81452030b (__TEXT,__text) external _lzma_alone_encoder
00007ff814521ca8 (__TEXT,__text) external _lzma_auto_decoder
00007ff814520609 (__TEXT,__text) external _lzma_block_buffer_bound
00007ff8145205c5 (__TEXT,__text) non-external (was a private external) _lzma_block_buffer_bound64
00007ff814521fac (__TEXT,__text) external _lzma_block_buffer_decode
00007ff81452064d (__TEXT,__text) external _lzma_block_buffer_encode
00007ff81451f850 (__TEXT,__text) external _lzma_block_compressed_size
00007ff814522538 (__TEXT,__text) external _lzma_block_decoder
00007ff8145220f1 (__TEXT,__text) non-external (was a private external) _lzma_block_decoder_init
00007ff814520c1e (__TEXT,__text) external _lzma_block_encoder
00007ff814518e57 (__TEXT,__text) non-external (was a private external) _lzma_block_encoder_init
00007ff814522592 (__TEXT,__text) external _lzma_block_header_decode
00007ff81451a67d (__TEXT,__text) external _lzma_block_header_encode
00007ff814518cae (__TEXT,__text) external _lzma_block_header_size
00007ff81451f8ad (__TEXT,__text) external _lzma_block_total_size
00007ff8145208fe (__TEXT,__text) external _lzma_block_uncomp_encode
00007ff81451a79f (__TEXT,__text) external _lzma_block_unpadded_size
00007ff81451a61c (__TEXT,__text) non-external (was a private external) _lzma_bufcpy
00007ff8145245cf (__TEXT,__text) non-external (was a private external) _lzma_check_finish
00007ff814518fc2 (__TEXT,__text) non-external (was a private external) _lzma_check_init
00007ff814518fa4 (__TEXT,__text) external _lzma_check_is_supported
00007ff814530870 (__TEXT,__const) non-external _lzma_check_is_supported.available_checks
00007ff81451e906 (__TEXT,__text) external _lzma_check_size
00007ff814530880 (__TEXT,__const) non-external _lzma_check_size.check_sizes
00007ff81451bb50 (__TEXT,__text) non-external (was a private external) _lzma_check_update
00007ff81451a06c (__TEXT,__text) external _lzma_code
00007ff81452127a (__TEXT,__text) external _lzma_cputhreads
00007ff8145189f4 (__TEXT,__text) external _lzma_crc32
00007ff814530890 (__TEXT,__const) non-external (was a private external) _lzma_crc32_table
00007ff8145245fc (__TEXT,__text) external _lzma_crc64
00007ff814532890 (__TEXT,__const) non-external (was a private external) _lzma_crc64_table
00007ff81452829e (__TEXT,__text) non-external _lzma_decode
00007ff8145369e0 (__TEXT,__const) non-external _lzma_decode.next_state
00007ff81452ba92 (__TEXT,__text) non-external _lzma_decoder_init
00007ff81452b7d8 (__TEXT,__text) non-external _lzma_decoder_reset
00007ff81452ba6e (__TEXT,__text) non-external _lzma_decoder_uncompressed
00007ff81452de4b (__TEXT,__text) non-external (was a private external) _lzma_delta_coder_init
00007ff81452df9d (__TEXT,__text) non-external (was a private external) _lzma_delta_coder_memusage
00007ff81452e146 (__TEXT,__text) non-external (was a private external) _lzma_delta_decoder_init
00007ff81452dfcd (__TEXT,__text) non-external (was a private external) _lzma_delta_encoder_init
00007ff81452e1d0 (__TEXT,__text) non-external (was a private external) _lzma_delta_props_decode
00007ff81452e118 (__TEXT,__text) non-external (was a private external) _lzma_delta_props_encode
00007ff814520c7a (__TEXT,__text) external _lzma_easy_buffer_encode
00007ff814522768 (__TEXT,__text) external _lzma_easy_decoder_memusage
00007ff814518528 (__TEXT,__text) external _lzma_easy_encoder
00007ff814520ced (__TEXT,__text) external _lzma_easy_encoder_memusage
00007ff81451856f (__TEXT,__text) non-external (was a private external) _lzma_easy_preset
00007ff8145305f6 (__TEXT,__text) non-external _lzma_encode
00007ff814526f26 (__TEXT,__text) non-external _lzma_encoder_init
00007ff81451f3dc (__TEXT,__text) external _lzma_end
00007ff8145349e0 (__TEXT,__const) non-external (was a private external) _lzma_fastpos
00007ff8145277c4 (__TEXT,__text) external _lzma_file_info_decoder
00007ff814527836 (__TEXT,__text) non-external _lzma_file_info_decoder_init
00007ff814522912 (__TEXT,__text) external _lzma_filter_decoder_is_supported
00007ff81452107b (__TEXT,__text) external _lzma_filter_encoder_is_supported
00007ff814522a51 (__TEXT,__text) external _lzma_filter_flags_decode
00007ff81451a825 (__TEXT,__text) external _lzma_filter_flags_encode
00007ff814518d98 (__TEXT,__text) external _lzma_filter_flags_size
00007ff814519e8c (__TEXT,__text) external _lzma_filters_copy
00007ff81451f8c8 (__TEXT,__text) external _lzma_filters_free
00007ff8145210aa (__TEXT,__text) external _lzma_filters_update
00007ff814530836 (__TEXT,__const) non-external (was a private external) _lzma_footer_magic
00007ff814519e64 (__TEXT,__text) non-external (was a private external) _lzma_free
00007ff81451f764 (__TEXT,__text) external _lzma_get_check
00007ff81451f73d (__TEXT,__text) external _lzma_get_progress
00007ff814530830 (__TEXT,__const) non-external (was a private external) _lzma_header_magic
00007ff81451e923 (__TEXT,__text) external _lzma_index_append
00007ff81451ef1c (__TEXT,__text) external _lzma_index_block_count
00007ff814522f98 (__TEXT,__text) external _lzma_index_buffer_decode
00007ff8145212e0 (__TEXT,__text) external _lzma_index_buffer_encode
00007ff81451fce5 (__TEXT,__text) external _lzma_index_cat
00007ff81451fc07 (__TEXT,__text) external _lzma_index_checks
00007ff814522f39 (__TEXT,__text) external _lzma_index_decoder
00007ff814522ae4 (__TEXT,__text) non-external (was a private external) _lzma_index_decoder_init
00007ff81451ff4d (__TEXT,__text) external _lzma_index_dup
00007ff814521286 (__TEXT,__text) external _lzma_index_encoder
00007ff81451ebd0 (__TEXT,__text) non-external (was a private external) _lzma_index_encoder_init
00007ff814518826 (__TEXT,__text) external _lzma_index_end
00007ff81451fb85 (__TEXT,__text) external _lzma_index_file_size
00007ff81452315e (__TEXT,__text) external _lzma_index_hash_append
00007ff8145232b8 (__TEXT,__text) external _lzma_index_hash_decode
00007ff81452312a (__TEXT,__text) external _lzma_index_hash_end
00007ff8145230b0 (__TEXT,__text) external _lzma_index_hash_init
00007ff814523134 (__TEXT,__text) external _lzma_index_hash_size
00007ff81451885f (__TEXT,__text) external _lzma_index_init
00007ff81451ec79 (__TEXT,__text) external _lzma_index_iter_init
00007ff8145201c2 (__TEXT,__text) external _lzma_index_iter_locate
00007ff81451ef26 (__TEXT,__text) external _lzma_index_iter_next
00007ff8145201ab (__TEXT,__text) external _lzma_index_iter_rewind
00007ff81451fa79 (__TEXT,__text) external _lzma_index_memusage
00007ff81451fadd (__TEXT,__text) external _lzma_index_memused
00007ff81451f302 (__TEXT,__text) non-external (was a private external) _lzma_index_padding_size
00007ff81451fa5e (__TEXT,__text) non-external (was a private external) _lzma_index_prealloc
00007ff81451f32c (__TEXT,__text) external _lzma_index_size
00007ff81451fb3e (__TEXT,__text) external _lzma_index_stream_count
00007ff81451fc20 (__TEXT,__text) external _lzma_index_stream_flags
00007ff81451fc7e (__TEXT,__text) external _lzma_index_stream_padding
00007ff81451fb51 (__TEXT,__text) external _lzma_index_stream_size
00007ff81451fb47 (__TEXT,__text) external _lzma_index_total_size
00007ff81451fbfd (__TEXT,__text) external _lzma_index_uncompressed_size
00007ff814526a5c (__TEXT,__text) non-external (was a private external) _lzma_lz_decoder_init
00007ff814526df5 (__TEXT,__text) non-external (was a private external) _lzma_lz_decoder_memusage
00007ff81451926d (__TEXT,__text) non-external (was a private external) _lzma_lz_encoder_init
00007ff814524cfe (__TEXT,__text) non-external (was a private external) _lzma_lz_encoder_memusage
00007ff814524c9f (__TEXT,__text) external _lzma_lzip_decoder
00007ff8145246e8 (__TEXT,__text) non-external (was a private external) _lzma_lzip_decoder_init
00007ff81452bcbd (__TEXT,__text) non-external (was a private external) _lzma_lzma2_block_size
00007ff81452be80 (__TEXT,__text) non-external (was a private external) _lzma_lzma2_decoder_init
00007ff81452bf3c (__TEXT,__text) non-external (was a private external) _lzma_lzma2_decoder_memusage
00007ff81451925c (__TEXT,__text) non-external (was a private external) _lzma_lzma2_encoder_init
00007ff81452bca1 (__TEXT,__text) non-external (was a private external) _lzma_lzma2_encoder_memusage
00007ff81452bf4d (__TEXT,__text) non-external (was a private external) _lzma_lzma2_props_decode
00007ff81451a9b7 (__TEXT,__text) non-external (was a private external) _lzma_lzma2_props_encode
00007ff814528228 (__TEXT,__text) non-external (was a private external) _lzma_lzma_decoder_create
00007ff81452ba81 (__TEXT,__text) non-external (was a private external) _lzma_lzma_decoder_init
00007ff81452bbaa (__TEXT,__text) non-external (was a private external) _lzma_lzma_decoder_memusage
00007ff81452bb97 (__TEXT,__text) non-external (was a private external) _lzma_lzma_decoder_memusage_nocheck
00007ff81451b214 (__TEXT,__text) non-external (was a private external) _lzma_lzma_encode
00007ff8145195dc (__TEXT,__text) non-external (was a private external) _lzma_lzma_encoder_create
00007ff814526f15 (__TEXT,__text) non-external (was a private external) _lzma_lzma_encoder_init
00007ff814526f46 (__TEXT,__text) non-external (was a private external) _lzma_lzma_encoder_memusage
00007ff81451974c (__TEXT,__text) non-external (was a private external) _lzma_lzma_encoder_reset
00007ff81452bb4c (__TEXT,__text) non-external (was a private external) _lzma_lzma_lclppb_decode
00007ff81451e8c1 (__TEXT,__text) non-external (was a private external) _lzma_lzma_lclppb_encode
00007ff814527433 (__TEXT,__text) non-external (was a private external) _lzma_lzma_optimum_fast
00007ff81451c064 (__TEXT,__text) non-external (was a private external) _lzma_lzma_optimum_normal
00007ff8145185a6 (__TEXT,__text) external _lzma_lzma_preset
00007ff8145349ba (__TEXT,__const) non-external _lzma_lzma_preset.depths
00007ff8145349b0 (__TEXT,__const) non-external _lzma_lzma_preset.dict_pow2
00007ff81452bbec (__TEXT,__text) non-external (was a private external) _lzma_lzma_props_decode
00007ff814526fca (__TEXT,__text) non-external (was a private external) _lzma_lzma_props_encode
00007ff81452702f (__TEXT,__text) non-external _lzma_lzma_set_out_limit
00007ff81451f7c6 (__TEXT,__text) external _lzma_memlimit_get
00007ff81451f80d (__TEXT,__text) external _lzma_memlimit_set
00007ff81451f77f (__TEXT,__text) external _lzma_memusage
00007ff81452539b (__TEXT,__text) non-external (was a private external) _lzma_mf_bt2_find
00007ff81452542f (__TEXT,__text) non-external (was a private external) _lzma_mf_bt2_skip
00007ff8145254b1 (__TEXT,__text) non-external (was a private external) _lzma_mf_bt3_find
00007ff814525629 (__TEXT,__text) non-external (was a private external) _lzma_mf_bt3_skip
00007ff81451e0f6 (__TEXT,__text) non-external (was a private external) _lzma_mf_bt4_find
00007ff81451bc0c (__TEXT,__text) non-external (was a private external) _lzma_mf_bt4_skip
00007ff81451e059 (__TEXT,__text) non-external (was a private external) _lzma_mf_find
00007ff814524e06 (__TEXT,__text) non-external (was a private external) _lzma_mf_hc3_find
00007ff814525055 (__TEXT,__text) non-external (was a private external) _lzma_mf_hc3_skip
00007ff8145250e8 (__TEXT,__text) non-external (was a private external) _lzma_mf_hc4_find
00007ff8145252e9 (__TEXT,__text) non-external (was a private external) _lzma_mf_hc4_skip
00007ff814524de8 (__TEXT,__text) external _lzma_mf_is_supported
00007ff8145237dd (__TEXT,__text) external _lzma_microlzma_decoder
00007ff814520d26 (__TEXT,__text) external _lzma_microlzma_encoder
00007ff81452701f (__TEXT,__text) external _lzma_mode_is_supported
00007ff8145211e3 (__TEXT,__text) non-external (was a private external) _lzma_mt_block_size
00007ff81451877f (__TEXT,__text) non-external (was a private external) _lzma_next_end
00007ff8145191fd (__TEXT,__text) non-external (was a private external) _lzma_next_filter_init
00007ff81451f70c (__TEXT,__text) non-external (was a private external) _lzma_next_filter_update
00007ff814527088 (__TEXT,__text) non-external (was a private external) _lzma_outq_clear_cache
00007ff8145270cf (__TEXT,__text) non-external (was a private external) _lzma_outq_clear_cache2
00007ff8145273ff (__TEXT,__text) non-external (was a private external) _lzma_outq_enable_partial_output
00007ff81452723a (__TEXT,__text) non-external (was a private external) _lzma_outq_end
00007ff8145272ec (__TEXT,__text) non-external (was a private external) _lzma_outq_get_buf
00007ff81452715a (__TEXT,__text) non-external (was a private external) _lzma_outq_init
00007ff814527346 (__TEXT,__text) non-external (was a private external) _lzma_outq_is_readable
00007ff814527057 (__TEXT,__text) non-external (was a private external) _lzma_outq_memusage
00007ff81452726d (__TEXT,__text) non-external (was a private external) _lzma_outq_prealloc_buf
00007ff814527366 (__TEXT,__text) non-external (was a private external) _lzma_outq_read
00007ff81451fa54 (__TEXT,__text) external _lzma_physmem
00007ff8145229fc (__TEXT,__text) external _lzma_properties_decode
00007ff81451a976 (__TEXT,__text) external _lzma_properties_encode
00007ff814518deb (__TEXT,__text) external _lzma_properties_size
00007ff8145227a1 (__TEXT,__text) external _lzma_raw_buffer_decode
00007ff814520f7a (__TEXT,__text) external _lzma_raw_buffer_encode
00007ff814519009 (__TEXT,__text) non-external (was a private external) _lzma_raw_coder_init
00007ff81451f9cc (__TEXT,__text) non-external (was a private external) _lzma_raw_coder_memusage
00007ff814522981 (__TEXT,__text) external _lzma_raw_decoder
00007ff81452296d (__TEXT,__text) non-external (was a private external) _lzma_raw_decoder_init
00007ff8145229e8 (__TEXT,__text) external _lzma_raw_decoder_memusage
00007ff81452117a (__TEXT,__text) external _lzma_raw_encoder
00007ff814518ff2 (__TEXT,__text) non-external (was a private external) _lzma_raw_encoder_init
00007ff814521166 (__TEXT,__text) external _lzma_raw_encoder_memusage
00007ff814536a20 (__TEXT,__const) non-external (was a private external) _lzma_rc_prices
00007ff81452bd71 (__TEXT,__text) non-external (was a private external) _lzma_simple_arm64_decoder_init
00007ff81452bd4e (__TEXT,__text) non-external (was a private external) _lzma_simple_arm64_encoder_init
00007ff81452ed56 (__TEXT,__text) non-external (was a private external) _lzma_simple_arm_decoder_init
00007ff81452ed33 (__TEXT,__text) non-external (was a private external) _lzma_simple_arm_encoder_init
00007ff81452ee29 (__TEXT,__text) non-external (was a private external) _lzma_simple_armthumb_decoder_init
00007ff81452ee06 (__TEXT,__text) non-external (was a private external) _lzma_simple_armthumb_encoder_init
00007ff81452e217 (__TEXT,__text) non-external (was a private external) _lzma_simple_coder_init
00007ff81452eb27 (__TEXT,__text) non-external (was a private external) _lzma_simple_ia64_decoder_init
00007ff81452eb04 (__TEXT,__text) non-external (was a private external) _lzma_simple_ia64_encoder_init
00007ff81452ea24 (__TEXT,__text) non-external (was a private external) _lzma_simple_powerpc_decoder_init
00007ff81452ea01 (__TEXT,__text) non-external (was a private external) _lzma_simple_powerpc_encoder_init
00007ff81452e79c (__TEXT,__text) non-external (was a private external) _lzma_simple_props_decode
00007ff81452e787 (__TEXT,__text) non-external (was a private external) _lzma_simple_props_encode
00007ff81452e76d (__TEXT,__text) non-external (was a private external) _lzma_simple_props_size
00007ff8145304ed (__TEXT,__text) non-external (was a private external) _lzma_simple_sparc_decoder_init
00007ff8145304ca (__TEXT,__text) non-external (was a private external) _lzma_simple_sparc_encoder_init
00007ff81452e857 (__TEXT,__text) non-external (was a private external) _lzma_simple_x86_decoder_init
00007ff81452e7ff (__TEXT,__text) non-external (was a private external) _lzma_simple_x86_encoder_init
00007ff814525c67 (__TEXT,__text) external _lzma_str_from_filters
00007ff81452610d (__TEXT,__text) external _lzma_str_list_filters
00007ff814525749 (__TEXT,__text) external _lzma_str_to_filters
00007ff8145213a7 (__TEXT,__text) external _lzma_stream_buffer_bound
00007ff814523640 (__TEXT,__text) external _lzma_stream_buffer_decode
00007ff8145213d0 (__TEXT,__text) external _lzma_stream_buffer_encode
00007ff814524314 (__TEXT,__text) external _lzma_stream_decoder
00007ff814523bb0 (__TEXT,__text) non-external (was a private external) _lzma_stream_decoder_init
00007ff81452c2ec (__TEXT,__text) external _lzma_stream_decoder_mt
00007ff814518698 (__TEXT,__text) external _lzma_stream_encoder
00007ff81452ef18 (__TEXT,__text) external _lzma_stream_encoder_mt
00007ff81452f2ba (__TEXT,__text) external _lzma_stream_encoder_mt_memusage
00007ff81452027e (__TEXT,__text) external _lzma_stream_flags_compare
00007ff8145243f9 (__TEXT,__text) external _lzma_stream_footer_decode
00007ff81451f356 (__TEXT,__text) external _lzma_stream_footer_encode
00007ff814524373 (__TEXT,__text) external _lzma_stream_header_decode
00007ff814518995 (__TEXT,__text) external _lzma_stream_header_encode
00007ff8145186fb (__TEXT,__text) non-external (was a private external) _lzma_strm_init
00007ff81451f924 (__TEXT,__text) non-external (was a private external) _lzma_validate_chain
00007ff81451f690 (__TEXT,__text) external _lzma_version_number
00007ff81451f69b (__TEXT,__text) external _lzma_version_string
00007ff814524472 (__TEXT,__text) external _lzma_vli_decode
00007ff81451a8c6 (__TEXT,__text) external _lzma_vli_encode
00007ff814518e38 (__TEXT,__text) external _lzma_vli_size
                 (undefined) external _malloc_type_calloc (from libSystem)
                 (undefined) external _malloc_type_malloc (from libSystem)
00007ff81451e557 (__TEXT,__text) non-external _match
                 (undefined) external _memchr (from libSystem)
                 (undefined) external _memcmp (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memmove (from libSystem)
                 (undefined) external _memset_pattern16 (from libSystem)
00007ff81452392b (__TEXT,__text) non-external _microlzma_decode
00007ff814523b8d (__TEXT,__text) non-external _microlzma_decoder_end
00007ff81452385a (__TEXT,__text) non-external _microlzma_decoder_init
00007ff814520e9d (__TEXT,__text) non-external _microlzma_encode
00007ff814520f59 (__TEXT,__text) non-external _microlzma_encoder_end
00007ff814520d7c (__TEXT,__text) non-external _microlzma_encoder_init
00007ff8145271d8 (__TEXT,__text) non-external _move_head_to_cache
00007ff81451be22 (__TEXT,__text) non-external _move_pos
00007ff8145256e9 (__TEXT,__text) non-external _normalize
00007ff8145266a0 (__TEXT,__text) non-external _parse_bcj
00007ff8145266b7 (__TEXT,__text) non-external _parse_delta
00007ff81452663f (__TEXT,__text) non-external _parse_lzma12
00007ff8145266db (__TEXT,__text) non-external _parse_options
00007ff81452ea47 (__TEXT,__text) non-external _powerpc_code
                 (undefined) external _pthread_cond_destroy (from libSystem)
                 (undefined) external _pthread_cond_init (from libSystem)
                 (undefined) external _pthread_cond_signal (from libSystem)
                 (undefined) external _pthread_cond_timedwait (from libSystem)
                 (undefined) external _pthread_cond_wait (from libSystem)
                 (undefined) external _pthread_create (from libSystem)
                 (undefined) external _pthread_join (from libSystem)
                 (undefined) external _pthread_mutex_destroy (from libSystem)
                 (undefined) external _pthread_mutex_init (from libSystem)
                 (undefined) external _pthread_mutex_lock (from libSystem)
                 (undefined) external _pthread_mutex_unlock (from libSystem)
                 (undefined) external _pthread_sigmask (from libSystem)
00007ff81451be50 (__TEXT,__text) non-external _rc_encode
00007ff81452d724 (__TEXT,__text) non-external _read_output_and_wait
00007ff8145281a9 (__TEXT,__text) non-external _reverse_seek
00007ff81452e388 (__TEXT,__text) non-external _simple_code
00007ff81452e6a8 (__TEXT,__text) non-external _simple_coder_end
00007ff81452e6d5 (__TEXT,__text) non-external _simple_coder_update
00007ff814530510 (__TEXT,__text) non-external _sparc_code
00007ff8145260c4 (__TEXT,__text) non-external _str_append_str
00007ff81452656c (__TEXT,__text) non-external _str_append_u32
00007ff814534970 (__TEXT,__const) non-external _str_append_u32.suffixes
00007ff814523d2d (__TEXT,__text) non-external _stream_decode
00007ff81452c632 (__TEXT,__text) non-external _stream_decode_mt
00007ff81452429c (__TEXT,__text) non-external _stream_decoder_end
00007ff8145242d0 (__TEXT,__text) non-external _stream_decoder_get_check
00007ff8145242dc (__TEXT,__text) non-external _stream_decoder_memconfig
00007ff81452d42c (__TEXT,__text) non-external _stream_decoder_mt_end
00007ff81452d486 (__TEXT,__text) non-external _stream_decoder_mt_get_check
00007ff81452d526 (__TEXT,__text) non-external _stream_decoder_mt_get_progress
00007ff81452c346 (__TEXT,__text) non-external _stream_decoder_mt_init
00007ff81452d492 (__TEXT,__text) non-external _stream_decoder_mt_memconfig
00007ff81451a322 (__TEXT,__text) non-external _stream_encode
00007ff814530840 (__TEXT,__const) non-external _stream_encode.convert
00007ff81452f42c (__TEXT,__text) non-external _stream_encode_mt
00007ff81451f434 (__TEXT,__text) non-external _stream_encoder_end
00007ff8145216ae (__TEXT,__text) non-external _stream_encoder_init
00007ff81452fc98 (__TEXT,__text) non-external _stream_encoder_mt_end
00007ff81452ef78 (__TEXT,__text) non-external _stream_encoder_mt_init
00007ff81452fdcc (__TEXT,__text) non-external _stream_encoder_mt_update
00007ff814518b32 (__TEXT,__text) non-external _stream_encoder_update
                 (undefined) external _strlen (from libSystem)
                 (undefined) external _sysconf (from libSystem)
                 (undefined) external _sysctl (from libSystem)
00007ff81452d5dc (__TEXT,__text) non-external _threads_end
00007ff81452fea4 (__TEXT,__text) non-external _threads_end
00007ff81452d6bb (__TEXT,__text) non-external _threads_stop
00007ff81452ff69 (__TEXT,__text) non-external _threads_stop
00007ff81451f602 (__TEXT,__text) non-external (was a private external) _tuklib_cpucores
00007ff81451f5c2 (__TEXT,__text) non-external (was a private external) _tuklib_physmem
00007ff81452dbcc (__TEXT,__text) non-external _worker_decoder
00007ff81452db91 (__TEXT,__text) non-external _worker_enable_partial_update
00007ff814530472 (__TEXT,__text) non-external _worker_error
00007ff814530070 (__TEXT,__text) non-external _worker_start
00007ff81452e863 (__TEXT,__text) non-external _x86_code
00007ff814536aa0 (__TEXT,__const) non-external _x86_code.MASK_TO_ALLOWED_STATUS
00007ff814536ab0 (__TEXT,__const) non-external _x86_code.MASK_TO_BIT_NUMBER
00007ff81452e80e (__TEXT,__text) non-external _x86_coder_init
