000000023515067c (__TEXT,__text) external _LLVMExtraCreateBinary
0000000235144bf0 (__TEXT,__text) external _MTLGPUArchiverUnitRefCreateWithUnitId
0000000235144cd4 (__TEXT,__text) external _MTLGPUArchiverUnitRefDestroy
000000023514a14c (__TEXT,__text) external _MTLGPUCompilerBuildFromSource
000000023514a3c8 (__TEXT,__text) external _MTLGPUCompilerBuildFromSourceToBuffer
000000023514a628 (__TEXT,__text) external _MTLGPUCompilerBuildFromSourceToFD
0000000235148dac (__TEXT,__text) external _MTLGPUCompilerCompileFromSource
000000023514900c (__TEXT,__text) external _MTLGPUCompilerCompileFromSourceToBuffer
000000023514923c (__TEXT,__text) external _MTLGPUCompilerCompileFromSourceToFD
0000000235147dd8 (__TEXT,__text) external _MTLGPUCompilerCreate
0000000235147e4c (__TEXT,__text) external _MTLGPUCompilerDestroy
000000023514c7ec (__TEXT,__text) external _MTLGPUCompilerDisableMeshEmulation
000000023514c408 (__TEXT,__text) external _MTLGPUCompilerEnable16BitTextureCoordinateEmulation
000000023514c464 (__TEXT,__text) external _MTLGPUCompilerEnableBFloatEmulation
000000023514c4c0 (__TEXT,__text) external _MTLGPUCompilerEnableDegenerateVertexAmplificationEmulation
000000023514c51c (__TEXT,__text) external _MTLGPUCompilerEnableDoubleEmulation
000000023514c578 (__TEXT,__text) external _MTLGPUCompilerEnableExternallyInitializedVariableSupport
000000023514c5d4 (__TEXT,__text) external _MTLGPUCompilerEnableGlobalBindingInDylibSupport
000000023514c610 (__TEXT,__text) external _MTLGPUCompilerEnableGlobalBuiltinInDylibSupport
000000023514c744 (__TEXT,__text) external _MTLGPUCompilerEnableMeshFragmentEmulation
000000023514c64c (__TEXT,__text) external _MTLGPUCompilerEnableMeshKernelEmulation
000000023514c6c8 (__TEXT,__text) external _MTLGPUCompilerEnableMeshVertexEmulation
000000023514c798 (__TEXT,__text) external _MTLGPUCompilerEnableMeshVisibleOrDylibEmulation
000000023514c9b0 (__TEXT,__text) external _MTLGPUCompilerEnableRaytracingEmulation
000000023514cabc (__TEXT,__text) external _MTLGPUCompilerEnableResourcePatchingInstrumentation
000000023514cb18 (__TEXT,__text) external _MTLGPUCompilerEnableResourceUsageInstrumentation
000000023514cb74 (__TEXT,__text) external _MTLGPUCompilerEnableTLSEmulation
000000023514cbd0 (__TEXT,__text) external _MTLGPUCompilerHandleSPIs
0000000235149a34 (__TEXT,__text) external _MTLGPUCompilerLink
0000000235149c90 (__TEXT,__text) external _MTLGPUCompilerLinkToBuffer
0000000235149edc (__TEXT,__text) external _MTLGPUCompilerLinkToFD
000000023514b3e0 (__TEXT,__text) external _MTLGPUCompilerLoadModules
000000023514b564 (__TEXT,__text) external _MTLGPUCompilerLoadModulesToBuffer
000000023514b6e8 (__TEXT,__text) external _MTLGPUCompilerLoadModulesToFD
000000023514d118 (__TEXT,__text) external _MTLGPUCompilerLowerModule
000000023514d280 (__TEXT,__text) external _MTLGPUCompilerLowerModuleToBuffer
000000023514bbf0 (__TEXT,__text) external _MTLGPUCompilerSetFunctionGroups
000000023514b318 (__TEXT,__text) external _MTLGPUCompilerSetLoaderScript
000000023514b388 (__TEXT,__text) external _MTLGPUCompilerSetLoadingMode
000000023514ccfc (__TEXT,__text) external _MTLGPUCompilerSetLoweringRuntimes
000000023514c858 (__TEXT,__text) external _MTLGPUCompilerSetMeshEmulationUsedFragmentInputs
000000023514ca0c (__TEXT,__text) external _MTLGPUCompilerSetRaytracingEmulationIndirectAccelerationStructures
000000023514ca68 (__TEXT,__text) external _MTLGPUCompilerSetRaytracingEmulationMaxAccelerationStructureTraversalDepth
000000023514bc58 (__TEXT,__text) external _MTLGPUCompilerSetStitcherScript
0000000235148d30 (__TEXT,__text) external _MTLGPUCompilerSetTargetArch
0000000235148cb8 (__TEXT,__text) external _MTLGPUCompilerSetTargetTriple
000000023514ade0 (__TEXT,__text) external _MTLGPUCompilerSpecializeDynamicLibrary
000000023514af98 (__TEXT,__text) external _MTLGPUCompilerSpecializeDynamicLibraryToBuffer
000000023514b14c (__TEXT,__text) external _MTLGPUCompilerSpecializeDynamicLibraryToFD
000000023514a8a0 (__TEXT,__text) external _MTLGPUCompilerSpecializeFunction
000000023514aa60 (__TEXT,__text) external _MTLGPUCompilerSpecializeFunctionToBuffer
000000023514ac14 (__TEXT,__text) external _MTLGPUCompilerSpecializeFunctionToFD
000000023514bcd8 (__TEXT,__text) external _MTLGPUCompilerStitchFunctions
000000023514bf30 (__TEXT,__text) external _MTLGPUCompilerStitchFunctionsToBuffer
000000023514c184 (__TEXT,__text) external _MTLGPUCompilerStitchFunctionsToFD
0000000235152d78 (__TEXT,__text) external _MTLMakeSharedMetalModule
0000000235153f08 (__TEXT,__text) external _MTLMetalDynamicLibraryGetInstallName
0000000235153140 (__TEXT,__text) external _MTLMetalFunctionCreate
0000000235152ecc (__TEXT,__text) external _MTLMetalFunctionCreateWithModule
000000023515339c (__TEXT,__text) external _MTLMetalFunctionDestroy
0000000235153690 (__TEXT,__text) external _MTLMetalFunctionGetAIRVersion
0000000235153780 (__TEXT,__text) external _MTLMetalFunctionGetAlias
0000000235153478 (__TEXT,__text) external _MTLMetalFunctionGetKind
0000000235153584 (__TEXT,__text) external _MTLMetalFunctionGetLLVMModule
0000000235153528 (__TEXT,__text) external _MTLMetalFunctionGetMetalModule
0000000235153708 (__TEXT,__text) external _MTLMetalFunctionGetMetalVersion
0000000235153638 (__TEXT,__text) external _MTLMetalFunctionGetModule
0000000235153428 (__TEXT,__text) external _MTLMetalFunctionGetName
0000000235153eb8 (__TEXT,__text) external _MTLMetalImportedSymbolGetName
000000023515193c (__TEXT,__text) external _MTLMetalLibCreateCoreImage
0000000235151884 (__TEXT,__text) external _MTLMetalLibCreateCoreImageWithTriple
0000000235151a6c (__TEXT,__text) external _MTLMetalLibCreateDynamicLibrary
0000000235151994 (__TEXT,__text) external _MTLMetalLibCreateDynamicLibraryWithTriple
000000023515182c (__TEXT,__text) external _MTLMetalLibCreateExecutable
0000000235151774 (__TEXT,__text) external _MTLMetalLibCreateExecutableWithTriple
0000000235151acc (__TEXT,__text) external _MTLMetalLibDestroy
0000000235155194 (__TEXT,__text) external _MTLMetalLibGetAsObject
00000002351528b0 (__TEXT,__text) external _MTLMetalLibGetDynamicLibrariesCount
0000000235152908 (__TEXT,__text) external _MTLMetalLibGetDynamicLibraryNo
0000000235151b8c (__TEXT,__text) external _MTLMetalLibGetFunctionNo
0000000235151b34 (__TEXT,__text) external _MTLMetalLibGetFunctionsCount
00000002351527fc (__TEXT,__text) external _MTLMetalLibGetImportedSymbolNo
00000002351527a4 (__TEXT,__text) external _MTLMetalLibGetImportedSymbolsCount
0000000235152854 (__TEXT,__text) external _MTLMetalLibGetInstallName
0000000235152a10 (__TEXT,__text) external _MTLMetalLibGetLLVMModuleNo
00000002351529b8 (__TEXT,__text) external _MTLMetalLibGetMetalModuleNo
0000000235152ab8 (__TEXT,__text) external _MTLMetalLibGetModuleNo
0000000235152960 (__TEXT,__text) external _MTLMetalLibGetModulesCount
0000000235152b70 (__TEXT,__text) external _MTLMetalLibGetSourceNo
0000000235152b18 (__TEXT,__text) external _MTLMetalLibGetSourcesCount
0000000235152334 (__TEXT,__text) external _MTLMetalLibGetVariableNo
00000002351522dc (__TEXT,__text) external _MTLMetalLibGetVariablesCount
0000000235151be4 (__TEXT,__text) external _MTLMetalLibInsertFunction
000000023515238c (__TEXT,__text) external _MTLMetalLibInsertVariable
0000000235152bcc (__TEXT,__text) external _MTLMetalModuleCreatePersistentWithModule
0000000235152d10 (__TEXT,__text) external _MTLMetalModuleDestroy
0000000235154378 (__TEXT,__text) external _MTLMetalSourceExtractToSubDirectory
00000002351542c0 (__TEXT,__text) external _MTLMetalSourceGetCommandLine
0000000235154264 (__TEXT,__text) external _MTLMetalSourceGetObjectFileName
000000023515431c (__TEXT,__text) external _MTLMetalSourceGetWorkingDir
0000000235153900 (__TEXT,__text) external _MTLMetalVariableCreate
00000002351537d0 (__TEXT,__text) external _MTLMetalVariableCreateWithModule
0000000235153b58 (__TEXT,__text) external _MTLMetalVariableDestroy
0000000235153d78 (__TEXT,__text) external _MTLMetalVariableGetAIRVersion
0000000235153e68 (__TEXT,__text) external _MTLMetalVariableGetAlias
0000000235153c6c (__TEXT,__text) external _MTLMetalVariableGetLLVMModule
0000000235153c10 (__TEXT,__text) external _MTLMetalVariableGetMetalModule
0000000235153df0 (__TEXT,__text) external _MTLMetalVariableGetMetalVersion
0000000235153d20 (__TEXT,__text) external _MTLMetalVariableGetModule
0000000235153bc0 (__TEXT,__text) external _MTLMetalVariableGetName
00000002351550f4 (__TEXT,__text) external _MTLModuleGetAsObject
0000000235154dcc (__TEXT,__text) external _MTLObjectCreate
0000000235154fec (__TEXT,__text) external _MTLObjectDestroy
0000000235155240 (__TEXT,__text) external _MTLObjectGetAsArchive
00000002351552b4 (__TEXT,__text) external _MTLObjectGetAsMetalLib
00000002351551e4 (__TEXT,__text) external _MTLObjectGetAsModule
00000002351472e4 (__TEXT,__text) external _MTLUpgradeAIRModule
0000000235147844 (__TEXT,__text) external _MTLVerifyAIRModule
0000000235147950 (__TEXT,__text) external _MTLWriteAIRBitcodeToMemoryBuffer
0000000235147bb0 (__TEXT,__text) external _MTLWriteAIRReflectionToMemoryBuffer
0000000235153f58 (__TEXT,__text) external _MTLWriteMetalLibToMemoryBuffer
                 (undefined) external __ZN10llvm_utils3sys16MaybeLazyLibrary25findInExplicitLoadedImageEPKc (from libGPUCompilerImpl)
                 (undefined) external __ZN10llvm_utils3sys16MaybeLazyLibrary26findInImplicitLoadedImagesEPKc (from libGPUCompilerImpl)
                 (undefined) external __ZN10llvm_utils3sys16MaybeLazyLibraryC1EPKvPKc (from libGPUCompilerImpl)
                 (undefined) external __ZN10llvm_utils3sys16MaybeLazyLibraryD1Ev (from libGPUCompilerImpl)
                 (undefined) external __ZN4llvm10TimerGroupD1Ev (from libLLVM)
                 (undefined) external __ZN4llvm11Instruction12setHasNoInfsEb (from libLLVM)
                 (undefined) external __ZN4llvm11Instruction12setHasNoNaNsEb (from libLLVM)
                 (undefined) external __ZN4llvm11NamedMDNode10setOperandEjPNS_6MDNodeE (from libLLVM)
                 (undefined) external __ZN4llvm11raw_ostream16SetBufferAndModeEPcmNS0_10BufferKindE (from libLLVM)
                 (undefined) external __ZN4llvm11raw_ostream5writeEPKcm (from libLLVM)
                 (undefined) external __ZN4llvm11raw_ostream5writeEh (from libLLVM)
                 (undefined) external __ZN4llvm11raw_ostreamD2Ev (from libLLVM)
                 (undefined) external __ZN4llvm11raw_ostreamlsEPKv (from libLLVM)
                 (undefined) external __ZN4llvm11raw_ostreamlsEm (from libLLVM)
                 (undefined) external __ZN4llvm12MemoryBuffer16getMemBufferCopyENS_9StringRefERKNS_5TwineE (from libLLVM)
                 (undefined) external __ZN4llvm13ErrorInfoBase2IDE (from libLLVM)
                 (undefined) external __ZN4llvm13StringMapImpl11RehashTableEj (from libLLVM)
                 (undefined) external __ZN4llvm13StringMapImpl15LookupBucketForENS_9StringRefE (from libLLVM)
                 (undefined) external __ZN4llvm14raw_fd_ostreamC1EibbNS_11raw_ostream11OStreamKindE (from libLLVM)
                 (undefined) external __ZN4llvm14raw_fd_ostreamD1Ev (from libLLVM)
                 (undefined) external __ZN4llvm15MemoryBufferRefC1ERKNS_12MemoryBufferE (from libLLVM)
                 (undefined) external __ZN4llvm15SmallVectorBaseIjE13mallocForGrowEmmRm (from libLLVM)
                 (undefined) external __ZN4llvm15SmallVectorBaseIyE8grow_podEPvmm (from libLLVM)
                 (undefined) external __ZN4llvm15allocate_bufferEmm (from libLLVM)
                 (undefined) external __ZN4llvm15setBugReportMsgEPKc (from libLLVM)
                 (undefined) external __ZN4llvm16IRChangedPrinterD1Ev (from libLLVM)
                 (undefined) external __ZN4llvm17TimePassesHandler5printEv (from libLLVM)
                 (undefined) external __ZN4llvm17deallocate_bufferEPvmm (from libLLVM)
                 (undefined) external __ZN4llvm18report_fatal_errorERKNS_5TwineEb (from libLLVM)
                 (undefined) external __ZN4llvm19InLineChangePrinterD1Ev (from libLLVM)
                 (undefined) external __ZN4llvm20DotCfgChangeReporterD1Ev (from libLLVM)
                 (undefined) external __ZN4llvm22EnablePrettyStackTraceEv (from libLLVM)
                 (undefined) external __ZN4llvm22PrintIRInstrumentationD1Ev (from libLLVM)
                 (undefined) external __ZN4llvm3air10APITrackerC2EPKcSt16initializer_listINSt3__18functionIFvRNS_11raw_ostreamEEEEE (from libGPUCompilerImpl)
                 (undefined) external __ZN4llvm3air10APITrackerD2Ev (from libGPUCompilerImpl)
                 (undefined) external __ZN4llvm3air10Reflection6createERKNS_6ModuleE (from libGPUCompilerImpl)
                 (undefined) external __ZN4llvm3air10ScriptFile6createENS_15MemoryBufferRefE (from libGPUCompilerImpl)
                 (undefined) external __ZN4llvm3air11MetalModule11materializeENSt3__110shared_ptrINS_6ModuleEEENS1_19MaterializationKindE (from libGPUCompilerImpl)
                 (undefined) external __ZN4llvm3air11MetalModule9serializeENSt3__110shared_ptrINS_6ModuleEEE (from libGPUCompilerImpl)
                 (undefined) external __ZN4llvm3air15verifyAIRModuleERKNS_6ModuleENS0_17VerificationLevelE (from libGPUCompilerImpl)
                 (undefined) external __ZN4llvm3air16MetalDefinedSymbC2ENSt3__110shared_ptrINS0_11MetalModuleEEENS_9StringRefES6_NS1_10SymbolFlagENS3_INS0_11MetalSourceEEENS_8ArrayRefIS9_EENSA_IhEE (from libGPUCompilerImpl)
                 (undefined) external __ZN4llvm3air16upgradeAIRModuleERNS_6ModuleENS_12VersionTupleE (from libGPUCompilerImpl)
                 (undefined) external __ZN4llvm3air18downgradeAIRModuleERNS_6ModuleENS_12VersionTupleE (from libGPUCompilerImpl)
                 (undefined) external __ZN4llvm3air20MetalLibObjectWriter5writeEv (from libGPUCompilerImpl)
                 (undefined) external __ZN4llvm3air20MetalLibObjectWriterC1ENSt3__110unique_ptrINS0_8MetalLibENS2_14default_deleteIS4_EEEERNS_17raw_pwrite_streamE (from libGPUCompilerImpl)
                 (undefined) external __ZN4llvm3air21WriteAIRBitcodeToFileEPKNS_6ModuleERNS_11raw_ostreamENS0_14BitcodeVersionEb (from libGPUCompilerImpl)
                 (undefined) external __ZN4llvm3air28NormalizeModuleForAIRBitcodeEPNS_6ModuleENS0_14BitcodeVersionE (from libGPUCompilerImpl)
                 (undefined) external __ZN4llvm3air7Archive9addMemberENS_9StringRefENSt3__110unique_ptrINS_6ModuleENS3_14default_deleteIS5_EEEE (from libGPUCompilerImpl)
                 (undefined) external __ZN4llvm3sys2fs16createUniqueFileERKNS_5TwineERiRNS_15SmallVectorImplIcEENS1_9OpenFlagsEj (from libLLVM)
                 (undefined) external __ZN4llvm3sys2fs18create_directoriesERKNS_5TwineEbNS1_5permsE (from libLLVM)
                 (undefined) external __ZN4llvm3sys4path14home_directoryERNS_15SmallVectorImplIcEE (from libLLVM)
                 (undefined) external __ZN4llvm3sys4path6appendERNS_15SmallVectorImplIcEERKNS_5TwineES7_S7_S7_ (from libLLVM)
                 (undefined) external __ZN4llvm5MachO19getArchitectureNameENS0_12ArchitectureE (from libLLVM)
                 (undefined) external __ZN4llvm5MachO26getArchitectureFromCpuTypeEjj (from libLLVM)
                 (undefined) external __ZN4llvm5TimerD1Ev (from libLLVM)
                 (undefined) external __ZN4llvm6ModuleD1Ev (from libLLVM)
                 (undefined) external __ZN4llvm6SHA256D1Ev (from libLLVM)
                 (undefined) external __ZN4llvm6TripleC1ERKNS_5TwineE (from libLLVM)
                 (undefined) external __ZN4llvm6legacy11PassManagerD1Ev (from libLLVM)
                 (undefined) external __ZN4llvm6object12createBinaryENS_15MemoryBufferRefEPNS_11LLVMContextEb (from libLLVM)
                 (undefined) external __ZN4llvm7MDTuple7getImplERNS_11LLVMContextENS_8ArrayRefIPNS_8MetadataEEENS4_11StorageTypeEb (from libLLVM)
                 (undefined) external __ZN4llvm7airdyld6Loader17setFunctionGroupsENS_15MutableArrayRefINSt3__110unique_ptrINS_3air13FunctionGroupENS3_14default_deleteIS6_EEEEEE (from libGPUCompilerImpl)
                 (undefined) external __ZN4llvm8Function9addFnAttrENS_9StringRefES1_ (from libLLVM)
                 (undefined) external __ZN4llvm8MDString3getERNS_11LLVMContextENS_9StringRefE (from libLLVM)
                 (undefined) external __ZN4llvm9ErrorList2IDE (from libLLVM)
                 (undefined) external __ZN4llvmlsERNS_11raw_ostreamERKNS_12VersionTupleE (from libLLVM)
                 (undefined) external __ZN7metalfe11GPUArchiver10dumpToFileERN4llvm11raw_ostreamES3_ (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUArchiver11addPipelineEjN4llvm8ArrayRefINS_16GPUArchiverIndexEEERNS1_11raw_ostreamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUArchiver11buildToFileERN4llvm11raw_ostreamERNS1_17raw_pwrite_streamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUArchiver11setUnitHashENS_16GPUArchiverIndexEN4llvm8ArrayRefIjEENS3_IA32_hEERNS2_11raw_ostreamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUArchiver12createWriterENS_22GPUArchiverProductKindEN4llvm9StringRefERNS2_11raw_ostreamEmb (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUArchiver12deleteWithIdEN4llvm9StringRefERNS1_11raw_ostreamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUArchiver12dumpToBufferERN4llvm11raw_ostreamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUArchiver13addDescriptorEN4llvm5MachO12ArchitectureEPKNS1_12MemoryBufferERNS1_11raw_ostreamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUArchiver13buildToBufferERN4llvm11raw_ostreamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUArchiver14setInstallNameEN4llvm9StringRefERNS1_11raw_ostreamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUArchiver16addLinkedModulesENS_16GPUArchiverIndexEN4llvm8ArrayRefIPNS2_12MemoryBufferEEERNS2_11raw_ostreamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUArchiver17setActivePlatformENS_25GPUArchiverActivePlatformERN4llvm11raw_ostreamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUArchiver17setUnitReflectionENS_16GPUArchiverIndexEPKN4llvm12MemoryBufferES5_RNS2_11raw_ostreamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUArchiver18createWriterWithIdENS_22GPUArchiverProductKindEN4llvm9StringRefERNS2_11raw_ostreamEmb (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUArchiver18keepPackingSymbolsERN4llvm11raw_ostreamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUArchiver20addUnitWithReferenceEN4llvm5MachO12ArchitectureEPKNS_18GPUArchiverUnitRefES6_S6_RNS1_11raw_ostreamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUArchiver30addLinkedModulesWithReferencesENS_16GPUArchiverIndexEN4llvm8ArrayRefIPKNS_18GPUArchiverUnitRefEEERNS2_11raw_ostreamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUArchiver30setUnitReflectionWithReferenceENS_16GPUArchiverIndexEPKNS_18GPUArchiverUnitRefES4_RN4llvm11raw_ostreamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUArchiver5flushERN4llvm11raw_ostreamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUArchiver6createEN4llvm9StringRefERNS1_11raw_ostreamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUArchiver7addToolEN4llvm5MachO12ArchitectureEjRKNS1_12VersionTupleERNS1_11raw_ostreamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUArchiver7addUnitEN4llvm5MachO12ArchitectureEPKNS1_12MemoryBufferES6_S6_RNS1_11raw_ostreamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUArchiver9packUnitsERN4llvm11raw_ostreamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUArchiver9setTargetEN4llvm5MachO12PlatformTypeERKNS1_12VersionTupleERNS1_11raw_ostreamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUArchiverD1Ev (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUCompiler10handleSPIsEN4llvm9StringRefERNS1_11raw_ostreamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUCompiler10loadToFileERN4llvm11LLVMContextENS1_15MutableArrayRefINSt3__110unique_ptrINS1_6ModuleENS5_14default_deleteIS7_EEEEEENS1_8ArrayRefIPKcEENS4_INS1_3air15UniqueObjectPtrEEESF_SI_SF_RNS1_11raw_ostreamERNS1_17raw_pwrite_streamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUCompiler12loadToBufferERN4llvm11LLVMContextENS1_15MutableArrayRefINSt3__110unique_ptrINS1_6ModuleENS5_14default_deleteIS7_EEEEEENS1_8ArrayRefIPKcEENS4_INS1_3air15UniqueObjectPtrEEESF_SI_SF_RNS1_11raw_ostreamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUCompiler12stitchToFileERN4llvm11LLVMContextENS1_15MutableArrayRefINSt3__110unique_ptrINS1_6ModuleENS5_14default_deleteIS7_EEEEEENS1_8ArrayRefINSC_IhEEEERNS1_11raw_ostreamERNS1_17raw_pwrite_streamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUCompiler13lowerToBufferERN4llvm11LLVMContextENSt3__110unique_ptrINS1_6ModuleENS4_14default_deleteIS6_EEEERNS1_11raw_ostreamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUCompiler13setTargetArchEN4llvm9StringRefE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUCompiler14stitchToBufferERN4llvm11LLVMContextENS1_15MutableArrayRefINSt3__110unique_ptrINS1_6ModuleENS5_14default_deleteIS7_EEEEEENS1_8ArrayRefINSC_IhEEEERNS1_11raw_ostreamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUCompiler15setTargetTripleEN4llvm9StringRefE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUCompiler17setStitcherScriptENSt3__110unique_ptrIN4llvm3air10ScriptFileENS1_14default_deleteIS5_EEEE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUCompiler18specializeFunctionERN4llvm11LLVMContextENSt3__110unique_ptrINS1_6ModuleENS4_14default_deleteIS6_EEEENS1_8ArrayRefINS1_3air4BindEEENS1_9StringRefENSA_IhEEbRNS1_11raw_ostreamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUCompiler24specializeDynamicLibraryERN4llvm11LLVMContextENSt3__110unique_ptrINS1_6ModuleENS4_14default_deleteIS6_EEEENS1_8ArrayRefINS1_3air4BindEEENS1_9StringRefENSA_IhEEbRNS1_11raw_ostreamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUCompiler24specializeFunctionToFileERN4llvm11LLVMContextENSt3__110unique_ptrINS1_6ModuleENS4_14default_deleteIS6_EEEENS1_8ArrayRefINS1_3air4BindEEENS1_9StringRefENSA_IhEERNS1_11raw_ostreamERNS1_17raw_pwrite_streamE (from libGPUCompilerImpl)
