                 (undefined) external _APP_SANDBOX_READ (from libsystem_sandbox)
00007ff8421d5678 (__DATA,__data) external _CMFSSEAM_DEFAULT
00007ff8421d4bc8 (__DATA,__const) non-external ___block_descriptor_tmp.1.720
00007ff8421d4270 (__DATA,__const) non-external ___block_descriptor_tmp.10
00007ff8421d4300 (__DATA,__const) non-external ___block_descriptor_tmp.10.305
00007ff8421d4580 (__DATA,__const) non-external ___block_descriptor_tmp.10.372
00007ff8421d4d80 (__DATA,__const) non-external ___block_descriptor_tmp.10.766
00007ff8421d55a0 (__DATA,__const) non-external ___block_descriptor_tmp.108
00007ff8421d55d0 (__DATA,__const) non-external ___block_descriptor_tmp.109
00007ff8421d4db0 (__DATA,__const) non-external ___block_descriptor_tmp.11
00007ff8421d5610 (__DATA,__const) non-external ___block_descriptor_tmp.112
00007ff8421d4aa0 (__DATA,__const) non-external ___block_descriptor_tmp.12
00007ff8421d4de0 (__DATA,__const) non-external ___block_descriptor_tmp.12.767
00007ff8421d4ad0 (__DATA,__const) non-external ___block_descriptor_tmp.13
00007ff8421d4e10 (__DATA,__const) non-external ___block_descriptor_tmp.13.773
00007ff8421d4340 (__DATA,__const) non-external ___block_descriptor_tmp.14
00007ff8421d4e40 (__DATA,__const) non-external ___block_descriptor_tmp.14.772
00007ff8421d3cd0 (__DATA,__const) non-external ___block_descriptor_tmp.148
00007ff8421d4930 (__DATA,__const) non-external ___block_descriptor_tmp.15
00007ff8421d4b10 (__DATA,__const) non-external ___block_descriptor_tmp.15.590
00007ff8421d3d00 (__DATA,__const) non-external ___block_descriptor_tmp.152
00007ff8421d4960 (__DATA,__const) non-external ___block_descriptor_tmp.16
00007ff8421d4e70 (__DATA,__const) non-external ___block_descriptor_tmp.16.775
00007ff8421d4990 (__DATA,__const) non-external ___block_descriptor_tmp.17
00007ff8421d4ea0 (__DATA,__const) non-external ___block_descriptor_tmp.17.778
00007ff8421d3da0 (__DATA,__const) non-external ___block_descriptor_tmp.175
00007ff8421d4ed0 (__DATA,__const) non-external ___block_descriptor_tmp.18
00007ff8421d3de0 (__DATA,__const) non-external ___block_descriptor_tmp.2
00007ff8421d43a0 (__DATA,__const) non-external ___block_descriptor_tmp.2.320
00007ff8421d4790 (__DATA,__const) non-external ___block_descriptor_tmp.2.532
00007ff8421d3e40 (__DATA,__const) non-external ___block_descriptor_tmp.24
00007ff8421d4f00 (__DATA,__const) non-external ___block_descriptor_tmp.24.779
00007ff8421d41e0 (__DATA,__const) non-external ___block_descriptor_tmp.249
00007ff8421d3e70 (__DATA,__const) non-external ___block_descriptor_tmp.26
00007ff8421d3ea0 (__DATA,__const) non-external ___block_descriptor_tmp.28
00007ff8421d4f30 (__DATA,__const) non-external ___block_descriptor_tmp.28.788
00007ff8421d4670 (__DATA,__const) non-external ___block_descriptor_tmp.29
00007ff8421d4f60 (__DATA,__const) non-external ___block_descriptor_tmp.29.791
00007ff8421d3e00 (__DATA,__const) non-external ___block_descriptor_tmp.3
00007ff8421d43c0 (__DATA,__const) non-external ___block_descriptor_tmp.3.323
00007ff8421d4500 (__DATA,__const) non-external ___block_descriptor_tmp.3.367
00007ff8421d47c0 (__DATA,__const) non-external ___block_descriptor_tmp.3.533
00007ff8421d4a00 (__DATA,__const) non-external ___block_descriptor_tmp.3.597
00007ff8421d4bf8 (__DATA,__const) non-external ___block_descriptor_tmp.3.725
00007ff8421d3ed0 (__DATA,__const) non-external ___block_descriptor_tmp.30
00007ff8421d4f90 (__DATA,__const) non-external ___block_descriptor_tmp.30.792
00007ff8421d42a0 (__DATA,__const) non-external ___block_descriptor_tmp.307
00007ff8421d3f10 (__DATA,__const) non-external ___block_descriptor_tmp.31
00007ff8421d4360 (__DATA,__const) non-external ___block_descriptor_tmp.313
00007ff8421d46b0 (__DATA,__const) non-external ___block_descriptor_tmp.32
00007ff8421d3f40 (__DATA,__const) non-external ___block_descriptor_tmp.33
00007ff8421d4fc0 (__DATA,__const) non-external ___block_descriptor_tmp.34
00007ff8421d3f70 (__DATA,__const) non-external ___block_descriptor_tmp.35
00007ff8421d3fa0 (__DATA,__const) non-external ___block_descriptor_tmp.36
00007ff8421d4ff0 (__DATA,__const) non-external ___block_descriptor_tmp.36.796
00007ff8421d44a0 (__DATA,__const) non-external ___block_descriptor_tmp.360
00007ff8421d5020 (__DATA,__const) non-external ___block_descriptor_tmp.37
00007ff8421d5050 (__DATA,__const) non-external ___block_descriptor_tmp.38
00007ff8421d5080 (__DATA,__const) non-external ___block_descriptor_tmp.39
00007ff8421d45b0 (__DATA,__const) non-external ___block_descriptor_tmp.395
00007ff8421d3e20 (__DATA,__const) non-external ___block_descriptor_tmp.4
00007ff8421d43e0 (__DATA,__const) non-external ___block_descriptor_tmp.4.325
00007ff8421d47f0 (__DATA,__const) non-external ___block_descriptor_tmp.4.534
00007ff8421d4c60 (__DATA,__const) non-external ___block_descriptor_tmp.4.740
00007ff8421d45f0 (__DATA,__const) non-external ___block_descriptor_tmp.403
00007ff8421d50b0 (__DATA,__const) non-external ___block_descriptor_tmp.41
00007ff8421d4630 (__DATA,__const) non-external ___block_descriptor_tmp.410
00007ff8421d50e0 (__DATA,__const) non-external ___block_descriptor_tmp.42
00007ff8421d5110 (__DATA,__const) non-external ___block_descriptor_tmp.44
00007ff8421d5140 (__DATA,__const) non-external ___block_descriptor_tmp.47
00007ff8421d46f0 (__DATA,__const) non-external ___block_descriptor_tmp.473
00007ff8421d5170 (__DATA,__const) non-external ___block_descriptor_tmp.49
00007ff8421d3d30 (__DATA,__const) non-external ___block_descriptor_tmp.5
00007ff8421d4410 (__DATA,__const) non-external ___block_descriptor_tmp.5.348
00007ff8421d4c90 (__DATA,__const) non-external ___block_descriptor_tmp.5.738
00007ff8421d51a0 (__DATA,__const) non-external ___block_descriptor_tmp.50
00007ff8421d4730 (__DATA,__const) non-external ___block_descriptor_tmp.503
00007ff8421d51d0 (__DATA,__const) non-external ___block_descriptor_tmp.55
00007ff8421d5200 (__DATA,__const) non-external ___block_descriptor_tmp.56
00007ff8421d4900 (__DATA,__const) non-external ___block_descriptor_tmp.568
00007ff8421d5230 (__DATA,__const) non-external ___block_descriptor_tmp.57
00007ff8421d5260 (__DATA,__const) non-external ___block_descriptor_tmp.58
00007ff8421d49c0 (__DATA,__const) non-external ___block_descriptor_tmp.593
00007ff8421d4440 (__DATA,__const) non-external ___block_descriptor_tmp.6
00007ff8421d4a40 (__DATA,__const) non-external ___block_descriptor_tmp.6.599
00007ff8421d4cc0 (__DATA,__const) non-external ___block_descriptor_tmp.6.749
00007ff8421d5290 (__DATA,__const) non-external ___block_descriptor_tmp.62
00007ff8421d52c0 (__DATA,__const) non-external ___block_descriptor_tmp.63
00007ff8421d52f0 (__DATA,__const) non-external ___block_descriptor_tmp.64
00007ff8421d41b0 (__DATA,__const) non-external ___block_descriptor_tmp.65
00007ff8421d5320 (__DATA,__const) non-external ___block_descriptor_tmp.65.812
00007ff8421d5350 (__DATA,__const) non-external ___block_descriptor_tmp.66
00007ff8421d5380 (__DATA,__const) non-external ___block_descriptor_tmp.67
00007ff8421d4b40 (__DATA,__const) non-external ___block_descriptor_tmp.670
00007ff8421d4b68 (__DATA,__const) non-external ___block_descriptor_tmp.692
00007ff8421d4470 (__DATA,__const) non-external ___block_descriptor_tmp.7
00007ff8421d4540 (__DATA,__const) non-external ___block_descriptor_tmp.7.377
00007ff8421d4820 (__DATA,__const) non-external ___block_descriptor_tmp.7.535
00007ff8421d4cf0 (__DATA,__const) non-external ___block_descriptor_tmp.7.763
00007ff8421d4b98 (__DATA,__const) non-external ___block_descriptor_tmp.716
00007ff8421d4c30 (__DATA,__const) non-external ___block_descriptor_tmp.736
00007ff8421d53b0 (__DATA,__const) non-external ___block_descriptor_tmp.79
00007ff8421d42e0 (__DATA,__const) non-external ___block_descriptor_tmp.8
00007ff8421d4850 (__DATA,__const) non-external ___block_descriptor_tmp.8.537
00007ff8421d4d20 (__DATA,__const) non-external ___block_descriptor_tmp.8.765
00007ff8421d53e0 (__DATA,__const) non-external ___block_descriptor_tmp.81
00007ff8421d5410 (__DATA,__const) non-external ___block_descriptor_tmp.82
00007ff8421d5440 (__DATA,__const) non-external ___block_descriptor_tmp.83
00007ff8421d5470 (__DATA,__const) non-external ___block_descriptor_tmp.84
00007ff8421d54a0 (__DATA,__const) non-external ___block_descriptor_tmp.88
00007ff8421d4240 (__DATA,__const) non-external ___block_descriptor_tmp.9
00007ff8421d4a70 (__DATA,__const) non-external ___block_descriptor_tmp.9.600
00007ff8421d4d50 (__DATA,__const) non-external ___block_descriptor_tmp.9.764
00007ff8421d54d0 (__DATA,__const) non-external ___block_descriptor_tmp.90
00007ff8421d5500 (__DATA,__const) non-external ___block_descriptor_tmp.91
00007ff8421d5540 (__DATA,__const) non-external ___block_descriptor_tmp.94
00007ff8421d5570 (__DATA,__const) non-external ___block_descriptor_tmp.97
00007ff8421d3ef0 (__DATA,__const) non-external ___block_literal_global
00007ff8421d4320 (__DATA,__const) non-external ___block_literal_global.11
00007ff8421d55f0 (__DATA,__const) non-external ___block_literal_global.110
00007ff8421d4af0 (__DATA,__const) non-external ___block_literal_global.14
00007ff8421d42c0 (__DATA,__const) non-external ___block_literal_global.296
00007ff8421d4690 (__DATA,__const) non-external ___block_literal_global.30
00007ff8421d46d0 (__DATA,__const) non-external ___block_literal_global.33
00007ff8421d4520 (__DATA,__const) non-external ___block_literal_global.366
00007ff8421d45d0 (__DATA,__const) non-external ___block_literal_global.394
00007ff8421d4a20 (__DATA,__const) non-external ___block_literal_global.4
00007ff8421d4610 (__DATA,__const) non-external ___block_literal_global.402
00007ff8421d4650 (__DATA,__const) non-external ___block_literal_global.409
00007ff8421d4710 (__DATA,__const) non-external ___block_literal_global.472
00007ff8421d49e0 (__DATA,__const) non-external ___block_literal_global.589
00007ff8421d4560 (__DATA,__const) non-external ___block_literal_global.8
00007ff8421d5520 (__DATA,__const) non-external ___block_literal_global.831
                 (undefined) external ___bzero (from libsystem_platform)
00007ff80ad150b0 (__TEXT,__text) non-external ___container_acquire_sandbox_extension_block_invoke
00007ff80ad0f015 (__TEXT,__text) non-external ___container_bundle_copy_data_container_block_invoke
00007ff80ad0e5b6 (__TEXT,__text) non-external ___container_bundle_copy_data_container_path_block_invoke
00007ff80ad12e4c (__TEXT,__text) non-external ___container_copy_code_signing_info_for_identifier_block_invoke
00007ff80ad14e8b (__TEXT,__text) non-external ___container_copy_from_path_block_invoke
00007ff80ad07692 (__TEXT,__text) non-external ___container_copy_info_block_invoke
00007ff80ad11c41 (__TEXT,__text) non-external ___container_copy_info_value_for_key_block_invoke
00007ff80ad07d00 (__TEXT,__text) non-external ___container_copy_object_block_invoke
00007ff80ad073a9 (__TEXT,__text) non-external ___container_copy_path_block_invoke
00007ff80ad14793 (__TEXT,__text) non-external ___container_copy_persona_unique_strings_block_invoke
00007ff80ad07ba8 (__TEXT,__text) non-external ___container_copy_sandbox_token_block_invoke
00007ff80ad153aa (__TEXT,__text) non-external ___container_create_or_lookup_app_group_path_by_app_group_identifier_block_invoke
00007ff80ad15bc6 (__TEXT,__text) non-external ___container_create_or_lookup_app_group_path_by_app_group_identifier_block_invoke_2
00007ff80ad100be (__TEXT,__text) non-external ___container_create_or_lookup_app_group_paths_for_current_user_block_invoke
00007ff80ad101ea (__TEXT,__text) non-external ___container_create_or_lookup_app_group_paths_for_platform_block_invoke
00007ff80ad104a7 (__TEXT,__text) non-external ___container_create_or_lookup_app_group_paths_from_entitlements_4ls_block_invoke
00007ff80ad0f1ed (__TEXT,__text) non-external ___container_create_or_lookup_for_current_user_block_invoke
00007ff80ad0f352 (__TEXT,__text) non-external ___container_create_or_lookup_for_platform_block_invoke
00007ff80ad0db96 (__TEXT,__text) non-external ___container_create_or_lookup_path_block_invoke
00007ff80ad0dcc4 (__TEXT,__text) non-external ___container_create_or_lookup_path_for_current_user_block_invoke
00007ff80ad0de29 (__TEXT,__text) non-external ___container_create_or_lookup_path_for_platform_block_invoke
00007ff80ad0f899 (__TEXT,__text) non-external ___container_create_or_lookup_system_group_paths_block_invoke
00007ff80ad13ee7 (__TEXT,__text) non-external ___container_create_or_lookup_user_managed_assets_path_block_invoke
00007ff80ad1405d (__TEXT,__text) non-external ___container_create_or_lookup_user_managed_assets_relative_path_block_invoke
00007ff80ad12bb1 (__TEXT,__text) non-external ___container_delete_all_container_content_block_invoke
00007ff80ad12a03 (__TEXT,__text) non-external ___container_delete_all_data_container_content_for_current_user_block_invoke
00007ff80ad117df (__TEXT,__text) non-external ___container_delete_array_of_containers_block_invoke
00007ff80ad11695 (__TEXT,__text) non-external ___container_delete_block_invoke
00007ff80ad1418a (__TEXT,__text) non-external ___container_delete_user_managed_assets_block_invoke
00007ff80ad113e3 (__TEXT,__text) non-external ___container_delete_with_class_and_identifier_for_current_user_block_invoke
00007ff80ad126f4 (__TEXT,__text) non-external ___container_disk_usage_block_invoke
00007ff80ad14993 (__TEXT,__text) non-external ___container_flush_container_cache_block_invoke
00007ff80ad14b63 (__TEXT,__text) non-external ___container_flush_persona_cache_block_invoke
00007ff80acf7511 (__TEXT,__text) non-external ___container_frozenset_enumerate_matches_block_invoke
00007ff80ad109b0 (__TEXT,__text) non-external ___container_get_all_with_class_for_current_user_block_invoke
00007ff80ad1074f (__TEXT,__text) non-external ___container_group_container_identifiers_for_current_user_block_invoke
00007ff80ad02609 (__TEXT,__text) non-external ___container_internal_get_first_boot_uuid_block_invoke
00007ff80ad13082 (__TEXT,__text) non-external ___container_invalidate_code_signing_cache_block_invoke
00007ff80ad02b6a (__TEXT,__text) non-external ___container_log_handle_for_category_block_invoke
00007ff80ad098a4 (__TEXT,__text) non-external ___container_object_separate_from_query
00007ff80acfdf7e (__TEXT,__text) non-external ___container_operation_complete_background_tasks_block_invoke
00007ff80acfd685 (__TEXT,__text) non-external ___container_operation_delete_array_block_invoke
00007ff80acfd468 (__TEXT,__text) non-external ___container_operation_delete_block_invoke
00007ff80acfdbfe (__TEXT,__text) non-external ___container_operation_delete_reclaim_disk_space_block_invoke
00007ff80acf98bd (__TEXT,__text) non-external ___container_paths_context_set_class_block_invoke
00007ff80acf9ab8 (__TEXT,__text) non-external ___container_paths_context_set_flags_block_invoke
00007ff80acf9bb7 (__TEXT,__text) non-external ___container_paths_context_set_persona_unique_string_block_invoke
00007ff80acf99bb (__TEXT,__text) non-external ___container_paths_context_set_transient_block_invoke
00007ff80acf9cfd (__TEXT,__text) non-external ___container_paths_context_set_uid_block_invoke
00007ff80acfbdc7 (__TEXT,__text) non-external ___container_paths_copy_container_root_path_for_context_block_invoke
00007ff80acfcaff (__TEXT,__text) non-external ___container_paths_copy_uid_home_relative_block_invoke
00007ff80acfc506 (__TEXT,__text) non-external ___container_paths_create_uid_home_relative_block_invoke
00007ff80acfaa0b (__TEXT,__text) non-external ___container_paths_enumerate_containers_at_block_invoke
00007ff80acfb500 (__TEXT,__text) non-external ___container_paths_enumerate_containers_at_block_invoke.23
00007ff80acfb9fa (__TEXT,__text) non-external ___container_paths_enumerate_containers_at_block_invoke.25
00007ff80acfb6f9 (__TEXT,__text) non-external ___container_paths_enumerate_containers_at_block_invoke.29
00007ff80acfb782 (__TEXT,__text) non-external ___container_paths_enumerate_containers_at_block_invoke_2
00007ff80ad0c898 (__TEXT,__text) non-external ___container_perfect_hash_create_block_invoke
00007ff80ad134a5 (__TEXT,__text) non-external ___container_perform_data_migration_block_invoke
00007ff80ad136bc (__TEXT,__text) non-external ___container_perform_data_migration_for_current_user_block_invoke
00007ff80ad14c96 (__TEXT,__text) non-external ___container_perform_with_client_context_block_invoke
00007ff80ad0298e (__TEXT,__text) non-external ___container_persona_collect_all_ids_block_invoke
00007ff80ad1247d (__TEXT,__text) non-external ___container_process_restored_container_block_invoke
00007ff80ad0da6e (__TEXT,__text) non-external ___container_pwd_copy_user_home_path_block_invoke
00007ff80ad0d2c8 (__TEXT,__text) non-external ___container_pwd_for_name_block_invoke
00007ff80ad0d60a (__TEXT,__text) non-external ___container_pwd_for_uid_block_invoke
00007ff80ad06a3f (__TEXT,__text) non-external ___container_query_copy_block_invoke
00007ff80ad056bc (__TEXT,__text) non-external ___container_query_count_results_block_invoke
00007ff80ad0625f (__TEXT,__text) non-external ___container_query_get_single_result_block_invoke
00007ff80ad06046 (__TEXT,__text) non-external ___container_query_iterate_results_sync_block_invoke
00007ff80ad064e3 (__TEXT,__text) non-external ___container_query_iterate_results_with_identifier_sync_block_invoke
00007ff80ad0681a (__TEXT,__text) non-external ___container_query_iterate_results_with_subquery_sync_block_invoke
00007ff80ad06842 (__TEXT,__text) non-external ___container_query_iterate_results_with_subquery_sync_block_invoke.5
00007ff80ad11ee1 (__TEXT,__text) non-external ___container_recreate_structure_block_invoke
00007ff80acffcfb (__TEXT,__text) non-external ___container_references_add_block_invoke
00007ff80ad014c8 (__TEXT,__text) non-external ___container_references_iterate_by_group_sync_block_invoke
00007ff80ad0094b (__TEXT,__text) non-external ___container_references_iterate_by_owner_sync_block_invoke
00007ff80acffacc (__TEXT,__text) non-external ___container_references_operation_set_flags_block_invoke
00007ff80ad007a4 (__TEXT,__text) non-external ___container_references_remove_block_invoke
00007ff80acff44b (__TEXT,__text) non-external ___container_references_set_class_block_invoke
00007ff80acff8a1 (__TEXT,__text) non-external ___container_references_set_persona_unique_string_block_invoke
00007ff80acff77e (__TEXT,__text) non-external ___container_references_set_uid_block_invoke
00007ff80ad12111 (__TEXT,__text) non-external ___container_regenerate_uuid_block_invoke
00007ff80ad15d02 (__TEXT,__text) non-external ___container_repair_user_data_block_invoke
00007ff80ad10b49 (__TEXT,__text) non-external ___container_replace_block_invoke
00007ff80acf7cfb (__TEXT,__text) non-external ___container_retry_test_block_invoke
00007ff80ad03e5a (__TEXT,__text) non-external ___container_seam_fs_ensure_lazy_loaded_block_invoke
00007ff80ad111c7 (__TEXT,__text) non-external ___container_set_code_signing_info_for_identifier_block_invoke
00007ff80ad131ec (__TEXT,__text) non-external ___container_set_data_protection_for_current_user_block_invoke
00007ff80ad1334d (__TEXT,__text) non-external ___container_set_data_protection_for_current_user_block_invoke_2
00007ff80ad11979 (__TEXT,__text) non-external ___container_set_info_value_block_invoke
00007ff80acf7ead (__TEXT,__text) non-external ___container_set_test_lock_block_invoke
00007ff80ad13828 (__TEXT,__text) non-external ___container_stage_shared_system_content_block_invoke
00007ff80ad0ad56 (__TEXT,__text) non-external ___container_string_rom_create_block_invoke
00007ff80ad143d4 (__TEXT,__text) non-external ___container_subdirectories_for_class_block_invoke
00007ff80ad0f6c2 (__TEXT,__text) non-external ___container_system_group_path_for_identifier_block_invoke
00007ff80ad0f4ed (__TEXT,__text) non-external ___container_system_path_for_identifier_block_invoke
00007ff80ad13a9c (__TEXT,__text) non-external ___container_user_managed_assets_path_block_invoke
00007ff80ad13d6f (__TEXT,__text) non-external ___container_user_managed_assets_relative_path_block_invoke
00007ff80acfea40 (__TEXT,__text) non-external ___container_xpc_create_connection_block_invoke
00007ff80acff1ee (__TEXT,__text) non-external ___container_xpc_create_connection_block_invoke_2
00007ff80acf6029 (__TEXT,__text) non-external ___container_xpc_decode_create_container_object_array_block_invoke
00007ff80ad01688 (__TEXT,__text) non-external ___container_xpc_send_message_block_invoke
00007ff80ad01e9b (__TEXT,__text) non-external ___container_xpc_send_sync_message_block_invoke
00007ff8421d4b60 (__DATA,__const) non-external ___containermanager_what
00007ff80acfbb7c (__TEXT,__text) non-external (was a private external) ___copy_helper_block_8_32b
00007ff80acfbba6 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_8_32b40r
00007ff80acfb6ff (__TEXT,__text) non-external (was a private external) ___copy_helper_block_8_32b40r48r
00007ff80acfb44b (__TEXT,__text) non-external ___copy_helper_block_8_32b40r48r56r
00007ff80acf757f (__TEXT,__text) non-external (was a private external) ___copy_helper_block_8_32r
00007ff80acf6099 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_8_32r40r
00007ff80acfc8fc (__TEXT,__text) non-external (was a private external) ___copy_helper_block_8_32r40r48r
00007ff80acfbb93 (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_8_32b
00007ff80acfbbde (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_8_32b40r
00007ff80acfb749 (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_8_32b40r48r
00007ff80acfb4a7 (__TEXT,__text) non-external ___destroy_helper_block_8_32b40r48r56r
00007ff80acf7596 (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_8_32r
00007ff80acf60d1 (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_8_32r40r
00007ff80acfc946 (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_8_32r40r48r
                 (undefined) external ___error (from libsystem_kernel)
00007ff8421d5b08 (__DATA,__bss) non-external ___initialize_container_sandbox_extensions.notify_token
00007ff8421d5b10 (__DATA,__bss) non-external ___initialize_container_sandbox_extensions.onceToken
00007ff8421d5b00 (__DATA,__bss) non-external ___initialize_container_sandbox_extensions.queue
                 (undefined) external ___stack_chk_fail (from libsystem_c)
                 (undefined) external ___stack_chk_guard (from libsystem_c)
                 (undefined) external ___strlcpy_chk (from libsystem_c)
00007ff80ad01a4e (__TEXT,__text) non-external __block_invoke
00007ff80ad0e690 (__TEXT,__text) non-external __common_bundle_lookup
00007ff80ad134d3 (__TEXT,__text) non-external __common_perform_data_migration
00007ff80ad13ad6 (__TEXT,__text) non-external __common_user_managed_assets_path
00007ff80acffd42 (__TEXT,__text) non-external __container_add_remove
00007ff80ad11000 (__TEXT,__text) non-external __container_async_reclaim_disk_space
00007ff8421d5b50 (__DATA,__bss) non-external __container_async_reclaim_disk_space.onceToken
00007ff8421d5b48 (__DATA,__bss) non-external __container_async_reclaim_disk_space.queue
00007ff80ad09dc9 (__TEXT,__text) non-external __container_base64_decode
00007ff80ad02464 (__TEXT,__text) non-external __container_entitlements_append_strings_to_array
00007ff80ad024da (__TEXT,__text) external __container_init
00007ff80ad0df0a (__TEXT,__text) non-external __container_legacy_lookup
00007ff80ad0fa2f (__TEXT,__text) non-external __container_legacy_lookup_multiple
00007ff80ad039fd (__TEXT,__text) non-external __container_log_replication_enable_to_uid_relative_path
00007ff8421d597c (__DATA,__bss) non-external __container_log_replication_enable_to_uid_relative_path.enabled
00007ff8421d5970 (__DATA,__bss) non-external __container_log_replication_enable_to_uid_relative_path.g_log_hook
00007ff8421d5978 (__DATA,__bss) non-external __container_log_replication_enable_to_uid_relative_path.lock
00007ff8421d5674 (__DATA,__data) non-external __container_log_replication_enable_to_uid_relative_path.log_fd
00007ff8421d5980 (__DATA,__bss) non-external __container_log_replication_enable_to_uid_relative_path.onceToken
00007ff8421d40d0 (__DATA,__const) non-external __container_paths_definition_from_type.definitions
00007ff8421d3fd0 (__DATA,__const) non-external __container_paths_get_volume_relative_path._relative_paths
00007ff8421d4050 (__DATA,__const) non-external __container_paths_get_volume_relative_path._transient_relative_paths
00007ff80acfc810 (__TEXT,__text) non-external __container_paths_in_reverse_order_from_type_do
00007ff80acfb4ee (__TEXT,__text) non-external __container_paths_passthru_dispatch_async
00007ff80ad0d41f (__TEXT,__text) non-external __container_pwd
00007ff80ad056e4 (__TEXT,__text) non-external __container_query_execute
00007ff80ad068dd (__TEXT,__text) external __container_query_get_servicing_pid
00007ff80ad04b4a (__TEXT,__text) non-external __container_query_log_if_error
00007ff80ad04c3e (__TEXT,__text) non-external __container_query_replace_error
00007ff80ad04b18 (__TEXT,__text) non-external __container_query_set_usage_error
00007ff80ad01525 (__TEXT,__text) external __container_references_get_servicing_pid
00007ff80acff593 (__TEXT,__text) non-external __container_references_log_if_error
00007ff80ad00997 (__TEXT,__text) non-external __container_references_query_execute
00007ff80acff547 (__TEXT,__text) non-external __container_references_replace_error
