00007ffa0704c38c (__TEXT,__text) non-external +[Cube initialize]
00007ffa06f7e95a (__TEXT,__text) non-external +[MCAnimationKeyframe1D keyframeWithScalar:atTime:]
00007ffa06f7e96e (__TEXT,__text) non-external +[MCAnimationKeyframe1D keyframeWithScalar:atTime:offsetKind:]
00007ffa06f7f9b4 (__TEXT,__text) non-external +[MCAnimationKeyframe2D keyframeWithPoint:atTime:]
00007ffa06f7f9c8 (__TEXT,__text) non-external +[MCAnimationKeyframe2D keyframeWithPoint:atTime:offsetKind:]
00007ffa06f7ec7b (__TEXT,__text) non-external +[MCAnimationKeyframeFunction keyframeWithFunction:atTime:offsetKind:forDuration:]
00007ffa06f8046c (__TEXT,__text) non-external +[MCAnimationKeyframeVector keyframeWithVector:atTime:]
00007ffa06f80480 (__TEXT,__text) non-external +[MCAnimationKeyframeVector keyframeWithVector:atTime:offsetKind:]
00007ffa06f80948 (__TEXT,__text) non-external +[MCAnimationPath animationPathWithKey:]
00007ffa06f823e3 (__TEXT,__text) non-external +[MCAnimationPathExpression animationPathWithKey:andExpression:]
00007ffa06f826b1 (__TEXT,__text) non-external +[MCAnimationPathKeyframed animationPathWithKey:]
00007ffa06f82634 (__TEXT,__text) non-external +[MCAnimationPathKeyframed keyPathsForValuesAffectingValueForKey:]
00007ffa06f832e3 (__TEXT,__text) non-external +[MCAnimationPathKeyframed timeForKeyframe:withPlugTiming:]
00007ffa06f7c164 (__TEXT,__text) non-external +[MCAnimationTrigger animationTriggerForTargetPlugObjectID:withAnimationKey:]
00007ffa06f846eb (__TEXT,__text) non-external +[MCAudioPlaylist keyPathsForValuesAffectingValueForKey:]
00007ffa06f7afe7 (__TEXT,__text) non-external +[MCConditionalAction conditionalActionWithPredicate:]
00007ffa06f7b01f (__TEXT,__text) non-external +[MCConditionalAction conditionalActionWithPredicate:actionIfTrue:actionIfFalse:]
00007ffa06f86d3d (__TEXT,__text) non-external +[MCContainerEffect keyPathsForValuesAffectingValueForKey:]
00007ffa06f8d384 (__TEXT,__text) non-external +[MCContainerParallelizer keyPathsForValuesAffectingValueForKey:]
00007ffa06f8ec61 (__TEXT,__text) non-external +[MCContainerSerializer keyPathsForValuesAffectingValueForKey:]
00007ffa06f7deb9 (__TEXT,__text) non-external +[MCGenericAction genericActionForTargetPlugObjectID:withAttributes:]
00007ffa06f7d2ed (__TEXT,__text) non-external +[MCMotionTrigger motionTriggerForTargetPlugObjectID:withKey:andDuration:]
00007ffa06f7db16 (__TEXT,__text) non-external +[MCMotionTriggerExpression motionTriggerForTargetPlugObjectID:withKey:duration:andExpression:]
00007ffa06f7d8ad (__TEXT,__text) non-external +[MCMotionTriggerScalar motionTriggerForTargetPlugObjectID:withKey:duration:andValue:]
00007ffa06f95861 (__TEXT,__text) non-external +[MCObject objectWithImprint:andMontage:]
00007ffa06f955af (__TEXT,__text) non-external +[MCObjectBase addArrayElement:toXMLElement:forName:]
00007ffa06f952e3 (__TEXT,__text) non-external +[MCObjectBase addDictionaryElement:toXMLElement:forName:]
00007ffa06f95183 (__TEXT,__text) non-external +[MCObjectBase addDoubleAttribute:toXMLElement:forName:]
00007ffa06f950da (__TEXT,__text) non-external +[MCObjectBase addFloatAttribute:toXMLElement:forName:]
00007ffa06f95240 (__TEXT,__text) non-external +[MCObjectBase addIntegerAttribute:toXMLElement:forName:]
00007ffa06f95054 (__TEXT,__text) non-external +[MCObjectBase addStringAttribute:toXMLElement:forName:]
00007ffa06f94f02 (__TEXT,__text) non-external +[MCObjectBase initialize]
00007ffa06f957b1 (__TEXT,__text) non-external +[MCObjectLight objectWithImprint:]
00007ffa06f96283 (__TEXT,__text) non-external +[MCPlug keyPathsForValuesAffectingValueForKey:]
00007ffa06f99298 (__TEXT,__text) non-external +[MCPlugParallel keyPathsForValuesAffectingValueForKey:]
00007ffa06f9e4e9 (__TEXT,__text) non-external +[MCPlugSerial keyPathsForValuesAffectingValueForKey:]
00007ffa06f9edaf (__TEXT,__text) non-external +[MCSlide keyPathsForValuesAffectingValueForKey:]
00007ffa06fa4f2d (__TEXT,__text) non-external +[MCSong keyPathsForValuesAffectingValueForKey:]
00007ffa06f7c802 (__TEXT,__text) non-external +[MCStateOperation stateOperationForTargetPlugObjectID:withStateKey:]
00007ffa06f7d03f (__TEXT,__text) non-external +[MCStateOperationExpression stateOperationForTargetPlugObjectID:withStateKey:andExpression:]
00007ffa06f7cb1d (__TEXT,__text) non-external +[MCStateOperationScalarSet stateOperationForTargetPlugObjectID:withStateKey:andScalar:]
00007ffa06f7cd91 (__TEXT,__text) non-external +[MCStateOperationStringSet stateOperationForTargetPlugObjectID:withStateKey:andString:]
00007ffa06fb12c5 (__TEXT,__text) non-external +[MCTextConversion attributedStringWithCTAttributesFromStringAttributes:]
00007ffa06fb1d6f (__TEXT,__text) non-external +[MCTextConversion attributedStringWithNSAttributesFromStringAttributes:]
00007ffa06fafb8e (__TEXT,__text) non-external +[MCTextConversion ligatureFromString:]
00007ffa06fafc29 (__TEXT,__text) non-external +[MCTextConversion shadowFromTextFormat:]
00007ffa06fafa62 (__TEXT,__text) non-external +[MCTextConversion stretchForFontDisplayName:andFamilyName:]
00007ffa06fb1027 (__TEXT,__text) non-external +[MCTextConversion stringAttributesWithAttributedString:]
00007ffa06fafbfb (__TEXT,__text) non-external +[MCTextConversion stringFromLigature:]
00007ffa06fafb5e (__TEXT,__text) non-external +[MCTextConversion stringFromTextAlignment:]
00007ffa06faf8ec (__TEXT,__text) non-external +[MCTextConversion styleForFontDisplayName:andFamilyName:]
00007ffa06fafaf0 (__TEXT,__text) non-external +[MCTextConversion textAlignmentFromString:]
00007ffa06fafe0d (__TEXT,__text) non-external +[MCTextConversion textFormatFromShadow:]
00007ffa06fb007b (__TEXT,__text) non-external +[MCTextConversion textFormatFromUnderlineStyle:]
00007ffa06fb0198 (__TEXT,__text) non-external +[MCTextConversion textFormatWithCTAttributesForText:attributes:]
00007ffa06fb09b1 (__TEXT,__text) non-external +[MCTextConversion textFormatWithNSAttributesForText:attributes:]
00007ffa06fafef8 (__TEXT,__text) non-external +[MCTextConversion underlineStyleFromTextFormat:]
00007ffa06faf9aa (__TEXT,__text) non-external +[MCTextConversion weightForFontDisplayName:andFamilyName:]
00007ffa06f7bbae (__TEXT,__text) non-external +[MCTransitionTrigger transitionForTargetPlugObjectID:withTransitionID:]
00007ffa0700b11a (__TEXT,__text) non-external +[MEAudioSupport _addAudioPlaylistsFromPlug:toComposition:atTime:forTotalDuration:withID:forExport:fadingTimVols:duckingTimVols:assetManagementDelegate:]
00007ffa0700adf5 (__TEXT,__text) non-external +[MEAudioSupport _getShowTime:andShowDuration:forPlug:andSlideIndex:]
00007ffa0700ca9d (__TEXT,__text) non-external +[MEAudioSupport _insertAudioTracksFromAsset:toComposition:atTime:withSongStartTime:songDuration:]
00007ffa0700cfe1 (__TEXT,__text) non-external +[MEAudioSupport _makeAVAudioMixForComposition:withDuration:andFadeOutDuration:fadingInfos:duckingInfos:]
00007ffa0700a9ce (__TEXT,__text) non-external +[MEAudioSupport compositionForExportForStartTime:andDuration:withDocument:forExport:audioMix:]
00007ffa06fa6758 (__TEXT,__text) non-external +[MEExporter copyWebRendererToPath:useDebug:]
00007ffa06fa69fe (__TEXT,__text) non-external +[MEExporter postProcessWebRendererAtPath:]
00007ffa06fa72da (__TEXT,__text) non-external +[MEExporter(Private) createErrorWithCode:andDescription:andSuggestion:andUnderlyingError:outError:]
00007ffa06fa73cc (__TEXT,__text) non-external +[MEExporter(Private) createErrorWithCode:andDescription:outError:]
00007ffa06fa73fb (__TEXT,__text) non-external +[MEExporter(Private) createNotEnoughSpaceErrorForFreeSpace:andNeededSpace:outError:]
00007ffa06fa716d (__TEXT,__text) non-external +[MEExporter(Private) createTemporaryDirectoryForPath:error:]
00007ffa06fa7586 (__TEXT,__text) non-external +[MEExporter(Private) localizedString:]
00007ffa06fa7800 (__TEXT,__text) non-external +[MEExporterManager releaseSharedManager]
00007ffa06fa7791 (__TEXT,__text) non-external +[MEExporterManager sharedManager]
00007ffa06ffa9c1 (__TEXT,__text) non-external +[MEImageExporter operationWithOriginalPath:loadedImage:size:andDestinationPath:]
00007ffa06ffa96a (__TEXT,__text) non-external +[MEImageExporter operationWithOriginalPath:size:andDestinationPath:]
00007ffa06ffa909 (__TEXT,__text) non-external +[MEImageExporter operationWithOriginalPath:size:blackWhite:andDestinationPath:]
00007ffa06fa8638 (__TEXT,__text) non-external +[MEPluginHTML5 matchesOptions:]
00007ffa06fa85cc (__TEXT,__text) non-external +[MEPluginHTML5 registerPluginsToLoader:]
00007ffa06fe497f (__TEXT,__text) non-external +[MEPluginPDF matchesOptions:]
00007ffa06fe4913 (__TEXT,__text) non-external +[MEPluginPDF registerPluginsToLoader:]
00007ffa070774a6 (__TEXT,__text) non-external +[MEPluginVideoAVFoundation matchesOptions:]
00007ffa07077421 (__TEXT,__text) non-external +[MEPluginVideoAVFoundation registerPluginsToLoader:]
00007ffa07079ad7 (__TEXT,__text) non-external +[MEPluginVideoImageSequence matchesOptions:]
00007ffa07079a52 (__TEXT,__text) non-external +[MEPluginVideoImageSequence registerPluginsToLoader:]
00007ffa06dc0c46 (__TEXT,__text) non-external +[MPAction action]
00007ffa06dc0c3b (__TEXT,__text) non-external +[MPAction supportsSecureCoding]
00007ffa06dc34ca (__TEXT,__text) non-external +[MPActionGroup actionGroup]
00007ffa06dc34e3 (__TEXT,__text) non-external +[MPActionGroup supportsSecureCoding]
00007ffa06dc2038 (__TEXT,__text) non-external +[MPActionTrigger actionTrigger]
00007ffa06dc202d (__TEXT,__text) non-external +[MPActionTrigger supportsSecureCoding]
00007ffa06dc43a4 (__TEXT,__text) non-external +[MPAnimatedSet supportsSecureCoding]
00007ffa06dc7b70 (__TEXT,__text) non-external +[MPAnimationKeyframe supportsSecureCoding]
00007ffa06dc811b (__TEXT,__text) non-external +[MPAnimationKeyframe1D keyframe1DWithScalar:atTime:]
00007ffa06dc815b (__TEXT,__text) non-external +[MPAnimationKeyframe1D keyframe1DWithScalar:atTime:offsetType:]
00007ffa06dc8110 (__TEXT,__text) non-external +[MPAnimationKeyframe1D supportsSecureCoding]
00007ffa06dc85be (__TEXT,__text) non-external +[MPAnimationKeyframe2D keyframe2DWithPoint:atTime:]
00007ffa06dc8608 (__TEXT,__text) non-external +[MPAnimationKeyframe2D keyframe2DWithPoint:atTime:offsetType:]
00007ffa06dc85b3 (__TEXT,__text) non-external +[MPAnimationKeyframe2D supportsSecureCoding]
00007ffa06dc9b02 (__TEXT,__text) non-external +[MPAnimationKeyframeFunction keyframeFunctionWithFunction:atTime:offsetType:withDuration:]
00007ffa06dc9aba (__TEXT,__text) non-external +[MPAnimationKeyframeFunction keyframeFunctionWithFunction:atTime:withDuration:]
00007ffa06dc9aaf (__TEXT,__text) non-external +[MPAnimationKeyframeFunction supportsSecureCoding]
00007ffa06dc9602 (__TEXT,__text) non-external +[MPAnimationKeyframeVector keyframeVectorWithVector:atTime:]
00007ffa06dc963d (__TEXT,__text) non-external +[MPAnimationKeyframeVector keyframeVectorWithVector:atTime:offsetType:]
00007ffa06dc95f7 (__TEXT,__text) non-external +[MPAnimationKeyframeVector supportsSecureCoding]
00007ffa06dca9d7 (__TEXT,__text) non-external +[MPAnimationManager releaseSharedManager]
00007ffa06dca966 (__TEXT,__text) non-external +[MPAnimationManager sharedManager]
00007ffa06dcaab1 (__TEXT,__text) non-external +[MPAnimationManager(Private) loadAnimationManagerWithPaths:]
00007ffa06dcafcb (__TEXT,__text) non-external +[MPAnimationPath animationPath]
00007ffa06dcafc0 (__TEXT,__text) non-external +[MPAnimationPath supportsSecureCoding]
00007ffa06dcb23a (__TEXT,__text) non-external +[MPAnimationPathCombo animationPath]
00007ffa06dcb22f (__TEXT,__text) non-external +[MPAnimationPathCombo supportsSecureCoding]
00007ffa06dcbbba (__TEXT,__text) non-external +[MPAnimationPathKeyframed animationPath]
00007ffa06dcbbaf (__TEXT,__text) non-external +[MPAnimationPathKeyframed supportsSecureCoding]
00007ffa06dc1b28 (__TEXT,__text) non-external +[MPAnimationTrigger animationTrigger]
00007ffa06dc1b1d (__TEXT,__text) non-external +[MPAnimationTrigger supportsSecureCoding]
00007ffa06dcf3f4 (__TEXT,__text) non-external +[MPAssetManager releaseSharedManager]
00007ffa06dcf3e8 (__TEXT,__text) non-external +[MPAssetManager setInhibitSharedManagerInit:]
00007ffa06dac3ba (__TEXT,__text) non-external +[MPAssetManager sharedManager]
00007ffa06dd0194 (__TEXT,__text) non-external +[MPAssetManager(ImageUtils) convertCGImageToBuffer:]
00007ffa06dd0483 (__TEXT,__text) non-external +[MPAssetManager(ImageUtils) convertCGImageToBufferUsingDataProvider:]
00007ffa06dd0320 (__TEXT,__text) non-external +[MPAssetManager(ImageUtils) convertCGImageToBufferUsingRGBDevice:]
00007ffa06dd06a2 (__TEXT,__text) non-external +[MPAudioPlaylist audioPlaylist]
00007ffa06dd0671 (__TEXT,__text) non-external +[MPAudioPlaylist automaticallyNotifiesObserversForKey:]
00007ffa06dd0697 (__TEXT,__text) non-external +[MPAudioPlaylist supportsSecureCoding]
00007ffa06dd2883 (__TEXT,__text) non-external +[MPAuthoringController releaseSharedController]
00007ffa06dd2824 (__TEXT,__text) non-external +[MPAuthoringController sharedController]
00007ffa06e10f41 (__TEXT,__text) non-external +[MPAuthoringUtilities alignToBeatsFromOptions:]
00007ffa06e1373b (__TEXT,__text) non-external +[MPAuthoringUtilities alwaysIncludeLastTransitionFromOptions:]
00007ffa06e11a17 (__TEXT,__text) non-external +[MPAuthoringUtilities aspectRatioFromOptions:]
00007ffa06e13f87 (__TEXT,__text) non-external +[MPAuthoringUtilities aspectRatioMatchesDefault:withOptions:]
00007ffa06e10694 (__TEXT,__text) non-external +[MPAuthoringUtilities audioDurationFactorFromOptions:]
00007ffa06e10656 (__TEXT,__text) non-external +[MPAuthoringUtilities audioDurationFromOptions:]
00007ffa06e106d2 (__TEXT,__text) non-external +[MPAuthoringUtilities audioScalingModeFromOptions:]
00007ffa06e111dd (__TEXT,__text) non-external +[MPAuthoringUtilities backgroundColorFromOptions:]
00007ffa06e13c45 (__TEXT,__text) non-external +[MPAuthoringUtilities baseBreakAspectRatioFromOptions:]
00007ffa06e13cd1 (__TEXT,__text) non-external +[MPAuthoringUtilities basePortraitBreakAspectRatioFromOptions:]
00007ffa06e11194 (__TEXT,__text) non-external +[MPAuthoringUtilities beatFactorFromOptions:]
00007ffa06e13b2d (__TEXT,__text) non-external +[MPAuthoringUtilities breakDurationScaleFromOptions:]
00007ffa06e134e2 (__TEXT,__text) non-external +[MPAuthoringUtilities canAdjustPhaseDurations:]
00007ffa06e13150 (__TEXT,__text) non-external +[MPAuthoringUtilities canHaveTransitionsFromOptions:]
00007ffa06e114c4 (__TEXT,__text) non-external +[MPAuthoringUtilities canRepeatEffectWithPreset:]
00007ffa06e1163a (__TEXT,__text) non-external +[MPAuthoringUtilities canRepeatPreset:]
00007ffa06e11baf (__TEXT,__text) non-external +[MPAuthoringUtilities collectVersionInformationFromOptions:]
00007ffa06e12f76 (__TEXT,__text) non-external +[MPAuthoringUtilities colorSchemeFromOptions:]
00007ffa06e10feb (__TEXT,__text) non-external +[MPAuthoringUtilities createBeatsFromOptions:]
00007ffa06e107b0 (__TEXT,__text) non-external +[MPAuthoringUtilities croppingModeForFitMoviesFromOptions:]
00007ffa06e1070a (__TEXT,__text) non-external +[MPAuthoringUtilities croppingModeFromOptions:]
00007ffa06e139cd (__TEXT,__text) non-external +[MPAuthoringUtilities customDurationsFromOptions:]
00007ffa06e141fa (__TEXT,__text) non-external +[MPAuthoringUtilities distanceBetween:andPoint:]
00007ffa06e11371 (__TEXT,__text) non-external +[MPAuthoringUtilities durationPerEffectFromOptions:]
00007ffa06e10c28 (__TEXT,__text) non-external +[MPAuthoringUtilities easeKenBurnsPanFromOptions:]
00007ffa06e12ebb (__TEXT,__text) non-external +[MPAuthoringUtilities effectDecidesTransitionFromOptions:]
00007ffa06e11a5a (__TEXT,__text) non-external +[MPAuthoringUtilities effectListFromOptions:]
00007ffa06e1157f (__TEXT,__text) non-external +[MPAuthoringUtilities effectNeedsPreviousAttributesFromOptions:]
00007ffa06e12765 (__TEXT,__text) non-external +[MPAuthoringUtilities effectPadding:]
00007ffa06e12877 (__TEXT,__text) non-external +[MPAuthoringUtilities exportTransitionDurationFromOptions:]
00007ffa06e1280d (__TEXT,__text) non-external +[MPAuthoringUtilities exportTransitionIDFromOptions:]
00007ffa06e136c5 (__TEXT,__text) non-external +[MPAuthoringUtilities fadeOutAudioFromOptions:]
00007ffa06e139ec (__TEXT,__text) non-external +[MPAuthoringUtilities fadeOutDurationFromOptions:]
00007ffa06e11973 (__TEXT,__text) non-external +[MPAuthoringUtilities fitMoviesWhenPossibleFromOptions:]
00007ffa06e13f68 (__TEXT,__text) non-external +[MPAuthoringUtilities gapInformationFromOptions:]
00007ffa06e12301 (__TEXT,__text) non-external +[MPAuthoringUtilities idFromPresetID:]
00007ffa06e102ec (__TEXT,__text) non-external +[MPAuthoringUtilities ignoreClusteringForImages:withOptions:]
00007ffa06e11ca8 (__TEXT,__text) non-external +[MPAuthoringUtilities ignoreTransitionListFromOptions:]
00007ffa06e11e21 (__TEXT,__text) non-external +[MPAuthoringUtilities introDurationFromOptions:]
00007ffa06e12159 (__TEXT,__text) non-external +[MPAuthoringUtilities introEffectIDFromOptions:]
00007ffa06e13ee0 (__TEXT,__text) non-external +[MPAuthoringUtilities isLayerEffectAuthoredFromOptions:]
00007ffa06e14119 (__TEXT,__text) non-external +[MPAuthoringUtilities kbCenterPointFromRect:]
00007ffa06e10b02 (__TEXT,__text) non-external +[MPAuthoringUtilities kenBurnsAlwaysZoomInFromOptions:]
00007ffa06e10b95 (__TEXT,__text) non-external +[MPAuthoringUtilities kenBurnsBreaksFromOptions:]
00007ffa06e10a6d (__TEXT,__text) non-external +[MPAuthoringUtilities kenBurnsEndZoomLevelFromOptions:]
00007ffa06e10cbb (__TEXT,__text) non-external +[MPAuthoringUtilities kenBurnsLevelFromOptions:]
00007ffa06e10825 (__TEXT,__text) non-external +[MPAuthoringUtilities kenBurnsLikelihoodFromOptions:]
00007ffa06e10d71 (__TEXT,__text) non-external +[MPAuthoringUtilities kenBurnsOffsetTypeFromOptions:]
00007ffa06e10923 (__TEXT,__text) non-external +[MPAuthoringUtilities kenBurnsPanFactorFromOptions:]
00007ffa06e109d8 (__TEXT,__text) non-external +[MPAuthoringUtilities kenBurnsStartZoomLevelFromOptions:]
00007ffa06e11af6 (__TEXT,__text) non-external +[MPAuthoringUtilities kenBurnsZoomFactorFromOptions:]
00007ffa06e12536 (__TEXT,__text) non-external +[MPAuthoringUtilities lastPresetFromOptions:]
00007ffa06e10e09 (__TEXT,__text) non-external +[MPAuthoringUtilities layerCanSkipScaleCalculation:withOptions:]
00007ffa06e128ee (__TEXT,__text) non-external +[MPAuthoringUtilities layerDescriptionForLayerWithZIndex:forStyle:]
00007ffa06e12a9c (__TEXT,__text) non-external +[MPAuthoringUtilities layerHasImagesFromOptions:]
00007ffa06e1061e (__TEXT,__text) non-external +[MPAuthoringUtilities layerIndexFromOptions:]
00007ffa06e11430 (__TEXT,__text) non-external +[MPAuthoringUtilities layerOffsetFromOptions:]
00007ffa06e110de (__TEXT,__text) non-external +[MPAuthoringUtilities layerTimeScaleFromOptions:]
00007ffa06e137f9 (__TEXT,__text) non-external +[MPAuthoringUtilities layerTypeFromOptions:]
00007ffa06e11023 (__TEXT,__text) non-external +[MPAuthoringUtilities lockTransitionDurationFromOptions:]
00007ffa06e127a3 (__TEXT,__text) non-external +[MPAuthoringUtilities loopTransitionIDFromOptions:]
00007ffa06e13e58 (__TEXT,__text) non-external +[MPAuthoringUtilities matchEffectsUsingTagsFromOptions:]
00007ffa06e112b6 (__TEXT,__text) non-external +[MPAuthoringUtilities matchPhasesWithTransitionFromOptions:]
00007ffa06e108e0 (__TEXT,__text) non-external +[MPAuthoringUtilities maxKenBurnsZoomFromOptions:]
00007ffa06e1211e (__TEXT,__text) non-external +[MPAuthoringUtilities maxNumberOfSlidesToPreloadFromOptions:]
00007ffa06e12c8b (__TEXT,__text) non-external +[MPAuthoringUtilities maximumTransitionDurationFromOptions:]
00007ffa06e12d4c (__TEXT,__text) non-external +[MPAuthoringUtilities minimumEffectDurationFromOptions:]
00007ffa06e120e6 (__TEXT,__text) non-external +[MPAuthoringUtilities minimumNumberOfDynamicSlidesToAddFromOptions:]
00007ffa06e12bcf (__TEXT,__text) non-external +[MPAuthoringUtilities minimumTransitionDurationFromOptions:]
00007ffa06e12e78 (__TEXT,__text) non-external +[MPAuthoringUtilities movieVolumeFromOptions:]
00007ffa06e1421b (__TEXT,__text) non-external +[MPAuthoringUtilities multilineSizeFactorFromOptions:]
00007ffa06e1324c (__TEXT,__text) non-external +[MPAuthoringUtilities needsFitMovieAttributeFromOptions:]
00007ffa06e12b5a (__TEXT,__text) non-external +[MPAuthoringUtilities numberOfLayersFromOptions:]
00007ffa06e11f6a (__TEXT,__text) non-external +[MPAuthoringUtilities outroDurationFromOptions:]
00007ffa06e11d69 (__TEXT,__text) non-external +[MPAuthoringUtilities outroEffectIDFromOptions:]
00007ffa06e12e40 (__TEXT,__text) non-external +[MPAuthoringUtilities padTextOnlyEffects:]
00007ffa06e13931 (__TEXT,__text) non-external +[MPAuthoringUtilities performFaceDetectionFromOptions:]
00007ffa06e13393 (__TEXT,__text) non-external +[MPAuthoringUtilities pickEffectsEvenlyByIDWithOptions:]
00007ffa06e132bf (__TEXT,__text) non-external +[MPAuthoringUtilities pickTransitionsEvenlyByIDWithOptions:]
00007ffa06e13bb9 (__TEXT,__text) non-external +[MPAuthoringUtilities portraitBreakDurationScaleFromOptions:]
00007ffa06e13773 (__TEXT,__text) non-external +[MPAuthoringUtilities presentationOrderFromOptions:]
00007ffa06e12378 (__TEXT,__text) non-external +[MPAuthoringUtilities presetIDFromPresetID:]
00007ffa06e119ab (__TEXT,__text) non-external +[MPAuthoringUtilities randomSeedFromOptions:]
00007ffa06e13870 (__TEXT,__text) non-external +[MPAuthoringUtilities reconfigureRangeFromOptions:]
00007ffa06e140d8 (__TEXT,__text) non-external +[MPAuthoringUtilities rectToFitIn:withAspectRatio:]
00007ffa06e138ab (__TEXT,__text) non-external +[MPAuthoringUtilities regionOfInterestPickModeFromOptions:]
00007ffa06e13053 (__TEXT,__text) non-external +[MPAuthoringUtilities reorderModeFromOptions:]
00007ffa06e11bea (__TEXT,__text) non-external +[MPAuthoringUtilities repeatTransitionsFromOptions:]
00007ffa06e111a2 (__TEXT,__text) non-external +[MPAuthoringUtilities replaceAudioPlaylistFromOptions:]
00007ffa06e135b6 (__TEXT,__text) non-external +[MPAuthoringUtilities requestGeneratedImagesFromOptions:]
00007ffa06e13a75 (__TEXT,__text) non-external +[MPAuthoringUtilities scaleEffectsForPanoramasFromOptions:]
00007ffa06e1202b (__TEXT,__text) non-external +[MPAuthoringUtilities scaleOutroEffectFromOptions:]
00007ffa06e13d5d (__TEXT,__text) non-external +[MPAuthoringUtilities screenSizeFromOptions:]
00007ffa06e123d5 (__TEXT,__text) non-external +[MPAuthoringUtilities shouldComputeFramesFromOptions:]
00007ffa06e126a7 (__TEXT,__text) non-external +[MPAuthoringUtilities shouldComputeLoopTransitionFromOptions:]
00007ffa06e125dc (__TEXT,__text) non-external +[MPAuthoringUtilities shouldComputeSlideFiltersFromOptions:]
