                 (undefined) external __DefaultRuneLocale (from libSystem)
                 (undefined) external ___error (from libSystem)
                 (undefined) external ___maskrune (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
                 (undefined) external _atoi (from libSystem)
000000018f1696b0 (__TEXT,__text) non-external _au_assemble
000000018f174b74 (__TEXT,__text) external _au_to_krb5_principal
000000018f17497c (__TEXT,__text) external _au_to_me
000000018f172a50 (__TEXT,__text) external _au_to_newgroups
000000018f172f3c (__TEXT,__text) external _au_to_opaque
000000018f1731f8 (__TEXT,__text) external _au_to_path
000000018f17363c (__TEXT,__text) external _au_to_process
000000018f1732c4 (__TEXT,__text) external _au_to_process32
000000018f173640 (__TEXT,__text) external _au_to_process32_ex
000000018f173460 (__TEXT,__text) external _au_to_process64
000000018f173894 (__TEXT,__text) external _au_to_process64_ex
000000018f173b24 (__TEXT,__text) external _au_to_process_ex
000000018f173ca8 (__TEXT,__text) external _au_to_return
000000018f173b28 (__TEXT,__text) external _au_to_return32
000000018f173bd8 (__TEXT,__text) external _au_to_return64
000000018f173cac (__TEXT,__text) external _au_to_seq
000000018f17412c (__TEXT,__text) external _au_to_sock_inet
000000018f17407c (__TEXT,__text) external _au_to_sock_inet128
000000018f173fdc (__TEXT,__text) external _au_to_sock_inet32
000000018f173f04 (__TEXT,__text) external _au_to_sock_unix
000000018f173d4c (__TEXT,__text) external _au_to_socket_ex
000000018f174a2c (__TEXT,__text) non-external _au_to_strings
000000018f1744a8 (__TEXT,__text) external _au_to_subject
000000018f174130 (__TEXT,__text) external _au_to_subject32
000000018f1744ac (__TEXT,__text) external _au_to_subject32_ex
000000018f1742cc (__TEXT,__text) external _au_to_subject64
000000018f1746f4 (__TEXT,__text) external _au_to_subject64_ex
000000018f174978 (__TEXT,__text) external _au_to_subject_ex
000000018f17312c (__TEXT,__text) external _au_to_text
000000018f1753c8 (__TEXT,__text) external _au_to_trailer
000000018f174b7c (__TEXT,__text) external _au_to_zonename
000000018f1757d8 (__TEXT,__text) external _au_user_mask
000000018f16952c (__TEXT,__text) external _au_write
                 (undefined) external _audit (from libSystem)
00000001eb077f50 (__DATA,__bss) non-external _audit_free_q
000000018f176de4 (__TEXT,__text) external _audit_get_car
000000018f176a90 (__TEXT,__text) external _audit_get_class
000000018f175c9c (__TEXT,__text) external _audit_get_cond
000000018f176df4 (__TEXT,__text) external _audit_get_ctlmode
000000018f176dd4 (__TEXT,__text) external _audit_get_cwd
000000018f176e40 (__TEXT,__text) external _audit_get_expire_after
000000018f176bc0 (__TEXT,__text) external _audit_get_fsize
000000018f1769f8 (__TEXT,__text) external _audit_get_kaudit
000000018f176b28 (__TEXT,__text) external _audit_get_kmask
000000018f176ca4 (__TEXT,__text) external _audit_get_pinfo
000000018f176cf0 (__TEXT,__text) external _audit_get_pinfo_addr
000000018f176708 (__TEXT,__text) external _audit_get_policy
000000018f176880 (__TEXT,__text) external _audit_get_qctrl
000000018f1767f8 (__TEXT,__text) external _audit_get_sflags
000000018f176838 (__TEXT,__text) external _audit_get_sflags_mask
000000018f168f84 (__TEXT,__text) external _audit_get_sinfo_addr
000000018f176d3c (__TEXT,__text) external _audit_get_stat
00000001eb077f48 (__DATA,__bss) non-external _audit_rec_count
000000018f1769e8 (__TEXT,__text) external _audit_send_trigger
000000018f176adc (__TEXT,__text) external _audit_set_class
000000018f176690 (__TEXT,__text) external _audit_set_cond
000000018f176c0c (__TEXT,__text) external _audit_set_fsize
000000018f176a44 (__TEXT,__text) external _audit_set_kaudit
000000018f176b74 (__TEXT,__text) external _audit_set_kmask
000000018f176c58 (__TEXT,__text) external _audit_set_pmask
000000018f176780 (__TEXT,__text) external _audit_set_policy
000000018f176934 (__TEXT,__text) external _audit_set_qctrl
000000018f176808 (__TEXT,__text) external _audit_set_sflags
000000018f17685c (__TEXT,__text) external _audit_set_sflags_mask
000000018f176d88 (__TEXT,__text) external _audit_set_stat
000000018f175e44 (__TEXT,__text) non-external _audit_set_terminal_host
000000018f175d14 (__TEXT,__text) external _audit_set_terminal_id
000000018f175f08 (__TEXT,__text) external _audit_set_terminal_id_ex
000000018f175d68 (__TEXT,__text) non-external _audit_set_terminal_port
000000018f175974 (__TEXT,__text) external _audit_submit
000000018f168718 (__TEXT,__text) external _audit_token_to_asid
000000018f168758 (__TEXT,__text) external _audit_token_to_au32
000000018f168738 (__TEXT,__text) external _audit_token_to_auid
000000018f168740 (__TEXT,__text) external _audit_token_to_egid
000000018f168728 (__TEXT,__text) external _audit_token_to_euid
000000018f168720 (__TEXT,__text) external _audit_token_to_pid
000000018f168750 (__TEXT,__text) external _audit_token_to_pidversion
000000018f168748 (__TEXT,__text) external _audit_token_to_rgid
000000018f168730 (__TEXT,__text) external _audit_token_to_ruid
000000018f175f5c (__TEXT,__text) external _audit_write
000000018f17630c (__TEXT,__text) external _audit_write_failure
000000018f176418 (__TEXT,__text) external _audit_write_failure_ex
000000018f176608 (__TEXT,__text) external _audit_write_failure_na
000000018f17664c (__TEXT,__text) external _audit_write_failure_na_ex
000000018f176524 (__TEXT,__text) external _audit_write_failure_self
000000018f176118 (__TEXT,__text) external _audit_write_success
000000018f1761cc (__TEXT,__text) external _audit_write_success_ex
000000018f176280 (__TEXT,__text) external _audit_write_success_self
                 (undefined) external _auditon (from libSystem)
000000018f1716ec (__TEXT,__text) non-external _be64dec
000000018f1773e8 (__TEXT,__const) non-external _bsm_domains
00000001e7432690 (__DATA_CONST,__const) non-external _bsm_errnos
000000018f177670 (__TEXT,__const) non-external _bsm_fcntl_cmdtab
000000018f177610 (__TEXT,__const) non-external _bsm_socket_types
                 (undefined) external _bzero (from libSystem)
000000018f1725c0 (__TEXT,__text) external _cannot_audit
                 (undefined) external _clearerr (from libSystem)
000000018f171ae4 (__TEXT,__text) non-external _close_tag
                 (undefined) external _ctime_r (from libSystem)
000000018f16a404 (__TEXT,__text) external _endac
000000018f169f54 (__TEXT,__text) external _endauclass
000000018f16af30 (__TEXT,__text) external _endauevent
000000018f1754c8 (__TEXT,__text) external _endauuser
00000001eb078318 (__DATA,__bss) non-external _ev_cache
000000018f16b37c (__TEXT,__text) non-external _eventfromstr
                 (undefined) external _fclose (from libSystem)
                 (undefined) external _ferror (from libSystem)
000000018f16cd74 (__TEXT,__text) non-external _fetch_arb_tok
000000018f16bcc4 (__TEXT,__text) non-external _fetch_arg32_tok
000000018f16bd48 (__TEXT,__text) non-external _fetch_arg64_tok
000000018f16bdcc (__TEXT,__text) non-external _fetch_attr32_tok
000000018f16be90 (__TEXT,__text) non-external _fetch_attr64_tok
000000018f16ce04 (__TEXT,__text) non-external _fetch_cert_hash_tok
000000018f16bfd8 (__TEXT,__text) non-external _fetch_execarg_tok
000000018f16bfd8 (__TEXT,__text) non-external _fetch_execenv_tok
000000018f16bf84 (__TEXT,__text) non-external _fetch_exit_tok
000000018f16c070 (__TEXT,__text) non-external _fetch_file_tok
000000018f16b86c (__TEXT,__text) non-external _fetch_header32_ex_tok
000000018f16b7a4 (__TEXT,__text) non-external _fetch_header32_tok
000000018f16bae4 (__TEXT,__text) non-external _fetch_header64_ex_tok
000000018f16b9ec (__TEXT,__text) non-external _fetch_header64_tok
000000018f16ce9c (__TEXT,__text) non-external _fetch_identity_tok
000000018f16c168 (__TEXT,__text) non-external _fetch_inaddr_ex_tok
000000018f16c208 (__TEXT,__text) non-external _fetch_ip_tok
000000018f16c314 (__TEXT,__text) non-external _fetch_ipc_tok
000000018f16c364 (__TEXT,__text) non-external _fetch_ipcperm_tok
000000018f16ce04 (__TEXT,__text) non-external _fetch_krb5_principal_tok
000000018f16c0f8 (__TEXT,__text) non-external _fetch_newgroups_tok
000000018f16c444 (__TEXT,__text) non-external _fetch_process32_tok
000000018f16c558 (__TEXT,__text) non-external _fetch_process32ex_tok
000000018f16c6d8 (__TEXT,__text) non-external _fetch_process64_tok
000000018f16c81c (__TEXT,__text) non-external _fetch_process64ex_tok
000000018f16c314 (__TEXT,__text) non-external _fetch_return32_tok
000000018f16c9a4 (__TEXT,__text) non-external _fetch_return64_tok
000000018f16cba4 (__TEXT,__text) non-external _fetch_sock_inet128_tok
000000018f16ca90 (__TEXT,__text) non-external _fetch_sock_inet32_tok
000000018f16cafc (__TEXT,__text) non-external _fetch_sock_unix_tok
000000018f16c9f4 (__TEXT,__text) non-external _fetch_socket_tok
000000018f16cc10 (__TEXT,__text) non-external _fetch_socketex32_tok
000000018f16c444 (__TEXT,__text) non-external _fetch_subject32_tok
000000018f16c558 (__TEXT,__text) non-external _fetch_subject32ex_tok
000000018f16c6d8 (__TEXT,__text) non-external _fetch_subject64_tok
000000018f16c81c (__TEXT,__text) non-external _fetch_subject64ex_tok
000000018f16bc6c (__TEXT,__text) non-external _fetch_trailer_tok
                 (undefined) external _fgetc (from libSystem)
                 (undefined) external _fgets (from libSystem)
                 (undefined) external _fileno (from libSystem)
00000001eb078310 (__DATA,__bss) non-external _firsttime
000000018f1723ac (__TEXT,__text) non-external _flush_cache
                 (undefined) external _fopen (from libSystem)
00000001ecf82908 (__DATA_DIRTY,__bss) non-external _fp
00000001ecf82910 (__DATA_DIRTY,__bss) non-external _fp
00000001ecf82918 (__DATA_DIRTY,__bss) non-external _fp
00000001ecf82920 (__DATA_DIRTY,__bss) non-external _fp
                 (undefined) external _fprintf (from libSystem)
                 (undefined) external _fputc (from libSystem)
                 (undefined) external _fputs (from libSystem)
                 (undefined) external _fread (from libSystem)
                 (undefined) external _free (from libSystem)
                 (undefined) external _fseek (from libSystem)
                 (undefined) external _fstat (from libSystem)
                 (undefined) external _fwrite (from libSystem)
000000018f16a458 (__TEXT,__text) external _getacdir
000000018f16ab80 (__TEXT,__text) external _getacexpire
000000018f16a6f4 (__TEXT,__text) external _getacfilesz
000000018f16a89c (__TEXT,__text) external _getacflg
000000018f16aad0 (__TEXT,__text) external _getachost
000000018f16a670 (__TEXT,__text) external _getacmin
000000018f16a94c (__TEXT,__text) external _getacna
000000018f16a9fc (__TEXT,__text) external _getacpol
000000018f16aaac (__TEXT,__text) external _getacsflagsmask
000000018f169d04 (__TEXT,__text) external _getauclassent
00000001eb078048 (__DATA,__bss) non-external _getauclassent.c
00000001eb078000 (__DATA,__bss) non-external _getauclassent.class_ent_desc
00000001eb077ff8 (__DATA,__bss) non-external _getauclassent.class_ent_name
00000001eb078060 (__DATA,__bss) non-external _getauclassent.cp
000000018f169b64 (__TEXT,__text) external _getauclassent_r
000000018f169bac (__TEXT,__text) non-external _getauclassent_r_locked
000000018f169e5c (__TEXT,__text) external _getauclassnam
00000001eb0780b8 (__DATA,__bss) non-external _getauclassnam.c
00000001eb078070 (__DATA,__bss) non-external _getauclassnam.class_ent_desc
00000001eb078068 (__DATA,__bss) non-external _getauclassnam.class_ent_name
000000018f169dd0 (__TEXT,__text) external _getauclassnam_r
000000018f169f18 (__TEXT,__text) external _getauclassnum
00000001eb078120 (__DATA,__bss) non-external _getauclassnum.c
00000001eb0780d8 (__DATA,__bss) non-external _getauclassnum.class_ent_desc
00000001eb0780d0 (__DATA,__bss) non-external _getauclassnum.class_ent_name
000000018f169e98 (__TEXT,__text) external _getauclassnum_r
                 (undefined) external _getaudit_addr (from libSystem)
000000018f16b4ac (__TEXT,__text) external _getauditflagsbin
000000018f16b614 (__TEXT,__text) external _getauditflagschar
000000018f16b048 (__TEXT,__text) external _getauevent
00000001eb078190 (__DATA,__bss) non-external _getauevent.e
00000001eb07815e (__DATA,__bss) non-external _getauevent.event_ent_desc
00000001eb078140 (__DATA,__bss) non-external _getauevent.event_ent_name
000000018f16af84 (__TEXT,__text) external _getauevent_r
000000018f16b178 (__TEXT,__text) external _getauevnam
00000001eb078200 (__DATA,__bss) non-external _getauevnam.e
00000001eb0781ce (__DATA,__bss) non-external _getauevnam.event_ent_desc
00000001eb0781b0 (__DATA,__bss) non-external _getauevnam.event_ent_name
000000018f16b088 (__TEXT,__text) external _getauevnam_r
000000018f16b36c (__TEXT,__text) external _getauevnonam
00000001eb078308 (__DATA,__bss) non-external _getauevnonam.event
000000018f16b2e8 (__TEXT,__text) external _getauevnonam_r
00000001eb0782e0 (__DATA,__bss) non-external _getauevnonam_r.e
00000001eb078300 (__DATA,__bss) non-external _getauevnonam_r.ep
00000001eb0782ae (__DATA,__bss) non-external _getauevnonam_r.event_ent_desc
00000001eb078290 (__DATA,__bss) non-external _getauevnonam_r.event_ent_name
000000018f16b2a4 (__TEXT,__text) external _getauevnum
00000001eb078270 (__DATA,__bss) non-external _getauevnum.e
00000001eb07823e (__DATA,__bss) non-external _getauevnum.event_ent_desc
00000001eb078220 (__DATA,__bss) non-external _getauevnum.event_ent_name
000000018f16b1bc (__TEXT,__text) external _getauevnum_r
000000018f1756b4 (__TEXT,__text) external _getauuserent
00000001eb078358 (__DATA,__bss) non-external _getauuserent.u
00000001eb078320 (__DATA,__bss) non-external _getauuserent.user_ent_name
000000018f17551c (__TEXT,__text) external _getauuserent_r
000000018f175564 (__TEXT,__text) non-external _getauuserent_r_locked
000000018f1757a8 (__TEXT,__text) external _getauusernam
00000001eb0783a8 (__DATA,__bss) non-external _getauusernam.u
00000001eb078370 (__DATA,__bss) non-external _getauusernam.user_ent_name
000000018f175720 (__TEXT,__text) external _getauusernam_r
                 (undefined) external _getegid (from libSystem)
                 (undefined) external _geteuid (from libSystem)
000000018f17589c (__TEXT,__text) external _getfauditflags
                 (undefined) external _getgid (from libSystem)
                 (undefined) external _getgrgid (from libSystem)
                 (undefined) external _getpid (from libSystem)
                 (undefined) external _getpwuid (from libSystem)
000000018f16a504 (__TEXT,__text) non-external _getstrfromtype_locked
                 (undefined) external _gettimeofday (from libSystem)
                 (undefined) external _getuid (from libSystem)
                 (undefined) external _inet_ntoa (from libSystem)
                 (undefined) external _inet_ntop (from libSystem)
                 (undefined) external _ioctl (from libSystem)
00000001ecf82500 (__DATA_DIRTY,__bss) non-external _linestr
00000001ecf82600 (__DATA_DIRTY,__bss) non-external _linestr
00000001ecf82702 (__DATA_DIRTY,__bss) non-external _linestr
00000001ecf82808 (__DATA_DIRTY,__bss) non-external _linestr
000000018f1722dc (__TEXT,__text) non-external _load_event_table
                 (undefined) external _malloc_type_malloc (from libSystem)
                 (undefined) external _memchr (from libSystem)
                 (undefined) external _memcpy (from libSystem)
00000001ecf82380 (__DATA_DIRTY,__data) non-external _mutex
00000001ecf823c0 (__DATA_DIRTY,__data) non-external _mutex
00000001ecf82400 (__DATA_DIRTY,__data) non-external _mutex
00000001ecf82440 (__DATA_DIRTY,__data) non-external _mutex
00000001ecf82480 (__DATA_DIRTY,__data) non-external _mutex
00000001ecf824c0 (__DATA_DIRTY,__data) non-external _mutex
                 (undefined) external _notify_cancel (from libSystem)
                 (undefined) external _notify_check (from libSystem)
                 (undefined) external _notify_register_check (from libSystem)
00000001eb077f58 (__DATA,__bss) non-external _open_desc_table
000000018f171980 (__TEXT,__text) non-external _print_event
000000018f171f60 (__TEXT,__text) non-external _print_group
000000018f171c44 (__TEXT,__text) non-external _print_ip_ex_address
000000018f172078 (__TEXT,__text) non-external _print_ipctype
000000018f171fe4 (__TEXT,__text) non-external _print_mem
000000018f172114 (__TEXT,__text) non-external _print_retval
000000018f171a50 (__TEXT,__text) non-external _print_sec32
000000018f171d30 (__TEXT,__text) non-external _print_sec64
000000018f171dc0 (__TEXT,__text) non-external _print_string
000000018f1716f8 (__TEXT,__text) non-external _print_tok_type
000000018f171edc (__TEXT,__text) non-external _print_user
                 (undefined) external _pthread_mutex_lock (from libSystem)
                 (undefined) external _pthread_mutex_unlock (from libSystem)
000000018f16a330 (__TEXT,__text) external _setac
000000018f16a374 (__TEXT,__text) non-external _setac_locked
00000001eb078138 (__DATA,__bss) non-external _setac_locked.lastctime
000000018f169d80 (__TEXT,__text) external _setauclass
000000018f16aee0 (__TEXT,__text) external _setauevent
000000018f175478 (__TEXT,__text) external _setauuser
000000018f16ad5c (__TEXT,__text) non-external _setexpirecond
                 (undefined) external _sscanf (from libSystem)
                 (undefined) external _stat (from libSystem)
                 (undefined) external _strcasestr (from libSystem)
                 (undefined) external _strcmp (from libSystem)
                 (undefined) external _strdup (from libSystem)
                 (undefined) external _strerror (from libSystem)
                 (undefined) external _strlcat (from libSystem)
                 (undefined) external _strlcpy (from libSystem)
                 (undefined) external _strlen (from libSystem)
                 (undefined) external _strncmp (from libSystem)
                 (undefined) external _strrchr (from libSystem)
                 (undefined) external _strsep (from libSystem)
                 (undefined) external _strtok_r (from libSystem)
                 (undefined) external _strtoul (from libSystem)
                 (undefined) external _sysctl (from libSystem)
                 (undefined) external _syslog$DARWIN_EXTSN (from libSystem)
00000001ecf8292c (__DATA_DIRTY,__bss) non-external _token
                 (undefined) external _vsnprintf (from libSystem)
