000000019816371c (__TEXT,__text) non-external +[CalAlarm alarm]
0000000198169310 (__TEXT,__text) non-external -[CalEvent init]
0000000198164204 (__TEXT,__text) non-external -[CalEvent isAllDay]
0000000198169db8 (__TEXT,__text) non-external -[CalEvent isDetached]
0000000198169438 (__TEXT,__text) non-external -[CalEvent isEqual:]
0000000198164154 (__TEXT,__text) non-external -[CalEvent location]
0000000198169df8 (__TEXT,__text) non-external -[CalEvent nextAlarmDate]
00000001981640a8 (__TEXT,__text) non-external -[CalEvent occurrence]
0000000198164244 (__TEXT,__text) non-external -[CalEvent recurrenceRule]
00000001981693ac (__TEXT,__text) non-external -[CalEvent setEKEvent:]
0000000198169f54 (__TEXT,__text) non-external -[CalEvent setEkEvent:]
0000000198169d54 (__TEXT,__text) non-external -[CalEvent setEndDate:]
0000000198169b4c (__TEXT,__text) non-external -[CalEvent setIsAllDay:]
0000000198169b98 (__TEXT,__text) non-external -[CalEvent setLocation:]
0000000198169bfc (__TEXT,__text) non-external -[CalEvent setRecurrenceRule:]
0000000198169cf0 (__TEXT,__text) non-external -[CalEvent setStartDate:]
000000019816998c (__TEXT,__text) non-external -[CalEvent sortedAttendees]
00000001981632d8 (__TEXT,__text) non-external -[CalEvent startDate]
000000019816b8fc (__TEXT,__text) non-external -[CalNthWeekDay .cxx_destruct]
000000019816b814 (__TEXT,__text) non-external -[CalNthWeekDay copyWithZone:]
000000019816b8d8 (__TEXT,__text) non-external -[CalNthWeekDay dayOfTheWeek]
000000019816b698 (__TEXT,__text) non-external -[CalNthWeekDay description]
000000019816b8e8 (__TEXT,__text) non-external -[CalNthWeekDay ekRecurrenceDayOfWeek]
000000019816b754 (__TEXT,__text) non-external -[CalNthWeekDay hash]
000000019816b5f8 (__TEXT,__text) non-external -[CalNthWeekDay initWithEKRecurrenceDayOfWeek:]
000000019816b75c (__TEXT,__text) non-external -[CalNthWeekDay isEqual:]
000000019816b8f0 (__TEXT,__text) non-external -[CalNthWeekDay setEkRecurrenceDayOfWeek:]
000000019816b8e0 (__TEXT,__text) non-external -[CalNthWeekDay weekNumber]
0000000198164804 (__TEXT,__text) non-external -[CalPredicate .cxx_destruct]
0000000198164734 (__TEXT,__text) non-external -[CalPredicate copyWithZone:]
000000019816464c (__TEXT,__text) non-external -[CalPredicate initWithPredicate:]
0000000198164790 (__TEXT,__text) non-external -[CalPredicate predicate]
0000000198164720 (__TEXT,__text) non-external -[CalPredicate setSubpredicate:]
0000000198164710 (__TEXT,__text) non-external -[CalPredicate subpredicate]
000000019816be98 (__TEXT,__text) non-external -[CalRecurrenceEnd .cxx_destruct]
000000019816bc30 (__TEXT,__text) non-external -[CalRecurrenceEnd copyWithZone:]
000000019816b9e8 (__TEXT,__text) non-external -[CalRecurrenceEnd description]
000000019816be84 (__TEXT,__text) non-external -[CalRecurrenceEnd ekRecurrenceEnd]
000000019816be74 (__TEXT,__text) non-external -[CalRecurrenceEnd endDate]
000000019816baf4 (__TEXT,__text) non-external -[CalRecurrenceEnd hash]
000000019816bdd4 (__TEXT,__text) non-external -[CalRecurrenceEnd initWithEKRecurrenceEnd:]
000000019816bc84 (__TEXT,__text) non-external -[CalRecurrenceEnd initWithEndDate:]
000000019816bd34 (__TEXT,__text) non-external -[CalRecurrenceEnd initWithOccurrenceCount:]
000000019816bafc (__TEXT,__text) non-external -[CalRecurrenceEnd isEqual:]
000000019816be7c (__TEXT,__text) non-external -[CalRecurrenceEnd occurrenceCount]
000000019816be8c (__TEXT,__text) non-external -[CalRecurrenceEnd setEkRecurrenceEnd:]
000000019816b9ac (__TEXT,__text) non-external -[CalRecurrenceEnd usesEndDate]
000000019816b5ec (__TEXT,__text) non-external -[CalRecurrenceRule .cxx_destruct]
000000019816adf8 (__TEXT,__text) non-external -[CalRecurrenceRule copyWithZone:]
00000001981634fc (__TEXT,__text) non-external -[CalRecurrenceRule daysOfTheMonth]
0000000198163360 (__TEXT,__text) non-external -[CalRecurrenceRule daysOfTheWeek]
00000001981645b0 (__TEXT,__text) non-external -[CalRecurrenceRule description]
000000019816b5d8 (__TEXT,__text) non-external -[CalRecurrenceRule ekRecurrenceRule]
000000019816b5d0 (__TEXT,__text) non-external -[CalRecurrenceRule firstDayOfTheWeek]
000000019816a9c4 (__TEXT,__text) non-external -[CalRecurrenceRule hash]
000000019816a01c (__TEXT,__text) non-external -[CalRecurrenceRule initDailyRecurrenceWithInterval:end:]
000000019816a3bc (__TEXT,__text) non-external -[CalRecurrenceRule initMonthlyRecurrenceWithInterval:end:]
000000019816a578 (__TEXT,__text) non-external -[CalRecurrenceRule initMonthlyRecurrenceWithInterval:forDayOfTheWeek:forWeekOfTheMonth:end:]
000000019816a484 (__TEXT,__text) non-external -[CalRecurrenceRule initMonthlyRecurrenceWithInterval:forDaysOfTheMonth:end:]
000000019816a0e4 (__TEXT,__text) non-external -[CalRecurrenceRule initWeeklyRecurrenceWithInterval:end:]
000000019816a1ac (__TEXT,__text) non-external -[CalRecurrenceRule initWeeklyRecurrenceWithInterval:forDaysOfTheWeek:end:]
0000000198169f7c (__TEXT,__text) non-external -[CalRecurrenceRule initWithEKRecurrenceRule:]
000000019816a6b4 (__TEXT,__text) non-external -[CalRecurrenceRule initYearlyRecurrenceWithInterval:end:]
000000019816a870 (__TEXT,__text) non-external -[CalRecurrenceRule initYearlyRecurrenceWithInterval:forDayOfTheWeek:forWeekOfTheMonth:forMonthsOfTheYear:end:]
000000019816a77c (__TEXT,__text) non-external -[CalRecurrenceRule initYearlyRecurrenceWithInterval:forMonthsOfTheYear:end:]
000000019816a9cc (__TEXT,__text) non-external -[CalRecurrenceRule isEqual:]
00000001981636a4 (__TEXT,__text) non-external -[CalRecurrenceRule monthsOfTheYear]
0000000198163504 (__TEXT,__text) non-external -[CalRecurrenceRule nthWeekDaysOfTheMonth]
00000001981636ac (__TEXT,__text) non-external -[CalRecurrenceRule recurrenceEnd]
0000000198163358 (__TEXT,__text) non-external -[CalRecurrenceRule recurrenceInterval]
0000000198163330 (__TEXT,__text) non-external -[CalRecurrenceRule recurrenceType]
000000019816b5e0 (__TEXT,__text) non-external -[CalRecurrenceRule setEkRecurrenceRule:]
000000019816af74 (__TEXT,__text) non-external -[CalRecurrenceRule stringValueAsDateOnly:isFloating:]
000000019816d618 (__TEXT,__text) non-external -[CalTask .cxx_destruct]
000000019816cfb0 (__TEXT,__text) non-external -[CalTask completedDate]
000000019816d308 (__TEXT,__text) non-external -[CalTask description]
000000019816d06c (__TEXT,__text) non-external -[CalTask dueDate]
000000019816cf1c (__TEXT,__text) non-external -[CalTask ekReminder]
000000019816ce84 (__TEXT,__text) non-external -[CalTask init]
000000019816cf24 (__TEXT,__text) non-external -[CalTask isCompleted]
000000019816d3fc (__TEXT,__text) non-external -[CalTask isEqual:]
000000019816d1b4 (__TEXT,__text) non-external -[CalTask nextAlarmDate]
000000019816d128 (__TEXT,__text) non-external -[CalTask priority]
000000019816d008 (__TEXT,__text) non-external -[CalTask setCompletedDate:]
000000019816d0c4 (__TEXT,__text) non-external -[CalTask setDueDate:]
000000019816cf20 (__TEXT,__text) non-external -[CalTask setEKReminder:]
000000019816d604 (__TEXT,__text) non-external -[CalTask setEkReminder:]
000000019816cf64 (__TEXT,__text) non-external -[CalTask setIsCompleted:]
000000019816d168 (__TEXT,__text) non-external -[CalTask setPriority:]
000000019816ec28 (__TEXT,__gcc_except_tab) non-external GCC_except_table0
000000019816ec3c (__TEXT,__gcc_except_tab) non-external GCC_except_table4
000000019816ec54 (__TEXT,__gcc_except_tab) non-external GCC_except_table8
00000001e7830238 (__DATA_CONST,__const) external _CalAlarmActionDisplay
00000001e7830240 (__DATA_CONST,__const) external _CalAlarmActionEmail
00000001e7830248 (__DATA_CONST,__const) external _CalAlarmActionProcedure
00000001e7830250 (__DATA_CONST,__const) external _CalAlarmActionSound
00000001e78300f8 (__DATA_CONST,__const) external _CalAttendeeStatusAccepted
00000001e7830118 (__DATA_CONST,__const) external _CalAttendeeStatusCompleted
00000001e7830100 (__DATA_CONST,__const) external _CalAttendeeStatusDeclined
00000001e7830110 (__DATA_CONST,__const) external _CalAttendeeStatusDelegated
00000001e7830120 (__DATA_CONST,__const) external _CalAttendeeStatusInProcess
00000001e78300f0 (__DATA_CONST,__const) external _CalAttendeeStatusNeedsAction
00000001e7830108 (__DATA_CONST,__const) external _CalAttendeeStatusTentative
00000001e78301c0 (__DATA_CONST,__const) external _CalCalendarStoreErrorDomain
00000001e78301c8 (__DATA_CONST,__const) external _CalCalendarTypeBirthday
00000001e78301d0 (__DATA_CONST,__const) external _CalCalendarTypeCalDAV
00000001e78301f0 (__DATA_CONST,__const) external _CalCalendarTypeExchange
00000001e78301d8 (__DATA_CONST,__const) external _CalCalendarTypeIMAP
00000001e78301e0 (__DATA_CONST,__const) external _CalCalendarTypeLocal
00000001e78301e8 (__DATA_CONST,__const) external _CalCalendarTypeSubscription
00000001e78301f8 (__DATA_CONST,__const) external _CalCalendarTypeSuggestions
00000001e7830200 (__DATA_CONST,__const) external _CalCalendarTypeUnknown
00000001e7830180 (__DATA_CONST,__const) external _CalCalendarsChangedExternallyNotification
00000001e7830168 (__DATA_CONST,__const) external _CalCalendarsChangedNotification
000000019816ec78 (__TEXT,__const) external _CalDefaultRecurrenceInterval
00000001e78301a8 (__DATA_CONST,__const) external _CalDeletedRecordsKey
00000001e7830188 (__DATA_CONST,__const) external _CalEventsChangedExternallyNotification
00000001e7830170 (__DATA_CONST,__const) external _CalEventsChangedNotification
00000001e7830198 (__DATA_CONST,__const) external _CalInsertedRecordsKey
00000001e78301b0 (__DATA_CONST,__const) external _CalSenderProcessIDKey
00000001e7830290 (__DATA_CONST,__const) external _CalStoreAPI_NS_Log
00000001e7830190 (__DATA_CONST,__const) external _CalTasksChangedExternallyNotification
00000001e7830178 (__DATA_CONST,__const) external _CalTasksChangedNotification
00000001e78301a0 (__DATA_CONST,__const) external _CalUpdatedRecordsKey
00000001e78301b8 (__DATA_CONST,__const) external _CalUserUIDKey
                 (undefined) external _EKErrorDomain (from EventKit)
                 (undefined) external _NSInvalidArgumentException (from CoreFoundation)
                 (undefined) external _NSLocalizedDescriptionKey (from Foundation)
                 (undefined) external _NSLocalizedRecoverySuggestionErrorKey (from Foundation)
00000001edca2738 (__AUTH,__objc_data) external _OBJC_CLASS_$_CalAlarm
00000001edca2648 (__AUTH,__objc_data) external _OBJC_CLASS_$_CalAttendee
00000001edca26e8 (__AUTH,__objc_data) external _OBJC_CLASS_$_CalCalendar
00000001edca28c8 (__AUTH,__objc_data) external _OBJC_CLASS_$_CalCalendarItem
00000001edca2698 (__AUTH,__objc_data) external _OBJC_CLASS_$_CalCalendarStore
00000001edca2788 (__AUTH,__objc_data) external _OBJC_CLASS_$_CalEvent
00000001edca2828 (__AUTH,__objc_data) external _OBJC_CLASS_$_CalNthWeekDay
00000001edca25f8 (__AUTH,__objc_data) external _OBJC_CLASS_$_CalPredicate
                 (undefined) external _OBJC_CLASS_$_CalRecurrenceDayOfWeek (from CalendarFoundation)
00000001edca2878 (__AUTH,__objc_data) external _OBJC_CLASS_$_CalRecurrenceEnd
00000001edca27d8 (__AUTH,__objc_data) external _OBJC_CLASS_$_CalRecurrenceRule
00000001edca2918 (__AUTH,__objc_data) external _OBJC_CLASS_$_CalTask
                 (undefined) external _OBJC_CLASS_$_EKAlarm (from EventKit)
                 (undefined) external _OBJC_CLASS_$_EKCalendar (from EventKit)
                 (undefined) external _OBJC_CLASS_$_EKEvent (from EventKit)
                 (undefined) external _OBJC_CLASS_$_EKEventStore (from EventKit)
                 (undefined) external _OBJC_CLASS_$_EKPredicate (from CalendarDaemon)
                 (undefined) external _OBJC_CLASS_$_EKRecurrenceDayOfWeek (from EventKit)
                 (undefined) external _OBJC_CLASS_$_EKRecurrenceEnd (from EventKit)
                 (undefined) external _OBJC_CLASS_$_EKRecurrenceRule (from EventKit)
                 (undefined) external _OBJC_CLASS_$_EKReminder (from EventKit)
                 (undefined) external _OBJC_CLASS_$_NSArray (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSBundle (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSCalendarDate (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSCompoundPredicate (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSDate (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSDateFormatter (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSDictionary (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSError (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSException (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableArray (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableDictionary (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableString (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSNumber (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSObject (from libobjc)
                 (undefined) external _OBJC_CLASS_$_NSSortDescriptor (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSString (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSTimeZone (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSUUID (from Foundation)
00000001eb1f2270 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalAlarm._ekAlarm
00000001eb1f2274 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalAlarm._relatedToString
00000001eb1f2278 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalAlarm._unsavedRelateToDictionary
00000001eb1f2264 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalAttendee._ekParticipant
00000001eb1f226c (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalCalendar._ekCalendar
00000001eb1f228c (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalCalendarItem._ekCalendarItem
00000001eb1f2290 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalCalendarItem._unsavedRelateToDictionary
00000001eb1f2268 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalCalendarStore._eventStore
00000001eb1f227c (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalEvent._ekEvent
00000001eb1f2284 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalNthWeekDay._ekRecurrenceDayOfWeek
00000001eb1f2260 (__DATA,__objc_ivar) external _OBJC_IVAR_$_CalPredicate._subpredicate
00000001eb1f2288 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalRecurrenceEnd._ekRecurrenceEnd
00000001eb1f2280 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalRecurrenceRule._ekRecurrenceRule
00000001eb1f2294 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalTask._ekReminder
00000001edca2760 (__AUTH,__objc_data) external _OBJC_METACLASS_$_CalAlarm
00000001edca2670 (__AUTH,__objc_data) external _OBJC_METACLASS_$_CalAttendee
00000001edca2710 (__AUTH,__objc_data) external _OBJC_METACLASS_$_CalCalendar
00000001edca28f0 (__AUTH,__objc_data) external _OBJC_METACLASS_$_CalCalendarItem
00000001edca26c0 (__AUTH,__objc_data) external _OBJC_METACLASS_$_CalCalendarStore
00000001edca27b0 (__AUTH,__objc_data) external _OBJC_METACLASS_$_CalEvent
00000001edca2850 (__AUTH,__objc_data) external _OBJC_METACLASS_$_CalNthWeekDay
00000001edca2620 (__AUTH,__objc_data) external _OBJC_METACLASS_$_CalPredicate
00000001edca28a0 (__AUTH,__objc_data) external _OBJC_METACLASS_$_CalRecurrenceEnd
00000001edca2800 (__AUTH,__objc_data) external _OBJC_METACLASS_$_CalRecurrenceRule
00000001edca2940 (__AUTH,__objc_data) external _OBJC_METACLASS_$_CalTask
                 (undefined) external _OBJC_METACLASS_$_NSCompoundPredicate (from Foundation)
                 (undefined) external _OBJC_METACLASS_$_NSObject (from libobjc)
                 (undefined) external __Block_object_assign (from libSystem)
                 (undefined) external __Block_object_dispose (from libSystem)
                 (undefined) external __NSConcreteStackBlock (from libSystem)
                 (undefined) external __NSMethodExceptionProem (from Foundation)
000000019816d7d0 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_CalAlarm
