                 (undefined) external _AAArchiveStreamClose (from libAppleArchive)
                 (undefined) external _AAArchiveStreamProcess (from libAppleArchive)
                 (undefined) external _AAByteStreamClose (from libAppleArchive)
                 (undefined) external _AADecodeArchiveInputStreamOpen (from libAppleArchive)
                 (undefined) external _AADecompressionInputStreamOpen (from libAppleArchive)
                 (undefined) external _AAExtractArchiveOutputStreamOpen (from libAppleArchive)
                 (undefined) external _AAFileStreamOpenWithPath (from libAppleArchive)
                 (undefined) external _AVMediaTypeAudio (from AVFoundation)
                 (undefined) external _AVURLAssetPreferPreciseDurationAndTimingKey (from AVFoundation)
                 (undefined) external _AudioFileClose (from AudioToolbox)
                 (undefined) external _AudioFileGetProperty (from AudioToolbox)
                 (undefined) external _AudioFileGetPropertyInfo (from AudioToolbox)
                 (undefined) external _AudioFileOpenURL (from AudioToolbox)
                 (undefined) external _CFRelease (from CoreFoundation)
                 (undefined) external _CMTimeAdd (from CoreMedia)
                 (undefined) external _CMTimeCompare (from CoreMedia)
                 (undefined) external _CMTimeConvertScale (from CoreMedia)
                 (undefined) external _CMTimeGetSeconds (from CoreMedia)
                 (undefined) external _CMTimeMake (from CoreMedia)
                 (undefined) external _CMTimeMakeWithSeconds (from CoreMedia)
                 (undefined) external _CMTimeMultiply (from CoreMedia)
                 (undefined) external _CMTimeMultiplyByFloat64 (from CoreMedia)
                 (undefined) external _CMTimeRangeContainsTime (from CoreMedia)
                 (undefined) external _CMTimeRangeMake (from CoreMedia)
                 (undefined) external _CMTimeSubtract (from CoreMedia)
                 (undefined) external _ExtAudioFileDispose (from AudioToolbox)
                 (undefined) external _ExtAudioFileGetProperty (from AudioToolbox)
                 (undefined) external _ExtAudioFileOpenURL (from AudioToolbox)
00007ffb0e31b6d8 (__TEXT,__const) external _FMSampleRateUnknown
00007ffb41c70890 (__DATA,__const) external _FMSong_AudioPresetName_AAC_LC_192
00007ffb41c70898 (__DATA,__const) external _FMSong_AudioPresetName_AAC_LC_256
00007ffb41c70878 (__DATA,__const) external _FMSong_AudioPresetName_AAC_LC_80
00007ffb41c70880 (__DATA,__const) external _FMSong_AudioPresetName_AAC_LC_96
00007ffb41c70860 (__DATA,__const) external _FMSong_AudioPresetName_HE_AAC_v1_48
00007ffb41c70870 (__DATA,__const) external _FMSong_AudioPresetName_HE_AAC_v1_64
00007ffb41c70868 (__DATA,__const) external _FMSong_AudioPresetName_HE_AAC_v2_48
00007ffb41c70850 (__DATA,__const) external _FMSong_AudioPresetName_PCM
00007ffb41c70858 (__DATA,__const) external _FMSong_AudioPresetName_PCM_LEF32
00007ffb41c708a0 (__DATA,__const) external _FMSong_AudioPresetName_USAC_64
00007ffb41c708a8 (__DATA,__const) external _FMSong_AudioPresetName_USAC_96
00007ffb41c708c8 (__DATA,__const) external _FMSong_Option_DefaultEarlyFadeStartFromStinger
00007ffb41c708e0 (__DATA,__const) external _FMSong_Option_IgnoreEarlyFadeMarker
00007ffb41c708d8 (__DATA,__const) external _FMSong_Option_IgnoreStingerMarkerForShortening
00007ffb41c708f0 (__DATA,__const) external _FMSong_Option_LoopSongForLongDurations
00007ffb41c708e8 (__DATA,__const) external _FMSong_Option_MaxOutroLengthToReserve
00007ffb41c708d0 (__DATA,__const) external _FMSong_Option_MinLengthForEarlyFade
00007ffb41c708c0 (__DATA,__const) external _FMSong_Option_OutroCanBeShortened
00007ffb41c708b8 (__DATA,__const) external _FMSong_SegmentMarker_OutroEarlyFade
00007ffb41c708b0 (__DATA,__const) external _FMSong_SegmentMarker_OutroStinger
00007ffb41c701b8 (__DATA,__const) external _FMTagID_Arousal_Prefix
00007ffb41c701a8 (__DATA,__const) external _FMTagID_Genre_Prefix
00007ffb41c701a0 (__DATA,__const) external _FMTagID_MoodAlt_Prefix
00007ffb41c70190 (__DATA,__const) external _FMTagID_Mood_Prefix
00007ffb41c701d0 (__DATA,__const) external _FMTagID_Region_Prefix
00007ffb41c70198 (__DATA,__const) external _FMTagID_SongPace_Prefix
00007ffb41c701b0 (__DATA,__const) external _FMTagID_Style_Prefix
00007ffb41c701c0 (__DATA,__const) external _FMTagID_Valence_Prefix
00007ffb41c701c8 (__DATA,__const) external _FMTagID_VisualTempo_Prefix
00007ffb41c70d50 (__DATA,__const) external _FMTimedMetadataIdentifierBar
00007ffb41c70d58 (__DATA,__const) external _FMTimedMetadataIdentifierBarKeyBarIndex
00007ffb41c70d60 (__DATA,__const) external _FMTimedMetadataIdentifierBarKeyBeatsPerBar
00007ffb41c70d68 (__DATA,__const) external _FMTimedMetadataIdentifierBeat
00007ffb41c70d70 (__DATA,__const) external _FMTimedMetadataIdentifierBeatKeyBarIndex
00007ffb41c70d78 (__DATA,__const) external _FMTimedMetadataIdentifierBeatKeyBeatIndex
00007ffb41c70d88 (__DATA,__const) external _FMTimedMetadataIdentifierLoopPoints
00007ffb41c70d80 (__DATA,__const) external _FMTimedMetadataIdentifierOnset
00007ffb41c70cc0 (__DATA,__const) external _FMTimedMetadataIdentifierSection
00007ffb41c70cd0 (__DATA,__const) external _FMTimedMetadataIdentifierSectionKeyBodyNumber
00007ffb41c70ce8 (__DATA,__const) external _FMTimedMetadataIdentifierSectionKeyFadeToBlackTime
00007ffb41c70ce0 (__DATA,__const) external _FMTimedMetadataIdentifierSectionKeyOutroEarlyFade
00007ffb41c70cd8 (__DATA,__const) external _FMTimedMetadataIdentifierSectionKeyOutroStinger
00007ffb41c70cc8 (__DATA,__const) external _FMTimedMetadataIdentifierSectionKeyType
00007ffb41c70cf0 (__DATA,__const) external _FMTimedMetadataIdentifierSegment
00007ffb41c70d18 (__DATA,__const) external _FMTimedMetadataIdentifierSegmentKeyBarsUsed
00007ffb41c70d10 (__DATA,__const) external _FMTimedMetadataIdentifierSegmentKeyBodyLetter
00007ffb41c70d08 (__DATA,__const) external _FMTimedMetadataIdentifierSegmentKeyBodyNumber
00007ffb41c70d20 (__DATA,__const) external _FMTimedMetadataIdentifierSegmentKeyEnergy
00007ffb41c70d48 (__DATA,__const) external _FMTimedMetadataIdentifierSegmentKeyFadeToBlackTime
00007ffb41c70d40 (__DATA,__const) external _FMTimedMetadataIdentifierSegmentKeyLoudness
00007ffb41c70d30 (__DATA,__const) external _FMTimedMetadataIdentifierSegmentKeyOutroEarlyFade
00007ffb41c70d28 (__DATA,__const) external _FMTimedMetadataIdentifierSegmentKeyOutroStinger
00007ffb41c70d38 (__DATA,__const) external _FMTimedMetadataIdentifierSegmentKeyPeakValue
00007ffb41c70d00 (__DATA,__const) external _FMTimedMetadataIdentifierSegmentKeyPriority
00007ffb41c70cf8 (__DATA,__const) external _FMTimedMetadataIdentifierSegmentKeyType
00007ffb0e2e16ca (__TEXT,__text) external _FlexCheckedDynamicCast
00007ffb41c70cb0 (__DATA,__const) external _FlexDBGenreEntityName
00007ffb41c70cb8 (__DATA,__const) external _FlexDBRegionEntityName
00007ffb41c70ca8 (__DATA,__const) external _FlexDBSongEntityName
00007ffb0e2e167a (__TEXT,__text) external _FlexDynamicCast
00007ffb41c6fea0 (__DATA,__const) external _FlexLocalDBArousalField
00007ffb41c6fe50 (__DATA,__const) external _FlexLocalDBArtistNameField
00007ffb41c6fe80 (__DATA,__const) external _FlexLocalDBArtworkLocalURLField
00007ffb41c6fe60 (__DATA,__const) external _FlexLocalDBArtworkVersionField
00007ffb41c6fed8 (__DATA,__const) external _FlexLocalDBAudioEncoderPresetNameField
00007ffb41c6fe70 (__DATA,__const) external _FlexLocalDBCKRecordIDField
00007ffb41c6fe68 (__DATA,__const) external _FlexLocalDBCompatibilityVersionField
00007ffb41c6fed0 (__DATA,__const) external _FlexLocalDBFormatField
00007ffb41c6fec0 (__DATA,__const) external _FlexLocalDBGenreStringsField
00007ffb41c6fee0 (__DATA,__const) external _FlexLocalDBHiddenField
00007ffb41c6fe90 (__DATA,__const) external _FlexLocalDBMoodAltField
00007ffb41c6fe88 (__DATA,__const) external _FlexLocalDBMoodField
00007ffb41c6fe98 (__DATA,__const) external _FlexLocalDBPaceField
00007ffb41c6fee8 (__DATA,__const) external _FlexLocalDBRecalledField
00007ffb41c6fec8 (__DATA,__const) external _FlexLocalDBRegionsField
00007ffb41c6fe78 (__DATA,__const) external _FlexLocalDBSongBundleLocalURLField
00007ffb41c6fe48 (__DATA,__const) external _FlexLocalDBSongNameField
00007ffb41c6fe58 (__DATA,__const) external _FlexLocalDBSongVersionField
00007ffb41c6feb8 (__DATA,__const) external _FlexLocalDBStyleField
00007ffb41c6fea8 (__DATA,__const) external _FlexLocalDBValenceField
00007ffb41c6feb0 (__DATA,__const) external _FlexLocalDBVisualTempoField
00007ffb0e2e1243 (__TEXT,__text) external _FlexLogForCategory
00007ffb41c6ff50 (__DATA,__const) external _FlexMLArtistNameKey
00007ffb41c6ff68 (__DATA,__const) external _FlexMLAudioEncoderPresetKey
00007ffb41c6ffa8 (__DATA,__const) external _FlexMLAudioFileExtensionKey
00007ffb41c70008 (__DATA,__const) external _FlexMLBarTimesKey
00007ffb41c70000 (__DATA,__const) external _FlexMLBeatTimesKey
00007ffb41c6ff88 (__DATA,__const) external _FlexMLCompatibilityVersionKey
00007ffb41c6ff80 (__DATA,__const) external _FlexMLContentVersionKey
00007ffb41c6ff70 (__DATA,__const) external _FlexMLCustomOptionsKey
00007ffb41c70028 (__DATA,__const) external _FlexMLGainFunctionGainKey
00007ffb41c70020 (__DATA,__const) external _FlexMLGainFunctionKey
00007ffb41c70030 (__DATA,__const) external _FlexMLLoopTimesKey
00007ffb41c70010 (__DATA,__const) external _FlexMLLoudnessKey
00007ffb41c70018 (__DATA,__const) external _FlexMLPeakKey
00007ffb41c70038 (__DATA,__const) external _FlexMLPlistRuntimeVersionKey
00007ffb41c6ffd0 (__DATA,__const) external _FlexMLSampleRateKey
00007ffb41c6ffb8 (__DATA,__const) external _FlexMLSegmentDurationKey
00007ffb41c6ff98 (__DATA,__const) external _FlexMLSegmentTimeKey
00007ffb41c6ffc8 (__DATA,__const) external _FlexMLSegmentsKey
00007ffb41c6ffd8 (__DATA,__const) external _FlexMLSongBeatsKey
00007ffb41c6ff60 (__DATA,__const) external _FlexMLSongFileKey
00007ffb41c6ff58 (__DATA,__const) external _FlexMLSongIDKey
00007ffb41c6ff30 (__DATA,__const) external _FlexMLSongMetadataFileExtension
00007ffb41c6ff48 (__DATA,__const) external _FlexMLSongNameKey
00007ffb41c6ff40 (__DATA,__const) external _FlexMLSongSummariesFolderName
00007ffb41c6ff38 (__DATA,__const) external _FlexMLSongSummaryFileExtension
00007ffb41c6ffb0 (__DATA,__const) external _FlexMLSummaryDurationKey
00007ffb41c6ff78 (__DATA,__const) external _FlexMLSummaryMappingKey
00007ffb41c6ff90 (__DATA,__const) external _FlexMLSummaryTimeKey
00007ffb41c6ffa0 (__DATA,__const) external _FlexMLTagIDs
00007ffb41c6ffc0 (__DATA,__const) external _FlexMLTrackTimeKey
00007ffb41c6fff8 (__DATA,__const) external _FlexMLVideoCuesFadeToBlackKey
00007ffb41c6fff0 (__DATA,__const) external _FlexMLVideoCuesGoodCuesKey
00007ffb41c6ffe8 (__DATA,__const) external _FlexMLVideoCuesGreatCuesKey
00007ffb41c6ffe0 (__DATA,__const) external _FlexMLVideoCuesKey
00007ffb41c70110 (__DATA,__const) external _FlexMobileAssetAttributeArtistName
00007ffb41c700e0 (__DATA,__const) external _FlexMobileAssetAttributeAssetType
00007ffb41c70148 (__DATA,__const) external _FlexMobileAssetAttributeAudioEncoderPresetName
00007ffb41c70130 (__DATA,__const) external _FlexMobileAssetAttributeClientIDs
00007ffb41c70138 (__DATA,__const) external _FlexMobileAssetAttributeHiddenIDs
00007ffb41c70120 (__DATA,__const) external _FlexMobileAssetAttributeKeywords
00007ffb41c70140 (__DATA,__const) external _FlexMobileAssetAttributeRecalled
00007ffb41c70150 (__DATA,__const) external _FlexMobileAssetAttributeSongBundleFormat
00007ffb41c70108 (__DATA,__const) external _FlexMobileAssetAttributeSongName
00007ffb41c70118 (__DATA,__const) external _FlexMobileAssetAttributeSongTags
00007ffb41c70100 (__DATA,__const) external _FlexMobileAssetAttributeUUID
00007ffb41c70128 (__DATA,__const) external _FlexMobileAssetAttributeWeightedKeywords
00007ffb41c70160 (__DATA,__const) external _FlexMobileAssetCompatibilityVersion
00007ffb41c70158 (__DATA,__const) external _FlexMobileAssetContentVersion
00007ffb41c700d0 (__DATA,__const) external _FlexMobileAssetJettyClientID
00007ffb41c700c8 (__DATA,__const) external _FlexMobileAssetMiroClientID
00007ffb41c700f0 (__DATA,__const) external _FlexMobileAssetPropertyArtwork
00007ffb41c700f8 (__DATA,__const) external _FlexMobileAssetPropertyMetadata
00007ffb41c700e8 (__DATA,__const) external _FlexMobileAssetPropertySongBundle
00007ffb41c700d8 (__DATA,__const) external _FlexMobileAssetiMovieClientID
00007ffb0e31b85c (__TEXT,__const) external _FlexSegment_MaxBodySegmentPriority
00007ffb0e31b858 (__TEXT,__const) external _FlexSegment_MinBodySegmentPriority
00007ffb0e31b850 (__TEXT,__const) external _FlexSegment_UseCustomBarMarkers
                 (undefined) external _NSDebugDescriptionErrorKey (from Foundation)
                 (undefined) external _NSLocalizedDescriptionKey (from Foundation)
                 (undefined) external _NSLocalizedFailureReasonErrorKey (from Foundation)
                 (undefined) external _NSStringFromClass (from Foundation)
                 (undefined) external _NSURLIsDirectoryKey (from CoreFoundation)
                 (undefined) external _NSURLNameKey (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_AVMutableAudioMix (from AVFoundation)
                 (undefined) external _OBJC_CLASS_$_AVMutableAudioMixInputParameters (from AVFoundation)
                 (undefined) external _OBJC_CLASS_$_AVMutableComposition (from AVFoundation)
                 (undefined) external _OBJC_CLASS_$_AVURLAsset (from AVFoundation)
                 (undefined) external _OBJC_CLASS_$_CKContainer (from CloudKit)
                 (undefined) external _OBJC_CLASS_$_CKFetchRecordsOperation (from CloudKit)
                 (undefined) external _OBJC_CLASS_$_CKOperationConfiguration (from CloudKit)
                 (undefined) external _OBJC_CLASS_$_CKQuery (from CloudKit)
                 (undefined) external _OBJC_CLASS_$_CKQueryOperation (from CloudKit)
                 (undefined) external _OBJC_CLASS_$_CKRecordID (from CloudKit)
                 (undefined) external _OBJC_CLASS_$_CKRecordZone (from CloudKit)
00007ffb41c7d2f0 (__DATA,__objc_data) external _OBJC_CLASS_$_FMClip
00007ffb41c7c7d8 (__DATA,__objc_data) external _OBJC_CLASS_$_FMDownloadOptions
00007ffb41c7c558 (__DATA,__objc_data) external _OBJC_CLASS_$_FMFetchOptions
00007ffb41c7c788 (__DATA,__objc_data) external _OBJC_CLASS_$_FMKeyFrame
00007ffb41c7cf08 (__DATA,__objc_data) external _OBJC_CLASS_$_FMMixParameters
00007ffb41c7caf8 (__DATA,__objc_data) external _OBJC_CLASS_$_FMSong
00007ffb41c7caa8 (__DATA,__objc_data) external _OBJC_CLASS_$_FMSongAsset
00007ffb41c7c878 (__DATA,__objc_data) external _OBJC_CLASS_$_FMSongLibrary
00007ffb41c7c9b8 (__DATA,__objc_data) external _OBJC_CLASS_$_FMSongMetadata
00007ffb41c7c828 (__DATA,__objc_data) external _OBJC_CLASS_$_FMSongRendition
00007ffb41c7d138 (__DATA,__objc_data) external _OBJC_CLASS_$_FMTimedMetadataItem
00007ffb41c7cb98 (__DATA,__objc_data) external _OBJC_CLASS_$_FMTrack
00007ffb41c7d278 (__DATA,__objc_data) external _OBJC_CLASS_$_FlexCloudKitManager
00007ffb41c7d228 (__DATA,__objc_data) external _OBJC_CLASS_$_FlexCloudKitMetadata
00007ffb41c7c5f8 (__DATA,__objc_data) external _OBJC_CLASS_$_FlexCloudKitSongAsset
00007ffb41c7c698 (__DATA,__objc_data) external _OBJC_CLASS_$_FlexCloudManager
00007ffb41c7d0e8 (__DATA,__objc_data) external _OBJC_CLASS_$_FlexCloudSongAsset
00007ffb41c7d318 (__DATA,__objc_data) external _OBJC_CLASS_$_FlexLegacySongRendition
00007ffb41c7cd28 (__DATA,__objc_data) external _OBJC_CLASS_$_FlexLocalDBController
00007ffb41c7cf80 (__DATA,__objc_data) external _OBJC_CLASS_$_FlexLocalDBGenre
00007ffb41c7cb70 (__DATA,__objc_data) external _OBJC_CLASS_$_FlexLocalDBLastCloudUpdate
00007ffb41c7d070 (__DATA,__objc_data) external _OBJC_CLASS_$_FlexLocalDBRegion
00007ffb41c7d0c0 (__DATA,__objc_data) external _OBJC_CLASS_$_FlexLocalDBSong
00007ffb41c7c8c8 (__DATA,__objc_data) external _OBJC_CLASS_$_FlexLocalDBSongData
00007ffb41c7cc10 (__DATA,__objc_data) external _OBJC_CLASS_$_FlexMLGainValue
00007ffb41c7cc38 (__DATA,__objc_data) external _OBJC_CLASS_$_FlexMLSegment
00007ffb41c7c918 (__DATA,__objc_data) external _OBJC_CLASS_$_FlexMLSong
00007ffb41c7ccd8 (__DATA,__objc_data) external _OBJC_CLASS_$_FlexMLSongRendition
00007ffb41c7cbe8 (__DATA,__objc_data) external _OBJC_CLASS_$_FlexMLSummary
00007ffb41c7c968 (__DATA,__objc_data) external _OBJC_CLASS_$_FlexMLSummaryManager
00007ffb41c7cd78 (__DATA,__objc_data) external _OBJC_CLASS_$_FlexMarker
00007ffb41c7cdf0 (__DATA,__objc_data) external _OBJC_CLASS_$_FlexMobileAssetManagerV2
00007ffb41c7c648 (__DATA,__objc_data) external _OBJC_CLASS_$_FlexReachability
00007ffb41c7d1d8 (__DATA,__objc_data) external _OBJC_CLASS_$_FlexSegment
00007ffb41c7c5d0 (__DATA,__objc_data) external _OBJC_CLASS_$_FlexSegmentAssemblyInfo
00007ffb41c7d1b0 (__DATA,__objc_data) external _OBJC_CLASS_$_FlexSegmentAudioFileInfo
00007ffb41c7ceb8 (__DATA,__objc_data) external _OBJC_CLASS_$_FlexSong
00007ffb41c7ca08 (__DATA,__objc_data) external _OBJC_CLASS_$_FlexSongAssetProvider_V1
00007ffb41c7ca58 (__DATA,__objc_data) external _OBJC_CLASS_$_FlexSongAssetProvider_V2
00007ffb41c7c4b8 (__DATA,__objc_data) external _OBJC_CLASS_$_FlexSongBackend
00007ffb41c7c710 (__DATA,__objc_data) external _OBJC_CLASS_$_FlexSongMetaDataReader_V2
00007ffb41c7c760 (__DATA,__objc_data) external _OBJC_CLASS_$_FlexSongMetadataReaderUtils
00007ffb41c7ce68 (__DATA,__objc_data) external _OBJC_CLASS_$_FlexSongProxy
00007ffb41c7cfa8 (__DATA,__objc_data) external _OBJC_CLASS_$_FlexTestingContext
00007ffb41c7c508 (__DATA,__objc_data) external _OBJC_CLASS_$_FlexTransition
00007ffb41c7cff8 (__DATA,__objc_data) external _OBJC_CLASS_$_FlexUtilities
                 (undefined) external _OBJC_CLASS_$_MAAsset (from MobileAsset)
                 (undefined) external _OBJC_CLASS_$_MAAssetQuery (from MobileAsset)
                 (undefined) external _OBJC_CLASS_$_MADownloadOptions (from MobileAsset)
                 (undefined) external _OBJC_CLASS_$_NSArray (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSBundle (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSCharacterSet (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSCompoundPredicate (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSConstantArray (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSConstantIntegerNumber (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSCountedSet (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSData (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSDate (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSDictionary (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSEntityDescription (from CoreData)
                 (undefined) external _OBJC_CLASS_$_NSError (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSFetchRequest (from CoreData)
                 (undefined) external _OBJC_CLASS_$_NSFileManager (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSJSONSerialization (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSKeyedArchiver (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSKeyedUnarchiver (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSManagedObject (from CoreData)
                 (undefined) external _OBJC_CLASS_$_NSManagedObjectModel (from CoreData)
                 (undefined) external _OBJC_CLASS_$_NSMapTable (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableArray (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableDictionary (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableIndexSet (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableOrderedSet (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableSet (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSNotificationCenter (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSNull (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSNumber (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSNumberFormatter (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSObject (from libobjc)
                 (undefined) external _OBJC_CLASS_$_NSPersistentContainer (from CoreData)
                 (undefined) external _OBJC_CLASS_$_NSPersistentStoreDescription (from CoreData)
                 (undefined) external _OBJC_CLASS_$_NSPredicate (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSScanner (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSSet (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSString (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSThread (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSURL (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSUUID (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSValue (from Foundation)
00007ffb41c7d2c8 (__DATA,__objc_data) external _OBJC_METACLASS_$_FMClip
00007ffb41c7c800 (__DATA,__objc_data) external _OBJC_METACLASS_$_FMDownloadOptions
00007ffb41c7c580 (__DATA,__objc_data) external _OBJC_METACLASS_$_FMFetchOptions
00007ffb41c7c7b0 (__DATA,__objc_data) external _OBJC_METACLASS_$_FMKeyFrame
00007ffb41c7cf30 (__DATA,__objc_data) external _OBJC_METACLASS_$_FMMixParameters
00007ffb41c7cb20 (__DATA,__objc_data) external _OBJC_METACLASS_$_FMSong
00007ffb41c7cad0 (__DATA,__objc_data) external _OBJC_METACLASS_$_FMSongAsset
00007ffb41c7c8a0 (__DATA,__objc_data) external _OBJC_METACLASS_$_FMSongLibrary
00007ffb41c7c9e0 (__DATA,__objc_data) external _OBJC_METACLASS_$_FMSongMetadata
00007ffb41c7c850 (__DATA,__objc_data) external _OBJC_METACLASS_$_FMSongRendition
00007ffb41c7d160 (__DATA,__objc_data) external _OBJC_METACLASS_$_FMTimedMetadataItem
00007ffb41c7cbc0 (__DATA,__objc_data) external _OBJC_METACLASS_$_FMTrack
00007ffb41c7d2a0 (__DATA,__objc_data) external _OBJC_METACLASS_$_FlexCloudKitManager
00007ffb41c7d250 (__DATA,__objc_data) external _OBJC_METACLASS_$_FlexCloudKitMetadata
00007ffb41c7c620 (__DATA,__objc_data) external _OBJC_METACLASS_$_FlexCloudKitSongAsset
00007ffb41c7c6c0 (__DATA,__objc_data) external _OBJC_METACLASS_$_FlexCloudManager
00007ffb41c7d110 (__DATA,__objc_data) external _OBJC_METACLASS_$_FlexCloudSongAsset
00007ffb41c7d340 (__DATA,__objc_data) external _OBJC_METACLASS_$_FlexLegacySongRendition
00007ffb41c7cd50 (__DATA,__objc_data) external _OBJC_METACLASS_$_FlexLocalDBController
00007ffb41c7cf58 (__DATA,__objc_data) external _OBJC_METACLASS_$_FlexLocalDBGenre
00007ffb41c7cb48 (__DATA,__objc_data) external _OBJC_METACLASS_$_FlexLocalDBLastCloudUpdate
