00000001e47496a8 (__DATA,__data) non-external _.compoundliteral
00000001dba53f0c (__TEXT,__text) non-external (was a private external) _BitSetNextSetBit
00000001dba53fe0 (__TEXT,__text) non-external (was a private external) _BitSetOr
00000001dba54194 (__TEXT,__text) non-external (was a private external) _BitSetOrEquals
00000001dba53f84 (__TEXT,__text) non-external (was a private external) _BitSetPreviousSetBit
00000001dba53d7c (__TEXT,__text) non-external (was a private external) _BitSetSetEquals
00000001dba53e1c (__TEXT,__text) non-external (was a private external) _BitSetSetRangeEquals
00000001dba53af0 (__TEXT,__text) non-external (was a private external) _BitSetSetRangeEqualsInternal
00000001dba53e7c (__TEXT,__text) non-external (was a private external) _BitSetSetSizeEquals
00000001dba5f3e0 (__TEXT,__text) non-external (was a private external) _BlockAdd
00000001dba5fe68 (__TEXT,__text) non-external (was a private external) _BlockAddSuccessor
00000001dba5f4c8 (__TEXT,__text) non-external (was a private external) _BlockFree
00000001dba5f81c (__TEXT,__text) non-external (was a private external) _Blockify
00000001dba5ff00 (__TEXT,__text) non-external (was a private external) _BlocksFree
00000001dba5ca30 (__TEXT,__text) non-external (was a private external) _BuildGenKill
00000001dba5ccd4 (__TEXT,__text) non-external (was a private external) _BuildInterferenceSets
00000001dba5cbd0 (__TEXT,__text) non-external (was a private external) _BuildLiveOut
                 (undefined) external _CC_SHA1 (from libSystem)
                 (undefined) external _CFBundleGetIdentifier (from CoreFoundation)
                 (undefined) external _CFBundleGetMainBundle (from CoreFoundation)
                 (undefined) external _CFRelease (from CoreFoundation)
                 (undefined) external _CFRetain (from CoreFoundation)
                 (undefined) external _CFStringGetCString (from CoreFoundation)
                 (undefined) external _CFStringGetLength (from CoreFoundation)
                 (undefined) external _CFStringGetMaximumSizeForEncoding (from CoreFoundation)
00000001dba0da80 (__TEXT,__text) non-external _CPPelse
00000001dba0e728 (__TEXT,__text) non-external _CPPerror
00000001dba0e990 (__TEXT,__text) non-external _CPPextension
00000001dba0dd4c (__TEXT,__text) non-external _CPPif
00000001dba0de4c (__TEXT,__text) non-external _CPPifdef
00000001dba0dfd8 (__TEXT,__text) non-external _CPPinclude
00000001dba0e288 (__TEXT,__text) non-external _CPPline
00000001dba0e46c (__TEXT,__text) non-external _CPPpragma
00000001dba0e670 (__TEXT,__text) non-external _CPPundef
00000001dba0e844 (__TEXT,__text) non-external _CPPversion
00000001dba68098 (__TEXT,__text) non-external _CheckRemoveAvailableCopyTable
00000001dba66728 (__TEXT,__text) non-external _ClearDestedOpRegisters
00000001dba68050 (__TEXT,__text) non-external _ClearJumpTable
00000001dba666c0 (__TEXT,__text) non-external _ClearRegisterState
00000001dba649f4 (__TEXT,__text) non-external (was a private external) _ConstantPropagateFold
00000001dba5d644 (__TEXT,__text) non-external (was a private external) _DeadCodeEliminationSimple
00000001dba64cfc (__TEXT,__text) non-external (was a private external) _DecomposeMatrixOps
00000001dba6103c (__TEXT,__text) non-external (was a private external) _DetectConstantLoopsSimple
00000001db9f56e8 (__TEXT,__text) non-external (was a private external) _DstSwizzleMask
00000001dba62788 (__TEXT,__text) non-external _EmulateOp
00000001dba66660 (__TEXT,__text) non-external _EmulationContext_PopRegisters
00000001dba66610 (__TEXT,__text) non-external _EmulationContext_PushRegisters
00000001dba0cd44 (__TEXT,__text) non-external _FindHashLoc
00000001dba683c4 (__TEXT,__text) non-external _FindMatchingAvailableCopy
00000001db9f4440 (__TEXT,__text) non-external (was a private external) _FinishType
00000001dba60224 (__TEXT,__text) non-external (was a private external) _FlattenIf
00000001dba60078 (__TEXT,__text) non-external (was a private external) _FlattenIfs
00000001dba0ccdc (__TEXT,__text) non-external (was a private external) _FreeAtomTable
00000001dba0d090 (__TEXT,__text) non-external (was a private external) _FreeCPP
00000001dba0fba4 (__TEXT,__text) non-external (was a private external) _FreeScanner
00000001db949f00 (__TEXT,__text) non-external _GLDAttribBindingForPPStreamToken
00000001db94ee78 (__TEXT,__text) non-external _GLDAttribBindingsAddAttribBinding
00000001e09d4400 (__DATA_CONST,__const) non-external (was a private external) _GLP_BI_INDEX
00000001dba8392c (__TEXT,__const) non-external (was a private external) _GLP_BI_INDEX_COUNT
00000001e59863f8 (__AUTH,__data) non-external (was a private external) _GLP_MALLOC_ALLOCATOR
00000001dba83180 (__TEXT,__const) non-external _GLP_MATRIX_TYPES
00000001e09d6440 (__DATA_CONST,__const) non-external (was a private external) _GLP_PRIMITIVE_TYPES
00000001dba8393c (__TEXT,__const) non-external (was a private external) _GLP_PRIMITIVE_TYPE_ARRAY
00000001dba83130 (__TEXT,__const) non-external _GLP_VECTOR_TYPES
00000001dba0c8f4 (__TEXT,__text) non-external (was a private external) _GetAtomString
00000001dba61d84 (__TEXT,__text) non-external _GetOpRegs
00000001dba5fdd4 (__TEXT,__text) non-external _GetOrAddBlock
00000001dba64c88 (__TEXT,__text) non-external _GetRegChunk
00000001dba5e538 (__TEXT,__text) non-external _GetRegister
00000001dba66560 (__TEXT,__text) non-external _GetRegisterIndicies
00000001dba60f04 (__TEXT,__text) non-external _GetRegisterTypeInfo
00000001dba0c968 (__TEXT,__text) non-external (was a private external) _GetReversedAtom
00000001dba68348 (__TEXT,__text) non-external _GetStreamArray
00000001dba0ccc8 (__TEXT,__text) non-external (was a private external) _GetStringOfAtom
00000001dba0caf8 (__TEXT,__text) non-external _GrowAtomTable
00000001e4749620 (__DATA,__data) non-external (was a private external) _HT_PRIMES
00000001dba5c404 (__TEXT,__text) non-external (was a private external) _HashSetAdd
00000001dba5c388 (__TEXT,__text) non-external (was a private external) _HashSetFree
00000001dba5c524 (__TEXT,__text) non-external (was a private external) _HashSetGet
00000001dba5c684 (__TEXT,__text) non-external (was a private external) _HashSetIteratorNext
00000001dba5c67c (__TEXT,__text) non-external (was a private external) _HashSetIteratorSetup
00000001dba5c2a4 (__TEXT,__text) non-external (was a private external) _HashSetNew
00000001dba5c5c8 (__TEXT,__text) non-external (was a private external) _HashSetRemove
00000001dba5c80c (__TEXT,__text) non-external (was a private external) _HashTableAdd
00000001dba5c764 (__TEXT,__text) non-external (was a private external) _HashTableFree
00000001dba5c984 (__TEXT,__text) non-external (was a private external) _HashTableGet
00000001dba5c700 (__TEXT,__text) non-external (was a private external) _HashTableNew
                 (undefined) external _IOSurfaceGetBaseAddressOfPlane (from IOSurface)
                 (undefined) external _IOSurfaceGetBytesPerRowOfPlane (from IOSurface)
                 (undefined) external _IOSurfaceGetSeedOfPlane (from IOSurface)
                 (undefined) external _IOSurfaceLockPlane (from IOSurface)
                 (undefined) external _IOSurfaceUnlockPlane (from IOSurface)
00000001dba0c990 (__TEXT,__text) non-external (was a private external) _InitAtomTable
00000001dba0cebc (__TEXT,__text) non-external (was a private external) _InitCPP
00000001db9f448c (__TEXT,__text) non-external (was a private external) _InitReg
00000001dba0fb50 (__TEXT,__text) non-external (was a private external) _InitScanner
00000001dba5eaac (__TEXT,__text) non-external (was a private external) _InstructionAdd
00000001dba5f390 (__TEXT,__text) non-external (was a private external) _InstructionFree
00000001dba5eb9c (__TEXT,__text) non-external _InstructionInitSourcesTargets
00000001dba61eb8 (__TEXT,__text) non-external _IsBadUsage
00000001db9f5870 (__TEXT,__text) non-external (was a private external) _Load
00000001dba0c67c (__TEXT,__text) non-external (was a private external) _LookUpAddString
00000001dba0c758 (__TEXT,__text) non-external _LookUpAddStringHash
00000001dba11d90 (__TEXT,__text) non-external (was a private external) _LookUpLocalSymbol
00000001dba11e08 (__TEXT,__text) non-external (was a private external) _LookUpSymbol
00000001dba0eb08 (__TEXT,__text) non-external (was a private external) _MacroExpand
00000001dba126e8 (__TEXT,__text) non-external (was a private external) _MatchNextToken
00000001dba11be8 (__TEXT,__text) non-external (was a private external) _NewScopeInPool
00000001dba11e64 (__TEXT,__text) non-external (was a private external) _NewTokenStream
00000001e09d29a0 (__DATA_CONST,__const) non-external (was a private external) _OpsList_ARBfp10
00000001e09d2640 (__DATA_CONST,__const) non-external (was a private external) _OpsList_ARBvp10
00000001e09d2bc0 (__DATA_CONST,__const) non-external (was a private external) _OpsList_NVfp10
00000001e09d2d00 (__DATA_CONST,__const) non-external (was a private external) _OpsList_NVfp20
00000001e09d2800 (__DATA_CONST,__const) non-external (was a private external) _OpsList_NVvp20
00000001e09d2900 (__DATA_CONST,__const) non-external (was a private external) _OpsList_NVvp30
00000001e09d2e00 (__DATA_CONST,__const) non-external (was a private external) _OpsList_fpSpecial
00000001e09d2970 (__DATA_CONST,__const) non-external (was a private external) _OpsList_vpSpecial
00000001db945a60 (__TEXT,__text) external _PPParserAttachLLVMIR
00000001db9457cc (__TEXT,__text) external _PPParserAttachStream
00000001db945618 (__TEXT,__text) external _PPParserAttachString
00000001db94ded4 (__TEXT,__text) external _PPParserBuildErrorString
00000001db945524 (__TEXT,__text) external _PPParserCreate
00000001db94619c (__TEXT,__text) non-external (was a private external) _PPParserDeclareNVAddressRegisters
00000001db94cc48 (__TEXT,__text) non-external (was a private external) _PPParserExpandMacro
00000001db9456f0 (__TEXT,__text) external _PPParserFree
00000001db945e70 (__TEXT,__text) non-external (was a private external) _PPParserGetCharacter
00000001db94ee60 (__TEXT,__text) external _PPParserGetErrorString
00000001db94ee70 (__TEXT,__text) external _PPParserGetImageUnitsUsed
00000001db9461f0 (__TEXT,__text) non-external (was a private external) _PPParserGetInteger
00000001db94ee3c (__TEXT,__text) external _PPParserGetLimits
00000001db94ee58 (__TEXT,__text) external _PPParserGetOptions
00000001db945f7c (__TEXT,__text) non-external (was a private external) _PPParserGetPart
00000001db94629c (__TEXT,__text) non-external (was a private external) _PPParserGetScalars
00000001db94ee68 (__TEXT,__text) external _PPParserGetStream
00000001db944420 (__TEXT,__text) non-external (was a private external) _PPParserIdentifierCreate
00000001db944468 (__TEXT,__text) non-external (was a private external) _PPParserIdentifierCreateFromIdentifier
00000001db944538 (__TEXT,__text) non-external (was a private external) _PPParserIdentifierFree
00000001db9444b4 (__TEXT,__text) non-external (was a private external) _PPParserIdentifierSetName
00000001db94dfd4 (__TEXT,__text) non-external _PPParserInherit
00000001db9455a0 (__TEXT,__text) external _PPParserInit
00000001db94ef98 (__TEXT,__text) non-external _PPParserLabelsAddLabel
00000001db94576c (__TEXT,__text) non-external _PPParserLabelsFree
00000001db943fe8 (__TEXT,__text) non-external (was a private external) _PPParserMacroCreate
00000001db944018 (__TEXT,__text) non-external (was a private external) _PPParserMacroCreateFromMacro
00000001db9441b8 (__TEXT,__text) non-external (was a private external) _PPParserMacroFree
00000001db9442d0 (__TEXT,__text) non-external (was a private external) _PPParserMacroGetReplaceString
00000001db94413c (__TEXT,__text) non-external (was a private external) _PPParserMacroSetParamString
00000001db9440f4 (__TEXT,__text) non-external (was a private external) _PPParserMacroSetParamStringsCount
00000001db944234 (__TEXT,__text) non-external (was a private external) _PPParserMacroSetSearchString
00000001db94ef24 (__TEXT,__text) non-external _PPParserOutputBindingsAddOutputBinding
00000001db94cfec (__TEXT,__text) external _PPParserParse
00000001db9470d0 (__TEXT,__text) non-external (was a private external) _PPParserParseAddressDeclaration
00000001db94ac60 (__TEXT,__text) non-external (was a private external) _PPParserParseAddressDestination
00000001db94bfb0 (__TEXT,__text) non-external (was a private external) _PPParserParseAddressSourceVar
00000001db94ca7c (__TEXT,__text) non-external (was a private external) _PPParserParseAliasDeclaration
00000001db946b48 (__TEXT,__text) non-external (was a private external) _PPParserParseArray
00000001db94945c (__TEXT,__text) non-external (was a private external) _PPParserParseAttributeBinding
00000001db949f40 (__TEXT,__text) non-external (was a private external) _PPParserParseAttributeDeclaration
00000001db946a0c (__TEXT,__text) non-external (was a private external) _PPParserParseBlock
00000001db94add4 (__TEXT,__text) non-external (was a private external) _PPParserParseBranchCondition
00000001db946c18 (__TEXT,__text) non-external (was a private external) _PPParserParseDefaultArray
00000001db94b160 (__TEXT,__text) non-external (was a private external) _PPParserParseDestination
00000001db94a734 (__TEXT,__text) non-external (was a private external) _PPParserParseDestinationMask
00000001db94ed94 (__TEXT,__text) non-external (was a private external) _PPParserParseEnd
00000001db946e58 (__TEXT,__text) non-external (was a private external) _PPParserParseIndirectArray
00000001db94ab0c (__TEXT,__text) non-external (was a private external) _PPParserParseLabel
00000001db94c7ec (__TEXT,__text) non-external (was a private external) _PPParserParseMacroDeclaration
00000001db94c078 (__TEXT,__text) non-external (was a private external) _PPParserParseOperation
00000001db94e128 (__TEXT,__text) non-external (was a private external) _PPParserParseOption
00000001db9463b4 (__TEXT,__text) non-external (was a private external) _PPParserParseOptionIdentifier
00000001db94a080 (__TEXT,__text) non-external (was a private external) _PPParserParseOutputBinding
00000001db94a604 (__TEXT,__text) non-external (was a private external) _PPParserParseOutputDeclaration
00000001db947a04 (__TEXT,__text) non-external (was a private external) _PPParserParseParamBinding
00000001db9492d8 (__TEXT,__text) non-external (was a private external) _PPParserParseParameterDeclaration
00000001db946d1c (__TEXT,__text) non-external (was a private external) _PPParserParseRangeArray
00000001db94a8e4 (__TEXT,__text) non-external (was a private external) _PPParserParseSourceSwizzle
00000001db94b4e4 (__TEXT,__text) non-external (was a private external) _PPParserParseSourceVar
00000001db94e200 (__TEXT,__text) non-external (was a private external) _PPParserParseStatement
00000001db94b990 (__TEXT,__text) non-external (was a private external) _PPParserParseSwizzleCode
00000001db94b7fc (__TEXT,__text) non-external (was a private external) _PPParserParseSwizzleSourceVar
00000001db947830 (__TEXT,__text) non-external (was a private external) _PPParserParseTempDeclaration
00000001db94bca4 (__TEXT,__text) non-external (was a private external) _PPParserParseTextureSourceVar
00000001db94e020 (__TEXT,__text) non-external (was a private external) _PPParserParseVersion
00000001db9446fc (__TEXT,__text) non-external (was a private external) _PPParserPreprocessString
00000001db945efc (__TEXT,__text) non-external (was a private external) _PPParserReturnCharacter
00000001db946118 (__TEXT,__text) non-external (was a private external) _PPParserReturnPart
00000001db945384 (__TEXT,__text) non-external (was a private external) _PPParserScopeAddIdentifier
00000001db944578 (__TEXT,__text) non-external (was a private external) _PPParserScopeCreate
00000001db9452d4 (__TEXT,__text) non-external (was a private external) _PPParserScopeCreateFromScope
00000001db945494 (__TEXT,__text) non-external (was a private external) _PPParserScopeFindIdentifier
00000001db9454dc (__TEXT,__text) non-external (was a private external) _PPParserScopeFindMacro
00000001db9453e0 (__TEXT,__text) non-external (was a private external) _PPParserScopeFree
00000001db94ee44 (__TEXT,__text) external _PPParserSetLimits
00000001db94ee34 (__TEXT,__text) external _PPParserSetPrefs
00000001db9455a4 (__TEXT,__text) non-external (was a private external) _PPParserShutdown
00000001db947238 (__TEXT,__text) non-external _PPParserValidateName
00000001dba55060 (__TEXT,__text) external _PPStreamAddAddressUsage
00000001dba551bc (__TEXT,__text) external _PPStreamAddAttribBinding
00000001dba55714 (__TEXT,__text) external _PPStreamAddConstant
00000001dba5560c (__TEXT,__text) external _PPStreamAddLabel
00000001dba55318 (__TEXT,__text) external _PPStreamAddOperation
00000001dba55814 (__TEXT,__text) external _PPStreamAddOption
00000001dba55230 (__TEXT,__text) external _PPStreamAddOutputBinding
00000001dba550d4 (__TEXT,__text) external _PPStreamAddParamBinding
00000001dba55148 (__TEXT,__text) external _PPStreamAddParamBindingArray
00000001dba557a0 (__TEXT,__text) external _PPStreamAddRasterOp
00000001dba54db0 (__TEXT,__text) non-external (was a private external) _PPStreamAddReqs0
00000001dba54e20 (__TEXT,__text) non-external (was a private external) _PPStreamAddReqs1
00000001dba54f70 (__TEXT,__text) external _PPStreamAddTempUsage
00000001dba54fe4 (__TEXT,__text) external _PPStreamAddTempUsageArray
00000001dba552a4 (__TEXT,__text) external _PPStreamAddTexImage
00000001dba562e8 (__TEXT,__text) external _PPStreamAttachStream
00000001dba5439c (__TEXT,__text) external _PPStreamAttribBindingIsEqual
00000001dba56ad8 (__TEXT,__text) non-external (was a private external) _PPStreamChangeBranchTargets
00000001dba544bc (__TEXT,__text) non-external (was a private external) _PPStreamChunkCompare
00000001dba54f40 (__TEXT,__text) non-external _PPStreamChunkCreate
00000001dba543c4 (__TEXT,__text) non-external (was a private external) _PPStreamChunkGetStream
00000001dba54738 (__TEXT,__text) external _PPStreamChunkListAddChunk
00000001dba54a7c (__TEXT,__text) non-external (was a private external) _PPStreamChunkListChunkAtIndex
00000001dba54b34 (__TEXT,__text) non-external (was a private external) _PPStreamChunkListCompare
00000001dba545b4 (__TEXT,__text) external _PPStreamChunkListCreate
00000001dba545e4 (__TEXT,__text) external _PPStreamChunkListCreateFromChunkList
00000001dba54770 (__TEXT,__text) non-external (was a private external) _PPStreamChunkListFree
00000001dba54b9c (__TEXT,__text) external _PPStreamChunkListGetNextIndex
00000001dba5498c (__TEXT,__text) external _PPStreamChunkListGetStream
00000001dba5483c (__TEXT,__text) non-external (was a private external) _PPStreamChunkListInsertChunkAfterChunk
00000001dba547d0 (__TEXT,__text) non-external (was a private external) _PPStreamChunkListInsertChunkBeforeChunk
00000001dba54898 (__TEXT,__text) external _PPStreamChunkListRemoveChunk
00000001dba548f4 (__TEXT,__text) external _PPStreamChunkListSort
00000001dba569ac (__TEXT,__text) external _PPStreamCompare
00000001dba54ccc (__TEXT,__text) external _PPStreamCreate
00000001dba54e94 (__TEXT,__text) external _PPStreamFree
00000001dba55884 (__TEXT,__text) external _PPStreamGetStream
00000001dba562b8 (__TEXT,__text) external _PPStreamGetTexOperationCount
00000001dba55518 (__TEXT,__text) non-external (was a private external) _PPStreamInsertOperationAfterChunk
00000001dba55400 (__TEXT,__text) non-external (was a private external) _PPStreamInsertOperationBeforeChunk
00000001dba543b0 (__TEXT,__text) external _PPStreamOutputBindingIsEqual
00000001dba56b94 (__TEXT,__text) non-external (was a private external) _PPStreamPackIndices
00000001dba54388 (__TEXT,__text) external _PPStreamParamBindingIsEqual
00000001dba556bc (__TEXT,__text) non-external (was a private external) _PPStreamRemoveLabelsAtOperationIndex
00000001dba57258 (__TEXT,__text) non-external (was a private external) _PPStreamRemoveOperation
00000001dba57138 (__TEXT,__text) non-external (was a private external) _PPStreamResolveBranches
00000001db9501cc (__TEXT,__text) external _PPStreamTokenAddBlockInfo
00000001db950d98 (__TEXT,__text) external _PPStreamTokenAddRasterOps
00000001dba561a4 (__TEXT,__text) non-external (was a private external) _PPStreamTokenAddRasterRequirements
00000001dba55c00 (__TEXT,__text) non-external (was a private external) _PPStreamTokenAddRequirements
00000001db950f38 (__TEXT,__text) external _PPStreamTokenAddTexImages
00000001db950ea0 (__TEXT,__text) external _PPStreamTokenAddTexUnitInfo
00000001dba5628c (__TEXT,__text) external _PPStreamTokenAlloc
00000001db9512a4 (__TEXT,__text) external _PPStreamTokenConvertAttribBindings
00000001db951694 (__TEXT,__text) external _PPStreamTokenConvertOutputBindings
00000001db9514e4 (__TEXT,__text) external _PPStreamTokenConvertParamBindings
00000001db9515d8 (__TEXT,__text) external _PPStreamTokenConvertParamBindingsToGeneric
00000001dba562b4 (__TEXT,__text) external _PPStreamTokenFree
00000001db95018c (__TEXT,__text) external _PPStreamTokenGetProgramOptions
00000001db950128 (__TEXT,__text) external _PPStreamTokenIsTrivialPassThrough
00000001dba822b8 (__TEXT,__const) non-external _PPStreamTokenIsTrivialPassThrough.ARBFP
00000001dba82378 (__TEXT,__const) non-external _PPStreamTokenIsTrivialPassThrough.GLSL1
00000001dba82448 (__TEXT,__const) non-external _PPStreamTokenIsTrivialPassThrough.GLSL2
00000001e09d31c8 (__DATA_CONST,__const) non-external _PPStreamTokenIsTrivialPassThrough.streams
00000001db951760 (__TEXT,__text) external _PPStreamTokenValidateOptions
00000001e09d3f00 (__DATA_CONST,__const) non-external _PROMOTIONS
00000001dba834ac (__TEXT,__const) non-external _PROMOTIONS_110
00000001dba834b0 (__TEXT,__const) non-external _PROMOTIONS_120
00000001dba834e8 (__TEXT,__const) non-external _PROMOTIONS_400
00000001dba834c0 (__TEXT,__const) non-external _PROMOTIONS_FP64
00000001dba60028 (__TEXT,__text) non-external (was a private external) _ProgramFree
00000001dba5ff80 (__TEXT,__text) non-external (was a private external) _ProgramNew
00000001dba127a4 (__TEXT,__text) non-external (was a private external) _ReadFromTokenStream
00000001dba12128 (__TEXT,__text) non-external (was a private external) _ReadToken
00000001dba67dbc (__TEXT,__text) non-external _RecordFunctionCall
00000001dba11fb4 (__TEXT,__text) non-external (was a private external) _RecordToken
00000001dba5e9b8 (__TEXT,__text) non-external (was a private external) _RegisterAdd
00000001dba5e8f8 (__TEXT,__text) non-external (was a private external) _RegisterCanMerge
00000001dba5d204 (__TEXT,__text) non-external (was a private external) _RegisterVectorCanMerge
00000001dba5d178 (__TEXT,__text) non-external (was a private external) _RegisterVectorIsFixed
00000001dba5f5fc (__TEXT,__text) non-external (was a private external) _Registerify
00000001dba5e5e4 (__TEXT,__text) non-external (was a private external) _RegistersCleanup
00000001dba5f798 (__TEXT,__text) non-external (was a private external) _RegistersFree
00000001dba5f59c (__TEXT,__text) non-external (was a private external) _RegistersInitialize
00000001dba5cebc (__TEXT,__text) non-external (was a private external) _RegistersMerge
00000001dba5d280 (__TEXT,__text) non-external (was a private external) _RegistersReInterfere
00000001dba5d310 (__TEXT,__text) non-external (was a private external) _RegistersReplace
00000001dba646fc (__TEXT,__text) non-external (was a private external) _RepifyConstantLoopSimple
00000001db94eed8 (__TEXT,__text) non-external _ResizeGLDAttribBindings
00000001db94f024 (__TEXT,__text) non-external _ResizeGLPContextStateBindings
00000001dba12114 (__TEXT,__text) non-external (was a private external) _RewindTokenStream
00000001dba10e94 (__TEXT,__text) non-external (was a private external) _ScanFromIncludeString
00000001dba110ac (__TEXT,__text) non-external (was a private external) _ScanFromSimpleString
00000001dba0fc00 (__TEXT,__text) non-external (was a private external) _ScanFromString
00000001dba112b4 (__TEXT,__text) non-external (was a private external) _ScanFromTokenPastedString
00000001db9f5794 (__TEXT,__text) non-external (was a private external) _SetAddressRegister
00000001dba02c70 (__TEXT,__text) external _ShAttributeBindingRequest
00000001dba02bc0 (__TEXT,__text) external _ShCleanup
00000001dba02610 (__TEXT,__text) external _ShCompile
00000001dba0222c (__TEXT,__text) external _ShConstructCompiler
00000001dba022c0 (__TEXT,__text) external _ShConstructLinker
00000001dba02388 (__TEXT,__text) external _ShDestruct
00000001dba02608 (__TEXT,__text) external _ShFinalize
00000001dba03d0c (__TEXT,__text) external _ShFragDataBindingRequest
00000001dba03490 (__TEXT,__text) external _ShGetActiveAttrib
00000001dba0314c (__TEXT,__text) external _ShGetActiveBindableUniformBufferIndexOffsetFromLocation
00000001dba03134 (__TEXT,__text) external _ShGetActiveBindableUniformBufferSizeTable
00000001dba030f8 (__TEXT,__text) external _ShGetActiveNonbindableUniformsSize
00000001dba04d50 (__TEXT,__text) external _ShGetActiveSamplerLocations
00000001dba05310 (__TEXT,__text) external _ShGetActiveSubroutineName
00000001dba05268 (__TEXT,__text) external _ShGetActiveSubroutineUniformName
00000001dba05110 (__TEXT,__text) external _ShGetActiveSubroutineUniformiv
00000001dba04bac (__TEXT,__text) external _ShGetActiveUniform
00000001dba04494 (__TEXT,__text) external _ShGetActiveUniformBlockName
00000001dba04200 (__TEXT,__text) external _ShGetActiveUniformBlockiv
00000001dba046bc (__TEXT,__text) external _ShGetActiveUniformIndex
00000001dba048fc (__TEXT,__text) external _ShGetActiveUniformName
00000001dba03610 (__TEXT,__text) external _ShGetAttribLocation
00000001dba03394 (__TEXT,__text) external _ShGetBindableUniformTypeInfo
00000001dba053b4 (__TEXT,__text) external _ShGetCachedUniformIndexTable
00000001dba053cc (__TEXT,__text) external _ShGetCachedUniformIndexTableSize
00000001dba036c0 (__TEXT,__text) external _ShGetContextStateUniforms
00000001dba03eb0 (__TEXT,__text) external _ShGetFragDataLocation
00000001dba02bd0 (__TEXT,__text) external _ShGetInfoLog
00000001dba053e4 (__TEXT,__text) external _ShGetInteger
00000001dba03988 (__TEXT,__text) external _ShGetLinkerPPStream
00000001dba04e48 (__TEXT,__text) external _ShGetMaxActiveSubroutineLength
00000001dba04eac (__TEXT,__text) external _ShGetMaxActiveSubroutineUniformLength
00000001dba040c0 (__TEXT,__text) external _ShGetMaxActiveUniformBlockLength
00000001dba04ac4 (__TEXT,__text) external _ShGetMaxActiveUniformLength
00000001dba0340c (__TEXT,__text) external _ShGetMaxAttributeLength
00000001dba03c04 (__TEXT,__text) external _ShGetMaxTransformFeedbackVaryingLength
00000001dba02e10 (__TEXT,__text) external _ShGetNumActiveAttributes
00000001dba04638 (__TEXT,__text) non-external _ShGetNumActiveNonbindableUniforms
00000001dba04e38 (__TEXT,__text) external _ShGetNumActiveSubroutineUniformLocations
00000001dba04db4 (__TEXT,__text) external _ShGetNumActiveSubroutineUniforms
00000001dba04d90 (__TEXT,__text) external _ShGetNumActiveSubroutines
00000001dba0400c (__TEXT,__text) external _ShGetNumActiveUniformBlocks
00000001dba049e8 (__TEXT,__text) external _ShGetNumActiveUniforms
00000001dba03cfc (__TEXT,__text) external _ShGetNumActiveVaryingsComponents
00000001dba03110 (__TEXT,__text) external _ShGetNumBindableUniformBuffers
00000001dba03968 (__TEXT,__text) external _ShGetPPStreamManager
00000001dba03978 (__TEXT,__text) external _ShGetShaderByteCode
00000001dba05060 (__TEXT,__text) external _ShGetSubroutineIndex
00000001dba04f30 (__TEXT,__text) external _ShGetSubroutineUniformLocation
00000001dba03c68 (__TEXT,__text) external _ShGetTransformFeedbackVarying
00000001dba04148 (__TEXT,__text) external _ShGetUniformBlockIndex
00000001dba04544 (__TEXT,__text) external _ShGetUniformIndex
