00007ffd445e1fd0 (__DATA,__bss) non-external _A
00007ffd18e4815b (__TEXT,__text) external _cmark_gfm_extensions_get_tasklist_item_checked
00007ffd18e60d60 (__TEXT,__text) external _cmark_gfm_extensions_set_table_alignments
00007ffd18e60e67 (__TEXT,__text) external _cmark_gfm_extensions_set_table_cell_colspan
00007ffd18e60e93 (__TEXT,__text) external _cmark_gfm_extensions_set_table_cell_rowspan
00007ffd18e60d38 (__TEXT,__text) external _cmark_gfm_extensions_set_table_columns
00007ffd18e60ddc (__TEXT,__text) external _cmark_gfm_extensions_set_table_row_is_header
00007ffd18e48109 (__TEXT,__text) external _cmark_gfm_extensions_set_tasklist_item_checked
00007ffd18e58f87 (__TEXT,__text) external _cmark_init_standard_node_flags
00007ffd18e5e225 (__TEXT,__text) external _cmark_inline_parser_advance_offset
00007ffd18e5e253 (__TEXT,__text) external _cmark_inline_parser_get_chunk
00007ffd18e5e240 (__TEXT,__text) external _cmark_inline_parser_get_column
00007ffd18e5e2dc (__TEXT,__text) external _cmark_inline_parser_get_last_delimiter
00007ffd18e5e2e6 (__TEXT,__text) external _cmark_inline_parser_get_line
00007ffd18e5e22e (__TEXT,__text) external _cmark_inline_parser_get_offset
00007ffd18e5e25d (__TEXT,__text) external _cmark_inline_parser_in_bracket
00007ffd18e5df33 (__TEXT,__text) external _cmark_inline_parser_is_eof
00007ffd18e5df22 (__TEXT,__text) external _cmark_inline_parser_peek_at
00007ffd18e5deff (__TEXT,__text) external _cmark_inline_parser_peek_char
00007ffd18e62238 (__TEXT,__text) non-external _cmark_inline_parser_peek_char.cold.1
00007ffd18e5dfe5 (__TEXT,__text) external _cmark_inline_parser_push_delimiter
00007ffd18e5e06f (__TEXT,__text) external _cmark_inline_parser_remove_delimiter
00007ffd18e5e079 (__TEXT,__text) external _cmark_inline_parser_scan_delimiters
00007ffd18e6227e (__TEXT,__text) non-external _cmark_inline_parser_scan_delimiters.cold.1
00007ffd18e5e237 (__TEXT,__text) external _cmark_inline_parser_set_offset
00007ffd18e5df44 (__TEXT,__text) external _cmark_inline_parser_take_while
00007ffd18e6225b (__TEXT,__text) non-external _cmark_inline_parser_take_while.cold.1
00007ffd18e5a8b1 (__TEXT,__text) non-external (was a private external) _cmark_inlines_add_special_character
00007ffd18e5a8d3 (__TEXT,__text) non-external (was a private external) _cmark_inlines_remove_special_character
00007ffd18e480b6 (__TEXT,__text) external _cmark_isalnum
00007ffd18e480ef (__TEXT,__text) external _cmark_isalpha
00007ffd18e480d5 (__TEXT,__text) external _cmark_isdigit
00007ffd18e4809c (__TEXT,__text) external _cmark_ispunct
00007ffd18e48082 (__TEXT,__text) external _cmark_isspace
00007ffd18e4b018 (__TEXT,__text) external _cmark_iter_free
00007ffd18e4b0dd (__TEXT,__text) external _cmark_iter_get_event_type
00007ffd18e4b0d3 (__TEXT,__text) external _cmark_iter_get_node
00007ffd18e4b0e6 (__TEXT,__text) external _cmark_iter_get_root
00007ffd18e4afd0 (__TEXT,__text) external _cmark_iter_new
00007ffd18e4b023 (__TEXT,__text) external _cmark_iter_next
00007ffd18e619a0 (__TEXT,__text) non-external _cmark_iter_next.cold.1
00007ffd18e4b0c2 (__TEXT,__text) external _cmark_iter_reset
00007ffd18e49c7c (__TEXT,__text) external _cmark_list_syntax_extensions
00007ffd18e4bfdf (__TEXT,__text) external _cmark_llist_append
00007ffd18e4c06b (__TEXT,__text) external _cmark_llist_free
00007ffd18e4c029 (__TEXT,__text) external _cmark_llist_free_full
00007ffd18e56d5d (__TEXT,__text) external _cmark_manage_extensions_special_characters
00007ffd18e5621a (__TEXT,__text) non-external (was a private external) _cmark_map_free
00007ffd18e560a6 (__TEXT,__text) non-external (was a private external) _cmark_map_lookup
00007ffd18e5625f (__TEXT,__text) non-external (was a private external) _cmark_map_new
00007ffd18e46e8b (__TEXT,__text) external _cmark_markdown_to_html
00007ffd18e5a53d (__TEXT,__text) external _cmark_node_append_child
00007ffd18e58f8d (__TEXT,__text) non-external (was a private external) _cmark_node_can_contain_type
00007ffd18e5a593 (__TEXT,__text) non-external (was a private external) _cmark_node_check
00007ffd18e59575 (__TEXT,__text) external _cmark_node_first_child
00007ffd18e59119 (__TEXT,__text) external _cmark_node_free
00007ffd18e59f1f (__TEXT,__text) external _cmark_node_get_attributes
00007ffd18e5975a (__TEXT,__text) external _cmark_node_get_backtick_count
00007ffd18e5a36c (__TEXT,__text) external _cmark_node_get_end_column
00007ffd18e5a35a (__TEXT,__text) external _cmark_node_get_end_line
00007ffd18e59ad1 (__TEXT,__text) external _cmark_node_get_fence_info
00007ffd18e59c15 (__TEXT,__text) external _cmark_node_get_fenced
00007ffd18e598ac (__TEXT,__text) external _cmark_node_get_heading_level
00007ffd18e59a8c (__TEXT,__text) external _cmark_node_get_item_index
00007ffd18e599be (__TEXT,__text) external _cmark_node_get_list_delim
00007ffd18e5993e (__TEXT,__text) external _cmark_node_get_list_marker
00007ffd18e59a07 (__TEXT,__text) external _cmark_node_get_list_start
00007ffd18e59a4c (__TEXT,__text) external _cmark_node_get_list_tight
00007ffd18e598f5 (__TEXT,__text) external _cmark_node_get_list_type
00007ffd18e5962c (__TEXT,__text) external _cmark_node_get_literal
00007ffd18e5a063 (__TEXT,__text) external _cmark_node_get_on_enter
00007ffd18e5a1b7 (__TEXT,__text) external _cmark_node_get_on_exit
00007ffd18e5a348 (__TEXT,__text) external _cmark_node_get_start_column
00007ffd18e5a336 (__TEXT,__text) external _cmark_node_get_start_line
00007ffd18e59892 (__TEXT,__text) external _cmark_node_get_string_content
00007ffd18e5a30b (__TEXT,__text) external _cmark_node_get_syntax_extension
00007ffd18e59dcf (__TEXT,__text) external _cmark_node_get_title
00007ffd18e591f3 (__TEXT,__text) external _cmark_node_get_type
00007ffd18e5938c (__TEXT,__text) external _cmark_node_get_type_string
00007ffd18e59c7f (__TEXT,__text) external _cmark_node_get_url
00007ffd18e595e9 (__TEXT,__text) external _cmark_node_get_user_data
00007ffd18e5a428 (__TEXT,__text) external _cmark_node_insert_after
00007ffd18e5a3a2 (__TEXT,__text) external _cmark_node_insert_before
00007ffd18e59588 (__TEXT,__text) external _cmark_node_last_child
00007ffd18e59106 (__TEXT,__text) external _cmark_node_new
00007ffd18e590e6 (__TEXT,__text) external _cmark_node_new_with_ext
00007ffd18e590fa (__TEXT,__text) external _cmark_node_new_with_mem
00007ffd18e59048 (__TEXT,__text) external _cmark_node_new_with_mem_and_ext
00007ffd18e5953c (__TEXT,__text) external _cmark_node_next
00007ffd18e5959b (__TEXT,__text) external _cmark_node_nth_child
00007ffd18e4b280 (__TEXT,__text) external _cmark_node_own
00007ffd18e59562 (__TEXT,__text) external _cmark_node_parent
00007ffd18e595d3 (__TEXT,__text) external _cmark_node_parent_footnote_def
00007ffd18e5a4e7 (__TEXT,__text) external _cmark_node_prepend_child
00007ffd18e5954f (__TEXT,__text) external _cmark_node_previous
00007ffd18e5a4ae (__TEXT,__text) external _cmark_node_replace
00007ffd18e59fa6 (__TEXT,__text) external _cmark_node_set_attributes
00007ffd18e59b58 (__TEXT,__text) external _cmark_node_set_fence_info
00007ffd18e59c4b (__TEXT,__text) external _cmark_node_set_fenced
00007ffd18e598c7 (__TEXT,__text) external _cmark_node_set_heading_level
00007ffd18e59aa7 (__TEXT,__text) external _cmark_node_set_item_index
00007ffd18e599d9 (__TEXT,__text) external _cmark_node_set_list_delim
00007ffd18e59977 (__TEXT,__text) external _cmark_node_set_list_marker
00007ffd18e59a22 (__TEXT,__text) external _cmark_node_set_list_start
00007ffd18e59a68 (__TEXT,__text) external _cmark_node_set_list_tight
00007ffd18e59910 (__TEXT,__text) external _cmark_node_set_list_type
00007ffd18e59763 (__TEXT,__text) external _cmark_node_set_literal
00007ffd18e5a0f4 (__TEXT,__text) external _cmark_node_set_on_enter
00007ffd18e5a248 (__TEXT,__text) external _cmark_node_set_on_exit
00007ffd18e5989c (__TEXT,__text) external _cmark_node_set_string_content
00007ffd18e5a31e (__TEXT,__text) external _cmark_node_set_syntax_extension
00007ffd18e59e5c (__TEXT,__text) external _cmark_node_set_title
00007ffd18e59206 (__TEXT,__text) external _cmark_node_set_type
00007ffd18e59d0c (__TEXT,__text) external _cmark_node_set_url
00007ffd18e595fc (__TEXT,__text) external _cmark_node_set_user_data
00007ffd18e59614 (__TEXT,__text) external _cmark_node_set_user_data_free_func
00007ffd18e5a37e (__TEXT,__text) external _cmark_node_unlink
00007ffd18e5e28e (__TEXT,__text) external _cmark_node_unput
00007ffd18e574d1 (__TEXT,__text) external _cmark_parse_document
00007ffd18e56dc5 (__TEXT,__text) external _cmark_parse_file
00007ffd18e5a8f5 (__TEXT,__text) non-external (was a private external) _cmark_parse_inlines
00007ffd18e61c9f (__TEXT,__text) non-external _cmark_parse_inlines.cold.1
00007ffd18e61dda (__TEXT,__text) non-external _cmark_parse_inlines.cold.10
00007ffd18e61dfd (__TEXT,__text) non-external _cmark_parse_inlines.cold.11
00007ffd18e61e20 (__TEXT,__text) non-external _cmark_parse_inlines.cold.12
00007ffd18e61e43 (__TEXT,__text) non-external _cmark_parse_inlines.cold.13
00007ffd18e61e66 (__TEXT,__text) non-external _cmark_parse_inlines.cold.14
00007ffd18e61e89 (__TEXT,__text) non-external _cmark_parse_inlines.cold.15
00007ffd18e61eac (__TEXT,__text) non-external _cmark_parse_inlines.cold.16
00007ffd18e61ecf (__TEXT,__text) non-external _cmark_parse_inlines.cold.17
00007ffd18e61ef2 (__TEXT,__text) non-external _cmark_parse_inlines.cold.18
00007ffd18e61f15 (__TEXT,__text) non-external _cmark_parse_inlines.cold.19
00007ffd18e61cc2 (__TEXT,__text) non-external _cmark_parse_inlines.cold.2
00007ffd18e61ce5 (__TEXT,__text) non-external _cmark_parse_inlines.cold.3
00007ffd18e61d08 (__TEXT,__text) non-external _cmark_parse_inlines.cold.4
00007ffd18e61d2b (__TEXT,__text) non-external _cmark_parse_inlines.cold.5
00007ffd18e61d4e (__TEXT,__text) non-external _cmark_parse_inlines.cold.6
00007ffd18e61d71 (__TEXT,__text) non-external _cmark_parse_inlines.cold.7
00007ffd18e61d94 (__TEXT,__text) non-external _cmark_parse_inlines.cold.8
00007ffd18e61db7 (__TEXT,__text) non-external _cmark_parse_inlines.cold.9
00007ffd18e5dd18 (__TEXT,__text) non-external (was a private external) _cmark_parse_reference_attributes_inline
00007ffd18e62189 (__TEXT,__text) non-external _cmark_parse_reference_attributes_inline.cold.1
00007ffd18e621ac (__TEXT,__text) non-external _cmark_parse_reference_attributes_inline.cold.2
00007ffd18e621cf (__TEXT,__text) non-external _cmark_parse_reference_attributes_inline.cold.3
00007ffd18e621f2 (__TEXT,__text) non-external _cmark_parse_reference_attributes_inline.cold.4
00007ffd18e62215 (__TEXT,__text) non-external _cmark_parse_reference_attributes_inline.cold.5
00007ffd18e5d64b (__TEXT,__text) non-external (was a private external) _cmark_parse_reference_inline
00007ffd18e61f5b (__TEXT,__text) non-external _cmark_parse_reference_inline.cold.1
00007ffd18e61f7e (__TEXT,__text) non-external _cmark_parse_reference_inline.cold.2
00007ffd18e61fa1 (__TEXT,__text) non-external _cmark_parse_reference_inline.cold.3
00007ffd18e61fc4 (__TEXT,__text) non-external _cmark_parse_reference_inline.cold.4
00007ffd18e61fe7 (__TEXT,__text) non-external _cmark_parse_reference_inline.cold.5
00007ffd18e6200a (__TEXT,__text) non-external _cmark_parse_reference_inline.cold.6
00007ffd18e6202d (__TEXT,__text) non-external _cmark_parse_reference_inline.cold.7
00007ffd18e586c7 (__TEXT,__text) external _cmark_parser_add_child
00007ffd18e5879b (__TEXT,__text) external _cmark_parser_advance_offset
00007ffd18e56a90 (__TEXT,__text) external _cmark_parser_attach_syntax_extension
00007ffd18e56d2f (__TEXT,__text) non-external _cmark_parser_dispose
00007ffd18e57526 (__TEXT,__text) external _cmark_parser_feed
00007ffd18e57532 (__TEXT,__text) external _cmark_parser_feed_reentrant
00007ffd18e57026 (__TEXT,__text) external _cmark_parser_finish
00007ffd18e56cbd (__TEXT,__text) external _cmark_parser_free
00007ffd18e58686 (__TEXT,__text) external _cmark_parser_get_column
00007ffd18e5868f (__TEXT,__text) external _cmark_parser_get_first_nonspace
00007ffd18e58698 (__TEXT,__text) external _cmark_parser_get_first_nonspace_column
00007ffd18e586a1 (__TEXT,__text) external _cmark_parser_get_indent
00007ffd18e586be (__TEXT,__text) external _cmark_parser_get_last_line_length
00007ffd18e58674 (__TEXT,__text) external _cmark_parser_get_line_number
00007ffd18e5867d (__TEXT,__text) external _cmark_parser_get_offset
00007ffd18e5888c (__TEXT,__text) external _cmark_parser_get_syntax_extensions
00007ffd18e586b4 (__TEXT,__text) external _cmark_parser_has_partially_consumed_tab
00007ffd18e586aa (__TEXT,__text) external _cmark_parser_is_blank
00007ffd18e56cac (__TEXT,__text) external _cmark_parser_new
00007ffd18e56b41 (__TEXT,__text) external _cmark_parser_new_with_mem
00007ffd18e56b99 (__TEXT,__text) non-external _cmark_parser_reset
00007ffd18e5887f (__TEXT,__text) external _cmark_parser_set_backslash_ispunct_func
00007ffd18e4ab4f (__TEXT,__text) external _cmark_plugin_free
00007ffd18e4ab2f (__TEXT,__text) external _cmark_plugin_new
00007ffd18e4ab05 (__TEXT,__text) external _cmark_plugin_register_syntax_extension
00007ffd18e4ab7f (__TEXT,__text) external _cmark_plugin_steal_syntax_extensions
00007ffd18e56892 (__TEXT,__text) non-external (was a private external) _cmark_reference_create
00007ffd18e61a90 (__TEXT,__text) non-external _cmark_reference_create.cold.1
00007ffd18e56957 (__TEXT,__text) non-external (was a private external) _cmark_reference_create_attributes
00007ffd18e61ab1 (__TEXT,__text) non-external _cmark_reference_create_attributes.cold.1
00007ffd18e569f5 (__TEXT,__text) non-external (was a private external) _cmark_reference_map_new
00007ffd18e58f59 (__TEXT,__text) external _cmark_register_node_flag
00007ffd18e61c12 (__TEXT,__text) non-external _cmark_register_node_flag.cold.1
00007ffd18e61c37 (__TEXT,__text) non-external _cmark_register_node_flag.cold.2
00007ffd4334f0b8 (__DATA_DIRTY,__data) non-external _cmark_register_node_flag.nextflag
00007ffd18e49bcc (__TEXT,__text) external _cmark_register_plugin
00007ffd18e49c4c (__TEXT,__text) external _cmark_release_plugins
00007ffd18e49d40 (__TEXT,__text) non-external (was a private external) _cmark_render
00007ffd18e49cf7 (__TEXT,__text) non-external (was a private external) _cmark_render_ascii
00007ffd18e49d20 (__TEXT,__text) non-external (was a private external) _cmark_render_code_point
00007ffd18e45e74 (__TEXT,__text) external _cmark_render_commonmark
00007ffd18e45e9d (__TEXT,__text) external _cmark_render_commonmark_with_mem
00007ffd18e46ebc (__TEXT,__text) external _cmark_render_html
00007ffd18e46ec9 (__TEXT,__text) external _cmark_render_html_with_mem
00007ffd18e618ee (__TEXT,__text) non-external _cmark_render_html_with_mem.cold.1
00007ffd18e4b4a0 (__TEXT,__text) external _cmark_render_latex
00007ffd18e4b4c2 (__TEXT,__text) external _cmark_render_latex_with_mem
00007ffd18e48534 (__TEXT,__text) external _cmark_render_man
00007ffd18e48556 (__TEXT,__text) external _cmark_render_man_with_mem
00007ffd18e5efa0 (__TEXT,__text) external _cmark_render_plaintext
00007ffd18e5efc9 (__TEXT,__text) external _cmark_render_plaintext_with_mem
00007ffd18e5e6b0 (__TEXT,__text) external _cmark_render_xml
00007ffd18e5e6bd (__TEXT,__text) external _cmark_render_xml_with_mem
00007ffd18e5a6fc (__TEXT,__text) non-external (was a private external) _cmark_set_default_skip_chars
00007ffd445e1ed0 (__DATA,__bss) non-external _cmark_set_default_skip_chars.default_skip_chars
00007ffd18e5a888 (__TEXT,__text) non-external (was a private external) _cmark_set_default_special_chars
00007ffd445e1da0 (__DATA,__data) non-external _cmark_set_default_special_chars.default_special_chars
00007ffd445e1eb8 (__DATA,__common) external _cmark_strbuf__initbuf
00007ffd18e56381 (__TEXT,__text) external _cmark_strbuf_clear
00007ffd18e565bd (__TEXT,__text) external _cmark_strbuf_cmp
00007ffd18e564fe (__TEXT,__text) external _cmark_strbuf_copy_cstr
00007ffd18e61a6f (__TEXT,__text) non-external _cmark_strbuf_copy_cstr.cold.1
00007ffd18e56587 (__TEXT,__text) external _cmark_strbuf_detach
00007ffd18e5669c (__TEXT,__text) external _cmark_strbuf_drop
00007ffd18e5634b (__TEXT,__text) external _cmark_strbuf_free
00007ffd18e562e3 (__TEXT,__text) external _cmark_strbuf_grow
00007ffd18e61a28 (__TEXT,__text) non-external _cmark_strbuf_grow.cold.1
00007ffd18e61a4e (__TEXT,__text) non-external _cmark_strbuf_grow.cold.2
