00000001e9d55c20 (__DATA,__data) external _NDR_record
00000001804a72e0 (__TEXT,__text) external ___fstatfs
00000001804a5e28 (__TEXT,__text) external ___fsync_nocancel
00000001804a246c (__TEXT,__text) external ___get_remove_counter
0000000180499624 (__TEXT,__text) external ___getattrlist
000000018049a9a8 (__TEXT,__text) external ___getdirentries64
00000001804a7414 (__TEXT,__text) external ___getfsstat
000000018049e6d0 (__TEXT,__text) external ___gethostuuid
00000001804a4ca8 (__TEXT,__text) external ___getlogin
000000018049d4d8 (__TEXT,__text) external ___getpeername
0000000180499168 (__TEXT,__text) external ___getpid
000000018049b0ac (__TEXT,__text) external ___getrlimit
00000001804a5e54 (__TEXT,__text) external ___getsgroups
00000001804a09b8 (__TEXT,__text) external ___getsockname
000000018049a868 (__TEXT,__text) external ___gettid
000000018049cb40 (__TEXT,__text) external ___gettimeofday
000000018049cb14 (__TEXT,__text) non-external (was a private external) ___gettimeofday_with_mach
00000001804a5e80 (__TEXT,__text) external ___getwgroups
00000001804a5eac (__TEXT,__text) external ___guarded_open_dprotected_np
000000018049c578 (__TEXT,__text) external ___guarded_open_np
00000001804a5ed8 (__TEXT,__text) external ___identitysvc
000000018049c89c (__TEXT,__text) external ___inc_remove_counter
00000001804a4c7c (__TEXT,__text) external ___initgroups
000000018049d318 (__TEXT,__text) external ___ioctl
000000018049d668 (__TEXT,__text) external ___iopolicysys
00000001804a5f04 (__TEXT,__text) external ___kdebug_trace
000000018049b8f8 (__TEXT,__text) external ___kdebug_trace64
00000001804a5f30 (__TEXT,__text) external ___kdebug_trace_string
000000018049e9ac (__TEXT,__text) external ___kdebug_typefilter
00000001804cce68 (__TEXT,__const) non-external (was a private external) ___kernelVersionNumber
00000001804cce30 (__TEXT,__const) non-external (was a private external) ___kernelVersionString
00000001804a0fc4 (__TEXT,__text) external ___kill
000000018049f3b4 (__TEXT,__text) external ___kqueue_workloop_ctl
000000018049e8e8 (__TEXT,__text) external ___lchown
000000018049e9d8 (__TEXT,__text) external ___libkernel_init
00000001804a87bc (__TEXT,__text) external ___libkernel_init_after_boot_tasks
00000001804a86bc (__TEXT,__text) external ___libkernel_init_late
000000018049ec7c (__TEXT,__text) external ___libkernel_platform_init
0000000180499158 (__TEXT,__text) external ___libkernel_voucher_init
00000001804a1660 (__TEXT,__text) external ___listen
00000001804a5f5c (__TEXT,__text) external ___log_data
000000018049a608 (__TEXT,__text) external ___lseek
00000001804a75f8 (__TEXT,__text) external ___lstat
000000018049e754 (__TEXT,__text) external ___lstat64_extended
00000001804a5f88 (__TEXT,__text) external ___lstat_extended
00000001804a5fb4 (__TEXT,__text) external ___mac_execve
00000001804a5fe0 (__TEXT,__text) external ___mac_get_fd
00000001804a600c (__TEXT,__text) external ___mac_get_file
00000001804a6038 (__TEXT,__text) external ___mac_get_link
00000001804a6064 (__TEXT,__text) external ___mac_get_mount
00000001804a6090 (__TEXT,__text) external ___mac_get_pid
00000001804a60bc (__TEXT,__text) external ___mac_get_proc
00000001804a60e8 (__TEXT,__text) external ___mac_getfsstat
00000001804a6114 (__TEXT,__text) external ___mac_mount
00000001804a6140 (__TEXT,__text) external ___mac_set_fd
00000001804a616c (__TEXT,__text) external ___mac_set_file
00000001804a6198 (__TEXT,__text) external ___mac_set_link
00000001804a1600 (__TEXT,__text) external ___mac_set_proc
000000018049a714 (__TEXT,__text) external ___mac_syscall
00000001804a61c4 (__TEXT,__text) external ___mach_bridge_remote_time
00000001804a61f0 (__TEXT,__text) external ___mach_eventlink_signal
00000001804a621c (__TEXT,__text) external ___mach_eventlink_signal_wait_until
00000001804a6248 (__TEXT,__text) external ___mach_eventlink_wait_until
00000001804a6274 (__TEXT,__text) external ___map_with_linking_np
00000001804a62a0 (__TEXT,__text) external ___memorystatus_available_memory
00000001804a62cc (__TEXT,__text) external ___microstackshot
00000001804a62f8 (__TEXT,__text) external ___mkdir_extended
00000001804a6324 (__TEXT,__text) external ___mkfifo_extended
00000001804999fc (__TEXT,__text) external ___mmap
000000018049cae8 (__TEXT,__text) external ___mprotect
00000001804a6350 (__TEXT,__text) external ___msgctl
00000001804a637c (__TEXT,__text) external ___msgrcv_nocancel
00000001804a63a8 (__TEXT,__text) external ___msgsnd_nocancel
00000001804a63d4 (__TEXT,__text) external ___msgsys
000000018049f324 (__TEXT,__text) external ___msync
00000001804a6400 (__TEXT,__text) external ___msync_nocancel
000000018049c70c (__TEXT,__text) external ___munmap
00000001804a642c (__TEXT,__text) external ___nexus_create
00000001804a6458 (__TEXT,__text) external ___nexus_deregister
00000001804a6484 (__TEXT,__text) external ___nexus_destroy
00000001804a64b0 (__TEXT,__text) external ___nexus_get_opt
00000001804a64dc (__TEXT,__text) external ___nexus_open
00000001804a6508 (__TEXT,__text) external ___nexus_register
00000001804a6534 (__TEXT,__text) external ___nexus_set_opt
000000018049967c (__TEXT,__text) external ___open
000000018049e7e0 (__TEXT,__text) external ___open_dprotected_np
00000001804a52a8 (__TEXT,__text) external ___open_extended
000000018049992c (__TEXT,__text) external ___open_nocancel
000000018049a594 (__TEXT,__text) external ___openat
00000001804a6560 (__TEXT,__text) external ___openat_dprotected_np
000000018049e940 (__TEXT,__text) external ___openat_nocancel
00000001ec762b38 (__DATA_DIRTY,__bss) non-external ___os_ch_md_redzone_cookie
00000001804b4ae0 (__TEXT,__text) non-external ___os_nexus_config_flow
00000001804b4948 (__TEXT,__text) external ___os_nexus_flow_add
00000001804b49d0 (__TEXT,__text) external ___os_nexus_flow_del
00000001804b4b5c (__TEXT,__text) external ___os_nexus_get_llink_info
00000001804b4768 (__TEXT,__text) external ___os_nexus_ifattach
00000001804b4888 (__TEXT,__text) external ___os_nexus_ifdetach
00000001804a658c (__TEXT,__text) external ___oslog_coproc
00000001804a65b8 (__TEXT,__text) external ___oslog_coproc_reg
000000018049cc38 (__TEXT,__text) external ___persona
000000018049f350 (__TEXT,__text) external ___pipe
00000001804a65e4 (__TEXT,__text) external ___poll_nocancel
00000001804a0064 (__TEXT,__text) external ___posix_spawn
00000001804a6610 (__TEXT,__text) external ___pread_nocancel
00000001804a663c (__TEXT,__text) external ___preadv_nocancel
000000018049a0f4 (__TEXT,__text) external ___proc_info
00000001804a6668 (__TEXT,__text) external ___proc_info_extended_id
00000001804a0a30 (__TEXT,__text) external ___process_policy
000000018049f0b4 (__TEXT,__text) external ___pselect
00000001804a6694 (__TEXT,__text) external ___pselect_nocancel
000000018049c51c (__TEXT,__text) external ___psynch_cvbroad
000000018049cb9c (__TEXT,__text) external ___psynch_cvclrprepost
000000018049da44 (__TEXT,__text) external ___psynch_cvsignal
000000018049c4f0 (__TEXT,__text) external ___psynch_cvwait
000000018049bb8c (__TEXT,__text) external ___psynch_mutexdrop
000000018049b9c0 (__TEXT,__text) external ___psynch_mutexwait
00000001804a66c0 (__TEXT,__text) external ___psynch_rw_downgrade
00000001804a66ec (__TEXT,__text) external ___psynch_rw_longrdlock
000000018049e260 (__TEXT,__text) external ___psynch_rw_rdlock
000000018049e234 (__TEXT,__text) external ___psynch_rw_unlock
00000001804a6718 (__TEXT,__text) external ___psynch_rw_unlock2
00000001804a6744 (__TEXT,__text) external ___psynch_rw_upgrade
000000018049e208 (__TEXT,__text) external ___psynch_rw_wrlock
00000001804a6770 (__TEXT,__text) external ___psynch_rw_yieldwrlock
00000001804a4f8c (__TEXT,__text) external ___pthread_canceled
000000018049fdf4 (__TEXT,__text) external ___pthread_chdir
000000018049fdc8 (__TEXT,__text) external ___pthread_fchdir
00000001804a15a8 (__TEXT,__text) external ___pthread_kill
00000001804a679c (__TEXT,__text) external ___pthread_markcancel
00000001804a04a0 (__TEXT,__text) external ___pthread_sigmask
00000001804a1a34 (__TEXT,__text) external ___ptrace
00000001804a67c8 (__TEXT,__text) external ___pwrite_nocancel
00000001804a67f4 (__TEXT,__text) external ___pwritev_nocancel
000000018049ac90 (__TEXT,__text) external ___read_nocancel
00000001804a6820 (__TEXT,__text) external ___readv_nocancel
00000001804a684c (__TEXT,__text) external ___reboot
00000001804a6878 (__TEXT,__text) external ___record_system_event
000000018049d39c (__TEXT,__text) external ___recvfrom
000000018049d264 (__TEXT,__text) external ___recvfrom_nocancel
000000018049d7ac (__TEXT,__text) external ___recvmsg
00000001804a68a4 (__TEXT,__text) external ___recvmsg_nocancel
00000001ec762b40 (__DATA_DIRTY,__bss) non-external ___remove_counter
000000018049c870 (__TEXT,__text) external ___rename
00000001804a68d0 (__TEXT,__text) external ___renameat
00000001804a68fc (__TEXT,__text) external ___renameatx_np
000000018049c8dc (__TEXT,__text) external ___rmdir
00000001804a5fb4 (__TEXT,__text) external ___sandbox_me
00000001804a6114 (__TEXT,__text) external ___sandbox_mm
000000018049a714 (__TEXT,__text) external ___sandbox_ms
00000001804a1600 (__TEXT,__text) external ___sandbox_msp
00000001804a3e4c (__TEXT,__text) external ___select
000000018049d238 (__TEXT,__text) external ___select_nocancel
00000001804a26f8 (__TEXT,__text) external ___sem_open
00000001804a6928 (__TEXT,__text) external ___sem_wait_nocancel
00000001804a6954 (__TEXT,__text) external ___semctl
00000001804a6980 (__TEXT,__text) external ___semsys
000000018049c2ec (__TEXT,__text) external ___semwait_signal
00000001804a04cc (__TEXT,__text) external ___semwait_signal_nocancel
000000018049e96c (__TEXT,__text) external ___sendmsg
000000018049d2bc (__TEXT,__text) external ___sendmsg_nocancel
000000018049d370 (__TEXT,__text) external ___sendto
000000018049d1d8 (__TEXT,__text) external ___sendto_nocancel
000000018049c46c (__TEXT,__text) external ___setattrlist
00000001804a4c50 (__TEXT,__text) external ___setlogin
00000001804a10d8 (__TEXT,__text) external ___setpriority
00000001804a69ac (__TEXT,__text) external ___setregid
00000001804a69d8 (__TEXT,__text) external ___setreuid
000000018049b9f4 (__TEXT,__text) external ___setrlimit
00000001804a6a04 (__TEXT,__text) external ___setsgroups
00000001804a2480 (__TEXT,__text) external ___settid
00000001804a6a30 (__TEXT,__text) external ___settid_with_pid
00000001804a6a5c (__TEXT,__text) external ___settimeofday
00000001804a6a88 (__TEXT,__text) external ___setwgroups
00000001804a2790 (__TEXT,__text) external ___sfi_ctl
00000001804a6ab4 (__TEXT,__text) external ___sfi_pidctl
00000001804a6ae0 (__TEXT,__text) external ___shared_region_check_np
00000001804a6b0c (__TEXT,__text) external ___shared_region_map_and_slide_2_np
000000018049a53c (__TEXT,__text) external ___shm_open
00000001804a6b38 (__TEXT,__text) external ___shmctl
00000001804a6b64 (__TEXT,__text) external ___shmsys
000000018049f3e0 (__TEXT,__text) external ___sigaction
000000018049c3e8 (__TEXT,__text) external ___sigaltstack
00000001804a4784 (__TEXT,__text) external ___sigreturn
00000001804a6b90 (__TEXT,__text) external ___sigsuspend
00000001804a0504 (__TEXT,__text) external ___sigsuspend_nocancel
00000001804a47dc (__TEXT,__text) external ___sigwait
000000018049d290 (__TEXT,__text) external ___socketpair
00000001804a6bbc (__TEXT,__text) external ___stack_snapshot_with_config
00000001804a8048 (__TEXT,__text) external ___stat
000000018049e6fc (__TEXT,__text) external ___stat64_extended
00000001804a6be8 (__TEXT,__text) external ___stat_extended
00000001804a8074 (__TEXT,__text) external ___statfs
00000001804adf48 (__TEXT,__text) non-external ___statfs_ext_impl
000000018049b104 (__TEXT,__text) external ___syscall
00000001e9d55c60 (__DATA,__common) external ___syscall_logger
000000018049a444 (__TEXT,__text) external ___sysctl
000000018049a670 (__TEXT,__text) external ___sysctlbyname
00000001804a6c14 (__TEXT,__text) external ___telemetry
00000001804a35cc (__TEXT,__text) external ___terminate_with_payload
000000018049aab0 (__TEXT,__text) external ___thread_selfid
00000001804a6c40 (__TEXT,__text) external ___thread_selfusage
000000018049aadc (__TEXT,__text) external ___ulock_wait
00000001804a6c6c (__TEXT,__text) external ___ulock_wait2
000000018049abb0 (__TEXT,__text) external ___ulock_wake
00000001804a6c98 (__TEXT,__text) external ___umask_extended
000000018049cc90 (__TEXT,__text) external ___unlink
00000001804a2ac0 (__TEXT,__text) external ___unlinkat
00000001804a6cc4 (__TEXT,__text) external ___vfork
00000001804a0424 (__TEXT,__text) external ___wait4
00000001804a527c (__TEXT,__text) external ___wait4_nocancel
00000001804a6d34 (__TEXT,__text) external ___waitid_nocancel
00000001804a1c1c (__TEXT,__text) external ___work_interval_ctl
000000018049a9d4 (__TEXT,__text) external ___workq_kernreturn
000000018049aa00 (__TEXT,__text) external ___workq_open
000000018049cbc8 (__TEXT,__text) external ___write_nocancel
00000001804a6d60 (__TEXT,__text) external ___writev_nocancel
00000001e9d55c2c (__DATA,__common) external __cpu_capabilities
00000001e9d55c58 (__DATA,__common) external __cpu_has_altivec
00000001ec762b28 (__DATA_DIRTY,__data) external __current_pid
00000001ec762b60 (__DATA_DIRTY,__bss) non-external __dlsym
0000000180498cec (__TEXT,__text) external __exclaves_ctl_trap
00000001804a94d8 (__TEXT,__text) non-external __execve_with_filter
00000001804a0530 (__TEXT,__text) external __exit
000000018049ec40 (__TEXT,__text) external __get_cpu_capabilities
00000001e9d55c78 (__DATA,__bss) non-external __gethostuuid_callback
00000001804ad390 (__TEXT,__text) external __getprivatesystemidentifier
00000001804ba214 (__TEXT,__text) external __host_page_size
000000018049ec3c (__TEXT,__text) external __init_cpu_capabilities
00000001804bb3b8 (__TEXT,__text) external __kernelrpc_host_create_mach_voucher
00000001804bc748 (__TEXT,__text) external __kernelrpc_mach_port_allocate
00000001804bd3f0 (__TEXT,__text) external __kernelrpc_mach_port_allocate_full
00000001804bc62c (__TEXT,__text) external __kernelrpc_mach_port_allocate_name
00000001804bd280 (__TEXT,__text) external __kernelrpc_mach_port_allocate_qos
0000000180498ad0 (__TEXT,__text) external __kernelrpc_mach_port_allocate_trap
00000001804bef60 (__TEXT,__text) external __kernelrpc_mach_port_assert_attributes
00000001804be04c (__TEXT,__text) external __kernelrpc_mach_port_construct
0000000180498b24 (__TEXT,__text) external __kernelrpc_mach_port_construct_trap
00000001804bc9b8 (__TEXT,__text) external __kernelrpc_mach_port_deallocate
0000000180498adc (__TEXT,__text) external __kernelrpc_mach_port_deallocate_trap
00000001804bc89c (__TEXT,__text) external __kernelrpc_mach_port_destroy
00000001804be1b8 (__TEXT,__text) external __kernelrpc_mach_port_destruct
0000000180498b30 (__TEXT,__text) external __kernelrpc_mach_port_destruct_trap
00000001804bd9e0 (__TEXT,__text) external __kernelrpc_mach_port_dnrequest_info
00000001804bddc4 (__TEXT,__text) external __kernelrpc_mach_port_extract_member
0000000180498b18 (__TEXT,__text) external __kernelrpc_mach_port_extract_member_trap
00000001804a2ff8 (__TEXT,__text) external __kernelrpc_mach_port_extract_right
00000001804a3a14 (__TEXT,__text) external __kernelrpc_mach_port_get_attributes
0000000180498bd8 (__TEXT,__text) external __kernelrpc_mach_port_get_attributes_trap
000000018049e2f8 (__TEXT,__text) external __kernelrpc_mach_port_get_context
000000018049c19c (__TEXT,__text) external __kernelrpc_mach_port_get_refs
00000001804bed88 (__TEXT,__text) external __kernelrpc_mach_port_get_service_port_info
00000001804a4df8 (__TEXT,__text) external __kernelrpc_mach_port_get_set_status
00000001804bd690 (__TEXT,__text) external __kernelrpc_mach_port_get_srights
00000001804be2d4 (__TEXT,__text) external __kernelrpc_mach_port_guard
0000000180498be4 (__TEXT,__text) external __kernelrpc_mach_port_guard_trap
00000001804be7b4 (__TEXT,__text) external __kernelrpc_mach_port_guard_with_flags
00000001804bdca8 (__TEXT,__text) external __kernelrpc_mach_port_insert_member
0000000180498b0c (__TEXT,__text) external __kernelrpc_mach_port_insert_member_trap
00000001804bd03c (__TEXT,__text) external __kernelrpc_mach_port_insert_right
0000000180498b00 (__TEXT,__text) external __kernelrpc_mach_port_insert_right_trap
00000001804bec34 (__TEXT,__text) external __kernelrpc_mach_port_is_connection_for_service
00000001804bdb44 (__TEXT,__text) external __kernelrpc_mach_port_kernel_object
00000001804bdee0 (__TEXT,__text) external __kernelrpc_mach_port_kobject
00000001804be9f4 (__TEXT,__text) external __kernelrpc_mach_port_kobject_description
00000001804bcad4 (__TEXT,__text) external __kernelrpc_mach_port_mod_refs
0000000180498ae8 (__TEXT,__text) external __kernelrpc_mach_port_mod_refs_trap
00000001804bcf20 (__TEXT,__text) external __kernelrpc_mach_port_move_member
0000000180498af4 (__TEXT,__text) external __kernelrpc_mach_port_move_member_trap
00000001804bc350 (__TEXT,__text) external __kernelrpc_mach_port_names
00000001804bcbf0 (__TEXT,__text) external __kernelrpc_mach_port_peek
00000001804bc510 (__TEXT,__text) external __kernelrpc_mach_port_rename
000000018049cce8 (__TEXT,__text) external __kernelrpc_mach_port_request_notification
0000000180498ce0 (__TEXT,__text) external __kernelrpc_mach_port_request_notification_trap
000000018049b6e8 (__TEXT,__text) external __kernelrpc_mach_port_set_attributes
00000001804a4cd8 (__TEXT,__text) external __kernelrpc_mach_port_set_context
00000001804bce04 (__TEXT,__text) external __kernelrpc_mach_port_set_mscount
00000001804bd164 (__TEXT,__text) external __kernelrpc_mach_port_set_seqno
00000001804be510 (__TEXT,__text) external __kernelrpc_mach_port_space_basic_info
00000001804bd7e4 (__TEXT,__text) external __kernelrpc_mach_port_space_info
00000001804be660 (__TEXT,__text) external __kernelrpc_mach_port_special_reply_port_reset_link
00000001804be8d4 (__TEXT,__text) external __kernelrpc_mach_port_swap_guard
00000001804a1ce4 (__TEXT,__text) external __kernelrpc_mach_port_type
0000000180498cd4 (__TEXT,__text) external __kernelrpc_mach_port_type_trap
00000001804be3f4 (__TEXT,__text) external __kernelrpc_mach_port_unguard
0000000180498bf0 (__TEXT,__text) external __kernelrpc_mach_port_unguard_trap
00000001804c36b8 (__TEXT,__text) external __kernelrpc_mach_ports_lookup3
00000001804c358c (__TEXT,__text) external __kernelrpc_mach_ports_register3
00000001804c71c4 (__TEXT,__text) external __kernelrpc_mach_task_is_self
00000001804bf0c8 (__TEXT,__text) external __kernelrpc_mach_vm_allocate
0000000180498a88 (__TEXT,__text) external __kernelrpc_mach_vm_allocate_trap
00000001804bf220 (__TEXT,__text) external __kernelrpc_mach_vm_deallocate
0000000180498aa0 (__TEXT,__text) external __kernelrpc_mach_vm_deallocate_trap
000000018049a120 (__TEXT,__text) external __kernelrpc_mach_vm_map
0000000180498ac4 (__TEXT,__text) external __kernelrpc_mach_vm_map_trap
00000001804bf33c (__TEXT,__text) external __kernelrpc_mach_vm_protect
0000000180498ab8 (__TEXT,__text) external __kernelrpc_mach_vm_protect_trap
00000001804c01e0 (__TEXT,__text) external __kernelrpc_mach_vm_purgable_control
0000000180498a94 (__TEXT,__text) external __kernelrpc_mach_vm_purgable_control_trap
00000001804bf57c (__TEXT,__text) external __kernelrpc_mach_vm_read
00000001804bfd54 (__TEXT,__text) external __kernelrpc_mach_vm_remap
00000001804c0678 (__TEXT,__text) external __kernelrpc_mach_vm_remap_new
00000001804c0de8 (__TEXT,__text) external __kernelrpc_mach_vm_update_pointers_with_remote_tags
00000001804cbc14 (__TEXT,__text) external __kernelrpc_mach_voucher_extract_attr_recipe
00000001804bd574 (__TEXT,__text) external __kernelrpc_task_set_port_space
000000018049e048 (__TEXT,__text) external __kernelrpc_thread_policy
000000018049f1c8 (__TEXT,__text) external __kernelrpc_thread_policy_set
00000001804c9858 (__TEXT,__text) external __kernelrpc_thread_set_policy
00000001804a505c (__TEXT,__text) external __kernelrpc_vm_map
00000001804cae8c (__TEXT,__text) external __kernelrpc_vm_purgable_control
00000001804a2570 (__TEXT,__text) external __kernelrpc_vm_read
000000018049b2f4 (__TEXT,__text) external __kernelrpc_vm_remap
00000001804cafe0 (__TEXT,__text) external __kernelrpc_vm_remap_new
00000001804a8834 (__TEXT,__text) non-external __libkernel_bzero
00000001ec762b58 (__DATA_DIRTY,__bss) non-external __libkernel_functions
00000001edd63c80 (__AUTH_CONST,__const) non-external __libkernel_generic_string_functions
00000001804a89a0 (__TEXT,__text) non-external __libkernel_memmove
00000001804a8840 (__TEXT,__text) non-external __libkernel_memset
00000001804a87fc (__TEXT,__text) non-external __libkernel_strchr
000000018049ec54 (__TEXT,__text) non-external __libkernel_strcmp
00000001804a8d5c (__TEXT,__text) non-external __libkernel_strcpy
00000001ec762b20 (__DATA_DIRTY,__data) non-external __libkernel_string_functions
00000001804a961c (__TEXT,__text) non-external __libkernel_strlcpy
00000001804a85b4 (__TEXT,__text) non-external __libkernel_strlen
00000001ec762b30 (__DATA_DIRTY,__data) non-external __libkernel_voucher_functions
00000001804cce00 (__TEXT,__const) non-external __libkernel_voucher_functions_empty
00000001804aa4b4 (__TEXT,__text) non-external __mach_continuous_time
00000001e5bbb2c8 (__DATA_CONST,__const) external __mach_errors
00000001804aaa08 (__TEXT,__text) external __mach_fork_child
00000001804ab47c (__TEXT,__text) external __mach_snprintf
00000001804ab318 (__TEXT,__text) external __mach_vsnprintf
00000001ec762bb0 (__DATA_DIRTY,__common) external __os_alloc_once_table
00000001e9d55c50 (__DATA,__common) external __os_xbs_chrooted
000000018049f918 (__TEXT,__text) non-external __posix_spawn_file_actions_grow
00000001804a8da4 (__TEXT,__text) non-external __posix_spawn_with_filter
00000001804ad394 (__TEXT,__text) external __register_gethostuuid_callback
00000001804a8ab8 (__TEXT,__text) non-external __system_version_compat_check_path_suffix
00000001804a8b5c (__TEXT,__text) non-external __system_version_compat_open_shim
00000001ec762b54 (__DATA_DIRTY,__bss) non-external __task_reply_port
00000001804a84bc (__TEXT,__text) external __thread_set_tsd_base
00000001804cc304 (__TEXT,__text) non-external _abort
00000001804cc304 (__TEXT,__text) non-external _abort.572
00000001804cc304 (__TEXT,__text) non-external _abort.574
00000001804cc304 (__TEXT,__text) non-external _abort.591
00000001804cc3d4 (__TEXT,__text) external _abort_with_payload
00000001804cc348 (__TEXT,__text) non-external _abort_with_payload_wrapper_internal
00000001804cc328 (__TEXT,__text) external _abort_with_reason
00000001804a168c (__TEXT,__text) external _accept
00000001804a5b10 (__TEXT,__text) external _accept$NOCANCEL
0000000180499650 (__TEXT,__text) external _access
00000001804a5b3c (__TEXT,__text) external _accessx_np
00000001804a6d8c (__TEXT,__text) external _acct
00000001804c81e8 (__TEXT,__text) external _act_get_state
00000001804c8430 (__TEXT,__text) external _act_set_state
00000001804a6db8 (__TEXT,__text) external _adjtime
00000001804a6de4 (__TEXT,__text) external _aio_cancel
00000001804a6e10 (__TEXT,__text) external _aio_error
00000001804a6e3c (__TEXT,__text) external _aio_fsync
00000001804a6e68 (__TEXT,__text) external _aio_read
00000001804a6e94 (__TEXT,__text) external _aio_return
00000001804a6ec0 (__TEXT,__text) external _aio_suspend
00000001804a5b68 (__TEXT,__text) external _aio_suspend$NOCANCEL
00000001804a6eec (__TEXT,__text) external _aio_write
00000001804a6f18 (__TEXT,__text) external _audit
00000001804a47b0 (__TEXT,__text) external _audit_session_join
00000001804a459c (__TEXT,__text) external _audit_session_port
000000018049cf58 (__TEXT,__text) external _audit_session_self
00000001804a6f44 (__TEXT,__text) external _auditctl
00000001804a2750 (__TEXT,__text) external _auditon
00000001804a0af0 (__TEXT,__text) external _bind
00000001ec762ba4 (__DATA_DIRTY,__common) external _bootstrap_port
00000001804a85a4 (__TEXT,__text) non-external _bzero
000000018049a5c0 (__TEXT,__text) external _cerror
00000001804995e4 (__TEXT,__text) external _cerror_nocancel
000000018049ce94 (__TEXT,__text) external _change_fdguard_np
000000018049a740 (__TEXT,__text) external _chdir
00000001804a0ff0 (__TEXT,__text) external _chflags
000000018049c908 (__TEXT,__text) external _chmod
00000001804a0ac4 (__TEXT,__text) external _chown
00000001804a6f70 (__TEXT,__text) external _chroot
00000001804b6f3c (__TEXT,__text) external _clock_alarm
00000001804b6d08 (__TEXT,__text) external _clock_alarm_reply
00000001804b6d70 (__TEXT,__text) external _clock_get_attributes
000000018049e500 (__TEXT,__text) external _clock_get_time
00000001804b6bb8 (__TEXT,__text) external _clock_set_attributes
00000001804b6aa0 (__TEXT,__text) external _clock_set_time
00000001804a4fb8 (__TEXT,__text) external _clock_sleep
0000000180498ca4 (__TEXT,__text) external _clock_sleep_trap
00000001804a2e9c (__TEXT,__text) external _clonefile
000000018049dcfc (__TEXT,__text) external _clonefileat
00000001804998d4 (__TEXT,__text) external _close
000000018049a568 (__TEXT,__text) external _close$NOCANCEL
00000001804b2fb4 (__TEXT,__text) external _coalition_create
00000001804b305c (__TEXT,__text) external _coalition_info_debug_info
00000001804b3108 (__TEXT,__text) external _coalition_info_pid_list
00000001804b3024 (__TEXT,__text) external _coalition_info_resource_usage
00000001804b30cc (__TEXT,__text) external _coalition_info_set_efficiency
00000001804b3094 (__TEXT,__text) external _coalition_info_set_name
00000001804b313c (__TEXT,__text) external _coalition_ledger_set_logical_writes_limit
00000001804a6f9c (__TEXT,__text) external _coalition_policy_get
