00007ff9042701ed (__TEXT,__text) non-external +[AMFI isAvailable]
00007ff90425dfb1 (__TEXT,__text) non-external -[AKELData initWithURL:]
00007ff90425ddf9 (__TEXT,__text) non-external -[AKELData init]
00007ff90425e1b6 (__TEXT,__text) non-external -[AKELData isKextAllowedWithoutSecureTimestamp:]
00007ff90425e0dc (__TEXT,__text) non-external -[AKELData isLegacyKextAllowed:]
00007ff90425db94 (__TEXT,__text) non-external -[AKELData loadFromBundleData:]
00007ff90425e0c6 (__TEXT,__text) non-external -[AKELData reloadIfNecessary]
00007ff90427044d (__TEXT,__text) non-external -[AppWrapperPolicyResult description]
00007ff9042703c6 (__TEXT,__text) non-external -[AppWrapperPolicyResult initWithValid:withSignerCategory:withModified:]
00007ff904270473 (__TEXT,__text) non-external -[AppWrapperPolicyResult isModified]
00007ff90427045f (__TEXT,__text) non-external -[AppWrapperPolicyResult isValid]
00007ff904270417 (__TEXT,__text) non-external -[AppWrapperPolicyResult redactedDescription]
00007ff904270469 (__TEXT,__text) non-external -[AppWrapperPolicyResult signerCategory]
00007ff9042635c1 (__TEXT,__text) non-external -[BundleData .cxx_destruct]
00007ff904262ccb (__TEXT,__text) non-external -[BundleData dealloc]
00007ff904271c52 (__TEXT,__text) non-external -[BundleData dealloc].cold.1
00007ff9042631dd (__TEXT,__text) non-external -[BundleData doReload]
00007ff90426357d (__TEXT,__text) non-external -[BundleData forceReload]
00007ff904262d66 (__TEXT,__text) non-external -[BundleData initWithURL:withReloadBlock:watchForUpdates:]
00007ff904262cbd (__TEXT,__text) non-external -[BundleData init]
00007ff904263599 (__TEXT,__text) non-external -[BundleData isSigned]
00007ff904263219 (__TEXT,__text) non-external -[BundleData loadInternalData:]
00007ff90426351e (__TEXT,__text) non-external -[BundleData reloadIfNecessary]
00007ff904262edb (__TEXT,__text) non-external -[BundleData setupFSStream]
00007ff904271cb0 (__TEXT,__text) non-external -[BundleData setupFSStream].cold.1
00007ff904271d0d (__TEXT,__text) non-external -[BundleData setupFSStream].cold.2
00007ff9042635b7 (__TEXT,__text) non-external -[BundleData timestamp]
00007ff90426358f (__TEXT,__text) non-external -[BundleData url]
00007ff9042635ad (__TEXT,__text) non-external -[BundleData versionNumber]
00007ff9042635a3 (__TEXT,__text) non-external -[BundleData version]
00007ff904264024 (__TEXT,__text) non-external -[GKScanResult .cxx_destruct]
00007ff904263ff6 (__TEXT,__text) non-external -[GKScanResult allowed]
00007ff904263f59 (__TEXT,__text) non-external -[GKScanResult encodeWithCoder:]
00007ff904264009 (__TEXT,__text) non-external -[GKScanResult gkError]
00007ff904263ea9 (__TEXT,__text) non-external -[GKScanResult initWithCoder:]
00007ff904264000 (__TEXT,__text) non-external -[GKScanResult setAllowed:]
00007ff904264013 (__TEXT,__text) non-external -[GKScanResult setGkError:]
00007ff90426f7fd (__TEXT,__text) non-external -[NSData(Strings) hexString]
00007ff90425f040 (__TEXT,__text) non-external -[PolicyCacheMeta .cxx_destruct]
00007ff90425eff6 (__TEXT,__text) non-external -[PolicyCacheMeta forEntry]
00007ff90425efdb (__TEXT,__text) non-external -[PolicyCacheMeta lastMiss]
00007ff90425efa5 (__TEXT,__text) non-external -[PolicyCacheMeta metaId]
00007ff90425efc0 (__TEXT,__text) non-external -[PolicyCacheMeta missCount]
00007ff90425f025 (__TEXT,__text) non-external -[PolicyCacheMeta resolvedEntry]
00007ff90425f000 (__TEXT,__text) non-external -[PolicyCacheMeta setForEntry:]
00007ff90425efe5 (__TEXT,__text) non-external -[PolicyCacheMeta setLastMiss:]
00007ff90425efaf (__TEXT,__text) non-external -[PolicyCacheMeta setMetaId:]
00007ff90425efca (__TEXT,__text) non-external -[PolicyCacheMeta setMissCount:]
00007ff90425f02f (__TEXT,__text) non-external -[PolicyCacheMeta setResolvedEntry:]
00007ff90425f01b (__TEXT,__text) non-external -[PolicyCacheMeta setSourceTable:]
00007ff90425f011 (__TEXT,__text) non-external -[PolicyCacheMeta sourceTable]
00007ff90426edd3 (__TEXT,__text) non-external -[PolicyScanTarget .cxx_destruct]
00007ff90426ed07 (__TEXT,__text) non-external -[PolicyScanTarget blockDevice]
00007ff90426e3ab (__TEXT,__text) non-external -[PolicyScanTarget bundleID]
00007ff90426e453 (__TEXT,__text) non-external -[PolicyScanTarget bundleVersion]
00007ff90426e7f3 (__TEXT,__text) non-external -[PolicyScanTarget cdhashData]
00007ff90426e8a8 (__TEXT,__text) non-external -[PolicyScanTarget cdhashDigestAlgorithm]
00007ff90426e713 (__TEXT,__text) non-external -[PolicyScanTarget cdhash]
00007ff90426ed39 (__TEXT,__text) non-external -[PolicyScanTarget checkValidity]
00007ff90426da64 (__TEXT,__text) non-external -[PolicyScanTarget dealloc]
00007ff90426ec4f (__TEXT,__text) non-external -[PolicyScanTarget description]
00007ff90426e683 (__TEXT,__text) non-external -[PolicyScanTarget entitlements]
00007ff90426ed1b (__TEXT,__text) non-external -[PolicyScanTarget fsTypeName]
00007ff90426e550 (__TEXT,__text) non-external -[PolicyScanTarget infoPlist]
00007ff90426dacd (__TEXT,__text) non-external -[PolicyScanTarget initWithURL:]
00007ff9042729e8 (__TEXT,__text) non-external -[PolicyScanTarget initWithURL:].cold.1
00007ff904272a53 (__TEXT,__text) non-external -[PolicyScanTarget initWithURL:].cold.2
00007ff904272ace (__TEXT,__text) non-external -[PolicyScanTarget initWithURL:].cold.3
00007ff904272b01 (__TEXT,__text) non-external -[PolicyScanTarget initWithURL:].cold.4
00007ff904272b34 (__TEXT,__text) non-external -[PolicyScanTarget initWithURL:].cold.5
00007ff904272baf (__TEXT,__text) non-external -[PolicyScanTarget initWithURL:].cold.6
00007ff90426da56 (__TEXT,__text) non-external -[PolicyScanTarget init]
00007ff90426ed4c (__TEXT,__text) non-external -[PolicyScanTarget isAppWrapper]
00007ff90426ed98 (__TEXT,__text) non-external -[PolicyScanTarget isBundled]
00007ff90426eb4e (__TEXT,__text) non-external -[PolicyScanTarget isNotarized]
00007ff904272c38 (__TEXT,__text) non-external -[PolicyScanTarget isNotarized].cold.1
00007ff90426ed72 (__TEXT,__text) non-external -[PolicyScanTarget isQuarantinedMount]
00007ff90426ead2 (__TEXT,__text) non-external -[PolicyScanTarget isQuarantined]
00007ff90426ed7f (__TEXT,__text) non-external -[PolicyScanTarget isScript]
00007ff90426eb10 (__TEXT,__text) non-external -[PolicyScanTarget isUserApproved]
00007ff90426e31c (__TEXT,__text) non-external -[PolicyScanTarget mainExecutableURL]
00007ff90426ed2f (__TEXT,__text) non-external -[PolicyScanTarget modTime]
00007ff90426edc9 (__TEXT,__text) non-external -[PolicyScanTarget mountTime]
00007ff90426ed11 (__TEXT,__text) non-external -[PolicyScanTarget objectID]
00007ff90426ece9 (__TEXT,__text) non-external -[PolicyScanTarget originalURL]
00007ff90426ecfd (__TEXT,__text) non-external -[PolicyScanTarget pathOnVolume]
00007ff90426edb1 (__TEXT,__text) non-external -[PolicyScanTarget pid]
00007ff90426ec0b (__TEXT,__text) non-external -[PolicyScanTarget redactedDescription]
00007ff90426ed43 (__TEXT,__text) non-external -[PolicyScanTarget setCheckValidity:]
00007ff90426eda5 (__TEXT,__text) non-external -[PolicyScanTarget setIsBundled:]
00007ff90426ed8c (__TEXT,__text) non-external -[PolicyScanTarget setIsScript:]
00007ff90426edbd (__TEXT,__text) non-external -[PolicyScanTarget setPid:]
00007ff90426ed66 (__TEXT,__text) non-external -[PolicyScanTarget setTriggeredByLibraryLoad:]
00007ff90426ea1d (__TEXT,__text) non-external -[PolicyScanTarget signingID]
00007ff90426e652 (__TEXT,__text) non-external -[PolicyScanTarget signingInfo]
00007ff90426e57a (__TEXT,__text) non-external -[PolicyScanTarget staticCodeRef]
00007ff90426e968 (__TEXT,__text) non-external -[PolicyScanTarget teamID]
00007ff90426ed59 (__TEXT,__text) non-external -[PolicyScanTarget triggeredByLibraryLoad]
00007ff90426ecdf (__TEXT,__text) non-external -[PolicyScanTarget url]
00007ff90426ed25 (__TEXT,__text) non-external -[PolicyScanTarget volumePath]
00007ff90426ecf3 (__TEXT,__text) non-external -[PolicyScanTarget volumeUUID]
00007ff904270a5b (__TEXT,__text) non-external -[SPDeveloperPolicy .cxx_destruct]
00007ff9042709ed (__TEXT,__text) non-external -[SPDeveloperPolicy createLocalDevelopmentCertificateForUser:error:]
00007ff9042708c1 (__TEXT,__text) non-external -[SPDeveloperPolicy dealloc]
00007ff9042707f0 (__TEXT,__text) non-external -[SPDeveloperPolicy init]
00007ff904270903 (__TEXT,__text) non-external -[SPDeveloperPolicy isDeveloperModeEnabled]
00007ff9042709c3 (__TEXT,__text) non-external -[SPDeveloperPolicy isDeveloperToolEnvironmentWithError:]
00007ff904270a48 (__TEXT,__text) non-external -[SPDeveloperPolicy registerDevelopmentTeamWithIdentifier:error:]
00007ff904270a3d (__TEXT,__text) non-external -[SPDeveloperPolicy removeLocalDevelopmentCertificateForUser:error:]
00007ff90427092f (__TEXT,__text) non-external -[SPDeveloperPolicy setDeveloperModeEnabled:error:]
00007ff904270a50 (__TEXT,__text) non-external -[SPDeveloperPolicy unregisterDevelopmentTeamWithIdentifier:error:]
00007ff904265768 (__TEXT,__text) non-external -[SPExecutionHistoryItem .cxx_destruct]
00007ff904265740 (__TEXT,__text) non-external -[SPExecutionHistoryItem cdHash]
00007ff904265754 (__TEXT,__text) non-external -[SPExecutionHistoryItem developerName]
00007ff904265530 (__TEXT,__text) non-external -[SPExecutionHistoryItem encodeWithCoder:]
00007ff904265718 (__TEXT,__text) non-external -[SPExecutionHistoryItem execPath]
00007ff904265326 (__TEXT,__text) non-external -[SPExecutionHistoryItem initWithCoder:]
00007ff904265056 (__TEXT,__text) non-external -[SPExecutionHistoryItem initWithExecPath:mmapPath:signingID:teamID:cdHash:responsiblePath:developerName:lasSeen:]
00007ff904265048 (__TEXT,__text) non-external -[SPExecutionHistoryItem init]
00007ff90426575e (__TEXT,__text) non-external -[SPExecutionHistoryItem lastSeen]
00007ff904265722 (__TEXT,__text) non-external -[SPExecutionHistoryItem mmapPath]
00007ff90426574a (__TEXT,__text) non-external -[SPExecutionHistoryItem responsiblePath]
00007ff90426572c (__TEXT,__text) non-external -[SPExecutionHistoryItem signingID]
00007ff904265736 (__TEXT,__text) non-external -[SPExecutionHistoryItem teamID]
00007ff904267b2d (__TEXT,__text) non-external -[SPExecutionPolicy .cxx_destruct]
00007ff904267781 (__TEXT,__text) non-external -[SPExecutionPolicy addBlockedSoftwareOverride:error:]
00007ff904267699 (__TEXT,__text) non-external -[SPExecutionPolicy addGatekeeperUserIntent:error:]
00007ff904267634 (__TEXT,__text) non-external -[SPExecutionPolicy blockedExecutionPolicyItems]
00007ff9042672e7 (__TEXT,__text) non-external -[SPExecutionPolicy connection]
00007ff904267065 (__TEXT,__text) non-external -[SPExecutionPolicy dealloc]
00007ff9042671f4 (__TEXT,__text) non-external -[SPExecutionPolicy doGatekeeperProgressUpdate:withTotal:]
00007ff90426795d (__TEXT,__text) non-external -[SPExecutionPolicy getBlockedSoftwareOverride:error:]
00007ff904266fea (__TEXT,__text) non-external -[SPExecutionPolicy init]
00007ff904267a45 (__TEXT,__text) non-external -[SPExecutionPolicy isBlockedSoftware:error:]
00007ff9042675cf (__TEXT,__text) non-external -[SPExecutionPolicy legacyExecutionHistory]
00007ff9042670af (__TEXT,__text) non-external -[SPExecutionPolicy myProgressHandler]
00007ff9042670a7 (__TEXT,__text) non-external -[SPExecutionPolicy progressBlock]
00007ff904267869 (__TEXT,__text) non-external -[SPExecutionPolicy setBlockedSoftwareOverride:isEnabled:error:]
00007ff9042670c5 (__TEXT,__text) non-external -[SPExecutionPolicy setProgressHandler:]
00007ff904264999 (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) notifyInstalledContent:withInstallationType:error:]
00007ff904264034 (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperPreflight:withPreflightOptions:withResult:]
00007ff904271d41 (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperPreflight:withPreflightOptions:withResult:].cold.1
00007ff904271d75 (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperPreflight:withPreflightOptions:withResult:].cold.2
00007ff904271da9 (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperPreflight:withPreflightOptions:withResult:].cold.3
00007ff904271e03 (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperPreflight:withPreflightOptions:withResult:].cold.4
00007ff904271e9c (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperPreflight:withPreflightOptions:withResult:].cold.5
00007ff904271f35 (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperPreflight:withPreflightOptions:withResult:].cold.6
00007ff904271fce (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperPreflight:withPreflightOptions:withResult:].cold.7
00007ff904272055 (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperPreflight:withPreflightOptions:withResult:].cold.8
00007ff904264a8d (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperScan:withScanOptions:withProgressHandler:error:]
00007ff904263e55 (__TEXT,__text) non-external -[SPExecutionPolicyItem .cxx_destruct]
00007ff904263e4b (__TEXT,__text) non-external -[SPExecutionPolicyItem blockedReasonDescription]
00007ff904263e23 (__TEXT,__text) non-external -[SPExecutionPolicyItem cdHash]
00007ff904263bce (__TEXT,__text) non-external -[SPExecutionPolicyItem encodeWithCoder:]
00007ff904263982 (__TEXT,__text) non-external -[SPExecutionPolicyItem initWithCoder:]
00007ff904263852 (__TEXT,__text) non-external -[SPExecutionPolicyItem initWithItemPath:signingID:teamID:cdHash:needsApproval:needsOverride:knownMalware:blockedReasonDescription:]
00007ff904263844 (__TEXT,__text) non-external -[SPExecutionPolicyItem init]
00007ff904263e05 (__TEXT,__text) non-external -[SPExecutionPolicyItem itemPath]
00007ff904263e41 (__TEXT,__text) non-external -[SPExecutionPolicyItem knownMalware]
00007ff904263e2d (__TEXT,__text) non-external -[SPExecutionPolicyItem needsApproval]
00007ff904263e37 (__TEXT,__text) non-external -[SPExecutionPolicyItem needsOverride]
00007ff904263e0f (__TEXT,__text) non-external -[SPExecutionPolicyItem signingID]
00007ff904263e19 (__TEXT,__text) non-external -[SPExecutionPolicyItem teamID]
00007ff90426da2e (__TEXT,__text) non-external -[SPInstallationPolicy .cxx_destruct]
00007ff90426d74b (__TEXT,__text) non-external -[SPInstallationPolicy canInstallPackage:withUserConsent:withHash:evaluateOnly:synchronousPrompt:error:]
00007ff90426d709 (__TEXT,__text) non-external -[SPInstallationPolicy dealloc]
00007ff90426d5c1 (__TEXT,__text) non-external -[SPInstallationPolicy init]
00007ff90426d8ac (__TEXT,__text) non-external -[SPInstallationPolicy trustPackagePayload:withDestinationTarget:withHashMap:withUserConsent:error:]
00007ff90426d87d (__TEXT,__text) non-external -[SPInstallationPolicy trustPackagePayload:withDestinationTarget:withUserConsent:error:]
00007ff904265997 (__TEXT,__text) non-external -[SPKernelExtensionHistory .cxx_destruct]
00007ff904265929 (__TEXT,__text) non-external -[SPKernelExtensionHistory dealloc]
00007ff9042657d2 (__TEXT,__text) non-external -[SPKernelExtensionHistory init]
00007ff90426596b (__TEXT,__text) non-external -[SPKernelExtensionHistory kernelExtensionHistory]
00007ff904269ca2 (__TEXT,__text) non-external -[SPKernelExtensionHistoryItem .cxx_destruct]
00007ff904269c52 (__TEXT,__text) non-external -[SPKernelExtensionHistoryItem bundleID]
00007ff904269c66 (__TEXT,__text) non-external -[SPKernelExtensionHistoryItem cdHash]
00007ff904269a71 (__TEXT,__text) non-external -[SPKernelExtensionHistoryItem encodeWithCoder:]
00007ff9042698a6 (__TEXT,__text) non-external -[SPKernelExtensionHistoryItem initWithCoder:]
00007ff904269725 (__TEXT,__text) non-external -[SPKernelExtensionHistoryItem initWithPath:teamID:bundleID:cdHash:isNotarized:isDeprecated:isUnsupported:isCodeless:lastUsed:]
00007ff904269717 (__TEXT,__text) non-external -[SPKernelExtensionHistoryItem init]
00007ff904269c8e (__TEXT,__text) non-external -[SPKernelExtensionHistoryItem isCodeless]
00007ff904269c7a (__TEXT,__text) non-external -[SPKernelExtensionHistoryItem isDeprecated]
00007ff904269c70 (__TEXT,__text) non-external -[SPKernelExtensionHistoryItem isNotarized]
00007ff904269c84 (__TEXT,__text) non-external -[SPKernelExtensionHistoryItem isUnsupported]
00007ff904269c98 (__TEXT,__text) non-external -[SPKernelExtensionHistoryItem lastUsed]
00007ff904269c48 (__TEXT,__text) non-external -[SPKernelExtensionHistoryItem path]
00007ff904269c5c (__TEXT,__text) non-external -[SPKernelExtensionHistoryItem teamID]
00007ff904266a7a (__TEXT,__text) non-external -[SPKernelExtensionPolicy .cxx_destruct]
00007ff90426640d (__TEXT,__text) non-external -[SPKernelExtensionPolicy areKernelExtensionsApproved:withError:]
00007ff904265e90 (__TEXT,__text) non-external -[SPKernelExtensionPolicy canLoadKernelExtension:error:]
00007ff904265f56 (__TEXT,__text) non-external -[SPKernelExtensionPolicy canLoadKernelExtensionInCache:error:]
00007ff904265e52 (__TEXT,__text) non-external -[SPKernelExtensionPolicy clearConnection]
00007ff904265e44 (__TEXT,__text) non-external -[SPKernelExtensionPolicy connection]
00007ff9042663b5 (__TEXT,__text) non-external -[SPKernelExtensionPolicy currentPolicy]
00007ff904266a70 (__TEXT,__text) non-external -[SPKernelExtensionPolicy currentUAKL]
00007ff904265e02 (__TEXT,__text) non-external -[SPKernelExtensionPolicy dealloc]
00007ff904266826 (__TEXT,__text) non-external -[SPKernelExtensionPolicy getCurrentUAKLHash:withError:]
00007ff904265ab3 (__TEXT,__text) non-external -[SPKernelExtensionPolicy init]
00007ff9042660e2 (__TEXT,__text) non-external -[SPKernelExtensionPolicy isKernelExtensionApprovedByUser:withBundleID:error:]
00007ff904266677 (__TEXT,__text) non-external -[SPKernelExtensionPolicy notifyLoadedKernelExtension:withPath:]
00007ff904266760 (__TEXT,__text) non-external -[SPKernelExtensionPolicy notifyUnsupportedKernelExtension:error:]
00007ff9042663e1 (__TEXT,__text) non-external -[SPKernelExtensionPolicy pendingApprovals]
00007ff9042664df (__TEXT,__text) non-external -[SPKernelExtensionPolicy requestKernelExtensionApprovals:withError:]
00007ff904266a44 (__TEXT,__text) non-external -[SPKernelExtensionPolicy requiresAdministratorToApproveUpdates]
00007ff904266a18 (__TEXT,__text) non-external -[SPKernelExtensionPolicy requiresAuthenticationOnUpdates]
00007ff9042669ec (__TEXT,__text) non-external -[SPKernelExtensionPolicy requiresRebootForInstallation]
00007ff9042669c0 (__TEXT,__text) non-external -[SPKernelExtensionPolicy requiresSecurityDowngrade]
00007ff90426601c (__TEXT,__text) non-external -[SPKernelExtensionPolicy teamIdentifierIsAllowed:error:]
00007ff9042665a5 (__TEXT,__text) non-external -[SPKernelExtensionPolicy triggerKernelCollectionRebuildFlow:withKernelExtensions:withError:]
00007ff904266996 (__TEXT,__text) non-external -[SPKernelExtensionPolicy triggerPanicMedicWithError:]
00007ff90426696c (__TEXT,__text) non-external -[SPKernelExtensionPolicy triggerRecoveryJumpToSecurityStartupUtilityWithError:]
00007ff9042668a6 (__TEXT,__text) non-external -[SPKernelExtensionPolicy updateLastUsedTimes:withError:]
00007ff9042662ed (__TEXT,__text) non-external -[SPKernelExtensionPolicy updatePolicyItems:error:]
00007ff9042661fa (__TEXT,__text) non-external -[SPKernelExtensionPolicy updatePolicyItems:withExternalContext:error:]
00007ff90426962f (__TEXT,__text) non-external -[SPKernelExtensionPolicy(MDM) enableKernelExtensionManagementForMDM:error:]
00007ff90426921c (__TEXT,__text) non-external -[SPKernelExtensionPolicy(MDM) installMDMPayload:withTeams:withExtensions:withContext:error:]
00007ff904269401 (__TEXT,__text) non-external -[SPKernelExtensionPolicy(MDM) removeMDMPayload:withContext:error:]
00007ff904269160 (__TEXT,__text) non-external -[SPKernelExtensionPolicy(MDM) setApprovalRequiresAdministrator:error:]
00007ff9042690a4 (__TEXT,__text) non-external -[SPKernelExtensionPolicy(MDM) setUserApprovalAllowed:error:]
00007ff904269518 (__TEXT,__text) non-external -[SPKernelExtensionPolicy(MDM) triggerKernelCollectionRebuildForMDM:withContext:error:]
00007ff90425d34c (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem .cxx_destruct]
00007ff90425d2f3 (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem applicationName]
00007ff90425d2fd (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem applicationPath]
00007ff90425d31b (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem bundleIDs]
00007ff90425d2e1 (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem description]
00007ff90425d307 (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem developerName]
00007ff90425d19a (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem encodeWithCoder:]
00007ff90425cd4e (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem initWithApplication:path:developerName:teamID:bundleIDs:allowed:rebootRequired:isPendingUpgrade:]
00007ff90425cf89 (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem initWithCoder:]
00007ff90425ce67 (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem initWithDeveloper:teamID:bundleIDs:allowed:rebootRequired:isPendingUpgrade:]
00007ff90425cd40 (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem init]
00007ff90425d325 (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem isAllowed]
00007ff90425cf78 (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem isModified]
00007ff90425d342 (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem isPendingUpgrade]
