                 (undefined) external _CFAbsoluteTimeGetCurrent (from CoreFoundation)
                 (undefined) external _CFBundleCopyBundleURL (from CoreFoundation)
                 (undefined) external _CFBundleCopyPrivateFrameworksURL (from CoreFoundation)
                 (undefined) external _CFBundleCopyResourceURL (from CoreFoundation)
                 (undefined) external _CFBundleCopySharedFrameworksURL (from CoreFoundation)
                 (undefined) external _CFBundleCreate (from CoreFoundation)
                 (undefined) external _CFBundleGetBundleWithIdentifier (from CoreFoundation)
                 (undefined) external _CFBundleGetMainBundle (from CoreFoundation)
                 (undefined) external _CFLocaleCopyCurrent (from CoreFoundation)
                 (undefined) external _CFLocaleGetIdentifier (from CoreFoundation)
                 (undefined) external _CFRelease (from CoreFoundation)
                 (undefined) external _CFRunLoopAddObserver (from CoreFoundation)
                 (undefined) external _CFRunLoopAddSource (from CoreFoundation)
                 (undefined) external _CFRunLoopAddTimer (from CoreFoundation)
                 (undefined) external _CFRunLoopGetCurrent (from CoreFoundation)
                 (undefined) external _CFRunLoopObserverCreate (from CoreFoundation)
                 (undefined) external _CFRunLoopObserverInvalidate (from CoreFoundation)
                 (undefined) external _CFRunLoopRunInMode (from CoreFoundation)
                 (undefined) external _CFRunLoopSourceCreate (from CoreFoundation)
                 (undefined) external _CFRunLoopSourceInvalidate (from CoreFoundation)
                 (undefined) external _CFRunLoopSourceSignal (from CoreFoundation)
                 (undefined) external _CFRunLoopTimerCreate (from CoreFoundation)
                 (undefined) external _CFRunLoopTimerGetNextFireDate (from CoreFoundation)
                 (undefined) external _CFRunLoopTimerInvalidate (from CoreFoundation)
                 (undefined) external _CFRunLoopTimerSetNextFireDate (from CoreFoundation)
                 (undefined) external _CFRunLoopWakeUp (from CoreFoundation)
                 (undefined) external _CFStringCompare (from CoreFoundation)
                 (undefined) external _CFStringCreateWithCString (from CoreFoundation)
                 (undefined) external _CFStringGetCString (from CoreFoundation)
                 (undefined) external _CFURLCopyLastPathComponent (from CoreFoundation)
                 (undefined) external _CFURLCreateCopyAppendingPathComponent (from CoreFoundation)
                 (undefined) external _CFURLGetFileSystemRepresentation (from CoreFoundation)
                 (undefined) external _NSAddressOfSymbol (from libSystem)
                 (undefined) external _NSCreateObjectFileImageFromMemory (from libSystem)
                 (undefined) external _NSDestroyObjectFileImage (from libSystem)
                 (undefined) external _NSLinkEditError (from libSystem)
                 (undefined) external _NSLinkModule (from libSystem)
                 (undefined) external _NSLookupSymbolInImage (from libSystem)
                 (undefined) external _NSLookupSymbolInModule (from libSystem)
                 (undefined) external _NSUnLinkModule (from libSystem)
                 (undefined) external _NXFindBestFatArch (from libSystem)
                 (undefined) external _NXGetLocalArchInfo (from libSystem)
00007ffb145d97e7 (__TEXT,__text) external _TclAddLiteralObj
00007ffb145ee0e1 (__TEXT,__text) external _TclHandleFree
00007ffb145ee0fa (__TEXT,__text) external _TclHandlePreserve
00007ffb145ee106 (__TEXT,__text) external _TclHandleRelease
00007ffb145d9609 (__TEXT,__text) external _TclHideLiteral
00007ffb14577521 (__TEXT,__text) external _TclHideUnsafeCommands
00007ffb145b3a33 (__TEXT,__text) external _TclInExit
00007ffb145b3a40 (__TEXT,__text) external _TclInThreadExit
00007ffb145ef0d3 (__TEXT,__text) external _TclInitCompiledLocals
00007ffb14603dd4 (__TEXT,__text) external _TclInitVarHashTable
00007ffb145c33c3 (__TEXT,__text) external _TclInterpInit
00007ffb145771bd (__TEXT,__text) external _TclInvokeObjectCommand
00007ffb1457824c (__TEXT,__text) external _TclInvokeStringCommand
00007ffb145ef0a2 (__TEXT,__text) external _TclIsProc
00007ffb145d8dfb (__TEXT,__text) external _TclListObjSetElement
00007ffb14602f3d (__TEXT,__text) external _TclLookupVar
00007ffb14610751 (__TEXT,__text) external _TclMacOSXCopyFileAttributes
00007ffb1461018c (__TEXT,__text) external _TclMacOSXGetFileAttribute
00007ffb1461077c (__TEXT,__text) external _TclMacOSXMatchType
00007ffb14611262 (__TEXT,__text) external _TclMacOSXNotifierAddRunLoopMode
00007ffb1461039a (__TEXT,__text) external _TclMacOSXSetFileAttribute
00007ffb14601b7f (__TEXT,__text) external _TclNeedSpace
00007ffb145eff18 (__TEXT,__text) external _TclNewProcBodyObj
00007ffb145e36db (__TEXT,__text) external _TclObjBeingDeleted
00007ffb145e7acc (__TEXT,__text) external _TclObjCommandComplete
00007ffb145eed5c (__TEXT,__text) external _TclObjGetFrame
00007ffb145eec29 (__TEXT,__text) external _TclObjInterpProc
00007ffb145ef571 (__TEXT,__text) external _TclObjInterpProcCore
00007ffb1457b566 (__TEXT,__text) external _TclObjInvoke
00007ffb14602ff9 (__TEXT,__text) external _TclObjLookupVar
00007ffb145dbf51 (__TEXT,__text) external _TclPopStackFrame
00007ffb146020bf (__TEXT,__text) external _TclPrecTraceProc
00007ffb145c5c83 (__TEXT,__text) external _TclPreventAliasLoop
00007ffb145efb06 (__TEXT,__text) external _TclProcCleanupProc
00007ffb145efc6a (__TEXT,__text) external _TclProcCompileProc
00007ffb145eec67 (__TEXT,__text) external _TclProcDeleteProc
00007ffb1460675c (__TEXT,__text) external _TclPtrMakeUpvar
00007ffb145dbf13 (__TEXT,__text) external _TclPushStackFrame
00007ffb145f0fc0 (__TEXT,__text) external _TclRegAbout
00007ffb145f1080 (__TEXT,__text) external _TclRegError
00007ffb145f0d6c (__TEXT,__text) external _TclRegExpRangeUniChar
00007ffb145782e4 (__TEXT,__text) external _TclRenameCommand
00007ffb145dd89f (__TEXT,__text) external _TclResetShadowedCmdRefs
00007ffb145fafc4 (__TEXT,__text) external _TclServiceIdle
00007ffb145a4725 (__TEXT,__text) external _TclSetByteCodeFromAny
00007ffb145afac9 (__TEXT,__text) external _TclSetLibraryPath
00007ffb145e00c2 (__TEXT,__text) external _TclSetNsPath
00007ffb14602893 (__TEXT,__text) external _TclSetObjNameOfExecutable
00007ffb145c336c (__TEXT,__text) external _TclSetPreInitScript
00007ffb145dacfd (__TEXT,__text) external _TclSetStartupScriptFileName
00007ffb145dace4 (__TEXT,__text) external _TclSetStartupScriptPath
00007ffb145b2245 (__TEXT,__text) external _TclSetupEnv
00007ffb145d3d4e (__TEXT,__text) external _TclSockGetPort
00007ffb145d3e3a (__TEXT,__text) external _TclSockMinimumBuffers
00007ffb145b3fde (__TEXT,__text) external _TclStackAlloc
00007ffb145b3f2b (__TEXT,__text) external _TclStackFree
00007ffb145dc6f4 (__TEXT,__text) external _TclTeardownNamespace
00007ffb145fab1d (__TEXT,__text) external _TclTomMathInitializeStubs
00007ffb145ab99f (__TEXT,__text) external _TclTraceDictPath
00007ffb145ffbdd (__TEXT,__text) external _TclUniCharMatch
00007ffb1460b520 (__TEXT,__text) external _TclUnixCopyFile
00007ffb14611e64 (__TEXT,__text) external _TclUnixWaitForFile
00007ffb145efbff (__TEXT,__text) external _TclUpdateReturnInfo
00007ffb14607366 (__TEXT,__text) external _TclVarErrMsg
00007ffb14602daf (__TEXT,__text) external _TclVarHashCreateVar
00007ffb145fcf1b (__TEXT,__text) external _TclVarTraceExists
00007ffb145d4004 (__TEXT,__text) external _Tcl_Access
00007ffb1457b804 (__TEXT,__text) external _Tcl_AddErrorInfo
00007ffb145f1263 (__TEXT,__text) external _Tcl_AddInterpResolvers
00007ffb1457b75a (__TEXT,__text) external _Tcl_AddObjErrorInfo
00007ffb14611446 (__TEXT,__text) external _Tcl_AlertNotifier
00007ffb1457e864 (__TEXT,__text) external _Tcl_Alloc
00007ffb145c1f24 (__TEXT,__text) external _Tcl_AllocStatBuf
00007ffb1457b9ef (__TEXT,__text) external _Tcl_AllowExceptions
00007ffb145e338e (__TEXT,__text) external _Tcl_AppendAllObjTypes
00007ffb145f1df3 (__TEXT,__text) external _Tcl_AppendElement
00007ffb145dcaf4 (__TEXT,__text) external _Tcl_AppendExportList
00007ffb145f5654 (__TEXT,__text) external _Tcl_AppendFormatToObj
00007ffb145f4cfa (__TEXT,__text) external _Tcl_AppendLimitedToObj
00007ffb1457a9b5 (__TEXT,__text) external _Tcl_AppendObjToErrorInfo
00007ffb145f5284 (__TEXT,__text) external _Tcl_AppendObjToObj
00007ffb145f6a6c (__TEXT,__text) external _Tcl_AppendPrintfToObj
00007ffb145f1d55 (__TEXT,__text) external _Tcl_AppendResult
00007ffb145f1d0d (__TEXT,__text) external _Tcl_AppendResultVA
00007ffb145f55b6 (__TEXT,__text) external _Tcl_AppendStringsToObj
00007ffb145f53a8 (__TEXT,__text) external _Tcl_AppendStringsToObjVA
00007ffb145f4ff1 (__TEXT,__text) external _Tcl_AppendToObj
00007ffb145f5003 (__TEXT,__text) external _Tcl_AppendUnicodeToObj
00007ffb1457644b (__TEXT,__text) external _Tcl_AsyncCreate
00007ffb145765d0 (__TEXT,__text) external _Tcl_AsyncDelete
00007ffb14576521 (__TEXT,__text) external _Tcl_AsyncInvoke
00007ffb145764d8 (__TEXT,__text) external _Tcl_AsyncMark
00007ffb1457668b (__TEXT,__text) external _Tcl_AsyncReady
00007ffb1457e8fb (__TEXT,__text) external _Tcl_AttemptAlloc
00007ffb1457e905 (__TEXT,__text) external _Tcl_AttemptDbCkalloc
00007ffb1457e9ad (__TEXT,__text) external _Tcl_AttemptDbCkrealloc
00007ffb1457e9a3 (__TEXT,__text) external _Tcl_AttemptRealloc
00007ffb145f4b2b (__TEXT,__text) external _Tcl_AttemptSetObjLength
00007ffb145b29b4 (__TEXT,__text) external _Tcl_BackgroundError
00007ffb14600e37 (__TEXT,__text) external _Tcl_Backslash
00007ffb145cbc44 (__TEXT,__text) external _Tcl_BadChannelOption
00007ffb1457769d (__TEXT,__text) external _Tcl_CallWhenDeleted
00007ffb145faf38 (__TEXT,__text) external _Tcl_CancelIdleCall
00007ffb145cd828 (__TEXT,__text) external _Tcl_ChannelBlockModeProc
00007ffb145cbbb4 (__TEXT,__text) external _Tcl_ChannelBuffered
00007ffb145cd853 (__TEXT,__text) external _Tcl_ChannelClose2Proc
00007ffb145cd849 (__TEXT,__text) external _Tcl_ChannelCloseProc
00007ffb145cd8a3 (__TEXT,__text) external _Tcl_ChannelFlushProc
00007ffb145cd899 (__TEXT,__text) external _Tcl_ChannelGetHandleProc
00007ffb145cd885 (__TEXT,__text) external _Tcl_ChannelGetOptionProc
00007ffb145cc61a (__TEXT,__text) external _Tcl_ChannelHandlerProc
00007ffb145cd85d (__TEXT,__text) external _Tcl_ChannelInputProc
00007ffb145cc475 (__TEXT,__text) external _Tcl_ChannelName
00007ffb145cd867 (__TEXT,__text) external _Tcl_ChannelOutputProc
00007ffb145cd871 (__TEXT,__text) external _Tcl_ChannelSeekProc
00007ffb145cd87b (__TEXT,__text) external _Tcl_ChannelSetOptionProc
00007ffb145c8841 (__TEXT,__text) external _Tcl_ChannelThreadActionProc
00007ffb145cbb5d (__TEXT,__text) external _Tcl_ChannelTruncateProc
00007ffb145cd7d2 (__TEXT,__text) external _Tcl_ChannelVersion
00007ffb145cd88f (__TEXT,__text) external _Tcl_ChannelWatchProc
00007ffb145cd8bf (__TEXT,__text) external _Tcl_ChannelWideSeekProc
00007ffb145d423b (__TEXT,__text) external _Tcl_Chdir
00007ffb145c93f8 (__TEXT,__text) external _Tcl_ClearChannelHandlers
00007ffb145c78f8 (__TEXT,__text) external _Tcl_Close
00007ffb145e7a10 (__TEXT,__text) external _Tcl_CommandComplete
00007ffb145fc1c1 (__TEXT,__text) external _Tcl_CommandTraceInfo
00007ffb14600e6b (__TEXT,__text) external _Tcl_Concat
00007ffb14601020 (__TEXT,__text) external _Tcl_ConcatObj
00007ffb145f9a56 (__TEXT,__text) external _Tcl_ConditionFinalize
00007ffb1460f622 (__TEXT,__text) external _Tcl_ConditionNotify
00007ffb1460f529 (__TEXT,__text) external _Tcl_ConditionWait
00007ffb14600b73 (__TEXT,__text) external _Tcl_ConvertCountedElement
00007ffb14600b5f (__TEXT,__text) external _Tcl_ConvertElement
00007ffb145e3495 (__TEXT,__text) external _Tcl_ConvertToType
00007ffb145c58cb (__TEXT,__text) external _Tcl_CreateAlias
00007ffb145c59e0 (__TEXT,__text) external _Tcl_CreateAliasObj
00007ffb145c83ef (__TEXT,__text) external _Tcl_CreateChannel
00007ffb145cc636 (__TEXT,__text) external _Tcl_CreateChannelHandler
00007ffb145c7d93 (__TEXT,__text) external _Tcl_CreateCloseHandler
00007ffb14577f71 (__TEXT,__text) external _Tcl_CreateCommand
00007ffb145afd72 (__TEXT,__text) external _Tcl_CreateEncoding
00007ffb145e02a8 (__TEXT,__text) external _Tcl_CreateEnsemble
00007ffb145e22c4 (__TEXT,__text) external _Tcl_CreateEventSource
00007ffb145b350e (__TEXT,__text) external _Tcl_CreateExitHandler
00007ffb146116e4 (__TEXT,__text) external _Tcl_CreateFileHandler
00007ffb145c2364 (__TEXT,__text) external _Tcl_CreateHashEntry
00007ffb145769c3 (__TEXT,__text) external _Tcl_CreateInterp
00007ffb14578a7c (__TEXT,__text) external _Tcl_CreateMathFunc
00007ffb145dbf76 (__TEXT,__text) external _Tcl_CreateNamespace
00007ffb145772e4 (__TEXT,__text) external _Tcl_CreateObjCommand
00007ffb145fcce4 (__TEXT,__text) external _Tcl_CreateObjTrace
00007ffb145c5f5e (__TEXT,__text) external _Tcl_CreateSlave
00007ffb145b3c66 (__TEXT,__text) external _Tcl_CreateThread
00007ffb145b369e (__TEXT,__text) external _Tcl_CreateThreadExitHandler
00007ffb145fac14 (__TEXT,__text) external _Tcl_CreateTimerHandler
00007ffb145fcd6e (__TEXT,__text) external _Tcl_CreateTrace
00007ffb145c8d16 (__TEXT,__text) external _Tcl_CutChannel
00007ffb14601a19 (__TEXT,__text) external _Tcl_DStringAppend
00007ffb14601ab6 (__TEXT,__text) external _Tcl_DStringAppendElement
00007ffb14601e10 (__TEXT,__text) external _Tcl_DStringEndSublist
00007ffb14601c53 (__TEXT,__text) external _Tcl_DStringFree
00007ffb14601cfd (__TEXT,__text) external _Tcl_DStringGetResult
00007ffb146019fa (__TEXT,__text) external _Tcl_DStringInit
00007ffb14601c88 (__TEXT,__text) external _Tcl_DStringResult
00007ffb14601bda (__TEXT,__text) external _Tcl_DStringSetLength
00007ffb14601dd1 (__TEXT,__text) external _Tcl_DStringStartSublist
00007ffb1457e89f (__TEXT,__text) external _Tcl_DbCkalloc
00007ffb1457e9c1 (__TEXT,__text) external _Tcl_DbCkfree
00007ffb1457e947 (__TEXT,__text) external _Tcl_DbCkrealloc
00007ffb145e4b4a (__TEXT,__text) external _Tcl_DbDecrRefCount
00007ffb145e4b42 (__TEXT,__text) external _Tcl_DbIncrRefCount
00007ffb145e4b62 (__TEXT,__text) external _Tcl_DbIsShared
00007ffb145e474f (__TEXT,__text) external _Tcl_DbNewBignumObj
00007ffb145e3877 (__TEXT,__text) external _Tcl_DbNewBooleanObj
00007ffb1457cb7e (__TEXT,__text) external _Tcl_DbNewByteArrayObj
00007ffb145ac3e7 (__TEXT,__text) external _Tcl_DbNewDictObj
00007ffb145e3d6a (__TEXT,__text) external _Tcl_DbNewDoubleObj
00007ffb145d7fdf (__TEXT,__text) external _Tcl_DbNewListObj
00007ffb145e41fc (__TEXT,__text) external _Tcl_DbNewLongObj
00007ffb145e3521 (__TEXT,__text) external _Tcl_DbNewObj
00007ffb145f4511 (__TEXT,__text) external _Tcl_DbNewStringObj
00007ffb145e4366 (__TEXT,__text) external _Tcl_DbNewWideIntObj
00007ffb1457786d (__TEXT,__text) external _Tcl_DeleteAssocData
00007ffb145cc6de (__TEXT,__text) external _Tcl_DeleteChannelHandler
00007ffb145c7dce (__TEXT,__text) external _Tcl_DeleteCloseHandler
00007ffb14578a2f (__TEXT,__text) external _Tcl_DeleteCommand
00007ffb1457813d (__TEXT,__text) external _Tcl_DeleteCommandFromToken
00007ffb145e2318 (__TEXT,__text) external _Tcl_DeleteEventSource
00007ffb145e24cd (__TEXT,__text) external _Tcl_DeleteEvents
00007ffb145b35bc (__TEXT,__text) external _Tcl_DeleteExitHandler
00007ffb146118a4 (__TEXT,__text) external _Tcl_DeleteFileHandler
00007ffb145c260f (__TEXT,__text) external _Tcl_DeleteHashEntry
00007ffb145c26f2 (__TEXT,__text) external _Tcl_DeleteHashTable
00007ffb14577918 (__TEXT,__text) external _Tcl_DeleteInterp
00007ffb145dbd48 (__TEXT,__text) external _Tcl_DeleteNamespace
00007ffb145b36e8 (__TEXT,__text) external _Tcl_DeleteThreadExitHandler
00007ffb145fae68 (__TEXT,__text) external _Tcl_DeleteTimerHandler
00007ffb145fce7b (__TEXT,__text) external _Tcl_DeleteTrace
00007ffb145c81bc (__TEXT,__text) external _Tcl_DetachChannel
00007ffb145ea589 (__TEXT,__text) external _Tcl_DetachPids
00007ffb145ac060 (__TEXT,__text) external _Tcl_DictObjDone
00007ffb145abf18 (__TEXT,__text) external _Tcl_DictObjFirst
00007ffb145abd6e (__TEXT,__text) external _Tcl_DictObjGet
00007ffb145abfc8 (__TEXT,__text) external _Tcl_DictObjNext
00007ffb145abc40 (__TEXT,__text) external _Tcl_DictObjPut
00007ffb145ac11c (__TEXT,__text) external _Tcl_DictObjPutKeyList
00007ffb145abdc4 (__TEXT,__text) external _Tcl_DictObjRemove
00007ffb145ac29e (__TEXT,__text) external _Tcl_DictObjRemoveKeyList
00007ffb145abee2 (__TEXT,__text) external _Tcl_DictObjSize
00007ffb145f17eb (__TEXT,__text) external _Tcl_DiscardInterpState
00007ffb145f1ad5 (__TEXT,__text) external _Tcl_DiscardResult
00007ffb145e2764 (__TEXT,__text) external _Tcl_DoOneEvent
00007ffb145faec9 (__TEXT,__text) external _Tcl_DoWhenIdle
00007ffb14577772 (__TEXT,__text) external _Tcl_DontCallWhenDeleted
00007ffb1457e9d4 (__TEXT,__text) external _Tcl_DumpActiveMemory
00007ffb145e36ea (__TEXT,__text) external _Tcl_DuplicateObj
